Thu Aug 27 05:25:28 PDT 2015 --  Don't be someone's side effect.
Sun Aug 02 22:57:52 PDT 2015 --  Fall in love but make sure you are carrying the first aid kit.
Sun Aug 02 23:20:11 PDT 2015 --  You have to be careful who you meet. You can’t unmeet them.
Sun Aug 02 23:27:08 PDT 2015 --  Epic https://twitter.com/witchybitchygal/status/627851902458302464 …
Fri Jul 31 05:23:41 PDT 2015 --  Perfettto https://twitter.com/aquariusunite/status/627037791562661888 …
Fri Jul 31 05:23:00 PDT 2015 --  Dear @bookmyshow #Shukriya for @PayUmoney
Thu Jul 30 11:00:22 PDT 2015 --  I think Human Right activists should realise that they are supposed to advocate for humans and not for terrorists.
Thu Jul 30 23:57:55 PDT 2015 --  Control of emotions is a big thing for #Aquarius. No matter how much they're suffering, they won't grant you satisfaction of knowing it.
Wed Jul 29 20:37:02 PDT 2015 --  Whatever the verdict, in ANY kind of case, it simply shouldn't take 20 years to dispense justice. Period.
Wed Jul 29 02:32:24 PDT 2015 --  I wish some days end faster. I won't mind today be that day.
Wed Jul 29 00:11:53 PDT 2015 --  We end up caring more than we think.
Tue Jul 28 08:39:52 PDT 2015 --  Virat: Mein century maar ke Trend nahi hota, tu 2 tweet delete kar ke Trend ho gayi _/\_ #AnushkaSharma : pic.twitter.com/6kg02daJqF
Mon Jul 27 23:02:05 PDT 2015 --  shrinking the earth so we end up closer.
Mon Jul 27 21:17:00 PDT 2015 --  #Aquarius keep falling into the same fucking traps.
Mon Jul 27 02:45:56 PDT 2015 --  <3 https://twitter.com/Laughbook/status/625599038407053316 …
Fri Jul 24 11:08:11 PDT 2015 --  #thishappensonlyinIndia pic.twitter.com/WC5yds6hrv
Mon Jul 27 01:17:11 PDT 2015 --  #Aquarius try not to be emotionally connected to anything they believe will not be there for very long.
Sun Jul 26 07:17:13 PDT 2015 --  Never do #Aquarius wrong, they will make sure you regret that shit forever.
Sat Jul 25 12:05:30 PDT 2015 --  @tatanano_tweets Tata has done a tremendous jOb given Rebirth to NANO. I got it as my B'day Gift Very Happy :-) pic.twitter.com/hjTwFQdWQp
Sat Jul 25 10:40:37 PDT 2015 --  https://twitter.com/uberfacts/status/624995566309744640 …
Sat Jul 25 10:39:58 PDT 2015 --  N E V E R https://twitter.com/aquariusunite/status/624931360734584832 …
Fri Jul 24 08:17:23 PDT 2015 --  #Aquarius is easily turned off by rudeness.
Fri Jul 24 05:14:27 PDT 2015 --  You are full of flaws yet the heart says, isn't he the one you dreamt of ?
Thu Jul 23 12:17:13 PDT 2015 --  #Aquarius have two sides, asshole and professional.
Sun Apr 12 13:30:21 PDT 2015 --  SRK - ek cigarette dena . Gauri - nahi dungi. SRK - Kyu? Gauri - tumhe pata nahi hai 'tel waali cheezo ke pass smoking karna dangerous hai'.
Thu Jul 23 05:13:49 PDT 2015 --  #funnyworld https://twitter.com/UberFacts/status/624183956947238912 …
Mon Jul 20 18:33:16 PDT 2015 --  pic.twitter.com/8hPc7bc6ju
Wed Jul 22 23:17:14 PDT 2015 --  #Aquarians take pride and value their independence highly and like to do things in their own unique style.
Wed Jul 22 23:08:54 PDT 2015 --  Tunak tunak Tun Tunak tunak Tun Tunak tunak Tun Da Da Da pic.twitter.com/5MhKD2YmMs
Wed Jul 22 23:03:39 PDT 2015 --  ALWAYS! #sigh https://twitter.com/vichupedia/status/624096835355807745 …
Wed Jul 22 03:30:13 PDT 2015 --  Seriously pic.twitter.com/OXAxWwosjd
Wed Jul 22 04:05:56 PDT 2015 --  THIS! https://twitter.com/TheMichaelRock/status/623455231100063744 …
Wed Jul 22 01:14:51 PDT 2015 --  Who wouldn't want to get married in the hills?! Sigh! :) Anyone getting married in the hills?! pic.twitter.com/jE4VlcUtYE
Wed Jul 22 01:46:31 PDT 2015 --  Twitter Highway pe gaddi chalana hai toh 'Troll Charges' dena hi padega
Fri Jul 17 08:03:55 PDT 2015 --  Untold stories are the heaviest books we carry in our hearts.
Wed Jul 22 00:34:51 PDT 2015 --  When you fall, I will be there to catch you - With love, the floor.
Tue Jul 21 23:26:07 PDT 2015 --  Rahul be like *Itni jaldi saalo ne session chalu kar diya, Doremon miss ho gaya mera*. pic.twitter.com/ltdetAF3DH
Wed Jul 22 00:19:15 PDT 2015 --  Whoa!! https://twitter.com/UberFacts/status/623670575446249474 …
Tue Jul 21 01:47:13 PDT 2015 --  An #Aquarius dreams very often about the person they want.
Thu Jul 16 06:26:43 PDT 2015 --  YoYo @LungFakeer pic.twitter.com/Ol7TfuXbMv
Fri Jul 17 01:36:43 PDT 2015 --  Murphy's law says that whenever I am in a stupid and long conference call, the mobile signal would neither drop or fluctuate
Sat Jul 18 21:36:55 PDT 2015 --  Vodafone 3G is like you have taken dal, sabzi, salad and raita on your plate and you're waiting for the roti. Like for hours.
Thu Jul 16 10:02:57 PDT 2015 --  You most likely joined Twitter out of pure curiosity and now you're addicted.
Fri Jul 17 22:54:33 PDT 2015 --  One teaspoon of red lipstick, half a kg pouty lips. Add sunglasses swaadanusar. Ek girl selfie hogayi taiyyar!
Fri Jul 17 22:47:13 PDT 2015 --  #Aquarius are always willing to try something new, as long as it sounds fun and interesting.
Fri Jul 17 19:47:01 PDT 2015 --  #Aquarius prefer to be honest because they just hate playing games.
Thu Jul 16 05:29:33 PDT 2015 --  #BajiraoMastani now dats stellar MUST WATCH @deepikapadukone n @RanveerOfficial
Tue Jul 14 23:47:06 PDT 2015 --  #Aquarius secretly controls everyone around them.
Tue Jul 14 10:49:04 PDT 2015 --  This Pluto pic comparison is more like how you look on your Aadhar Card and on your Facebook profile. pic.twitter.com/ySpJqMXoIX
Mon Jul 13 20:30:37 PDT 2015 --  Thanking god Super Mario wasn't brought out in 2015, every time you'd lose a life, an LIC ad would pop up.
Wed Jul 01 06:47:06 PDT 2015 --  #Aquarius can be very hard to understand and even harder to figure out
Wed Jul 01 23:07:53 PDT 2015 --  Kuch maa baap, bacchon ka future naam karan ke waqt hi bigaad dete hain.
Wed Jul 01 05:01:47 PDT 2015 --  :p https://twitter.com/Laughbook/status/616214741053083648 …
Wed Jul 01 04:54:55 PDT 2015 --  Deeeeep! https://twitter.com/witchybitchygal/status/616211022320250881 …
Tue Jun 30 23:52:07 PDT 2015 --  #haha #LalitGate #LalitModi pic.twitter.com/4RxPwaAcZd
Mon Jun 29 23:16:01 PDT 2015 --  Haww :O https://twitter.com/UberFacts/status/615565978273992708 …
Sun Jun 28 11:55:19 PDT 2015 --  I use emojis so I think my sensitive side is doing just fine.
Sun Jun 28 15:47:00 PDT 2015 --  #Aquarius has a very broad and powerful imagination making them some of the most resourceful people ever.
Sun Jun 28 02:17:19 PDT 2015 --  https://twitter.com/aquariusunite/status/615026089853878272 …
Sun Jun 28 02:16:26 PDT 2015 --  WORD! https://twitter.com/superneha83/status/615085047461208064 …
Mon Jun 22 01:37:24 PDT 2015 --  When mother gives you phone to talk to your relatives pic.twitter.com/yVk4jApSLw
Fri Jun 26 22:51:42 PDT 2015 --  Even my gay friends will be getting married before me now haha #LoveWins
Fri Jun 26 22:50:17 PDT 2015 --  Fancy <3 https://twitter.com/maharshs/status/614670025086009344 …
Fri Jun 26 15:08:55 PDT 2015 --  Meanwhile, brief to all Ad Agencies by Brands: We quickly need to make a campaign with #LoveWins as the central theme
Fri Jun 26 13:47:13 PDT 2015 --  #Aquarius can easily see through fake compliments and flattery.
Fri Jun 26 14:47:06 PDT 2015 --  Don’t bother pretending in the presence of an #Aquarius, they will see right through it.
Fri Jun 26 11:57:22 PDT 2015 --  The power of people. pic.twitter.com/IUUhk3V87e
Tue Jun 16 13:29:30 PDT 2015 --  #Aquarius: As friendly as they can be if you give them attitude, they'll give it to you right back.
Wed Jun 24 23:04:06 PDT 2015 --  When you're creating your player on 2k and accidentally press the start button too quick pic.twitter.com/afzNrbbFsi
Wed Jun 24 10:10:12 PDT 2015 --  I like tattoos, just not on myself.
Thu Mar 12 04:08:52 PDT 2015 --  'whr r u frm?' 'A magical place where people can spell'
Wed Mar 11 03:41:15 PDT 2015 --  Love cannot be found where it doesn't exists... Nor it can be hidden where it truly does
Wed Mar 11 00:06:57 PDT 2015 --  Naam bade aur darshan chote #twitterceleb
Tue Mar 10 10:03:45 PDT 2015 --  So I met this "Twitter Celeb." Shabbily dressed, full of pseudo-intellect & unable speak two lines in fluent English. Keyboard warrior. LOL!
Tue Mar 10 23:47:05 PDT 2015 --  #Aquarius can often tell your true intentions just by looking at your face.
Mon Mar 09 09:15:15 PDT 2015 --  Why female #entrepreneurs will rise in 2015 http://wef.ch/1wTC70W  #entrepreneurs #WomensDay pic.twitter.com/ivYvT4mFOn
Mon Mar 09 22:17:19 PDT 2015 --  #Aquarius remember almost everything although they often wish they can forget.
Mon Mar 09 22:31:04 PDT 2015 --  #cookiesordeath pic.twitter.com/v3xog8UwLj
Sun Mar 08 12:12:02 PDT 2015 --  I think too much, I see too much, I feel too much but I speak so little
Sun Mar 08 23:52:10 PDT 2015 --  Some ppl r so user friendly... they are just sooo Friendly when they want to Use you...
Sat Mar 07 22:33:22 PST 2015 --  Happy Womaniya Day! :) #women #internationalwomensday #flowers #beauty #girlpower #brave #empowerment… https://instagram.com/p/z9PDosv8iU/ 
Fri Mar 06 23:52:40 PST 2015 --  #Tomatinafestival #bucketlist
Fri Mar 06 23:47:45 PST 2015 --  Have done my bit. Plz do and share if you believe the same #nirbhayarapecase https://instagram.com/p/z6yxivP8uO/ 
Fri Mar 06 21:47:32 PST 2015 --  There are 2 kinds of people in the world.. 1) Who asks about your Holi plans just to show off theirs. 2) The rest.
Fri Mar 06 07:37:36 PST 2015 --  I am convinced that different people awaken different beasts in you
Fri Mar 06 00:21:55 PST 2015 --  Our team is fielding so well it's like we've forgotten our culture or something.
Fri Mar 06 01:57:34 PST 2015 --  #TeamHateCricket
Fri Mar 06 00:30:37 PST 2015 --  #TeamnotplayingHoli
Fri Mar 06 00:29:34 PST 2015 --  Happy Holi twitterverse pic.twitter.com/ryET5zp1Q3
Thu Mar 05 08:17:01 PST 2015 --  The world really needs new, creative, alternate phrases for 'nothing much'.
Thu Mar 05 09:44:50 PST 2015 --  “ @Inspire_Us: What worries you masters you.” Correct
Thu Mar 05 09:44:09 PST 2015 --  Bestest feeling in the world?? Not to set a wake up alarm for the next day
Wed Mar 04 23:23:23 PST 2015 --  All day Tweet kinda day
Wed Mar 04 21:59:43 PST 2015 --  I care a damn about the outrage by jerks on banning beef. On the contrary for the first time m liking some Ban here
Wed Mar 04 21:40:21 PST 2015 --  You're Terrifying.. And Strange.. And Gorgeous.. Something not everyone knows how to love
Wed Mar 04 21:32:29 PST 2015 --  What do you call a film with Rahul Gandhi, Sanjay Jha and GSurya Ek fool do maali
Wed Mar 04 01:56:41 PST 2015 --  #unapologeticallyMe https://instagram.com/p/zzTJOdv8ij/ 
Sun Mar 01 19:49:49 PST 2015 --  Pro tip. #holi pic.twitter.com/3vEJmhecTJ
Tue Mar 03 20:47:02 PST 2015 --  #Aquarians like to sleep cause it's the only way out of the million and one thoughts crossing their mind constantly.
Tue Mar 03 20:47:21 PST 2015 --  There is only one potential problem with standing up for what you believe in: what you believe in.
Tue Mar 03 21:47:08 PST 2015 --  Once an #Aquarian realize you take them for granted, they will make a move and slowly disappear from your life.
Mon Mar 02 22:48:15 PST 2015 --  When Even after a decade of clearing your Boards you get goosebumps, while looking at students appearing for it now... THAT!
Mon Mar 02 21:18:31 PST 2015 --  In case you thought AAP would never waste OUR money like BJP. Hail narcissist @ArvindKejriwal. (pic @maverickilroy) pic.twitter.com/ZsPQX3KYOe
Mon Mar 02 21:24:04 PST 2015 --  The A(ap) B(jp) C(ongress) of Indian politics
Mon Mar 02 00:00:41 PST 2015 --  When celebrations turned into politics between #ITrustAK and #YYandPB (satire) #YoYa pic.twitter.com/z2UZs7ed1D
Sun Mar 01 23:32:07 PST 2015 --  Keep your phone close and your charger closer
Sat Feb 28 01:47:01 PST 2015 --  For #Aquarians it's very unlikely that they'll ever give you a second chance, but when they do they'll make sure you don't ruin it.
Fri Feb 27 21:53:50 PST 2015 --  #TheDress is Stupid! Let's stick to this!
Fri Feb 27 21:52:01 PST 2015 --  Wen u like them they ignore u, wen u ignore them they notice U #lifechakra
Fri Feb 27 21:30:40 PST 2015 --  He: I'm on medications. She: Means you are in love?
Fri Feb 27 01:47:01 PST 2015 --  #Aquarius have a way of knowing things before they happen.
Wed Feb 04 01:30:02 PST 2015 --  8 reasons to stop eating meat on #WorldCancerDay: http://bit.ly/1KqihuK . RT to save a life! pic.twitter.com/KFlPewctoV
Wed Feb 25 02:19:10 PST 2015 --  Ugh, I have officially had enough of today.
Tue Feb 24 03:17:07 PST 2015 --  As an #Aquarius, you believe in fairness and freedom for everyone.
Mon Feb 23 22:32:56 PST 2015 --  If you love someone let dem go... If u hate someone let dem go.. Basically let everyone go. People are stupid
Mon Feb 23 21:02:00 PST 2015 --  Your brain literally heats up when you're stressed. Smiling can cool it down.
Mon Feb 23 21:25:33 PST 2015 --  Rahul goes Missing; Privilege or Protest Leave; Tantrum or Exiting Politics? Watch our show here: http://www.ndtv.com/video/player/the-buck-stops-here/rahul-gandhi-s-vanishing-act-temper-tantrum-or-exit-from-politics/357776?hp …
Sat Feb 21 21:45:17 PST 2015 --  What if we are not broken, just getting rearranged.
Mon Feb 02 19:32:03 PST 2015 --  "you support gay rights so u must be gay" i support animal rights do i look like a fucking alpaca to you
Mon Feb 23 01:17:01 PST 2015 --  #Aquarius love planning surprises, but it's hard to surprise them. They usually one step ahead of you :)
Mon Feb 23 00:54:34 PST 2015 --  Alcohol is such a mood-kill. And also takes up so much space in the tummy which could be used for goooood fooooood.
Sun Feb 22 22:19:02 PST 2015 --  IIM-Calcutta saw 11% of its batch getting recruited by #ecommerce firms this year. IIM-Lucknow had 15%.
Sat Feb 21 04:16:59 PST 2015 --  Well m up-to some Caffeine (@ Bru World Cafe in Mumbai) https://www.swarmapp.com/c/65Jq6xgThpm 
Fri Feb 20 17:37:47 PST 2015 --  Accurate pic.twitter.com/BhOD3LS7UD
Sat Feb 21 00:58:19 PST 2015 --  pic.twitter.com/VgPxa9o9VA
Sat Feb 21 00:56:42 PST 2015 --  One really doesn't has to say I Love You, to say I Love You
Fri Feb 20 21:47:02 PST 2015 --  If a #Aquarius says you look good, they mean it. They dont lie just to please you.
Fri Feb 20 02:38:43 PST 2015 --  Some people aren't really all that they 'tweet' to be
Fri Feb 20 00:17:02 PST 2015 --  #Aquarians makes sure their personal business is never in the streets.
Thu Feb 19 21:47:08 PST 2015 --  #Aquarius does NOT care what people think of them. They know their worth.
Thu Feb 19 08:29:08 PST 2015 --  Pout Queens ;) #pout #instapic #instaclick #beauty #redlips #poser #bliss #loveit #muaah http://instagram.com/p/zShuSQP8mg/ 
Mon Feb 16 23:01:19 PST 2015 --  ..... but in my heart it was so real
Mon Feb 16 21:32:43 PST 2015 --  Yes it's #MahaShivratri and Yes it's a #WorkingHoliday
Mon Feb 16 21:17:00 PST 2015 --  Best way not to let an #Aquarian get tired of you is to give them space and do not nag them.
Mon Feb 16 21:29:33 PST 2015 --  Sarcasm isn't an attitude, it's an ART
Mon Feb 16 01:17:00 PST 2015 --  Someday, #Aquarius will walk into your life and you'll realize why it never worked with anyone else.
Mon Feb 16 01:17:34 PST 2015 --  If you talk to God, you’re religious. If God talks to you, you’re psychotic
Fri Feb 13 01:17:06 PST 2015 --  When an #Aquarian allows you to become intimately close with them, believe that you are very special to them.
Thu Feb 12 22:47:00 PST 2015 --  #Aquarians hate the thought of a friend being mad at them and will sometimes apologize even when they know they�re right
Thu Feb 12 20:47:01 PST 2015 --  Japan gives Sumo wrestlers iPads, since cell phones are too small for the wrestlers to text message with.
Thu Feb 12 21:17:06 PST 2015 --  Control of emotions is a big thing for #Aquarius. No matter how much they're suffering, they won't grant you satisfaction of knowing it.
Thu Feb 12 02:35:50 PST 2015 --  When you hate something, you chain yourself to it.. #donthatejustlove
Wed Feb 11 23:17:01 PST 2015 --  There are times when #Aquarians feel the need to withdraw from people and be alone for a while.
Wed Feb 11 23:20:30 PST 2015 --  When your intuition is roaring LOUD, follow it
Tue Feb 10 11:49:47 PST 2015 --  Silence can mean several things...strength...weakness and indifference...to me it always signifies dignity...which is above everything else!
Mon Feb 09 22:03:30 PST 2015 --  Yo AAP congrats.......now listen......this time.....be cool alright?
Fri Feb 06 05:12:02 PST 2015 --  Dear whoever-hates-AIB, that video circulated of a gang rape on whatsapp is the real problem.not a bunch of decent guys making jokes.
Fri Feb 06 23:17:13 PST 2015 --  #Aquarius will do what they want to do whether you down with it or not.
Fri Feb 06 23:11:16 PST 2015 --  My feeling in Feb.. #overratedvalentine #toomuch #meh #crazystupidlovers #blahhh http://instagram.com/p/yyoV3Xv8gC/ 
Fri Feb 06 21:47:04 PST 2015 --  Although #Aquarians can be blunt and sarcastic at times, they'd never deliberately mean to hurt or insult anyone.
Fri Feb 06 02:39:14 PST 2015 --  Facebook makes people depressed because it leads them to believe that their friends and family are happier than they actually are.
Fri Feb 06 02:17:00 PST 2015 --  Our brains constantly predict what other people are about to say before they say it.
Fri Feb 06 02:20:45 PST 2015 --  Few people are best forgotten
Thu Feb 05 21:47:01 PST 2015 --  When you make an #Aquarius HAPPY they will go out of their way to make you happier.
Wed Feb 04 20:35:00 PST 2015 --  This. pic.twitter.com/AVgXpDUvtM
Wed Feb 04 20:17:02 PST 2015 --  #Aquarius are all about equality. Being humble is something they take pride in.
Wed Feb 04 19:17:21 PST 2015 --  After three days of trumpeting that AAP is ahead in surveys, realisation dawns. pic.twitter.com/kQH7HDorUJ
Wed Feb 04 21:47:03 PST 2015 --  An Aquarian will hate you for talking behind their back.
Wed Feb 04 20:53:27 PST 2015 --  Eggjactly! #mythoughts #moronsagainstAIBknockout #hypocrits #AIBrocks #isupport http://instagram.com/p/ytO-r1P8kU/ 
Mon Feb 02 21:53:11 PST 2015 --  Two things are infinite: the universe and human stupidity; and I'm not sure about the universe. Albert Einstein
Tue Feb 03 08:06:53 PST 2015 --  As if you don't use those slangs? When celebs use it why do you have an issue? What's it with you guys? We stand by AIB knockout
Tue Feb 03 08:20:54 PST 2015 --  These debates happening on AIB are so senseless. Like dude there are so many more critical issues in this country. We Stand By AIB Knockout
Tue Feb 03 21:26:01 PST 2015 --  99% Muslims give the rest 1% a good name.
Wed Jan 28 06:04:43 PST 2015 --  Never a truer word!!! Love this quote!!!! Thought i'd share! pic.twitter.com/Mg1utGFvRY
Sun Feb 01 23:47:03 PST 2015 --  Once an #Aquarian see someone with talent they will try to help that person as much as they can.
Sun Feb 01 23:44:20 PST 2015 --  I want you. I don't need you. There's a difference.
Sat Jan 31 00:57:18 PST 2015 --  It is amazing what you can accomplish if you do not care who gets the credit.
Fri Jan 30 23:15:39 PST 2015 --  Don't desire mediocre love, drown in someone.
Fri Jan 30 22:22:46 PST 2015 --  Life is all about... pic.twitter.com/ghVroqQZ90
Thu Jan 29 03:54:50 PST 2015 --  The heart stays healthiest when it is full of love ..
Fri Jan 30 10:14:40 PST 2015 --  You can't ever love the warmth by burning your own heart.
Wed Jan 28 21:54:44 PST 2015 --  Me: Swabhimaani baniye, deshbhakt baniye Baniya - Thank you ji
Wed Jan 28 21:55:58 PST 2015 --  Don't expect her to play her part, if you have other women auditioning for her role.
Wed Jan 28 04:23:16 PST 2015 --  Beauty n d Beast :p #instapic #instatravel #boston #usa #travelingram #weirdposes #happy #cute #me… http://instagram.com/p/yZcGQjv8kh/ 
Tue Jan 27 00:24:19 PST 2015 --  Lessons of Life : Its when u stop judging other people the moment u set eyes upon them. Only then can u truly start understanding yourself
Sun Jan 25 15:10:24 PST 2015 --  First Time in Indian History, Woman Officer Leads Guard of Honour - President Obama @FarOutAkhtar @MardOfficial pic.twitter.com/hai8ElrBHY
Fri Oct 17 08:51:11 PDT 2014 --  For Indian politicians, Jail is autocorrected to Bail.
Fri Jan 23 02:17:01 PST 2015 --  #Aquarius may analyze facts much faster than they accept them.
Fri Jan 23 02:47:11 PST 2015 --  There's something about #Aquarius that others find interesting and are drawn to their energy.
Tue Jan 20 22:47:03 PST 2015 --  Watch out when an #Aquarius explodes with anger. Not pretty.
Tue Jan 20 22:54:56 PST 2015 --  Bus yehi dekhna reh gaya tha Twitter pe ---> "11 Million SRKians On Twitter"
Mon Jan 19 22:49:48 PST 2015 --  ^_^ http://fb.me/3y1gGV21y 
