Sat Jul 25 16:00:03 PDT 2015 --  Time to see what this suit can do. @Marvel's #AntMan is now playing. pic.twitter.com/1ET7aCbAhD
Sun Jan 18 14:59:25 PST 2015 --  #TheLibrarians mentioned Nicholas Flamel! #HarryPotter #SorcerersStone He keeps popping up because he's got the Elixir of Life! #17thCentury
Sat Jan 17 15:10:04 PST 2015 --  "I listen to country. What is "genres? Is that rap music?"
Thu Jan 15 15:47:55 PST 2015 --  Exactly 2 years ago today! (via @timehop) http://timehop.com/c/fup:4382390641202:10201946253201216:6668980:4664b … pic.twitter.com/ZegbeDBeO3
Tue Jan 06 21:15:05 PST 2015 --  Rugrats was crazy advanced. Half Jewish family. Black friends. Woman as a CEO. Single father household. Reversed gender roles.
Sat Jan 03 19:36:06 PST 2015 --  That's why I never want to live in a house by an interstate. The killer picked the house at random! #48hours
Sat Jan 03 19:08:57 PST 2015 --  Her Mom would have been proud of her daughter for her maturity. #48hours
Sat Jan 03 19:09:26 PST 2015 --  Who breaks into a home shoots the entire family to include the dog ...twice? #48hours
Sat Jan 03 19:02:13 PST 2015 --  Dear God! That little voice calling 911. @48hours @EFMoriarty @szirinsky #48Hours
Sat Jan 03 19:03:01 PST 2015 --  This #48Hours has me teary-eyed already.
Fri Jan 02 16:55:57 PST 2015 --  Our hearts go out to the @LilJimDickens family. The @opry star died today. He was 94. pic.twitter.com/sCk7YdW5UJ
Fri Jan 02 16:41:51 PST 2015 --  Country music has lost one of its most beloved figures. RIP @LilJimDickens: http://tasteofcountry.com/little-jimmy-dickens-dead-dies/ … pic.twitter.com/CWgcvpa1pd
Fri Jan 02 16:33:00 PST 2015 --  It is with a heavy heart that I say goodbye to my hero and friend today. I loved you Jimmy.
Thu Jan 01 09:39:59 PST 2015 --  Showered before noon! Take that 2015. #NailingItInTheNewYear.
Wed Dec 31 17:02:16 PST 2014 --  Nothing like this will ever happen to you on New Year's Eve because you're too ugly. pic.twitter.com/PXFR1gHlrT
Wed Dec 31 16:52:24 PST 2014 --  As a new year begins, My prayer is that everyone be safe and let's be a little kinder in 2015 to each other! #NYE #NewYear
Wed Dec 31 15:33:24 PST 2014 --  Actor Edward Herrmann, whose roles included “Gilmore Girls” father, has died at 71. http://cnn.it/1757lpQ  pic.twitter.com/A3FRP5vfWe
Mon Dec 29 08:23:03 PST 2014 --  Hidden Mickey #disney #hiddenmickey #hiddenmickeyhunt pic.twitter.com/hA7Hlfj5io
Mon Dec 29 04:15:39 PST 2014 --  Hidden Mickey Hunt pic.twitter.com/FN7BoX17O7
Thu Dec 25 04:48:32 PST 2014 --  It's important to give it all you have while you have the chance. - Shania Twain
Thu Dec 25 04:18:33 PST 2014 --  Merry Christmas!!
Wed Dec 24 17:29:34 PST 2014 --  On this day in 1997, Harry and Hermione visited Godric's Hollow. "Harry, I think it's Christmas Eve." - Hermione pic.twitter.com/5oSMolqT2y
Wed Dec 24 16:35:05 PST 2014 --  happy holidays everybody! may the naughty ones receive decomposed lumps of my family and friends -Abe pic.twitter.com/VJtEhZkZ7o
Tue Dec 02 15:40:24 PST 2014 --  GIBBS: Great Instincts But Barely Speaks
Sat Dec 20 17:56:35 PST 2014 --  My dad is having a conversation with Siri. #iPhone6 #siri pic.twitter.com/iFleV3M3ou
Sat Dec 20 17:34:49 PST 2014 --  "We will never have a perfect world, but it's not romantic or naïve to work toward a better one." #stevenpinker
Sat Dec 20 08:07:10 PST 2014 --  I need to hire someone who will follow me around and just knock the unhealthy food out of my hand.
Mon Dec 08 17:43:00 PST 2014 --  That awkward moment when you make a Harry Potter reference and none of your Muggle friends get it.
Fri Dec 19 19:18:20 PST 2014 --  "Kristine, you need to get better at this." #telestrations @krosko21 @Jess2589
Fri Dec 19 19:03:02 PST 2014 --  "Kristine, did you fail art?" #telestrations @krosko21 @Jess2589
Thu Dec 18 12:25:30 PST 2014 --  I need a gentleman...No, I mean a G. Callen in my life #ncisla #gcallen pic.twitter.com/No4oblk1Mn
Fri Dec 19 16:48:29 PST 2014 --  Buffalo Chicken Friday continues! pic.twitter.com/vYFudpvaqP
Sun Dec 14 17:04:05 PST 2014 --  Noah had left to do falling skies so for the first time the kids are at the helm with no captain. Pray for us. Hahaaa @LibrariansTNT
Thu May 29 12:36:36 PDT 2014 --  They say "alohomora" because "breaking and entering" just doesn't have the same ring to it.
Thu May 29 18:10:56 PDT 2014 --  #tbt pic.twitter.com/AGNmdxbx0L
Mon Jun 09 18:51:02 PDT 2014 --  Katniss wonders about the type of terrain in which the games will take place. I'm just hoping it's not the Department of Mysteries.
Mon Jun 09 19:07:14 PDT 2014 --  The tributes get trackers inserted in their arm so the gamemakers don't lose them. The rest of us just have to use Twitter and Instagram.
Sat Dec 13 18:16:48 PST 2014 --  http://s0uthpawww.livejournal.com/9401.html  #ncisla #ncis #TheLibrarians
Sun Dec 07 19:07:29 PST 2014 --  Oh, child of the annoying digital age. Oh, silly mid-western person. Oh, Jenkins. #TheLibrarians
Sun Dec 07 19:00:40 PST 2014 --  Meet the Librarians in Training, the LITs. My little LITs. #TheLibrarians #LITs
Sun Dec 07 18:30:16 PST 2014 --  #TheLibrarians stealing the crown jewels with literally 30 seconds of planning. It took Ocean's 11 an ENTIRE MOVIE to rob a casino.
Sun Dec 07 18:29:16 PST 2014 --  Flynn you are officially being walked by a jewel. #TheLibrarians
Sun Dec 07 18:21:36 PST 2014 --  That's right Flynn, save the world one more time. #TheLibrarians
Sun Dec 07 18:20:38 PST 2014 --  You kill off Flynn Carsen in the first episode and I never forgive you, TNT. #TheLibrarians
Sun Dec 07 18:19:49 PST 2014 --  Noah is such a great actor @LibrariansTNT #TheLibrarians
Sun Dec 07 18:09:08 PST 2014 --  John Larroquette!! Dan Fielding from #NightCourt. The casting on this show is awesome. #TheLibrarians
Sun Dec 07 18:05:48 PST 2014 --  But Cal, Flynn is supposed to be your bestie! This is bad. #TheLibrarians
Sun Dec 07 17:40:54 PST 2014 --  "Doing whatever librarians do." "Saving the world." #TheLibrarians
Sun Dec 07 15:51:58 PST 2014 --  One day the anniversary of the attack on Pearl Harbor will have no living survivors. Let's always remember nevertheless.
Sun Dec 07 17:33:20 PST 2014 --  I love when Noah Wyle says, "I'm the Librarian."
Sun Dec 07 17:04:46 PST 2014 --  Just a few minutes in & I already love the dynamic @RebeccaARomijn & Noah Wyle have. #Librarians
Sun Dec 07 17:08:22 PST 2014 --  Watching @LibrariansTNT tonight! Who else is watching? #TheLibrarians #TNT
Sat Nov 29 15:21:52 PST 2014 --  That was not the happy ending I was hoping for. #InLoveandWar #SandraBullock @chrisodonnell
Fri Nov 28 06:41:17 PST 2014 --  Exactly 1 year ago today! (via @timehop) http://timehop.com/c/t:406212462611283968:48715367:6668980:762ff … pic.twitter.com/jvVaXtpKch
Thu Nov 27 11:04:05 PST 2014 --  New entry at LiveJournal: http://j.mp/1y5KBRu 
Tue Nov 25 11:15:15 PST 2014 --  "When the last thing we notice is the color of skin and the first thing we look for is the beauty within" #garthbrooks #PeopleLovingPeople
Mon Nov 24 13:54:18 PST 2014 --  Great time performing @TheAMAs, it's all about #PeopleLovingPeople -love, g http://bit.ly/1zmjgaC  #AMAs pic.twitter.com/qfi1kJnKGv
Tue Nov 11 09:10:34 PST 2014 --  " @trishayearwood: @garthbrooks Good morning, honey! Retweet me. :) @trishayearwood" hey gorgeous!! Miss you this morning. Get back to me:)
Sun Oct 19 10:27:31 PDT 2014 --  #HarryPotterForever
Sun Sep 28 17:29:45 PDT 2014 --  Watching #SWAK in anticipation of the Plague Ambassador's visit to #NCISNOLA this week! #NCIS #TonyDiNozzo
Sat Sep 27 10:11:13 PDT 2014 --  Derek Jeter steps to the plate to a standing ovation at Fenway Park. #FarewellCaptain
Fri Sep 26 05:29:26 PDT 2014 --  Exactly 1 year ago today! (via @timehop) http://timehop.com/c/t:383422052088446976:48715367:6668980:4e66b … pic.twitter.com/tmkvSGBV9E
Tue Sep 23 16:40:22 PDT 2014 --  #NCIS http://timehop.com/c/fs:270742380073:10201946253201216:6668980:ff3ac … pic.twitter.com/fH63gBM1li
Sun Sep 21 06:05:39 PDT 2014 --  4 years ago today, Chloe & Lola took on Midway Beach! http://timehop.com/c/fup:1484030464009:10201946253201216:6668980:7aa4c … pic.twitter.com/KLJUvdiof1
Sun Sep 21 06:02:56 PDT 2014 --  Exactly 1 year ago today! (via @timehop) http://timehop.com/c/t:381582281217155072:48715367:6668980:6a5e0 … pic.twitter.com/JLczaXrLxQ
Mon Sep 15 13:53:20 PDT 2014 --  17 years ago today, Google was launched. (via @timehop) http://www.google.com/about/company/history/ …
Mon Sep 08 03:45:01 PDT 2014 --  Exactly 3 years ago today! (via @timehop) http://timehop.com/c/t:111930079168299008:48715367:6668980:34272 … pic.twitter.com/n3W7j63bO4
Mon Sep 08 03:44:59 PDT 2014 --  Exactly 3 years ago today! (via @timehop) http://timehop.com/c/t:111930057022377985:48715367:6668980:966ad … pic.twitter.com/NR7A7yKBdh
Sat Aug 30 03:43:17 PDT 2014 --  Cranium! We need to play again! http://timehop.com/c/ftp:1006447364730:10201946253201216:6668980:b1ff8 … pic.twitter.com/ZKb0NVhL0w
Fri Aug 29 02:12:39 PDT 2014 --  Exactly 1 year ago today! (via @timehop) http://timehop.com/c/fup:10200622772795033:10201946253201216:6668980:2a555 … pic.twitter.com/ey7Xo4Yymr
Wed Aug 27 05:15:32 PDT 2014 --  22 years ago today, Mario Kart was first released. (via @timehop) http://en.wikipedia.org/wiki/Mario_Kart 
Sun Aug 24 04:58:00 PDT 2014 --  8 years ago today, Pluto was demoted to a dwarf planet. (via @timehop) http://en.wikipedia.org/wiki/Dwarf_planet …
Sat Aug 23 04:08:32 PDT 2014 --  Exactly 4 years ago today! (via @timehop) http://timehop.com/c/ftp:10150263004350235:10201946253201216:6668980:32a3c … pic.twitter.com/uGXpFIr8ip
Sat Aug 23 04:08:02 PDT 2014 --  That time when we had an earthquake & some people didn't even realize it. http://timehop.com/c/t:106073445409882112:48715367:6668980:91457 … pic.twitter.com/TOkflBKv2c
Tue Aug 19 09:05:07 PDT 2014 --  Not a day goes by that I don't think of him &smile. I miss u so much, my beautiful friend. Thanks 4 keeping watch. “ pic.twitter.com/5bt8GrCw5X”
Fri Aug 15 06:59:40 PDT 2014 --  75 years ago today, The Wizard of Oz premiered in Hollywood! (via @timehop) http://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film) …
Thu Aug 14 15:41:01 PDT 2014 --  I see you haven’t fed your Tamagotchi in over 14 years #butthatsnoneofmybusiness
Wed Aug 13 18:19:09 PDT 2014 --  One year ago today, we tweeted the ISS so much, @NASA asked us to stop. #GISHWHES http://timehop.com/c/t:367258490814738432:48715367:6668980:b6a27 … pic.twitter.com/6NBYJD0Rqd
Tue Aug 12 10:04:27 PDT 2014 --  Pandora plays the long version of Friends in Low Places.
Mon Aug 11 16:21:42 PDT 2014 --  Famous actor and comedian, @robinwilliams, has passed away at the age of 63. #RIP You will be missed.
Mon Aug 11 16:23:42 PDT 2014 --  Thanks for sticking it out through the pain as long as you could to make us all happy for so many years. That's selfless. #RipRobinWilliams
Mon Aug 11 16:24:24 PDT 2014 --  #RIPRobinWilliams
Mon Aug 11 16:20:02 PDT 2014 --  Breaking News: Robin Williams, Oscar-Winning Comedian, Dies at 63 http://nyti.ms/VdJiPn 
Mon Aug 11 03:32:10 PDT 2014 --  6 years ago? http://timehop.com/c/ftp:69320275234:10201946253201216:6668980:f69f0 … pic.twitter.com/WZDjWr0ODq
Thu Aug 07 03:29:16 PDT 2014 --  15 years ago today, the first episode of Rocket Power aired! (via @timehop) http://rocketpower.wikia.com/wiki/Episode_list …
Wed Aug 06 03:52:07 PDT 2014 --  11 years ago today, Freaky Friday starring Lindsey Lohan opened in theaters! (via @timehop) http://www.imdb.com/title/tt0322330/ …
Mon Aug 04 00:15:48 PDT 2014 --  “ @EEsposito02: @blakeshelton have you seen this? ;) pic.twitter.com/xk12KSd8ua” Haaa!!! Yeah...
Sat Aug 02 07:08:01 PDT 2014 --  Message to all other #GISHWHES teams: Remember- you are playing for second place.
Sat Aug 02 07:08:01 PDT 2014 --  “ @WilliamShatner: So??? Isn't *IT* today?” #GISHWHES2014
Fri Aug 01 16:39:57 PDT 2014 --  22 years ago today, Baby Got Back by Sir Mix-a-Lot was the top song in the US (via @timehop) http://youtu.be/_JphDdGV2TU 
Thu Jul 31 03:43:02 PDT 2014 --  When @Jarpad discovered Florida Georgia Line. http://timehop.com/c/t:362653978489655297:48715367:6668980:d9161 … pic.twitter.com/XfHLJk4sXz
Thu Jul 31 03:41:42 PDT 2014 --  25 years ago today, Nintendo released The Game Boy in the US (via @timehop) http://en.wikipedia.org/wiki/Game_Boy 
Sun Jul 13 16:45:28 PDT 2014 --  The Mini Sink! #icecream #disney #mickeymouse #beachesandcream http://instagram.com/p/qaP-pIN6sI/ 
Thu Jul 10 17:47:25 PDT 2014 --  It's disturbing that a 10 year old on one of those mall quarter rides just said, "I feel like a child again!"
Tue Jul 08 02:59:28 PDT 2014 --  Happy Birthday, @M_Weatherly!
Sat Jul 05 12:15:07 PDT 2014 --  parents act like they are cooking for the entire city of Bangkok when a holiday comes and then expect you to eat that shit for 2 weeks
Fri Jul 04 08:45:54 PDT 2014 --  Feeling blessed & grateful to live in this fantastic country! Freedom RULES! So much love to all of you! #USA #America #TeamAmerica
Fri Jul 04 08:46:03 PDT 2014 --  This is the year of #sevens! I can't wait until 7/7/2014. The wait is over! #GarthBrooks #GarthBrooksComeback
Thu Jul 03 09:40:49 PDT 2014 --  "The wait is over... 7/7" Presumably the announcement of Garth Brooks' American tour and dates. #StayTuned #BigNews pic.twitter.com/2DyRvdQenq
Sun Jun 29 18:14:59 PDT 2014 --  Good stat on the scoreboard: Jeter is the only man in Yankees history to play for the team before his 21st birthday & after his 40th.
Wed Jun 25 06:06:07 PDT 2014 --  Last night's #RizzoliandIsles really blurred the line between fiction and reality. #RIP #LTY We miss you.
Tue Jun 24 18:59:56 PDT 2014 --  Angie Harmon was absolutely brilliant in that scene. #RizzoliandIsles
Tue Jun 24 18:57:50 PDT 2014 --  there showing lee's pictures and I'm sobbing #riplee #RizzoliandIsles
Tue Jun 24 18:57:51 PDT 2014 --  NOOOOOO they used an actual picture from angie :'( #rizzoliandisles
Tue Jun 24 18:51:53 PDT 2014 --  "The barista gave me the usual. I didn't have the heart to give it back." #Korsak #RizzoliandIsles #BarryFrost #Goodbye #ripleethompsonyoung
Tue Jun 24 18:45:29 PDT 2014 --  Tryna get rid of all of my tears now, cause I won't be able to handle Jane's breakdown. #RizzoliAndIsles
Tue Jun 24 18:23:03 PDT 2014 --  I'm so glad they could put a little light humor into this episode, I think he would have wanted that. #rizzoliandisles #ripleethompsonyoung
Tue Jun 24 18:20:37 PDT 2014 --  Poor Jane. She's in denial and seeing Frost everywhere. Let it out. I know the rest of us are. #RizzoliandIsles
Tue Jun 24 18:20:51 PDT 2014 --  @JanNash100 This must a difficult episode for all of you. Thank you for doing this situation justice. #RizzoliandIsles
Tue Jun 24 18:21:05 PDT 2014 --  Angie was amazing when we were shooting that scene. Such a level of professionalism and commitment. She is incredible. #RizzoliandIsles
Tue Jun 24 18:21:44 PDT 2014 --  #RizzoliandIsles #Goodbye Barry Frost. You are missed, @Lee_T_Young.
Sun Jun 22 13:59:42 PDT 2014 --  Its the 1st official weekend of Summer. Get out there&wear yourself out so you can make a date with your couch at 10/9c for #FallingSkies S4
Tue May 27 21:07:45 PDT 2014 --  Texting wasn't always easy. In my day, you had to work for it. You had to want it. You need an S? You better click that 7 button FOUR TIMES.
Sun Jun 15 17:40:02 PDT 2014 --  Shawn: "But now, high school is over. And just when I'm finally free, I find myself sneaking back into this place and sitting in the hall."
Sat Jun 14 06:27:58 PDT 2014 --  Need a summer job? Become a lifeguard! Certification Classes. Flexible Hours. Work Locally. PM me #lifeguard #jobs #jobseekers #summer #work
Mon Jun 09 22:00:07 PDT 2014 --  Ask me a question | http://ask.fm/s0uthpawww 
Mon Jun 09 20:44:25 PDT 2014 --  I feel like the 5th season premiere of some show is on tomorrow ?
Mon Jun 09 16:35:05 PDT 2014 --  Chipotle for dinner twice in three days? Why not???
Mon Jun 09 12:20:41 PDT 2014 --  Five and a half hours on the road and we've passed two major accidents. Thinking driving isn't the safest. Lost over an hour in traffic.
Sun Jun 08 15:08:12 PDT 2014 --  Friend: how long does it take for you to fall in love? Me: a couple of music videos I guess
Sun Jun 08 14:00:01 PDT 2014 --  Ready. Aim. Shoot! RT if you're ready for the return of #FallingSkies Sunday, June 22 at 10/9c. pic.twitter.com/rbZs49ZEBY
Sun Jun 08 10:47:24 PDT 2014 --  Wade Hayes! #cmafest #cmafest2014 http://instagram.com/p/o_fLeMt6o5/ 
Sun Jun 08 10:45:32 PDT 2014 --  #cmafest #cmafest2014 #saraevans http://instagram.com/p/o_e9sfN6oV/ 
Sun Jun 08 10:44:20 PDT 2014 --  #cmafest #cmafest2014 #brantleygilbert #bottomsup #bonnieandclyde http://instagram.com/p/o_e09Ht6oN/ 
Sun Jun 08 06:52:44 PDT 2014 --  Mornin' #CMAFest-ers! Last night @LP_Field & we are about to pick the winner for the #cmafestseatupgrade! RT if you wanna win!
Sat Jun 07 16:41:57 PDT 2014 --  My first Tennessee tornado watch!
Sat Jun 07 13:44:30 PDT 2014 --  Island Girl #bluechairbay #kennychesney #cmafest2014 http://instagram.com/p/o9OpwbN6hK/ 
Sat Jun 07 13:00:13 PDT 2014 --  David Nail! @davidnail #cmafest #cmafest2014 http://instagram.com/p/o9JlWkt6nG/ 
Sat Jun 07 09:15:58 PDT 2014 --  Got to meet @tyherndoncom on #CMAFest Day 1! #cmafest2014 http://instagram.com/p/o8v61FN6in/ 
Sat Jun 07 07:31:25 PDT 2014 --  Finally got to meet @chuckwicksmusic at #CMAFest!! #CMAFest2014 @AmericasMorning
Thu Jun 05 17:18:10 PDT 2014 --  #ChevyCMA #seatupgrade #CMAFest #CMAFest2014 pic.twitter.com/KSRN3MHsts
Thu Jun 05 14:03:09 PDT 2014 --  #DayDrinking #LittleBigTown #CMAFest2014 http://instagram.com/p/o4HMjvN6gY/ 
Thu Jun 05 05:55:01 PDT 2014 --  #TBT to meeting @LukeBryanOnline at #CMAFest2012 <3 #CMAFest2014 @CMAFestVIP #LukeBryan pic.twitter.com/0BZig8KWJy
Wed Jun 04 15:02:43 PDT 2014 --  Finally in #Nashville! Dinner at Margaritaville, then #CMTMusicAwards! #cmt #CMAFest2014
Wed Jun 04 10:13:50 PDT 2014 --  22 years ago today, Harry Potter killed Professor Quirrell.
Wed Jun 04 09:17:53 PDT 2014 --  Happy birthday, Noah Wyle! RT and give Tom Mason a birthday shout-out! #FallingSkies returns June 22 at 10/9c! pic.twitter.com/ysncnxIi80
Wed Jun 04 08:54:10 PDT 2014 --  Giving away #CMAFestSeatUpgrade this year for the Sunday night #CMAFest show! http://www.cmafestvip.com/cmafest-2014-upgrade-your-lp-field-seats-to-row-10-for-the-sunday-night-show/ … Tweet & Post! pic.twitter.com/A6nXBUIlf5
Wed Jun 04 08:32:00 PDT 2014 --  Tell everyone... #CMTawards pic.twitter.com/itvmZJSP4t
