Sat Aug 29 12:37:41 PDT 2015 --  I see you I see you I swear I see you https://twitter.com/touchcameron/status/637709711727534080 …
Sat Aug 29 11:15:37 PDT 2015 --  It's healin up quite nicely I'll be able to eat sour things & kiss again soon so it's a great day https://twitter.com/amarissotomayor/status/637689643677392896 …
Sat Aug 29 11:15:07 PDT 2015 --  Happy Birthday Michael Jackson may the king of pop always rest in peace. Legend.
Sat Aug 29 11:13:58 PDT 2015 --  Instagram yooo. Not much is different tho. I just tamed the mane a bit https://twitter.com/smileatkian/status/637688724843823104 …
Sat Aug 29 10:56:36 PDT 2015 --  LOL I wore this giant cowboy hat today for some of the shots we filmed haha pic.twitter.com/18nFYCwuH7
Sat Aug 29 11:08:23 PDT 2015 --  How come u know me so well https://twitter.com/internetkidjc/status/637686969854763008 …
Sat Aug 29 11:11:49 PDT 2015 --  Either Stay Together For the Kids or Adams Song close call https://twitter.com/trygilinsky/status/637688524817481728 …
Sat Aug 29 11:11:53 PDT 2015 --  Haha, at a thrift shop🏼 https://twitter.com/creaturecaylen/status/637688595944501248 …
Sat Aug 29 11:06:18 PDT 2015 --  I will be listening to Ed Sheeran one minute, Blink-182 the next, then Migos shortly after
Sat Aug 29 11:05:33 PDT 2015 --  My music taste is so bipolar
Sat Aug 29 11:00:49 PDT 2015 --  Nomnomnom @KalinWhite looks yummy on our SnapChat~ oh wait we mean the chicken ID: TheDigiTour pic.twitter.com/aDngJnLfmh
Sat Aug 29 10:59:49 PDT 2015 --  Hey.. Good mornin u. Xx
Sat Aug 29 10:43:32 PDT 2015 --  One week till digifest with my girls. @mitchellrebeka1 @DMakall
Sat Aug 29 10:10:52 PDT 2015 --  One week til Digifest!
Sat Aug 29 10:06:12 PDT 2015 --  Try something today that your future self will thank you for :)
Sat Aug 29 09:34:08 PDT 2015 --  my love @RickyPDillon pic.twitter.com/VNW60koP4J
Sat Aug 29 09:32:09 PDT 2015 --  Fun things happening on our SnapChat right now w/ @KalinAndMyles! 🏻🏻🏻 CHECK ITTTT! Username: TheDigiTour pic.twitter.com/8HVE1lQHxH
Sat Aug 29 09:07:39 PDT 2015 --  Go add @DigiTour snap chat is thedigitour pic.twitter.com/VlJJEib4Zx
Sat Aug 29 09:00:16 PDT 2015 --  YOOOO @KalinAndMyles r going to takeover our SnapChat RIGHT NOW!!! CHECK IT OUUUUT ID: TheDigiTour pic.twitter.com/2KHJdMb7M4
Sat Aug 29 08:30:25 PDT 2015 --  Ur chance to win tix for DigiFest next weekend!! https://www.hive.co/l/3q4m  #DigiFestHereWeCome pic.twitter.com/iEAtHR1dpP
Sat Aug 29 08:30:44 PDT 2015 --  when you wake up from a dream and you immediately cant remember really anything about it but you know it was a good one
Sat Aug 29 07:55:24 PDT 2015 --  . @KalinAndMyles YASSSSSS starting in 1 hour let's do this RT!! pic.twitter.com/mdFeRuyrYg
Sat Aug 29 08:00:49 PDT 2015 --  SLAYBELLS VIP tix update! Milwaukee: 7 Birmingham: 9 Pittsburgh: 18 Minn: 17 Detroit: 18 Tix http://theDigitour.com/slaybells 
Sat Aug 29 07:52:12 PDT 2015 --  We're gonna be taking over @DigiTour's snapchat today at 12pm! their snapchat is thedigitour
Sat Aug 29 07:37:29 PDT 2015 --  @jennxpenn literally me this week too lol how fun!
Sat Aug 29 07:31:10 PDT 2015 --  SQUAD 🏻🏻🏻🏻 pic.twitter.com/XmpELWX2Cg
Sat Aug 29 04:22:43 PDT 2015 --  @HayesGrier is gunna be BOMB on #DWTS cuz look at these moves SO PROUD (Vine by @DigiTour) https://vine.co/v/ej0d0meenpO 
Sat Aug 29 06:10:31 PDT 2015 --  as of right now, my whole life consists on preparing for digi slaybells in December. @TheDigisaur @DigiTour #IWANTDIGI
Sat Aug 29 06:02:49 PDT 2015 --  @DigiTour PLEASE can we get 2 GA tix to CC London #DigiTourEdits xo @TheMattEspinosa x? pic.twitter.com/P4fTBm2kVG
Sat Aug 29 06:57:15 PDT 2015 --  My outfit for Digitour slaybells Toronto @DigiTour pic.twitter.com/GtS2KcksJn
Sat Aug 29 07:06:31 PDT 2015 --  Good morning! Day 3 of music video shoot :~) for the extras that are coming we're running about 20 min late, be there soon!
Sat Aug 29 07:00:15 PDT 2015 --  REUNITED W/ @Nashgrier in 8 DAYS https://vine.co/v/eMdlTPe9e7U 
Sat Aug 29 06:51:44 PDT 2015 --  Excited to play tonight with @taylorswift13 & @vancejoy ! I missed you guys!
Sat Aug 29 04:05:04 PDT 2015 --  EXCLUSIVE: A #TeenWolf star's car got keyed! http://bit.ly/1PDJXzO  pic.twitter.com/pm340omgQJ
Fri Aug 28 21:21:11 PDT 2015 --  I'm bored... What's up? pic.twitter.com/w5kgtGNKQN
Fri Aug 28 21:05:04 PDT 2015 --  Happy with all the content I've been making and all the content coming... Excited for you all to see (:
Fri Aug 28 21:00:13 PDT 2015 --  SLAYBELLS VIP tix update! Milwaukee: 8 Birmingham: 9 Pittsburgh: 19 Minn: 18 Detroit: 18 Tix http://theDigitour.com/slaybells 
Fri Aug 28 20:48:09 PDT 2015 --  if you hate on me at least be original
Fri Aug 28 20:39:35 PDT 2015 --  In a shitty mood
Fri Aug 28 20:31:03 PDT 2015 --  WHO WANTS TO WIN SOME DIGIFEST TIX?! GOOOO https://www.hive.co/l/3q4m  #DigiFestHereWeCome RT!!! pic.twitter.com/gOFNjHzYE2
Fri Aug 28 20:27:56 PDT 2015 --  However now I am well rinsed. Who wants to chill?
Fri Aug 28 20:22:00 PDT 2015 --  Today is your day :)
Fri Aug 28 20:20:30 PDT 2015 --  rt/fav if you like my hair down pic.twitter.com/gA5FCFDwV8
Fri Aug 28 20:13:38 PDT 2015 --  Love seeing fans when I haven't showered yet and have sweated profusely throughout the day sorry guys hope I didn't smell too bad lol
Fri Aug 28 20:12:36 PDT 2015 --  What to do on a Friday... Besides sit at home...
Fri Aug 28 20:10:38 PDT 2015 --  Chocolate milk is
Fri Aug 28 20:10:25 PDT 2015 --  Just watched Pacino kill De Niro
Fri Aug 28 20:09:45 PDT 2015 --  . @whipnashh love you more
Fri Aug 28 20:05:35 PDT 2015 --  I for real wanna go on a date
Fri Aug 28 20:00:01 PDT 2015 --  . @KalinAndMyles is taking over our SnapChat tomorrow & we're SOOO excited!! Username TheDigiTour pic.twitter.com/e1P0hN2G95
Fri Aug 28 16:49:06 PDT 2015 --  . @MahoganyLOX dishes how she's prepping for a big #VMAs event weekend! pic.twitter.com/FJObKBpz4C
Fri Aug 28 19:55:08 PDT 2015 --  Happy 18th birthdayyy to my boy @andrewbazzi !!
Fri Aug 28 19:42:00 PDT 2015 --  uploaded a pic on instagram with my hair down... lemme know what you think! user - @carterreynolds
Fri Aug 28 19:41:49 PDT 2015 --  add me on snapchat bc let's be real it's friday night which means neither of us have anything remotely better to do pic.twitter.com/Amxhhl8nIB
Fri Aug 28 19:30:19 PDT 2015 --  #CreativeCollabTour VIP tix update Orlando: 17 Ft Laud: 22 DC: 14 Albany: 23 Phoenix: 23 SD: 19 Anaheim: 13 http://theDigitour.com/creativecollab 
Fri Aug 28 19:24:25 PDT 2015 --  @jccaylen 's snapchat stories are always amusing.
Fri Aug 28 19:22:52 PDT 2015 --  Don't fuck w my hot wings yo
Fri Aug 28 19:21:58 PDT 2015 --  YOU ALREADY KNOW https://twitter.com/iamKingLos/status/637449666993496064 …
Fri Aug 28 19:17:19 PDT 2015 --  Hi I'm in Dallas
Fri Aug 28 19:16:56 PDT 2015 --  Yikes don't mess with Jc and his hot wings
Fri Aug 28 13:30:25 PDT 2015 --  New Music: @skatemaloley Ft. @iamKingLos - "Girls I Use To F*ck" http://www.djcarisma.com/2015/08/28/new-music-skate-ft-king-los-girls-i-use-to-fck/ … #DJCarisma #YoungCalifornia
Fri Aug 28 19:00:22 PDT 2015 --  ONLY GOOD VIBES HURRRR pic.twitter.com/2uIecHCpt4
Fri Aug 28 18:58:54 PDT 2015 --  LA show all ages now
Fri Aug 28 18:55:46 PDT 2015 --  Sept 22- Chicago IL http://www.lh-st.com/Shows/09-22-2015+King+Los …
Fri Aug 28 18:55:10 PDT 2015 --  Oct 1- New York https://www.ticketfly.com/purchase/event/948803 …
Fri Aug 28 18:54:07 PDT 2015 --  That's dope as hell! And Pittsburgh tix coming https://twitter.com/sydski414/status/637440965419118592 …
Fri Aug 28 18:47:55 PDT 2015 --  You already know my dj coming wit me! - @DJRupp_
Fri Aug 28 18:38:11 PDT 2015 --  I missed you guys
Fri Aug 28 18:35:16 PDT 2015 --  Got a new phone
Fri Aug 28 18:31:49 PDT 2015 --  LA-Sept 10th- Let's Get It Poppin! http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=6122555&pl=shealy …
Fri Aug 28 18:30:16 PDT 2015 --  Congrats @raybanjacks u win the #MuddStage giveaway! Ur gunna be styled by @JackAndJackReal & @SammyWilk ON STAGE AT DIGIFEST DALLAS!
Fri Aug 28 18:23:59 PDT 2015 --  They're after me. Jacob, Ronnie and Jeremy. "Untold and Untrue" - http://apple.co/1JztF6y 
Fri Aug 28 18:19:48 PDT 2015 --  He's upset
Fri Aug 28 18:18:38 PDT 2015 --  Don't listen to the haters
