Wed Aug 26 09:00:10 PDT 2015 --  And now he kills himself? What a coward. #smh
Tue Jul 14 19:58:54 PDT 2015 --  First night sober in 8 nights. Death is soon, but damn do I miss the beach #ithurts #theshakesarereal #waterplease
Sun Jul 12 18:10:05 PDT 2015 --  Kang, Pompeani, Marlins Man - most interesting men in the world in one pic pic.twitter.com/OV2i3M8hwH
Sun Jul 12 17:40:34 PDT 2015 --  The #pirates are on national television while we're at the beach. Epic levels of happiness with… https://instagram.com/p/5DnowMtmC6/ 
Sun Jul 12 15:43:34 PDT 2015 --  Sushi place were at in Myrtle has over 150 special rolls & 2 bottles for 5$ shot sake. Never have I missed @CTHURST25 more lmao
Sun Jul 12 10:27:17 PDT 2015 --  This is how my Sunday funday is going https://instagram.com/p/5C2DNKNmBc/ 
Sat Jul 11 12:18:13 PDT 2015 --  This random ass beach bar has a special clearly for @swords_vicki pic.twitter.com/gOHTztDO5y
Sat Jul 11 11:42:27 PDT 2015 --  Party bus! With @AshtonR3 @ZoeKauffer and the gang pic.twitter.com/AQPZKjlvHc
Sat Jul 11 11:11:35 PDT 2015 --  No coincidence this is why were taking a party bus today @ZoeKauffer @mmiller0518 “ @WhiteGirIs: what's today's date? http://twitter.com/TweetLikeAGirI/status/619914035568316416/photo/1pic.twitter.com/Qp6AXdOFOt ”
Wed Jul 08 18:17:21 PDT 2015 --  Hey Twitter what's up? Just riding around with my fam on a party bus in myrtle beach. Standard?
Tue Jul 07 14:46:24 PDT 2015 --  That sign said 60 miles to myrtle beach? I thought it said time to bust out the flask?
Mon Jul 06 09:31:43 PDT 2015 --  Packing anxiety has hit an all time high. If I could only start the packing.
Sun Jul 05 16:35:31 PDT 2015 --  Hot mess express selfie https://instagram.com/p/4xeoJNNmJ6/ 
Sun Jul 05 12:59:01 PDT 2015 --  What other bar in Morgantown lets you play cornhole, pass football, drink brews, and enjoy outside? Only @Tropics_WV pic.twitter.com/JspgpXE1D0
Sun Jul 05 07:05:45 PDT 2015 --  @vodkamau5 @AshtonR3 @michaelajo10 @mmiller0518 @bsped @shizwvu @tweetlessrist @itsrobmcginnis @CartfuciousSays @tayytardd #SundayBrunch
Fri Jul 03 16:43:35 PDT 2015 --  Just because this is an outside restaurant, it doesn't mean LET YOUR CHILDREN RUN AROUND LIKE FUCKING CRAZY PEOPLE
Fri Jul 03 09:53:50 PDT 2015 --  Two more shifts. Two more shifts. I can do this. Maybe.
Fri Jul 03 07:12:51 PDT 2015 --  Why the fuck is everything closed. It's the THIRD of July, was not aware we got a pregame the 4th holiday too
Thu Jul 02 11:27:09 PDT 2015 --  Morning shifts with @CTHURST25 & #Roy will one day be the death of me #knowwhatimsayin
Thu Jul 02 08:14:49 PDT 2015 --  "My sex life eats a lot of cheeseburgers"
Wed Jul 01 16:07:32 PDT 2015 --  Fell down the stairs completely sober. This is the second time in like 2 weeks. What is wrong with me?!?!
Wed Jul 01 09:55:13 PDT 2015 --  BREAKING: #Leafs trade Phil Kessel to Penguins pic.twitter.com/NWg9QDOeBd
Wed Jul 01 09:42:03 PDT 2015 --  Any day now penguins....
Tue Jun 30 19:07:22 PDT 2015 --  At what age exactly do grown men realize fireworks inside the house is really not okay
Tue Jun 30 10:32:48 PDT 2015 --  I know I don't get out much anymore, but the hell did I miss the demolition of a whole huge apartment complex? Wtf wvu
Mon Jun 29 07:34:26 PDT 2015 --  Sunday Ashton really needs to stop telling herself she can do Monday's hungover
Mon Jun 29 06:59:45 PDT 2015 --  #neverforget @vodkamau5 @swords_vicki pic.twitter.com/pKVOdoJ3NU
Fri Jun 26 13:05:57 PDT 2015 --  Dream job: be one of the people who make the playlist on @Spotify when big events like today happen. Seriously, I'd be so good.
Fri Jun 26 12:27:58 PDT 2015 --  “May God continue to shed His grace on the United States of America." — @POTUS http://snpy.tv/1Gy4vEQ 
Fri Jun 26 07:34:58 PDT 2015 --  The White House Facebook profile pic in honor of legalizing gay marriage http://huff.to/1BH7u0W  pic.twitter.com/XO5DYCYhs1
Fri Jun 26 07:02:40 PDT 2015 --  pic.twitter.com/zB1lurbv5b
Fri Jun 26 07:10:05 PDT 2015 --  One day people will look back and wonder what took so long. https://twitter.com/WSJ/status/614433797354975232 …
Fri Jun 26 07:12:07 PDT 2015 --  You go America, you go! #MarriageEquaility
Fri Jun 26 07:02:18 PDT 2015 --  BREAKING: Supreme Court says same-sex couples have right to marry in all 50 states.
Fri Jun 26 07:02:11 PDT 2015 --  BREAKING: Supreme Court grants right to same-sex marriage.
Wed Jun 24 19:49:17 PDT 2015 --  Made too much zucchini bread....who wants some?!?!
Mon Jun 22 06:53:18 PDT 2015 --  Current status: dying
Sat Jun 20 09:03:04 PDT 2015 --  Someone come entertain me at work
Thu Jun 18 07:40:25 PDT 2015 --  Whoever put the child safety locks on the squeezy gatorades has clearly never been hungover
Wed Jun 17 19:18:50 PDT 2015 --  Trying to make mutts a thing again with @bsped @swords_vicki @CTHURST25 & #twitterlessmike #youhadmeat250jameson
Wed Jun 17 16:35:19 PDT 2015 --  When we get dressed up to go out @bsped pic.twitter.com/uouvR1DAK0
Mon Jun 15 20:57:55 PDT 2015 --  Too cute mmiller0518 @CTHURST25 https://instagram.com/p/3-cwj3tmG_/ 
Mon Jun 15 20:30:42 PDT 2015 --  May have just youtubed the 2009 Stanley cup finals. May have cried. Again.
Mon Jun 15 20:13:13 PDT 2015 --  I'm crying and I hate this team. Mostly cause it should be the Penguins
Mon Jun 15 20:12:16 PDT 2015 --  I NEED THIS TO HAPPEN IN PITTSBURGH!!!! ANYTIME NOW
Mon Jun 15 12:03:23 PDT 2015 --  Hopes my neighbor understands the grown man passed out in my car early in the afternoon. I left the windows down atleast
Mon Jun 15 09:26:58 PDT 2015 --  Update: still in pajamas, drinking titos with @CTHURST25 & Roy. Gonna be a good day
Mon Jun 15 07:47:15 PDT 2015 --  You know it's our day off when @CTHURST25 comes out of the gas station with a bottle of vodka before 1030am
Sun Jun 14 15:32:14 PDT 2015 --  Hey friends. Once again. What's going on tonight friends? @CartfuciousSays @tweetlessrist @tayytardd @itsrobmcginnis @Chelcsayyss
Sat Jun 13 21:32:43 PDT 2015 --  People who don't respond to me saying meow as an answer to anything is just cray
Fri Jun 12 22:04:53 PDT 2015 --  Will the pain in my feet ever stop? That is the real question. #serverlife
Fri Jun 12 10:50:01 PDT 2015 --  In case anyone was wondering, it's approximately 3 billion degrees outside.
Thu May 21 02:31:39 PDT 2015 --  U.S. Route 50 - Known as America's most lonely road. Scary at times. pic.twitter.com/6zN1DtrFRA
Wed Jun 10 23:58:14 PDT 2015 --  Forever Young https://instagram.com/p/3x5a6sNmA_/ 
Wed Jun 10 20:15:46 PDT 2015 --  @LivingIitUp @AshtonR3 backdoor
Wed Jun 10 18:46:39 PDT 2015 --  We just had full on areola at the green turtles second day open....thanks @michaelajo10
Wed Jun 10 15:40:35 PDT 2015 --  Hey friends. What's everyone doing tonight friends? @tayytardd @Chelcsayyss @tweetlessrist @itsrobmcginnis @CartfuciousSays
Mon Jun 08 20:05:44 PDT 2015 --  Sometimes I even empress myself. Key ingredient, leave and drink for 3 hours for maximum tenderness.… https://instagram.com/p/3sVOLnNmDR/ 
Mon Jun 08 15:33:58 PDT 2015 --  My housewives #mybitches mmiller0518 #twitterlessmike https://instagram.com/p/3r2Hx9NmAy/ 
Mon Jun 08 07:26:23 PDT 2015 --  Ellen has made me cry 4 times today already.
Thu Jun 04 20:45:49 PDT 2015 --  Irving has learned well from Bron Bron. When in doubt limp.
Wed Jun 03 22:59:49 PDT 2015 --  *poonhound - @CTHURST25
Wed Jun 03 21:55:38 PDT 2015 --  Yep, I was right. Things are getting excessively weird
Wed Jun 03 21:26:37 PDT 2015 --  pic.twitter.com/ipd6ErF5bX im IN the bat mobile! @swords_vicki
Wed Jun 03 18:40:06 PDT 2015 --  Totally feeling a @TheBackDoorWV kind of night. This can only end one way....
Wed Jun 03 15:58:15 PDT 2015 --  Haven't been invited to one wedding this summer. You go friends! 🏻🏻
Wed Jun 03 15:47:10 PDT 2015 --  The repulsive things I've seen on Facebook about Caitlyn Jenner from people from my hometown...smh...I'm disgusted yet not even surprised
Tue Jun 02 11:20:41 PDT 2015 --  My cats are single handedly going to drive me crazy.
Mon Jun 01 11:17:45 PDT 2015 --  Been at kennywood for 5 minutes and already convinced @CTHURST25 & #twiterlessmike to win a giant oversized stuffed unicorn #itssofluffy
Mon Jun 01 09:59:17 PDT 2015 --  Say whatever you want about the Kardashian's but they constantly highjack the internet.
Mon Jun 01 08:47:23 PDT 2015 --  "I wrote a book, it's just in my head" - @CTHURST25
Sun May 31 19:46:31 PDT 2015 --  My friends have all lost there shit
