Wed Aug 19 13:42:39 PDT 2015 --  Nico Toutenhoofd, ID partner and photog has a stunning @instagram. http://bit.ly/1E4L7UA  #WorldPhotographyDay pic.twitter.com/w04YcNLCvs
Mon Aug 17 14:41:04 PDT 2015 --  We are proud to have made the @Inc 5000 list! https://twitter.com/Inc/status/631419914318946305 …
Tue Oct 01 15:16:06 PDT 2013 --  Order a keg or two from http://liquormart.com  on your phone or tablet with our #magento #responsivedesign.
Thu Sep 26 08:06:33 PDT 2013 --  Welcome Shannon! #Interns are the swellest (especially when they love to rock climb and design rad websites)! http://insightdesigns.com/faces.shannon.html …
Tue Sep 24 09:34:28 PDT 2013 --  We used #magento and #bootstrap to build @GivenGoods new site, and loved every minute of it! Shop and give back at http://givengoods.co/ 
Thu Jun 20 15:36:14 PDT 2013 --  New on the ID Blog: Insight Designs matching client donations 2-to-1 http://www.insightdesignsblog.com/?p=885 
Tue Mar 05 08:59:01 PST 2013 --  New on the ID Blog: Happy 14 Insight Designs! http://www.insightdesignsblog.com/?p=878 
Fri Mar 01 11:13:21 PST 2013 --  New on the ID Blog: "A Place at the Table" opens in theaters nationwide today http://www.insightdesignsblog.com/?p=867 
Wed Jan 16 15:06:20 PST 2013 --  Welcome aboard to our newest programmer: the amazing Evan Crouch. http://www.insightdesigns.com/faces.evanc.html …
Wed Jan 16 14:51:16 PST 2013 --  New on the ID Blog: Chasing Ice original song nominated for Oscar http://www.insightdesignsblog.com/?p=855 
Wed Sep 26 16:49:00 PDT 2012 --  New on the ID Blog: http://ThisLife.com  wins Award! http://bit.ly/P708pw 
Thu Sep 06 10:32:14 PDT 2012 --  New on the ID Blog: Don't miss "Chasing Ice" from the producer of Academy-Award winning "The Cove" http://bit.ly/P4aVod 
Mon Aug 20 14:03:37 PDT 2012 --  New on the ID Blog: Make the most of your Facebook Timeline http://bit.ly/MHwbzT 
Fri Aug 10 10:41:56 PDT 2012 --  Who's excited for the @boulderclassic on Sunday?
Thu Aug 09 08:41:22 PDT 2012 --  Steps to add your business to the Google Places directory http://tinyurl.com/7p8dfcc  #marketing #business #google
Tue Jul 31 09:30:10 PDT 2012 --  28 Tips for Designing Effective HTML Emails http://kiss.ly/LTSS3s 
Fri Jul 27 14:10:27 PDT 2012 --  New on the ID Blog: So proud of our client Olympians http://bit.ly/MKBPlB 
Fri Jul 27 12:40:40 PDT 2012 --  We raised almost $49,000 for @ChildrensColo at #CourageClassic Donate to our team until 8/30 to get us to our $50K goal http://bit.ly/QP2SwK 
Fri Jul 20 13:54:45 PDT 2012 --  New on the ID Blog: Courage, here we come; office closed Monday, July 23 http://bit.ly/MN6E3W 
Thu Jul 19 09:42:51 PDT 2012 --  Smartphone and tablet use for opening email has grown 80% in 6 months-are your email campaigns ready? http://litmus.com/blog 
Thu Jun 14 14:21:50 PDT 2012 --  We're super excited to be #31 on the BCBR's Mercury 100 Fastest Growing Companies! Thanks to our clients for getting us there! #merc100
Fri Jun 01 15:49:37 PDT 2012 --  New on the ID Blog: Thanks for making us fork over $10K! http://bit.ly/LmmK46 
Tue May 22 08:35:51 PDT 2012 --  Just launched http://www.marketonce.com  Check it out to see if their software can help your business or to check out another Insight site.
Thu May 17 11:45:28 PDT 2012 --  New on the ID Blog: Check out this super fab new app that ID designed! http://bit.ly/JTeFoj 
Wed May 02 12:00:56 PDT 2012 --  New on the ID Blog: Want one of these cool jerseys? http://bit.ly/KP8YKs 
Thu Apr 26 07:21:04 PDT 2012 --  Our most recently launched site, http://www.relcentral.org/  is a bright site dedicated to supporting admin and teachers in the central US.
Mon Apr 23 10:18:39 PDT 2012 --  New on the ID Blog: Help us help kids with cancer http://bit.ly/JMuj2n 
Thu Apr 19 07:58:55 PDT 2012 --  Head over to our most recently launched site, http://www.certifiedelectronics.net  for the latest and greatest in headphone technology!
Wed Apr 18 09:01:47 PDT 2012 --  We've been busy! We launched another new site, this time for psychologist Dr. Lisa Damour. Head over to her site at http://www.drlisadamour.com/ 
Tue Apr 17 09:48:44 PDT 2012 --  We just launched Inside Japan - take a look at http://www.japanrailpass.us 
Wed Apr 04 09:52:58 PDT 2012 --  New on the ID Blog: Does My Business Need a Blog? http://bit.ly/HhGXrc 
Tue Apr 03 08:17:53 PDT 2012 --  We just launched the Stroke and Neurovascular Center of Central California site. Check it out at http://www.snc.md 
Wed Mar 28 07:13:13 PDT 2012 --  We've added some new faces to our staff - head over to our website to check them out! http://www.insightdesigns.com/faces.html 
Wed Mar 14 07:00:48 PDT 2012 --  Kudos to our client, #Crocs, for donating $2,376 to There With Care, an organization close to Insight's heart.
Thu Mar 01 10:12:49 PST 2012 --  New on the ID Blog: It's official. Insight is a teenager. http://bit.ly/yEUZPB 
Fri Dec 30 08:59:26 PST 2011 --  New on the ID Blog: Goodbye to Java http://bit.ly/vtfpPU 
Fri Dec 09 15:33:45 PST 2011 --  New on the ID Blog: Holiday party a hit http://bit.ly/rAIUEN 
Fri Dec 02 15:27:49 PST 2011 --  The Insight holiday party is tonight. Come by and say hi, eat, drink, and enter our raffle! At @SaxysCafe (10th & Pearl) from 5:30-9:30.
Tue Oct 18 08:18:58 PDT 2011 --  We never really used Google Buzz, but are there any other business out there that are sad to see it go?
Fri Oct 14 13:01:52 PDT 2011 --  New on the ID Blog: Insight Designs Named Best Company to Work For http://bit.ly/nMu9hk 
Wed Oct 05 15:13:22 PDT 2011 --  Do you prefer to use google apps for your custom domain email addresses, or your site's hosting services?
Wed Sep 21 08:48:52 PDT 2011 --  Doing some office redecorating. Who knew this space could be so open?
Fri Sep 16 14:45:54 PDT 2011 --  New on the ID Blog: Insight featured in Skiing Business article "Your Website Might Suck" http://bit.ly/qksfB1 
Wed Sep 14 13:14:45 PDT 2011 --  New on the ID Blog: Laird is better and I'm back to blogging! http://bit.ly/omhyWU 
Fri Sep 09 17:16:01 PDT 2011 --  The latest @ncwit award portal is live, just in time for the award season. Encourage your daughters/students to apply! ncwit.org/awardportal
Fri Aug 26 08:31:59 PDT 2011 --  It's that time of year again! Holiday card photoshoot. http://twitpic.com/6bihsw 
Fri Aug 26 06:59:54 PDT 2011 --  Hey everybody! We have our staff retreat today so no one is at the office to answer phones. Fun day planned, we'll update you with photos!
Tue Aug 09 08:51:37 PDT 2011 --  Do we host your email? Remember to utitlize autoresponders when you're on vacation. Just fill out our form here: http://bit.ly/qcaKjY 
Fri Jul 22 13:02:51 PDT 2011 --  What are some productivity sites/apps/tools you can't live without? I'll go first: CloudApp and Things. I don't go a day without using both.
Thu Jul 21 10:18:57 PDT 2011 --  We've maintained an accident free workplace for 3650 days and counting! I guess our only real danger is carpal tunnel... http://twitpic.com/5tksg3 
Mon Jul 18 16:08:47 PDT 2011 --  Our whole office is in a sugar coma from all the candy we've been buying from Powell's to help out their great cause. http://bit.ly/oib9da 
Fri Jul 08 19:37:33 PDT 2011 --  So great seeing how excited people are about @thislife at #evoconf. It's an incredible website we love working with.
Fri Jul 08 10:18:25 PDT 2011 --  Facebook is down! I was trying to get a Like button, and started getting error pages. Haven't seen that in a long time. http://cl.ly/1L3S2C3g3q470c3A2s2A …
Tue Jul 05 08:25:20 PDT 2011 --  We've added a few new faces to the office this year, and they're all finally on our website. Meet our latest team! http://bit.ly/k0puG2 
Sun Jul 03 07:25:27 PDT 2011 --  Thislife is attending the EVO –The Evolution of Women in Social Media – conference July 7-9th in Park City, Utah.... http://fb.me/14S6VgSc8
Sun Jun 05 08:17:08 PDT 2011 --  Cool! A photo of Nico was used in @usatoday. See the article here: http://travel.usatoday.com/destinations/story/2011/06/Mount-Washington-road-marks-150th-anniversary/48036038/1 … and read about Nico's win here: http://www.insightdesignsblog.com/insight-news/another-huge-win-for-nico-the-mt-washington-hillclimb …
Sat Jun 04 08:44:16 PDT 2011 --  Davis Phinney is going to be signing books at @BNBoulder tonight. Check out the site we did for his new book. http://www.davisphinney.com/  #biking
Tue May 31 08:26:43 PDT 2011 --  Bryant did an awesome photo shoot for one of our clients last week. Photography is one of the many services we provide. http://twitpic.com/552vsn 
Tue May 17 11:53:51 PDT 2011 --  Good luck Peter & Carlos! RT @Paedda: Playing in the Boulder Shelter Golf Tournament http://bit.ly/jutWcL  since @InsightDesigns is a sponsor.
Mon May 16 08:54:11 PDT 2011 --  If you're just learning Magento theme dev, this is a great recourse. Free step-by-step video series by @ecomdeveloper. http://bit.ly/jeT6ze
Thu May 12 09:06:01 PDT 2011 --  Biking in thisrain is a bit dreary, but that didn't stop us from signing up for Bike to Work day. Riding rain or shine! http://bit.ly/jg2OEU
Tue Apr 12 08:55:28 PDT 2011 --  New on the ID Blog: Don't miss The Happiness of Pursuit by Davis Phinney http://bit.ly/feupcr
Sat Apr 09 07:41:21 PDT 2011 --  Good article on USA Today giving simple comparisons between the latest browser versions: "Review: Best Web browser?" http://usat.me?4595808
Wed Apr 06 10:49:20 PDT 2011 --  New on the ID Blog: Kids and helmets - a smart idea http://bit.ly/eLtBcM
Mon Apr 04 10:22:48 PDT 2011 --  New on the ID Blog: Making it easier to collect medical payments http://bit.ly/igPufm
Thu Mar 31 14:54:57 PDT 2011 --  New on the ID Blog: Getting all the daily deals in one place http://bit.ly/e3Cv6S
Wed Mar 30 21:22:48 PDT 2011 --  @gwenbell It's a great way for Google to weight results, but I can't see how it could have the feature-rich functionality of FB's open graph
Fri Mar 11 14:03:33 PST 2011 --  New on the ID Blog: Flexible, measurable and powerful http://bit.ly/dTFSiu
Fri Mar 04 09:35:26 PST 2011 --  New on the ID Blog: You come, and they'll build it http://bit.ly/hrXTdw
Wed Mar 02 08:14:05 PST 2011 --  Facebook pages are a great marketing tool that allow you to connect with customers/clients. And did you know we can customize them for you?
Tue Mar 01 16:11:32 PST 2011 --  New on the ID Blog: Happy Birthday to us!!! http://bit.ly/hgrzLR
Mon Feb 28 09:00:20 PST 2011 --  New on the ID Blog: Land, Farms and Ranches, oh my! http://bit.ly/gB0f01
Wed Feb 23 09:44:31 PST 2011 --  New on the ID Blog: Helping Create a National Strategy for Environmental Intelligence http://bit.ly/ienEvV
Tue Feb 22 08:17:16 PST 2011 --  What do you use as a starting point when developing a new WordPress site? Do you mod your own blank template, TwentyTen, or something else?
Tue Feb 08 16:14:50 PST 2011 --  @SaxysCafe Thanks so much for the shout out! We're very excited. Beth is certainly deserving of the honor. --Mike
Fri Feb 04 14:38:05 PST 2011 --  New on the ID Blog: From barren asphalt lots to vibrant schoolyards http://bit.ly/fxhWcM
Thu Jan 27 08:24:56 PST 2011 --  New on the ID Blog: Yoga and music anyone? http://bit.ly/eM5Jd6
Mon Jan 24 09:45:52 PST 2011 --  Very impressive web-usage stats by @pingdom. 255 million websites on the web & we've created almost 400 of those! http://bit.ly/dTSf37
Tue Jan 18 12:55:21 PST 2011 --  New on the ID Blog: Beth Makes the "Forty Under 40" List! http://bit.ly/geVM6D
Mon Jan 17 08:20:42 PST 2011 --  RT @BoulderParking: "Free at last" All city parking garages & on street parking is FREE in honor of Martin Luther King Day.
Thu Jan 13 08:03:40 PST 2011 --  Hey everybody, Nico is having a photography show and the opening is tomorrow. Check out the details here: http://bit.ly/eCnjQk
Thu Dec 30 16:24:41 PST 2010 --  Our office is closed tomorrow, so we're hitting the slopes of Eldora. Check out their web cam, the snow looks great! http://bit.ly/enecjG
Mon Dec 20 09:04:47 PST 2010 --  Just a reminder that Insight's office will be closed Thursday and Friday. Happy Holidays to everybody!
Fri Dec 03 18:12:34 PST 2010 --  Party is in full swing. Not here? Come to Saxys Cafe. Join us to celebrate 2010 and the holidays! http://twitpic.com/3cncr2
Fri Dec 03 15:49:29 PST 2010 --  Also, a new post up on the ID Blog with some details about the new Liquor Mart site. http://bit.ly/f1uOth
Fri Dec 03 15:45:00 PST 2010 --  Launched the new @LiquorMart site, just in time for the holidays! Check out the awesome new design & e-commerce system. http://bit.ly/gAxwa8
Thu Dec 02 08:57:36 PST 2010 --  Our 11th annual holiday party is tomorrow night at Saxys Cafe (10th b/t Pearl & Spruce). Food, drinks, photos, prizes & more. See you there!
Tue Nov 30 13:52:56 PST 2010 --  We're having our holiday party this Friday at 5:30 at Saxys Cafe (10th & Pearl). Everyone is welcome so come celebrate the year with us!
Wed Nov 24 07:45:19 PST 2010 --  With only one day to go before Thanksgiving, what are you thankful for this year? Share it here and spread the joy! #Thankful
Fri Nov 19 09:10:23 PST 2010 --  New site launch: HERA Foundation. Check out the great new site for this wonderful foundation! http://bit.ly/ab9Uxq @hera_foundation
Fri Nov 19 08:41:17 PST 2010 --  RT @EldoraMtnResort: Eldora Opens today! 15km of the Nordic Center will be open as well... Come join us on the mountain today.
Fri Nov 12 21:03:01 PST 2010 --  Thanks for the tickets @downtownboulder. @cubuffs basketball are playing a great opener. #gobuffs
Fri Nov 12 11:07:47 PST 2010 --  We have the best clients! One frequently sends us spicy Vietnamese beef jerky, and a fresh package unexpectedly appeared in today's mail.
Tue Nov 09 08:59:25 PST 2010 --  Really enjoyed my first #bocc this morning! I love conversing with fellow geeks. I'll definitely see you all next time. -mk
Mon Nov 08 07:58:18 PST 2010 --  Ditto! Tomorrow will be my first. --mk RT @AtlasPurveyors: Looking forward to #BOCC tomorrow morning. Get here bright and early for a seat!
Tue Nov 02 15:15:51 PDT 2010 --  Why thank you @NCWIT! We're looking forward to connecting to our friends & clients in a new way. It feels good to be tweeting!
Tue Nov 02 11:08:04 PDT 2010 --  Our new holiday cards came in the mail today! Check out our past cards here: http://bit.ly/bOZtAd Which is your favorite?
Mon Nov 01 10:32:36 PDT 2010 --  @msitarzewski Fantastic, I'll definitely be there next week. Thanks! --Mike K
Mon Nov 01 08:10:00 PDT 2010 --  I've been hearing good things about Boulder open coffee club. Does anybody have details on when the next one is? #bocc
Fri Oct 29 09:27:31 PDT 2010 --  New blog post on the ID Blog: Another sickening fire. #domefire http://www.insightdesignsblog.com/?p=606
Fri Oct 29 09:04:51 PDT 2010 --  View of the #domefire from our office. It looks like it's ready to crest the hill. #boulderfire http://twitpic.com/31wx0y
