Wed Jul 08 14:02:04 PDT 2015 --  Sharks are a lot friendlier without sharp teeth. #SharkWeek pic.twitter.com/fthsXBy8qc
Mon Apr 21 08:20:05 PDT 2014 --  Whenever I open a pack of bread, I skip the first slice because it's ugly.
Mon Apr 21 09:00:03 PDT 2014 --  kids be like "u got games on ur phone?" pic.twitter.com/d9mEPyP5eK
Tue Apr 15 11:30:30 PDT 2014 --  This is how you get your girlfriend to stab you. https://www.youtube.com/watch?v=s50KL_sgF4s&list=UUgefQJC5UgbWJHDxBqB4qVg … pic.twitter.com/jKKmACS7QN
Sat Mar 29 15:59:55 PDT 2014 --  Just seen @russellcrowe in #noah at cardiff. What a great movie. Good to see Russell there too
Fri Mar 28 14:07:00 PDT 2014 --  RT if this was you pic.twitter.com/5CvKOMUacI
Sat Mar 22 08:53:28 PDT 2014 --  “ @FunnyPicsOnly: RT if you have experienced this pic.twitter.com/WaD2a1AHLg” @lisamariex22
Sun Mar 16 07:41:24 PDT 2014 --  Making some lovely welsh cakes Mmmm! #Wales #loveit #nextbritishbakeoff
Thu Mar 13 07:25:20 PDT 2014 --  Just seen @aaronpaul_8 in @NeedForSpeed_UK absolute quality film! Non stop! #loveit
Mon Feb 17 04:13:52 PST 2014 --  When your grandma starts acting up at the supermarket... pic.twitter.com/MUopoKEjN8
Mon Feb 03 09:05:04 PST 2014 --  THIS is what girls really want on valentines day..... http://lnstagraam.com/1eLNp7W 
Sat Feb 01 05:24:02 PST 2014 --  That baby dinosaur noise you make when you stretch.
Tue Dec 31 02:47:10 PST 2013 --  Just found out my general knowledge is shocking and any answers I had right were guesses @AndytheGardener #embarrassing #itsshocking
Tue Dec 03 04:16:05 PST 2013 --  Having fun with CLUMSY NINJA for iPhone! Join me now for FREE! http://nmgam.es/cnitset 
Wed Nov 27 02:00:09 PST 2013 --  True love is not having to hold your farts in anymore.
Sun Nov 10 23:42:20 PST 2013 --  Happy birthday @AndytheGardener have a lovely day x
Wed Oct 30 08:17:05 PDT 2013 --  Young sloths have been known to fall to their death after mistaking their own arms for tree branches.
Wed Oct 23 10:32:09 PDT 2013 --  Gym time and I really can't be bothered. I think @Stephie21Morgan should come back home to help motivate me! #cantdoit #booored! #SaveMe
Fri Oct 18 10:48:36 PDT 2013 --  Going to the gym on your own sucks! #bored #notenoughmotivation #tired
Fri Oct 18 04:19:26 PDT 2013 --  “ @UberFacts: During 30 minutes of sex, the average person burns about 200 calories.” @Frenchyboooy it's weigh in day tomorrow!!!
Sun Oct 13 06:04:50 PDT 2013 --  Just had a mini heart attack when my phone starts to fall in the bath and I catch it before it goes in! #likeaninja #heartstopper #nooooooo!
Mon Oct 07 11:12:23 PDT 2013 --  “ @WhatTheFFacts: 90% of people feel uneasy when the TV volume is set to an odd number.” @lisamariex22
Sat Sep 28 00:54:49 PDT 2013 --  Just enjoying a luxury hot chocolate at @N_Y_C_C in Brighton. @MrPeterAndre you should come and join me xx pic.twitter.com/Fo8lbbL8Yd
Fri Sep 27 02:10:05 PDT 2013 --  Beginning my 5 hour journey to go to Brighton. Can't wait to try @N_Y_C_C and hopefully see @MrPeterAndre thanks to my fiancé @Frenchyboooy
Tue Sep 10 02:18:19 PDT 2013 --  On the agenda today is swimming this morning and then gym this afternoon. #getfit #newfitnessroutine #needstoloseweightthisweek
Mon Sep 09 13:59:59 PDT 2013 --  Think tht old hag is a bit Jel our Char got voted the fittest in the house!Go iron your face u stupid chuckie lookalike.Wish I cud punch her
Sat Sep 07 01:40:38 PDT 2013 --  Just a reminder that 2014 is in less than 6 months and you still haven't done anything to make 2013 memorable.
Mon Sep 02 08:00:31 PDT 2013 --  I bet when Cheetahs race and one of them cheats, the other one goes "Man, you're such a Cheetah!" and they laugh & eat a zebra or whatever.
Fri Aug 23 11:51:12 PDT 2013 --  What did the letter O say to Q? Dude, your dick is hanging out.
Tue Aug 20 11:03:06 PDT 2013 --  What if every time you yawn, a ghost puts his dick in your mouth?
Mon Aug 19 17:40:32 PDT 2013 --  I can't believe that I wanted to grow up.
Tue Jul 23 10:42:07 PDT 2013 --  Come on #RoyalBaby hurry up and come out!!!
Sat Jul 13 07:59:06 PDT 2013 --  I wish exercising was as easy as eating.
Fri Jun 21 00:59:20 PDT 2013 --  Gym at this time of the morning. Seriously! #wakemeup #givemestrength
Mon Jun 03 01:18:05 PDT 2013 --  Do I go to the gym today or enjoy the sunshine in the garden hmmm #decisions #closechoice #orboth?
Wed May 29 12:55:36 PDT 2013 --  In bed already with a cup of tea and it's not even 9 yet. #gettingold #kidsstillplayinginthestreet #gettobed #stilllight
Tue May 28 05:31:13 PDT 2013 --  I wish my money would have sex in my wallet and multiply.
Tue May 28 05:14:05 PDT 2013 --  Still feeling sore today. Damn sunburn!!! #NotCool #ouch
Tue May 28 02:18:04 PDT 2013 --  Morningggg :D sure you've heard already but if u haven't!!!!! Brand new Geordieshore is back 9th July :D :D
Sat May 18 09:36:37 PDT 2013 --  Johny, Johny the original lmao @Peachessjox http://youtu.be/AIVO6B8w_cw 
Sun May 12 07:14:39 PDT 2013 --  About to make some old skewl cheese wheels! #Mmmm #lovethem #perfectchef
Sun May 12 01:00:17 PDT 2013 --  Without that little voice in your head you wouldn't be able to read this.
Sat May 11 15:18:53 PDT 2013 --  Half man dancing crazy! @Geoff_kemp I thought of you haha http://youtu.be/sPmBfyg2Jhk 
Sat May 11 14:59:02 PDT 2013 --  Vin diesel is sooo hot! Can't wait for the new fast and the furious film. #tooexcited #cantwait #lovethesefilms
Tue May 07 04:50:03 PDT 2013 --  Loves driving to work in this weather but can't get used to this parking malarkey lol ohh well it's staying like that now lol #cantpark
