Mon Aug 03 18:14:18 PDT 2015 --  "check out this new band, you'll love them!" - liars
Tue Jan 15 20:23:54 PST 2013 --  Let us not forget as the sad #LanceArmstrong drama unfolds that no one in history has ever given a shit about watching someone peddle a bike
Sat Dec 15 06:48:08 PST 2012 --  If you upon hearing about the shooting, said, OMG Obama is going to take my guns, then you SUCK as a human being.
Sun Nov 25 03:35:32 PST 2012 --  http://drenartdesign.com/averagedefend/75carlmoore/ …
Sat Nov 24 16:23:40 PST 2012 --  http://hansarkenya.com/eveningattorney/94johnbrown/ …
Mon Nov 19 12:31:42 PST 2012 --  Raspberry Ketones is hitting the fitness world by storm! http://www.covis-stone.com/anxiousengaged/57garycooper/ …
Wed Nov 14 17:06:18 PST 2012 --  In next 100 days we'll broadcast simple weight loss tips that everyone can do. http://fmediac.com/blindclosed/79darrenjones/ …
Fri Nov 09 21:23:24 PST 2012 --  New Weight Loss Craze Raspberry Ketone Diet http://www.lsneighbors.com/backgroundcapture/24geoffreyturner/ …
Mon Nov 05 18:37:07 PST 2012 --  Read my reviews and discover fastest way to lose 35 lbs in 12 weeks http://live.shogunclub.ru/costbar/59johnbennett/ …
Tue Oct 09 18:05:35 PDT 2012 --  yup http://pinterest.com/pin/553520610421105963/ … via @pinterest
Sat Sep 29 08:41:16 PDT 2012 --  Truth. http://pinterest.com/pin/553520610421074849/ … via @pinterest
Sat Sep 15 10:55:53 PDT 2012 --  Five guys at @FullFrontalFree create a @MittRomney parody for the ages. #ReleaseTheReturns http://bit.ly/RSNTCC  via @moveon
Fri Sep 14 16:52:14 PDT 2012 --  Bunny rabbits http://pinterest.com/pin/553520610421037781/ … via @pinterest
Fri Aug 31 18:46:41 PDT 2012 --  Oh, I get it, she's like the invisible Obama sitting in a chair?
Fri Aug 31 18:45:48 PDT 2012 --  My daughter is invisible and mute
Fri Aug 31 18:44:34 PDT 2012 --  Clint you crack me up! LOL
Tue Aug 21 14:30:51 PDT 2012 --  Matthews: Caveman shows its ugly head http://leanforward.msnbc.com/_news/2012/08/20/13382083-matthews-caveman-shows-its-ugly-head#.UDP-Av64Rtk.twitter … via @leanforward
Mon Aug 20 12:40:35 PDT 2012 --  WATCH: Robert Reich ( @rbreich) breaks down the Romney-Ryan economic plan http://youtu.be/cO1F7EcGFAc  @MoveOn
Wed Aug 08 16:25:37 PDT 2012 --  Let me clear my throat…. http://bit.ly/P0AiWP  . @BarackObama . @PPact #heavyflow
Wed Aug 08 16:57:24 PDT 2012 --  Keep on talking Effie, I love you Elizabeth
Fri Aug 03 16:59:15 PDT 2012 --  I love the Olympics, I do. Those water polo guys are unreal gorgeous, ahh
Fri Aug 03 10:49:39 PDT 2012 --  . @MittRomney says, "I have paid taxes every year. A lot of taxes." I say, "Prove it." #ReleaseTheReturns
Thu Jul 26 14:17:33 PDT 2012 --  Chic-fil-a CEO or whatever your name is, eat shit
Tue Jul 10 14:41:31 PDT 2012 --  I have lost all hope.
Fri May 11 05:09:05 PDT 2012 --  I just signed up to get my free Women for Obama bumper sticker, and I think you should, too: http://OFA.BO/GDCTmk 
Wed May 09 17:04:24 PDT 2012 --  WV deserves all the negative publicity it gets. What ignorant red neck dirt bags, fuck faced dumb ass hillbillies.
Wed May 09 16:36:42 PDT 2012 --  I predict Obama coming out for #GayMarriage will help his re-election cuz it will make Repubs defend bigotry which will energize Dem's base
Sat Apr 07 14:05:09 PDT 2012 --  Hillary Clinton Urges Women Not To Take Any Sh_t http://bit.ly/HnnPX9  via @moveon
Sat Mar 10 19:39:59 PST 2012 --  @recklessintent.
Fri Feb 17 14:05:05 PST 2012 --  @recklessintent Thanks so much I needed that!
Mon Feb 13 18:17:25 PST 2012 --  Watching Homeland again' ;subtle clues,who writes this wonderful shit??
Sun Feb 12 19:08:35 PST 2012 --  My God, Adele is unreal, awesome
Sun Feb 12 18:45:53 PST 2012 --  Why u have to be so mean?
Sun Feb 12 18:42:30 PST 2012 --  Who likes Taylor?
Sun Feb 12 18:39:39 PST 2012 --  @justuntlsundown I know iliked George but loved all of them
Sun Feb 12 18:38:06 PST 2012 --  @justuntlsundown
Sun Feb 12 18:34:47 PST 2012 --  @justuntlsundown still can sing
Sun Feb 12 18:33:49 PST 2012 --  Yeah Paul..........I miss John and george
Sun Feb 12 18:28:20 PST 2012 --  Thanks to Derek I watched walkiñg dead on my kindle today
Sun Feb 12 18:24:38 PST 2012 --  GG watching beach boys is like watching his grandpas
Sun Feb 12 18:22:41 PST 2012 --  Omb. I saw glen campbell
Sun Feb 12 18:21:42 PST 2012 --  GG hates coldplay. Lol
Sun Feb 12 18:20:44 PST 2012 --  Beach boys too old
Sun Feb 12 17:35:00 PST 2012 --  I absolutely love Bruno Mars!!!!!!!!!!!1
Wed Jan 25 19:33:28 PST 2012 --  @recklessintent yes
Sun Dec 18 15:31:11 PST 2011 --  @recklessintent cant be
Wed Sep 14 19:24:09 PDT 2011 --  @recklessintent ok
Mon Jul 11 17:28:08 PDT 2011 --  @recklessintent It was so good
Wed Jun 22 19:21:52 PDT 2011 --  Watch the "Rebuild the Dream" launch event on June 23rd, featuring Van Jones, The Roots, and artist/DJ Shepard Fairey: http://front.rebuildthedream.com/rsvp 
Mon May 02 08:00:42 PDT 2011 --  "Bin Laden buried at sea." Total rip-off of last episode, 2nd season of "Sopranos" when Tony dumped Big Pussy overboard.
Sun May 01 21:40:29 PDT 2011 --  @recklessintent go girl!!!
Sun May 01 21:04:31 PDT 2011 --  Somali pirates, Gaddafi's son, now bin Laden - do NOT fuck with Obama, he's Gangsta!!
Sun May 01 21:39:39 PDT 2011 --  ding dong the witch is dead, wonder if Donald Trump wants to see the death certificate..
Sun May 01 20:23:07 PDT 2011 --  No matter what Obama says, bin Laden's not dead until Donald Trump see's his death certificate. #Deathers
Fri Mar 04 13:03:37 PST 2011 --  If you're planning to visit downtown St. Augustine, you MUST see this parking info: http://ow.ly/48cZc #fb
Fri Mar 04 11:24:34 PST 2011 --  MT The starting salary for teachers (with BA) in Wisconsin is $25,222.This is the 2nd lowest starting salary out of all U.S.states. #wiunion
Fri Mar 04 05:26:05 PST 2011 --  RT @MoveOn: BREAKING: Wisconsin 14 might return to WI. Tell them if they stay strong, you'll stand with them: http://bit.ly/fBcGbj #WeAreWI
Thu Feb 24 16:53:11 PST 2011 --  BIG MOMENTUM: Stand with 165,000 others in solidarity with workers against WI Gov Walker radical threats: http://pccc.me/fHx69J #WIunion
Thu Jan 27 19:33:16 PST 2011 --  Will we ever have a day that it does not snow....i think im going crazy, cold snow,snow snow snow snow snow snow.....help
Sat Jan 08 14:01:36 PST 2011 --  When Palin put crosshairs on a map w/ Rep. Giffords & 19 other Dem congressmen/women, she urged followers to “reload” & “aim” for Democrats.
Fri Dec 31 19:13:21 PST 2010 --  I sure hope everyone has a good new year, I think i will win the lottery next year
Sun Nov 07 04:53:28 PST 2010 --  URGENT: 200,000 of us tell @MSNBC: Put Keith Olbermann back on the air. Help us reach 250,000? http://bit.ly/ddnvCW RT! @LadyGaga
Tue Nov 02 18:21:06 PDT 2010 --  Bend over America, here it comes.
Tue Nov 02 12:57:10 PDT 2010 --  Its Election Day! Unless ur a billionaire, vote for the party that gave u healthcare, stopped a Depression and got out of Iraq
Tue Nov 02 14:45:50 PDT 2010 --  Vote people, vote for the party that saved us from a depression, got us out of Iraq and wont give the rich tax breaks
Mon Nov 01 14:42:00 PDT 2010 --  The Republicans are killers. They started 2 wars, thousands are dead, and they destroyed our economy. Thats it. -Michael Moore
Mon Nov 01 07:45:14 PDT 2010 --  Visual representation to show you the difference in size of Beck rally vs Stewart rally http://bit.ly/b4kFAd
Mon Nov 01 10:33:30 PDT 2010 --  But, the bottom line: The REPUBLICANS are killers. They started TWO wars, thousands are DEAD. AND they DESTROYED our economy. That's it.
Sun Oct 31 18:45:36 PDT 2010 --  why do i feel so yucky, my brother is in the hospital and not doing well
Tue Oct 26 12:16:12 PDT 2010 --  I miss you Jed Bartlett
Thu Oct 21 12:00:52 PDT 2010 --  Rally Fun Fact: Did you know the rally was invented by noted English explorer Sir Walter Raleigh? #Rally4Sanity
Fri Oct 22 11:36:08 PDT 2010 --  Saw my baby last night, I;m a happy camper>>>>>>>>>>>>..
Thu Oct 21 14:59:17 PDT 2010 --  Its a heartache, nothing but a heartache
Mon Oct 18 13:59:35 PDT 2010 --  Welcome to St. Augustine! :-) RT @cherielily: We made it to the gorgeous, picturesque city of St. Augustine, Florida!
Mon Oct 18 14:51:15 PDT 2010 --  This week I am taking a break from reality
Thu Oct 07 16:30:03 PDT 2010 --  so tired, another day tomorrow at state clma ebassy suites, but no presentation tomorrow, just fun
Wed Oct 06 16:43:46 PDT 2010 --  The Social Network is AWESOME! Great writing (Aaron Sorkin) and acting, Justin Timberlake as Sean Parker is really good.
Tue Sep 28 18:10:52 PDT 2010 --  @recklessintent gorgeous
Tue Sep 28 13:50:29 PDT 2010 --  Tropical Depression tracking our way. Expect nasty weather tomorrow into Thursday: http://ow.ly/2LkbQ
Thu Sep 16 09:57:26 PDT 2010 --  RT @sailor50 @MMFlint-Gawd, makes me want to cry for all the guys killed & wounded in illegal wars. We've no guts to stand up to profiteers.
Fri Sep 17 12:23:48 PDT 2010 --  RT @WikiLeaks Michael Moore campaigns to free Bradley Manning in war logs case | Guardian http://bit.ly/d6nEF9
Thu Sep 16 21:25:32 PDT 2010 --  i want to fight every insipid person that has ever been or ever will be in an olive garden commercial. fuck them. worst. commercials. ever.
Tue Sep 07 18:05:18 PDT 2010 --  celebrated our 24th wedding anniversity by ourselves
Fri Aug 13 18:44:35 PDT 2010 --  Bad asthma attack yesterday, feel better today, no outside
Mon Jun 28 13:27:53 PDT 2010 --  The flag on top of the White House flies at half-staff in honor of the passing of West Virginia's U.S. Sen. Robert Byrd. WV is up the creek.
Wed Jun 23 17:09:34 PDT 2010 --  @ASCLS I am so jealous. My lab is in the basement (of course)
Tue Jun 22 14:53:23 PDT 2010 --  This week, Sarah Palin actually went on Fox News to defend Big Oil companies like British Petroleum against "demonizing."Are you kidding me?
Fri Jun 18 18:44:31 PDT 2010 --  I hope everyone knows that Sunday is Fathers Day
Thu Jun 17 16:26:19 PDT 2010 --  ShowPlug1: The birth of the GOBP: Joe Barton apologizes to BP, then FOR apologizing to BP. Howard Fineman on GOBP's shark jump day...
Thu Jun 17 17:38:02 PDT 2010 --  GOBP I hope my followers get this especially my daughter
Mon Jun 14 16:03:44 PDT 2010 --  And now this: Turns out we've known for yrs there's $1 trillion of precious minerals in Afghanistan. $1 trillion. Be a shame to leave now...
Mon Jun 07 18:50:00 PDT 2010 --  you know, BP really sucks.
Tue Jun 01 15:38:38 PDT 2010 --  BP sucks
Sun May 30 17:00:32 PDT 2010 --  so lonesome, anna is working,nothing on tv, memorial day. I miss everyone that is gone from here
Sat May 29 12:04:22 PDT 2010 --  Fox News you should be ashamed for keeping a mentally disturbed Glenn Beck on you network for making fun of the our Presidents kids.
Wed May 26 19:12:26 PDT 2010 --  Joe Cocker, cant believe it
Wed May 26 18:08:55 PDT 2010 --  Brett Michaels has a rose with a thorn singing with Casey
Wed May 26 18:02:48 PDT 2010 --  Carrie Underwood looks and sounds like Kelly Clarkson, youre country girl, you will never be a Kelly Clarkson
Wed May 26 17:56:27 PDT 2010 --  What the hell is iPAD anyway??????
Wed May 26 17:56:02 PDT 2010 --  Oughtta know
Wed May 26 17:54:49 PDT 2010 --  Alannis Morrissett now singing with Crystal
Wed May 26 17:51:39 PDT 2010 --  You make my dreams come true..................
Wed May 26 17:51:04 PDT 2010 --  OMG Daryl Hall and John Oaks, partied to a lot of their songs...................
Wed May 26 17:42:55 PDT 2010 --  It wont be the same without Simon Cowell
Wed May 26 17:40:58 PDT 2010 --  Christine Aguirela now, she has big hips now, babies do that
Wed May 26 17:36:30 PDT 2010 --  BP GlobalPR: We feel terrible about spilling oil in American waters, we'll make sure the next spill happens where the terrorists live.
Wed May 26 17:30:33 PDT 2010 --  Dane Cook, singing?
Wed May 26 17:28:51 PDT 2010 --  Loved the Doubie Brothers
Wed May 26 17:28:08 PDT 2010 --  Ok, now we have Michael McDonald, remember him?? Yeah he is old, but still sings great.
Wed May 26 17:25:47 PDT 2010 --  I love music, dont thing I could stand it without it.
Wed May 26 17:24:35 PDT 2010 --  Ok so far on AI, we have old BeeGees, Alice Cooper, where are those good looking handsome young rock stars??????????????
Sun May 09 07:44:14 PDT 2010 --  Its hard to belive I have been a mother for almost 22 years
Sun May 09 07:43:08 PDT 2010 --  Funny. bristol palin speaks at event on abstaining from sex, goes clubbing in NY at night, shes 19, fake id? wheres that baby?
Tue May 04 19:59:16 PDT 2010 --  4 dead in Ohio 40 years ago today
Sat Apr 10 06:25:44 PDT 2010 --  next week my GG and I will be in St Augustine enjoying each other and the beach, we deserve some time together after this last month........
Fri Apr 09 18:25:27 PDT 2010 --  I love the song Color of the Wind from the Pocahontas movie
Sun Mar 28 14:30:58 PDT 2010 --  I am really angry deep inside.
Wed Mar 24 14:39:22 PDT 2010 --  More hilarity: George W. Bush shakes a Haitian's hand and then wipes his hand on Bill Clinton’s shirt: http://bit.ly/bXaImT
Sun Mar 21 05:44:45 PDT 2010 --  Have fun guys in WDW, wish I was there, tell Minnie and Micky I miss them.
Sat Jan 30 19:40:44 PST 2010 --  St Augustine in April............
Sat Jan 30 19:40:12 PST 2010 --  Avatar was everthing everyon said it was and more
Sat Dec 26 17:34:19 PST 2009 --  On my way to see Avatar,hope it is everything everyone says it is
Fri Dec 18 17:42:47 PST 2009 --  Its going to snow, really will be a winter wonderland...walking in a winter wonderland,la la lala
Tue Dec 15 08:49:51 PST 2009 --  He is an Awesome Aussie
Tue Dec 15 08:49:10 PST 2009 --  OK, its official in addition to being in love with Christian Bale, Chris Pine, I have a new love to add to mylist: SAM WORTHINGTON
Sat Oct 03 17:28:20 PDT 2009 --  my cousin found out he has colon cancer, im so depressed and sad
Wed Sep 16 13:32:45 PDT 2009 --  Jim Wilson and Kanye attended the same school
Sat Sep 05 20:00:39 PDT 2009 --  Sept 6, 1986 seems like yesterday
Sat Sep 05 19:59:52 PDT 2009 --  23 years of bliss tomorrow
Fri Sep 04 16:57:25 PDT 2009 --  My laptop was diagnosed with H1N1!!!!!!!!!!!!!!!!!!!!
Fri Sep 04 16:56:40 PDT 2009 --  i wish my lap top would get well and come home from the hospital.
Wed Aug 19 16:21:04 PDT 2009 --  moron
Wed Aug 19 16:20:45 PDT 2009 --  people are so stupid to believe a stupid ignorant moran
Wed Aug 19 16:20:07 PDT 2009 --  sarah palin is bloggin on facebook and twitter about how evil obama is and how he is going to kill all old people she is a stupid slut
