Tue Aug 25 19:29:40 PDT 2015 --  That Esco Step pic.twitter.com/K8ckEcZmyS
Thu Aug 20 12:02:14 PDT 2015 --  You might be concerned that your current long-term goals aren'... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 19 12:02:13 PDT 2015 --  Your inner host or hostess springs to life today as you strive... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 18 12:03:02 PDT 2015 --  Putting your finger on the center of the storm is one of your ... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 18 06:21:26 PDT 2015 --  You can't even trust niqqas you go to school with class mates killing class mates it just enrages me every time I think about the incident
Mon Aug 17 08:19:39 PDT 2015 --  William Winston,20, arrested in Caylen Gooch shooting; also arrested earlier for entered auto http://www.rockdalenews.com/section/1/article/22601/ … pic.twitter.com/exNvt49SLi
Mon Aug 17 16:46:12 PDT 2015 --  This whole gooch thing just fucked all the way up
Mon Aug 17 12:02:11 PDT 2015 --  You're a champ when it comes to sensible planning and time man... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 16 12:02:13 PDT 2015 --  You're fantasizing about a familiar escape now that the Moon i... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 15 12:02:15 PDT 2015 --  You may feel a bit disjointed today while there's so much hust... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 14 18:37:25 PDT 2015 --  Wilma Who !? pic.twitter.com/bdmXXisUFp
Fri Aug 14 12:02:16 PDT 2015 --  A stressful relationship issue might require your immediate at... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 24 17:22:22 PDT 2015 --  When you get smoke in your eye pic.twitter.com/Nf7VZoIkwK
Thu Aug 13 10:09:48 PDT 2015 --  #AdviceForStudentsThisYear pass
Thu Aug 13 17:07:56 PDT 2015 --  “ @T2_TuRnT_Up: Me: Im Trynna Get A g? Dealer: I Got You Bru Me: You Gotta Scale ? Dealer : pic.twitter.com/LOqYDfmDjc”
Wed Aug 12 21:16:01 PDT 2015 --  Please retweet this in efforts to find me a match! Thanks in advance! pic.twitter.com/sBeNDzmXJr
Wed Aug 12 16:17:55 PDT 2015 --  Shit still not sinking in ....
Wed Aug 12 17:39:15 PDT 2015 --  I need to smoke.
Wed Aug 12 11:02:05 PDT 2015 --  They Got one suspect in custody in rockdale county but Have not released a name. The trigger man to be exact!
Wed Aug 12 17:18:37 PDT 2015 --  college really easy asf. prioritize.
Wed Aug 12 12:02:25 PDT 2015 --  It's disconcerting if you can't complete all your work on sche... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 12 03:09:02 PDT 2015 --  My nigga Gooch verse on a song me and him worked on before he passed R.i.p my bro pic.twitter.com/5hVD6XR3hm
Wed Aug 12 07:43:22 PDT 2015 --  Damn it seem so unreal my dog gone so sudden but he'll Neva be ForGotten And das real life #RestInPeaceGooch
Wed Aug 12 07:28:55 PDT 2015 --  Tyler said it best.. #RestInPeaceGooch #BallInParadise 🏾🏾🏾 pic.twitter.com/gZQSzLeVRV
Tue Aug 11 12:02:14 PDT 2015 --  Your current desire to expand your world view makes this a fan... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 10 12:02:15 PDT 2015 --  You feel a dramatic shift in your energy today as superficial ... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 09 12:02:12 PDT 2015 --  You may be feeling under a ton of pressure today as you approa... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 08 12:02:11 PDT 2015 --  You could take on more than you can possibly finish because yo... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 07 12:02:12 PDT 2015 --  You're feeling a bit under the weather today, making it challe... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 06 12:03:00 PDT 2015 --  You are tempted to run out on your commitments and chase more ... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 05 12:02:14 PDT 2015 --  You may believe that it's a smart idea to avoid your friends t... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 04 12:02:10 PDT 2015 --  Support comes out of left field today as friendly Venus joins ... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 01 11:31:31 PDT 2015 --  Man D-Wade winning on and off the court bruh pic.twitter.com/BRV87XgBZf
Mon Aug 03 15:15:19 PDT 2015 --  I see what's happening
Mon Aug 03 12:02:16 PDT 2015 --  It might seem as if the group process is hampering your progre... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 02 12:02:08 PDT 2015 --  You may be uncomfortable with someone's effusive display of un... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 02 10:59:42 PDT 2015 --  deciding if i wanna cook tonight
Tue Jul 21 19:49:41 PDT 2015 --  Asian trap music go hard https://vine.co/v/OjvubOdjup9 
Thu Jul 23 17:09:20 PDT 2015 --  BEST VINE EVER https://vine.co/v/eJ7x5Ebz1dp 
Thu Jul 23 21:30:09 PDT 2015 --  he said with all due DISRESPECT. https://vine.co/v/eiiqwHhQd1l 
Sat Aug 01 16:24:11 PDT 2015 --  Shits still funny https://vine.co/v/MFB7A1VmnLA 
Sun Aug 02 10:07:29 PDT 2015 --  Football Was Never My "Way Out" Something I Was Blessed With Also To Have The Ability To Play At A High Standard And Loved The Game
Sun Aug 02 10:00:09 PDT 2015 --  You woulda got the work in these maps way back when pic.twitter.com/0xQJ8KPEFV
Sun Aug 02 09:56:05 PDT 2015 --  RETWEET if you miss playing on these maps. pic.twitter.com/Tb8aNA1p6U
Sun Aug 02 09:36:26 PDT 2015 --  EvenTho Yall Beefin @Drake @MeekMill R.I.C.O Still
Sun Aug 02 08:49:34 PDT 2015 --  Yesterday, people of NO color walked up stone mountain holding confederate flags ... WOW pic.twitter.com/EM6fgomgJq
Sat Aug 01 21:45:36 PDT 2015 --  I really be feeling myself
Sun Aug 02 08:48:35 PDT 2015 --  Church Flow 🏾 pic.twitter.com/gjeEXIO9hE
Sat Aug 01 13:42:57 PDT 2015 --  Got me some Clarks
Sat Aug 01 12:02:10 PDT 2015 --  You might discover your resources are stretched further than y... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 31 17:35:00 PDT 2015 --  SHE GOT SO SERIOUS https://vine.co/v/eX1UDDUTxwe 
Fri Jul 31 12:02:08 PDT 2015 --  Your current financial condition may seem rather unstable toda... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jul 30 14:20:11 PDT 2015 --  Turn On The Lights Still My Shiii 🏾
Thu Jul 30 12:02:11 PDT 2015 --  Your ego may lose its sense of proportion now as others encour... More for Capricorn http://bit.ly/A5KmeJ 
Wed Jul 29 16:09:21 PDT 2015 --  Here I go again 🏿 #ChefMe pic.twitter.com/xLlQNkizUW
Wed Jul 29 12:02:08 PDT 2015 --  A relationship may be a significant source of tension now as b... More for Capricorn http://bit.ly/A5KmeJ 
Tue Jul 28 12:02:15 PDT 2015 --  Relationships are top priority today as your long-term goals a... More for Capricorn http://bit.ly/A5KmeJ 
Mon Jul 27 20:44:55 PDT 2015 --  Real Niggas Still Put Baby Powder On After Showers
Mon Jul 27 15:34:14 PDT 2015 --  Had To pic.twitter.com/JlGIqtV1Pm
Sun Jul 26 23:07:44 PDT 2015 --  Your science teacher probably never taught you this https://vine.co/v/htbr9vhq5HB 
Mon Jul 27 13:38:36 PDT 2015 --  Bae And First 48 All Day
Mon Jul 27 13:37:57 PDT 2015 --  I'm About To get Me A Nokia
Mon Jul 27 12:02:11 PDT 2015 --  You might not put a lot of faith into your intuition as a gene... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jul 25 10:03:01 PDT 2015 --  WHO IS RESPONSIBLE FOR THIS pic.twitter.com/EMlh4vpJWi
Sun Jul 26 12:02:01 PDT 2015 --  You're uncharacteristically inclined to dramatize everything y... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jul 25 12:02:02 PDT 2015 --  The stranger things are in your environment now, the stronger ... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 24 14:46:35 PDT 2015 --  pic.twitter.com/Bc14hZzDIV
Fri Jul 24 12:02:03 PDT 2015 --  You may be totally exasperated today because you know that ful... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jul 18 09:43:28 PDT 2015 --  this is my favorite picture ever pic.twitter.com/j8tCExBIK9
Fri Jul 24 07:54:16 PDT 2015 --  Or Citizen Arrest
Fri Jul 24 07:54:01 PDT 2015 --  But Let's Hope Police Brutality Has Changed Within. A Year Because Or Else You Will Be Seeing Headlines Like (Citizen Shoots Back)
Fri Jul 24 07:51:36 PDT 2015 --  I'm So Upset I'm About To Unfriend My Uncle On FaceBook Who's A Security Guard
Fri Jul 24 07:49:40 PDT 2015 --  Real Talk I Would Let Off Some Rounds If A Officer Is Threatening And Aggressive I Have Every Right To Shoot That White
Fri Jul 24 07:46:20 PDT 2015 --  Now Dis How You Get Shot Up https://twitter.com/sinice/status/624369924413091840 …
Fri Jul 24 07:45:08 PDT 2015 --  I'm Gone Be A (PBS) The Police Brutality Stopper
Fri Jul 24 07:42:46 PDT 2015 --  Ima Arrest Me A Officer Or Two
Fri Jul 24 07:41:07 PDT 2015 --  I Cant Wait Till Im A licensed Carrier Yu Stick Yo Hand N Dis Car Touching And Pullin On Me If You Want Dey Gone Be Sayin White Lives Matter
Fri Jul 24 07:37:58 PDT 2015 --  @T2_TuRnT_Up
Fri Jul 24 07:37:10 PDT 2015 --  I Called 911 The Other Day And Asked Could They Send A Black Officer
Fri Jul 24 07:36:21 PDT 2015 --  I really dislike 12 tho
Fri Jul 24 07:36:01 PDT 2015 --  PSA If The Police Shoot Me Or Kill Me Don't Be Making Sad Post Just Burn Dat Mf Down
Thu Jul 23 12:02:54 PDT 2015 --  Although it might not seem like your cup of tea, you're eager ... More for Capricorn http://bit.ly/A5KmeJ 
Wed Jul 22 17:34:13 PDT 2015 --  preach @cenkuygur pic.twitter.com/auOFz0Rydm
Wed Jul 22 16:13:23 PDT 2015 --  EXPLAIN RT @DENTONPD #DentonTx pic.twitter.com/GCWLPor4tt
Wed Jul 22 17:52:08 PDT 2015 --  I Hate Whites
Wed Jul 22 15:14:15 PDT 2015 --  Needa Plug out Here In Clay Co
Wed Jul 22 12:02:05 PDT 2015 --  You might not want to deal with an associate who is emotionall... More for Capricorn http://bit.ly/A5KmeJ 
Tue Jul 21 12:02:06 PDT 2015 --  Although everyone assumes you're open to feedback when it come... More for Capricorn http://bit.ly/A5KmeJ 
Mon Jul 20 12:02:07 PDT 2015 --  Responsibility is relentlessly calling, demanding that you put... More for Capricorn http://bit.ly/A5KmeJ 
Sun Jul 19 12:02:03 PDT 2015 --  Luxuriating in your fantasies of world travel needs to take a ... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jul 18 12:02:01 PDT 2015 --  Someone's eccentric behavior drives you nuts today, but you mi... More for Capricorn http://bit.ly/A5KmeJ 
Mon Jun 08 01:47:00 PDT 2015 --  When u a sperm but yo pops got a condom on http://vine.co/v/eWMhZKP20wP 
Sat Jul 18 07:14:23 PDT 2015 --  Off To Bojangles pic.twitter.com/dC6sEcfczo
Fri Jul 17 20:17:43 PDT 2015 --  Showed her how to whip it now she remix it for low pic.twitter.com/r32rAcGf5n
Sat Mar 21 17:42:55 PDT 2015 --  " @MvpErin8: “ @iGiveBootyRubs: When you nut but she keep sucking https://vine.co/v/OjWQHV0etXe ”" @RealQuiinJones
Fri Jul 17 13:00:12 PDT 2015 --  Who Wanna Buy GTA San Andreas For Xbox ??
Fri Jul 17 12:02:04 PDT 2015 --  Interpersonal dynamics may be the cause of serious angst today... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jul 16 12:02:57 PDT 2015 --  You want to buckle down and take care of business today, but e... More for Capricorn http://bit.ly/A5KmeJ 
Wed Jul 15 00:32:00 PDT 2015 --  OH MY GAWD http://twitter.com/5_10noHeels/status/621156600171134976/video/1 …
Wed Jul 15 12:02:06 PDT 2015 --  An overly emotional interaction with a friend or partner revea... More for Capricorn http://bit.ly/A5KmeJ 
Tue Jul 14 16:10:16 PDT 2015 --  Me and bae went to six flags Monday and we going to white waters tomorrow
Tue Jul 14 12:02:04 PDT 2015 --  It's hard to read people because their behavior is unpredictab... More for Capricorn http://bit.ly/A5KmeJ 
Mon Jul 13 12:02:05 PDT 2015 --  You might pull your hair out today if you have to hear even on... More for Capricorn http://bit.ly/A5KmeJ 
Sun Jul 12 12:02:02 PDT 2015 --  Maintaining your customary role of being the responsible one i... More for Capricorn http://bit.ly/A5KmeJ 
Sun Jul 12 11:20:26 PDT 2015 --  Mood pic.twitter.com/BgufenMGiS
Wed Jul 08 17:21:56 PDT 2015 --  Real #AtlantaLingoChallege pic.twitter.com/AGosfhdDPa
Sun Jul 12 09:39:18 PDT 2015 --  Every time I Come To SpringField I Feel Like A 3rd Street Saint With All This Purple
Sat Jul 11 12:02:03 PDT 2015 --  You pragmatic goats know it's a simple fact of life: you can't... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 10 12:02:02 PDT 2015 --  You are hoping that all of your favorite people can join you i... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jul 09 20:09:59 PDT 2015 --  https://twitter.com/t2_turnt_up/status/619340079497105408 …
Thu Jul 09 11:14:05 PDT 2015 --  #YouAintFromAtlantaIfYouAintNever take a picture like this pic.twitter.com/q6YBmuWSJF
Thu Jul 09 19:59:16 PDT 2015 --  #Tbt pic.twitter.com/XSJoeGAswk
Thu Jul 09 12:02:53 PDT 2015 --  There's little chance of sidestepping relationship drama today... More for Capricorn http://bit.ly/A5KmeJ 
Tue Jul 07 03:19:53 PDT 2015 --  Ray J pushed that bitch in the pool!!! lmaooo pic.twitter.com/iudUSzKYi6
Wed Jul 08 12:02:00 PDT 2015 --  Your modus operandi is to rely on your common sense to guide y... More for Capricorn http://bit.ly/A5KmeJ 
Wed Jul 08 07:30:35 PDT 2015 --  “ @NotNautNaut: This the best one ever https://vine.co/v/hmw9Htwxij9  #AtlantaLingoChallenge”
Wed Jul 08 07:33:51 PDT 2015 --  “ @LowBorgata: #atlantalingochallenge @Atlantafollowme pic.twitter.com/X6SZTzD5MD” White boy killed it LOL
Wed Jul 08 08:04:02 PDT 2015 --  #AtlantaLingoChallenge SouthSide pic.twitter.com/31lykiXmw7
Wed Jul 08 08:07:03 PDT 2015 --  “ @lameoldre: accurate #AtlantaLingoChallenge https://vine.co/v/MgZgpzPhnJm ” @___PAIGE @VILVTVN wtf
Wed Jul 08 08:12:53 PDT 2015 --  This how we order from American Deli #AtlantaLingoChallenge pic.twitter.com/QgySHttks4
Tue Jul 07 12:02:03 PDT 2015 --  Too many trivial tasks keep you from focusing on your long-ter... More for Capricorn http://bit.ly/A5KmeJ 
Mon Jul 06 14:51:00 PDT 2015 --  Need Some Bloody Forces 🏾
Mon Jul 06 12:02:01 PDT 2015 --  An issue previously brought into the light seems to be beyond ... More for Capricorn http://bit.ly/A5KmeJ 
Sun Jul 05 14:17:18 PDT 2015 --  Best punt return in college history pic.twitter.com/dtdwUNRqgo
Sun Jul 05 19:57:51 PDT 2015 --  Ain't Know Hate Bih
Sun Jul 05 06:59:32 PDT 2015 --  Feel sick today. Lost a great friend, a brother, and a true American hero last night. R.I.P. Mike. Thankful that I got to know you.
Sun Jul 05 19:27:19 PDT 2015 --  Be Honest In Your Relationship Never Tell A Lie To Make A Promise
Sun Jul 05 19:20:39 PDT 2015 --  This Is Gonna Bother Me For Awhile
Sun Jul 05 19:12:44 PDT 2015 --  Those With PTSD Needs A Comfort Zone So If You Know SomeOne With It Don't Be Afraid To Save A Life.
Sun Jul 05 19:07:59 PDT 2015 --  🏾 https://twitter.com/t2_turnt_up/status/617875007197323264 …
Sun Jul 05 19:02:57 PDT 2015 --  #PTSDisReal
Sun Jul 05 18:57:35 PDT 2015 --  #HelpThoseWithPTSD
Sun Jul 05 12:01:59 PDT 2015 --  Although you might think you're being sensitive to the needs o... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jul 02 09:38:31 PDT 2015 --  How do you miss a fucking big white van https://vine.co/v/eJVErHwYzji 
Sat Jul 04 12:41:12 PDT 2015 --  pic.twitter.com/3mJoU9iXvi
Sat Jul 04 12:01:58 PDT 2015 --  You continue to be in touch with your softer side today, uncha... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jul 04 11:18:39 PDT 2015 --  Beach Day pic.twitter.com/oSlVN7NlDa
Sat Jul 04 01:47:00 PDT 2015 --  Still up
Wed Jul 01 00:11:50 PDT 2015 --  Hoes ain't shit b pic.twitter.com/c3Zl3coHCx
Fri Jul 03 22:09:12 PDT 2015 --  if nobody else got me, I know God do🏾
Fri Jul 03 15:16:42 PDT 2015 --  Now I'm just pissed fuck it 🏾️
Fri Jul 03 12:01:58 PDT 2015 --  Your unwavering courage inspires people to support you on your... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jul 02 10:02:04 PDT 2015 --  THE ORIGINAL "WHAT ARE THOSE" pic.twitter.com/TKo1BMxj5a
Thu Jul 02 12:10:48 PDT 2015 --  If you ever think your job sucks just look what people who work for national geographic have to go through pic.twitter.com/fnyff6u48z
Thu Jul 02 13:39:26 PDT 2015 --  Visual representation of the word "sorry" pic.twitter.com/Lsrk7CU6YG
Sat Jun 27 13:48:18 PDT 2015 --  When you tryna fuck but your parents are in the next room pic.twitter.com/XAl5mh9lTO
Tue Mar 11 14:16:56 PDT 2014 --  That white girl caught me all the way off guard... https://vine.co/v/MqQLn7jZvLT 
Thu Jul 02 13:21:23 PDT 2015 --  Great form and follow through https://twitter.com/t2_turnt_up/status/616702826635395072 …
Sun Jun 07 14:39:30 PDT 2015 --  Ffs Karen pic.twitter.com/fdM5XDs4cp
Thu Jun 11 16:11:06 PDT 2015 --  Done with twitter http://vine.co/v/O3XXJI77Aqa 
Thu Jul 02 13:19:46 PDT 2015 --  Hell of a hit son https://twitter.com/savagecomedy/status/614085617509535744 …
Tue Jun 30 11:37:25 PDT 2015 --  can't believe he actually said it. what a savage! http://vine.co/v/eJiV2qLiO09 
Tue Jun 30 07:11:52 PDT 2015 --  https://twitter.com/t2_turnt_up/status/615878085590827008 …
Mon Jun 15 17:30:41 PDT 2015 --  I need good luck this week pic.twitter.com/OPvDh2ZeYQ
Fri Jun 26 19:43:04 PDT 2015 --  My grandma and her bestfriend are goals pic.twitter.com/PLTAbexZVT
Tue Jun 30 06:42:32 PDT 2015 --  Damn pic.twitter.com/opF0I1ElY5
Tue Jun 30 06:01:41 PDT 2015 --  And The Ball Machine #BigBall lol
Tue Jun 30 06:01:07 PDT 2015 --  It's Cool Knowing I Was Coached By Reggie Ball
Thu Jun 25 19:04:36 PDT 2015 --  Man yall play toooo much lol pic.twitter.com/r8miS5WWUZ
Mon Jun 29 12:02:11 PDT 2015 --  You might think that offering no resistance today means you wi... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 10 14:42:17 PDT 2014 --  Meet 10yr old Malik Davis shot last week for getting his basketball out of a white mans yard. Nobody will rt this tho pic.twitter.com/wQEa3qqSdg
Sun Jun 28 19:02:38 PDT 2015 --  When church suppose to end at 1:00 but the preacher still preaching and you ready to go! @iamdiddy pic.twitter.com/C1KJnqohgT
Mon Jun 22 20:40:52 PDT 2015 --  Nature https://vine.co/v/eiYt1pLBwXj  @fettywap
Sun Jun 28 18:52:05 PDT 2015 --  Who ready to see Fetty Wap perform tonight? #BETAwards2015 #REMYBOYZ
Sun Jun 28 12:02:04 PDT 2015 --  Complex relationship issues can throw you off balance, yet you... More for Capricorn http://bit.ly/A5KmeJ 
Sun Jun 28 10:26:16 PDT 2015 --  Who Gotta Key To The Links Pool ?
Sat Jun 27 12:02:06 PDT 2015 --  Although you don't often step outside of the practical realms,... More for Capricorn http://bit.ly/A5KmeJ 
Sat Jun 27 08:02:20 PDT 2015 --  Them goodmorning shits >>>>>>> 🏾🏾
Tue Jun 23 09:26:38 PDT 2015 --  mood 🏼 https://vine.co/v/b0nt3Mv6mVh 
Fri Nov 21 13:57:17 PST 2014 --  When you walking in public & tryna unstick ya balls from your thighs pic.twitter.com/q7IaOwXIj7
