Fri Aug 28 21:17:27 PDT 2015 --  Get you a woman who loves you the way Beyoncé loves Lebron James pic.twitter.com/hNsNV8UK22
Thu Aug 27 12:11:52 PDT 2015 --  I'm tired of everything being a race issue...a black and white issue
Thu Aug 27 11:55:07 PDT 2015 --  If you wanna see @rihanna come to the BOSSIP office to talk s#!t on @BossipDBS and play drinking games, RT this and let her know!
Thu Aug 27 12:25:41 PDT 2015 --  YES. I LOVE K. RT @Bossip: y'all think @kmichelle should come to the office next? DON'T BE SCARED, WE LOVE YOUUUUUU
Thu Aug 27 10:57:51 PDT 2015 --  Douglas Co man (west of ATL) was arrested after having sex with 7 different women without telling he was HIV positive pic.twitter.com/mNx6q2htfc
Thu Aug 27 09:42:01 PDT 2015 --  Starburst hotdogs are oddly satisfying pic.twitter.com/CC0zk2GpXV
Tue Aug 25 22:36:41 PDT 2015 --  Me: "you sucked his dick didn't you" her: no Me: https://vine.co/v/eMxD1K2WnIv 
Thu Aug 27 09:27:29 PDT 2015 --  Donald Trump aint forcing people to vote for him in these polls. People are actually agreeing with whats he's saying. Thats crazy.
Thu Aug 27 09:26:57 PDT 2015 --  I'm actually glad Donald Trump is winning and leading in the polls, it shows what this country REALLY thinks of minorities. Stay Woke.
Thu Aug 27 10:52:18 PDT 2015 --  Jesus is real RT @Kaepernick7: #techpack @nikesportswear pic.twitter.com/urRcAyJc3J
Wed Aug 26 23:06:02 PDT 2015 --  Donald Trump is the amalgamation of all the worst parts of society rolled into one cesspool, I mean individual
Wed Aug 26 18:45:21 PDT 2015 --  pic.twitter.com/TqeZsYmLmF
Wed Aug 26 20:23:46 PDT 2015 --  Listen RT @XavierDLeau: how many times do we have this conversation about policing others emotions?
Wed Aug 26 19:29:19 PDT 2015 --  Saying "no, all lives matter" is like spitting in my face. OF COURSE all lives matter, but all lives aren't targets for systematic opression
Wed Aug 26 19:27:13 PDT 2015 --  We say #BlackLivesMatter because our own justice system tends to forget
Wed Aug 26 19:04:31 PDT 2015 --  This blatant censorship and "it's too soon" mentality that has blanketed pop culture is ridiculous. Art imitates real life sometimes.
Wed Aug 26 18:31:56 PDT 2015 --  In relationships, in life, within yourself, ?!
Wed Aug 26 18:31:35 PDT 2015 --  Why do yall fake happiness?
Wed Aug 26 17:12:28 PDT 2015 --  @FunkyDineva If Darren's bro can unequivocally speak on his sexual history, why didn't he step in when Darren was stepping out on his wife!?
Wed Aug 26 16:21:19 PDT 2015 --  1) I shouldn't be this annoyed. 2) WHY THE FUCK IS IT ONLY WEDNESDAY.
Wed Aug 26 14:51:57 PDT 2015 --  People will be mad at you because you are getting your life, and they aren't.
Wed Aug 26 14:44:03 PDT 2015 --  Apologies are for accidents, not things you did on purpose.
Wed Aug 26 14:40:00 PDT 2015 --  Y'all don't even bother clicking links to verify its content before y'all RT shit huh?
Wed Aug 26 14:04:04 PDT 2015 --  #RollTide pic.twitter.com/9XXfLLRH34
Wed Aug 26 11:30:04 PDT 2015 --  Sums it all up quite nicely don't you think ? https://instagram.com/p/621AeRLvYE/ 
Wed Aug 26 09:54:58 PDT 2015 --  Stop being fucking mad all the time.
Wed Aug 26 09:54:49 PDT 2015 --  Taylor is using her extremely large platform to help promote other artist. White or Black, thats a dope thing.
Wed Aug 26 09:54:23 PDT 2015 --  Ugh y'all get on my fucking nerves.
Wed Aug 26 09:53:34 PDT 2015 --  Why do people keep saying Taylor Swift only bringing out black people at her show? Thats a lie. Stop trying to make everything a race issue
Wed Aug 26 09:13:03 PDT 2015 --  People that want others to Die for killing someone are no better than the Killer..
Tue Aug 25 21:39:00 PDT 2015 --  does anyone have like ten thousand dollars they dont want
Tue Aug 25 17:59:29 PDT 2015 --  It amazes me how ppl do you wrong, break confidence, betray you but want to act as if they have been done wrong
Tue Aug 25 17:01:40 PDT 2015 --  My sister trying to get somebody ass whooped
Tue Aug 25 15:25:32 PDT 2015 --  Yall. This @TEYANATAYLOR mixtape is IT!
Tue Aug 25 12:56:00 PDT 2015 --  REPOST FOR ME FRIENDS https://instagram.com/p/60aDDuLvYM/ 
Tue Aug 25 15:15:47 PDT 2015 --  Erica and her adorable baby.....ugh
Tue Aug 25 15:12:53 PDT 2015 --  "The Way I Are" still rides. Idc idc not up for debate.
Tue Aug 25 11:49:28 PDT 2015 --  There's a difference between falling out with someone and turning your back on someone.
Tue Aug 25 11:04:02 PDT 2015 --  @teyanataylor chile you ain't give us enough tracks on this mixtape. You pulled it bitch!! Your mixtape is EVERYTHING. I can't get enough!
Tue Aug 25 10:27:47 PDT 2015 --  Yes! RT @BeyTomce: but The Strain is where my focus is rn.. tew turnt
Mon Aug 24 18:36:53 PDT 2015 --  Like that girl we sat behind at the funeral RT @MsLexis: Idk how I want my hair
Mon Aug 24 17:13:13 PDT 2015 --  #sameoldJos But I love her tho. #LHHReunion
Mon Aug 24 17:10:02 PDT 2015 --  Joseline lmaoooooooooo She so quick with it. I love her lol
Mon Aug 24 16:46:55 PDT 2015 --  BOOTS Ft. Beyoncé - Dreams pic.twitter.com/s2Lb40Jz0K
Mon Aug 24 15:35:25 PDT 2015 --  Its after 5 bruh. RT @cthagod: So being called female and male are derogatory terms now? When did all these new rules happen?
Mon Aug 24 14:32:27 PDT 2015 --  These texting and driving commercials way scarier than any drunk driving commercial ever.
Mon Aug 24 14:12:18 PDT 2015 --  A graffiti artist spraypainted a controversial picture of Elmer Fudd in Midtown Atlanta yesterday. pic.twitter.com/prqZqGGzdZ
Mon Aug 24 13:00:03 PDT 2015 --  A #Virgo woman is very sensitive and her feelings can be fragile, but she will become exceedingly strong when you need her support.
Mon Aug 24 13:09:52 PDT 2015 --  But when @mrLdavis told ol girl "Now tweet a pic of you and Aaliyah" I was like pic.twitter.com/EXDbe3iRLy
Mon Aug 24 12:33:19 PDT 2015 --  "ALL lives mat..." pic.twitter.com/wqTEci0bFj
Mon Aug 24 08:39:17 PDT 2015 --  me soon as i step in the function vs. when its time to go to the drive thru pic.twitter.com/dZHyoOJ4Qk
Mon Aug 24 09:51:51 PDT 2015 --  When you find out the new Atlanta stadium has a parking lot reserved only for Mercedes drivers pic.twitter.com/YDzEuEfn8B
Mon Aug 24 11:26:11 PDT 2015 --  Tell everyone to follow @funkydineva and repost. https://instagram.com/p/6xq-R2LvY8/ 
Mon Aug 24 09:58:22 PDT 2015 --  You will not make me mad AND control how I react. Whatever you get back is contingent upon what you give.
Mon Aug 24 09:35:55 PDT 2015 --  HOLLERING. I needed this laugh. https://vine.co/v/OHe0mZhBAIO 
Mon Aug 24 07:51:21 PDT 2015 --  Congrats to A'Shawn Robinson on being named to ESPN's Preseason All-American Team #RTR http://espn.go.com/college-football/story/_/id/13484876/2015-espn-college-football-preseason-all-american-team … pic.twitter.com/cxrZWbIIFM
Mon Aug 24 07:34:31 PDT 2015 --  UGH, FINALLY: Here's your first look at the new emojis coming out next year http://cosm.ag/6018BHurG  pic.twitter.com/No7vLIXK36
Mon Aug 24 07:15:06 PDT 2015 --  #MercedesBenzStadium #MBStadium #riseup @MBUSA pic.twitter.com/ShalxqtVO1
Mon Aug 24 07:10:49 PDT 2015 --  Here's a look at the Mercedes-Benz Stadium logo and branding on the model #MBStadium @MBUSA pic.twitter.com/X8esqmLZ2b
Mon Aug 24 05:24:04 PDT 2015 --  U ever notice yo old friends don't want you to make new friends?
Mon Aug 24 05:00:02 PDT 2015 --  12 things you MUST know before dating a Virgo http://cosm.ag/6010BH3R8  pic.twitter.com/KZQf6BWixN
Sun Aug 23 19:05:43 PDT 2015 --  Alabama has longest active streak of being ranked in the AP top 10. With a successful season, they could crack top 3. pic.twitter.com/fcplDC8wpu
Sun Aug 23 20:44:57 PDT 2015 --  SEC teams in Preseason AP Top 25: 3) Alabama 6) Auburn 9) Georgia 14) LSU 17) Ole Miss 18) Arkansas 24) Mizzou 25) Tennessee
Sun Aug 23 20:04:06 PDT 2015 --  I feel like I never get enough sleep, and the week seems so long working Monday-Friday
Sun Aug 23 15:59:50 PDT 2015 --  In life RT @Liberiangyal: Women are way more forgiving in a relationship, and we shouldn't be.
Sun Aug 23 15:53:41 PDT 2015 --  I was scolding down my News Feed on FB and saw these two posts within… https://instagram.com/p/6vkyi0DTVXWQ14AkI1KY90jIeXDrw_oh2UO7I0/ …
Sun Aug 23 13:15:03 PDT 2015 --  want these pic.twitter.com/9rXxiFvDdd
Sun Aug 23 13:13:06 PDT 2015 --  The Crimson Tide comes in at No. 3 in the @AP_Top25 Preseason Poll! Get all the details #RTR http://www.rolltide.com/sports/m-footbl/spec-rel/082315aaa.html … pic.twitter.com/oCoZ3hBtWi
Sun Aug 23 12:26:48 PDT 2015 --  @AlabamaFTBL lands at No. 3 in the preseason AP top 25. #BuiltByBama #RollTide
Sun Aug 23 11:37:51 PDT 2015 --  The best to do it! #TeamVirgo #17/18 https://instagram.com/p/6vHgxUIKcE/ 
Sun Aug 23 10:56:12 PDT 2015 --  Niggas be kee keeing and shit thinking just cuz we in a church setting that it's alright Reese can forget she is a Christian for 2.5 secs
Sun Aug 23 10:18:13 PDT 2015 --  Dead on! https://instagram.com/p/6u-ZTGhcc-/ 
Sun Aug 23 02:04:42 PDT 2015 --  Heeeyyyy sis and brother in law RT @KimKardashian: 1 good girl is worth 1000 b*tches pic.twitter.com/VEhNqaSG0q
Sat Aug 22 18:58:51 PDT 2015 --  The clothes that you want to shrink in the dryer never do.
Sat Aug 22 17:59:42 PDT 2015 --  I don’t care about any other NFL team, the @AtlantaFalcons are the only team that matters.
Sat Aug 22 11:53:46 PDT 2015 --  Have you ever known a person that wanted to be you? Like really! That wants your entire life? Like they literally can't stop talkin abt u
Sat Aug 22 07:00:29 PDT 2015 --  And then there were two! #RollTide pic.twitter.com/FYtr1O97B5
Sat Aug 22 06:30:07 PDT 2015 --  Walk, jog or run. Any of them will get you closer to your goals.
Fri Aug 21 22:08:09 PDT 2015 --  Soooooo pretty RT @kmichelle: pic.twitter.com/3TOaZwFJ3d
Fri Aug 21 18:06:30 PDT 2015 --  LOL listen! RT @aimn2please Freshmen girls need to stay far away from the QUES….bish yo life and reputation depends on it lmao
Thu Aug 20 19:11:41 PDT 2015 --  Lauryn Hill dead ass gave us ONE album and was like "you're all welcome, goodbye forever"
Fri Aug 21 16:58:23 PDT 2015 --  Speed: Devin Hester with the 59 yd punt return! pic.twitter.com/5nDMBsf7md
Fri Aug 21 14:57:18 PDT 2015 --  More Ryan to Jones #ATLvsNYJ https://vine.co/v/eDHYbhFnUYM 
Fri Aug 21 14:48:10 PDT 2015 --  Devin Hester warming up the #ATLvsNYJ https://vine.co/v/eDH00ueVFZt 
Fri Aug 21 14:35:46 PDT 2015 --  #RoleModel #ATLvsNYJ pic.twitter.com/6cSUfMxf3q
Fri Aug 21 14:28:45 PDT 2015 --  Why the fuck do people wait until Friday to try to start doing work?
Fri Aug 21 13:59:04 PDT 2015 --  My iD pictures always look like mugshots
Fri Aug 21 13:46:16 PDT 2015 --  Stretch has begun for the Tide on a gorgeous Friday #RollTide pic.twitter.com/SH9d7M19qc
Fri Aug 21 11:00:05 PDT 2015 --  When #Virgo really doesn't like something don't be surprised when they blurt it out.
Thu Aug 20 13:42:56 PDT 2015 --  When they yell "Uno!" But you got a "Draw 4" waiting on that ass pic.twitter.com/dVRT6KVVEE
Fri Aug 21 09:04:24 PDT 2015 --  Me walking into my office hungover trying to keep it together https://instagram.com/p/6psWzOBca_/ 
Fri Aug 21 08:55:43 PDT 2015 --  Reply with #FalconsDesignate to help us beat the Jets in the Responsibility Bowl and have a chance to win a Trufant signed mini helmet!
Fri Aug 21 08:46:14 PDT 2015 --  #RiseUp #ATLvsNYJ
Fri Aug 21 08:01:53 PDT 2015 --  RT if you were born in Georgia
Fri Aug 21 07:53:03 PDT 2015 --  Chris Tucker said it best: pic.twitter.com/tgD5Y6jXY6
Fri Aug 21 07:31:26 PDT 2015 --  A #Virgo's anger is quick, hot and over before it begun.
Fri Aug 21 05:00:33 PDT 2015 --  #TGIFootball pic.twitter.com/GngkbZ2Xks
Fri Aug 21 05:26:02 PDT 2015 --  Me! RT @lilduval: Who down with the no complaining challenge today?
Fri Aug 21 04:51:42 PDT 2015 --  Celebs forget 90% of the people you're talkin to is poor. They don't wanna hear no rich problems
Thu Aug 20 20:41:29 PDT 2015 --  why am i just figuring out what the hell D.R.A.M says in the chorus of Cha Cha Lol.. w/ a dominican who resembles pic.twitter.com/ygagGhYK39
Thu Aug 20 13:53:29 PDT 2015 --  One hundred days until the Iron Bowl and Rivalry Week... a lot can happen between now and then... pic.twitter.com/MmTwauRMGf
Thu Aug 20 14:26:49 PDT 2015 --  There's just something beautiful about waiting for what God has for you and denying anything less than that.
Thu Aug 20 13:00:04 PDT 2015 --  #Virgos can be extremely sarcastic.
Thu Aug 20 13:42:57 PDT 2015 --  Why @Bossip went in on Shad like that? Lmao
Thu Aug 20 13:39:36 PDT 2015 --  Man Law Violation. Lmao RT @Bossip: Bow Wow on his way to the Bossip offices like... pic.twitter.com/hHHnWgrQZr
Thu Aug 20 05:29:30 PDT 2015 --  People only believe what they want to believe.
Wed Aug 19 22:23:06 PDT 2015 --  Josh Duggar was on Ashley Madison. So, a child molester and an adulterer argued that gay marriage ruins the sanctity of marriage. Got it.
Wed Aug 19 21:47:37 PDT 2015 --  OMG lol RT @PrinceCharmingP: Bitches will call you complaining and crying about their relationship then say "hold on, this him"
Wed Aug 19 21:26:03 PDT 2015 --  When you nut fast, and she waiting for you to get hard again pic.twitter.com/4l5ipK3JRK
Fri Aug 14 15:28:43 PDT 2015 --  Incredibles 2 though? I'm walking in the line like pic.twitter.com/Zsuusy3Zw5
Wed Aug 19 19:43:45 PDT 2015 --  Hold up. That was your fucking fault MGK. You chose Catfish over your daughter lol whether the episode was juicy or not
Wed Aug 19 19:43:56 PDT 2015 --  I'd make all they ass pay for every flight and hotel room. #Catfish
Wed Aug 19 19:42:54 PDT 2015 --  Hundra just wanted to be on TV. More proof that Money is not the root of all evil now attention is. #Catfish
Wed Aug 19 19:42:13 PDT 2015 --  Sooooo this whole catfish episode was a sham? Damn Neve got catfished.
Wed Aug 19 19:27:02 PDT 2015 --  I love calling Georgia home.
Wed Aug 19 14:39:25 PDT 2015 --  "Fetty" is slang for money & "Wap" is a tribute to @fettywap's idol @gucci1017 aka Guwop. pic.twitter.com/s3VBTfDgNM
Wed Aug 19 17:25:15 PDT 2015 --  Be weary of the friend that people feel comfortable talking shit about you to.
Wed Aug 19 11:53:24 PDT 2015 --  This is so awesome honestly pic.twitter.com/r3WmxOENO2
Mon Aug 17 04:32:00 PDT 2015 --  TOWEL SERIES 86, ODELL BECKHAM JR. #MarioTestino #TowelSeries @OBJ_3 pic.twitter.com/BHeNZISYQH
Sat Jul 11 23:15:32 PDT 2015 --  LMAOO FOREVER FUNNY pic.twitter.com/bwofiQxSNw
Wed Aug 19 09:27:49 PDT 2015 --  Guilty. RT @lilduval: How many people screenshot yo friend page and send it to yo other friend and say "look at this new lie"
Wed Aug 19 07:44:04 PDT 2015 --  Being well spoken don't mean you're right. But you'll fool a fool tho
Wed Aug 19 07:40:47 PDT 2015 --  Repost from @grindhrdstph8in! If you know of anyone who this may help..PASS IT ON https://instagram.com/p/6kZNBlC_G_/ 
Wed Aug 19 04:52:59 PDT 2015 --  I'm in. RT @lilduval: Don't complain or ask for nothing today. Who's down with this challenge?
Wed Aug 19 02:44:02 PDT 2015 --  And for my next trick......... https://instagram.com/p/6j3PonTNZA/ 
Tue Aug 18 17:16:14 PDT 2015 --  #BuiltByBama #RollTide pic.twitter.com/GIV1WCAYCk
Tue Aug 18 13:00:50 PDT 2015 --  By @notkarltonbanks via repostwhiz app: When you in the crowd and they show you on the projector… https://instagram.com/p/6iZCGLor3p/ 
Tue Aug 18 12:49:53 PDT 2015 --  #RiseUp pic.twitter.com/OBBRe9cB0h
Tue Aug 18 12:46:59 PDT 2015 --  ME TOO! looking like queen of the damned RT @tytalk1 I HATE those Bluetooth necklaces
Tue Aug 18 09:57:55 PDT 2015 --  Stop judging people just because they find happiness differently and in a different place than you.
Tue Aug 18 06:06:10 PDT 2015 --  Seriously?? CNN Shocked That ‘Straight Outta Compton’ Didn’t Cause Violence Or End In Police Murders http://dlvr.it/Btc9Rp 
Tue Aug 18 05:42:03 PDT 2015 --  "He who takes offense when no offense is intended is a fool, and he who takes offense when offense is intended is a greater fool."
Mon Aug 17 21:43:27 PDT 2015 --  Really wish yall would stop singing on Instagram like its The Voice
Mon Aug 17 20:27:18 PDT 2015 --  "Who's DMing us?" -Michelle Epps pic.twitter.com/zpItMRQQVh
Mon Aug 17 20:12:30 PDT 2015 --  Lmfao!!!! Vince! RT @VannDerek: @mrLdavis pic.twitter.com/3bCQC0BG65
Mon Aug 17 15:27:32 PDT 2015 --  I hate unsolicited advice.
Mon Aug 17 09:31:31 PDT 2015 --  People GET Botox to have lips like this. Ain't no static electricity bihhh it grow like that. GET THE WHOLE FUCK pic.twitter.com/4Najwr2i3y
Mon Aug 17 10:27:52 PDT 2015 --  I really hope with all these guest spots that Empire doesnt turn into a shit show.
Sun Aug 16 21:04:01 PDT 2015 --  I'M DEADASS PUSHING KIDS OUT THE WAY FOR MY TICKET I DON'T GIVE A FUCK I BEEN WAITING FOR THIS SINCE 2004 NIGGA pic.twitter.com/Lr7Lcwbi7v
Sun Aug 16 09:30:40 PDT 2015 --  "do u even lift?" me: yeah pic.twitter.com/d7rffWf8AI
Sun Aug 16 20:54:54 PDT 2015 --  Lying to make me feel better... doesn't make me feel better.
Sun Aug 16 19:02:13 PDT 2015 --  Just realized my birthday is in exactly 1 month from today! #32 #StillLook20something
Sun Aug 16 18:33:38 PDT 2015 --  Had to rt that again because
Wed Aug 12 08:44:46 PDT 2015 --  They really don't understand how much your ride for them until you park
Wed Aug 12 08:34:52 PDT 2015 --  pic.twitter.com/9YLE5GiGYO
Wed Aug 12 08:23:04 PDT 2015 --  I have a superpower. it's at even giving moment I can stop giving a fuck. At the drop of a dime.
Wed Aug 12 07:22:44 PDT 2015 --  92y/o woman from Bainbridge, GA was banned from church for not tithing. She was a member for 50 years. pic.twitter.com/IAzyNZNGtW
Tue Aug 11 20:09:06 PDT 2015 --  Got 'Em!!! You didn't really think #BETUncut was coming back...Did you!? #PunkdBET https://amp.twimg.com/v/54d4d32d-699a-4e2d-bbbf-c576ec2e075f …
Tue Aug 11 20:02:01 PDT 2015 --  Sooooo the whole BET Uncut thing was a set up for Punk'd?
Tue Aug 11 18:50:36 PDT 2015 --  RT @JuggernautBG: I hate ya'll RT @nick_pants: pic.twitter.com/1EPahygkT9
Tue Aug 11 17:00:04 PDT 2015 --  #Virgos have a long fuse with an explosive end.
Tue Aug 11 16:12:52 PDT 2015 --  Yall funny
Tue Aug 11 16:02:12 PDT 2015 --  Chile he gon quit letting that ol V For Vendetta face ass gil tag him in pictures
Tue Aug 11 15:58:38 PDT 2015 --  Some people are just ugh
Tue Aug 11 14:45:00 PDT 2015 --  Earlier at Jets training camp pic.twitter.com/W7Vj36A6CD
Tue Aug 11 12:10:45 PDT 2015 --  Aint that what you do it for? Your family and loved ones? Fuck whoever don't get it, understand it, or like.
Tue Aug 11 12:10:23 PDT 2015 --  No they don't sing, they don't dance, they don't act, but they put themselves and their family on.
Tue Aug 11 12:09:50 PDT 2015 --  No Kim K doesnt have an exceptional talent, but she was able to make something for herself and her family .isnt that the dream for all of us
Tue Aug 11 12:09:17 PDT 2015 --  Who doesnt want to "make it" and be able to put their whole family on?!?
Tue Aug 11 12:09:01 PDT 2015 --  Ive said this before. The reason why americans are obsessed with hating the kardashians is because they are the american dream.
Tue Aug 11 11:57:34 PDT 2015 --  Well bitch I wanna be a hoe too then.
Tue Aug 11 11:57:27 PDT 2015 --  Successful brands, store franchises, television shows, apparel lines, etc and all y'all can do is call the Kardashian's hoes?
Mon Aug 10 05:08:58 PDT 2015 --  How it take 5-7 business days to refund my money when it took y'all 5-7 seconds to take that shit out my account pic.twitter.com/iiDHhCVJPL
Tue Aug 11 06:40:54 PDT 2015 --  Hearing my voice replayed <<<<<
Tue Aug 11 06:18:30 PDT 2015 --  A wizard sleeve??? Yo @headkrack is HILARIOUS
Tue Aug 11 02:39:46 PDT 2015 --  I like to Cha Cha. https://instagram.com/p/6PQZXzTNYi/ 
Mon Aug 10 21:49:25 PDT 2015 --  As if you needed to be persuaded RT @MsLexis: I talked Zakia into letting me drink
Sun Aug 09 09:37:10 PDT 2015 --  A TAX FREE PAYCHECK WOULD BE NICE..
Mon Aug 10 19:43:46 PDT 2015 --  I hate indecisive people
Mon Aug 10 19:35:12 PDT 2015 --  #RiseUp
Mon Aug 10 16:40:11 PDT 2015 --  Let em stay pressed. RT @mrLdavis: You guys do know that if you don't like them, that you don't have to keep up with the Kardashian's right?
Mon Aug 10 16:09:39 PDT 2015 --  Motivation Monday https://instagram.com/p/6OHnN-sP-t/ 
Mon Aug 10 16:01:22 PDT 2015 --  The main thing I dislike about my generation is that it is an age of "exposing" and purposely embarrassing people.
Mon Aug 10 13:33:23 PDT 2015 --  Tommy getting out! @Power_Starz
Mon Aug 10 12:58:18 PDT 2015 --  This is SCRIPTURE! RT @mrLdavis: As i've said before. You can not control what people do with the hurt you gave them.
Mon Aug 10 12:29:25 PDT 2015 --  As i've said before. You can not control what people do with the hurt you gave them.
Mon Aug 10 12:09:20 PDT 2015 --  Where does Tyga get his coins? He must have one hell of a publishing deal and other ventures.
Mon Aug 10 10:50:44 PDT 2015 --  Hoes don't pay niggas attention until they see a bitch they hold to a higher standard wave at his ass.. Now they wanna fuck
Mon Aug 10 10:53:34 PDT 2015 --  A hoe would fuck a "where my hug at" nigga just cause another bitch they look up to... Actually gave him a dap
Mon Aug 10 09:27:15 PDT 2015 --  I love that damn Family, because if nothing else, they are a family!
Mon Aug 10 09:15:08 PDT 2015 --  The Kardasian/Jenner crew came out in full force to celebrate @kyliejenner's 18th birthday http://peoplem.ag/IkPohg4  pic.twitter.com/tpRw1o2Z5J
Mon Aug 10 09:07:17 PDT 2015 --  God answers prayers!!!! #RiseUp RT @andrewhirsh: Julio Jones: "I want to be a Falcon for life."
Mon Aug 10 08:55:05 PDT 2015 --  Tyga Now F&cking Kylie Jenner Without Children And Families Being Concerned. Kylie Turns 18 -: http://www.funkydineva.com/tyga-now-fcking-kylie-jenner-without-children-and-families-being-concerned-kylie-turns-18/ …
Mon Aug 10 07:44:22 PDT 2015 --  If you wasn't born before cash money took over in the 99 u too young for me.
Mon Aug 10 05:40:29 PDT 2015 --  24 Things Your Friends With Generalized Anxiety Disorder Wish You Knew http://www.buzzfeed.com/annaborges/hello-anxiety-my-old-friend?utm_term=.kmZYobDDm … via @annabroges @buzzfeed
Fri Aug 07 06:48:21 PDT 2015 --  I will never not RT this when I see it on my TL. RT @HonestlyWhite: Lol RT @Tone314: One more time for our ancestors pic.twitter.com/61121TOxIH
Sun Aug 09 21:05:26 PDT 2015 --  #Happy18thBirthdayKylie
Sun Aug 09 18:41:18 PDT 2015 --  I can't wait till that video hit my inbox tho
Sun Aug 09 18:40:55 PDT 2015 --  My nigga! *Denzel voice*
Sun Aug 09 18:40:16 PDT 2015 --  Get off my timeline favoriting shit Petty Labelle lolol
Sun Aug 09 18:39:14 PDT 2015 --  How you doing? *Wendy Williams voice* lolololololololol
Sun Aug 09 18:38:41 PDT 2015 --  Just thought about them screenshots somebody sent me last week. Now I go to church looking at that nigga differently. LMAOOOOOOOO
Sun Aug 09 17:47:46 PDT 2015 --  after a while , you begin to realize that you put up w/ someone's bullshit for too long and wash your hands from their filth . 🏽️
Sun Aug 09 11:43:56 PDT 2015 --  I can't wait to get home and watch @Power_Starz.
Sun Aug 09 09:48:49 PDT 2015 --  Team photo day for the Crimson Tide #RTR pic.twitter.com/JLlUFB7V0N
Sun Aug 09 09:35:02 PDT 2015 --  Arthur Blank says Julio Jones is close to signing and expects Julio to be a Falcon for life. #JULIOOOOO
Sat Aug 08 00:21:25 PDT 2015 --  SO INSTEAD OF FINDING AN ACTUAL PLUS SIZE MODEL YOU PUT A REGULAR MODEL INTO ONE LEG??? THIS IS SO DISGUSTING pic.twitter.com/qyvYHBfIFv
Sat Aug 08 19:46:27 PDT 2015 --  Bruh
Sat Aug 08 13:50:03 PDT 2015 --  Yall hiring? RT @FloydMayweather: I'm gonna just pack light for this trip #AirMayweather Photo credit: @thatjessilee pic.twitter.com/TW3vBE04T3
Sat Aug 08 11:03:28 PDT 2015 --  RT @Boom_likean808: @MackDane_ it's petty and tacky to give your new girlfriend something you gave your old girlfriend. No matter what it is
Sat Aug 08 11:02:35 PDT 2015 --  "At least she got a car" well 1. She didn't need it 2. The purpose of a gift is the meaning behind it, not the value.
Sat Aug 08 11:01:54 PDT 2015 --  That mentality, "just be thankful you got something" is very problematic.
Sat Aug 08 10:56:08 PDT 2015 --  And mind you, if it was a new car it would have a temporary Tag. Not the ol my car has been registered insured and oil changed tag.
Sat Aug 08 06:08:54 PDT 2015 --  When the Color of your Skin is seen as a Weapon, You will Never be seen as "Unarmed." #ChristianTaylor
Fri Aug 07 23:10:26 PDT 2015 --  You hiring? RT @FloydMayweather: Just another day adding to the collection. #MayweatherLife #ChristianLouboutin pic.twitter.com/sAlSvjYpp8
Fri Aug 07 21:05:27 PDT 2015 --  pic.twitter.com/e4Henp0trU
Fri Aug 07 20:49:41 PDT 2015 --  Get. Your. Life. https://instagram.com/p/6G58rqBcWt/ 
Fri Aug 07 13:59:36 PDT 2015 --  I. Am. Still. Screaming. pic.twitter.com/Kvfa8zXnQB
Fri Aug 07 11:56:44 PDT 2015 --  Tell me that when I can't go out RT @PrettyLabels: If you broke because you paid all your bills that dont count as being broke
