Fri Aug 14 14:35:41 PDT 2015 --  Visit my art installation at Burning Man this year #theblackmirror.
Fri Oct 07 12:29:41 PDT 2011 --  I am doing my part to end the American corporatist state - by closing my Bank of America account. A law ends hidden fees and so they steal?
Fri Oct 07 12:27:07 PDT 2011 --  Steve Jobs. RIP.
Fri Oct 07 12:25:22 PDT 2011 --  Steve Jobs was a great man, and I have learned alot from him. In the afterlife, he's going to do a great job with Heaven's computer systems.
Fri Oct 07 12:24:14 PDT 2011 --  I have discovered that surfing the net, expecting to find something new and exciting is a form of masturbation that grows hair on your hands
Sun Aug 21 11:59:45 PDT 2011 --  There is no biblical mandate to get, and stay married. It's a natural mating pattern. We mate for life and we mate all our life. Catholica.
Sun Aug 21 11:56:44 PDT 2011 --  The christian crusade against pornography should include diet, unhealthy lifestyle, and loss of community. Men enjoy pretty women and wives.
Sun Aug 21 11:53:13 PDT 2011 --  I just read something in the about a christian 'crusade' against pornography - are they going to go with burning angel and vegan lifestyle?
Thu Aug 11 08:49:04 PDT 2011 --  @violetblue It's not illegal but AT+T needs to know. Get his license plate or his truck ID number then call AT+T - their policy is to id.
Thu Aug 11 08:46:19 PDT 2011 --  I am on a quest to discover the formula that explains everything in the known universe, so I can make T-shirts and sell them to hot chicks.
Thu Jul 28 09:43:30 PDT 2011 --  More money was spent in the election of 2010 than in any other midterm election in the history of America. The puppetmasters are epic fail.
Thu Jul 28 09:39:07 PDT 2011 --  The Republicans spent more than any administration - in American history - through 2008. Now they are saying they know how to cut spending!?
Thu Jul 28 09:35:53 PDT 2011 --  A congress that mechanically voted 17 times over presidents Reagan, Clinton and Bush to raise ceiling - now plays politics with our economy.
Tue Apr 19 11:53:20 PDT 2011 --  #wowtag Next world of warcraft expansion: Tentacle monsters everywhere. Rescue Japanese schoolgirls. New race: Asian. +1 gold farming.
Tue Apr 19 11:45:46 PDT 2011 --  @kapxapot @Warcraft #wowtag Varian turns to G. and says. My apologies. G politely replies. It's nothing my good man. Then they continue on.
Wed Apr 13 09:31:04 PDT 2011 --  Net neutrality is being attacked. Again. Stop the corporate goons. Take action @freepress: http://freepr.es/g3PVb4 #NetNeutrality - NOW!!!
Mon Apr 11 12:29:34 PDT 2011 --  @JoannaAngel IMHO Breakfast is a valid enough skill. BTW love plant based diets - better food. Thanks for turning me on.
Tue Apr 05 07:50:56 PDT 2011 --  @JoannaAngel Netflix.
Tue Apr 05 07:49:43 PDT 2011 --  Social networking is precisely that - a network of real human beings. Not a single website. Not even a collection of websites. Get it right
Tue Apr 05 07:47:36 PDT 2011 --  There is an entire generation of people who now roam the net, thinking it has always been here and that they do not need to work to keep it
Tue Apr 05 07:46:33 PDT 2011 --  Who ever said that telling the truth was unpatriotic? Maybe the same person that wants you to try to strip down your day into 140 characters
Wed Feb 16 12:44:35 PST 2011 --  #Netneutrality , to me, means open network and open application architecture. #Rhapsody pulled their app from app store today. Mazeltov!
Tue Feb 15 22:34:53 PST 2011 --  Verizon Wireless is playing monkey business with Network Solutions Webmail, at time of writing (1:34 am, 2/16/11). Is enough enough already
Thu Jan 13 21:09:54 PST 2011 --  MetroPCS is a #NetNeutrality violator. Tell the FCC to investigate it now: http://freepr.es/fFcGbv (via @freepress)
Mon Dec 20 20:05:39 PST 2010 --  #NetNeutrality emergency: Tell Pres. Obama to pick up the red phone and dial F-C-C for Neutrality http://freepr.es/eulXGz
Mon Dec 20 09:56:32 PST 2010 --  #netneutrality To actually browse the net by smartphone we need real net neutrality. Watch here : http://www.savetheinternet.com/FCCmeeting
Mon Dec 13 08:24:48 PST 2010 --  @JoannaAngel how do I get my blu ray unlocked so I can point it at burningangel.com high def instead of just netflix. :)
Mon Dec 13 08:20:47 PST 2010 --  And then, of course... if you want to mirror wikileaks... suptayoo.. http://www.wikileaks.ch/mass-mirror.html
Mon Dec 13 08:20:00 PST 2010 --  The simple solution to the twitter/facebook issue is to set up your own website. It's super cheap, super fun and it does all of this stuff.
Mon Dec 13 08:18:12 PST 2010 --  Twitter and Facebook just burned the accounts of those organizing a cyber protest against the attacks on wikileaks.ch. Double plus ungood.
Mon Dec 06 06:25:26 PST 2010 --  The #FCC FCC really needs to find a way to deliver strong network neutrality #NetNeutrality -this issue is huge. Contact your congressman
Tue Nov 30 11:49:23 PST 2010 --  Whatever Alain De Botton is writing is whatever I will be reading.
Tue Nov 23 08:20:14 PST 2010 --  Something wicked this way comes.
Tue Nov 23 08:18:27 PST 2010 --  Korea's Sabre rattle has now become a drawn blade and severed limb. The 38th parallel is a line in the sand that will soon be drawn in blood
Tue Nov 23 08:16:39 PST 2010 --  The dogs of war are unleashed upon the world. Their bones show through their fur. Their teeth are yellow. Their eyes red. The ground shakes
Thu Nov 18 05:35:35 PST 2010 --  #KFCScholar Q: What's the difference between a grad student and a KFC gift certificate? A: The gift certificate can feed a family of four.
Tue Nov 16 20:50:26 PST 2010 --  Do not allow any one site to gain control of what is thought, said, or done. Instead, make your own site. It's not that hard. Trust me .
Tue Nov 16 20:50:00 PST 2010 --  The art of hacking is the defense of liberty. Open, free and scaleable networks will define a new era of peace and harmony.
Wed Oct 06 09:08:29 PDT 2010 --  You will find the key to success underneath your alarm clock.
Wed Oct 06 09:07:17 PDT 2010 --  I am weighing my vote carefully as an independent, but I am very happy with what Obama has accomplished. Especially with my stock portfolio.
Wed Oct 06 09:06:41 PDT 2010 --  The Libertarian party has been around for nearly 100 years and has never captured three full primaries in a single year. The Tea party has.
Wed Oct 06 09:05:36 PDT 2010 --  There can be no greater evidence of the disintegration of the modern republican party than the existence of a conservative movement opposed.
Wed Oct 06 09:04:55 PDT 2010 --  The Pledge of Allegiance of the 2010 Republican Party: One Nation, Under God, with Lobbyists, and Corporate Injustice for All.
Tue Sep 07 11:28:30 PDT 2010 --  The cold wind blows through the leaves,the faintest tinge of death yellow in their green. Soon. Halloween. Something wicked this way comes.
Thu Aug 26 09:34:04 PDT 2010 --  Net Neutrality is the strongest, first amendment right we have - and it should be protected as fiercely as free speech. CL should stand tall
Thu Aug 26 09:33:05 PDT 2010 --  Precedent law is possible to extrapolate from content based filtering to network based filtering - state censorship of the net will kill it.
Thu Aug 26 09:32:24 PDT 2010 --  The virginia attorney generals office is leading the 17 state charge against Craigslist because its lobbyists want net neutrality killpoint
Wed Aug 25 12:08:10 PDT 2010 --  File under non-twit tweets: Khanacademy rocks. Follow him. He may even make twitter worth using..
Wed Aug 25 12:06:27 PDT 2010 --  I'm pretty stoked about life right now. Business is good. Life's good. Hitting the driver straight. Wish I had time to actually enjoy it all
Mon Aug 02 09:10:29 PDT 2010 --  Love arcs through the cellphone, and social network - like heat lightning on a hot summer day. It never reaches the ground, but we all look.
Mon Aug 02 09:06:02 PDT 2010 --  The Federal Government should try to keep corporations from tethering appliances onto the net, kill all spam and cellphones to open standard
Mon Aug 02 09:02:11 PDT 2010 --  The day we see that having a cellphone doesn't necessarily mean having a service contract - is the day America becomes a wireless pioneer ;)
Mon Jun 21 20:03:26 PDT 2010 --  Twitter will become obsolete the day that we are all paid to watch advertisements - and Wikileaks is about to send direct updates to us.
Thu Jun 03 06:06:17 PDT 2010 --  #childrensbooktitles .... Mr. Popper's Rescued Penguins ... Where the Partially Wild Things Are .. Green Pelican Eggs and Clams
Thu Jun 03 05:54:14 PDT 2010 --  Let's play blue state clues: real healthcare reform and support for a real national health service wins you support. Fake wins fake support
Thu Jun 03 05:50:52 PDT 2010 --  The US is planning to send an Aircraft Carrier, a Destroyer, and a Nuclear Sub to the waters offshore North and South Korea. Winds of War?
Thu Jun 03 05:48:56 PDT 2010 --  Magic Treehouse # 39 ... Dark Day in the Deep Sea
Thu Jun 03 05:47:27 PDT 2010 --  #childrensbooktitles.... Magic Treehouse # 11 Oily Pelicans at Sunset .... Magic Treehouse #24... British Petroleum Past Noon ...
Fri May 14 05:00:32 PDT 2010 --  Heading over to the Costco Soulmate Trading Outlet today to pick up a soulmate at bargain price. How do they do it? No display cases. No ads
Fri May 14 04:02:42 PDT 2010 --  @violetblue DRESSED TO KILL FTW
Thu May 13 08:34:54 PDT 2010 --  #childrensbooktitles ... The Magic Treehouse #6: Dino the Kinkosaur before Dawn
Thu May 13 08:32:15 PDT 2010 --  #childrensbooktitles .... Pippi Fishnetstockings.... The Magic Treehouse:.. ok wait... we could do a whole trend on the magic treehouse...:)
Thu May 13 08:30:31 PDT 2010 --  #childrensbooktitles .... Henry and Mudge , Chapter 1 : Henry Gets Chipped ... How to Eat Fried Worms .. Jamie Oliver's Food Revolution Ed.
Thu May 13 08:18:52 PDT 2010 --  The greatest pleasure is to do a good deed by stealth, and to have it found by accident. A midsummer nights dream in shade of cat and mouse
Fri May 07 07:18:32 PDT 2010 --  Well. At any rate here's whats happening with me. I'm horny. I'm angry (not that angry, but angry enough). I'm lonely. I'm hungry. I'm bored
Fri May 07 07:17:06 PDT 2010 --  I wonder if anyone uses Twitter to telegraph stocks to buy or sell. There are Blackberries on Wall Street. Why isn't there a trend for this?
Fri May 07 07:05:53 PDT 2010 --  Whats happening? This is supposed to be the basis of a twitter feed. Right? Tell everyone what is really happening.. ok... What's happening?
Thu May 06 08:37:32 PDT 2010 --  @DrBobParsons .. Nice. But can you screen GoDaddy Commercial Entries on it..without flash movie player? Or do you just rate the broken X..?
Thu May 06 08:35:36 PDT 2010 --  @m_leblanc Not sad. Beautiful. But when you can walk across a blogroll without leaving a footprint, Grasshopper. Then you will have learned.
Thu May 06 08:32:40 PDT 2010 --  Texting is now a seduction process - car accidents are a gene selection factor. Sometimes 140 characters is all you need to express yourself
Wed May 05 07:06:13 PDT 2010 --  #twittertrends ... Twittertrends... Any Trend that is blatantlay and easily totally useless... an exaggerated version of Trending:Worldwide
Wed May 05 07:04:56 PDT 2010 --  #twittertrends... Trending worldwide... really cool things happening that need more than 120 characters to describe them... but which one?
Wed May 05 07:03:20 PDT 2010 --  My mother wants me to get a new job for Mother's day. And yes, of course, she wants me to do lots of other jobs. She makes a list now. .. :)
Wed May 05 07:02:28 PDT 2010 --  @ er.. I meant punctuation.. :)
Wed May 05 07:02:13 PDT 2010 --  @SybilV ... Anything By David Crystal for anything relating to language itself... 'Eats Shoots and Leaves' for Grammar and Usage...
Wed May 05 07:01:26 PDT 2010 --  @SybilV.. That book title might be "Island of Lost Plots" by Jasper Fforde ...Teach from it... ? It is nonheuristic but will give you ammo.
Sat May 01 08:23:26 PDT 2010 --  #childrensbooktitles .... Tales of a Fourth Grade Paypal Login..... Charlie and the Canadian Pharmaceuticals Factory...
Sat May 01 08:18:11 PDT 2010 --  #childrensbooktitles .... The Secret Homepathic Garden
Sat May 01 08:12:09 PDT 2010 --  #childrensbooktitles .... The Lyin', Bitch - in the Wardrobe ... Mrs. Frisby and the Rats of FEMA ... Anne in Green Cables ...
Sat May 01 08:05:09 PDT 2010 --  #childrensbooktitles ..... Goodbye Moon.... The Snowy Day with Funny Ash Mixed In... The Runaway Tranny ...
