Wed Aug 26 20:29:50 PDT 2015 --  Anyone know how to lower the difficulty setting on tinder?
Fri Apr 17 13:27:47 PDT 2015 --  new TSSF anf FYS albusm this summer ,what else could I want?
Tue Apr 14 15:21:54 PDT 2015 --  The West African Black Rhino has been officially declared extinct. It was hunted for its horn. Shame on our species. pic.twitter.com/hAljGZmRTT
Sat Apr 11 10:17:19 PDT 2015 --  so this is the dude from my math textbooks pic.twitter.com/2b9bTBzN35
Fri Apr 10 16:17:03 PDT 2015 --  Cailin Russo NEVER let us down, totally killing it pic.twitter.com/bnX4Lzhpkg
Fri Apr 10 18:07:28 PDT 2015 --  dont worry california, our snow is melting here so it should be heading south #gravity
Thu Apr 09 15:22:21 PDT 2015 --  Kids eat free pic.twitter.com/RIPi10U3wA
Thu Apr 09 13:26:02 PDT 2015 --  . @cairusso forever my biggest crush
Wed Apr 08 20:43:23 PDT 2015 --  i wish my life was like an 80's movie
Mon Apr 06 15:00:48 PDT 2015 --  mfw an alarm on my phone goes off at 6pm
Sat Apr 04 20:07:06 PDT 2015 --  i wanna be the dude in slipknot that hits the trash cans
Sat Apr 04 16:52:20 PDT 2015 --  . @pizzahut ball is life
Wed Apr 01 20:20:09 PDT 2015 --  i need a spongebob marathon
Wed Apr 01 11:56:17 PDT 2015 --  Craving that tropical sun...
Wed Apr 01 08:58:20 PDT 2015 --  my mom asked for a glass of ice water and i only put in one ice cube #lmao #aprilfools
Sun Mar 29 18:42:14 PDT 2015 --  rewarding yourself with shitty food after a workout is like killing yourself after a near death experience
Fri Mar 20 13:37:53 PDT 2015 --  Preparations #AllTimeLow Wembley Arena. That shirt tho! pic.twitter.com/etWw63aRde
Thu Mar 12 10:23:39 PDT 2015 --  Isn't it funny how pirates went from shore to shore looking for gold when the real treasure was the friendships they were making
Wed Mar 11 05:37:51 PDT 2015 --  On Wednesday, March 11th enjoy a free slice ofif your first name is Adelle, Derek, Zachary or Presley #ldnont pic.twitter.com/ZXA4uRwj3B
Sat Mar 07 18:34:29 PST 2015 --  if lucky charms made a double scoops of marshmallows they'd make a killing
Wed Mar 04 18:15:53 PST 2015 --  *wins imaginary argument*
Tue Mar 03 14:32:06 PST 2015 --  . @BarackObama let me live in your country
Tue Mar 03 10:07:53 PST 2015 --  th' frick is this weather?
Mon Mar 02 18:48:13 PST 2015 --  *says witty dad joke to friend* *hysterical 80's sitcom laugh track plays*
Sun Mar 01 11:44:09 PST 2015 --  i wonder if i can still do the kickflip
Tue Feb 24 10:16:09 PST 2015 --  ISIS gets teens to go to friggin Syria & I can't even get em to come to my show at the Chuckle Hut! Who does their PR? #SocialMedia #fleek?
Mon Feb 23 11:39:08 PST 2015 --  *eats snack while making snack*
Mon Feb 23 11:33:22 PST 2015 --  "Serves 4" *I read off the side of the Kraft Dinner box as I eat the entire box by myself*
Wed Feb 18 10:39:28 PST 2015 --  . @BarackObama I'm in school! How do you expect me to afford these gas prices!? pic.twitter.com/2ltvnItzpj
Mon Feb 16 14:09:01 PST 2015 --  Why is there always that one guy in shorts when it's 3° outside? Like, props to you, but what are you doing?
Fri Feb 06 23:13:13 PST 2015 --  . @BarackObama jet fuel doesn't burn hot enough to melt steel, and plane wings form a triangle, coincidence?
Fri Feb 06 20:27:13 PST 2015 --  im a little late on this but the new the 1975 is great
Mon Feb 02 23:48:13 PST 2015 --  you want my billing address? what is this, 1998?
Mon Feb 02 18:52:20 PST 2015 --  . @rihanna hey
Mon Feb 02 17:37:45 PST 2015 --  Early stoke for summer road trips & the 2015 #vansusopen with our buds @fiatusa... Too early to start a countdown? pic.twitter.com/G7onEeluNa
Sun Feb 01 16:28:46 PST 2015 --  my stock in avocados is through the roof
Wed Jan 28 12:18:28 PST 2015 --  #BellLetsTalk
Fri Jan 09 21:34:58 PST 2015 --  I can’t wait until our generation becomes teachers that actually know how to make a video full screen and get the damn cursor out of the way
Mon Jan 05 14:24:04 PST 2015 --  hearing people try and describe what "punk" is gives me the same feeling as dropping a pick into the an acoustic guitar
Sun Jan 04 19:23:03 PST 2015 --  im outdoorsy in the sense i like getting drunk on patios
Tue Dec 30 21:33:38 PST 2014 --  F8F8FF
Tue Dec 30 21:27:01 PST 2014 --  whenever i see a frog on a lily pad im like yeah man… thats exactly where youre supposed to be
Wed Dec 17 23:11:33 PST 2014 --  *knocks you out with a calculator* haha bet you werent counting on that one lmao
Mon Dec 15 20:40:03 PST 2014 --  theres nothing better in life than 1 star yelp reviews
Mon Dec 15 17:43:07 PST 2014 --  Amadeus is here! http://youtu.be/OOP3jQWxU6o?a 
Thu Dec 11 13:09:17 PST 2014 --  you know whats better than spending 10 grand on plugins and mics to get better drum sounds? buy better drums..
Mon Dec 08 05:51:42 PST 2014 --  The only thing a construction worker with a backwards hardhat says to me is that his dreams of being a rapper fell through
Sat Dec 06 16:59:56 PST 2014 --  its 2014 why dont cars have proper outlets
Sat Dec 06 00:10:57 PST 2014 --  replacing my heart with another liver so i can drink more and care less
Wed Dec 03 22:25:39 PST 2014 --  so apparently the numbers on the toaster are minutes? i always thought they were just the level of toastyness
Wed Dec 03 13:55:13 PST 2014 --  My new sounds: Team - Lorde // Pop Punk Cover http://soundcloud.com/zacharypepe/team-lorde-pop-punk-cover … on #SoundCloud
Tue Dec 02 17:19:59 PST 2014 --  people that believe articles on the onion scare me and need to learn what satire is
Wed Nov 26 20:56:28 PST 2014 --  Ariana Grande sounds like a font
Tue Nov 25 20:35:45 PST 2014 --  haha cool i should share that post on google+
Tue Nov 25 20:19:14 PST 2014 --  cellphone data runs out faster than my motivation
Sat Nov 22 22:59:52 PST 2014 --  *tips fedora to mosquito* "m'laria"
Wed Nov 19 21:38:33 PST 2014 --  the iphone 6s screen touches you
Wed Nov 19 20:35:44 PST 2014 --  can i trade my car in for a tauntaun?
Mon Nov 17 22:00:57 PST 2014 --  your argument is like a naked banana it simply lacks a peel lmao good 1 rite
Thu Nov 13 20:16:09 PST 2014 --  calcium? more like coolcium haha drink ur milk kids
Mon Nov 10 22:03:45 PST 2014 --  were living in an era where capturing moments using our phones is more important than actualy living those moments with whoever is beside us
Sun Nov 09 17:40:39 PST 2014 --  . @CNN how fucking PUMPED are you about Ebola!?
Fri Nov 07 15:34:07 PST 2014 --  This is music! http://fb.me/3i2NwjVkU 
Thu Oct 30 16:48:25 PDT 2014 --  . @Charmin my mom was killed by a bear yesterday when she tried to offer it toilet paper you son of a bitch
Wed Oct 29 08:20:39 PDT 2014 --  check out dis muzic i did wit my frindz https://www.youtube.com/watch?v=aQ3_xgx3wjs&feature=youtu.be …
Mon Oct 27 22:50:12 PDT 2014 --  In mario kart the closer you are to first the weaker the power ups you get, same thing should apply to the economy.
Thu Oct 16 15:48:41 PDT 2014 --  New iMac's have a 5k display. Time to make the full switch
Tue Oct 14 21:12:00 PDT 2014 --  Just posted a video http://instagram.com/p/uKMaOqyVJB/ 
Tue Oct 14 08:30:42 PDT 2014 --  honestly so stressed about school, and work and everything right now... but i found my chapstick so i got that going for me
Wed Oct 01 15:26:10 PDT 2014 --  . @CNN How fuckin PSYCHED are you about Ebola??
Mon Sep 22 14:56:20 PDT 2014 --  so tired of the fake friend and all the backstabbers. the immaturity never ends.. can't wait for 8th gradee <3
Mon Sep 22 14:36:07 PDT 2014 --  people that sleep on the bus make me anxious, like, where is your home! where are you going!?
Sat Sep 20 12:43:37 PDT 2014 --  Driving down richmond - western students... Western students everywhere
Mon Sep 15 23:08:12 PDT 2014 --  sick tribal tattoos bro i really mean it what tribe are u from?
Sat Sep 13 21:17:03 PDT 2014 --  OH MY! 2006 Chrysler Minivan pic.twitter.com/U1KFRbzrhx
Sun Sep 14 10:43:50 PDT 2014 --  Just imagine having this pic.twitter.com/7rlyYguTbD
Sun Sep 14 11:19:23 PDT 2014 --  All grey interior and a cup holder pic.twitter.com/HaIjGJFdQO
Sat Sep 13 22:42:26 PDT 2014 --  the older i get the more these celebrity breakdowns seem less "unbalanced" and more "completely understandable"
Wed Sep 10 21:04:01 PDT 2014 --  smells like the only nirvana song you know
Tue Sep 09 21:22:03 PDT 2014 --  dont tell me stacks on stacks unless we talkin' pancakes bruv
Tue Sep 09 10:09:28 PDT 2014 --  watching Apples live event. New iPhone looks pretty neat-o.
Mon Sep 08 22:08:39 PDT 2014 --  My latest obsession has been Iron & Wine. Good vibes
