Sat Aug 29 07:30:08 PDT 2015 --  It's MYYYYY BIRTHDAY
Tue Aug 04 18:37:48 PDT 2015 --  
Tue Aug 04 18:37:18 PDT 2015 --  ITS ALL ABOUT MY PHOTOGRAPHY HOBBIE ITS A GREAT SITE IN MY EYES AND I HOPE YOU ALL WILL BE IMPRESSED AS MUCH AS I HAVE!
Tue Aug 04 18:36:26 PDT 2015 --  EVERYONE I HAVE AN ANNOUNCEMENT!!!! ON MY B-DAY🏽 I WILL HAVE FINISHED MY WEBSITE AND UPLOAD IT TO THE WEB! I HOPE ALL OF YOU CHECK IT OUT!
Sun Jul 26 13:47:59 PDT 2015 --  Hate it that I just put pizza rolls in the oven an went to take a shower an looking forward to last few eps of greys an the oven was off
Thu Jul 09 19:43:35 PDT 2015 --  Best friend ever!!!! #cousinslove pic.twitter.com/q96yJyLnsJ
Thu Jul 09 19:43:12 PDT 2015 --  Love these gals. pic.twitter.com/805OCzJmz7
Thu Jul 09 19:42:50 PDT 2015 --  On an AdVeNtUrE!!!! pic.twitter.com/cbCVUNDsEF
Thu Jul 09 19:42:08 PDT 2015 --  Love you sis pic.twitter.com/WobP5nEwQv
Thu Jul 09 19:41:46 PDT 2015 --  Nature walk in the backyard today with the sis an bro pic.twitter.com/p9Bcvz1JQn
Wed Jul 08 12:45:39 PDT 2015 --  when you can't take a good selfie (Vine by @twaimz) https://vine.co/v/eeT0gimdq2w 
Wed Jul 08 12:35:35 PDT 2015 --  (Vine by @PrankstersVine) https://vine.co/v/eirtWqVxKrb 
Wed Jul 08 10:14:01 PDT 2015 --  Got them braces off!!!! pic.twitter.com/k2OmUxdrxy
Tue Jul 07 18:01:48 PDT 2015 --  True! pic.twitter.com/sJPMXrY4dX
Thu Jul 02 19:58:17 PDT 2015 --  pic.twitter.com/n0Kg2XMfh6
Thu Jul 02 19:58:16 PDT 2015 --  pic.twitter.com/aPHqFI8LBn
Fri Jun 26 09:03:08 PDT 2015 --  There’s no panic like trying to press “End” when you make an accidental call.
Tue Jun 09 14:16:32 PDT 2015 --  11.20.15 @TheHungerGames #MockingjayPart2 https://amp.twimg.com/v/2153649a-547f-4f51-9a7d-38dd8a45419c …
Fri Jun 26 11:01:10 PDT 2015 --  I call my fists Thunder & Lightning because there’s about a one in a million chance that they’ll cause any damage.
Thu Jun 25 23:19:45 PDT 2015 --  I just found to spiders in my room.... sometimes I hate living in the country #RRR
Thu Jun 25 16:31:01 PDT 2015 --  My cat’s gonna be homeless unless he comes up with something funny to post on YouTube.
Wed Jun 24 22:19:35 PDT 2015 --  Don't joke about IHOP pic.twitter.com/N6YV4MPrPZ
Wed Jun 24 21:51:46 PDT 2015 --  So moving here when I'm out of college!!!! #seattlebound! pic.twitter.com/ZuqKEItWSa
Wed Jun 24 21:51:12 PDT 2015 --  I blend so well pic.twitter.com/g5AS6lCCjK
Wed Jun 24 21:50:17 PDT 2015 --  I miss track so much! It was such an honor to make varsity freshman year! I love these girls!!!! #squad pic.twitter.com/Hq0OzG5y1v
Wed Jun 24 21:48:53 PDT 2015 --  Why sleep when your fav Netflix show just got new episodes & your mom just bought groceries?
Fri Jun 19 16:44:48 PDT 2015 --  The best part of summer is watching greys anatomy!!!! Bad part is I finished all 11 seasons pic.twitter.com/k0vINgbCk1
Fri Jun 19 16:44:43 PDT 2015 --  This is ridiculous.... I finished my two favorite series n Netflix.... Life is despicable
Fri Jun 19 16:38:19 PDT 2015 --  She's my person -Meredith Grey pic.twitter.com/xUERqMNUlp
Fri Jun 19 15:50:06 PDT 2015 --  Love this rain pic.twitter.com/3Tf6GPgfnF
Fri Jun 19 15:49:25 PDT 2015 --  I love these girls! Going to miss them pic.twitter.com/ENGnyoH6Tg
Mon Jun 01 20:49:16 PDT 2015 --  Just chillin #todaywasgreat pic.twitter.com/b2qNha1AbC
Sun May 31 14:26:05 PDT 2015 --  Love sitting at home watching movies
Sun May 31 13:34:40 PDT 2015 --  Today was really fun pic.twitter.com/vmq8pEfiZs
