Sat Aug 29 11:59:00 PDT 2015 --  While all my pals on piss all weekend I'm decorating my house #icandothis
Fri Jun 19 08:07:03 PDT 2015 --  When the weekend arrives pic.twitter.com/dy1aMDyv5F
Thu Jun 18 11:54:32 PDT 2015 --  pic.twitter.com/aTWdVUAx3L
Wed Jun 17 11:31:43 PDT 2015 --  Father's Day on Sunday. The most confusing day of the year for Bianca #Bealed
Tue Jun 16 04:22:29 PDT 2015 --  No motivation at work today at all wanna go home clean garden and chill
Sun Mar 22 12:10:43 PDT 2015 --  Cristiano Ronaldo would have to work for 3 days & 19 hours to earn enough money to go to space #RichPeopleProblems http://twitter.com/RichFootballers/status/557841205284057088/photo/1pic.twitter.com/HeUYYEoy98 
Thu Apr 16 00:59:20 PDT 2015 --  Wayne Rooney - started from the bottom, now he's here. pic.twitter.com/OZZnG8f9K0
Sun Jun 14 12:47:52 PDT 2015 --  pic.twitter.com/qobUabuygq
Sat Jun 13 13:22:59 PDT 2015 --  Poo selfie pic.twitter.com/bNrMIsA5EI
Sat Jun 13 04:42:09 PDT 2015 --  Very heavy head today Christ what a night tho @gregsayers25 @zoebond0608 non stop laugh
Thu Jun 11 03:47:19 PDT 2015 --  Should be illegal to work on days like these balls stuck to my leg haha
Wed Jun 10 13:30:17 PDT 2015 --  Paul Scholes on Danny Ings to Liverpool... pic.twitter.com/LNGbnZcHXI
Tue Jun 09 11:57:56 PDT 2015 --  Elicia dressing up on a school night hahaha pic.twitter.com/e095NggdIK
Tue Jun 09 07:07:03 PDT 2015 --  "Hey, Vermaelen what does the trophy feel like?" "Is it heavy?" "Did you touch it?" "Hello? Hello?" **line cuts** pic.twitter.com/dOlzodoQiO
Mon Jun 08 13:55:32 PDT 2015 --  Nothing like convincing Sterling to stay by signing James Milner & Danny Ings. pic.twitter.com/qMPnCB0qSo
Mon Jun 08 13:56:00 PDT 2015 --  The biggest problem you faced as a kid pic.twitter.com/KykxGRnUw2
Fri May 29 00:00:06 PDT 2015 --  This knobhead is taking up three seats with his bike. Please keep the pics coming, i will do my best to post them. pic.twitter.com/gMWhvH6UWN
Mon Jun 08 11:40:18 PDT 2015 --  Happy days got myself a jogging partner pic.twitter.com/9vkLTYH4Ge
Mon Jun 08 04:40:29 PDT 2015 --  17-year-old Alton Towers victim Leah Washington has had her left leg amputated http://trib.al/n4YMIWd  pic.twitter.com/ZWTxwxWlF1
Mon Jun 08 04:18:47 PDT 2015 --  Love leaving my jam and red onion butty in car with sun shining on it all morning honest #thickcunt
Sun Jun 07 12:13:17 PDT 2015 --  pic.twitter.com/BnTcfN6lyc
Mon Mar 02 07:06:09 PST 2015 --  Good spar this morning with @Rocky87Fielding and @LukeBlackledge at elite boxing gym Bolton @Olivers_Boxing pic.twitter.com/TQYtraIVcD
Sun Jun 07 08:40:07 PDT 2015 --  Lichtsteiner living that thug life! https://vine.co/v/eMQZIv2H0X3 
Sun Jun 07 09:42:08 PDT 2015 --  With chicken dinner what 30mins away and been on holiday and didn't like the food can only say I'm excited for this
Sun Jun 07 08:38:44 PDT 2015 --  pic.twitter.com/ySzvV9ygJv
Sun Jun 07 08:47:41 PDT 2015 --  Get used to #chilly nights this week, not far off freezing in rural areas. Alex D pic.twitter.com/HH9mRh1Qyy
Sun Jun 07 01:14:06 PDT 2015 --  pic.twitter.com/riidt8a86u
Sun Jun 07 01:13:15 PDT 2015 --  Missy #topdog pic.twitter.com/DaRuGjBu89
Sun Jun 07 01:10:16 PDT 2015 --  Me and the wife pic.twitter.com/uOB0CAPtCO
Sun Jun 07 01:08:38 PDT 2015 --  pic.twitter.com/Ci2r16DCYk
Sun Jun 07 01:02:08 PDT 2015 --  10am jog coming up
Sat Jun 06 13:49:46 PDT 2015 --  Regardless of who you support, this is one emotional photo. pic.twitter.com/DjxkNJLRSD
Sat Jun 06 13:51:09 PDT 2015 --  Heartbreaking, forever a legend! pic.twitter.com/eA3LtTwXOf
Sat Jun 06 13:34:36 PDT 2015 --  Patrice Evra suffers from cramp. Juve have given it their all. Coman comes on http://skysports.tv/FCBd2X  #SkyCL #UCLfinal pic.twitter.com/hsEGEi5Ll1
Sat Jun 06 11:55:49 PDT 2015 --  Barca masterclass
Sat Jun 06 10:48:34 PDT 2015 --  Feeling #humbled and #blessed seeing this at the @MGMGrand in my second hometown - #Vegas. #PBConNBC #PorterBroner pic.twitter.com/R6cmHSZT9G
Sat Jun 06 10:46:02 PDT 2015 --  One hour to go! #UCLFinal pic.twitter.com/nNIRTLL74J
Sat Jun 06 10:38:27 PDT 2015 --  pic.twitter.com/Jo75LLlHMN
Sat Jun 06 07:27:05 PDT 2015 --  Bets on watch horse racing couple of beers then watch champions league final the night is sorted
Mon May 25 12:12:55 PDT 2015 --  Boris Johnson's tackle/assault will never get old... https://vine.co/v/MWUQXhePube 
Thu Jun 04 10:44:03 PDT 2015 --  Training starts Sunday for the next aquathon 5th July 5 mile run coming up going to train for this one
Thu Jun 04 10:17:45 PDT 2015 --  Awkward... pic.twitter.com/uRsgMWpa22
Thu Jun 04 10:20:11 PDT 2015 --  On #ThisDayIn '05, Ricky #Hatton upset Kostya #Tszyu in the finest moment of his career. http://s.sho.com/HattonTszyu  https://amp.twimg.com/v/edc2acb3-05ac-4eba-9bca-d2098c4be8e7 …
Thu Jun 04 09:44:07 PDT 2015 --  1 more minute and Dunc was getting it !!!!! pic.twitter.com/m1eVn3KMAN
Thu Jun 04 09:59:02 PDT 2015 --  Now that deffo made me Good one mate good one https://twitter.com/mcateer4/status/606501696211173376 …
Sat May 30 14:36:16 PDT 2015 --  Tonight @anthonyfjoshua did a demolition job in stopping the "unstoppable gate keeper" Johnson. Welcome officially to world class!
Thu Jun 04 02:05:58 PDT 2015 --  BREAKING: Liverpool confirm the signing of James Milner on a free transfer from Manchester City. (Sky) pic.twitter.com/jn3IdzLWFv
Thu Jun 04 00:49:57 PDT 2015 --  Is back in the UK can't wait to see the kids and my dog #family
Tue Jun 02 11:30:50 PDT 2015 --  First day done #thenmuckforlook #mustofbeenfewbirds pic.twitter.com/w9inNwMbHj
Fri May 29 16:31:27 PDT 2015 --  Bedtime what a night #quality
Fri May 29 14:34:19 PDT 2015 --  @JakeKel28789951 always good night #goodlaugh
Fri May 29 07:11:33 PDT 2015 --  Paulie Malignaggi at today's fanzone pic.twitter.com/WEjNr36c2x
Thu May 28 13:51:33 PDT 2015 --  DW Bolton #refreshed #gymsaunajacuzzi #
Thu May 28 13:34:49 PDT 2015 --  Will be cheering the lads on in Spain Saturday night @anthonyfjoshua @SpecialKBrook @KevinMitchell6 @EddieHearn #topshow
Thu May 28 13:24:11 PDT 2015 --  Wife getting all emotional over corrie #wow
Thu May 28 11:49:29 PDT 2015 --  4-5 hours work tomoz #winner
Thu May 28 11:36:26 PDT 2015 --  elicia lost my i phone 5c brilliant.....................................
Wed May 27 12:48:32 PDT 2015 --  sat watching bgt ordering my indian now 2 more days left at work chilling we the wife and dog kids in bed ahhhhhhhhh
Wed May 27 12:23:25 PDT 2015 --  The only man who plays Football manager in real life... pic.twitter.com/rB7l0jG83h
Wed May 27 12:15:58 PDT 2015 --  Sunday League at its best https://vine.co/v/OeTQiX0TgUV 
Wed May 27 10:11:11 PDT 2015 --  Golovkin asks his fans if they want Froch fight at Wembley http://www.boxingnews24.com/2015/05/golovkin-asks-his-fans-if-they-want-froch-fight-at-wembley/ … pic.twitter.com/MOgmDX5h7B
Tue May 26 11:58:32 PDT 2015 --  "Well my ice cream is gone now..." pic.twitter.com/tWZjmPG4yL
Tue May 26 11:57:32 PDT 2015 --  Can't wait till Saturday
Tue May 26 11:53:47 PDT 2015 --  Can't wait for weekend to watch @SpecialKBrook @anthonyfjoshua will be cheering you on in Spain
Tue May 26 08:34:22 PDT 2015 --  had a flat tyre at work today went tyre place ended up getting 3 tyres as the others was nackered too #greatstuff
Sun May 24 08:49:26 PDT 2015 --  @Carl_Froch Funny how you've never been brave enough to say shit to my face! Yet brave on twitter! PATHETIC!!
Sun May 24 04:38:52 PDT 2015 --  Decent headline... pic.twitter.com/FV1jyChZUa
Fri May 22 23:10:47 PDT 2015 --  Off to work I go #graft
Fri May 22 14:57:39 PDT 2015 --  Well bed time got busy day #Blackpoolpleasurebeach #myMiaandalix #hopeidontlossthem
Fri May 22 14:15:09 PDT 2015 --  . @Carl_Froch says he may continue boxing & fight WBA middleweight champion Gennady Golovkin. http://bbc.in/1Apz0PL  pic.twitter.com/HdBFaoYS8q
Fri May 22 14:17:03 PDT 2015 --  Judging a player by what boots they wear... pic.twitter.com/opZ5vcstb6
Thu May 14 11:06:51 PDT 2015 --  Nailed it! pic.twitter.com/vnE95GAYDe
Fri May 22 13:49:22 PDT 2015 --  Here is the back page piece with @Carl_Froch who told me today he fears no man - including Golovkin. http://www.nottinghampost.com/Carl-Froch-fear-man-including-Golovkin/story-26555496-detail/story.html …
Fri May 22 13:12:40 PDT 2015 --  Retweet if you can fight. pic.twitter.com/d2lxC5xpnU
Fri May 22 12:58:21 PDT 2015 --  Nothing worse than when you're out clubbing and someone you know blanks you. Fackin ignorant cants need a classic Beale beating
Fri May 22 12:52:46 PDT 2015 --  My best mate #loveher pic.twitter.com/AIdcQvol57
Fri May 22 10:54:41 PDT 2015 --  The IBF Super Middleweight Title fight in Boston is officially on. Weighs in results: Degale 167.2lb Dirrell 167.8lb pic.twitter.com/iUkJnIsZhl
Fri May 22 10:48:56 PDT 2015 --  Can't wait till this time next week me and the wife will be getting ready for are holiday
Fri May 22 10:10:36 PDT 2015 --  Working tomorrow
Thu May 21 14:55:02 PDT 2015 --  Bedtime work in morning quiet weekend on the cards working through fack it
Thu May 21 14:21:04 PDT 2015 --  Five years after playing non-league football, Jamie Vardy has received an England call-up. Here's his meteoric rise. pic.twitter.com/7kShdeTi5c
Thu May 21 14:06:12 PDT 2015 --  Carl Froch v Gennady Golovkin? @5liveSport hear the latest from boxing promoter Eddie Hearn http://bbc.in/1F4qzWR  pic.twitter.com/Sl8PyqY9lm
Thu May 21 13:49:34 PDT 2015 --  Some great memories for Liverpool fans here... Steven Gerrard's top ten stand-out moments http://bbc.in/1Hx1WoI  pic.twitter.com/nmMqwlL1vx
Thu May 21 13:08:54 PDT 2015 --  Hope @Pilks89 and @shell13wood have a brilliant day tomoz
Thu May 21 13:07:12 PDT 2015 --  Anyone been Dublin were is good to stay?? Never been and loads of hotels coming up please help
Thu May 21 13:05:42 PDT 2015 --  @Carl_Froch vs @GGGBoxing Who Are You Picking? RETWEET for @Carl_Froch FAVOURITE for @GGGBoxing #Boxing #UBN pic.twitter.com/0wUvLCm39g
Thu May 21 11:51:44 PDT 2015 --  @StGeorgeGroves joined us tonight to discuss Degale's world title clash against Dirrell this Saturday live on Sky! pic.twitter.com/JzeIyvscwV
Thu May 21 10:00:16 PDT 2015 --  It's just so beautiful. pic.twitter.com/q38Umr0ajC
Thu May 21 09:42:52 PDT 2015 --  Just to let you know I'm not planning this fight to go past 3 rounds!
Wed May 20 14:20:14 PDT 2015 --  Had a good few hrs #notlongenoughtho # pic.twitter.com/LIGZuts4uC
Wed May 20 14:15:11 PDT 2015 --  The fact is, there are not as many jobs now. I've said before I put it down to the fact that a lot of animals seem to be on the payroll.
Wed May 20 14:14:49 PDT 2015 --  Going bed now Mr nasty time coming up #nightnight
Wed May 20 14:00:16 PDT 2015 --  US will not release Osama bin Laden's pornography http://www.telegraph.co.uk/news/worldnews/al-qaeda/11619481/US-will-not-release-Osama-bin-Ladens-pornography.html … pic.twitter.com/8jJsQu6Sth
Wed May 20 13:56:01 PDT 2015 --  Love the passion. https://vine.co/v/eA0AYYZJ02a 
Wed May 20 13:00:32 PDT 2015 --  Meanwhile, at the Rangers game... pic.twitter.com/PLKSbRi3W6
Wed May 20 13:00:56 PDT 2015 --  62.6% of you believe Hull City will be the final team to be relegated from the PL this season http://bbc.in/1Afhs9a  pic.twitter.com/K9J8yQnjS2
Wed May 20 12:54:39 PDT 2015 --  Calling on all the Irish Bostoians to get behind @jamesdegale1 he's a genuine very nice fella #newchamp #history pic.twitter.com/ct7fCb60G1
Wed May 20 11:00:07 PDT 2015 --  Why do every mom texts like this? pic.twitter.com/vhUFjMZovC
Mon May 18 09:00:08 PDT 2015 --  What you get when you trust people! pic.twitter.com/fqO5EardSX
Wed May 20 12:30:15 PDT 2015 --  "Time to turn $3 into $100,000 TONIGHT! Who's playing with me? Draft your team here: http://bit.ly/1ygI0G1  pic.twitter.com/OnX1MEq3TL
Wed May 20 12:17:28 PDT 2015 --  #mybeast pic.twitter.com/tt0m20NBF8
Wed May 20 12:16:31 PDT 2015 --  #mygirls pic.twitter.com/tow0jKslRk
Wed May 20 11:16:49 PDT 2015 --  Sat listening to Bon jovi quality tunes for midweek
Tue May 19 22:52:16 PDT 2015 --  up early this morning been up since 6am roll on 4pm #hometime
Tue May 19 11:31:01 PDT 2015 --  just got in from a kids party feet up and chill for the night cant wait to have my tea starving
Mon May 18 11:27:40 PDT 2015 --  Top photo I want to do it all again #running pic.twitter.com/fJ6kvj2ys2
Mon May 18 04:25:02 PDT 2015 --  Nine weeks and counting until @TeamCrolla bring the house down @ManchesterArena #PeoplesChamp #HighStakes #TeamCrolla #AndTheNew
Sun May 17 22:45:02 PDT 2015 --  New York rapper Chinx has been killed in a drive-by shooting http://trib.al/oh0Xtqo  pic.twitter.com/W6OqEGx7mV
Sun May 17 23:16:00 PDT 2015 --  Oh well work today can't wait to get out there honest
Sun May 17 23:11:23 PDT 2015 --  Feel perfectly fine after my 5 mile run yesterday thought I was going to be like a old man yesterday doing another in July
Sun May 17 23:05:01 PDT 2015 --  Phil Jones and perhaps the greatest tackle of all time http://i100.io/a7rEBCF  pic.twitter.com/HBOOfs8ABI
Sun May 17 12:46:05 PDT 2015 --  Only one winner... pic.twitter.com/qF6Sj2A8FW
Sun May 17 06:03:25 PDT 2015 --  Brendan has just saved £150,000 a week on Steven Gerrard's wages, and now he feels EPIC! pic.twitter.com/WKFT5RDOd0
Sun May 17 04:47:27 PDT 2015 --  Me and @addiaces after I did the run #winners pic.twitter.com/n34TlkeExN
Sun May 17 04:45:06 PDT 2015 --  Smashed the 5 mile run in 48.49s really enjoyed it too well done to everyone who took part too pic.twitter.com/i7OGTmMVlD
Sat May 16 22:06:00 PDT 2015 --  Watch: @GGGboxing vs. Willie Monroe Jr. highlights https://youtu.be/CyoA5ldaw7I  #GolovkinMonroe
Sat May 16 14:07:04 PDT 2015 --  Bedtime got a 5 mile run to do tomorrow morning #forme
Fri May 15 12:58:16 PDT 2015 --  Phil Brown is Jake Livermore's coke dealer... https://vine.co/v/empPgW7nFxE 
Fri May 15 13:58:54 PDT 2015 --  #pissed
Fri May 15 13:42:54 PDT 2015 --  Fruity @zoebond0608 @gregsayers25 Friday night mash up we the crew #loving it pic.twitter.com/23f3ccHWuf
Thu May 14 15:10:57 PDT 2015 --  pic.twitter.com/HN5EOGLslV
Thu May 14 15:10:25 PDT 2015 --  
Thu May 14 14:12:37 PDT 2015 --  Tyson Fury: "If I ever get hold of Wladimir I'll smash him in bits" http://www.britishboxers.co.uk/2015/05/tyson-fury-if-i-ever-get-hold-of-wladimir-ill-smash-him-in-bits.html … via @britishboxers
Thu May 14 13:55:04 PDT 2015 --  No it's a myth..... https://twitter.com/proctor90/status/598953926256394240 …
Thu May 14 13:39:47 PDT 2015 --  The wife has bought me tickets for @scottquigg and @ant_crolla boxing great night in store come on lads hotel is booked too #WINNER
Thu May 14 12:30:23 PDT 2015 --  #TBT to my first @premierboxing fight. Hungry to get back in that ring—but my time is coming soon! #OneTime #PBConNBC pic.twitter.com/SikkPCfm2M
Thu May 14 10:17:22 PDT 2015 --  . @jamesdegale1 "You lot are in for a treat next Saturday, it's going to be a great fight, I've trained hard and will become Champ trust me"
Thu May 14 08:14:11 PDT 2015 --  @johngelder1 @JakeKel28789951 smashed already #bettermaketonight
Wed May 13 23:06:19 PDT 2015 --  Another day another dollar
Wed May 13 14:23:13 PDT 2015 --  @GGGBoxing So explosive @HBOboxing @WILLIEMONROEJR Saturday @theforum @holasoygeo1 pic.twitter.com/NCVfKqK8jL
Sat May 09 07:13:37 PDT 2015 --  @25ellison @MGMScotland @MarcyKerr @rosshenderson87 pic.twitter.com/dPjaquHMgh
Mon May 11 10:43:29 PDT 2015 --  Great that @BoltonUniSport MSc S&C students working with elite athletes @JackFlatley_ & @LukeBlackledge @eliteboxer pic.twitter.com/Vv7CZlUoxH
Wed May 13 14:10:38 PDT 2015 --  Ahhh! Oral in the morning, roleplay in the afternoon Man I love being a GCSE French exam invigilator #Bealed
Wed May 13 14:15:49 PDT 2015 --  Who had the better performance tonight? FAV for Gareth Bale RETWEET for this water bottle pic.twitter.com/6wziOmH2V6
Wed May 13 14:17:22 PDT 2015 --  Wladimi Klitschko determined to fight Tyson Fury in the UK - and shut the Briton up on his home turf | via @Telegraph http://www.telegraph.co.uk/sport/othersports/boxing/11593445/Wladimir-Klitschko-determined-to-fight-Tyson-Fury-in-the-UK-and-shut-the-Briton-up-on-his-home-turf.html …
Wed May 13 14:13:42 PDT 2015 --  Andrea Pirlo has a message for all those who said Juventus didn't have a chance.. pic.twitter.com/hM8n4699Pv
Wed May 13 13:58:53 PDT 2015 --  Dog is flat out hahahahaha #lazy pic.twitter.com/kk7v97JmDs
Wed May 13 13:31:26 PDT 2015 --  Best mates for life pic.twitter.com/6TmapHRXk4
Wed May 13 12:29:51 PDT 2015 --  Ballboy 1-0 Patrice Evra pic.twitter.com/0IbWSvtnga
Mon May 04 12:15:03 PDT 2015 --  "Impossible is not a declaration. It's a dare." #MuhammadAli pic.twitter.com/0Dj7YalsrW
Wed May 13 12:53:07 PDT 2015 --  Fooked after today hardwork pays off in the end
Wed May 13 12:50:06 PDT 2015 --  Brave nurse hailed by Facebook users around the world for graphic skin cancer selfie warning http://ind.pn/1FjNW4f  pic.twitter.com/jnbJ1Eaox1
Mon May 11 13:03:13 PDT 2015 --  Saturday 23rd of May.... Does James Degale become World Champion? RETWEET = Yes FAV = No @jamesdegale1 pic.twitter.com/aWv33wm2Mm
Sun May 10 12:34:00 PDT 2015 --  Training very hard for my next fight swimming, Chopping down tree's #workingonmypower #AskFroch #tobecontinued..... pic.twitter.com/D1PKXvDWqc
Mon May 11 12:21:16 PDT 2015 --  Love these two #daddysgirls pic.twitter.com/8MFS7Ci2dR
Mon May 11 06:06:44 PDT 2015 --  Nothing says I'm a virgin cunt quite like a Xbox headset #Bealed
Sun May 10 04:32:50 PDT 2015 --  Well got to the semi final #shecandance #didacefor1strime pic.twitter.com/fiMDAOs8lb
Mon May 11 12:11:34 PDT 2015 --  Wife making my tea while I chill on setee winner
Mon May 11 11:35:59 PDT 2015 --  Been a long ass day can't wait too hit the sack #tired
Sun May 10 13:51:52 PDT 2015 --  Bedtime can't wait for work in the morning get the Fook in
Sun May 10 01:30:51 PDT 2015 --  Rough is a fooking understatement
Sat May 09 13:48:11 PDT 2015 --  If I caught Joshua in bed with me wife id tuck him in and ask what he wanted for breakfast , he's a machine
Sat May 09 13:52:06 PDT 2015 --  @derrymathews23 he is a pussy, fighting stiffs like that, if u catch him in ya bed phone me, ill come whoop his ass
Sun May 10 01:04:23 PDT 2015 --  "Ludicrous" - Double yellow lines less than a metre long painted in Bristol http://bbc.in/1JWTDpB  pic.twitter.com/8sLssxGtda
Sat May 09 15:35:34 PDT 2015 --  12 knockouts from 12 fights. Anthony Joshua beat his latest opponent in the second round. http://bbc.in/1JXl5DU  pic.twitter.com/f76fFcBJFe
Sat May 09 15:39:26 PDT 2015 --  Ricky Burns beaten on his US debut.Lost a unanimous decision to Omar Figueroa. http://bbc.in/1cBH2uo  pic.twitter.com/FCzpGdeTvl
Sat May 09 16:49:13 PDT 2015 --  Thought both Ricky Burns and Jamie McDonnell was both brilliant tonight #BritsAbroad
Sat May 09 17:01:54 PDT 2015 --  In bed now wrote off goodnight tweet tweet
Sat May 09 10:37:43 PDT 2015 --  My new app haha my life is complete #livingthedream pic.twitter.com/VmvW65xAPl
Sat May 09 10:06:40 PDT 2015 --  I'll be on from any time between 7:45 and 8:30pm tonight. Tune into @SkySports #coolhand
Sat May 09 09:00:05 PDT 2015 --  Doors are now OPEN at @BcardArena for #Resurrection !
Sat May 09 01:54:57 PDT 2015 --  3weeks until holiday can't wait
Sat May 09 01:27:52 PDT 2015 --  Can't wait to watch the boxing tonight and chill out busy day today
Sat May 09 00:20:34 PDT 2015 --  Back on Twitter as from today #thuglife
