Wed Aug 26 21:00:07 PDT 2015 --  I honestly live by @daisyheadmaise Twitter.
Wed May 06 19:28:32 PDT 2015 --  "I will fuck her in her face"- @Rjelllyyy
Tue May 05 13:57:04 PDT 2015 --  'Twas the night of Myth projects!
Mon May 04 15:11:04 PDT 2015 --  Motivation pic.twitter.com/8vHvSoebHU
Mon May 04 03:06:49 PDT 2015 --  Thank god for the Au Bon Pain next to flywheel!
Sat May 02 06:58:35 PDT 2015 --  Jury 2
Wed Apr 29 10:28:40 PDT 2015 --  Walking around in my flywheel uniform...and holding tap shoes.... #lifeofaBFA
Tue Apr 28 01:48:47 PDT 2015 --  The sun doesn't come up for 45 minutes....why am I walking to work
Fri Apr 24 12:02:47 PDT 2015 --  Just gonna leave this here.... @Jschwartz916 https://twitter.com/dogtextings/status/590626596807188480 …
Thu Apr 23 16:45:01 PDT 2015 --  My gpa may be going down, I may be single, and I may have eaten two dinners last night, but at least I have my personality
Thu Apr 23 17:01:43 PDT 2015 --  Babe it's us!!! @Jschwartz916 https://twitter.com/antijokeapple/status/591388239623233537 …
Wed Apr 22 19:04:13 PDT 2015 --  A peeled watermelon... Now you've seen everything pic.twitter.com/RiWVvLmoFw
Mon Apr 20 15:46:31 PDT 2015 --  (Me to Jesse) Me: I can't for this summer when we're.. @Jschwartz916 : APART? Huh? What? #soyblessedwiththismess
Fri Apr 17 15:22:32 PDT 2015 --  You just couldn't pay me I drive a car in Boston....especially when the Red Sox are playing
Fri Apr 17 15:21:36 PDT 2015 --  Opening night of #WFTshrek!
Mon Apr 13 07:56:11 PDT 2015 --  signs that can keep a damn secret pic.twitter.com/II3OBF4eEV
Fri Apr 10 19:26:30 PDT 2015 --  It should be called coacHELLA ugly outfits
Thu Apr 02 08:32:37 PDT 2015 --  “ @Things4Guys: Just in case you're drowning in the pussy pic.twitter.com/5bjMguRb6q” @Rjelllyyy
Wed Apr 01 21:56:12 PDT 2015 --  Come see this. Its good and @aPmAaInGdEa (yes the girl from the ct lottery commercial) is in it. And @lizerardi too! pic.twitter.com/JWJL9i86hu
Wed Apr 01 19:31:03 PDT 2015 --  “ @BabyAnimalPics: Effective anti drug campaign: https://vine.co/v/MUqMgnvmvF2 ” @Jschwartz916 get me him please!!
Sun Mar 29 23:55:42 PDT 2015 --  “ @BabyAnimalPics: I'LL TAKE 26 OF THESE PLS http://vine.co/v/OtQXhmuv0Z2 ” @Jschwartz916
Tue Mar 24 15:30:51 PDT 2015 --  First day of Shrek!!!!
Sun Mar 15 09:31:25 PDT 2015 --  Am I gonna eat a celebratory Big Mac......absolutely! I stood in the cold for 2.5 hours. Bring on the food!
Sun Mar 15 08:25:06 PDT 2015 --  First NYC open call!
Sat Mar 14 16:07:27 PDT 2015 --  “ @BabyAnimalPics: "I'm not sure I like this." http://twitter.com/BabyAnimalPics/status/576875706073890816/photo/1pic.twitter.com/HQJfCApQxR ” @Jschwartz916
Sat Mar 14 15:37:29 PDT 2015 --  NYC BOUND
Sat Mar 14 13:32:54 PDT 2015 --  NYC BOUND!
Tue Mar 10 00:19:12 PDT 2015 --  
Sun Mar 08 11:03:19 PDT 2015 --  The Pajama Game has been such an amazing experience. I am so grateful for the opportunity, the… https://instagram.com/p/z-dopUhvF_/ 
Sun Feb 22 20:20:30 PST 2015 --  Call Lady Gaga 'Avada Kedavra' because she just killed it. #2015Oscars
Sun Feb 22 23:01:29 PST 2015 --  Everyone is dying over Gaga's performance. And they should be. I wouldn't be surprised if she had a Broadway debut coming up! @ladygaga
Sun Feb 22 20:18:29 PST 2015 --  #ladygagasingslegit start this hashtag!
Sun Feb 22 20:16:36 PST 2015 --  Loving lady gaga singing legit!
Sun Feb 22 19:55:13 PST 2015 --  Tea was spilled at the Oscars tonight!!! pic.twitter.com/gr9F16cBXQ
Sun Feb 22 19:53:10 PST 2015 --  I think NPH knows how bad his jokes are.
Sun Feb 22 19:40:20 PST 2015 --  Jhud is a star!
Sun Feb 22 17:38:34 PST 2015 --  when you're washing the dishes at 5:00 but you remember you gotta be at the oscars by 5:10 pic.twitter.com/j5UJsSJOxi
Fri Feb 20 10:41:15 PST 2015 --  Once you go Amtrak you never go back (hopefully) ....except I'm on a greyhound bus home.
Fri Feb 20 10:40:32 PST 2015 --  Bye bye New York. The 4 hours have been fun!
Fri Feb 20 02:38:32 PST 2015 --  Today is going to be a long day... #5amtrain
Wed Feb 18 15:46:06 PST 2015 --  “ @UrbanEngIish: Kids channels in the hood be like http://vine.co/v/Oxw5z6WExTz ” @Jschwartz916
Fri Feb 13 22:27:22 PST 2015 --  There is like a freaking train outside my window! Be quiet!.... It's bed time!!! Tomorrow is a full day of racing with the clock!
Tue Feb 10 19:19:58 PST 2015 --  We all have the same amount of Tony Awards as Laura Osnes.
Tue Feb 10 16:10:28 PST 2015 --  Sassy gay bitch Panera dates with @AlexanderSeth are my favorite
Sun Dec 07 17:05:16 PST 2014 --  I wish my grandma would just tell me I'm the princess of Genovia so I can drop out of school
Fri Feb 06 15:25:36 PST 2015 --  hide yo kids, hide yo wife @zacharyadam118 pic.twitter.com/8UvT69uWqa
Wed Feb 04 20:42:31 PST 2015 --  Always believe in yourself pic.twitter.com/OA4T8fhkKq
Sun Feb 01 12:25:24 PST 2015 --  The stakes are high but the legs are higher....
Sun Jan 18 20:02:51 PST 2015 --  “ @BabyAnimalPics: Sweater weather! http://twitter.com/BabyAnimalPics/status/557024932828573696/photo/1pic.twitter.com/whV9GIBhOn ” @Jschwartz916
Sat Jan 17 21:17:08 PST 2015 --  I made it to twenty without teen pregnancy!!!
Tue Jan 06 21:01:40 PST 2015 --  “ @AndyGarsha16: @patinamiller, riff and belt me to sleep please. #SisterActLullabyes @Jschwartz916” sleeeep tiiiight! (Riffed + Belted)
Tue Jan 06 20:39:10 PST 2015 --  @AndyGarsha16 @AlexanderSeth @paige_sklar @zacharyadam118
Tue Jan 06 08:37:10 PST 2015 --  You know you're eating healthy when your cereal taste bland AF.
Fri Jan 02 13:29:07 PST 2015 --  Beauty and the Beast was amazing! So proud to watch these two kill it up there!! djpgold… http://instagram.com/p/xXd5ZshvF3/ 
Fri Dec 26 19:29:15 PST 2014 --  Let this evenings festivities begin! #fwfreunion #tilt http://instagram.com/p/xGFi94BvFj/ 
Wed Dec 24 19:28:26 PST 2014 --  Next up! 12 ANGRY MEN! Tickets on sale now! Don't miss this great American classic! http://Smdcac.org 
Tue Dec 23 20:06:06 PST 2014 --  Pretty much pic.twitter.com/sk9JoFoUcl
Tue Dec 23 20:10:44 PST 2014 --  It's lowkey adorable when boys double text.
Tue Dec 23 08:00:21 PST 2014 --  If you post something about a cute dog...I probably like it. Tbh
Mon Dec 22 23:36:52 PST 2014 --  We take this photo every year. So cool. pic.twitter.com/cPMC5NJk0m
Mon Dec 22 21:45:33 PST 2014 --  Playing cards against humanities, David saying answers: @davieee95 "fro-licking" Everyone...you mean frolicking #conservatory
Fri Dec 19 08:36:23 PST 2014 --  Also they don't agree....but they smile big and have daggers in their eyes.
Fri Dec 19 08:35:49 PST 2014 --  People, race, society, politics. It's like dinner table etiquette....talk about the weather...
Fri Dec 19 08:35:06 PST 2014 --  These ladies in the waiting room are strangers and are talking about things you're not supposed to talk about....
Wed Dec 17 16:52:30 PST 2014 --  You know you go to Cheesecake Factory too much when you automatically connect to their wifi...
Mon Dec 15 11:46:29 PST 2014 --  Done with promotionals.
Sun Dec 14 18:10:16 PST 2014 --  "How are finals?" pic.twitter.com/IoYi3ofrny
Fri Dec 12 14:36:33 PST 2014 --  You don't need an A to get your BFA"- @JSpencerDean
Wed Dec 10 22:21:37 PST 2014 --  “ @BabyAnimalPics: I want one http://twitter.com/BabyAnimalPics/status/542917984034234369/photo/1pic.twitter.com/53nBNP1Dyd ” @Jschwartz916 this one!
Sat Dec 06 18:40:17 PST 2014 --  “ @BabyAnimalPics: little piglet who just wants to make a few new friends http://twitter.com/BabyAnimalPics/status/541411844934868992/photo/1pic.twitter.com/54we9vkq15 ” @Jschwartz916 this is a piglet!!!
Thu Dec 04 18:45:40 PST 2014 --  SURPRISE I'M THE CROCODILE. #PeterPanLive
Fri Dec 05 22:32:28 PST 2014 --  
Fri Dec 05 07:42:46 PST 2014 --  After Sundays 5:30 performance of "The Gospel According to Jerry" Talk back with Rabbi Irwin Kula, Pastor Willie Alexander, David Lawrence!
Fri Dec 05 07:39:40 PST 2014 --  Get your tickets now for "The Gospel According to Jerry" Only 2 more weekends! 786-573-5300 pic.twitter.com/vbow8enbEz
