Fri Aug 28 20:08:11 PDT 2015 --  The "I know you're asleep but...." texts are my absolute fave
Mon Aug 17 16:48:12 PDT 2015 --  yanno what's a team without the people you've been playing with since 7th… https://instagram.com/p/6gOQZqIjCch-kbau8uQRrz4UY1DxvoMrrJ_vM0/ …
Sat Aug 15 14:43:13 PDT 2015 --  All girls really want is a guy that makes her feel like she's the best thing that has ever happened to him
Sun Aug 16 18:25:50 PDT 2015 --  when u realize school is like an every day thing now https://vine.co/v/hVTah1YPezJ 
Sun Aug 16 17:37:01 PDT 2015 --  When I get married, divorce is not an option. You mad Go into the other room & calm down, because we're going to work this out!
Sun Aug 16 12:00:14 PDT 2015 --  Summer lasted a good 30 seconds.
Sun Aug 16 13:40:59 PDT 2015 --  Girls rather hear a guy say, "I've made plans for us," instead of the usual, "I don't know; whatever you wanna do.
Sun Aug 16 10:16:37 PDT 2015 --  people are going to talk when you have something they don't, but you have to overlook it because at the end of the day you win, they lose.
Sun Aug 16 04:40:03 PDT 2015 --  once u start wearing big t-shirts u never go back to the ones that fit
Sun Aug 16 07:45:25 PDT 2015 --  a great big happy birthday to the best dad out there! @ the big 40 https://instagram.com/p/6crWQxIjBhZvEYd-u_ANRjskfQckp8rhy_Njw0/ …
Sat Aug 15 13:47:51 PDT 2015 --  Attention ACAers! Everyone follow @_PV2016 and keep spreading the positive vibes!
Fri Aug 14 12:34:27 PDT 2015 --  happy 3rd birthday Avery! your growing up way to fast and you need to… https://instagram.com/p/6YC1aYojK5thNAc5rpj0tOpsBsetBS3ZDOtQ80/ …
Tue Aug 11 10:09:47 PDT 2015 --  I've got to stop buying random things that I don't even need
Mon Aug 10 19:10:29 PDT 2015 --  If anyone saw the bruises and burns on my legs and hips, they would think I'm abused.
Tue Aug 11 11:46:23 PDT 2015 --  getting out of school at 1:00 everyday >>
Mon Aug 10 17:17:46 PDT 2015 --  it's the 3rd day of school and I already have so much homework
Sat Aug 08 11:54:48 PDT 2015 --  actual goals🏾 pic.twitter.com/MEKnHWvlyM
Thu Aug 06 20:34:26 PDT 2015 --  bc it's literally so hard for me to wake up in the morning pic.twitter.com/WBIyirzyPm
Mon Aug 03 19:35:09 PDT 2015 --  Id rather have a coach that pushed me to my breaking point then have a coach that never pointed out what I'm doing wrong.
Tue Aug 04 13:35:24 PDT 2015 --  Every volleyball player deserves a good baseball player. #cleatchaser
Thu Aug 06 18:37:36 PDT 2015 --  Everything will be igght
Thu Aug 06 17:14:28 PDT 2015 --  bc it was our last first day of high school! pic.twitter.com/rOHTNMQ5lz
Thu Aug 06 05:04:33 PDT 2015 --  actually having to go to school today
Wed Aug 05 02:13:43 PDT 2015 --  Summer Summe Summ Sum Su S Sc Sch Scho Schoo School
Fri Jul 31 13:17:56 PDT 2015 --  When someone tries to take your phone.. https://vine.co/v/OL3eeL3eQbA 
Mon Jul 27 13:52:09 PDT 2015 --  class of 2016 >
Sun Jul 26 19:18:37 PDT 2015 --  just sayin pic.twitter.com/Sa7HhJgCPv
Sun Jul 26 18:48:27 PDT 2015 --  Saying "my girl" is the cutest thing.
Sun Jul 26 18:50:30 PDT 2015 --  https://twitter.com/bella_walsh9/status/625068573380063233 …
Sun Jul 26 17:38:27 PDT 2015 --  what are big sisters for? pic.twitter.com/7HvfWduTHs
Sat Jul 25 14:39:00 PDT 2015 --  Don't judge me. You can't handle half of what I've dealt with. There's a reason I do the things I do, there's a reason I am who I am.
Sat Jul 25 14:19:14 PDT 2015 --  literally hate all my senior pictures
Thu Jul 23 20:33:14 PDT 2015 --  I could be wrong, but I think every female has that moment in life where she realizes she's a psycho
Thu Jul 23 20:42:24 PDT 2015 --  my parents took that so much better than I thought they were going to!
Thu Jul 23 19:11:23 PDT 2015 --  I like clingy. I'd rather have someone who blows up my phone and shows they care than someone who texts back 12 hours later.
Sat Jul 18 19:44:55 PDT 2015 --  Stop stressing over it, just let it be, everything will be ok.
Wed Jul 22 15:12:14 PDT 2015 --  10 old dating habits we should make cool again pic.twitter.com/8yHd9atNXS
Wed Jul 22 21:47:24 PDT 2015 --  enough said 🏽 ily A! pic.twitter.com/e8c4r0AHWY
Wed Jul 22 20:12:37 PDT 2015 --  halfway there
Tue Jul 21 23:26:22 PDT 2015 --  those moments when you just really want to be with that one person, but they are nowhere close to you.
Tue Jul 21 22:19:15 PDT 2015 --  https://twitter.com/disickreactions/status/623674082874273792 …
Sat Jul 18 15:35:03 PDT 2015 --  I love you... Don't ever question that.
Mon Jul 20 21:35:03 PDT 2015 --  When I'm alone, I think and think and think.
Tue Jul 21 19:13:29 PDT 2015 --  if high school hasn't taught you to not give a shit about what people think then you missed out on probably the biggest lesson of your life
