Fri Aug 28 14:54:26 PDT 2015 --  Music is the only thing keepin me sane right now .
Fri Aug 21 04:24:35 PDT 2015 --  Brash like Jason Statham
Mon Aug 17 23:02:37 PDT 2015 --  Ma Hommie @TheRealKingKelz dropping a Video 18th!!!!! Watch this space!!!! #Hustle #AMR pic.twitter.com/HkPNn8bXg7
Mon Aug 17 20:37:50 PDT 2015 --  Hustle Video 18.08.15 pic.twitter.com/yOzEw2yTgv
Mon Aug 17 14:13:39 PDT 2015 --  I'm still crying at someone saying 2 Chainz is smoking one of Future's dreadlocks pic.twitter.com/GVhmnx3w3W
Sat Aug 15 23:46:45 PDT 2015 --  please lord let this neva happen to me 🏾 pic.twitter.com/PsgxKXnHcC
Sat Aug 15 09:30:25 PDT 2015 --  Kendrick fans are Twitter fans, them niggas don't buy albums.
Sat Aug 15 09:30:30 PDT 2015 --  As if that's what's doing me . Not even to any network...Smh pic.twitter.com/wzo98OKyM2
Sat Aug 15 03:35:57 PDT 2015 --  that bad? https://twitter.com/le_pogonophile/status/632500332652822529 …
Tue Jul 21 21:10:45 PDT 2015 --  @MeekMill He was repping you when you were down tho. You lost my respect tonight. pic.twitter.com/Hf9s6WmBRA
Fri Jun 26 23:39:46 PDT 2015 --  One day,you'll meet someone more fascinating than your partner... Get ready to fight ur own self and be content with what you have...
Fri Aug 14 17:02:50 PDT 2015 --  18.08.2015 #OnFire Video #Arramiccollirecords #KelzMusic https://instagram.com/p/6YhidZuwtx_NAGJQSbbSZj9O_JLdbJzFdP50s0/ …
Fri Aug 14 22:41:30 PDT 2015 --  FYI, my Mixtape #ExperimentX Drops soon. #HipHop pic.twitter.com/FTKXBfBTtg
Fri Aug 14 05:55:30 PDT 2015 --  They had y'all
Thu Aug 13 01:26:11 PDT 2015 --  This is surprising lol https://twitter.com/smkyrobbs/status/631742001990340608 …
Wed Aug 12 14:06:11 PDT 2015 --  I am a disaster in the kitchen dear future wife, take note.
Wed Aug 12 01:48:29 PDT 2015 --  Dej gettin thicker
Thu Jun 25 15:36:13 PDT 2015 --  rt if no one has crush on u
Sat Jul 11 01:13:05 PDT 2015 --  i swear i get uglier everyday
Wed Aug 12 01:01:27 PDT 2015 --  This is too damn much. pic.twitter.com/DbADZAqPr1
Wed Jul 01 08:52:22 PDT 2015 --  Why would Siri go in on my life like that pic.twitter.com/12LaOLHCpV
Sat Aug 08 14:54:54 PDT 2015 --  Peace comes from accepting God's timing to deal with the people who did you wrong
Sat Aug 08 10:08:31 PDT 2015 --  CFC till eternity. @ChelseaFC
Wed Aug 05 10:14:09 PDT 2015 --  Things are getting better. When the Lord is on your side, things will get better 🏾
Mon Aug 03 19:56:49 PDT 2015 --  Drake performing Back To Back again
Mon Aug 03 19:58:30 PDT 2015 --  Drake about to end Meek's career meanwhile Meek is promoting teeth whiteners lmaooo pic.twitter.com/8TItdV3uKP
Mon Aug 03 18:05:00 PDT 2015 --  @arramiccolli @dapsey66 @manny_verified @therealkingkelz Amen
Mon Aug 03 14:26:48 PDT 2015 --  The boo 🏼 https://twitter.com/defjamrecords/status/628314926998630400 …
Mon Aug 03 14:22:34 PDT 2015 --  Hook em horns pic.twitter.com/w2er9okmJ8
Sun Aug 02 08:06:08 PDT 2015 --  Just posted a photo https://instagram.com/p/54ql3Am_tdau8DP-BARp-I024CxPp_lo9s_OI0/ …
Fri Jul 31 03:15:50 PDT 2015 --  Cc @arramiccolli https://twitter.com/lushbarbiie/status/626455795308302336 …
Fri Jul 31 00:32:12 PDT 2015 --  Did Meek record that on his phone in a busy area. I only understood about 2 words
Fri Jul 31 02:49:53 PDT 2015 --  Don't be mean. Maybe he said something funny. https://twitter.com/marieshesocrazy/status/627051682925531136 …
Fri Jun 12 14:25:56 PDT 2015 --  When you're out the country spending and you suddenly convert what you spent to Naira. https://vine.co/v/eOx6eJ7ia3e 
Fri Jul 31 01:49:11 PDT 2015 --  Can't rush a vibe.
Wed Jul 29 01:12:41 PDT 2015 --  Scary hours.
Wed Jul 29 13:51:28 PDT 2015 --  6 god
Tue Jul 28 17:19:33 PDT 2015 --  Eat, pray and fall in love
Sun Jul 12 03:43:47 PDT 2015 --  Emma OhMyGod has finally lost it!! pic.twitter.com/60LvGSci0z
Sat Jul 25 16:37:33 PDT 2015 --  #Chargedup
Tue Jul 28 12:53:30 PDT 2015 --  Hi stranger @iliamarq
Wed Jul 22 05:57:10 PDT 2015 --  What did JAY Z SAY ? "Drake, heres how they gon come at u, with silly rap feuds tryin 2 distract u"
Wed Jul 22 04:24:25 PDT 2015 --  Anima..... pic.twitter.com/2VW61k58Aa
Wed Jul 22 02:41:15 PDT 2015 --  Stale AF! Ugh!
Sat Jun 27 14:38:51 PDT 2015 --  As if your name is iPhone 6s...remove yourself https://twitter.com/brownsugargh/status/614899751369207808 …
Wed Jul 22 02:31:54 PDT 2015 --  Someone fill me in on what the bants on Twitter is about.
Wed Jul 22 02:31:15 PDT 2015 --  *winks* @Yeweezii
Sun Jul 19 04:01:36 PDT 2015 --  Manny – Lowkey | Free Vibes http://notjustok.com/2015/07/19/manny-lowkey-free-vibes/ …
Fri Jul 17 03:06:46 PDT 2015 --  Thanks boss! https://twitter.com/arramiccolli/status/621648657423728640 …
Fri Jul 10 05:42:30 PDT 2015 --  Yeah man! It's what I call the money move!!! https://twitter.com/hayzee_forbes/status/619264816943906816 …
Thu Jul 09 05:24:04 PDT 2015 --  So this snapchat thing is cool. Add me @dapsey66.
Wed Jul 01 06:49:13 PDT 2015 --  Goodday all, hope youre having a good week? Pls follow my new business account @AdebolaMandCo for all your legal issues.
Wed May 13 08:23:41 PDT 2015 --  Good things start in the DMs.
Wed Apr 29 22:19:15 PDT 2015 --  Ghana, see u soon Naija, I'll miss u Big shouts to @arramiccolli @TheRealKingKelz @Manny_Verified @dapsey66 for making it memorable
Thu Apr 23 03:54:12 PDT 2015 --  Riding through #Ojuelegba with ma hommies @dapsey66 & @Manny_Verified. A well deserved break from studio work. pic.twitter.com/IEEIFVUHFM
Sun Apr 12 07:23:11 PDT 2015 --  So u guys won't drop just one point @ChelseaFC
Sun Apr 12 07:28:24 PDT 2015 --  Sorry man. That 1st place ain't for the taking. https://twitter.com/smkyrobbs/status/587259318954655744 …
Mon Apr 06 11:48:36 PDT 2015 --  Me and bae adjusting to our new life in the Lagoon after listening to the Oba of Lagos. pic.twitter.com/EG2zf5qjuV
Mon Apr 06 04:45:15 PDT 2015 --  Why aren't people judged fairly? Don't criticize people around Jonathan without criticizing those around Buhari if you truly love Nigeria.
Mon Apr 06 11:30:29 PDT 2015 --  You can easily edit what Jega said to Orubebe and direct it towards the Oba of Lagos.
Mon Apr 06 11:06:42 PDT 2015 --  If you can report Patience Jonathan to the ICC, you certainly have to report the Oba of Lagos.
Mon Apr 06 12:39:34 PDT 2015 --  Go take several seats “ @datblacboi: This Oba Akinolu thing seems like a set up against APC... Who's thinking what I'm thinking? PDP at work
Tue Mar 31 12:30:03 PDT 2015 --  Play it cool. This is not needed. " @ms_rhima: FFK Whr are U???"
Tue Mar 31 11:00:18 PDT 2015 --  GEJ wasn't a bad man... He just wasn't the president Nigeria needed for the moment. Still honourable #Nigeriadecides
Tue Mar 31 10:17:44 PDT 2015 --  Then Don Jega nailed his role.
Tue Mar 31 10:16:49 PDT 2015 --  I respect President Goodluck Jonathan for taking the result well sha. . God bless.
Tue Mar 31 09:40:01 PDT 2015 --  Pres Jonathan just called to congratulate Pres Elect Buhari at 515. The consolidation of Democracy for our Nation just begun. God Bless Nig
Tue Mar 31 07:40:18 PDT 2015 --  Just waiting for Delta to come and drop Dangote's account balance as PDP's score
Tue Mar 31 06:52:06 PDT 2015 --  The real MVP in all this is GEJ. The independence he granted the INEC is unprecedented. You can say he's a good man to a fault, literally.
Tue Mar 31 04:09:07 PDT 2015 --  Good result for PDP in lagos. I swear Jimi Agbaje can take this thing!!!
Mon Mar 30 15:49:19 PDT 2015 --  You want PDP Wolves out and you want to let the lion of bour… nvm.
Mon Mar 30 15:46:00 PDT 2015 --  The Back breaker lol " @Seriki_Lanre: Yall jst wait for bayelsa and rivers... The 2.1million won't matter anymore"
Mon Mar 30 15:24:31 PDT 2015 --  Ghen ghen Jonathan ti wo le....
Mon Mar 30 15:23:16 PDT 2015 --  Nice one uncle Jega... Good night ladies and gentlemen, thank you very much :-)
Mon Mar 30 14:25:46 PDT 2015 --  If buhari wins, The authoritarian style of leadership y'all will experience ehnn, continue saying you'll be able to vote him out
Mon Mar 30 05:56:30 PDT 2015 --  The way APC people are acting like Buhari is the messiah and Nigeria is going to turn into America in the next four years
Mon Mar 30 07:54:39 PDT 2015 --  How won't the incumbent win the capital territory y'all though
Mon Mar 30 07:57:50 PDT 2015 --  Lol PDP is going to win. The power of the people is limited to our thumbprints. The incumbent govt has so much resources at its disposal.
Mon Mar 30 14:17:02 PDT 2015 --  That man would preach any day. " @ms_rhima: Fani Kayode is Bae! "
Mon Mar 30 13:27:41 PDT 2015 --  U guys wud see the magic from south south
Mon Mar 30 13:20:23 PDT 2015 --  #DontPanic
Mon Mar 30 12:51:00 PDT 2015 --  I mean if we voted for Yaradua, you can't call us tribalistic if we don't want Buhari. You all know he's no saint. He's done A LOTTTT.
Mon Mar 30 12:26:32 PDT 2015 --  Nice guy yeah? But he gets his orders tho. " @FunkeDurojaiye: Jega is the real MVP!"
Mon Mar 30 12:20:09 PDT 2015 --  *looks away <_< * "@Taemee_: Any side that is against Jonathan “ @dapsey66: @Taemee_ who's side are you on?”" pic.twitter.com/tg5p4bI2FY
Mon Mar 30 12:18:38 PDT 2015 --  LOL you're an animal! " @datblacboi: If they had shared yams (for pounded yam) for Ekiti people, APC wouldn't have won a single vote."
Sun Mar 22 03:53:24 PDT 2015 --  @dapsey66 Hi! Please Read, Like, Comment & Share. https://lettersonmylips.wordpress.com/2015/03/22/sweet-mother/ … Thank You.
Sun Feb 22 14:01:10 PST 2015 --  Who remembers DBN night shift?
Sun Feb 22 13:58:03 PST 2015 --  I dont even understand how this snap chat thing works.. smh
Sun Feb 22 02:38:26 PST 2015 --  Can only stake that much on Manny over Floyd this May.
Sun Feb 22 02:37:06 PST 2015 --  That's how someone placed a £2000 stake on chelsea to beat burnley yesterday
Sun Feb 22 02:34:06 PST 2015 --  My rich hommie “ @Hayzee_Forbes: “Big boss ️RT @dapsey66: @Hayzee_Forbes that's not even a machine gun ””
Thu Jan 29 23:09:49 PST 2015 --  Don't ever speak from a place of Anger, hate, jealousy or insecurity.... It will always make you sound foolish....
