Fri Aug 21 15:26:09 PDT 2015 --  pic.twitter.com/377Y8UV8zj
Sat Feb 14 08:46:31 PST 2015 --  ههههههههههههههههههههههههههههههههههههههعخهعهعههههههههععععهعهههههههههههه pic.twitter.com/RZKoRzR1gP
Sat Feb 14 11:46:32 PST 2015 --  @501HFC
Sat Jan 31 22:47:44 PST 2015 --  غبنه قسم بالله ي عمري صددق #prt
Sun Feb 01 00:57:06 PST 2015 --  @njm_86 والكريمه
Sun Feb 01 00:02:17 PST 2015 --  من سنن الطعام الأكل باليمين #نشر_سيرته #ﷺ
Sun Feb 01 00:03:52 PST 2015 --  اللهم أحسن عاقبتنا في الأمور كلها، وأجرنا من خزي الدنيا وعذاب الآخرة - via http://athkare.com  - 821
Fri Jan 30 03:18:31 PST 2015 --  يختص حسابنا بتوفير كافة انواع الأجهزة مستعمل أم جديد بأقل وقت وتكلفة ويوجد توصيل للطلبات: insta & Kik: jawalcom1 What's app: 00966531010315
Fri Jan 30 23:03:26 PST 2015 --  نوع الجهاز: Iphone5 16G اللون: Black الحالة: مستعمل الضمان: 24 ساعة الملحقات: شاحن + جراب خلفي… http://instagram.com/p/ygkCwOkYN7/ 
Sat Jan 31 01:19:55 PST 2015 --  نوع الجهاز: Iphone6 16G اللون: Gold ذهبي الحالة: جديد الضمان: حاسبات العرب ( سنة ) الملحقات: جميع… http://instagram.com/p/yg1f07EYA1/ 
Sat Jan 31 01:22:08 PST 2015 --  نوع الجهاز: Iphone6 64G اللون: ذهبي / اسود الحالة: جديد الضمان: موبايلي ( سنة ) الملحقات: جميع… http://instagram.com/p/yg1wGFEYBJ/ 
Fri Jan 30 14:57:18 PST 2015 --  انا لست من معجبين و"المطبلين" لسامي،فقط انا كتبت هذا حتی اثبت انه افضل من ريجي وبالاخير هذا رأيي الشخصي ولا احد يهمني pic.twitter.com/MAPMLhPKea
Fri Jan 30 14:48:24 PST 2015 --  النساء تفهم النساء ؛ و يكرهن بعضهن البعض. و الرجال لا يفهمون النساء و يعشقونهن! #لو يفهموونهن يدفنونهن
Fri Jan 30 14:57:46 PST 2015 --  يختص حسابنا بتوفيرالأجهزة المستعمل أو الجديد بأقل وقت وتكلفة ويوجد توصيل @jawalcom1_ للطلبات: insta & Kik: jawalcom1 What's app 0531010315
Thu Jan 29 13:28:36 PST 2015 --  @KingSalman شكرا سيدي ونلتمس النظر لموظفي القطاع الخاص ورفع قيمةمخصصات الضمان الاجتماعي الشهريةوالسنوية والمستقطعة لتتناسب مع متطلبات الحياة
Wed Jan 28 11:47:48 PST 2015 --  هههههههههههههههههههههههههههههههههههههههههههههههخههههههههههههههههههههههههههههههههههههههععههههههههههخههههههههههههه
Wed Jan 28 11:18:05 PST 2015 --  الدكتور ندم على التغريده ☻.! http://bb.ta7a.net/upfiles/ta7a-PPL72374.jpg … #uvv07 آخر واحد فضحهم "̯ هههههههههههههههههههههههههههههههههههههههههههههه.
Wed Jan 28 03:06:47 PST 2015 --  فخُوره بالهلال دائما، لا مجال للاستياء من هذا الفريق حتى عندما يخسر: الارقام والبطولات هي من تخسر تشريف الهلال لها .
Wed Nov 19 14:23:29 PST 2014 --  رسالة من الرب إلى نفسك الواهنة : لايكلّف الله نفسًا إلا وسعها.
Sat Nov 29 15:48:41 PST 2014 --  صعبة ؟ pic.twitter.com/gI25EnewBz"
Sat Dec 06 09:37:26 PST 2014 --  ترا النصيحه تنقال مره وحده اكثر من كذا تصير ازعاج.
Sat Dec 06 09:38:37 PST 2014 --  مقصرة يا الله فأغفر لي صغائر الزلات وكبائرها،وإغنني بك وحدك عن العالمين .
Thu Dec 11 06:21:05 PST 2014 --  وتسألني عن هوى الرياض؟ قصة وطن وضحكات يرسمها الأمان نور الفضا وبسمة رضا،كل الأماني يالرياض.
Sun Dec 14 03:43:48 PST 2014 --  لستُ سيئه ! لكني ﻻ أعرف كيف تكون المغفره ،على من يتعمد إستغفالي ، ولو حرّك الكون ل أجلي لن يعود أبداً كما كان .
Fri Sep 26 10:33:50 PDT 2014 --  Lovers on the Sun by David Guetta, from #SoundHound http://soundhound.com/?t=100867410628590733 …
Sat Aug 09 15:15:35 PDT 2014 --  Changes by Faul & Wad Ad, from #SoundHound http://soundhound.com/?t=100524429936893284 …
Tue Jul 29 10:56:26 PDT 2014 --  Under Control by Calvin Harris, from #SoundHound http://soundhound.com/?t=100383172099944204 …
Mon Jun 23 23:54:43 PDT 2014 --  DerniÃ¨re Danse by Indila, from #SoundHound http://soundhound.com/?t=100798474952578544 …
Mon Jun 09 10:46:00 PDT 2014 --  We Own It (Fast & Furious) by 2 Chainz, from #SoundHound with LiveLyrics® http://soundhound.com/?t=100417429056949914 …
Wed May 28 15:48:30 PDT 2014 --  اعانني الله و اياكم لتحقيق احلامنا واهدافنا عاجلاً غير آجل ...
Sat Jan 25 02:03:54 PST 2014 --  What a Wonderful World by Louis Armstrong, from #SoundHound with LiveLyrics® http://soundhound.com/?t=100102657497860492 …
Mon Dec 30 00:51:20 PST 2013 --  ايييييييه الله يرزقنا الجنه
Sat Dec 28 08:29:04 PST 2013 --  La mer by Charles Trénet, from #SoundHound http://soundhound.com/?t=100701756392139941 …
Fri Nov 29 10:19:08 PST 2013 --  Blurred Lines [Physical Version] by Robin Thicke, from #SoundHound http://soundhound.com/?t=100009110820014030 …
Sun Oct 27 11:51:47 PDT 2013 --  @eissaalhimodi @Al3siry @Eng_Motlak @tnt_1411 @EngSalehqa @EN_ZD @EngSalehqa @Lego_10 @rakan_432 @Ranoosh353 @9orr pic.twitter.com/gKgfj5xYEm
Fri Oct 25 00:03:20 PDT 2013 --  Stay by @rihanna, from #SoundHound http://soundhound.com/?t=3eba04585d03c237ef13b7f8bb479d81 …
Sat Oct 12 12:06:18 PDT 2013 --  Elysian Fields by Andy Moor, from #SoundHound http://soundhound.com/?t=a71bea46332d0bdfe9fe7009d89cb892 …
Thu Oct 10 03:29:47 PDT 2013 --  Can't Hold Us by @raydaltonmusic, from #SoundHound http://soundhound.com/?t=ee1cfe43d00b472b902731f0fd9144ba …
Wed Oct 09 23:31:40 PDT 2013 --  Atlas by @coldplay, from #SoundHound http://soundhound.com/?t=6bdb13b933bb4a839d8a6e012312063f …
Wed Oct 09 13:34:07 PDT 2013 --  Wrecking Ball by @mileycyrus, from #SoundHound http://soundhound.com/?t=aa953aa0c171675118ff597abf693c58 …
Wed Oct 09 12:37:27 PDT 2013 --  Roar by @katyperry, from #SoundHound http://soundhound.com/?t=99a9d896ea7af48f7d2e891a41b888e5 …
Wed Oct 09 12:08:31 PDT 2013 --  Burn by @elliegoulding, from #SoundHound http://soundhound.com/?t=61b0c17b401e74c133c8434e08b0f68b …
Wed Oct 09 09:22:47 PDT 2013 --  Counting Stars by @onerepublic, from #SoundHound http://soundhound.com/?t=a1662e7c31e118b1d6f35af567071b39 …
Tue Oct 08 15:04:25 PDT 2013 --  Safe and Sound [DiscoTech Remix] by @capitalcities, from #SoundHound http://soundhound.com/?t=22e33aa0227b132408039fa4c1c04d09 …
Tue Oct 08 14:55:31 PDT 2013 --  Counting Stars by @onerepublic, from #SoundHound http://soundhound.com/?t=a1662e7c31e118b1d6f35af567071b39 …
Tue Oct 08 12:00:25 PDT 2013 --  Radioactive by @imaginedragons, from #SoundHound with LiveLyrics® http://soundhound.com/?t=12e8363979239066a1550c1f80a6470d …
Tue Oct 08 11:50:44 PDT 2013 --  Thinking About You by @calvinharris, from #SoundHound http://soundhound.com/?t=154043a5623f0586a828e76063cec9f9 …
Tue Oct 08 11:39:24 PDT 2013 --  Roar by @katyperry, from #SoundHound http://soundhound.com/?t=99a9d896ea7af48f7d2e891a41b888e5 …
Tue Oct 08 11:34:48 PDT 2013 --  Burn by @elliegoulding, from #SoundHound http://soundhound.com/?t=61b0c17b401e74c133c8434e08b0f68b …
Tue Oct 08 11:29:43 PDT 2013 --  Girlfriend by @iconapop, from #SoundHound http://soundhound.com/?t=0367cf99aa9539cca84138574dcb36ef …
Sat Sep 28 23:12:45 PDT 2013 --  استغفرك ربي بين صحوة وغفوه .
Sat Sep 28 22:27:31 PDT 2013 --  لارا عايض ريفال مسفر تالا خنيفس دينا صنهات غلا عفاس منار شليويح - جميل اندماج قسوة الماضي ودلع الحاضر
Fri Sep 27 05:59:26 PDT 2013 --  Talking about the future of the power grid at the World Smart Grids Forum 2013 in Berlin #smartgrids - video http://ow.ly/pgOBM 
Sat Sep 28 02:07:23 PDT 2013 --  Please Forgive Me by Andy Moor, from #SoundHound http://soundhound.com/?t=1703741f3c04da297b446052d4b8cdb6 …
Thu Aug 29 04:50:46 PDT 2013 --  صوره لفرع حطين pic.twitter.com/VZk0Mgvcy2
Thu Aug 29 04:42:20 PDT 2013 --  صوره لفرع الغدير pic.twitter.com/uIu4PPUetz
Fri Sep 13 05:23:09 PDT 2013 --  حلا دايموند pic.twitter.com/oNwyTvffun
Sat Sep 21 07:02:06 PDT 2013 --  صوره كساديا دايموند http://twitter.com/XYXY8/status/377473799111053312/photo/1pic.twitter.com/Uwrm8GOLOs 
Tue Sep 24 04:32:37 PDT 2013 --  سيزرسلط دايموند pic.twitter.com/Vmv8DkGBTF
Tue Sep 24 04:33:21 PDT 2013 --  صوره من وجبات دايموند pic.twitter.com/UQRRDHWMYL
Tue Sep 24 04:34:40 PDT 2013 --  ارقام طلبات التوصيل pic.twitter.com/WE9atKKapr
Tue Sep 24 04:37:23 PDT 2013 --  صوره بيتزا دايموند pic.twitter.com/pBEbcGf3om
Mon Sep 23 21:34:13 PDT 2013 --  World to Turn (Radio Edit) [feat. Gabriela] by Andy Moor, from #SoundHound http://soundhound.com/?t=519f09f4007360f3a48dca8a5c5dd902 …
Mon Sep 23 13:16:54 PDT 2013 --  Love Again by Andy Moor, from #SoundHound http://soundhound.com/?t=df7d9434fdc1f01fce1b2489e9c562e5 …
Mon Sep 23 11:51:25 PDT 2013 --  Please Forgive Me by Andy Moor, from #SoundHound http://soundhound.com/?t=1703741f3c04da297b446052d4b8cdb6 …
Mon Sep 09 04:25:52 PDT 2013 --  كحه
Tue Aug 06 12:38:37 PDT 2013 --  ههههههههههه عذر اقبح من ذنب يا #ساب تجميد كل حساباتي بسبب تسديد القروض . زعلتهم ما اخذو فايده راحو جمدوا حساباتي المصرفيه
Sun Aug 04 12:05:27 PDT 2013 --  “هيئة الثمامة” في #الرياض تضبط رجليْ أمن وحدثاً يدخنون في نهار رمضان ..وكانو يستمعون إلى موسيقى صاخبة داخل سيارة قرب أحد الأسواق!!. #رمضان
Thu Aug 01 15:15:22 PDT 2013 --  لا حول ولا قوه الا بالله هذي الصوره وربي اثرت فيني . يارب أغني فقيرنا بطاعتك و رضاك و جنتك #RT24RT pic.twitter.com/dVoiAFQT3L
Fri Jul 19 12:40:00 PDT 2013 --  آبل سوف تسحق الاندرويد تماما بال IOS7 القادم ، لنرى ما سيفعله المنافسووون ذوي الشاشات المرنه #آبل
Fri Jul 19 12:27:24 PDT 2013 --  الحيوانات 3 أنواع !! 1-حيوان أليف 2-حيوان مفترس 3-حيوان يوقف الشارع علشان يسولف مع حيوانه =))
Tue Jul 09 09:38:11 PDT 2013 --  @Al3siry @A_A_AlQarni @salem_al3mri @i_MOHA9 @1_e2013 @Lego_10 @ZiyadHamoud @EN_ZD @S3od_130 @EngSalehqa pic.twitter.com/bqzYIHv1Fp
Tue Jun 11 10:15:56 PDT 2013 --  سلام عليكم . . فيه تاهو أسود موديل ٢٠١١ لوحته ب ق س ٦٩٧٢ مسروق أرجو المساعدة في إيجاده ، للتواصل : ٠٥٥٤٤٢٠٩١٠ رتويت لا هنت
Fri May 17 13:27:12 PDT 2013 --  8 Things Productive People Do During the Workday | LinkedIn http://www.linkedin.com/today/post/article/20130515130419-5799319-8-things-productive-people-do-during-the-workday …
Mon May 06 12:13:02 PDT 2013 --  #السعودية #أمطار_الرياض #الكبيركبيييير #تسنيمات pic.twitter.com/uhzrQwZ92H
Fri Apr 26 13:54:29 PDT 2013 --  للبيع كيس خبز صامولي بحالة ممتازة جديد ما فكت لظروف الإجازة #الإجازة
Tue Apr 23 11:06:54 PDT 2013 --  محشش سايق تاكسي كاتب بالزجاج الأمامي: آشرلي عشان اوقف! والزجاج الخلفي: اسمحلي ماشفتك ههههههههههههههههہَ
Mon Mar 25 09:16:20 PDT 2013 --  لو كانت راقصه او مغنيه كان حصلت الف ريتويت كم من ريتويت تستحق هذه المرأة #ريتويت pic.twitter.com/sNSSGfDp27 @”
Mon Mar 25 21:53:41 PDT 2013 --  صباح الخير يا#الرياض #البحرين #الامارات #الكويت #قطر #مصر ، الله يسعد صباح الجميع
Mon Mar 25 21:51:53 PDT 2013 --  #nowplaying I Found You (Bob Sinclar Radio Mix) on Dance Hits- http://AddictedToRadio.com  with @TuneIn pic.twitter.com/bDL0CtDFxg
Fri Mar 22 14:46:51 PDT 2013 --  يارب ارحم ضعفي و فرج همي
Mon Mar 11 01:26:06 PDT 2013 --  عاجل الأرصاد تحذر من رياح نشطة وأتربة مثارة على منطقة #الرياض و #المنطقة_الشرقية من الساعة 10 صباحا اليوم الاثنين الى الساعة 9م
Sun Mar 10 12:56:37 PDT 2013 --  أنا لستُ من تحت إلى تحت #المقابي
Sat Mar 09 05:51:51 PST 2013 --  #نطالب_بصرف_مكافئة_لربات_البيوت
Sun Mar 03 22:13:51 PST 2013 --  اللهم اجعل هذا اليوم يوم فتح ونصر لكل المستضعفين وانزل فيه رحمتك ورزقك لكل المحتاجين ومن منا غير محتاج اليك يارب
Sun Mar 03 09:44:50 PST 2013 --  من صد جازيته بصده وصديـت ومن يتبع المقفي يقـل "احترامـه" #حقيقه
Fri Feb 22 21:56:04 PST 2013 --  صباح الزعامه …. صباح البطولات … صباح مايليق الا بأحبابي … #ألف_الف_مبروك_فوز_الهلال #نهائي_كاس_ولي_العهد #الرياض
Fri Feb 22 22:10:16 PST 2013 --  رواد الفضاء بعد عودتھم للأرض يزداد طولھم بمقدار 8 سم بعد توسع الأقراص الغضروفية في العمود الفقري في غياب الجاذبية.
Mon Feb 18 02:44:10 PST 2013 --  #nowplaying Blinded By the Lie on 1.FM - Amsterdam Trance Radio with @TuneIn http://tun.in/seTuL 
Fri Feb 15 02:47:58 PST 2013 --  I just unlocked the "Shutterbug" badge on @foursquare for adding photos to my check-ins. Say cheese! http://4sq.com/VkfnSw 
Thu Feb 14 05:16:26 PST 2013 --  ربي ... بُليت بناس أُحِبهم فلا تجعل منهم ضعفي #الرياض
Tue Feb 05 04:22:34 PST 2013 --  Now the new issue of Dimensions International Winter 2012 is available online @ http://bit.ly/XJ0F5N  #أرمكو #aramco pic.twitter.com/tm7C46Md
Tue Feb 05 04:37:07 PST 2013 --  عاجل صدور قرار بإقالة #قينان_الغامدي من رئاسة تحرير #صحيفة_الشرق وتكليف جاسر الجاسر مكانه .. #إقالة_قينان_الغامدي #السعودية #الدمام
Mon Feb 04 23:05:50 PST 2013 --  #ABB wins $40 million order from #ENI to upgrade oil infrastructure in Italy http://www.abb.com/cawp/seitp202/24015f3618bccff5c1257b0800349031.aspx …
Tue Feb 05 03:41:53 PST 2013 --  #عبدالله_فندي_الشمري لا حول ولا قوه الا بالله ... انا لله وانا اليه راجعون .. ريارب اسكنه فسيح جناتك
Tue Jan 22 14:13:44 PST 2013 --  شفت صوره اعجبتني بالبي بي و اضغط عالشاشه طقتين يعني بسوي لايك ! مادري وش يتسمى هالنوع من التتنيح
Tue Nov 06 04:24:57 PST 2012 --  في احد وده يلعن او يسب او يستعبط يتفضل ههههههههه ماله منا اﻻ الي يعطيه ع جوه #عبط #خبل #ريتويت
Sun Nov 04 06:19:13 PST 2012 --  في احد يحس انه خبل #ريتويت #الرياض #خبل
Fri Oct 05 21:02:04 PDT 2012 --  I just became the mayor of استمتع ب Armin Van Buuren on @foursquare! http://4sq.com/TVrdSW 
Mon Sep 17 22:09:36 PDT 2012 --  I just ousted @r_bakhsh as the mayor of ABB King Fahad Road Office on @foursquare! http://4sq.com/nShIJS 
Sun Sep 16 12:30:21 PDT 2012 --  Hope so , Apple going forward to better http://www.youtube.com/watch?v=u5X5cV-4LRo&feature=youtube_gdata_player …
Sat Sep 15 22:37:03 PDT 2012 --  I just ousted @r_bakhsh as the mayor of ABB King Fahad Road Office on @foursquare! http://4sq.com/nShIJS 
Thu Sep 13 11:26:49 PDT 2012 --  I just unlocked the "Baker's Dozen" badge on @foursquare for checking in at bakeries! Mmm...carbs. http://4sq.com/TYnYsv 
Tue Sep 11 14:22:03 PDT 2012 --  أنابيب الان هدف بيع الرجاء عدم الشراء لمده يومين للتأكد من الاغلاق سلبي او ايجابي وساوافيكم بالاخبار @RT24RT #اسهم #تداول #السوق_السعودي
Tue Sep 11 13:52:21 PDT 2012 --  I just became the mayor of قصر الدوحه للحلاقه on @foursquare! http://4sq.com/PBFM8E 
Sun Sep 09 14:56:32 PDT 2012 --  @Stocks_ksa #تداول #اسهم #سعودي #saudi #tadawul #tasi #ksa
Sun Sep 09 14:16:15 PDT 2012 --  الرسم البياني يوضح مدى انكسار سهم #بنك_البلاد #اسهم #RT24RT #البورصه #السوق_السعودي #Stocks_ksa pic.twitter.com/imoqZJdM
Fri Sep 07 06:40:52 PDT 2012 --  I just unlocked the "9 to 5" badge on @foursquare! http://4sq.com/U0iZ7C 
Fri Sep 07 02:33:50 PDT 2012 --  @engsalehqa ᏴΞᎬΞᏕΞᎢ ℱ♡ ℓ ℓ ♡ ╭☞ @Stocks_ksa #FF_AR #FF_special #FF #ksa #Q8 #Qatar #UAE #ريتويت #الامارات #الكويت #البحرين #السعودية
Thu Sep 06 12:09:52 PDT 2012 --  I just unlocked the "Overshare" badge on @foursquare! http://4sq.com/Qp0IlY 
Wed Sep 05 22:10:09 PDT 2012 --  محلل فني ومالي توصيات يومية على السوق السعودية للاسهم نسبة نجاح التوصيات 75% بإذن الله #KSA #اسهم #الرياض #القصيم
Wed Sep 05 21:59:13 PDT 2012 --  نماء للبتروكيماويات . في حال كسور مستوى ال ١٦ او ١٤.٧٥ ف ينصح بها كنقاط شراء و الهدف بأذن الله ١٨ #اسهم #السوق_السعودي #الرياض @RT24RT
Wed Sep 05 08:59:48 PDT 2012 --  Just try to follow @stocks_ksa will recommend and guide you to get a highest percentages of benefits
Wed Sep 05 08:20:44 PDT 2012 --  ترقبونا ان شاء الله التوصيات الليله الساعه ١١ مساءً لسوق الغد . #اسهم #القصيم #السوق_السعودي #cnbc #تداول @RT24RT
Wed Sep 05 08:18:06 PDT 2012 --  بأذن الله راح اقدم توصيات يوميه عائده الارباح بنسب عاليه في متوسط الفتره من ٣ الى ٤ اشهر قادمه #اسهم @RT24RT #السوق_السعودي #القصيم
Wed Sep 05 00:04:42 PDT 2012 --  @Stocks_ksa محلل فني ومالي توصيات يومية على السوق السعودية للاسهم نسبة نجاح التوصيات 75% بإذن الله #KSA #اسهم
Tue Sep 04 12:02:34 PDT 2012 --  إذا رأيت شاب غارق بالمجبوس .. و فجأة صآر ويهه جذي >.< اعلم ان اكل حبّـة هيل !
Tue Sep 04 11:50:53 PDT 2012 --  @RT24RT ​​​حكمة محشش : آذآ كنت جآلس في مكآن لۆحـدك ..ف آعلم آنه لآيۆجد آحد معـك.. #كلام كبير هههہَ هُ هههہَ هُ هههہَ هُ هههہَ هُ هههہ
Tue Sep 04 05:01:07 PDT 2012 --  أضعف الناس: من ضعف عن كتمان سره. أقوى الناس: من قوي على غضبه. وأصبر الناس: من ستر فاقته. وأغنى الناس: من قنع بما تيسر له. @RT24RT
Tue Sep 04 01:42:42 PDT 2012 --  @i_Mohsen هذي تو الحين [الاقربون اولى بالمعروف] مهوب الدول المجاوره اولى بالمعروف pic.twitter.com/jLp0JY9U
Mon Sep 03 03:55:25 PDT 2012 --  I just ousted Yazeed as the mayor of Caribou Coffee on @foursquare! http://4sq.com/xgsbu2 
Mon Sep 03 02:38:54 PDT 2012 --  I just unlocked the "Superstar" badge on @foursquare for checking in to fifty different places! http://4sq.com/RcdyQT 
Sun Sep 02 07:37:34 PDT 2012 --  @RT24RT عندما تعجبنا عقلية أحدهم ستعجبنا..! ملامحه مهما بلغ من القبح.
Sun Sep 02 08:13:36 PDT 2012 --  I just became the mayor of معهد خبراء المال on @foursquare! http://4sq.com/JEn5Ui 
Sun Sep 02 07:29:47 PDT 2012 --  @RT24RT برنامج الاهل يومياً في الصباح http://www.bc-mobile.info/wp-content/uploads/223314.jpg … ههههههههه بالضبط
Sun Sep 02 06:56:17 PDT 2012 --  الحين هذآ يبوس والا ينفخ ؟ http://soo.gd/272BB888-caD 
Sun Sep 02 06:55:25 PDT 2012 --  رتويت لاهنت https://twitter.com/hn_eqla3/status/242244464603709441 …
Sun Sep 02 06:53:55 PDT 2012 --  I just reached Level 2 of the "Fresh Brew" badge on @foursquare. I’ve checked in at 5 different coffee shops! http://4sq.com/PPJekB 
Sat Sep 01 14:37:11 PDT 2012 --  I just became the mayor of Qa ;-) Villa on @foursquare! http://4sq.com/PVzXU0 
Sat Sep 01 10:28:57 PDT 2012 --  I just unlocked the Back to School badge on @foursquare! Time to party! Er, study. http://4sq.com/NIH6F9 
Fri Aug 31 07:49:45 PDT 2012 --  اللهم إنّ لنا أحبة مرضى يعانون من الألم و التعب مالا يعلمه غيرك فاشفهم يارحمن يارحيم.
Fri Aug 31 06:14:24 PDT 2012 --  قال الحسن رحمه الله : " من علامة إعراض الله تعالى عن العبد .. أن يجعل شغله فيما لا يعنيه ". التمهيد ٩/ ٢٠٠ .. ش.المنجد
Fri Aug 31 07:06:04 PDT 2012 --  مظاهرات في المانيا ضد صفقة بيع الدبابات للسعودية وقطر واندونيسيا http://yfrog.us/g1om1ekbjdbdhrgbeisyeybdz …
Thu Aug 30 11:32:01 PDT 2012 --  #سؤال_أكرهه من اي قحاطين انت؟؟ انا من قحاطين سيرلنكا
Thu Aug 30 11:12:35 PDT 2012 --  لو أني أعرف خاتمتي .. ما كنت بدأت.. #بوح
Thu Aug 30 10:56:58 PDT 2012 --  ثم قال : " الخـوف لا يمنع من المـوت و لكنه يمنع من الحيــاة ! " ( #نجيب_محفوظ )
Wed Aug 29 11:40:21 PDT 2012 --  I just ousted @iayman as the mayor of Al-Musafir مقهى المسافر on @foursquare! http://4sq.com/Lg8uLH 
Tue Aug 28 11:50:26 PDT 2012 --  #غرد_بصوره لو خلطنا رادۈي ۈياسرﺎلقحطاني راح يطلع لنا (رۈفيس سويل) :O!! @RT24RT هههههههههههههه pic.twitter.com/UnGh0oBx
