Fri Aug 28 16:21:13 PDT 2015 --  These geniuses found a way to play Hungry Hungry Hippos IRL and it looks like all the fun http://bzfd.it/1JC8rF7  pic.twitter.com/1Zgh8sxAGe
Fri Aug 28 13:00:01 PDT 2015 --  Take time to connect with nature this weekend: http://amzn.to/1PwNCze  pic.twitter.com/zdpyzH6pAK
Fri Jul 31 14:06:21 PDT 2015 --  I love this movie. Tears in my eyes! pic.twitter.com/wq8W6lElj1
Thu Jul 23 18:36:37 PDT 2015 --  #WaywardPines why David is crazy. You know somethings wrong with him. Sister gone.
Thu Jul 23 06:22:51 PDT 2015 --  redfish in Baytown #tbt pic.twitter.com/VaX5qbsLZy
Fri Jul 17 09:30:00 PDT 2015 --  Haven't watched y&r in weeks. Is Jack still in a comma!
Thu Jul 16 19:02:24 PDT 2015 --  Hold up. ...all because he wants to be in Control....and again i say A MESS. #WaywardPines
Thu Jul 16 18:49:38 PDT 2015 --  This is a mess! Deep stuff in #WaywardPines
Thu Jul 16 18:41:49 PDT 2015 --  Wow #WaywardPines pic.twitter.com/Da2URNXRrO
Thu Jul 02 11:12:09 PDT 2015 --  Think i am gonna watch it again! pic.twitter.com/nBX2DiN3sj
Thu Jun 18 19:30:09 PDT 2015 --  Boy the guilty trips are flying. Can't she see that thenkid is going to be living with her. #Mistresses
Thu Jun 18 19:16:56 PDT 2015 --  Wow so thats what prick sounds like... #Mistresses
Thu Jun 18 19:00:04 PDT 2015 --  Charleston Church Shooting Another Setback for Race Relations. @HarrySmith reports: http://nbcnews.to/1Inva7r 
Thu Jun 18 18:58:24 PDT 2015 --  All that for nothing! #Mistresses
Thu Jun 18 18:57:47 PDT 2015 --  insanity! #Mistresses what the hell. All of a sudden not now! Was she gonna submit to anyone?
Thu Jun 18 18:55:36 PDT 2015 --  #Mistresses Lucy runs things...Hello!
Thu Jun 11 18:30:59 PDT 2015 --  @Queenjack77 I wonder what's in the food??
Sat Jun 13 01:25:26 PDT 2015 --  @Queenjack77 thanks for following
Thu Jun 18 18:51:06 PDT 2015 --  #Mistresses I THINK SCOTT IS MAD!
Thu Jun 18 18:34:52 PDT 2015 --  I am still floored by the recent #CharlestonShooting just thinking about the time he sat there before he killed them. Hearthurts.
Thu Jun 18 18:32:32 PDT 2015 --  Oh...Lucy and her brother... well at least she's not alone anymore. #Mistresses
Thu Jun 18 18:03:58 PDT 2015 --  Guilty by association. That basically makes him an accomplice. The dummy should've kept his mouth closed. https://twitter.com/JohnTheFame/status/611695488203665408 …
Thu Jun 18 17:59:48 PDT 2015 --  Actor-comedian Rick Ducommun dies http://usat.ly/1Lif1Xf  via @USATODAY
Thu Jun 18 18:24:14 PDT 2015 --  What a mess! Harry is always an option and he should get tired of that. Find someone new and normal.lol #Mistresses
Thu Jun 18 18:21:39 PDT 2015 --  #Mistresses Harry wants to know have Jos told Scott!
Thu Jun 18 18:18:15 PDT 2015 --  Oh snap, Dom.... #Mistresses
Thu Jun 18 18:16:26 PDT 2015 --  Savy is Gone! #Mistresses
Thu Jun 18 18:14:09 PDT 2015 --  #TheWhispers is something else.
Thu Jun 18 18:07:39 PDT 2015 --  A pastor, a track coach, a librarian: Remembering the victims of the Charleston shooting http://mashable.com/2015/06/18/charleston-shooting-victims … pic.twitter.com/LfyCRMJQOp
Thu Jun 18 18:12:37 PDT 2015 --  Common sense should have told her that Savy knew. Considering the fact your were right down the beach behind a rock! REALLY! #Mistresses
Thu Jun 18 18:10:50 PDT 2015 --  Straight madness! The truth shall get you beat down...somebody beat down. #Mistresses
Thu Jun 18 18:08:06 PDT 2015 --  She should have told her daugther the truth from the beginning! #Mistresses
Thu Jun 18 18:07:09 PDT 2015 --  Not the beginning I was waiting for...lol #Mistresses
Thu Jun 18 18:01:31 PDT 2015 --  It's that time for #Mistresses
Thu Jun 18 12:37:15 PDT 2015 --  Stop Pretending! It's causing tou to age!
Tue Jun 16 08:40:08 PDT 2015 --  The best cake to make this summer http://huff.to/1LeoTOv  pic.twitter.com/fEONxMHI5q
Tue Jun 16 08:42:15 PDT 2015 --  pic.twitter.com/8W5Py6W56F
Tue Jun 16 08:30:57 PDT 2015 --  Watching people run around and buy up all the water.
Tue Jun 16 08:30:22 PDT 2015 --  Is it true just because you say it is?
Mon Jun 15 15:06:00 PDT 2015 --  Just when it seemed like the world was out to break my heart today, the universe sent me a raccoon riding a gator pic.twitter.com/jxVzAx0uWg
Mon Jun 15 15:07:38 PDT 2015 --  WATCH: These goats have one question... ARE YOU NOT ENTERTAINED!? pic.twitter.com/q85aRkJBb0
Mon Jun 15 14:53:28 PDT 2015 --  "Jurassic World" is the first ever film to gross more than $500 million world-wide in a single weekend. http://on.wsj.com/1HH827U 
Mon Jun 15 14:08:03 PDT 2015 --  TEXAS: A Flash Flood Watch is in effect from 10pm this evening thru Wed In case of an outage: http://bit.ly/OutageContacts  pic.twitter.com/hn9mD1iDgp
Mon Jun 15 15:16:34 PDT 2015 --  Stuck at Walmart on 1960 in humble theres nothing left and its raining too hard! @KPRC2 #txwx http://bit.ly/1MXgW1n  pic.twitter.com/WYj7r8jaOa
Mon Jun 15 15:06:10 PDT 2015 --  The mark of a Queen! Hello! pic.twitter.com/VghU8WGU0r
Sun Jun 14 16:58:38 PDT 2015 --  Flood victims in SW #Houston bracing as tropical disturbance approaches http://on.khou.com/1JOVCws  #KHOU #hounews pic.twitter.com/CSxNq5lRAg
Sun Jun 14 16:51:59 PDT 2015 --  George Springer out here signing baby's shirts. #AstrosPicnic pic.twitter.com/QaPpkRmYe4
Sat Jun 13 12:34:51 PDT 2015 --  Ready. Set. Tour! We'll be in #Springfield #Missouri Sat. June 20 at Front of House! Tickets: http://bit.ly/jje-rc-mo  pic.twitter.com/6ceF4p5vyy
Sun Jun 14 13:35:04 PDT 2015 --  Well, well, well. What do we have here? #Empire pic.twitter.com/SIGbOeSNy4
Sun Jun 14 16:54:37 PDT 2015 --  Starting the series Murder in the first! #MurderInTheFirst #tay
Fri Jun 12 05:39:30 PDT 2015 --  BREAK FROM #DeruloGMA - it is time to see who wins the GMA Cook-off! Who will @jasonderulo, @guarnaschelli pick?! pic.twitter.com/eGGCNycs9L
Fri Jun 12 08:35:59 PDT 2015 --  What life do you want to live? You only have one!
