Fri Aug 28 15:37:33 PDT 2015 --  Do I? Or I don't? (Gaara x reader) Modern love story http://quotev.com/story/6730143 
Fri Aug 21 07:23:00 PDT 2015 --  After my nineteen years of living i have now realized that you are supposed to take the plastic part off pic.twitter.com/CsloiH5XP6
Fri Aug 21 07:00:14 PDT 2015 --  My Twitter Account is worth $1,658.28 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Thu Aug 20 13:09:31 PDT 2015 --  "Where are my beautiful twin girls?"
Thu Aug 20 12:45:03 PDT 2015 --  this bitch called me ugly i said bitch where? she said under all that sephora shit i said okay you got me
Thu Aug 20 07:00:11 PDT 2015 --  My Twitter Account is worth $1,659.84 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Wed Aug 19 08:24:40 PDT 2015 --  Little mermaids pic.twitter.com/6g90vFTg0f
Wed Aug 19 07:01:30 PDT 2015 --  My Tweets are worth $1,661.40, according to Tweet Buzz Values. Click to see how much yours are worth free at: http://twitvaluesjeet.com 
Tue Aug 18 19:53:32 PDT 2015 --  Akatsuki Boyfriend Scenarios http://quotev.com/story/6379117 
Tue Aug 18 19:06:38 PDT 2015 --  Do I? Or I don't? (Gaara x reader) Modern love story http://quotev.com/story/6730143 
Mon Jul 20 12:30:03 PDT 2015 --  Keep summer days from melting away – check out all our summer Rice Krispies Treats® #recipes. http://www.ricekrispies.com/search/summer  pic.twitter.com/Ut3bNhrYqH
Tue Aug 18 12:18:41 PDT 2015 --  Vagabond (Modern Sasuke x Reader) http://quotev.com/story/6297507 
Tue Aug 18 12:11:56 PDT 2015 --  Onesided.. Sasuke x reader http://quotev.com/story/6724703 
Tue Aug 18 10:25:06 PDT 2015 --  parents: U never leave ur room??/do something?? me: *is busy creating evil plans for my enemies which will take place in the near future*
Tue Aug 18 10:24:37 PDT 2015 --  Cabin In The Woods [Yandere! Itachi] http://quotev.com/story/6734779 
Tue Aug 18 09:01:20 PDT 2015 --  guys: "I need a girl with a fat ass, large boobs, tiny waist, big lips, long hair, etc." girls: "Tall guys are the best." guys: "NOT FAIR"
Tue Aug 18 06:15:09 PDT 2015 --  reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO HELL WHERE THEY BELONG
Mon Aug 17 17:55:32 PDT 2015 --  In an Instant (Modern Deidara X Reader ) http://quotev.com/story/5955646 
Mon Aug 17 17:39:21 PDT 2015 --  pic.twitter.com/g73MXyQf0d
Mon Aug 17 14:36:04 PDT 2015 --  Me and @kyo_Hyuuga . Im the yellow one -//- pic.twitter.com/pGnfugCvZj
Mon Aug 17 09:50:52 PDT 2015 --  You don't want to start with me because I'll end your career before it starts boy
Mon Aug 17 06:12:08 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Sun Aug 16 18:10:36 PDT 2015 --  Just A Game (GaaraXReader) http://quotev.com/story/5795100 
Sun Aug 16 15:02:48 PDT 2015 --  #SeductiveSunday pic.twitter.com/8BhYXHa6xy
Sun Aug 16 12:00:52 PDT 2015 --  whoever is trying to bring you down has their own deeply rooted issues. don't worry about it, you're fergalicious. go have some taco bell
Thu Aug 13 06:15:13 PDT 2015 --  why do i already feel behind in school when school hasnt even started
Thu Aug 13 05:50:08 PDT 2015 --  shoutout to the thick girls who are also thick in the arms and belly and everywhere else that isn’t considered as sex
Thu Aug 13 06:40:17 PDT 2015 --  I'd tell you to go to hell, but I work there & I don't want to see you everyday.
Thu Aug 13 10:01:07 PDT 2015 --  dont make depressed people feel guilty for their lack of interest in things or their inability to motivate themselves please and thank you
Thu Aug 13 10:25:23 PDT 2015 --  i am filled with hate but in a cute way.
Thu Aug 13 10:50:00 PDT 2015 --  me arriving @ anywhere: does anyone know the wifi password
Thu Aug 13 11:15:09 PDT 2015 --  I always complain that nobody likes me, and then when someone does, I'm like "lol no, not you"
Thu Aug 13 05:59:02 PDT 2015 --  @kyo_Hyuuga That is cute.*he smiles at her like this pic* pic.twitter.com/7rHJCg1063
Wed Aug 12 22:22:12 PDT 2015 --  She snuggles up in bed with her @Devon_The_Neko. "Mine <3"
Wed Aug 12 20:47:41 PDT 2015 --  Sirens (Sasuke x Reader x Itachi) http://quotev.com/story/6257373 
Mon Jun 22 10:30:11 PDT 2015 --  I would rather a thousand women were jealous of me than I was jealous of one of them. #MarilynMonroe pic.twitter.com/kourBq7m1g
Sun Aug 09 18:51:30 PDT 2015 --  "Caitlyn Jenner vs Kris Jenner" my ass pic.twitter.com/BP61zg8ARk
Mon Aug 10 06:40:15 PDT 2015 --  smile guys. you're all beautiful 🏼
Mon Aug 10 10:25:05 PDT 2015 --  when people think i'm jealous of them... no sweetheart
Wed Aug 12 12:07:28 PDT 2015 --  Bite me! http://quotev.com/story/6585775 
Wed Aug 12 12:00:28 PDT 2015 --  The Only Exception (Deidara X UchihaReader) http://quotev.com/story/6267479 
Wed Aug 12 11:44:45 PDT 2015 --  @kyo_Hyuuga is mine and if any guys flirt with her ill kill you >3<
Wed Aug 12 11:44:29 PDT 2015 --  I wuv my cute boyfriend <3
Wed Aug 12 11:36:23 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Wed Aug 12 11:15:15 PDT 2015 --  Are nap dates a thing?? because that's something I can work with...
Wed Aug 12 09:11:28 PDT 2015 --  She smiles and holds his arm.
Wed Aug 12 06:43:40 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Mon Aug 10 00:07:47 PDT 2015 --  FAV if you like these JOGGERS More styles available @ http://TheSuperiorApparel.com  Use code "STYLE" for 10% OFF! pic.twitter.com/NgPSHA3KGo
Wed Aug 12 06:15:29 PDT 2015 --  when a female no longer gets frustrated and upset with you, you can guarantee she doesn't care anymore. silence is deadly
Wed Aug 12 05:50:05 PDT 2015 --  shoutout to people that compliment each other and genuinely mean it. that jealousy shit is stupid. lift each other up. it's nice to be nice.
Wed Aug 12 05:09:07 PDT 2015 --  She rubs her swollen belly and smiles. "I'll be due any day now."
Wed Aug 12 03:50:01 PDT 2015 --  The Promise (Sasuke x Reader) http://quotev.com/story/6721706 
Tue Aug 11 18:20:00 PDT 2015 --  "Stress and negativity isn't good for the baby."
Tue Aug 11 17:55:44 PDT 2015 --  #ToughEnoughSarah
Tue Aug 11 17:36:08 PDT 2015 --  "I gave up everything dor someone who was never mine..."
Mon Jul 27 08:51:50 PDT 2015 --  Retweet this and save a life pic.twitter.com/TjAdHMMyOM
Tue Jul 28 13:38:15 PDT 2015 --  Retweet if you think she's beautiful pic.twitter.com/tKtcYb7EET
Tue Jul 28 23:56:07 PDT 2015 --  Retweet if you would pic.twitter.com/O2YsQTzkxl
Wed Jul 29 18:24:08 PDT 2015 --  Retweet if you have been called these names pic.twitter.com/ir7jnDEOaa
Thu Jul 30 14:51:18 PDT 2015 --  These comments are so disgusting pic.twitter.com/2CxyCFJbk5
Fri Jul 31 19:56:22 PDT 2015 --  Retweet this, you can save a life pic.twitter.com/svd3ycoNqd
Thu Aug 06 10:53:36 PDT 2015 --  Retweet if you're here for your followers pic.twitter.com/IIPZJW4X2r
Thu Aug 06 14:32:34 PDT 2015 --  STOP SCROLLING. pic.twitter.com/NOuhYnDYC3
Fri Aug 07 13:39:39 PDT 2015 --  Retweet if you would pic.twitter.com/wiopavVuEc
Fri Aug 07 23:04:00 PDT 2015 --  This deserves endless retweets. pic.twitter.com/xMk5usTsuC
Sun Aug 09 01:42:10 PDT 2015 --  This deserves endless retweets. pic.twitter.com/yAyH5K5T0e
Sun Aug 09 09:59:40 PDT 2015 --  Women should understand that there is no such thing as standard beauty
Sun Aug 09 12:48:55 PDT 2015 --  Retweet if you can relate pic.twitter.com/9GO8PsEK5s
Sun Aug 09 17:27:29 PDT 2015 --  Darling, keep a smile on your face even through the hardest times, it will be worth it
Sun Aug 09 18:53:41 PDT 2015 --  Retweet this if you're always here to listen pic.twitter.com/AliVFsxhXl
Mon Aug 10 18:21:35 PDT 2015 --  Sticks and stones may break her bones but names could make her starve herself to death
Tue Aug 11 07:33:54 PDT 2015 --  Suicide is stupid? You wanna know what is stupid? Hurting someone so much emotionally, that they think suicide is the only answer
Mon Aug 10 20:12:50 PDT 2015 --  remember when fiona was singing to sum bird & she hit a high note so hard the bird exploded & she stole its eggs & fed em to shrek?? goals
Mon Aug 10 18:59:34 PDT 2015 --  Home Sweet Home [Yandere!Itachi x Reader] http://quotev.com/story/6691264 
Mon Aug 10 18:53:14 PDT 2015 --  The Promise (Sasuke x Reader) http://quotev.com/story/6721706 
Fri Aug 07 05:50:01 PDT 2015 --  Text you once, shame on me. Text you 200000000, text me the fuck back.
Wed Aug 05 21:05:12 PDT 2015 --  Sharing your sister with the world isn't easy.. But knowing that she's doing what she loves makes it easier pic.twitter.com/BWDDWJSsMp
Sun Aug 09 13:01:39 PDT 2015 --  If you don't fuck with me, cool. Keep it moving.
Mon Aug 10 03:44:43 PDT 2015 --  The Promise (Sasuke x Reader) http://quotev.com/story/6721706 
Mon Aug 10 03:38:08 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Sun Aug 09 17:03:03 PDT 2015 --  Thanks for the Memories [Modern Sasuke Love Story] http://quotev.com/story/3433558 
Sun Aug 09 09:20:48 PDT 2015 --  Love is stupid. Sasuke x reader http://quotev.com/story/6705041 
Sun Aug 09 09:16:07 PDT 2015 --  The Promise (Sasuke x Reader) http://quotev.com/story/6721706 
Sun Aug 09 08:01:28 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Sat Aug 08 19:56:56 PDT 2015 --  She smiles and giggles. "I'll just walk around for a bit." pic.twitter.com/312G555EbQ
Sat Aug 08 19:54:50 PDT 2015 --  "Why am I so bored? Its annoying."
Sat Aug 08 19:00:02 PDT 2015 --  #AprilLives
Sat Aug 08 13:44:11 PDT 2015 --  The Promise (Sasuke x Reader) http://quotev.com/story/6721706 
Sat Aug 08 13:39:10 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Sat Aug 08 13:32:20 PDT 2015 --  My Ghostly Lover (Ghost!Sasuke x Reader) http://quotev.com/story/6343046 
Sat Aug 08 05:58:40 PDT 2015 --  6 Promises, One pain http://quotev.com/story/6636845 
Fri Aug 07 18:38:15 PDT 2015 --  That's me pic.twitter.com/ufJptpnQWs
Fri Aug 07 16:43:33 PDT 2015 --  Nerdy http://quotev.com/story/5160085 
Fri Aug 07 16:41:02 PDT 2015 --  Changing (Ex! Itachi X Reader X Gang Leader! Sasuke) http://quotev.com/story/6103645 
Fri Aug 07 06:15:16 PDT 2015 --  I'm a super loyal person so if you fuck me over you're really just fucking yourself over
Fri Aug 07 05:16:24 PDT 2015 --  Bite me! http://quotev.com/story/6585775 
Fri Aug 07 04:16:36 PDT 2015 --  Home Sweet Home [Yandere!Itachi x Reader] http://quotev.com/story/6691264 
Wed Aug 05 06:40:04 PDT 2015 --  I literally turn the tv on to just sit on my phone or laptop and not even watch it
Wed Aug 05 07:05:19 PDT 2015 --  dating is wack cuz everyone either misses their ex or is broken from old shit they can't let go of
Wed Aug 05 07:30:46 PDT 2015 --  I would just like to say fuck you to everyone who made me feel inadequate growing up and ruining my self esteem for years.
Wed Aug 05 08:00:25 PDT 2015 --  you know what's attractive? effort
Wed Aug 05 09:00:57 PDT 2015 --  don’t let men stare at you stare back at them and make sure they get uncomfortable so they see how creepy and unsettling it feels
Wed Aug 05 09:50:15 PDT 2015 --  Yeah I have an extra hair tie but it took me weeks to get it stretched perfectly for my wrist so I'm not about to just GIVE it to you..
Wed Aug 05 10:25:03 PDT 2015 --  I have this habit of not being able to control my facial expressions when someone says something stupid or annoying.
Wed Aug 05 10:01:00 PDT 2015 --  i hate how much people say "sorry that was random" in fear of their thoughts being too 'weird' like no BE RANDOM do you let me in your brain
Wed Aug 05 12:45:29 PDT 2015 --  "family" can have such a deeper definition than just who you are blood related to
Wed Aug 05 14:10:19 PDT 2015 --  *wants to be a heartless bitch* *is actually a hardcore caring bitch*
Thu Aug 06 07:05:17 PDT 2015 --  no we don’t use that room there was once a spider in it
Thu Aug 06 07:30:06 PDT 2015 --  when i die make sure my corpse has winged eyeliner
Thu Aug 06 09:00:29 PDT 2015 --  “i dont like short hair on girls” yeah well i dont like short dicks on guys but here u are
Thu Aug 06 15:30:37 PDT 2015 --  Sirens (Sasuke x Reader x Itachi) http://quotev.com/story/6257373 
Thu Aug 06 15:22:57 PDT 2015 --  My Ghostly Lover (Ghost!Sasuke x Reader) http://quotev.com/story/6343046 
Thu Aug 06 08:00:55 PDT 2015 --  pls don’t ask me for advice because i will accidentally say the wrong thing and ruin ur life
Thu Aug 06 06:15:09 PDT 2015 --  drugs?? no thanks.. i get high off life. *snorts good memories and friendships*
Thu Aug 06 06:04:34 PDT 2015 --  Nerdy http://quotev.com/story/5160085 
Thu Aug 06 05:02:03 PDT 2015 --  I'm Not a Superhero, But I'll Be One For You http://quotev.com/story/6047090 
Thu Aug 06 04:15:48 PDT 2015 --  Rhythm of Love (DeidaraxReader) http://quotev.com/story/6710506 
Wed Aug 05 15:50:05 PDT 2015 --  Your taste in music represents what your mood would sound like if you could hear it.
Wed Aug 05 15:36:48 PDT 2015 --  Text Message Fact: "K" = the easiest way to piss someone off.
Wed Aug 05 19:32:13 PDT 2015 --  Love is stupid. Sasuke x reader http://quotev.com/story/6705041 
Wed Aug 05 17:38:30 PDT 2015 --  Jai ho(Sasuke X Reader) http://quotev.com/story/6157386 
Wed Aug 05 12:41:34 PDT 2015 --  coffee coffee coffee coffee coffee coffee pic.twitter.com/GsNF1msDmQ
Wed Aug 05 12:00:49 PDT 2015 --  me in hell: why am i here? mom in heaven: cause you be on that phone
Wed Aug 05 11:35:02 PDT 2015 --  I expect my husband to be crying when I walk down the aisle solely for the fact that he has to deal w/my crazy ass for the rest of his life.
Wed Aug 05 09:14:21 PDT 2015 --  Y'all need to do something original besides seeing my style and taking it
Wed Aug 05 11:42:58 PDT 2015 --  Y'all want a "wrap" to make you skinny? Get off your lazy ass and do some squats and crunches, fuck.
Wed Aug 05 06:15:20 PDT 2015 --  You Don't Know How Long http://quotev.com/story/6682977 
Wed Aug 05 06:05:58 PDT 2015 --  Vagabond (Modern Sasuke x Reader) http://quotev.com/story/6297507 
Wed Aug 05 04:36:19 PDT 2015 --  Forgive Me (Itachi x Reader x Sasuke) http://quotev.com/story/6530911 
Tue Aug 04 14:31:28 PDT 2015 --  The Only Exception (Deidara X UchihaReader) http://quotev.com/story/6267479 
Tue Aug 04 12:14:02 PDT 2015 --  When your friend compliments someone that they were just talking shit about a few days ago pic.twitter.com/yL9rppuHst
Tue Aug 04 11:15:17 PDT 2015 --  when a guy actually likes you? and listens to you????? and cares about you????????? and does cute things for you???????????????????????
Tue Aug 04 06:15:14 PDT 2015 --  yeah bro hit me up we’ll cancel some plans sometime
Tue Aug 04 06:05:39 PDT 2015 --  Home Sweet Home [Yandere!Itachi x Reader] http://quotev.com/story/6691264 
Tue Aug 04 05:03:53 PDT 2015 --  Multiple Madness http://quotev.com/story/3311787 
Wed Nov 12 05:48:07 PST 2014 --  Every girl is a princess' * pic.twitter.com/xTW1k6rekc
Tue Jul 28 05:25:06 PDT 2015 --  #growingupshort having to climb on the countertops to reach the top shelf
Tue Jul 28 05:50:14 PDT 2015 --  if my mom likes you you must be real lucky because she talks shit about everyone
Tue Jul 28 06:15:16 PDT 2015 --  Not wearing makeup and being about to rub your eyes as much as you want is one of the greatest feelings in life.
Tue Jul 28 06:40:06 PDT 2015 --  can we please destroy the idea that wearing certain clothes, not partying, and not having sex makes you better than other people
Tue Jul 28 07:05:09 PDT 2015 --  don't speak to me when im mad like do u rlly think we can have a conversation when the power of satan is in me. let me calm my ass down 1st
Tue Jul 28 07:30:24 PDT 2015 --  it's really nice when you can tell someone genuinely cares and wants to listen to your stories and just whatever you have to say in general
Tue Jul 28 08:00:21 PDT 2015 --  Apparently I need to walk around with a sign that says "don't talk to me" because my resting bitch face doesn't say it enough.
Tue Jul 28 09:01:08 PDT 2015 --  From my many years of experience as a human I know for a fact that drinking from a cup while lying down is a terrible idea yet I still try.
Tue Jul 28 09:50:08 PDT 2015 --  Tucking your shirt in on one side just to show you are in fact wearing shorts and not just a huge tshirt.
Tue Jul 28 10:00:37 PDT 2015 --  If grey's anatomy hasn't at some point inspired you to be a doctor then you don't really love greys
Tue Jul 28 10:25:24 PDT 2015 --  In reality all girls are crazy so you better just pick your favourite type
Tue Jul 28 11:35:07 PDT 2015 --  Like yeah I have an extra hair tie but it took me weeks to get it stretched perfectly for my wrist so I'm not about to just GIVE it to you..
Tue Jul 28 12:00:59 PDT 2015 --  I hope all the friends I've made in the bathrooms at 1am are still nice and that they stopped crying over that asshole.
Tue Jul 28 12:45:11 PDT 2015 --  you ever just listen to 2008 taylor swift and realize she was right about everything
Wed Jul 29 05:50:04 PDT 2015 --  *begins my wedding vows with ‘tbh’ and ends them with ‘idk’*
Wed Jul 29 05:25:05 PDT 2015 --  *washes face* *checks if acne is still there*
Sat Jul 12 17:29:47 PDT 2014 --  If she's not screaming, scratching your back, biting you, grabbing the head board then you're not hitting it right.
Tue Jul 28 19:50:51 PDT 2015 --  Kazekage's Second Marriage | Gaara X Reader | http://quotev.com/story/5732750 
Tue Jul 28 12:12:37 PDT 2015 --  At VEVO right now :) pic.twitter.com/l99ZxQW2r0
Tue Jul 28 11:15:13 PDT 2015 --  I’m the type of girlfriend who always just wants to annoy you like let me hold your fucking hand and let me just hug your back
Tue Jul 28 10:50:01 PDT 2015 --  me: i hate myself me: *takes one good selfie* me: i am a fucking goddess of light and beauty; bow down before your new queen
Mon Jul 27 19:11:17 PDT 2015 --  Who the fuck does this guy think he is? https://instagram.com/p/5qZ8U8u3-P/ 
Sun Jul 26 11:15:02 PDT 2015 --  High schoolers be like: ughhhh school is coming up College Students be like: 25 days and 16 minutes until we move in
Sun Jul 26 07:30:11 PDT 2015 --  *throws flower petals at you* be my friend
Fri Jul 24 19:02:23 PDT 2015 --  Why is there no wizard emoji? That's bullshit man.
Fri Jul 24 15:16:18 PDT 2015 --  This just broke my heart http://twitter.com/TweetLikeAGirI/status/377924729942081536/photo/1pic.twitter.com/mSO7XWxeYU 
Fri Jul 24 10:50:06 PDT 2015 --  my fav thing is looking really hot in front of people who once made me feel like shit about my appearance
Fri Jul 24 10:25:09 PDT 2015 --  i just want perfect skin and hair and teeth and body proportions and endless supplies of money and intelligence is that too much to ask for
Fri Jul 24 09:52:31 PDT 2015 --  Fucking Friday finally! #PayDay pic.twitter.com/XBZakysNWp
Wed Jul 22 12:30:59 PDT 2015 --  pic.twitter.com/552Y41B3dy
Fri Jul 24 05:50:08 PDT 2015 --  “a vodka, please.” “erm, this is McDonald’s.” “OK, a McVodka, please.
Fri Jul 24 05:25:08 PDT 2015 --  me on a date: so... haha... when did you realise your standards were this low? :)
Fri Jul 24 04:08:45 PDT 2015 --  Today and tomorrow you can see the Awa Odori of Kagurazaka Matsuri Festival :) https://www.ambassadors-japan.com/en/tokyodailylife/52/ … #Japan #Tokyo pic.twitter.com/GcfvYn7Qpo
Thu Jul 23 12:58:07 PDT 2015 --  Don't drink and drive http://twitter.com/TweetLikeAGirI/status/417858593250349056/photo/1pic.twitter.com/lcSzUGacNF 
Thu Jul 02 04:43:16 PDT 2015 --  The older brother from Jurassic World is literally perfection pic.twitter.com/guYQ6CxW3J
Mon Jul 20 11:00:29 PDT 2015 --  My girlfriend is not allowed to play the Sims. If the guy living with her doesn't look like me, that's cheating.
Thu Jul 16 17:28:05 PDT 2015 --  Thanks for the 100k guys!!! Fav for a follow back!!!
Sun Feb 22 09:18:17 PST 2015 --  My Girlfriend not allowed to sneeze in public. Dudes be sayin "bless you" to her. She already blessed, she got me
Sun Feb 22 13:42:52 PST 2015 --  My girlfriend isn't allowed to play the lottery. She already won the jackpot when she met me.
Mon Feb 23 16:17:23 PST 2015 --  My girlfriend is not allowed to turn up. You better chill before you, "turn up" missing.
Wed Feb 25 17:12:41 PST 2015 --  My girlfriend ain't allowed to do algebra, she don't need to know how to find her X.
Sun Mar 01 17:39:28 PST 2015 --  My Girlfriend is not allowed to talk to anyone. I replaced all her contacts with my number. Go ahead, call your dad, I'll pick up.
Mon Mar 02 18:28:14 PST 2015 --  my girl ain't allowed to shave unless she's gonna see me. no sense clearing the jungle if it ain't for the lion king
Wed Mar 04 18:42:23 PST 2015 --  My girlfriend isn't allowed to have candles on her birthday cake...Wtf are you wishing for? All your dreams came true when you met me.
Thu Mar 05 18:37:30 PST 2015 --  My girl isnt allowed to work at Subway. Fuck I look like letting her make sandwiches for other niggas?
Sun Mar 08 14:46:08 PDT 2015 --  My girlfriend isn't allowed to go to the beach. What you looking for? Other fish in the sea? HELL NO
Tue Mar 10 18:16:25 PDT 2015 --  My girl not allowed to kiss no man except me. You wanna say goodbye to grandpa? You better chest bump him and call it a day
Thu Mar 12 17:02:05 PDT 2015 --  My girlfriend isnt allowed to give birth at the hospital. nobody touching her pussy but me. I got youtube & scissors at home. Youll be OK
Mon Mar 16 16:05:58 PDT 2015 --  My girlfriend not allowed to have more than 3 men her life, Me, her dad, and her brother. You got 2 brothers? Pick your favorite.
Thu Mar 19 16:16:32 PDT 2015 --  My Girlfriend isn't allowed to take her drivers license picture by herself the whole state gone know we together. pic.twitter.com/HlF6gSmTVJ
Sun Mar 22 15:21:16 PDT 2015 --  My girlfriend is not allowed to go to the gym, she might finally find the strength to leave me
Tue Mar 24 17:48:14 PDT 2015 --  fav this tweet for a followback
Thu Mar 26 16:49:06 PDT 2015 --  My girlfriend isn't allowed to speak to other guys on the phone, if she calls 911 and a man answers she better hang up and try again.
Sun Mar 29 17:06:48 PDT 2015 --  My girlfriend is not allowed to leave the house after an argument. If she needs a break, she gonna have a kit kat.
Wed Apr 01 18:23:30 PDT 2015 --  My girlfriend not allowed to go jogging, she might start thinking she run shit
Tue Apr 07 16:00:15 PDT 2015 --  My girlfriend isn't allowed to do math, wtf is she trying to do? Divide her heart, subtract me & add a new boy? Nah
Tue Apr 07 05:31:15 PDT 2015 --  The Godparents (ModernAu: Levi x Reader) http://quotev.com/story/5191703 
Tue Apr 07 05:26:50 PDT 2015 --  A Rebel or Prince Sasuke http://quotev.com/story/4722711 
Tue Apr 07 05:25:01 PDT 2015 --  Angelina Jolie has more structure in one of her cheekbones than i do in my life
Mon Apr 06 19:30:57 PDT 2015 --  Family Love Game http://quotev.com/story/5567005 
Mon Apr 06 15:51:32 PDT 2015 --  Exceptions [Levi x Reader] http://quotev.com/story/6228925 
Mon Apr 06 06:15:08 PDT 2015 --  *wears a tiara to someone else’s birthday party just to remind them im still the best*
Mon Apr 06 05:31:04 PDT 2015 --  Konoha's Algebra Teacher! (Sasuke!Vampire x Reader!) http://quotev.com/story/5985063 
Sun Apr 05 22:04:10 PDT 2015 --  She cuddles in bed with @emo_proxy_ and purrs lovingly. "Goodnight night my love" pic.twitter.com/41U0H3Nl9g
Sun Apr 05 21:53:27 PDT 2015 --  Adventure Time High (Marshall Lee x Reader) http://quotev.com/story/5485788 
Sun Apr 05 21:23:29 PDT 2015 --  I got Mimi Hatashi on "What Does The Akatsuki Think Of You" http://quotev.com/quiz/802414 
Sun Apr 05 21:21:43 PDT 2015 --  I got Deidara loves you! on "Does Deidara like you?" http://quotev.com/quiz/754938 
Sun Apr 05 21:19:15 PDT 2015 --  I got He loves you on "Will Deidara Love you or hate you?" http://quotev.com/quiz/1973670 
Sun Apr 05 20:59:19 PDT 2015 --  Left Behind~( Levi x Reader )~ http://quotev.com/story/5912172 
Sun Apr 05 20:58:12 PDT 2015 --  Majoring in Love (a Modern! Gaara x Reader) http://quotev.com/story/6218508 
Sun Mar 01 02:06:26 PST 2015 --  pic.twitter.com/6tzndFdBs3
Sun Apr 05 19:16:08 PDT 2015 --  Exceptions [Levi x Reader] http://quotev.com/story/6228925 
Sun Apr 05 18:58:03 PDT 2015 --  I got Taylor Swift on "Your celebrity twin!~" http://quotev.com/quiz/3374814 
Sun Apr 05 18:50:34 PDT 2015 --  Rising to the top (Varuious Naruto boys x Reader) http://quotev.com/story/5953523 
