Fri Aug 28 16:49:06 PDT 2015 --  Ho Ho Ho, bald ist wieder #Weihnachten! Keine 117 Tage mehr.
Thu Aug 27 00:37:40 PDT 2015 --  @BVB @oddsbk und ich sag noch..lasst die Blauen nicht ins Borusseum
Thu Aug 27 15:06:29 PDT 2015 --  @BVB it sure has. Now, go on and win the @EuropaLeague, you have our support :) #bvbodd
Thu Aug 27 15:55:46 PDT 2015 --  Bester Trikotflock ever! #BVBODD pic.twitter.com/63RtsOnZEy
Thu Aug 27 09:38:06 PDT 2015 --  Bayern mit einer Bayern-Gruppe.
Thu Aug 27 13:33:04 PDT 2015 --  Wenn man nichtmal Wolfsberg geschafft hätte, sollte man solche Äußerungen vielleicht lassen... https://twitter.com/eakus1904/status/635745277199151104?s=03 …
Thu Aug 27 13:15:53 PDT 2015 --  @PEAubameyang17 Versteh das auch nicht. Bei so einer Führung sollte man doch denen Einsätze geben, die sondt eh nicht dran kommen... ?!
Thu Aug 27 12:58:30 PDT 2015 --  Wenn Auba sich jetzt verletzt...
Thu Aug 27 12:57:29 PDT 2015 --  PISZCZUUUUUUUUUUUUUUUUUU
Thu Aug 27 12:48:06 PDT 2015 --  Jetzt Leistungsträger schonen und anderen Spielpraxis geben! Miki raus für Ramos uns Castro für Günni.
Thu Aug 27 12:19:17 PDT 2015 --  Auba jetzt bitte ganz draußen lassen. Kein Risiko eingehen.
Thu Aug 27 12:07:33 PDT 2015 --  Wenn Kevin de Bruyne 75 Mio wert ist, ist Mkhikitaryan im Moment mindestens 1909 Mio wert. #bvbodd
Thu Aug 27 12:08:20 PDT 2015 --  Ich habe ein fettes Grinsen im Gesicht
Thu Aug 27 12:07:39 PDT 2015 --  Alter leck mich am Arsch! Ich will Sonntag Bayern und nicht Hertha
Thu Aug 27 12:01:26 PDT 2015 --  MAGICTARYAN !!!
Thu Aug 27 11:56:47 PDT 2015 --  Eben habe ich noch gedacht "wenn die jetzt nen Tor schießen, wird das ne heiße Nummer" #dusollstnichtdenken
Thu Aug 27 11:04:31 PDT 2015 --  #kommanDOabnachEuropa
Thu Aug 27 11:03:18 PDT 2015 --  UCL FINAL : REAL MADRID VS BAYERN
Thu Aug 27 09:58:12 PDT 2015 --  Schade sagte ja er verliert lieber in Barcelona, als im Ural zu gewinnen. Die 6 Punkte hat Barca jetzt auch sicher.
Thu Aug 27 09:47:55 PDT 2015 --  Trotz neuem Lossystem hat Bayern sich mal wieder ne Fallobstgruppe ergaunert.
Thu Aug 27 03:23:50 PDT 2015 --  Hier sitzt man wie in einem Terrarium. Fehlt nur noch das "Bitte nicht an die Scheibe klopfen" Schild. pic.twitter.com/tYTF2YuM1Z
Wed Aug 26 15:00:18 PDT 2015 --  Jetzt. pic.twitter.com/1fsTxXGn1k
Mon Aug 03 12:01:08 PDT 2015 --  Da komm ich von der Arbeit nach Hause, ziehe den BH aus und es fällt DAS raustot! Erdrückt von meinen Brüsten. pic.twitter.com/Giw4wg1qs7
Thu Aug 27 02:25:12 PDT 2015 --  #hallohallo Kompliment an Allofs/Hecking. Mehr geht nicht. Super Entschädigung für: Reisende soll man nicht aufhalten
Thu Aug 27 01:37:29 PDT 2015 --  Nichts ist höher zu schätzen als das Wort vom Chef, die Spätschicht findet nicht statt. ♡♡♡
Wed Aug 26 23:44:48 PDT 2015 --  Kannst ja mittlerweile nicht mehr in die Social-Media-Plattformen reingehen, ohne dass du regelrecht bombardiert wird, was du zu mögen hast.
Thu Aug 20 21:37:41 PDT 2015 --  Ich lache seit 10 minuten. pic.twitter.com/qvYBJQMiad
Wed Aug 26 13:39:22 PDT 2015 --  Dann stößt Leverkusen halt erst zusammen mit den anderen in der KO Phase zu uns in die EL.
Wed Aug 26 12:26:16 PDT 2015 --  Uiiiii toll chaladingsbums macht n tor #B04Lazio
Wed Aug 26 11:40:28 PDT 2015 --  Irgendwann bin ich einfach nicht mehr da.
Wed Aug 26 11:08:54 PDT 2015 --  Meine geheime Superkraft: ich kann mich für andere freuen
Wed Aug 26 08:55:57 PDT 2015 --  Alles Quatsch ob 30cm oder 20cm! Frauen bevorzugen 8,5cm und es ist völlig egal ob VISA oder Mastercard drauf steht
Wed Aug 26 05:27:51 PDT 2015 --  Na also, geht doch! #fcspbvb #fcsp #Tuchel pic.twitter.com/jixXq2SvUU
Wed Aug 26 05:25:31 PDT 2015 --  . @Bvb_09David Pressekonferenz ist jetzt online! http://youtu.be/0hOzyjD7cw4 
Tue Aug 25 23:39:44 PDT 2015 --  Wir fahren, wir fahren, wir fahren nach Dortmund! Not the best rhyme, but still wir fahren... #theoddadventure #oddsbk #bvbodd
Mon Apr 20 11:34:22 PDT 2015 --  @Hardcoresofti @cmportland wie nach Twitter? Ich nehme mein Smartphone mit ins Grab. Aus Gründen
Mon Apr 20 05:44:27 PDT 2015 --  Habt ihr schon Pläne was ihr mal nach Twitter macht?
Tue Aug 25 15:36:06 PDT 2015 --  Puhhhh. Da hätte ich fast einen Herzinfarkt erlitten. Und das auch noch aufm Klo. pic.twitter.com/Tjm0eTNbjm
Tue Aug 25 13:56:32 PDT 2015 --  This has me weak pic.twitter.com/tsZzUSJc8n
Tue Aug 25 11:06:17 PDT 2015 --  Und 3:0 für Ahlen durch Handelfmeter! Torschütze: Cihan Yilmaz // 4. Elfmeter im 5. Spiel! 30'
Tue Aug 25 07:58:24 PDT 2015 --  Bo, 25, hat endlich ihren eigenen VW Käfer. pic.twitter.com/m30TmmhvyM
Tue Aug 25 05:50:47 PDT 2015 --  Fast alles bereit für #bvbodd morgen. Nur die Linien und die Tore fehlen noch. #BVB pic.twitter.com/rnyPzdnCKA
Tue Aug 25 04:25:33 PDT 2015 --  Kann hier jemand eine Nespresso DeLonghi Pixie mit Aeroccino gebrauchen? Ich habe jetzt einen Kaffeevollautomaten.
Tue Aug 25 01:53:32 PDT 2015 --  Und ich möchte mich bei jedem bedanken, der sich diesen sinnlosen Kram hier jeden Tag durchliest. über 3000 schöne Menschen, DANKE!
Mon Aug 24 23:40:25 PDT 2015 --  Wenn jemand überraschend in mein Büro kommt und ich mir gerade eine "Prinzenrolle" oder ein Oreo gegönnt habe... pic.twitter.com/Alk2v1YXG2
Mon Aug 24 23:56:27 PDT 2015 --  Das Wetter ist doch wie gemalt
Mon Aug 24 15:23:12 PDT 2015 --  @BL_Latest @19Micha09 Neuer zu winsen?
Mon Aug 24 15:10:40 PDT 2015 --  @BL_Latest #Kuba zu Betis!? Habt Ihr n Nagel im Kopp Welches Gerücht kommt als nächstes!? Messi zu Tottenham? Ronaldo zu Sporting? #Nerv
Mon Aug 24 13:51:50 PDT 2015 --  Ich hab' so Bock auf kuscheln, knutschen und rummachen.
Mon Aug 24 13:26:53 PDT 2015 --  BVB Tabellenerster, das müssen wir feiern.. Komm ficken.. Meine Frau hat's drauf..
Mon Aug 10 12:55:43 PDT 2015 --  Oma sagt... wenn du an dir zweifelst, stelle dir vor, wie du sein willst: Das bist du bereits, also lasse alles los, was daran nicht glaubt.
Mon Aug 24 09:30:18 PDT 2015 --  Heute vor 52 Jahren - Timo Konietzka (Borussia Dortmund) erzielt das erste Tor der Bundesliga-Geschichte. #ssnhd pic.twitter.com/5XUTrAG6Mt
Mon Aug 24 07:13:05 PDT 2015 --  Ich Versuchs jetzt auch mal: Es hat nicht zufällig jemand 2 Karten gegen Hannover über? Gerne RT! #BVB #followerpower #h96bvb
Mon Aug 24 07:40:22 PDT 2015 --  Flüchtlinge aus #Leipzig sollen nach #Heidenau. Landesdirektion: "besser geeignet, besonders geschützt, sonst alles voll." #cwtz_heidenau
Mon Aug 24 04:45:45 PDT 2015 --  . @vonfriedland Ich werde gerade repariert.
Mon Aug 24 04:42:22 PDT 2015 --  Warum weiß die NSA eigentlich nix über Maries Zweitaccount?
Mon Aug 24 03:54:30 PDT 2015 --  Wie der kicker meldet, plant Bayer 04 Leverkusen eine Rückholaktion von Gonzalo Castro, der erst im Sommer zum BVB gewechselt war. #B04
Mon Aug 24 03:28:41 PDT 2015 --  *Mediensprache an* Bayern wollte #Weigl nicht. *Mediensprache aus* Bayerns Scouts kannten Weigl nicht. #BVB-Scouts haben besser gearbeitet.
Fri Aug 21 11:13:21 PDT 2015 --  Jemanden verändern zu wollen klappt nie so wie man es sich vorstellt und macht unglücklich. Also, lasst die Menschen so wie sie sind.
Mon Aug 24 01:44:41 PDT 2015 --  . @BVB ist die stärkste Marke im deutschen Fußball. Für @FCBayern gibt es bei Sympathiewerten eine Ohrfeige! http://bit.ly/Vereinsmarken  #SkyBuli
Mon Aug 24 01:17:50 PDT 2015 --  Leute die ihr euch hier so schön über Merkel aufregt... Steht dann bei der nächsten Wahl auf und wählt jemand anders... Bitte
Mon Aug 24 01:24:52 PDT 2015 --  Wer will nochmal? Wer hat noch nicht? #BVBODD https://twitter.com/murcie09/status/634439341448765440 …
Mon Aug 24 01:25:01 PDT 2015 --  Dortmund laut Studie der TU Braunschweig stärkste Vereinsmarke in Deutschland. Gladbach 2., FC Bayern nur 3. #ssnhd pic.twitter.com/GcKzaPGrZ1
Sun Aug 23 13:20:28 PDT 2015 --  "Das ist für John Hardigan, du Wichser!"
Sun Aug 23 13:13:04 PDT 2015 --  Ich freue mich jetzt schon auf die ganzen Weihnachtsmärkte, auf gebrannte Mandeln, heißen Kakao mit Sahne und all' die leckeren Sachen.
Sun Aug 23 10:02:35 PDT 2015 --  Hach, freue mich gerade auf Weihnachten
Sun Aug 23 08:27:22 PDT 2015 --  We knew we saw this somewhere before... We propose a race @Aubameyang7 @usainbolt @BVB pic.twitter.com/ybmOcD8vju
Sun Aug 23 09:01:04 PDT 2015 --  Wir stehen immer hinter dem BVB* *genau wie Schalke
Sun Aug 23 08:49:09 PDT 2015 --  Der kleine Unterschied zwischen FCB Erfolgsfans und uns ? Wir feieren unseren Verein von Platz 1-18 !...... #isso #BVB #echteliebe
Sun Aug 23 08:45:16 PDT 2015 --  Ob Kloppo die Spiele wohl guckt :/
Sun Aug 23 08:35:16 PDT 2015 --  . @Schmelle29 bei Sky: "Das, was wir heute, gegen Gladbach und in der zweiten Halbzeit gegen Odds gesehen haben, ist die wahre Borussia.“
Sun Aug 23 08:29:35 PDT 2015 --  Ginter braucht unbedingt mal wieder ne Mütze Schlaf :D
Sun Aug 23 08:16:51 PDT 2015 --  SPITZENREITER SPITZENREITER HEY HEY !!
Sun Aug 23 08:20:36 PDT 2015 --  Ich liebe Auba einfach!!
Sun Aug 23 08:11:44 PDT 2015 --  DEUTSCHLANDS NÄCHSTER MEISTER, DEUTSCHLANDS NÄCHSTER MEISTER, DEUTSCHLANDS NÄCHSTER MEISTER BEE VAU BEE!
Sun Aug 23 08:07:54 PDT 2015 --  Fakt ist: Der BVB hat noch kein Gegentor bekommen und ist somit der einzige Verein der noch kein Gegentor bekommen hat.
Sun Aug 23 08:01:06 PDT 2015 --  I cant believe it... #FCIBVB
Sun Aug 23 07:59:40 PDT 2015 --  Das wäre die Tabellenführung gewesen :(
Sun Aug 23 07:49:36 PDT 2015 --  Und jetzt bitte her mit der Tabellenführung!!!
Sun Aug 23 07:50:15 PDT 2015 --  Die Jungs teilen sich sogar die Elfmeter #BestFriends #Reusmeyang #BatmanandRobin #FCIBVB
Sun Aug 23 07:48:04 PDT 2015 --  Hundertprotzentige sind uns halt zu einfach . Wie sagte Kloppo? Der @BVB ist Spiel, Spaß und Spannung bis zur 95. Minute! #FCIBVB
Sun Aug 23 07:45:29 PDT 2015 --  Haben sich lange über Wasser gehalten, die Ingolstädter vom @ruuns19 aber jetzt hats geklingelt!
Sun Aug 23 07:41:51 PDT 2015 --  Wer braucht schon Neuer? :D
Sun Aug 23 07:10:08 PDT 2015 --  Sehr merkwürdige Verhältnismässigkeit bei den gelben Karten! #FCIBVB
Sun Aug 23 07:06:22 PDT 2015 --  Lasst Auba heil ...wenn ihr nicht hinterher kommt obwohl er mit Ball läuft und ihr ohne - PECH !!
Sun Aug 23 06:57:36 PDT 2015 --  In Zahlen: #fcibvb 0-0 pic.twitter.com/jq712cQXXt
Sun Aug 23 06:48:30 PDT 2015 --  ILLY DÜNN, ILLY SCHNELL!!!
Sun Aug 23 06:48:18 PDT 2015 --  Alter #FCIBVB
Sun Aug 23 06:46:53 PDT 2015 --  Die Jungs schießen sich warm #FCIBVB
Sun Aug 23 06:29:25 PDT 2015 --  Das kann nicht wahr sein... #F1 Naja jetzt kann ich in Ruhe zum Spiel umschalten.
Sun Aug 23 06:25:10 PDT 2015 --  BEEEEE VAU BEEEEE
Sun Aug 23 05:48:05 PDT 2015 --  Willkommen zurück in der Startelf @NSubotic4 pic.twitter.com/fG8onRXEQE
Sun Aug 23 04:16:17 PDT 2015 --  Ready! #FCIBVB #BVB pic.twitter.com/oMFZmH6zJ7
Thu Aug 20 01:22:14 PDT 2015 --  #Edeka Heute habt Ihr es bei einer Entschädigung von 30,00 € belassen.Das ist,Rechtsspr. hin oder her, kackendreist. pic.twitter.com/By02z9SgmX
Thu Aug 20 01:34:03 PDT 2015 --  @Alxxrt @EDEKA_D Ich finde es grenzwertig, dass man für Einkaufen in einem Supermarkt ein Parkticket ziehen muss.
Sat Aug 22 16:40:32 PDT 2015 --  Da hat die @LexLuthorisrich doch wieder ihre Finger im Spiel gehabt! #LooserdesTages #sixx
Sat Aug 22 15:34:21 PDT 2015 --  Ich bin in diesen Tagen auch wieder froh, schon seit Jahren nicht mehr bei Facebook zu sein... #Heidenau #Heidenau2208
Sat Aug 22 14:38:38 PDT 2015 --  Schlechtestes Fensehen aller Zeiten. Kann man auch #SchleFaZ nennen. ;)
Sat Aug 22 14:17:48 PDT 2015 --  Horst Heldt zur Causa Draxler: "Wenn mich noch ein einziger Journalist auf Julian Draxler anspricht, ticke ich aus!" #S04D98 #S04
Sat Aug 22 08:09:24 PDT 2015 --  schmerz mit schmerz bekämpfen. posex gegen liebeskummer.
Sat Aug 22 11:31:49 PDT 2015 --  Zur Info.!! Dortmund und (Ingolstadt)!! Sind die einzigsten Manschaften die noch zu NULL stehen (grins)!! Das wär ein Ding
Sat Aug 22 10:43:15 PDT 2015 --  Gelb-Rot für #Klein verdient obwohl das für mich schon klares Rot ist
Sat Aug 22 10:15:26 PDT 2015 --  Und wir haben Ginczeck auch noch weg gegeben...
Sat Aug 22 09:03:30 PDT 2015 --  Wenn Sie die Wahl zwischen einem Audi und einem BMW hätten, in welcher Farbe würden Sie den Audi bestellen?
Sat Aug 22 08:50:19 PDT 2015 --  "Ihr Hund ist nie angeleint" "Ihre Kinder auch nicht" "Aber das sind Kinder" "Wir rufen jetzt und wer nicht hört trägt ab sofort eine Leine"
Thu Aug 07 07:40:39 PDT 2014 --  "Wann bist du eigentlich so eine Spassbremse geworden?" "10.11.1999 um 10Uhr" "ACH, auf einmal kennst du unseren Hochzeitstag !?!"
Sat Aug 22 08:19:20 PDT 2015 --  WAS HABE ICH GESAGT?????? #Duselbayern
Sat Aug 22 08:10:44 PDT 2015 --  Müller just shut the fuck up. You know you hit the ball with your hand. #tsgfcb
Sat Aug 22 08:11:40 PDT 2015 --  Dass Müller noch so dreist ist, nach soner eindeutigen Situation noch son Affentanz zu veranstalten...
Sat Aug 22 08:08:37 PDT 2015 --  Hätten wir die vor zwei Jahren mal absteigen lassen. Wer weiß ob die je wieder gekommen wären.
Sat Aug 22 08:04:24 PDT 2015 --  Typisches Ende mit 2:1 für Bayern in der Nachspielzeit. 200%
Sat Aug 22 08:01:45 PDT 2015 --  Boateng mit einem Sahnetag
Sat Aug 22 08:01:41 PDT 2015 --  Uuuund tüss Boateng #TSGFCB
Sat Aug 22 08:01:21 PDT 2015 --  Jawoll!!!!!!!
Sat Aug 22 07:41:06 PDT 2015 --  Ehrlich, ich würde auch wechseln #DeBruyne pic.twitter.com/1AxTESOSvo
Sat Aug 22 07:14:53 PDT 2015 --  Und immer, immer wieder fällt der abgefälschte Ball direkt vor den Fuß eines Bayernspieleres
Sat Aug 22 07:10:32 PDT 2015 --  Früher war Draxler wenigstens gegen solche Gegner stark. Den würde ich mit der Schubkarre nach Turin schieben.
Sat Aug 22 06:56:02 PDT 2015 --  traurig übrigens das so viele Bayern fans die preise in hoffenheim mitmachen. irgendein doofer wird auch bei uns die karten schon kaufen :(
Sat Aug 22 06:34:43 PDT 2015 --  herzlichen Glückwunsch zum Bundesligarekord @FCBayern xD
Sat Aug 22 06:33:04 PDT 2015 --  8 sekunden. JAAAAAAAA die Bayern kopieren uns mal wieder
Sat Apr 18 00:05:12 PDT 2015 --  Die NSA kann mich mal. Alles mitlesen, aber nichts faven oder retweeten.
Fri Aug 21 16:30:09 PDT 2015 --  Wenn demnächst Verlagshäuser brennen sind das keine Brandstifter sondern Medienkritiker. #Heidenau
Fri Aug 21 16:01:59 PDT 2015 --  Was glaubt Ihr, wie das jetzt in den nächsten Tagen in den anderen Nazi-Dörfern rund gehen wird, wo #Heidenau da als Erfolg begriffen wird
Thu Aug 20 10:33:26 PDT 2015 --  Im Globus gibt’s übrigens schon das hier. Daran konnte ich natürlich nicht vorbeilaufen pic.twitter.com/7PORu39LKu
Fri Aug 21 14:26:38 PDT 2015 --  "Kevin-Prince Boateng ist in guter Form und spielfit" - sagt wer? Sein Berater @fedepastorello #S04 pic.twitter.com/4srhZtPz4o
Fri Aug 21 10:44:55 PDT 2015 --  Jetzt hat Whatsapp schon den Mittelfinger UND den vulkanischen Gruß aus Star Trek hinzugefügt, aber der kotzende Smiley fehlt immer noch!
Fri Aug 21 10:10:38 PDT 2015 --  @BVB Wow! Impressive...More people than in our city!
Fri Aug 21 06:46:56 PDT 2015 --  Ich mache es jetzt, ich springe das erste mal in meinem Leben vom Zehner ! :-) pic.twitter.com/ZnLjNcY4ta
Fri Aug 21 05:02:37 PDT 2015 --  Cristiano Ronaldo ist der wohltätigste Sportler der Welt.
Fri Aug 21 03:58:21 PDT 2015 --  Feuerzeugwerfer von Osnabrück identifiziert - Nach einer Hausdurchsuchung räumte der Mann die Tat ein. #ssnhd pic.twitter.com/lELKeWDZCG
Fri Aug 21 03:59:37 PDT 2015 --  Hab bei H&M was für das Baby gekauft und nun fahren wir zu meinem Papa, der noch garnicht weiß das er zum 7.mal Opa wird....
Fri Aug 21 03:38:37 PDT 2015 --  #Watzke: "Weltmeister wird England in den kommenden 50 Jahren nicht werden." #BVB
Fri Aug 21 03:22:29 PDT 2015 --  scheiss auf Sommerfiguren, für die es zu spät ist. ich arbeite nun weiter an meiner Winterfigur.
Thu Aug 20 15:16:27 PDT 2015 --  @BL_Latest ja, er wird bei uns super mit Shaqiri harmonieren...
Thu Aug 20 14:20:51 PDT 2015 --  @PEAubameyang17 Freu mich das ihr es noch gedreht habt. Bei solchen Spielen zeigt wie viel Herz & Wille das Team am Ende hat.
Thu Aug 20 13:14:56 PDT 2015 --  Jetzt ist es passiert. 3+1:3. @HenrikhMkh trifft für den @BVB. Mkhytarian? Da war doch was... #oddbvb
Thu Aug 20 13:14:31 PDT 2015 --  Ein Fußballabend, wie Twitter ihn liebt. #oddbvb
Thu Aug 20 13:12:18 PDT 2015 --  Wäre der Ball an den Pfosten gegangen, hätte ich den Fernseher vom Balkon geworfen!
Thu Aug 20 13:09:50 PDT 2015 --  Tom Bartels kann und weiss alles. #fragBartels
Thu Aug 20 13:07:22 PDT 2015 --  @oddsbk !!!
Thu Aug 20 13:07:47 PDT 2015 --  Irgendwie sind die Pfosten auf Kunstrasen breiter. #oddbvb #BVB
Thu Aug 20 13:08:03 PDT 2015 --  Wer das nicht mit eigenen Augen sieht, glaubt es nicht. #Aluinvasion
Thu Aug 20 13:03:11 PDT 2015 --  Klatsch!Toooorbameyaaaang #oddbvb
Thu Aug 20 12:58:03 PDT 2015 --  Da sind wir wieder! So wie wir leiben, leben und Chancen vergeben ^^.
Thu Aug 20 12:54:52 PDT 2015 --  #Sparta spielt durch!
Thu Aug 20 12:52:09 PDT 2015 --  Unsere Geschichte sollen Berührungen schreiben. Nicht Worte.
Thu Aug 20 12:50:24 PDT 2015 --  1:0 zuhause würde jetzt reichen.
Thu Aug 20 12:42:23 PDT 2015 --  Sparta! #Sokratis @BVB #BVB #Dortmund #oddbvb pic.twitter.com/BSGN3fgp3p
Thu Aug 20 12:38:19 PDT 2015 --  Papa ist ein Kämpfer!! der spielt Männer Fußball
Thu Aug 20 12:34:38 PDT 2015 --  How many seconds was that?
Thu Aug 20 12:31:39 PDT 2015 --  Geil, hinter Watzke brennt die Kurve und der Bommes fragt nicht mal nach... #oddbvb
Thu Aug 20 12:28:48 PDT 2015 --  @oddsbk now you have 45 minutes to follow our instructions.
Thu Aug 20 12:26:05 PDT 2015 --  Hey @bwin_de Wie war die Quote für ein 3:1 in der Halbzeit?
Thu Aug 20 12:24:46 PDT 2015 --  Aus NULL Gegentoren in 4 Pflichtspielen, werden so mal ganz schnell 3 Gegentore in 5 Pflichtspielen.. #oddbvb
Thu Aug 20 12:12:25 PDT 2015 --  Europa League ist geil: Zwei Teams gehen abends gemeinsam einen saufen und am nächsten Tag pöhlen sie ein bisschen auf Kunstrasen. #oddbvb
Thu Aug 20 11:59:44 PDT 2015 --  Wir können halt nur Drama. Wird schon werden.
Thu Aug 20 11:58:20 PDT 2015 --  Ich habe übrigens immer noch eine Karte für das Rückspiel übrig. #ODDBVB
Thu Aug 20 12:01:56 PDT 2015 --  Ingolstadt reibt sich schon die Hände
Thu Aug 20 11:54:32 PDT 2015 --  well, that escalated quickly. #oddbvb
Thu Aug 20 11:50:46 PDT 2015 --  Die zweiten Anzüge in Mittelfeld und Verteidigung sitzen ganz und gar nicht. #ODDBVB
Thu Aug 20 11:53:38 PDT 2015 --  Mehr Wein jetzt.
Thu Aug 20 11:50:21 PDT 2015 --  Joa. Gott sei Dank ist Odds BK ja keine Hürde und man ist schon in der Gruppenphase. Unsagbar peinlich. #oddbvb
Thu Aug 20 11:50:27 PDT 2015 --  Hey Jungs, die haben zwar auch weiße Trikots, aber das ist NICHT Real Madrid! #bvb
Thu Aug 20 11:50:45 PDT 2015 --  Volle Konzentration auf's Double 2016! #bvb
Thu Aug 20 11:51:24 PDT 2015 --  Denken die Jungs nach den Lorbeeren von Samstag das Spiel spielt sich von alleine oder liegts am Rasen?
Thu Aug 20 11:34:51 PDT 2015 --  Immer für ne Bude in den ersten 60 Sekunden gut.... #bvb
Thu Aug 20 11:34:33 PDT 2015 --  Wir sind überall überbesetzt. Nur hinten rechts nicht. Lasst uns alle beten, dass es bei Piszczu nichts Ernstes ist
Thu Aug 20 11:31:47 PDT 2015 --  Okay, jetzt haben wir ein Fußballspiel. #oddbvb #BVB
Thu Aug 20 11:31:00 PDT 2015 --  Alter...
Thu Aug 20 11:25:46 PDT 2015 --  So auf geht's #roadtoBasel
Thu Aug 20 11:19:15 PDT 2015 --  Jetzt aber mal ernsthaft Leute wo ist Emma? In Madrid zu Verhandlungen?
Thu Aug 20 11:23:48 PDT 2015 --  BEEEEEEE VAUUUUUUU BEEEEEEEEEE
Thu Aug 20 11:24:51 PDT 2015 --  Der WM-Finalkommentator gibt sich die Ehre ^^
Thu Aug 20 08:03:23 PDT 2015 --  Land und Leute kennenlernen! Sooo geil hier! Danke, Skien! Danke, Norwegen! #oddsbvb #bvb #Norwegen pic.twitter.com/2rYJhOerXa
Thu Aug 20 08:22:37 PDT 2015 --  Marie mit Stirn zu sehen war ein ganz neues Erlebnis!
Thu Aug 20 08:08:54 PDT 2015 --  Ist noch jemand ohne Karte für das Heimspiel gegen Odds BK? #BVB
Thu Aug 20 07:35:14 PDT 2015 --  Jeder #Mensch hat 3 #Leben: ein privates, ein öffentliches und eins was sich andere ausdenken.
Thu Aug 20 02:53:18 PDT 2015 --  Hi @oddsbk! Our advice: Beware of Reus. And Gündogan. And Aubameyang. And Mkhitaryan. And Kagawa. And everyone else in black-yellow. #oddbvb
Thu Aug 20 00:12:16 PDT 2015 --  Jetzt wird schon das Feuer genormt. Typisch
Thu Aug 20 00:11:43 PDT 2015 --  "Dieses Schaummittel ist für Norm-Feuer nicht so gut geeignet" Bitte was? O.o
