Sat Aug 22 13:53:32 PDT 2015 --  Eye of an Eagle󾆐󾆐󾆐 http://fb.me/7pjGv3tMl 
Thu May 21 02:57:51 PDT 2015 --  Main bhi 'Krish' hu ! @coolfunnytshirt pic.twitter.com/MksGEWWOp6
Tue May 19 10:35:13 PDT 2015 --  mooli, gaajar zameen ke neeche nahi,ped pe lagaya karo!dhoop bhi milegi, todne me asaani.. "wah! wah!" *taaliyan* pic.twitter.com/Fh7Hfw2Jcw
Thu May 21 02:56:09 PDT 2015 --  Main Dil mei aata hu, Dimaag mei nahi ! @coolfunnytshirt pic.twitter.com/WP09iZtwAW
Thu May 21 02:17:43 PDT 2015 --  I'd flick it with my thumb from a resting spot on the index finger of my fist. Best way to get the coin rotating. https://twitter.com/SkyCricket/status/601315575495811072 …
Thu May 21 02:18:06 PDT 2015 --  Everyone is against us - AAP https://twitter.com/abpnewshindi/status/600897433820737536 …
Thu May 21 02:12:47 PDT 2015 --  Ye Nagpur ni AAGPUR hai! 47℃ already. #Nagpur @nagpur24x7
Thu May 21 02:03:32 PDT 2015 --  47℃ ! Already.
Wed May 20 01:07:12 PDT 2015 --  @shubham23_ @VictoryForNamo @ensine @hitri04 @tajinderbagga Also name official who refuzd bribe as co accuzd, since he didnt report d matter
Mon May 18 03:21:22 PDT 2015 --  Kisi par itna bhi na maro, ki marr kar bhi marr na pao!
Mon May 18 03:13:56 PDT 2015 --  Kejriwal in his statement made it look like RTO official did not accept bribe because his daughter removed her phone. Maybe for recording.
Mon May 18 03:11:58 PDT 2015 --  Was wondering why no one filed FIR against Kejriwal's daughter. And then someone did. C'mon guys, she was checking corruption level.
Sat May 16 22:36:37 PDT 2015 --  Tourists visiting Maharashtra should know Marathi/should be Marathi. *silent clap* https://twitter.com/dna/status/599807600633348097 …
Sat May 16 09:58:14 PDT 2015 --  He was Harassing A Girl On Facebook. He Will Never Forget What She Did Next! - VERITE http://fb.me/2EKWDgiOp 
Fri May 15 23:30:49 PDT 2015 --  If all the time you have is wasted on taking pictures instead of creating memorable moments, then you have got it all wrong
Fri May 15 22:23:33 PDT 2015 --  People say Memories fade but pictures don't ! What's the use of those pictures that do not help recollect a memory? #justsaying
Fri May 15 22:16:49 PDT 2015 --  3 dreams! I had 3 dreams
Fri May 15 00:55:07 PDT 2015 --  26 Not-So-Famous Bollywood Dialogues You Definitely Must Not Miss http://www.scoopwhoop.com/entertainment/lesser-known-bollywood-dialogues/ …
Thu May 14 06:54:28 PDT 2015 --  http://fb.me/4e7yUFLBY 
Tue May 12 02:02:47 PDT 2015 --  And tremors do not jolt common folk of Nepal and India? https://twitter.com/IBNLiveMovies/status/598048181054672896 …
Tue May 12 01:14:12 PDT 2015 --  Nepal bhai sun lena https://twitter.com/BDUTT/status/598037513136050178 …
Sat May 09 03:46:04 PDT 2015 --  Just heard that a major fire has been reported at HP petrol pump in Wadi #Nagpur
Tue Feb 18 09:49:32 PST 2014 --  Daughter: DAD! What's on my neck? Gulzar: Hasti rahe tu hasti rahe, haya ki laali khilti rahe, zulf ke neeche gardan pe keeda hai beta.
Tue May 10 03:50:08 PDT 2011 --  Knock knock Who's there? Mirage Mirage who? Mirage Thackeray aahe, Marathit bol kutrya
Wed May 06 02:07:08 PDT 2015 --  Waiting for Arshad Warsi to deliver his Jolly LLB speech !
Wed May 06 00:39:52 PDT 2015 --  No dear girl, Salman's charity does not lessen his crime. Just like your beautiful DP does not make your tweets more intelligent
Mon May 04 13:33:15 PDT 2015 --  Life is not about the number of moments you breathe for, it's about those moments that take your breathe away!
Sat May 02 05:51:39 PDT 2015 --  http://fb.me/1GqggfxcN 
Sat May 02 05:51:34 PDT 2015 --  http://fb.me/43zc2IlO2 
Sat May 02 05:51:23 PDT 2015 --  http://fb.me/3IDaLwzkI 
Sat May 02 03:52:20 PDT 2015 --  Color Vision Glasses ( LIT Nagpur): https://youtu.be/7ADuPZ0K4Pw 
Sat May 02 03:52:12 PDT 2015 --  Levenspeil Intense Jeans ( LIT Nagpur ): https://youtu.be/7pRYNOXQcq4 
Sat May 02 03:52:02 PDT 2015 --  Bulltaco Optimus Motorcycles ( LIT Nagpur ): https://youtu.be/HSK3SdLKZNg 
Sat May 02 03:51:51 PDT 2015 --  S Cube Salon ( LIT Nagpur ): https://youtu.be/-EMJWqGQCP8 
Wed Apr 29 10:06:12 PDT 2015 --  चवन्यप्राश में सोना चांदी, अबकी बार राहुल गांधी। https://twitter.com/vikramchandra/status/593441643631484930 …
Sun Apr 26 07:16:17 PDT 2015 --  Times of India Apni aukaat kabhie nahi bhulega! pic.twitter.com/9gM1JO4Chi
Fri Apr 24 01:58:18 PDT 2015 --  Feminists are coming !!!! pic.twitter.com/QiwXc1Ev7c
Fri Apr 24 00:17:40 PDT 2015 --  Oh! Jonty Rhodes names his daughter India. So, Rhodes now has India. But when will India have roads? #ImportantQuestions
Sun Apr 19 07:59:06 PDT 2015 --  Whatsapp par last seen bandh rakhne walo, janta maaf nahi karegi!
Tue Apr 14 12:31:18 PDT 2015 --  Bc jo bhi sportskeeda ki site handle karta woh ya Toh Bangladeshi hai ya FC Barcelona ka fan hai! Unfollow kardo
Sat Apr 11 03:22:11 PDT 2015 --  Send TRAI your views, protect #NetNeutralityIndia and #SaveTheInternet - http://www.savetheinternet.in 
Tue Apr 07 10:40:23 PDT 2015 --  Kya ghatiyaa opening ceremony thi
Sat Apr 04 08:33:44 PDT 2015 --  Why do people keep bitching about their ex?
Wed Apr 01 09:57:53 PDT 2015 --  The difference between Kejriwal bhakts and Modi bhakts is, Modi bhakts expect Modi to perform.
Mon Mar 30 21:01:58 PDT 2015 --  She texted me: "Your adorable." I replied: "No. You're adorable." Now she likes me. All I did was point out her typo.
Wed Apr 01 07:42:10 PDT 2015 --  Giriraj Singh did not make a racist remark. Just questioned the Congress Mentality.
Wed Apr 01 06:31:49 PDT 2015 --  Every1 lets make a promise. Do not buy the product advertised in popup ads. The company will be bankrupt and their shifty pop ups will stop.
Sat Mar 28 04:44:26 PDT 2015 --  Arvind Kejriwal wanted YY and PB out of AAP NC 24*7 ! Some asslicker somehow misread it and YY and PB are out with 247 members against them.
Sat Mar 28 04:38:51 PDT 2015 --  Why do thunderstorms and showers only come on weekends? #Nagpur
Sat Mar 28 04:25:38 PDT 2015 --  Another thunderstorm on its way I guess ! #Nagpur
Sat Mar 28 03:14:37 PDT 2015 --  @coolfunnytshirt An open letter to McCullam from a die hard Indian fan. pic.twitter.com/uNb5w4AsYb
Fri Mar 27 23:47:20 PDT 2015 --  Brilliant by @MANJULtoons pic.twitter.com/gIU2KmAqkz
Fri Mar 27 22:34:27 PDT 2015 --  What is happening in today's episode of AAP ?
Fri Mar 27 09:18:16 PDT 2015 --  We run away from and then come back to our secure boring life. Always.
Fri Mar 27 07:31:15 PDT 2015 --  This is an apt reply! You are wonderful @doctoratlarge but then there is @raggedtag . pic.twitter.com/BqNZbmGpfn
Fri Mar 27 07:23:42 PDT 2015 --  This is hilarious ! pic.twitter.com/jNaQN48JQG
Fri Mar 27 06:57:33 PDT 2015 --  अगर भारत सरकार आम आदमी पार्टी पर एंटरटेनमेंट टैक्स लगा दे तो भारत चीन की इकोनॉमी से आगे निकल जाएगा।
Thu Mar 26 02:46:25 PDT 2015 --  @GappistanRadio On WhatsApp pic.twitter.com/KC9NYW5Y3H
Wed Mar 25 21:46:21 PDT 2015 --  Jo toss jitega woh batting karega! Bachpan ki yaadein
Wed Mar 25 21:45:52 PDT 2015 --  Abey yaar Australia ki batting kyu Aayi Pehle
Mon Mar 23 01:32:33 PDT 2015 --  Ae mere watan ke logon, jo shaheed hue hai unki zara yaad karo kurbaani ! #ShahadatLIT #ShahadatDiwas #JaiHind http://fb.me/3QEOg2tNI 
Sat Mar 21 22:26:13 PDT 2015 --  भगत सिंह,राजगुरु,सुखदेव की शहादत भूमि को नमन करने 23 मार्च को हुसैनीवाला जायेंगे PM @narendramodi . पहले बार शहादत दिवस पर जायेंगे कोई PM
Thu Mar 19 07:57:41 PDT 2015 --  Do you want to complicate everything ? Ask me how.
Thu Mar 19 06:04:33 PDT 2015 --  Your state of mind better find a solution yourself, don't drag others.
Wed Mar 18 19:23:42 PDT 2015 --  I think the hunt for Rahul Gandhi's match is over boss. Shaadi ka hall book kar lo. pic.twitter.com/bFMYu8TSPJ
Thu Mar 19 07:01:45 PDT 2015 --  Over-thinking ruins you, ruins the situation, twists things around, makes you worry & just makes everything much worse than it actually is.
Thu Mar 19 04:45:35 PDT 2015 --  I want Pakistan to play India in the semifinals! So that we can kick them out again ! #CWC15
Thu Mar 19 04:20:16 PDT 2015 --  Kohli : You got a duck Rubel : You have a duck at home too
Thu Mar 05 23:20:25 PST 2015 --  Exclusive: Why Indian bowlers are doing so well in the World Cup. #CWC15 #WorldCup2015 pic.twitter.com/wvhlHGHhSh
Thu Mar 19 04:26:39 PDT 2015 --  There is always a chutiya that comments on a girl's Goa photos with 'Samandar me naha ke aur bhi namkeen ho gai ho'
Thu Mar 19 00:22:29 PDT 2015 --  Do you have Aadhaar? Do you Eat fish? Do you like Mamata di? Are you a left arm spinner? If you answered 'Yes' to all you're a Bangladeshi
Thu Mar 19 00:21:31 PDT 2015 --  Time pe sharma, Gupta Aur aggarwal ke launde hee kam aate hai
Tue Mar 17 08:09:22 PDT 2015 --  Buddhu is in Spain and working on a book. He will return after he finishes colouring all the pages.
Wed Mar 18 11:19:02 PDT 2015 --  Rohit Sharma will find form ie. score a hundred. Shami and Mohit Sharma will pick up 6 wickets between them. #BingPredicts #CWC15
Wed Mar 18 02:31:01 PDT 2015 --  Epic RT @ashwinmushran: Ha Ha! An #AdarshLiberal & #AdarshBhakt family comparison... *Reaches for more popcorn* pic.twitter.com/0JVGwPmKki
Wed Mar 18 02:06:54 PDT 2015 --  Harsha bhogle: I think sri lanka have lost a plot there. Robert vadra: Kaha hai plot?? Kaha hai??? #SAvsSL
Tue Mar 17 04:21:09 PDT 2015 --  @shubham23_ pic.twitter.com/swy977fUzc
Mon Mar 16 11:37:23 PDT 2015 --  pic.twitter.com/yA6Nb731Pa
Mon Mar 16 02:27:11 PDT 2015 --  I posted a new photo to Facebook http://fb.me/3GTO0Eya5 
Mon Mar 16 02:27:10 PDT 2015 --  I posted a new photo to Facebook http://fb.me/2Olx2VwgM 
Mon Mar 16 02:27:10 PDT 2015 --  I posted a new photo to Facebook http://fb.me/1ORbUtRd6 
Mon Mar 16 02:27:07 PDT 2015 --  I posted a new photo to Facebook http://fb.me/1GP22VFfq 
Mon Mar 16 02:27:07 PDT 2015 --  I posted a new photo to Facebook http://fb.me/3TRPXKilz 
Mon Mar 16 02:27:05 PDT 2015 --  I posted a new photo to Facebook http://fb.me/2UXyPLn5q 
Mon Mar 16 02:27:04 PDT 2015 --  I posted a new photo to Facebook http://fb.me/4R5kAzi8v 
Mon Mar 16 02:27:02 PDT 2015 --  I posted a new photo to Facebook http://fb.me/1LL2FH78M 
Mon Mar 16 02:27:01 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7e2xIQLm2 
Mon Mar 16 02:27:01 PDT 2015 --  I posted a new photo to Facebook http://fb.me/2SlhroI8h 
Mon Mar 16 02:26:56 PDT 2015 --  I posted a new photo to Facebook http://fb.me/6uefi9TXN 
Mon Mar 16 02:26:54 PDT 2015 --  I posted a new photo to Facebook http://fb.me/6uEftUQdX 
Mon Mar 16 02:26:53 PDT 2015 --  I posted a new photo to Facebook http://fb.me/3ExWJXCxv 
Mon Mar 16 02:26:50 PDT 2015 --  I posted a new photo to Facebook http://fb.me/2WDgT3n5Q 
Mon Mar 16 02:26:50 PDT 2015 --  I posted a new photo to Facebook http://fb.me/275wU9Oqg 
Mon Mar 16 02:26:49 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7gMjNGIhb 
Mon Mar 16 02:26:47 PDT 2015 --  I posted a new photo to Facebook http://fb.me/6XNSCOrxv 
Mon Mar 16 02:26:46 PDT 2015 --  I posted a new photo to Facebook http://fb.me/31AC6axO8 
Mon Mar 16 02:26:44 PDT 2015 --  I posted a new photo to Facebook http://fb.me/73Zo801sE 
Mon Mar 16 02:26:41 PDT 2015 --  I posted a new photo to Facebook http://fb.me/4OCJvCCUE 
Mon Mar 16 02:26:40 PDT 2015 --  I posted a new photo to Facebook http://fb.me/6y2A6gvK7 
Mon Mar 16 02:26:39 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7qrom2t3w 
Mon Mar 16 02:26:38 PDT 2015 --  I posted a new photo to Facebook http://fb.me/1YMjtOaLg 
Mon Mar 16 02:26:36 PDT 2015 --  I posted a new photo to Facebook http://fb.me/47rXFMdqs 
Mon Mar 16 02:26:32 PDT 2015 --  I posted a new photo to Facebook http://fb.me/1AsZlSYC3 
Mon Mar 16 02:26:32 PDT 2015 --  I posted a new photo to Facebook http://fb.me/3gM5nEVB9 
Mon Mar 16 02:26:31 PDT 2015 --  I posted a new photo to Facebook http://fb.me/46W6ZzCId 
Mon Mar 16 02:26:28 PDT 2015 --  I posted a new photo to Facebook http://fb.me/3Yaqkqb2M 
Mon Mar 16 02:26:27 PDT 2015 --  I posted a new photo to Facebook http://fb.me/28vLSAlAl 
Mon Mar 16 02:26:26 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7qP9Xee1X 
Sun Mar 15 07:07:22 PDT 2015 --  Ye #Nagpur hai ! Shimla ya Ooty nahi! #Hailstorm #LITNagpur pic.twitter.com/3vYrcYLPRg
Sun Mar 15 02:38:41 PDT 2015 --  To those saying "God doesn't reside in Temples either": Source: This article by @Swamy39 http://www.newindianexpress.com/columns/article1366735.ece … pic.twitter.com/equHHZkuqe
Wed Mar 11 11:41:34 PDT 2015 --  @Being_Humor केजरीवाल खरीदने चले थे कांग्रेस के घोड़े उन्ही की पार्टी वालो ने उनके लगा दिए लोड़े #MeinBhiPoet
Sat Mar 14 04:48:39 PDT 2015 --  Alexithymia describes a person who has a difficult time expressing their feelings to others.
Tue Mar 10 08:30:47 PDT 2015 --  What comes easy won’t last long, and what lasts long won’t come easy.
Tue Mar 10 00:57:14 PDT 2015 --  What is it that India Today couldn't buy with a coin and can buy with a note? RT @IndiaToday: 10 things you can buy with revived Re 1 note
Tue Mar 10 00:26:46 PDT 2015 --  Ye kisne bheja beyy?? pic.twitter.com/uncd8qBnJT
Tue Mar 10 00:25:29 PDT 2015 --  Dhawan is so selfish !
Mon Mar 09 05:27:09 PDT 2015 --  Received this lovely gift hamper from @Tata_Crucible #Nagpur for Twitter competition! pic.twitter.com/K0feItOtiZ
Mon Mar 09 04:32:47 PDT 2015 --  Congratulations to @shubham23_ & @adongarwar for winning our today's #TweetAsItHappens contest! #TCBQ11 Thank you for all your tweets. :)
Mon Mar 09 03:55:40 PDT 2015 --  VNIT may turn up to be national finalists. @Tata_Crucible
Mon Mar 09 03:12:51 PDT 2015 --  Teams are playing it fast ! @Tata_Crucible #Nagpur
Mon Mar 09 03:11:26 PDT 2015 --  Team 1 on fire ! @Tata_Crucible
Mon Mar 09 03:11:04 PDT 2015 --  Superb start from team 1 @Tata_Crucible
Mon Mar 09 03:10:18 PDT 2015 --  #Nagpur @Tata_Crucible 24 queestion . #taking guard begins
Mon Mar 09 03:01:02 PDT 2015 --  Waiting for the finals to start @Tata_Crucible pic.twitter.com/oXevJA7ReK
Mon Mar 09 02:50:37 PDT 2015 --  Superovers about to begin ! Teams being announced #Nagpur @Tata_Crucible
Mon Mar 09 02:49:05 PDT 2015 --  Measurement standard for woman #4Cs @Tata_Crucible #Nagpur
Mon Mar 09 02:43:05 PDT 2015 --  And the doors are opened for the results and final round @Tata_Crucible #Nagpur
Mon Mar 09 02:37:29 PDT 2015 --  Over 80 teams are here for @Tata_Crucible Campus Quiz at #Nagpur
Sun Mar 08 13:21:18 PDT 2015 --  Yeah! Everyday. " @Choco_La_Ti_Da: Is this some 'be mean to M' day?"
Mon Mar 02 21:16:27 PST 2015 --  In Maharashtra, all chicken, goats and sheep are currently thinking - Why do gais have all the fun? #BeefBan
Mon Mar 02 20:59:32 PST 2015 --  Rakesh Roshan always been a visionary director. He expressed about Mall Culture years back. "Khali hath aaye the hum, Khali hath jayenge"
Sat Feb 28 23:24:39 PST 2015 --  If they ever remake CHAK DE in Pakistan, Shoaib Akhtar will play the role of that guy who writes "BUZDIL KAPTAAN" on Misbah's compound wall
Sat Feb 14 20:43:19 PST 2015 --  Sunil Gavaskar and Sanjay Manjrekar should be made to interrogate terrorists. So fucking boring, they would extract instant confessions.
Sat Feb 14 20:17:11 PST 2015 --  Brilliant plan by Dhoni to have Dhawan pretend to be out of form for two years and then start smashing in the match against Pak #cwc15
Sat Feb 14 19:23:23 PST 2015 --  Jitna #TheInterview mein North Korea ko ganda bataya hai utna hi @indiantweeter Pakistan ko Twitter par ganda batate hai !
Sat Jan 31 20:18:52 PST 2015 --  The creator of Johnny Bravo, the creator of Powerpuff Girls, and the creator of Dexter’s Laboratory were all roommates in college.
Sat Jan 24 05:28:37 PST 2015 --  #Baby is overrated!
Fri Jan 23 03:41:12 PST 2015 --  Love it! Sonos logo pulses like a speaker when scrolled. pic.twitter.com/TQ1NsNr8Ih
Wed Jan 14 02:06:46 PST 2015 --  According to astronomy, when you wish upon a star, you're actually a few million years late. That star is dead. Just like your dreams.
Tue Jan 13 22:49:17 PST 2015 --  If you like your head well over your shoulder... Avoid driving two wheelers on bridges today. #Nagpur #MakarSankranti
Tue Jan 13 01:47:26 PST 2015 --  Abey toi walo Aur kitna bold jayegi woh??? pic.twitter.com/cpbZgY7ozz
Mon Jan 12 11:06:32 PST 2015 --  CR7 phirse #BallonDOr
Wed Feb 05 06:17:02 PST 2014 --  There are two reasons why I dont take my girlfriend on a long drive in my Audi A8. - No girlfriend - No Audi A8
Thu Jan 01 01:16:32 PST 2015 --  Oneplus One invite Mila.. chahiye kisiko?
Sun Dec 28 21:38:00 PST 2014 --  Twitter was down ??
Sat Dec 27 21:52:02 PST 2014 --  TOI Gautam Gulati bol ke Arjun Kapoor chalate !!! pic.twitter.com/5MKDb1ncZ5
Wed Dec 24 10:22:19 PST 2014 --  Friend : Ye saal jaldi nikal gaya na.. Me: Haan, iss saal sirf 150 din the!
Mon Dec 22 09:18:24 PST 2014 --  Good Taliban and Bad Taliban of Pakistan. pic.twitter.com/WUBq2S1Car
Mon Dec 22 09:16:47 PST 2014 --  This is a ship-shipping ship, shipping shipping ships. @kiranKS pic.twitter.com/RSqKM4WEGL
Mon Dec 22 08:44:31 PST 2014 --  Why do good aliens visit India and bad ones attack USA ?? #PK #KOIMILGAYA #JADOO
Mon Dec 22 08:36:17 PST 2014 --  Ironically, the word "verb" is a noun.
Sun Dec 21 23:32:41 PST 2014 --  Ishant Sharma after watching #MSGTheFilm trailer. pic.twitter.com/CxRp9e3iry
Mon Dec 22 02:03:00 PST 2014 --  PK jayenge! Aaj!
Sat Dec 20 10:02:02 PST 2014 --  Here is a screenshot of the post for those for whom link does not work. Makes for very interesting reading. pic.twitter.com/Xb6D9bgeOG
Fri Dec 19 10:36:43 PST 2014 --  Arnab let me tell you.... RT @ashwinskumar #2014In5Words ANSWER MY QUESTION, MISTER JHA !!
Fri Dec 19 05:30:19 PST 2014 --  BREAKING : Man gets confused after downloading pk songs from songs.pk
Fri Dec 19 05:17:31 PST 2014 --  Road closed for 642 hours? " @ashutosh83B: Ashok Road was closed when I was driving by 1 PM and road is still closed. It's 643pm."
Thu Dec 18 09:49:35 PST 2014 --  " @ZoomTV: Youngistaan has been accepted in the best foreign language film category for this year’s Oscars pic.twitter.com/mAT2jPPf14" bwahaha
Thu Dec 18 09:10:05 PST 2014 --  Youngistaan has been accepted in the best foreign language film category for this year’s Oscars pic.twitter.com/lNWpnUQ3te
Thu Dec 18 01:22:38 PST 2014 --  Pakistan has taken tough stand against terrorism and has asked Hafiz saeed to stop terrorising Pakistanis and start terrorising Indians.
Thu Dec 18 01:12:08 PST 2014 --  Two things define you: Your patience when you have nothing, and your attitude when you have everything.
Thu Dec 18 01:17:26 PST 2014 --  Talk about timing. RT @ndtv: 26/11 accused Zaki-ur-Rehman Lakhvi granted bail by anti-terror court in Pakistan
Sun Dec 14 02:08:51 PST 2014 --  RSS has over 6 Million members. ISIS around 30,000. If RSS was like ISIS, there would be no opponents of RSS left, logically speaking.
Sun Dec 14 10:29:33 PST 2014 --  " @ShashiTharoor: Cldn't resist a selfie with @SrBachchan! pic.twitter.com/ipu8fNxTHq" sir ye kaisa selfie? Selfie lete hue kisine aapki pic leli
Sat Dec 13 20:30:12 PST 2014 --  Parents worry about 2 things: Their son's downloads and their daughter's uploads.
Sat Dec 13 08:20:34 PST 2014 --  ISIS launches the campaign & HT circulates it ? pic.twitter.com/PAGoSBBahl
Fri Dec 12 19:32:59 PST 2014 --  Nathan Lyon printed as Sunny Leone by a Hindi Newspaper #INDvsAUS pic.twitter.com/0tbO1X145o
Fri Dec 12 04:46:52 PST 2014 --  "How many times have we been here?" I reset the day 0 times. Check out my screenshot from the game! Play... http://fb.me/6KqyUmzUD 
Fri Dec 12 04:46:50 PST 2014 --  "How many times have we been here?" I reset the day 0 times. Check out my screenshot from the game! Play... http://fb.me/3zSDXGSSt 
Thu Dec 11 11:43:00 PST 2014 --  "How many times have we been here?" Check out my screenshot from the game! Play #LIVEDIEREPEAT and see EDGE OF... http://fb.me/6UwBusEyh 
Thu Dec 11 11:42:58 PST 2014 --  "How many times have we been here?" Check out my screenshot from the game! Play #LIVEDIEREPEAT and see EDGE OF... http://fb.me/6V9v0Xrhh 
Thu Dec 11 00:04:35 PST 2014 --  Modi to Putin: USSR? Putin to Modi: RSS U? pic.twitter.com/MgAZhRtCyj
Tue Dec 09 09:24:21 PST 2014 --  " @htShowbiz: Aamir Khan dares Roger Federer for a tennis match http://read.ht/lv1  pic.twitter.com/WVi0FUbM9M" fokat ki publicity
Mon Dec 08 02:51:55 PST 2014 --  Royal Australasian College of Surgeons museum, Melbourne. "Plastic surgery has its origins in India 2000 yrs ago" pic.twitter.com/d6SL3UzHGi
Sun Dec 07 08:22:48 PST 2014 --  If you want to meet someone and you dye your hair before meeting, are you dying to meet them?
Wed Dec 03 23:33:06 PST 2014 --  Which waste fellow made this? pic.twitter.com/mSgj7eaqO0
Wed Dec 03 06:31:46 PST 2014 --  Suresh @ashutosh83B ........... ramesh pic.twitter.com/sVxhsrycv3 @coolfunnytshirt
