Fri Aug 28 07:14:57 PDT 2015 --  Review: Netflix's 'Narcos' is like 'House of Cards,' with more cocaine: http://on.mash.to/1UhBKCI  pic.twitter.com/TUv8pk8UVf
Fri Aug 28 10:34:11 PDT 2015 --  CLOSE DEAL: West Brom have agreed a fee with Manchester United for Jonny Evans. (Sky Sports)
Sun Aug 23 13:09:00 PDT 2015 --  the twitter handles https://twitter.com/nashtygal/status/635485040735092736 …
Sun Aug 23 05:53:16 PDT 2015 --  Pedro has scored as many Premier League goals this season (1) as Man United's squad combined. pic.twitter.com/c2LCKPlr3g
Sun Aug 23 06:00:27 PDT 2015 --  Just the goal and assist for Pedro in 29 minutes. Van Gaal's right though, United obviously don't need attacking improvements.
Sat Aug 22 20:20:08 PDT 2015 --  The American Psycho Christian Bale Will Play Enzo Ferrari in an Upcoming Film http://hypebeast.com/hb1mvhn?utm_source=twitter&utm_medium=social&utm_campaign=twitter_post … pic.twitter.com/RgOG8Lpkfk
Sat Aug 22 18:17:21 PDT 2015 --  Sorry. @Patriots QB Jimmy Garoppolo doesn't want to take a sack right now. He'd rather throw a crazy TD. #NEvsNO http://snpy.tv/1I3KrcL 
Sat Aug 22 15:47:07 PDT 2015 --  #ChaleWote2015 pic.twitter.com/4sbG5up4zt
Sat Aug 22 08:52:31 PDT 2015 --  Unreal. Look at the ref! "No way son, didn't touch you!" https://vine.co/v/ObAiTBiWzL2 
Sat Aug 22 08:44:56 PDT 2015 --  Callum Wilson has scored his first senior hat-trick for Bournemouth vs. West Ham. Looks like real talent. #AFCB pic.twitter.com/vd1BkrYCbL
Sat Aug 22 06:47:34 PDT 2015 --  RECORD: Kevin Volland's goal vs. Bayern has been officially clocked at 9 seconds, equalling the Bundesliga record. pic.twitter.com/yy8XdWJUAr
Wed Jul 22 05:39:44 PDT 2015 --  Girl: I'm a virgin, go easy Boy 1: Jezzoz!! where am I? Boy 2: Welcome to the valley of the shadow of death. pic.twitter.com/kCeBh6JLb9
Tue Jul 14 19:37:43 PDT 2015 --  This is why I have trust issues pic.twitter.com/0UcWnoCWDF
Fri Aug 21 10:36:07 PDT 2015 --  lmfao he was cuttin that shit up pic.twitter.com/3iD30v2Q6e
Fri Aug 21 19:17:12 PDT 2015 --  There is a fish with a penis on its head and the female of this species has a genital opening on the throat.
Wed Aug 12 16:51:56 PDT 2015 --  Am I the only one who finds this hilarious? pic.twitter.com/Rjau7ZtMXv
Mon Mar 23 08:31:15 PDT 2015 --  When a girl curves me, I just know her mom is a prayerful person
Fri Aug 21 07:25:09 PDT 2015 --  Squuaaaddddd https://twitter.com/citi973/status/634731881775411200 …
Fri Aug 21 07:24:56 PDT 2015 --  But yall know I'm the Afro Trap Pioneer, my raps are for the sakawa boys,hustlers,pimps,ashawos who pimp politicians and gun movers
Thu Aug 20 04:44:54 PDT 2015 --  Mou steals Pedro from Van Gaal's grasp in today's Cartoon of the Day (via @omomani) http://bit.ly/1LkOpCI  #CFC #MUFC pic.twitter.com/KLhLQkWyEU
Thu Jul 16 15:24:56 PDT 2015 --  Shit is hard af, Rt if you did it pic.twitter.com/QJRLPKe0ZT
Thu Aug 20 19:03:35 PDT 2015 --  " @AceAKAYoungn: Lnaoooo they said suge knight can't even dance without trying to kill somebody pic.twitter.com/nPb3t4Fcgw"
Thu Aug 20 20:22:32 PDT 2015 --  YES PLEASE https://twitter.com/SuperheroFeed/status/634561308138999809 …
Thu Aug 20 20:03:00 PDT 2015 --  'DIGIMON ADVENTURE TRI' hits November 2015! pic.twitter.com/q1tUP0yImI
Thu Aug 20 17:26:21 PDT 2015 --  LMAO RT @EarlsBottomLip: It's going to be a long 13 years for this little nigga. pic.twitter.com/QuYqQ5HCDo
Thu Aug 20 12:41:30 PDT 2015 --  A revelation about Charlie Austin we didn't need to know. sky sources say he has no ligaments in his right d*** https://vine.co/v/eDOv1Iqb2A2 
Thu Aug 20 09:23:39 PDT 2015 --  Christ RT @IamSPiKELoU: @TheOnlyReed pic.twitter.com/88tETgVN7v
Thu Aug 20 09:02:24 PDT 2015 --  Bigger, badder, faster! The new season of #TheFlash premieres Tuesday, October 6. https://amp.twimg.com/v/13da0f7c-c79c-4f72-a423-9b270a9bdb76 …
Thu Aug 20 08:40:00 PDT 2015 --  Boeing has patented tech that transforms a drone into a small submarine when it hits the water http://onforb.es/1E6bgCb  pic.twitter.com/AdwhpJDvII
Thu Aug 20 07:19:17 PDT 2015 --  . @JayRock's new album will come out when “realistic” pre-order goals met Details: http://goo.gl/myFKL4  pic.twitter.com/dKIj18KKgN
Thu Aug 20 06:20:54 PDT 2015 --  Here's Pedro! https://vine.co/v/eDhWHvJTepP 
Thu Aug 20 04:45:30 PDT 2015 --  La GALLERY delle visite mediche di Alex Sandro è qui: http://juve.it/R8BWd  pic.twitter.com/9Fp4ZJ9CnA
Thu Aug 20 01:26:07 PDT 2015 --  #CHALEWOTE2015 to starts today! All u need to know about WestAfrica's Biggest Art festival https://www.collegemag.net/article/Main_Page/480/Chalewote2015-street-art-festival-to-commence-from-20th-to-23rd-august … pic.twitter.com/rs41BZaQQz
Thu Aug 20 01:59:36 PDT 2015 --  This is why Ghana is ahead of Nigeria in life https://twitter.com/rotaryclubae/status/634086213176172544 …
Thu Aug 20 02:17:10 PDT 2015 --  How to defend against Lionel Messi, by Nicolás Otamendi. Watch the ball, not the feet, make the tackle. #MCFC pic.twitter.com/2Z2cqkPQax
Wed Aug 19 23:47:04 PDT 2015 --  @skontigh @Kobla_JnR you guys go blow up soon.
Thu Aug 20 03:21:13 PDT 2015 --  Messi’s cousin Maxi Biancucchi nets a quality goal for Bahia in the Copa Sudamericana (Video) http://www.101greatgoals.com/blog/leo-messis-cousin-maxi-biancucchi-scored-a-quality-solo-goal-for-bahia-in-the-copa-sudamericana-video/ … pic.twitter.com/zt9CvOwexY
Thu Aug 20 03:31:42 PDT 2015 --  Giovanni Moreno did this in the Shanghai derby. Not bad at all. pic.twitter.com/byv9O6Y6vb
Wed Aug 19 12:16:17 PDT 2015 --  Looooooooooool https://twitter.com/yahboyaang/status/597955406674132992 …
Wed Aug 19 11:16:36 PDT 2015 --  There's no way , some other girl don't want you
Wed Aug 19 11:16:05 PDT 2015 --  If a girl don't want you , just keep it moving man
Wed Aug 19 11:30:05 PDT 2015 --  7 real-life cyborg implants http://engt.co/1UTjXUD  pic.twitter.com/RX0Jf485XM
Wed Aug 19 04:37:42 PDT 2015 --  Leicester ain't playing around...
Wed Aug 19 04:33:02 PDT 2015 --  DONE DEAL: Gökhan Inler has joined Leicester from Napoli for an undisclosed fee on a three-year deal. pic.twitter.com/wE5ui2k8qj
Wed Aug 19 04:17:07 PDT 2015 --  #MUFC fans falling over themselves to tell me it was actually United that rejected Otamendi and Pedro. pic.twitter.com/D2cjoXXgDz
Wed Aug 19 02:17:04 PDT 2015 --  This how man are paying for their uni funds ? pic.twitter.com/dFB1gzlzR3
Wed Aug 19 03:52:38 PDT 2015 --  Iv cracked it !!! Last night Bale got whistled by the Madrid fans AGAIN. Today we end interest in Pedro. You know what that means. Gaitan !
Wed Aug 19 04:00:14 PDT 2015 --  "I just think we should stay friends" - don't take the piss Julie from Accounts, we've never been friends and never will be.
Wed Aug 19 00:44:29 PDT 2015 --  Don't take it so personally @deadmau5 I'm sure I'm not the only one who fucked your girl, you can have her back
Wed Aug 19 02:24:05 PDT 2015 --  I see why some girls will make owning a house a requirement for marriage. The movie house choppings chaw too much
Wed Aug 19 02:19:59 PDT 2015 --  18-25 sets marriage standards 26-30 starts unsetting 30-40 sugar mommy
Mon Aug 03 22:55:55 PDT 2015 --  Me when I have my first child pic.twitter.com/qSt385Jhd5
Mon Aug 17 07:39:48 PDT 2015 --  This nigga prolly thought he was gon chop off the head of the goat with one strike... Valyrian Steel style pic.twitter.com/ZRfcUpUvY0
Wed Aug 19 03:38:54 PDT 2015 --  Jose Mourinho reading the reactions of #MUFC fans when they hear Pedro's off to Chelsea for a medical... https://vine.co/v/ML90ZFTM3UQ 
Tue Aug 18 18:25:27 PDT 2015 --  Hey check out all the morally bankrupt employees using Ashley Madison from @jpmorgan @bankofamerica @un and @amazon pic.twitter.com/NfR0r28lWg
Tue Aug 18 14:15:37 PDT 2015 --  Smh when I think of how my twi sounds and this nigga killing it kmt https://twitter.com/mschxn/status/633218539671977984 …
Tue Aug 18 13:39:27 PDT 2015 --  Love how everybody is defending Rooney and mock @Fellaini and the big man has just done more in a short cameo than Rooney has in 3 games.
Tue Aug 18 11:01:00 PDT 2015 --  "Straight Outta Compton" is the movie that is, by definition, a "surprise" hit: http://onforb.es/1JopoZP  pic.twitter.com/YgeprnqwkP
Tue Aug 18 10:45:30 PDT 2015 --  Spurs have made an £18m bid for Saido Berahino, let's do the math: pic.twitter.com/wpzz25c8ze
Tue Aug 18 07:27:07 PDT 2015 --  Don't save her, she don't wanna be saved “ @BSO: J Cole Breaks Up With GF After 3rd Marriage Proposal pic.twitter.com/hjxIb2Awpn”
Thu Aug 13 07:05:01 PDT 2015 --  Call duration before sex 00:56:23 Call duration after sex 00:00:59
Tue Aug 18 08:07:50 PDT 2015 --  Silicon Valley rent is absolutely insane pic.twitter.com/kOevoDgJ6S
Mon Aug 17 09:10:40 PDT 2015 --  Bugzy Malone 🏻🏻
Mon Aug 17 19:20:31 PDT 2015 --  LOL. https://twitter.com/iam_kashdoll/status/633382987850059776 …
Mon Aug 17 13:40:18 PDT 2015 --  Swipe up. Just do it. pic.twitter.com/R5n33RIXfP
Mon Aug 17 14:12:24 PDT 2015 --  500 dead in 17 days. Such a shame. Both parties should resolve this problem already
Mon Aug 17 10:24:00 PDT 2015 --  WATCH our latest #FanDenial video - How #CFC fans reacted to their defeat by #MCFC yesterday: https://amp.twimg.com/v/de82bae9-a487-4ac8-9f40-3c8248ffa89d …
Mon Aug 17 07:12:13 PDT 2015 --  https://twitter.com/zoydpls/status/632958260383870976 …
Sun Aug 16 17:44:42 PDT 2015 --  Dawg pic.twitter.com/muR6mZ1yL5
Sun Aug 16 13:00:04 PDT 2015 --  Darth Vader PS4 bundles cater to your 'Star Wars' cravings http://engt.co/1IWhpxx  pic.twitter.com/Pw3MTohfmM
Sun Aug 16 11:50:50 PDT 2015 --  #StraightOuttaCompton tops the charts this weekend with $56.1M - Nearly doubling its production budget of $29M pic.twitter.com/GeF7tOj8JM
Sun Aug 16 11:50:25 PDT 2015 --  Love you bro @JmeBBK more blessings. 🏾 pic.twitter.com/qrQmG3Ci0M
Sun Aug 16 11:27:12 PDT 2015 --  Let's play José Mourinho Blame Roulette. #CFC https://vine.co/v/ep1QKFZmzYa 
Sun May 18 07:44:08 PDT 2014 --  when i snitched on my uncle to the immigration for a drake concert fam pic.twitter.com/CNOtR91Ijv
Sun Aug 16 10:49:03 PDT 2015 --  Internet has gone off on Chelsea hahaha pic.twitter.com/szVqNHAThW
Sun Aug 16 08:56:54 PDT 2015 --  Eden Hazard failed to complete a single take-on in the first half vs. Man City. pic.twitter.com/2zkdtQ4r4T
Sun Aug 16 09:53:32 PDT 2015 --  Someone show Cesc the calendar. It's August, not January yet.
Sun Aug 16 09:37:25 PDT 2015 --  I think Ivanovic's twin brother may have turned up this season.
Sun Aug 16 09:41:54 PDT 2015 --  I would too https://twitter.com/__arsenalnews_/status/632945234670915585 …
Sun Aug 16 07:19:10 PDT 2015 --  You're waiting for God to bless you, but He's waiting for you to thank Him for what He's already done. Believe it...and you'll see it!
Sun Aug 16 05:46:55 PDT 2015 --  That goal. Agility. Ability. Technique. Blonde highlights. Abs. Beauty. The love of my life, Olivier Giroud. #Arsenal
Sun Aug 16 05:45:37 PDT 2015 --  GOAL! A finish as beautiful as the man himself, Olivier Giroud!
Sat Aug 15 10:04:49 PDT 2015 --  Tuchel and his Dortmund side straight out of the blocks.
Fri Aug 14 13:49:15 PDT 2015 --  cool as the unthawed but i still feel possessed as a gun charge https://twitter.com/lupefiasco/status/632292024578887680 …
Fri Aug 14 13:49:20 PDT 2015 --  @LupeFiasco if you came to box you'll leave in a bag
Fri Aug 14 13:49:56 PDT 2015 --  Critics say I fell off, I acknowledge a slip, but what you call falling from space into bottomless pit? https://twitter.com/lupefiasco/status/632292024578887680 …
Fri Aug 14 13:51:38 PDT 2015 --  "That's where I keep my bars like bathtub edges"... #lupepunchlines https://twitter.com/LupeFiasco/status/632292024578887680 …
Fri Aug 14 13:47:08 PDT 2015 --  Agbonlahor > Rooney: Manchester United captain destroyed on Twitter for shocker v Aston Villa http://www.101greatgoals.com/blog/agbonlahor-rooney-manchester-united-captain-destroyed-on-twitter-for-shocker-v-aston-villa/ … pic.twitter.com/R9JDUaoieV
Thu Aug 13 10:32:20 PDT 2015 --  First touch level = Wilfried Bony pic.twitter.com/yUMDBfbiCS
Fri Apr 10 17:20:09 PDT 2015 --  bruh Obama met the Prime Minister of Jamaica yesterday and the rest is history.. pic.twitter.com/dAYf9CM9Ky
Thu Aug 13 07:11:19 PDT 2015 --  "I mean, we got some civil unrest but I can still come through." pic.twitter.com/lZnDZnJZz1
Thu Aug 13 08:50:56 PDT 2015 --  Miss your Blackberry? Samsung has good news... http://www.engadget.com/2015/08/13/samsung-keyboard-cover// …
Wed Aug 12 15:52:30 PDT 2015 --  Gokuniqua pic.twitter.com/hA5ErkBKDg
Wed Aug 12 13:15:46 PDT 2015 --  20 million copies. RT @j_arteta: Timbaland really just said this right now..... pic.twitter.com/oUPN8iDTXx
Fri Sep 19 09:10:53 PDT 2014 --  “ @saymarissa: “ @DJZeeti: twitpic a sideboob selfie” pic.twitter.com/tMtYKzDl8s” You don't follow instructions
Wed Aug 12 12:12:09 PDT 2015 --  Lmao https://twitter.com/hoeverses/status/630879716745084928 …
Mon Jul 27 10:26:55 PDT 2015 --  Ibrahim Afellay claims Liverpool made a late bid for him but says he has "more chance to win trophies with Stoke." pic.twitter.com/nngov9fFGA
Wed Aug 12 08:33:13 PDT 2015 --  https://twitter.com/goaluk/status/631487171137011712 …
Wed Aug 12 07:34:33 PDT 2015 --  Warren Buffett -- Bring It in Close, Ladies!! Fires Up Lingerie Football Team (VIDEO) http://dlvr.it/BqR3cl 
Thu Jul 02 15:38:28 PDT 2015 --  MILLY ROCK ON ANY BLOCK pic.twitter.com/TCQ4qungGg
Wed Aug 12 02:01:24 PDT 2015 --  On this mornings episode of #IWasInMyHouseAndTrailerCameToJamMe pic.twitter.com/GcW4ZbTsqJ
Tue Aug 11 11:24:48 PDT 2015 --  Wizkid has had the best summer pic.twitter.com/sJB2Op2lUc
Mon Aug 10 13:48:34 PDT 2015 --  First Meek Mill... now this @IAMSAFAREE pic.twitter.com/P4yvTG4CDz
Tue Aug 11 14:53:35 PDT 2015 --  pic.twitter.com/hzeVVYSRWH
Sun Aug 09 12:42:06 PDT 2015 --  Bruh..... There ain't NO brotherly Love in Philly .. Look how they doing Meek Mill @ The Eagles Stadium .. SMH pic.twitter.com/N1zNJQIwkR
Fri Aug 07 16:06:02 PDT 2015 --  CBS officially the greatest network of all time lmaoooo pic.twitter.com/AZCemBZdaq
Sun Aug 02 06:54:13 PDT 2015 --  #鬱な気分が吹っ飛ぶ動画ください pic.twitter.com/R25jroNl78
Sat Aug 01 14:39:42 PDT 2015 --  Hahaa smh! @masaku_: Lord Bendtner posing with his fans pic.twitter.com/5DIgrhZAnm
Sat Aug 01 13:55:04 PDT 2015 --  Nicklas Bendtner scored an 89th minute equaliser before converting the winning penalty in the shoot-out. pic.twitter.com/LFqmQ0X3cP
Sat Aug 01 13:41:59 PDT 2015 --  Wolfsburg 1-1 Bayern Munich (5-4 on pens) FT: Wolfsburg beat Bayern Munich on penalties to lift the German Super Cup pic.twitter.com/J35ngJX4g8
Sat Aug 01 09:31:46 PDT 2015 --  #NigeriansAtHogwarts Girl: "I think I'm pregnant". *Boy: "Foetus Deletus !!!!"
Sat Aug 01 03:52:44 PDT 2015 --  Apparently Berbatov is very close to joining Aston Villa, a nice excuse to have a look at this: https://vine.co/v/M1EzlHQO1VZ 
Fri Jul 31 12:01:45 PDT 2015 --  Southampton were beaten 7-0 by Ghanaian side Right to Dream in the junior Milk Cup final. http://bbc.in/1DWmpQG  pic.twitter.com/jxs37BnDcP
Fri Jul 31 23:00:13 PDT 2015 --  My mans Meek wore the same shirt baaaack to Baaaack. pic.twitter.com/EUVVG195v1
Fri Jul 31 03:09:28 PDT 2015 --  Aburo @MeekMill you try jor. No answer anybody again. make we go shayo. pic.twitter.com/PrN2Y1axMy
Thu Jul 30 21:40:35 PDT 2015 --  Lmaoooo WANNA KNOW WHO DID THIS?! Yall just hating now pic.twitter.com/Z8lDLhk76f
Thu Jul 30 19:50:38 PDT 2015 --  LMFAOOOOO How you bring up money to a nigga worth 72 million more than you???? Where the logic???
Thu Jul 30 20:21:27 PDT 2015 --  Meek Mill's Photoshop skills are worse than his diss track http://www.theverge.com/tldr/2015/7/30/9077337/meek-mill-drake-milli-vanilli-terrible-photoshop … pic.twitter.com/y1c48EHayT
Thu Jul 30 20:41:32 PDT 2015 --  Great minds think alike https://twitter.com/mrappenteng/status/626960601928044544 …
Thu Jul 30 21:22:36 PDT 2015 --  LMAOOOO https://twitter.com/brazzers/status/626964172010586113 …
Thu Jul 30 20:18:58 PDT 2015 --  Bruh! Niggas in Meek mentions asking if they can ghostwrite for him lol
Wed Jul 29 14:13:10 PDT 2015 --  "Law & Order" director busted on child porn charges http://nyp.st/1fIxxup  pic.twitter.com/BcIIf5fH36
Thu Jul 30 12:16:46 PDT 2015 --  Tidal aint finding investors... Jay Z losing tons of Money.. He's about to Dip on yall. He aint tryna file no Personal bankruptcy for Tidal
Thu Jul 30 14:15:01 PDT 2015 --  ICYMI: Diego Costa's new biography is out this week. Should be a good read... pic.twitter.com/hcP5tS1ZE0
Thu Jul 30 14:16:48 PDT 2015 --  Tension runs high in the first trailer for Cary Fukunaga's upcoming drama ' #BeastsofNoNation.' http://hypb.st/xr9l0  pic.twitter.com/5sBH6l1fy4
Thu Jul 30 06:40:01 PDT 2015 --  "Mr. Robot" continues to impress: http://onforb.es/1eCRF0e  pic.twitter.com/eWL9MO78b5
Thu Jul 30 06:37:40 PDT 2015 --  Jeremy Clarkson, Former ‘Top Gear’ Host, Announces Deal With Amazon http://nyti.ms/1DbRhlq 
Thu Jul 30 03:51:44 PDT 2015 --  State schools in developing countries may provide cooked meals and books, but little teaching http://econ.st/1Sjz9g1  pic.twitter.com/Fx5mZXoAzW
Wed Jul 29 22:56:56 PDT 2015 --  Meek Mill's Philadelphia Phillies lost by 6ix to Drake's Toronto Blue Jays. This can not get any more ironic. pic.twitter.com/Btb0qs7bWE
Sat May 02 01:45:09 PDT 2015 --  12. U start feeling concerned, down, wishing ur own man could be like him, a soft, kind, loving man...ur defences are gone...like Liverpool.
Wed Jul 29 23:04:39 PDT 2015 --  No casinos in America even crack the top 15 highest-grossing in the world. Most are in Macau http://econ.st/1D9fOrg  pic.twitter.com/frV8ob2Xf1
Wed Jul 29 10:18:10 PDT 2015 --  Guys that was just a joke tweet we are not a rap account why are people suddenly DMing us their mixtapes.
Wed Jul 29 10:15:04 PDT 2015 --  BATTLE OF THE DAY: RT for DRAKE FAV for MEEK MILL pic.twitter.com/tHNZCIeJ27
Mon Jul 27 08:06:56 PDT 2015 --  wtf ace hood pic.twitter.com/8fYupcPTVr
Wed Jul 29 08:10:43 PDT 2015 --  nigga really sent the bottles RT @cthagod: "You going to make me buy bottles for Charlamagne" Drake living his raps. https://instagram.com/p/5uWHk5TNbS/ 
Wed Jul 29 09:26:08 PDT 2015 --  I don't believe it! https://twitter.com/onlyhiphopfacts/status/626421283950067712 …
Wed Jul 29 07:24:52 PDT 2015 --  Drake Donates $75k To Philly School To Help Kids Succeed http://huff.to/1GswZQR  via @blackvoices
Wed Jul 29 07:33:03 PDT 2015 --  Cam'ron​ ain't playing around.... pic.twitter.com/QUJZlhOV9D
Tue Jul 28 20:42:43 PDT 2015 --  https://twitter.com/yung_wifebeater/status/626152784409157633 …
Tue Jul 28 20:17:46 PDT 2015 --  Mourinho: "Benitez's wife? She should be more concerned about the diet of her husband rather than speak about me." #CFC
Wed Jul 29 04:41:21 PDT 2015 --  LMAO https://twitter.com/mbalulafikile/status/626344593408323584 …
Wed Jul 29 04:33:11 PDT 2015 --  Dissed that nigga over a beat the bitches can twerk to... That boy smart lol
Wed Jul 29 06:46:20 PDT 2015 --  According to some rap music is only for people who are from the struggle.
