Sat Aug 29 11:00:12 PDT 2015 --  Le lézard le plus badass ! #badass pic.twitter.com/ipdelM0Q2h
Tue Aug 04 01:44:33 PDT 2015 --  ça se prononce comme ça s'écrit pic.twitter.com/8cKy1o05Af
Sat Aug 15 12:03:45 PDT 2015 --  Pirates of the Caribbean: Dead Men Tell No Tales will set sail July 7, 2017 #D23Expo pic.twitter.com/oe3ztAolXX
Sat Aug 15 12:36:41 PDT 2015 --  Cet ours et ce loup sont les meilleurs amis du monde Ils jouent, chassent et vivent ensemble pic.twitter.com/Tmy3bWS0GX
Thu Aug 13 01:57:41 PDT 2015 --  Entraîne toi comme un athlète, mange comme un nutritionniste, dors comme un bébé, triomphe comme un champion. 🏽
Thu Aug 13 12:09:10 PDT 2015 --  C'est quoi l'histoire avec l'épisode 5 de DBSuper? J'ai lu manque de budget ou je sais pas quoi pic.twitter.com/8ry7xDhwLD
Fri Aug 07 12:10:52 PDT 2015 --  A la base jvoulais juste avoir des technique pr frauder puis c parti en couille le controleur c devenu mon gars sur pic.twitter.com/xix1yK3wj5
Fri Aug 07 14:30:07 PDT 2015 --  Time to die. http://9gag.com/gag/a4LRqQ6?ref=tp … pic.twitter.com/xOFVVZjxH1
Thu Aug 06 12:55:00 PDT 2015 --  ICYMI: Uplink is back in #BlackOps3! http://bit.ly/1hjFLu4  pic.twitter.com/t7Fsou86AZ
Thu Aug 06 11:06:01 PDT 2015 --  J'aime une vidéo @YouTube : "Hans Zimmer - A Watchful Guardian The Dark Knight" à l'adresse http://youtu.be/buejiFXN7Hw?a .
Thu Aug 06 08:58:01 PDT 2015 --  J'aime une vidéo @YouTube de @sup3rkonar - GTA 5 online - Best of funny moments #42 (Brigade Anti-Troll) http://youtu.be/GsSSehVoOVc?a 
Wed Aug 05 09:38:26 PDT 2015 --  Ta raté ton enfance si ta jamais fait ça. pic.twitter.com/LDWXB3NwL2
Wed Aug 05 17:29:12 PDT 2015 --  J'aime une vidéo @YouTube : "Comment ça aurait dû finir : Harry Potter" à l'adresse http://youtu.be/234ysIN9bRQ?a .
Wed Aug 05 09:10:13 PDT 2015 --  #SneakyPete: 1er trailer de la série qui marque le retour de #BryanCranston après #BreakingBad http://www.allocine.fr/article/fichearticle_gen_carticle=18644851.html … pic.twitter.com/ts20zcBK9y
Sun May 10 03:35:49 PDT 2015 --  Le journal tunisien c'est vraiment des incapables pic.twitter.com/yotxiBYfhj
Wed Aug 05 02:26:03 PDT 2015 --  Continuez à boire n'importe quoi vous allez finir comme ça http://vine.co/v/Om9Ab167BnA 
Wed Aug 05 02:04:00 PDT 2015 --  Je veux Uncharted 4 là maintenant tout de suite.
Tue Aug 04 09:00:07 PDT 2015 --  RT et tweet avec #XboxGamescom pour tenter de gagner la pack ultime du gamer ! pic.twitter.com/Tiksrgeu8N
Wed Aug 05 01:35:12 PDT 2015 --  J'aime une vidéo @YouTube de @filmsactu - DEADPOOL Bande Annonce VOST (2016) http://youtu.be/qFTSfxVWxMg?a 
Tue Aug 04 15:24:40 PDT 2015 --  #Ted2 J'espère qu'il est aussi excellent que le 1 :)
Tue Aug 04 15:17:01 PDT 2015 --  PLUS JE DORS ET PLUS J'SUIS FATIGUÉ, VA COMPRENDRE LE CONCEPT
Fri Jul 24 11:24:59 PDT 2015 --  wsh c'est quand elle respire mdrrr ? pic.twitter.com/LfRLgM5R6I
Tue Aug 04 03:11:19 PDT 2015 --  Putain vivement que je parte ce week-end !
Tue Aug 04 02:50:24 PDT 2015 --  J'aime une vidéo @YouTube de @filmsactu - "Vous allez vous chier dessus" DEADPOOL, le teaser de la Bande Annonce
Mon Aug 03 13:48:09 PDT 2015 --  J'aime une vidéo @YouTube de @kenshin9977 - Exo-Zombie : Descent | Aperçu & #FRFirst http://youtu.be/46PpOagtpZA?a 
Mon Aug 03 13:30:37 PDT 2015 --  des fois je m'insulte tout seul genre "putain t'es con" heureusement que j'ai peur de moi sinon se serait parti en clash depuis longtemps
Mon Aug 03 13:23:42 PDT 2015 --  Comment je me sens après avoir mangé : pic.twitter.com/F4N6Y3p7Zb
Sun Aug 02 12:26:04 PDT 2015 --  pic.twitter.com/XRNKhyvnNk
Sun Aug 02 12:16:11 PDT 2015 --  Et en vrai , le mois d'Aout c'est un peu le dimanche de l'été ...
Sat May 24 09:10:04 PDT 2014 --  Moi quand j'prepare un mauvais coup pic.twitter.com/wz7w3lPdrf
Sun Aug 02 05:26:03 PDT 2015 --  Comment tuer un rêve https://vine.co/v/OA0O9ngn5LQ 
Sun Aug 02 05:34:46 PDT 2015 --  La sixième saison de #TheWalkingDead promet d'être grandiose, #RT si t'es d'accord ! pic.twitter.com/lLyvZ0jmRm
Sun Aug 02 03:00:03 PDT 2015 --  pic.twitter.com/6UvO8HXal8
Sun Aug 02 03:00:20 PDT 2015 --  Ne pas oser parler à une personne qu'on aime, de peur de la faire chier. <<<<<<<<<<<<<<<<
Sun Aug 02 03:19:29 PDT 2015 --  Arrêtez de chercher, le respect est mort il y a bien longtemps. Il est à côté de moi là
Fri Jul 17 13:00:10 PDT 2015 --  Quand on t'embrouille dés le matin https://vine.co/v/O6tJzTpIF90 
Sun Jun 28 12:58:57 PDT 2015 --  Ptdrrrrr les Sénégalais vous etes fatiguant pic.twitter.com/YjaQ7NKmdP
Sat Aug 01 13:09:26 PDT 2015 --  Moustiques everywhere
Sat Aug 01 13:09:19 PDT 2015 --  Moustiques moustiques moustiques moustiques moustiques moustiques moustiques moustiques moustiques moustiques moustiques mousitiques
Sat Aug 01 11:00:23 PDT 2015 --  Les gens qui prononcent ton prénom quand un prof ne sait pas qui interroger : Mourrez d'une mort lente et douloureuse.
Sat Aug 01 09:58:19 PDT 2015 --  J'suis mort ptdrrrr regardez bien son ombre pic.twitter.com/PQEGgwJEOK
Wed Jul 29 10:11:25 PDT 2015 --  Y'a toujours des périodes où tu t'en fou de tout
Wed Jul 15 05:46:23 PDT 2015 --  J'dis "mdr" qd je rigole, qd je rigole pas, qd j'ai le seum, qd jsais pas quoi dire, qd j'ai la flemme de repondre et qd j'men fou
Tue Mar 03 09:30:23 PST 2015 --  Pour être heureux dans la vie, il faut laisser venir ce qui vient et laisser partir ce qui s'en va pic.twitter.com/5vC3PGhLeh
Tue Jun 23 08:55:51 PDT 2015 --  -Monsieur vous êtes en état d'arrestation ! -Niké vaux mères ont vous donneras jamais Roger pic.twitter.com/d3q0eL8yAD
Sat Aug 01 02:49:42 PDT 2015 --  «- Pourquoi on s’emmerde ? - À quoi ? - À aimer les gens.» Skins
Sat Aug 01 04:48:58 PDT 2015 --  J'aime une vidéo @YouTube de @oodemoniiak - EVIE LA COCHONNE ! (Délire Fun) OoDemoniiak http://youtu.be/UrNHfKK5ncU?a 
Sat Aug 01 02:10:28 PDT 2015 --  Quelqu'un peut m'expliquer quelle est la différence entre ces emojis ? pic.twitter.com/o4LOY7kXJq
Fri Jul 31 10:00:08 PDT 2015 --  Le meilleur ! pic.twitter.com/Pbw84J2OS0
Thu Jul 30 12:49:09 PDT 2015 --  Âme sensible s'abstenir . pic.twitter.com/3naOuxq0fg
Thu Jul 30 09:28:57 PDT 2015 --  #MeilleurGenerique Perso j'hésite trop entre celui de Daredevil ou de Malcolm
Thu Jul 30 06:58:05 PDT 2015 --  J'aime une vidéo @YouTube : "[Minecraft] Lucky Défis !" à l'adresse http://youtu.be/-bf0JJNzELI?a .
Thu Jul 30 04:15:44 PDT 2015 --  J'aime une vidéo @YouTube : "POURQUOI JE CRIE TOUT LE TEMPS DANS MES VIDEOS?" à l'adresse http://youtu.be/LEsImYKvXxI?a .
Thu Jul 30 03:44:02 PDT 2015 --  Elle me met tellement bien https://vine.co/v/eXHYJwg3BxK 
Mon Jul 27 06:13:44 PDT 2015 --  Voici tout ce qui a changé entre 2005 et 2015 ! http://bit.ly/1I4C7uD 
Mon Jun 22 10:29:35 PDT 2015 --  Les jaloux diront chocolatine, les vrais diront pain au chocolat pic.twitter.com/CO3bJz5JGC
Thu Jul 30 03:05:27 PDT 2015 --  Voici ce qu'a fait Zidane lors de son premier match en Equipe de France #LEGENDE pic.twitter.com/y88RmX3DcL
Thu Jul 30 03:11:02 PDT 2015 --  Pour nous c'est plus qu'un ami... c'est un frère d'armes. https://www.facebook.com/armee2terre/posts/940772262630726:0 … pic.twitter.com/CyRBNxBAGJ
Thu Jul 30 03:26:11 PDT 2015 --  Happy International Day of Friendship http://9gag.com/gag/azV9YLm?ref=tp … pic.twitter.com/s58VISWeO0
Thu Jul 30 03:15:27 PDT 2015 --  J'aime une vidéo @YouTube : "Nekfeu - Wind you up (Lucas valentin casse les couilles)" à l'adresse http://youtu.be/M5w2F40okkM?a .
Wed Jul 29 11:07:07 PDT 2015 --  J'aime une vidéo @YouTube : "Les meilleurs moments de GT GABI #4" à l'adresse http://youtu.be/Ba7pIBFtrOI?a .
Wed Jul 29 08:57:34 PDT 2015 --  J'espère que #WalterPalmer sera condamné à se prendre un ananas dans le cul toutes les heures jusqu'à sa mort.
Thu Jul 09 13:16:28 PDT 2015 --  Des études ont trouvés que les hommes préfèrent plus les femmes qui ne portent pas trop de maquillage et qui se montrent naturelles.
Wed Jul 29 09:48:19 PDT 2015 --  Les mecs qui parlent de moi en mode "J'ai la confiance" oubliez pas que j'ai l'âge de soulevez vos daronnes.
Wed Jul 29 08:53:37 PDT 2015 --  PTDRRRRRRR pic.twitter.com/teyvC87m1M
Mon Jul 27 17:42:45 PDT 2015 --  La langue française n'a pas atteint ses limites pic.twitter.com/sa24oIk4l7
Wed Jul 29 04:26:19 PDT 2015 --  J'attends toujours #Windows10
