Sat Aug 29 05:22:49 PDT 2015 --  Therefore,there is now no condemnation for those who are in Christ Jesus. Romans-8-1
Mon Jun 01 12:55:24 PDT 2015 --  Just finished a confrence call about the Fall US tour. Gonna be great, lots more info in a week or two. -Z
Mon Jun 01 14:57:00 PDT 2015 --  Tell me more about this victim role you play due to the circumstances that you’ve created for yourself.
Mon Jun 01 19:07:29 PDT 2015 --  @WaltDisneyWorld My entry tweet: https://twitter.com/SillyStephWhat/status/605554193705730050?s=09 …
Tue May 26 11:13:01 PDT 2015 --  It’s hard to win an argument with a smart person, but it’s damn near impossible to win an argument with a stupid person.
Mon May 25 20:45:49 PDT 2015 --  "Hardships often prepare ordinary people for an extraordinary destiny." ~ #CSLewis
Thu May 21 14:26:17 PDT 2015 --  No thermostat is as effective at regulating temperature as sticking a foot out from under the bed covers.
Fri May 08 15:20:02 PDT 2015 --  First world problems: I couldn’t hear the TV so I had to stop eating chips.
Wed May 06 09:50:12 PDT 2015 --  Bored, so I’m going to find a kid that looks like me and tell him I’m him from the future.
Wed May 06 09:53:16 PDT 2015 --  There is no expiration date on EVIL.
Wed May 06 09:59:21 PDT 2015 --  If people are easily led, then it stands to reason that they are also easily misled.
Mon May 04 20:30:49 PDT 2015 --  "Really great moral teachers never do introduce new moralities: it is quacks and cranks who do that." ~ #CSLewis
Tue May 05 07:46:33 PDT 2015 --  I want to express my support to the men and women of America's police forces who daily lay their lives on the line to protect my family.
Tue May 05 10:08:01 PDT 2015 --  When life gives you lemonade, add vodka.
Tue May 05 12:19:08 PDT 2015 --  I'm not lazy, I'm on energy saving mode.
Wed May 06 04:20:02 PDT 2015 --  But seek first the kingdom of God and His righteousness ,and all these things will be added to you. Matthew6-33
Tue May 05 23:28:46 PDT 2015 --  When I get in the car at night and it's raining, I always look around for a T-Rex. #DinosaurProblems -Z pic.twitter.com/2U19SJhtZb
Tue May 05 23:52:20 PDT 2015 --  Who would plan a 9+ hour meeting? -Z https://twitter.com/jodievictoriia/status/595838456410087424 …
Mon May 04 05:18:22 PDT 2015 --  Come u to Me,all you that labour and are heavy laden,and I will give you rest. Matthew-11-25
Sun May 03 15:03:00 PDT 2015 --  Whenever I delete an app on my iPhone, the shaking icons make me feel like they're panicking over who's getting cut next.
Sun May 03 17:32:01 PDT 2015 --  Just saw the #AvengersAgeOfUltron it was entertaining, but also disappointing. -Z
Sat May 02 19:03:00 PDT 2015 --  If there was an award for laziness, I’d probably send someone to pick it up for me.
Sat May 02 19:22:08 PDT 2015 --  "Stressed backwards spells desserts." This might explain why I eat all my feelings.
Fri May 01 19:00:01 PDT 2015 --  Pizza doesn’t ask questions. Pizza understands.
Sat May 02 02:14:34 PDT 2015 --  Who of you by worrying can add a single hour to his life? Luke-12
Thu Apr 30 15:49:02 PDT 2015 --  Baby pulled from rubble in #Nepal. "To save a human life, we’ll risk almost anything" http://nrlc.cc/1GJz7Fc  pic.twitter.com/AOIyyo0JFe
Wed Apr 29 03:58:08 PDT 2015 --  But seek first the kingdom of God and His righteousness,and these things will be added to you. Matthew-6-33
Tue Apr 28 15:46:01 PDT 2015 --  I hate when I’m on the treadmill and my hand accidentally hits the stop button & I have to get off and eat a bacon grilled cheese sandwich.
Tue Apr 28 15:25:24 PDT 2015 --  I already want to take a nap tomorrow.
Sun Apr 26 12:24:07 PDT 2015 --  Cop behind me just turned. Best unfollow ever.
Sun Apr 26 13:50:00 PDT 2015 --  The snooze button, because there’s nothing like starting your day off with a little procrastination.
Sun Apr 26 15:03:02 PDT 2015 --  Make sure you head to the @TCraftBeerWeek event at @FurShopTulsa for today's chance to win a Hop Jam VIP Ticket!
Thu Apr 23 13:18:49 PDT 2015 --  Great event today with @tulsalibrary at @foodonthemoveok! @hansonmusic @GroganontheGO pic.twitter.com/BIL3h5toQq
Sat Apr 18 14:13:23 PDT 2015 --  Thought for the day: When did it change from "We the people" to "screw the people" ?
Sat Apr 18 01:00:02 PDT 2015 --  Xenophobia: Rubber bullets, tear gas, and pleas for it to stop http://n24.cm/1cFYi1x 
Thu Apr 16 15:54:03 PDT 2015 --  Han - "Chewie, were home" I love seeing Han and Chewie it's like getting the band back together. -Z pic.twitter.com/11GgLcpIoF
Tue Apr 14 18:17:36 PDT 2015 --  I'm going to the gym now. Not bragging. Just want you to know where to send the ambulance in case I don't make it.
Mon Apr 13 12:05:19 PDT 2015 --  To all those who received a book from me as a Christmas present, they are due back at the library today..
Mon Apr 13 16:00:12 PDT 2015 --  Just saw a Smart Car hit a squirrel. Don't worry the squirrel is fine. pic.twitter.com/9tavUeyp9T
Mon Apr 13 23:59:33 PDT 2015 --  German man just brought me my laptop that was left at airport security... Score one for Germany -Z
Tue Apr 14 02:13:15 PDT 2015 --  I have set the Lord always before me.Because He is at my right hand,I will not be shaken. Psalm-16-8
Sat Apr 11 16:08:12 PDT 2015 --  Naps are tricky, you either wake up refreshed and relaxed, or you have a headache, dry throat, and no idea what year you’re in.
Sat Apr 11 13:50:07 PDT 2015 --  Money doesn't buy happiness, but but I'd much rather cry in a Ferrari than on a bicycle.
Sat Apr 11 06:34:21 PDT 2015 --  That if you confess with your mouth,"Jesus is Lord"and believe in your heart that God raised Him from the dead,you will be saved. Romans-10
Fri Apr 10 04:15:08 PDT 2015 --  Not all cops are bad. Not all black folks are criminals. Not all white folks are racist. Stop labelin'. We're all Americans, act like it.
Sat Apr 04 04:21:35 PDT 2015 --  The Son is the radiance of God's glory and the exact representation of His being;sustaining all things by His powerful word. Hebrews-1-3
Sat Apr 04 06:34:02 PDT 2015 --  HE HAS RISEN!
Sat Apr 04 15:03:05 PDT 2015 --  Fool me once, shame on you. Fool me twice, shame on me. Fool me 300,000 times, well then you’re probably a weatherman.
Sat Apr 04 16:08:01 PDT 2015 --  So, if I lie to the government, it’s a felony. But if they lie to me its politics?
Sun Apr 05 03:59:26 PDT 2015 --  He is not here;He has risen,just as He said. Matthew-28-6
Sun Apr 05 04:06:13 PDT 2015 --  Morning prayer Lord help us to remember that we only get one shot at treating today like the unique gift that it is.
Tue Mar 31 03:21:51 PDT 2015 --  You will seek Me and find Me when you seek Me with all your heart. Jeremiah-29-13
Sat Mar 28 00:00:50 PDT 2015 --  Congrats @hansonmusic! If you'd like to see Hanson on our Summer 2015 cover, you must retweet THIS tweet. No replies will count. #RT
Fri Mar 27 04:06:53 PDT 2015 --  For God so loved the world that He gave his only begotten Son ,that whosoever believeth in Him should not perish but have everlasting life.
Mon Mar 23 14:57:04 PDT 2015 --  I do my best proofreading after I hit send.
Mon Mar 23 03:06:58 PDT 2015 --  Forget the former things,do not dwell in the past.See I am doing a new thing. Isaiah-43
Mon Mar 16 17:56:43 PDT 2015 --  Amazing #sunset in Tulsa right now. -Z pic.twitter.com/iAQ1P1PGwu
Fri Mar 13 15:27:06 PDT 2015 --  You are either a serial killer or Zac Hanson when you back seat looks like this. -Z pic.twitter.com/t04ZY0XRCL
Fri Mar 13 17:02:43 PDT 2015 --  You find out the strength of a wind by trying to walk against it-We never find out the strength of the evil impulse until we try to fight it
Thu Mar 12 23:53:04 PDT 2015 --  What then shall we say to these things?If God is for us who can be against us. Romans-8-31
Thu Mar 12 18:02:35 PDT 2015 --  “No man knows how bad he is till he has tried very hard to be good." ~ #CSLewis
Sat Mar 07 22:00:01 PST 2015 --  I have set the Lord always before me.Because He is at my right hand I will not be shaken. Psalm-16-8
Fri Mar 06 19:00:27 PST 2015 --  "Every man needs a solid weapon and a high protein diet -Zac Hanson" now on http://Hanson.net  #MembersOnlyStream pic.twitter.com/ckfU47rFVh
Fri Mar 06 18:50:13 PST 2015 --  Taylor takes over on the drums during HANSON's #MembersOnlyStream on now. pic.twitter.com/maIlFJcO02
Fri Mar 06 19:58:01 PST 2015 --  @WalkingDead_AMC @JepDuckman & I are ready to join the team! #zombiesquad #gameon @silencerco pic.twitter.com/4W7KiyWOsH
Fri Mar 06 23:58:34 PST 2015 --  But seek first His Kingdom and His righteousness,and all these things will be given to you as well Matthew-6-33
Tue Mar 03 17:43:42 PST 2015 --  Friendship is unnecessary, like philosophy, like art, it has no survival value-rather it is one of those things which give value to survival
Tue Mar 03 18:31:04 PST 2015 --  It's really hard to see the humanity in people who hold mass beheadings.
Tue Mar 03 07:11:13 PST 2015 --  "In our own case we accept excuses too easily; in other people's, we do not accept them easily enough." #CSLewis, The Weight of Glory
Wed Mar 04 04:03:53 PST 2015 --  And we know that all things work together for good for those who love God,to those who are called according to His purpose. Romans 8-28
Wed Mar 04 04:12:25 PST 2015 --  Morning prayer Lord give us the strength and grace that after clearing our path today we take the time to help someone else clear their's.
Sun Mar 01 05:19:06 PST 2015 --  For God did not send His Son into the world to condemn the world,but to save the world through Him. John-3-17
Sun Mar 01 11:05:00 PST 2015 --  Money doesn't buy happiness, but but I'd much rather cry in a Ferrari than on a bicycle.
Sat Feb 28 04:55:11 PST 2015 --  Now may the Lord of peace Himself give you peace at all times and in every way.The Lord be with all of you. 2 Thessalonians-3-16
Sat Feb 28 05:05:11 PST 2015 --  Morning prayer Lord give us the strength to get through this day and to leave tomorrow's problems alone until they arrive.
Fri Feb 27 04:51:45 PST 2015 --  Hypocrite!First remove the plank from your own eye,then you will see clearly to remove the spec that is in your brother's eye. Luke-6-41
Thu Feb 26 12:19:03 PST 2015 --  The fridge is a clear example that what matters is what’s inside.
Thu Feb 26 04:37:09 PST 2015 --  And we know that all things work together for good to those who love God,to those who are called according to His purpose. Romans-8-28
Mon Feb 23 13:22:08 PST 2015 --  I can't get out of bed. These blankets have accepted me as one of their own and If I leave now I might lose their trust.
Mon Feb 23 05:53:02 PST 2015 --  I am the vine,you are the branches;he who abides in me and I in him ,he bears much fruit,for apart from Me ,you can do nothing, John-15
Sat Feb 21 07:18:34 PST 2015 --  You guide me with your council and afterward you will take me into glory. Psalm-73
Fri Feb 20 13:22:02 PST 2015 --  Have you ever realized that sleeping is just your eyes staring at your eyelids all night long?
Fri Feb 20 05:13:39 PST 2015 --  Therefore,if anyone is in Christ,he is a new creation;the old has gone,the new has come. 2 Corinthians-5-17
Wed Feb 18 13:58:03 PST 2015 --  “Surely what a man does when he is taken off his guard is the best evidence for what sort of man he is.” ~ #CSLewis
Wed Feb 18 13:10:20 PST 2015 --  sometimes I use big words that I don't fully understand in an effort to make myself sound more photosynthesis
Wed Feb 18 12:36:10 PST 2015 --  Diane Harf State Department spokeswoman says we should create jobs for would be terrorists Hell lady we can't even create jobs for Americans
Wed Feb 18 04:22:37 PST 2015 --  Greater love has no one than this,that he lay down his life for his friends. John-15-13
Tue Feb 17 04:14:48 PST 2015 --  His faithful promises are your armor. Psalm-91
Tue Feb 17 07:00:49 PST 2015 --  The things you take for granted, someone else is praying for. Be grateful.
Fri Feb 06 20:07:49 PST 2015 --  Love this! pic.twitter.com/9Jp6kfuFPG
Tue Feb 17 11:54:31 PST 2015 --  Who's ready for the next season of #19Kids on @TLC? All-new tonight at 9/8c!!! @duggarfam
Mon Feb 16 13:22:04 PST 2015 --  The loudest possible way to open a bag of chips is to try and do so quietly.
Sun Feb 15 04:49:41 PST 2015 --  And now these three remain:faith,hope and love.But the greatest of these is love. 1st Corinthians-13-13
Sat Feb 14 23:09:36 PST 2015 --  I’m not sure how many problems I have because math is one of them.
Sat Feb 14 21:44:21 PST 2015 --  Hey sorry I'm late I didn't want to come.
Sat Feb 14 11:05:05 PST 2015 --  The difference between pizza and your opinion is that I asked for pizza.
Fri Feb 13 04:49:52 PST 2015 --  And you shall know the truth,and the truth will make you free. John-8-32
Thu Feb 12 20:25:37 PST 2015 --  #TeamBlake @blakeshelton Dont mess with Country boys. Learned that from my Southern wife & visiting TN. pic.twitter.com/2yx5Je2quH
Mon Feb 09 07:12:05 PST 2015 --  I wish Obama had as much compassion for protecting unborn babies as he does for protecting Islam.
Sun Feb 08 06:09:02 PST 2015 --  Ok Mr President,put aside the terrorism for a moment How does Islam treat women,Christians,Jews,gays and non Muslins And you defend this?
Sat Feb 07 15:52:00 PST 2015 --  UPS logic pic.twitter.com/5yaHOnuffg
Sat Feb 07 23:26:07 PST 2015 --  God in human form died for me. Allah wants his followers to die for him. Can't be the same fella #tcot #uniteblue #teaparty #ocra #ccot #sgp
Thu Feb 05 05:05:11 PST 2015 --  What then shall we say to these things?If God is for us ,who can be against us. Romans-8-31
Tue Feb 03 09:46:17 PST 2015 --  "It’s not the load that breaks you down. It’s the way you carry it." ~ #CSLewis
Tue Feb 03 10:12:19 PST 2015 --  O should tell Isis You've forfeited your right to breathe Youre all going 2 die Alone or with others we're coming and hell is coming with us
Tue Feb 03 10:48:06 PST 2015 --  Isis should be regarded as a pack of rabid dogs and exterminated accordingly . We either stop them there or fight them here No other options
Wed Feb 04 03:33:57 PST 2015 --  Trust in the Lord with all your heart and lean not on your own understanding. Proverbs-3-5
Mon Feb 02 05:22:59 PST 2015 --  In your unfailing love You will lead the people you have redeemed.In Your strength you will guide them to your holy dwelling. Exodus-15
Sun Feb 01 05:15:59 PST 2015 --  If the Lord delights in a man's way,He makes his steps firm; though he stumble,he will not fall,for the Lord upholds him with His hand PS-37
Wed Jan 28 23:12:19 PST 2015 --  And we know that all things work together for good to those who love God,to those who are the called according to His purpose. Romans-8-28
Wed Jan 28 07:14:47 PST 2015 --  Message to Michael Moore If violence comes in America I'll take the snipers and you can have the Hollywood bunch.
Wed Jan 28 04:51:39 PST 2015 --  Morning prayer Lord help us to handle the things that come our way today and leave tomorrow to You.
Tue Jan 27 04:00:25 PST 2015 --  Trust in the Lord with all your heart and lean not on your own understanding. Proverbs-3-5
Tue Jan 27 05:14:31 PST 2015 --  Obama is livid because he wasn't consulted about Netanyahu's visit. Pretty hypocritical for someone who bypasses congress constantly.
Mon Jan 26 12:25:02 PST 2015 --  Have you ever listened to somebody speak and wonder who ties their shoelaces for them?
Sun Jan 25 00:41:23 PST 2015 --  Jesus Christ did not say, 'Go into the world and tell the world that it is quite right' ~ #CSLewis
Sun Jan 25 05:14:34 PST 2015 --  So say with confidence,"the Lord is my helper; I will not be afraid, What can man do to me?" Hebrews-13-6
Sun Jan 25 10:20:17 PST 2015 --  “If #Christianity was something we were making up, of course we could make it easier. But it isn't." ~ #CSLewis
Thu Jan 22 16:01:24 PST 2015 --  1/3 - Christ said to the disciples, "Ye have not chosen me, but I have chosen you..."
Thu Jan 22 13:30:25 PST 2015 --  They say your memory is the first thing to… something…
Thu Jan 22 13:11:18 PST 2015 --  thanks to all who are marching in Washington today for being the voice of the voiceless, protector of the weak. #PeaceInTheWomb
Thu Jan 22 12:19:09 PST 2015 --  Me after one workout: pic.twitter.com/Z6n7stAuX6
Thu Jan 22 12:16:28 PST 2015 --  The idea that if I'm raped, it would help if I could kill my innocent child -- that's not a "woman's" view, that's a moral cretin's view.
Thu Jan 22 05:33:17 PST 2015 --  . @HouseGOP I'M a woman voter, and you alienate me by being too cowardly to take a stand for life. Or anything else. http://www.foxnews.com/politics/2015/01/22/house-gop-struggles-to-get-votes-on-abortion-bill-for-roe-v-wade-anniversary/ …
Thu Jan 22 03:22:04 PST 2015 --  Morning prayer Lord help us to be thankful for every breath we take and every beat of our hearts acknowledging they are blessings from You.
Thu Jan 22 03:14:27 PST 2015 --  He shall call upon Me,and I will answer him.I will be with him in trouble;I will deliver him and honor him. Psalm-91-15
Wed Jan 21 07:44:55 PST 2015 --  “ @Zone6Combat: My sentiments exactly. pic.twitter.com/Nd2Uma56Kc” Mine too.
Wed Jan 21 11:36:18 PST 2015 --  Old Testament: Thou shalt not covet. New Testament: Love does not envy. Nothing has changed, y'all. The rich don't owe us anything.
Wed Jan 21 07:38:19 PST 2015 --  Just realized donuts are shaped like a giant wedding ring. I do, donuts. I do.
Wed Jan 21 05:59:01 PST 2015 --  One more time Mr.President,if the economy is so awesome,why are there so many people in need of "free" stuff?
Tue Jan 20 18:43:33 PST 2015 --  I think Obama keeps saying " the new economy" since he knows he killed the old one.
Tue Jan 20 22:58:21 PST 2015 --  If you put Gov't in charge of Sahara Desert they'd run out of sand!! @dadz1949z @DrJacaranda @sebdiego90 #SOTU pic.twitter.com/VmUnYRX54W
Sun Jan 18 05:02:03 PST 2015 --  So do not fear for I am with you,do not be dismayed for I am your God.I will strengthen you and help you. Isaiah-51-10
Sun Jan 18 08:54:12 PST 2015 --  We have now left the Land of Law in exchange for the Land Of Feelings.
Mon Jan 19 03:15:44 PST 2015 --  For we walk by faith, not by sight. 2-Corinthians-5-7
Sun Jan 11 12:24:07 PST 2015 --  Cars need “sorry” lights people can activate when they do something stupid.
Mon Jan 12 03:56:16 PST 2015 --  God is faithful He will not let you be tempted beyond what you can bear. 1st-Corinthians-10
Mon Jan 12 14:57:27 PST 2015 --  The secret to a successful lemonade stand is vodka.
Tue Jan 13 12:19:16 PST 2015 --  The phrase “don’t take this the wrong way” has a zero percent success rate.
Tue Jan 13 13:30:06 PST 2015 --  Nothing good has ever come from answering a call from a blocked phone number.
Tue Jan 13 15:32:48 PST 2015 --  Right now,while Islamic terrorism has the attention of the planet,while the whole world can see their evil,now is the time to exterminate
Tue Jan 13 17:01:13 PST 2015 --  No thermostat is as effective at regulating temperature as sticking a foot out from under the bed covers.
Wed Jan 14 05:09:46 PST 2015 --  Be joyful in hope,patient in affliction,faithful in prayer. Romans-12-12
Thu Jan 15 03:46:21 PST 2015 --  Jesus said to him,"I am the way,the truth and the life.No one comes to the Father except through Me." John-14-6
Thu Jan 15 06:41:14 PST 2015 --  2000 Nigerians slaughtered by Boko Haram who strapped suicide bombs on 10 year old girls How much more is the civilized world going to take.
Sat Jan 10 06:51:05 PST 2015 --  Political correctness is nothing more than a toxic fog used by elitists to hide the truth
Sat Jan 10 05:37:14 PST 2015 --  Teach us to number our days and recognize how few they are;help us to spend them as we should. Psalm-90-12
Thu Jan 08 17:27:27 PST 2015 --  Cold weather is my favorite because then I can feel good about staying inside.
Thu Jan 08 21:45:17 PST 2015 --  I was buying dog food at petsmart and the lady asked me if I wanted to give money to feed hungry animals. I said that's what I'm doing now!
Thu Jan 08 22:05:22 PST 2015 --  Obama now wants free community college for all that will work for it. Don't we have that already? It's called a job.
Fri Jan 09 00:24:52 PST 2015 --  "The #Christian does not think God will love us because we are good, but that God will make us good because He loves us." ~ #CSLewis
Thu Jan 08 16:15:21 PST 2015 --  The American press corp is betraying the public when they refuse to confront Obama's refusal to even say say the words Islamic Terrorism
Thu Jan 08 15:46:00 PST 2015 --  Knowledge is like underwear. It is useful to have it, but not necessary to show it off.
Thu Jan 08 10:22:46 PST 2015 --  Seeing posts to #RespectForMuslims: Non-Muslims can't judge, don't understand. Would try harder, but can't concentrate for sound of gunfire.
Thu Jan 08 03:35:04 PST 2015 --  pic.twitter.com/CCQPPfIZAJ
Thu Jan 08 03:07:17 PST 2015 --  In the same way let your light shine before men,that they may see your good deeds and praise your Father in heaven. Matthew-5-16
Wed Jan 07 13:21:49 PST 2015 --  It's so cold outside I saw a picture of Obama with his hands in his own pockets.
Wed Jan 07 15:02:42 PST 2015 --  "...how much we value diversity.." You know - that OTHER kind of diversity - the kind where nobody disagrees with homosexuals. @prosehaikus
Wed Jan 07 16:30:17 PST 2015 --  Beauty comes in all shapes & sizes. Small, large, circle, square, thin crust, thick crust, stuffed crust, extra toppings.
Wed Jan 07 08:39:10 PST 2015 --  THIS " @jackh0pe: Christians & Jewish martyrs say; "I will die for what I believe". A Muslim martyr says; "you will die for what I believe"
Tue Jan 06 04:31:10 PST 2015 --  The Lord is close to the brokenhearted and saves those who are crushed in spirit. Psalm-34
Tue Jan 06 09:00:15 PST 2015 --  The Chinese govt is no match for the Holy Spirit: http://www.breitbart.com/national-security/2015/01/06/christianity-plays-decisive-role-in-chinas-economic-boom-study-finds/ …
