Sat Aug 29 02:01:42 PDT 2015 --  Napatawa mo ako ha! Pati officemates ko. #ALDUBMaiDenHeaven https://twitter.com/_CrisPy27/status/637546387345793025 …
Fri Aug 28 22:56:40 PDT 2015 --  @MalouChoaFagar sabog na po ang Twitter pero ang tamang panahon Hindi pa rin nmin matanaw! Waaahh #ALDUBMaiDenHeaven pic.twitter.com/C4REcy9Fs0
Fri Aug 28 23:35:55 PDT 2015 --  congrats Kenneth haha although obvious naman na ikaw mananalo hihi..
Fri Aug 28 23:35:12 PDT 2015 --  replay agad haha...
Fri Aug 28 23:19:31 PDT 2015 --  She felt relief. Ako rin nakahinga ng maluwag. -ia #ALDUBMaiDenHeaven pic.twitter.com/dwAfQmzvQc
Fri Aug 28 23:20:35 PDT 2015 --  Wahahahaha! #ALDUBMaiDenHeaven pic.twitter.com/x0bmHCKCxh
Fri Aug 28 23:21:41 PDT 2015 --  Palit ka agad, para d ka magkasakit! -ia #ALDUBMaiDenHeaven pic.twitter.com/1Grm9rUtPW
Fri Aug 28 23:34:07 PDT 2015 --  " @mainesadmirer: Hay Wally!!!!! #ALDUBMaiDenHeaven pic.twitter.com/tAh4pB4foY" wahahahahaha
Fri Aug 28 23:24:38 PDT 2015 --  Bae Alden is wearing a scapular... nice to know! #ALDUBMaiDenHeaven
Fri Aug 28 23:11:21 PDT 2015 --  kabaaaaaaaa haha
Fri Aug 28 23:10:28 PDT 2015 --  magbabasa na naman toh si Alden haha
Fri Aug 28 23:06:13 PDT 2015 --  may swimming pool hahaha baka magtopless toh charot #ALDUBMaiDenHeaven
Fri Aug 28 22:46:40 PDT 2015 --  sa wildcard pa ito magkikita haha yun talaga tapatan lol next Sat pa awww #ALDUBMaiDenHeaven
Fri Aug 28 22:42:22 PDT 2015 --  HOPIA PARTY !! WOOOHH #ALDUBMaiDenHeaven
Fri Aug 28 22:43:54 PDT 2015 --  saan kaya siya dadalhin?
Fri Aug 28 22:39:15 PDT 2015 --  Kawawa naman si Nidora, nilagay sa aquarium imbes sa incubator; first breastfeed, sa pusa nila. Saklap! -ia #ALDUBMaiDenHeaven
Fri Aug 28 22:16:54 PDT 2015 --  Ay! Bitoy's in the studio... gosh! So who's Yaya Dub's mom? #ALDUBMaiDenHeaven
Fri Aug 28 21:53:51 PDT 2015 --  Seriously speaking, That's My Bae performances are amazing. I mean, they're not just nagpapacute magagaling pa sumayaw. #ALDUBMaiDenHeaven
Fri Aug 28 22:05:29 PDT 2015 --  Who else is excited for today's kalyeserye? I bet Bae is " @ALDUB_FEVER: emegerd oxygen pls !!! #ALDUBMaiDenHeaven pic.twitter.com/KJryGmhpz4"
Fri Aug 28 22:10:38 PDT 2015 --  ito na kalyeserye na #ALDUBMaiDenHeaven
Fri Aug 28 22:02:27 PDT 2015 --  PAPI RYAN: "It's not about the million of cheers, it's about the girl you want to make happy for a thousand years" #ALDUBMaiDenHeaven
Fri Aug 28 22:03:00 PDT 2015 --  Nakakainggit talaga yung bonding ni ate Sars with the kids hayy ate @JustSarahG pa-ampon po kahit bilang PA haha
Fri Aug 28 21:27:15 PDT 2015 --  Cutest Coach @JustSarahG dancing Macarena with Team Sarah. The BEST ka tlaga Sars pic.twitter.com/qIBCoxsbHc
Fri Aug 28 21:56:35 PDT 2015 --  iba talaga toh bumanat si Ryan Agoncillo huhu ate Juday may ganyan pa bang lalaki bukod kay kuya Matt?
Fri Aug 28 21:52:52 PDT 2015 --  pizzzzaaaaaa hihi
Fri Aug 28 21:52:26 PDT 2015 --  " @TopSecretFact: Expectation is the root of all emotional and mental pain."
Fri Aug 28 21:49:22 PDT 2015 --  eating eggnog be like melt it in your tongue
Fri Aug 28 21:27:22 PDT 2015 --  may lollipop ka pa Sarah habang sumasayaw haha https://www.facebook.com/KyleEcharriOfficial/videos/548959245281784/ …
Fri Aug 28 21:40:06 PDT 2015 --  @wicawix Sabi nya po na may "great news" daw po sya na receive. At last week sabi no Coach L na may audition sya. pic.twitter.com/1XB5EEM3GI
Fri Aug 28 21:40:04 PDT 2015 --  dami pang pics nung bonding time nila Coach haha
Fri Aug 28 21:26:40 PDT 2015 --  " @JustmeAshtine: Bayt ganun? Ang gwapo ni Kyle? Hahahaha. Malaki pa siya kay bebe. Enebey pic.twitter.com/qe4EoW49cz"
Fri Aug 28 21:39:41 PDT 2015 --  " @WeLoveYouSarahG: Coach Sarah and Bella! pic.twitter.com/DzhVdPTOve"
Fri Aug 28 21:36:54 PDT 2015 --  " @jeniebeans_SG: Team Sarah's Macarena! hahaha kyoooot! https://www.facebook.com/KyleEcharriOfficial/videos/548959245281784/ …"
Fri Aug 28 21:34:19 PDT 2015 --  para ba ito next sa Next Saturday? I am really curious haha #ALDUBMaiDenHeaven pic.twitter.com/1xLZdU1KWO
Fri Aug 28 21:28:28 PDT 2015 --  there's something w/Alden today that I can't explain basta kinikilig lang ako.. #DiKayaAkoNaYungTinamaan ? LOL #ALDUBMaiDenHeaven
Fri Aug 28 21:24:41 PDT 2015 --  antawa ko sa pakasalan agad pagnagkita sila #ALDUBMaiDenHeaven
Fri Aug 28 21:18:24 PDT 2015 --  Kung ako sayo @aldenrichards02 Kapag nagkita na kayo ni @mainedcm PAKASALAN MO NA AGAD! MAGDALA KA NG PARI HAHAHA #ALDUBMaiDenHeaven
Fri Aug 28 21:19:36 PDT 2015 --  RACHEL DAQUIS AND DIN DIN MANABAT!! #ALDUBMaiDenHeaven @mainedcm @aldenrichards02 @sam_yg pic.twitter.com/QfBvosDik5
Fri Aug 28 21:20:00 PDT 2015 --  Nawawala sa sarili si Bae @aldenrichards02 Hahahahaha! #ALDUBMaiDenHeaven
Fri Aug 28 21:20:49 PDT 2015 --  flooding si sir Eric lol
Fri Aug 28 21:00:41 PDT 2015 --  juskooo kailangan toplesssss? Nasa harap na harap po ako ng TV dahil nagpipintura...stresss ako haha #ALDUBMaiDenHeaven
Fri Aug 28 20:58:49 PDT 2015 --  " @rodmagaru: Ang dumi dumi po ng EDSA mula sa iniwanan, tahasang pagkakalat. :("
Fri Aug 28 20:58:03 PDT 2015 --  Greeting for my sexiest bff pic.twitter.com/sop44nDnBa
Fri Aug 28 20:58:02 PDT 2015 --  Megan Young on the floor #ALDUBMaiDenHeaven
Fri Aug 28 20:57:05 PDT 2015 --  halaaaa akala ko ba nasa Pampanga yan si Alden? #ALDUBMaiDenHeaven
Fri Aug 28 20:33:35 PDT 2015 --  still not this day....
Fri Aug 28 19:58:35 PDT 2015 --  Naku, Sarsss!! pic.twitter.com/Iji2yWSbqT
Fri Aug 28 20:03:24 PDT 2015 --  Rt if this turns you on pic.twitter.com/hVw8TlmOZN
Fri Aug 28 20:00:01 PDT 2015 --  Being healthy is a priority. #UnicaHija #RealityBites pic.twitter.com/zrrGGJpOxI
Fri Aug 28 19:56:17 PDT 2015 --  I already get the joke 'sana umulan ng dinuguan sa Edsa ngayon' yesterday night. LOL #HongPutlaKoNgaAkoDinPengeDugo haha
Fri Aug 28 19:38:27 PDT 2015 --  my gassshhh hilo ko..super putla ko daw... :((((
Fri Aug 28 14:53:44 PDT 2015 --  They are more than just a team. They stood strong throughout toughest conditions. They are a family. pic.twitter.com/B4FLJvNQ35
Fri Aug 28 19:17:28 PDT 2015 --  " @marianadine23: Ang ganda ganda mo naman po, @JustSarahG pic.twitter.com/0GO9PAblBX"
Fri Aug 28 17:09:09 PDT 2015 --  Mukhang kasya nga yung pocket money natin Sars,nakabili kapa pala ng 12 VANS para sa 12 artists mo!Naks naman oh #TeamSarahBonding
Fri Aug 28 18:59:23 PDT 2015 --  pressshhh! hihi
Fri Aug 28 18:02:49 PDT 2015 --  Who is 2015's Most Popular Female TV Personality? Let's vote and support Sarah G! http://pinoymostlike.blogspot.com/2015/08/2015-most-popular-female-tv-personality.html … pic.twitter.com/76pXBfd70h
Fri Aug 28 18:54:33 PDT 2015 --  Ganda mo daw girl @JustSarahG! pic.twitter.com/eDfGqj9aZ9
Fri Aug 28 18:42:00 PDT 2015 --  “ @SurwezCynthia: "Hindi man po ako nakasama sa TOP4. Thank you po Coach Sarah for the wonderful experience."-Zephanie #TeamSarahBonding”
Fri Aug 28 18:57:44 PDT 2015 --  " @ShitHappensDre: Mahirap din palang magpanggap na okay ka lang, ang bigat sa pakiramdam."
Fri Aug 28 18:00:05 PDT 2015 --  MAMAYA NA NGA BA MAKIKILALA ANG AMING BUNSONG KAPATID #ALDUBMaiDenHeaven pic.twitter.com/D7P4zD9IAa
Fri Aug 28 16:50:33 PDT 2015 --  Pray until your situation changes. Miracles happen every day, so never stop believing. God can change things very quickly in your life.
Fri Aug 28 15:54:11 PDT 2015 --  " @popsters25: PHOTOS: #TeamSarah bonding yesterday :) @JustSarahG (Photos from Zeph) pic.twitter.com/TTuZ7Cmqlz" QT naman nila..photobooth..
Fri Aug 28 15:53:34 PDT 2015 --  huwag niyong idaan sa guests.. walang TS sa RW mamaya..
Fri Aug 28 15:51:29 PDT 2015 --  Oyyy walang gagawin mamayang gabi. Matulog ng maaga hihi.
Fri Aug 28 15:50:02 PDT 2015 --  Ya? San punta? @mainedcm #GoodMorning pic.twitter.com/sr0kI9V42q
Fri Aug 28 15:47:45 PDT 2015 --  Bata pa lang talaga yung ganda niya litaw na.. (c) pic.twitter.com/G79ca6P6Vs
Fri Aug 28 15:42:39 PDT 2015 --  " @arzlgarcia: Mikaro10 Insta Update with Meng. #ALDUBGettingCLOSER (© mikaro10) pic.twitter.com/1KZ4oA2Ep7"
Fri Aug 28 11:23:40 PDT 2015 --  Mas lalo ko pang minamahal si @mainedcm!PERFECT syang tinatawag! Hihi more updates and throwback. #ALDUBMaiDenHeaven pic.twitter.com/MovwvDlsXQ
Fri Aug 28 11:39:59 PDT 2015 --  Still stuck in EDSA traffic? Tweet us your photos of the situation around you. Photo: Bayan Patroller Carol Zaragoza pic.twitter.com/JJGZolu6jq
Fri Aug 28 10:36:14 PDT 2015 --  Just pray for the betterment of everything. Goodmornight.
Fri Aug 28 09:53:02 PDT 2015 --  I like those friends that you don't have to talk to every day but you're still friends even if you go weeks without talking.
Fri Aug 28 09:39:49 PDT 2015 --  Wow, Sarah bought 12 Vans shoes for her 12 artists! #TeamSarahBonding
Fri Aug 28 10:28:43 PDT 2015 --  I felt sorry for our country. When will be the time that we, as the citizen of this country will become free from d mouth of the crocodiles?
Fri Aug 28 10:25:48 PDT 2015 --  As much as I hate reading news nowadays, what's new? Crimes, lame politics and crazy politicians w/their non-sense campaign ads. #Justice
Fri Aug 28 10:22:49 PDT 2015 --  Grabe! Hindi ko alam yung issue sa INC na yan but reading tweets about it naawa ako sa mga taong nasaktan at up until now stuck up sa Edsa.
Fri Aug 28 10:20:15 PDT 2015 --  " @rodmagaru: Simple analogy on this, we cannot handle the truth, we are afraid of the truth, and we are prisoners of the truth."
Fri Aug 28 09:07:43 PDT 2015 --  Let's take a minute to pray for those commuters currently stuck at EDSA & hope for order to be restored. #ALDUBMaiDenHeaven @AkoSiLolaNidora
Fri Aug 28 05:20:08 PDT 2015 --  Kaya kailangan ko na talaga ng new phone :( #
Fri Aug 28 05:08:17 PDT 2015 --  payday plus sale ba naman sa megamall hahaha natural ang traffic dyan sa Edsa hay gravity...
Thu Aug 20 09:45:33 PDT 2015 --  pencil art pic.twitter.com/t1uNvtPygo
Fri Aug 28 05:06:25 PDT 2015 --  nuod na lang tayo concert ni SG @heinnah_me sa Dec. ?
Fri Aug 28 04:46:23 PDT 2015 --  " @ShitHappensDre: No more expectations.. just gonna go with the flow, and whatever happens, happens." but sleeping hates me lol
Fri Aug 28 04:45:41 PDT 2015 --  " @ShitHappensDre: No more expectations.. just gonna go with the flow, and whatever happens, happens." May kilala akong ganito....hahaha
Fri Aug 28 04:45:09 PDT 2015 --  favorite pa more @heinnah_me hihi
Fri Aug 28 04:44:45 PDT 2015 --  Potato Corner nga syaka ko lang napansin aruuuu...haha
Fri Aug 28 04:41:59 PDT 2015 --  " @OfficialKylers: Great way to spend an afternoon... All excited to see Coach Sarah ... pic.twitter.com/ih7uvsZduA" cutie Bella
Fri Aug 28 04:40:16 PDT 2015 --  I want to watch Inside Out! Me gesh unang kita ko pa lang ng trailer hook na ako...
Fri Aug 28 04:38:51 PDT 2015 --  " @VEE_lovesSG: Mas masaya to kesa jan sa rehearsals nyo!!!! © pic.twitter.com/NoVSAFa2Ar" definitely hihi
Fri Aug 28 04:38:19 PDT 2015 --  Bet na bet ni ate Sars si Bella hoho..nakakaloka isipin na Mommy Sarah ang itawag sakanya, ang nene ng mukha eh huehue :3
Fri Aug 28 04:36:39 PDT 2015 --  " @jeniebeans_SG: Mommy na mommy ang peg ni Sarah kay Bella. Handa ka na talaga Sars. Go naaa! #MrsGuidicelli"
Fri Aug 28 04:35:56 PDT 2015 --  " @jeniebeans_SG: Yung holding hands ni Sarah at Bella at yung akbay ni Kyle kay Zeph. Haaaay. © pic.twitter.com/yngMQd7hrj"
Fri Aug 28 04:32:34 PDT 2015 --  artista pala siya at singer ahhhh
Fri Aug 28 04:27:27 PDT 2015 --  " @kkkath000: TEAM SARAH pic.twitter.com/cLbhOz6KNk" with love :)
Fri Aug 28 04:18:27 PDT 2015 --  The LORD is compassionate & gracious, slow to anger, abounding in love. Psalm 103:8
Fri Aug 28 04:25:07 PDT 2015 --  " @jeniebeans_SG: Coach and Kyke. Insert Bella © #TeamSarahBonding pic.twitter.com/q4PxGoS5Th"
Thu Aug 20 20:57:08 PDT 2015 --  Open this if you love God pic.twitter.com/3Uk9siUNmg
Fri Aug 28 04:24:11 PDT 2015 --  " @HugotWords: Only a bestfriend can see the pain behind a fake smile." is it true? @heinnah_me haha
Fri Aug 28 04:20:37 PDT 2015 --  " @ShitHappensDre: Dimples are so damn attractive." yes! Yung may dimples ako hahaha kulang nga lang sa lalim LoL
Fri Aug 28 04:14:25 PDT 2015 --  ngeeek anong pangalan? baka mamaya kinuha nyo na lang yan sa google pics :P
Fri Aug 28 04:08:57 PDT 2015 --  nabubwisit ako kapag nakakarinig ako ng anything about The Voice honestly masama pa din loob ko. Explanation please!
Fri Aug 28 04:07:48 PDT 2015 --  masearch nga na-intriga aketch haha baka naman artista lang din siya sa bansa nila hihi
Fri Aug 28 04:05:58 PDT 2015 --  ohwemgi! Siya daw ang Miss World India. Hala! Akala ko si ate @mainedcm kamukha! pic.twitter.com/NK7Ma1lZq7
Fri Aug 28 04:02:59 PDT 2015 --  ahhh bwisit na typographical errors! hayyys!
Fri Aug 28 04:01:14 PDT 2015 --  Ate Sarssssss! Hindi pa ako ready huhu! Huwag muna, pero kunf ganyan kakyut naman magiging chikiting mo ay go na LOL pic.twitter.com/Tl6Wrf1SZY
Fri Aug 28 04:00:03 PDT 2015 --  " @jeniebeans_SG: Magkatabi na, nakakandong pa! Bellllaaaa! Kyot kyot mo din kasi! © #TeamSarahBonding pic.twitter.com/Tl6Wrf1SZY"
Fri Aug 28 03:53:37 PDT 2015 --  Bae really wants to see her reaction (by looking at the monitor), esp when he "kisses" her #ALDUBGettingCLOSER pic.twitter.com/4hvpGa3TQv
Fri Aug 28 03:58:59 PDT 2015 --  " @jeniebeans_SG: Zeph and Coach Sarah #TeamSarahBonding © pic.twitter.com/To6Dca1jCF"
Fri Aug 28 03:58:43 PDT 2015 --  Coach S haha bet mo fez ni Bella mo for your future baby LOL hihi pic.twitter.com/tbqdewBpNW
Fri Aug 28 03:37:08 PDT 2015 --  Coach @JustSarahG with Zephanie. Spotted sa likod, Mandy and Bella. #MovieDateTeamSarah #insideout pic.twitter.com/WdcrRSJ01S
Fri Aug 28 03:00:01 PDT 2015 --  eh kung i-unfollow ko na din kaya tong ASAP flooding wala naman si ate S lol
Fri Aug 28 02:59:12 PDT 2015 --  " @SurwezCynthia: Happening now! Movie time for Coach Sarah And Team Sarah's Artist:) #InsideOut" kasweeeet talaga, napakabusilak ng puso.
Fri Aug 28 02:55:58 PDT 2015 --  Kung bakit ba naman ang sweer sweet ni Coach Sarah huhuhu waaaahhh sana kapatid na lang kita pa-ampon po @JustSarahG LOL
Thu Aug 27 20:57:21 PDT 2015 --  Have you heard? #ALDUBest CEB fares are on sale, starting MIDNIGHT tonight! Get ready to book your flights! pic.twitter.com/gMI33JdBsc
Fri Aug 28 02:46:11 PDT 2015 --  Sa totoo lang makakahinga nang maluwag si YayaDub pag nalaman nyang HINDI si Tinidora ang kanyang ina! #ALDUBGettingCLOSER #KiligPaMore
Fri Aug 28 02:52:30 PDT 2015 --  " @mainedcm: "Bakit parang feeling ko tumataba ka na?" OMG TOTOO BA? KASI KUNG OO ANG SAYA SAYA" medyo nga ate hihi :D ooyyy hiyang siya haha
Fri Aug 28 02:50:51 PDT 2015 --  " @SarahGdotph: What can you say about this picture, Popsters? :) pic.twitter.com/cguMZJwMSt" kuleeeet! hihi
Fri Aug 28 02:50:21 PDT 2015 --  " @iraxsg: Votee! Habol tayo http://pinoymostlike.blogspot.com/2015/08/2015-most-popular-female-tv-personality.html?m=1 …"
Fri Aug 28 02:50:02 PDT 2015 --  " @gerliefloresca: Nanonood sina Zephanie at Sarah ngayon ng Inside Out. Huhu nkakainggit! " sweet ni Coach. hihi
Fri Aug 28 02:49:27 PDT 2015 --  " @mainedcm: Hahaha havey! https://twitter.com/frankiearinolli/status/637159505575329792 …" hahahaha
Fri Aug 28 00:07:18 PDT 2015 --  Rogelios - The Walking Bouncers Bernardos - The Walking Hunks Quandos - The Walking Dead NA-MISS KO TULOY ANG TWD! #ALDUBGettingCLOSER
Fri Aug 28 02:48:32 PDT 2015 --  " @tikisoka: That moment you try to hide your kilig... but failed #ALDUBGettingCLOSER pic.twitter.com/KszgemlWcu"
Fri Aug 28 02:48:05 PDT 2015 --  " @jeniebeans_SG: Awww. The sweetest, The Best Coach Eveeeer! Wala na talagang tatalo sayo Sars. Ikaw na talaga! "
Fri Aug 28 02:42:58 PDT 2015 --  JWU hihi..napasarap tulog..nakakabawi na ako yehey!
Thu Aug 27 23:38:16 PDT 2015 --  tutulog muna ako sleepyhead ngayon eh BBL
Thu Aug 27 23:37:37 PDT 2015 --  Baka naman pagnagkita ang AlDubb talagang magkikita lang tapos wala ng usap/magdubsmash pa rin. LOL Kahit 30 sec. usap at selfie man lang.
Thu Aug 27 23:24:17 PDT 2015 --  " @ateIrms: Sana nga ganito na.lang reply nyo..mabait naman kami! (c) sa nagpost # JusticeForTeamSarah pic.twitter.com/UWbZbpAg0X" lol
Thu Aug 27 23:18:35 PDT 2015 --  Plot twist: Si Alden ang nakababatang kapatid nina Nidora, Tidora ar Tinidora. LOL #ALDUBGettingCLOSER
Thu Aug 27 23:13:00 PDT 2015 --  it's not raining here...pero mukhang malapit na
Thu Aug 27 23:04:35 PDT 2015 --  kaloka nakakalungkot istorya ngayon..
Thu Aug 27 23:01:18 PDT 2015 --  Kumurot sa ating mga puso ang istorya ngayon, sa nanalo sa sugod bahay. #ALDUBGettingCLOSER
Thu Aug 27 22:43:32 PDT 2015 --  wala akong ibang marinig kundi yaya Dub haha
Thu Aug 27 22:37:51 PDT 2015 --  Bawasan ang kaartehan kung hndi naman sagad ang kagandahan. -Tidora IA #ALDUBGettingCLOSER
Thu Aug 27 22:41:25 PDT 2015 --  kaloka may isa pang kapatid? stress much.lol
Thu Aug 27 22:26:00 PDT 2015 --  Kalye's Angel #ALDUBGettingCLOSER
Thu Aug 27 22:25:14 PDT 2015 --  wahahahaha laptrip toh!
Thu Aug 27 22:23:40 PDT 2015 --  Cuando Cuando Cuando #ALDUBGettingCLOSER
Thu Aug 27 22:23:25 PDT 2015 --  wahahahahahahahah kaloka #ALDUBGettingCLOSER
Thu Aug 27 22:22:28 PDT 2015 --  ayan na si Tinidora hahaha #ALDUBGettingCLOSER
Thu Aug 27 22:19:27 PDT 2015 --  waiting for Jose hahahaha #ALDUBGettingCLOSER
Thu Aug 27 22:19:03 PDT 2015 --  malamang may kinalaman yung lungkot na sinasabi nila sa *sigh* tweet ni atd Maine kagabi #ALDUBGettingCLOSER
Thu Aug 27 22:17:49 PDT 2015 --  uyyyyyy kilometro hihi #ALDUBGettingCLOSER
Thu Aug 27 22:15:09 PDT 2015 --  magbo-voice lesson daw si Yaya Dub hahaha #ALDUBGettingCLOSER malapit na marinig boses nya hihi
Thu Aug 27 22:12:53 PDT 2015 --  getting excited for Jose if ever haha #ALDUBGettingCLOSER
Thu Aug 27 22:12:05 PDT 2015 --  kalyeserye na hihi #ALDUBGettingCLOSER
Thu Aug 27 22:10:46 PDT 2015 --  trademark eh lol
Thu Aug 27 22:10:34 PDT 2015 --  dakak hahaha #ALDUBGettingCLOSER
Thu Aug 27 22:03:56 PDT 2015 --  lowbat na si phone :( agad agad huhu
Thu Aug 27 20:53:29 PDT 2015 --  dito nlng tayo tatambay guys!!! here's the link. http://pinoymostlike.blogspot.com/2015/08/2015-most-popular-female-tv-personality.html?m=1 … :D pic.twitter.com/HdVSqLQa0f
Thu Aug 27 21:16:10 PDT 2015 --  BELLY -ACHING NEWS: May magaganap na MATINDI sa Kalyeserye later! Abangan! #ALDUBGettingCLOSER #KiligPaMore #EB36 #EATBULAGA @EatBulaga
Thu Aug 27 21:15:03 PDT 2015 --  " @SarahGdotph: Always believe in your future. Believe in your destiny. Stay ambitious. pic.twitter.com/XGxKn35MHr" eng gende hehe
Thu Aug 27 21:10:41 PDT 2015 --  Vote for Sarah Geronimo! Dito guys, ang BOTO mo may CONFIRMATION Agad agad!2015 Most Popular Female TV Personality http://pinoymostlike.blogspot.com/2015/08/2015-most-popular-female-tv-personality.html?m=1 …
Thu Aug 27 21:08:41 PDT 2015 --  EB na hihihi #ALDUBGettingCLOSER
Thu Aug 27 20:54:26 PDT 2015 --  SINONG EXCITED PARA SA KALYESERYE MAMAYA?!RETWEET NA THIS! #ALDUBGettingCLOSER
Thu Aug 27 19:18:36 PDT 2015 --  Mamaya sa EB ipagsisigawan ko ang #ALDUBGettingCLOSER dahil malapit na talaga! Pati pagkikita ng CALLE'S ANGELS, Nidora, Tidora & Tinidora!
Thu Aug 27 19:10:21 PDT 2015 --  She deserves to be in Final 4 but why she didn't make it? #JusticeForTeamSarah #TeamSarahPaRinAko pic.twitter.com/3bvjEERoXg
Thu Aug 27 19:07:12 PDT 2015 --  Madami yatang hindi manunood ng The Voice bukas. Hindi sa pagiging bitter nakaka-disappoint lang talaga at nakaka- #JusticeForTeamSarah
Thu Aug 27 19:05:36 PDT 2015 --  Winning team. #JusticeForTeamSarah #TeamSarahPaRinAko pic.twitter.com/Acz3V8q9kr
Thu Aug 27 21:03:54 PDT 2015 --  This ang ganda ni Jose dito hahaha @mainedcm #ALDUBGettingCLOSER pic.twitter.com/xMTE3leaaF
Thu Aug 27 21:02:20 PDT 2015 --  " @AkoSiLolaNidora: DURING UNANG REBOLUSYON #ALDUBGettingCLOSER pic.twitter.com/P4bvHOyQYO" hetooo na naman si Lola Nidora my gas!
Thu Aug 27 21:00:54 PDT 2015 --  juskooo ang ganda ganda talaga ng boses ni Ms. Sunshine Cruz bakit ngayon ko lang toh nalaman? #ALDUBGettingCLOSER
Thu Aug 27 20:55:01 PDT 2015 --  ganda pala ng boses ni Ms. Sunshine Cruz hayyysss #ALDUBGettingCLOSER
Thu Aug 27 20:47:39 PDT 2015 --  Cause I see Sparks fly whenever you smile. @mainedcm #ALDUBGettingCLOSER pic.twitter.com/RDpkSdr3r5
Thu Aug 27 20:48:11 PDT 2015 --  ABANG NA GUYS! MALAPIT NA ANG @EatBulaga !! AKO NAKARELAX NA SA SOFA KO, WHILE EATING ROASTED TURKEY. TWEET PA MORE! #ALDUBGettingCLOSER
Thu Aug 27 20:49:07 PDT 2015 --  We don't meet people by accident. They are meant to cross our path for a reason. #ALDUBGettingCLOSER
Thu Aug 27 20:51:30 PDT 2015 --  " @NicomaineFaulk1: MUST READ. SPREAD (ctto) #HappyALDUBWeeksary http://twitter.com/NicomaineFaulk1/status/636795089138745346/photo/1pic.twitter.com/Ln9VzOC7Jv " Antawa ko dito
Thu Aug 27 20:46:17 PDT 2015 --  nasaga eardrum huhuhu nakafull volume pala cp ko..pag open ko ng music booomm! I think I just lost my hearing T_T
Thu Aug 27 20:44:59 PDT 2015 --  bakit bigla kang nawala? pasulpot sulpot peg ahhh @heinnah_me misss youuu waahhhh ahhhh hoooo
Thu Aug 27 20:43:04 PDT 2015 --  " @28_nhej: Goodmorning... @JustSarahG @mateoguidicelli © #AshRob #PBBonline pic.twitter.com/XEwGEHpHuA" haha
Thu Aug 27 20:38:12 PDT 2015 --  " @jeniebeans_SG: Team Sarah's Darren and Kyle and Team Sarah's adopted, JK pic.twitter.com/v5hgaXJbCl" kapopogi ng mga batang ito.
Thu Aug 27 20:37:42 PDT 2015 --  " @PatamaNiJuan: What's meant to be will always find its way." becoming sentimental to me.
Thu Aug 27 20:28:19 PDT 2015 --  " @JustSarahG: Hi Cebuanos! Tweet me your answer with #GlobeUnleashed & #NextLevelKa to join. Will pick 2 winners pic.twitter.com/X8c7tDEPUV"
Thu Aug 27 19:51:59 PDT 2015 --  Nausea. How long do I have to endure this kind of side effects? But it is much tolerable than me having #menscramps, it is killing me.
Thu Aug 27 19:31:12 PDT 2015 --  Don't lose hope. When you are down to nothing, God is up to something.
Thu Aug 27 19:34:15 PDT 2015 --  Love is patient, love is kind. It does not envy, it does not boast, it is not proud. -1Corinthians 13:4
Thu Aug 27 19:37:14 PDT 2015 --  Congrats @JustSarahG - " @popptartvision Sarah Geronimo will represent #TeamSwift/The Philippines in the 3rd PoppTartvision with "Kilometro".
Thu Aug 27 19:19:40 PDT 2015 --  Achievements of @JustSarahG in her 12 yrs in showbiz. pic.twitter.com/KGS0yeQoCr Include pa natin most awarded ASAPPVCA, The Global Song Contest
