Sat Aug 29 10:54:01 PDT 2015 --  — Oye, me gustas mucho. — UY NOOOOOO, PERO QUÉ ES ESA VIOLENCIA.
Wed Aug 26 15:12:28 PDT 2015 --  Buena las ratas, solo putorraiders lok
Wed Aug 26 17:35:57 PDT 2015 --  NUEVO VIDEO: LOS PEORES VIDEOS DE RAP RESUBIDO: https://www.youtube.com/watch?v=f4FiRFn4r6E&feature=youtu.be … RT?
Wed Aug 26 17:51:08 PDT 2015 --  . @AfricaAndrade21 debes ser nueva por aquí pic.twitter.com/EuFmIlqxMG
Wed Aug 26 18:12:20 PDT 2015 --  . @DannyGracia1994 con esta foto, esta cara, no tienes derecho a decirle muerto de hambre a nadie jajaja pic.twitter.com/CvOPqPGlFY
Wed Aug 26 18:20:37 PDT 2015 --  Dormir + vida social = Malas notas. Dormir + buenas notas = No vida social. Buenas notas + vida social = No dormir.
Wed Aug 26 09:40:59 PDT 2015 --  No se engañen, lo único que se va y luego regresa, es el hambre.
Wed Aug 26 10:34:31 PDT 2015 --  A mí me gusta que me demuestren importancia, que se preocupen por mí. Ahí le dejo el dato.
Wed Aug 26 08:40:06 PDT 2015 --  No quiero ser un capítulo en tu vida, quiero ser tu historia.
Wed Aug 26 07:55:33 PDT 2015 --  Situación sentimental: Lo importante es que tenemos salud.
Wed Aug 26 06:43:06 PDT 2015 --  Back to when @dimitrivegas and @likemike were playing in @tomorrowland Smash The House stage! #awesome pic.twitter.com/LVzW3rq3tT
Thu Aug 20 11:50:54 PDT 2015 --  La verdadera razón por la cual se inventaron los hermanos pic.twitter.com/N1Zf8QPM4B
Sun Sep 28 12:26:01 PDT 2014 --  —Oye, eres bien cortante. —¿Qué tengo cara de cuchillo o qué verga?
Wed Aug 26 07:48:11 PDT 2015 --  ―Buenos días, princesa ¿Cómo amaneces? ―Acostada igual que todo el mundo, pendejo.
Thu Sep 25 12:37:56 PDT 2014 --  Si te dice fea, es porque eres guapa, nadie le dice fea a una fea.
Thu Apr 30 01:02:07 PDT 2015 --  El que quiere hacer algo conseguirá un medio; el que no, una excusa.
Tue Aug 25 20:56:45 PDT 2015 --  Mis bebes #nikoliebers pic.twitter.com/SEkGxSITdI
Tue Aug 25 21:35:52 PDT 2015 --  Y pensar que todo empezó con un simple ''Hola'' y terminó con un maravilloso ''Coma mierda hijueputa''.
Tue Aug 25 22:05:33 PDT 2015 --  . @sabricorona JAJAJAJAJAJAJA ERES PENDEJA?
Tue Aug 25 22:18:40 PDT 2015 --  Mañana resubo el video 🏼🏼
Tue Aug 25 21:32:36 PDT 2015 --  Esto es un para siempre que estamos construyendo juntos, nuestros esfuerzos, nuestras ganas, nuestro compromiso, nuestro amor. Juntos. #pdc
Tue Aug 25 21:13:04 PDT 2015 --  Si me están siguiendo en @tagstr envíenme un dm con la captura de los seguidores y los sigo en Twitter #followspree
Tue Aug 25 21:05:00 PDT 2015 --  me da verguenza salir en un video de @nikoarrieta no me caen bien los gays y menos este tipo de jotos
Sun Aug 09 19:09:19 PDT 2015 --  Cuando tu amigo hace un chiste pendejo y nadie se ríe. pic.twitter.com/MFqlRLEqyX
Tue Aug 25 20:58:04 PDT 2015 --  —¿Qué vale ese pantalón? —$49.999 —Démelo *Le paga con 50 mil* —Con gusto —¿Y mi peso? —JAJAJÁ —Es en serio vieja hijueputa *La apuñala*
Tue Aug 25 11:27:45 PDT 2015 --  No se que tienen que ver un par de ojos ahí... ¡Momento! pic.twitter.com/VYKFjT1x17
Tue Aug 25 13:22:53 PDT 2015 --  Sonríe así seas feo, porque al menos vas a parecer estupido. pic.twitter.com/Io6X7ruEtx
Tue Aug 25 20:59:21 PDT 2015 --  Acabo de activar los dms para que todos me puedan enviar, no solo las personas que sigo.
Tue Aug 25 20:57:32 PDT 2015 --  Cuando te cuentan chismes de tu ex. pic.twitter.com/vOC0NsvQFZ
Tue Aug 25 20:55:03 PDT 2015 --  -¿De que trabajas? -Pelo papas. -Ah, sos chef. -No, peluquero del vaticano.
Tue Jan 06 18:57:36 PST 2015 --  —Tomémonos una foto. —Ahora le dicen selfies... —A tu hermana le dicen puta y yo le sigo diciendo Mariana.
Tue Aug 25 19:30:11 PDT 2015 --  ODIO CUANDO 1D LE COPIA A CD9, ME GUSTAN AMBAS BANDAS, PERO QUE CORAJE.
Tue Aug 25 20:03:28 PDT 2015 --  . @DaniloMR7 pic.twitter.com/8RMgTP2xhx
Tue Aug 25 20:16:50 PDT 2015 --  . @JuggerwichoHerm Si esta limpia, sabe a jabón, si no, sabe a mugre, también si vas a lamer el suelo,la estufa o la nevera
Tue Aug 25 20:12:59 PDT 2015 --  @nikoarrieta ¿A que sabe la cocina colombiano?
Tue Aug 25 20:50:14 PDT 2015 --  Roberto El Que Te Dejo El Culo Abierto. @nikoarrieta pic.twitter.com/sY2kHJC0iX
Tue Aug 25 18:52:05 PDT 2015 --  Detrás de un ''cuídate'', se esconde un ''si te pasa algo me muero''.
Fri Mar 27 20:50:06 PDT 2015 --  —Mi amor, ¿Te gustan esos zapatos? —Sí, ¿Me los compras? —No, me duele la cabeza. —Pero... —¿Qué se siente quedarse con las ganas, culera?
Tue Aug 25 18:48:33 PDT 2015 --  – Hola linda ¿Tienes novio? – No . – ¿Tan bonita y sin novio? – Si, es que sigo buscando un idiota que no diga eso.
