Fri Aug 28 23:53:46 PDT 2015 --  Top 10 Ways to Improve Your Communication Skills http://lifehacker.com/top-10-ways-to-improve-your-communication-skills-1590488550 …
Sat Aug 23 02:01:29 PDT 2014 --  No Comment :( #freegaza #GazaUnderAttack #GazaUnderFire #IsraelKillsKids #GazaMillionMarch pic.twitter.com/BT84GQtC7I
Fri Aug 22 23:00:30 PDT 2014 --  I thank Allah for protecting me from what I thought I wanted and blessing me with what I didn't know I needed.
Tue Aug 19 20:29:26 PDT 2014 --  A good word is a charitable act - Bukhari
Sun Aug 17 02:40:01 PDT 2014 --  Don't waste your tears on your broken relationship with someone you love, Invest your tears to strengthen your relationship with Allah.
Sat Aug 16 22:46:26 PDT 2014 --  "Good Women are for Good men & Bad Women are for Bad Men." No need to focus on others, focus on yourself...!!! #Realfact
Sat Aug 16 22:32:33 PDT 2014 --  For #instagram users :) Follow me on @instagram : iam_ashik
Sun Aug 10 09:01:13 PDT 2014 --  Mumbai Coastline, India pic.twitter.com/SoD1rykwSI
Thu Aug 14 07:35:25 PDT 2014 --  I don't think I'm better than anyone out here. I might be worse sometimes. I need Allah just as much as everyone else.
Thu Aug 14 05:24:47 PDT 2014 --  Enjoy the cool climate in the evening :) #Awesome
Wed Aug 13 09:47:24 PDT 2014 --  "Counting students in each row to see which paragraph I have to read out." #SchoolMemories
Tue Aug 12 11:35:53 PDT 2014 --  I know that expecting something from somebody will hurt sometime. But again and again I am doing the same mistake to a same person #Fate
Sat Aug 09 11:26:46 PDT 2014 --  Helping others in need is the simplest way to guarantee that Allah will help you at your own time of need.
Sat Aug 09 11:01:03 PDT 2014 --  ‘SubhanAllahiwaBiHamdihi’ 100 times a day & all your sins will be forgiven even if they were as much as the foam of the sea [Bukhari]
Thu Aug 07 09:01:53 PDT 2014 --  Retweet and spread this message. pic.twitter.com/jPfhprag2h
Mon Aug 04 00:39:56 PDT 2014 --  Best friends are the ones that constantly remind you of Salah, and advise away from Haram
Mon Jul 28 19:38:38 PDT 2014 --  May Allah accept all our prayers,good deeds, fasting & duas.May Allah protect us all in this world and in here after. EID MUBARAK to All :)
Sat Jul 19 23:12:01 PDT 2014 --  How many retweet for this great picture ? Ya Allah , May Allah pic.twitter.com/37B9h481NY
Thu Jul 03 22:52:42 PDT 2014 --  The purpose of fasting... http://instagram.com/p/qBKDmLRLPO/ 
Tue Jun 24 04:01:34 PDT 2014 --  Watched @vadacurrymovie A spicy entertainer pulled out of a normal story!!! @Actor_Jai acting at peak:) Congrats @vadacurrymovie crew
Sun May 25 00:23:12 PDT 2014 --  Sometimes I try not to live in the past,but the past lives in me...
Thu May 01 21:16:11 PDT 2014 --  தொழுகையை நீங்கள் நிலைநாட்டுங்கள்; அவனுக்கே அஞ்சி நடங்கள்; அவனிடம் தான் நீங்கள் ஒன்று சேர்க்கப்படுவீர்கள். குர்ஆன் (6:72)
Tue Apr 29 01:40:49 PDT 2014 --  With buddies :) @deen_riyas pic.twitter.com/90cwItbpwL
Sat Apr 26 21:11:36 PDT 2014 --  Every test in our life makes us bitter or better.Every problem comes to make us or break us.The choice is yours be a victim or victorious
Wed Apr 23 02:35:33 PDT 2014 --  Don't define your failure by looking at somebody's Success. Also don't define your Success by looking at somebody's failure.
Tue Apr 22 03:57:56 PDT 2014 --  Never! pic.twitter.com/TnEsSmGDnw
Sat Apr 19 00:18:30 PDT 2014 --  Sometimes you'll face difficulties not because you’re doing something wrong, but because you’re doing something right.
Fri Apr 11 20:23:09 PDT 2014 --  “Who has confidence in himself will gain the confidence of others.”
Tue Apr 01 10:36:36 PDT 2014 --  Praising others will give you nothing, while praising Allah gives you everything. #Alhamdulillah
Sat Jan 25 04:40:23 PST 2014 --  Retweet if you agree... pic.twitter.com/Ynxacak01w
Mon Feb 10 03:24:23 PST 2014 --  Winners...Never quit... pic.twitter.com/XPhGMHw81g
Sun Jan 12 10:04:06 PST 2014 --  Fact!!! pic.twitter.com/THjot4p23Q
Sat Dec 28 17:17:17 PST 2013 --  When Life is Rough.....PRAY. When Life is Great.......PRAY. pic.twitter.com/t3zpbOYgit
Mon Dec 09 01:03:08 PST 2013 --  Masha Allah... pic.twitter.com/YQTrMHbaBu
Fri Nov 29 06:13:41 PST 2013 --  You're not a loser,until you lose faith in Allah.
Sat Nov 23 17:41:54 PST 2013 --  Pain makes you stronger. Tears make you braver. Heartbreak makes you wiser. So thank the past for a better future.
Mon Nov 11 08:35:53 PST 2013 --  "Give (regular charity) out of your property, for truly it is a purifier..." (Rasulullah SAW)
Mon Nov 11 08:31:25 PST 2013 --  Live for the sake of Allah. Love for the sake of Allah. Fight for the sake of Allah. Die for the sake of Allah.
Mon Nov 11 08:27:06 PST 2013 --  A friend is someone who can see the truth and pain in you even when you are fooling everyone else.
Sun Nov 10 21:22:02 PST 2013 --  Fake friends believe in rumors, Real friends believe in you.
Sat Nov 09 19:27:06 PST 2013 --  Confidence is silent. Insecurities are loud.
Fri Nov 08 22:38:53 PST 2013 --  Being Happy Doesn't Mean Everything Is Perfect It Means You've Decided To See Beyond The Imperfections!!!
Fri Nov 08 22:15:37 PST 2013 --  A true relationship is having someone who accepts your past, supports your present, loves you and encourages your future.
Wed Nov 06 23:00:47 PST 2013 --  Being someone's first love is great, but being someone's last love is beyond perfect.
Tue Nov 05 22:09:32 PST 2013 --  Finally In BBM 󾌲󾌲󾌲 Add My Pin: 755377b1
Sat Oct 19 00:54:50 PDT 2013 --  Check out the meaning of the name Ashik at http://www.birthvillage.com/Name/Ashik  http://www.birthvillage.com//Name/ 
Sun Sep 22 09:59:59 PDT 2013 --  Failure is not a mistake. Sometimes it is the best place to start...
Sun Sep 15 03:10:59 PDT 2013 --  Being Alone Usually Looks Sad To People... But, Being Alone Is better than to have Somebody Who Makes You Feel Alone...!
Sun Sep 08 21:28:54 PDT 2013 --  Some people live to be remembered today... some people live to be remembered in the history...
Sun Jul 07 06:28:27 PDT 2013 --  Im back!!! pic.twitter.com/S7KcPMG25Q
Thu Jul 12 11:32:38 PDT 2012 --  Don`t Try and Perfect Yourself For One Person... Wait for the one who Loves Your Imperfection...
