Thu Jul 16 08:15:03 PDT 2015 --  ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ I LOVE GOD ㅤ ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤㅤRETWEET IF YOU DO!
Thu Jul 09 12:45:58 PDT 2015 --  Mum: UCHE!! Me: *flings phone* *boards plane* *enters taxi* *enters okada* *climbs stairs* yes mum? Mum: Plz On The Fan
Sun Aug 09 10:57:49 PDT 2015 --  Ahhhhhh MONDAY IS COMING
Sat May 23 16:46:17 PDT 2015 --  For those that don't know what a Legedis Benz looks like pic.twitter.com/gVoZ9CCrsa
Thu Aug 06 04:26:40 PDT 2015 --  #SecSchoolInNigeria when you're the only one that witnessed the fight pic.twitter.com/FbYKUMj3x4
Fri Aug 07 14:14:15 PDT 2015 --  #SecondarySchooIlnNigeria wen u come back from principal's office everyone be like pic.twitter.com/BtI2Uxeo8H
Thu Aug 06 12:47:20 PDT 2015 --  #SecondarySchooIlnNigeria When the SS2 army finally gather enough liver to go to war against the SS3 pic.twitter.com/HtgNwOvPHQ
Thu Aug 06 14:06:45 PDT 2015 --  #SecondarySchooIlnNigeria RT if you hated this..... pic.twitter.com/nRJkKztu0w
Thu Aug 06 16:40:10 PDT 2015 --  #SecondarySchooIlnNigeria When d most feared teacher walks into d school after d break-time is over & u're still out. pic.twitter.com/WtXrhRWJVy
Fri Aug 07 13:43:41 PDT 2015 --  #SecondarySchooIlnNigeria wen ur trying to act dead wen the SS3'S are passing pic.twitter.com/ViKG54W8B7
Fri Aug 07 13:40:53 PDT 2015 --  #SecondarySchooIlnNigeria wen d teacher is abt 2 leav but 1 student stands up n ask a questn THE WHOLE CLASS BE LIKE pic.twitter.com/LPitUFMlfj
Fri Aug 07 13:39:36 PDT 2015 --  #SecondarySchooIlnNigeria wen the ss3s are coming pic.twitter.com/tQeP8LpeYU
Fri Aug 07 13:31:10 PDT 2015 --  #SecondarySchooIlnNigeria wen someone does anything to u and the teacher doesn't do anything pic.twitter.com/ilVFOvo9Tz
Fri Aug 07 13:28:18 PDT 2015 --  #SecondarySchooIlnNigeria wen he heard the exam was canceled after cheating pic.twitter.com/tIpDjrD6P8
Fri Aug 07 13:26:01 PDT 2015 --  #SecondarySchooIlnNigeria wen u hear this pic.twitter.com/HeyMYZyyhN
Fri Aug 07 13:24:28 PDT 2015 --  #SecondarySchooIlnNigeria wen u wish u could say this to a senior who is talking trash to pic.twitter.com/A4H6tEoVfp
Thu Aug 06 13:25:47 PDT 2015 --  There is always that student who's got swag but comes last when results are announced. #SecondarySchooIlnNigeria pic.twitter.com/xtLd6LtTty
Thu Aug 06 13:30:18 PDT 2015 --  #SecondarySchooIlnNigeria Teacher :- Who just said that ?? Backsit boys 🏼🏼🏼 pic.twitter.com/bDmA1FTfBx
Thu Aug 06 13:31:14 PDT 2015 --  #SecondarySchooIlnNigeria when you have been gisting in class and the teacher asks you 'WHAT DID I SAY LAST?' pic.twitter.com/6keWba3A2J
Thu Aug 06 15:30:07 PDT 2015 --  #SecondarySchooIlnNigeria when Yur Best friend chops Hot Slap In Prep Class b4 u culd Wake Him and says Guy u wickd pic.twitter.com/Jq8CDTqZmb
Thu Aug 06 16:52:30 PDT 2015 --  #SecondarySchooIlnNigeria the type of people you see during night prep pic.twitter.com/r7fesdqNr9
Fri Aug 07 06:17:23 PDT 2015 --  " @IamAjala: #SecondarySchooIlnNigeria SS3 1st Term.... Resumption with the squad pic.twitter.com/YEmFSRF2a9"
Fri Aug 07 08:30:40 PDT 2015 --  Sorry KO? LWKMD pic.twitter.com/LddiBAtlOK
Fri Aug 07 06:56:20 PDT 2015 --  #SecSchoolinNigeria pic.twitter.com/gaX1FLqJvL
Fri Aug 07 07:34:17 PDT 2015 --  When you're the only one that Is aware that the class captain is writing names of noise maker. #SecSchoolInNigeria pic.twitter.com/qcdX0e5zHD”
Fri Aug 07 07:52:18 PDT 2015 --  #SecSchoolInNigeria Wen u hear the senior says last junoir pic.twitter.com/3DCtsFm01w
Fri Aug 07 07:46:14 PDT 2015 --  FINALLY FRIDAY no more work for the entire weekend FINALLY#THATFRIDAYFEELING
Fri Aug 07 07:31:04 PDT 2015 --  When you have the whole defence on toast. pic.twitter.com/sk671a0yUv
Sun Dec 07 16:35:06 PST 2014 --  MOST AMAZING ART IVE EVER SEEN pic.twitter.com/tBgDj9y4lz
Fri Aug 07 01:09:22 PDT 2015 --  When u come back from the principal s office #SecSchoolInNigeria pic.twitter.com/0tccjaDTiv
Thu Aug 06 05:16:07 PDT 2015 --  #SecSchoolInNigeria when your best friend is reading out the noise makers list and he calls your name pic.twitter.com/xE58Ew3Jt8
Thu Aug 06 05:03:27 PDT 2015 --  #SecSchoolInNigeria when you come back from the principal's office pic.twitter.com/smSoCEsLzQ
Thu Aug 06 04:25:55 PDT 2015 --  #SecSchoolInNigeria When SS3 students are summoned to keep the peace and tranquility at the junior block. pic.twitter.com/ucivOKVfY2
Wed Aug 05 23:28:11 PDT 2015 --  When your teacher says he will give u assignment and he forgets but one idiot reminds him #secschoolinnigeria pic.twitter.com/P4aLbz0cep
Thu Aug 06 09:41:05 PDT 2015 --  when they finish flogging you and someone tells you sorry " pic.twitter.com/PCv0nwyPAN #AloneEP
Thu Aug 06 09:40:04 PDT 2015 --  U know a Nigerian woman when she goes to the market and prices down wat she wants to buy till the seller starts crying
Wed Aug 05 00:54:47 PDT 2015 --  even Kanye laughed at Meek. kanye never laughs RIP @MeekMill
Mon Aug 03 00:06:36 PDT 2015 --  Chip Skylark wrote a better diss track than Meek Mill pic.twitter.com/aazaJMBXFt
Fri Jul 31 07:35:05 PDT 2015 --  QUOTE: Victor Wanyama: "My wifi has more bars than Meek Mill." pic.twitter.com/q8uAd2fDXV
Wed Aug 05 04:58:45 PDT 2015 --  SOME GIRLS FIX BRAZILLIAN HAIR AND DON'T LOSSEN IT IN A BRAZILLIAN YEARS
Tue Aug 04 14:31:04 PDT 2015 --  Damn even the kids killing Meek pic.twitter.com/JCXd53yluw
Mon Aug 03 12:39:18 PDT 2015 --  The All Sufficient God is ever willling to do wonders in your life if you are faithful. @PastorEAAdeboye #TheAllSufficientGod @liveway
Thu Jul 30 12:24:29 PDT 2015 --  Lads, I have a running bet with @htc. Please help me to get 2k RT's! pic.twitter.com/DmihwpLmnV
Fri Jul 31 14:17:21 PDT 2015 --  When Drake said " is that a world tour or your girls tour?" pic.twitter.com/xmKtXCnxtJ
Wed Jul 29 02:13:58 PDT 2015 --  RETWEET if u are Alive and Grateful tp God. #TheBuyPod_
Tue Jul 28 04:38:29 PDT 2015 --  RT if you’re grateful to God. Some go thru hell just to get water #Bianuru pic.twitter.com/BnjaxX1Id9
Sun Jul 26 05:29:46 PDT 2015 --  President Buhari has secured $13.6bn in foreign investment for Nigeria following his trip to the US last week. pic.twitter.com/i2dWb6LAfH
Wed Jul 22 21:22:14 PDT 2015 --  If 2pac and Biggie was still alive , drake and meek would be working at McDonald's
Wed Jul 22 09:55:46 PDT 2015 --  #MeekMill's beef with #Drake may have gotten him banned from Toronto!! http://goo.gl/DWrH1z  pic.twitter.com/hzn39M1Vk1
Tue Jul 21 20:49:24 PDT 2015 --  Don't compare me to none of the cats that don't write they own raps either...... Lol
Tue Jul 21 20:46:48 PDT 2015 --  Stop comparing drake to me too.... He don't write his own raps! That's why he ain't tweet my album because we found out!
Wed Jul 15 10:20:01 PDT 2015 --  The ones who are honest with you, are the ones who love you..
Tue Jul 14 13:40:07 PDT 2015 --  Stars needs darkness to shine
Mon Jul 13 15:33:06 PDT 2015 --  My cutie!!!! pic.twitter.com/KDV8few0sZ
Sun Jul 12 04:52:27 PDT 2015 --  Plzzzz follow me on IG @ _lil_ oluwaseun tnx
Sun Jul 12 03:26:59 PDT 2015 --  Happy sundai
Sun Jul 12 03:26:50 PDT 2015 --  Sooooooooooo hot
Sat Jul 11 07:29:05 PDT 2015 --  Its sooooooooooooo hot in ABJ to the extent u can fry chucken under the sun and it will burn
Sat Jul 11 02:49:17 PDT 2015 --  Awwww such a CUTIE pic.twitter.com/FlBKfFvPNU
Sat Jul 11 02:47:10 PDT 2015 --  Wen u finally got the right selfie pose
Fri Jul 10 12:17:15 PDT 2015 --  Chris Brown's sneaker room............. I'm done pic.twitter.com/lRygkws48Y
Tue Jul 07 10:11:56 PDT 2015 --  Appreciate the people that hold you down.
Fri Jul 10 13:59:53 PDT 2015 --  TO ALL THE BELLOVERS KEEP LOVING MY MEGA SUPER STAR♡♡♡♡♡♡♡
Wed Jul 08 04:44:07 PDT 2015 --  when someone wakes me up pic.twitter.com/aypNyklQqI
Wed Jul 08 12:40:03 PDT 2015 --  God is watching pic.twitter.com/OOBg4Zzzpc
Tue Jul 07 22:40:23 PDT 2015 --  Mornin y'all
Tue Jul 07 15:12:43 PDT 2015 --  For all those gals who say boy's, guy, s are goats............Have u feed ur father grass today ?
Tue Sep 10 23:24:39 PDT 2013 --  Dear God, Today I woke up, I have my family, I am healthy, I have a roof over my head, I am alive. Thank you lord..RT if u're Thankful
