Thu Aug 13 16:52:19 PDT 2015 --  ): ughhhhhhhh
Mon Jul 13 20:47:14 PDT 2015 --  My husband is so stressful
Wed Jul 08 21:27:36 PDT 2015 --  Sometimes kids try to help and make everything horribly worse but can you be mad at them for trying? Yes. Yes indeed.
Tue Jul 07 20:02:45 PDT 2015 --  I haven't had morning sickness at Alll
Tue Jul 07 07:41:30 PDT 2015 --  I need that
Fri Jul 03 09:05:45 PDT 2015 --  Enter now for your chance to win over $3,700 in prizes from Similac in the Beyond the Bump Giveaway! https://similac.com/sweepstakes 
Thu Jul 02 16:02:48 PDT 2015 --  Que mind numbing social media :
Wed Jul 01 14:24:05 PDT 2015 --  How do you know you're not making the wrong choice?
Tue Jun 30 19:48:46 PDT 2015 --  Wow that was triptastic
Tue Jun 30 16:27:04 PDT 2015 --  When it hits you https://vine.co/v/e59w2e6hq1a 
Tue Jun 30 19:48:00 PDT 2015 --  I just unfollowed someone that I used to idolize.. It's weird how things change and people start to act different
Tue Jun 30 08:56:45 PDT 2015 --  Enter now for your chance to win over $3,700 in prizes from Similac in the Beyond the Bump Giveaway! https://similac.com/sweepstakes 
Sun Jun 28 06:39:36 PDT 2015 --  My husband is so ignorant to learning. New education is what makes us bigger
Sun Jun 28 06:35:51 PDT 2015 --  Yay pic.twitter.com/knmCBMXWuS
Sun Jun 28 06:34:36 PDT 2015 --  Everybody's thinking that the new #LGBTRights is surprising / Man the #illuminati has been planning this shit for centuries I'm telling you
Sun Jun 28 06:31:53 PDT 2015 --  This is a weasel folks. pic.twitter.com/iTPvWuLGCn
Fri Jun 26 21:08:25 PDT 2015 --  Guys I'm like super #pregnant and I didn't even know it.
Tue Jun 23 18:51:13 PDT 2015 --  Sometimes I wish it was nothing - like no sound or light or lack of. Only nothing.
Sun Jun 21 14:46:27 PDT 2015 --  Eating peanut butter cap'n crunch and thinking of you
Fri Jun 19 09:54:15 PDT 2015 --  i'd rather wake up in Bora Bora pic.twitter.com/Jg1V3Xnknv
Thu Jun 18 15:35:19 PDT 2015 --  I always RT #exotic places because it's all I can think about
Thu Jun 04 13:51:48 PDT 2015 --  Hotel La Montana Magica, Chile pic.twitter.com/CKT1lrjMu1
Sun Jun 07 10:44:34 PDT 2015 --  Ahe French Polynesia pic.twitter.com/xnYQVhgyJJ
Wed Jun 17 20:58:13 PDT 2015 --  Moon Bridge in Taiwan pic.twitter.com/bYDAHRYTx7
Thu Jun 18 13:17:33 PDT 2015 --  Me when I have time to take a nap: pic.twitter.com/gryj7fuQbl
Thu Jun 18 15:22:16 PDT 2015 --  I cannot wait to use @HoloLens in real life! So happy to be alive in the future wow
Thu Jun 18 09:06:10 PDT 2015 --  A guy came by to put kids tickets on our counter and he gave me an adult ticket for free too! (: yee pic.twitter.com/naVaPbM68v
Wed Jun 17 20:29:27 PDT 2015 --  Anybody want to go to Beijing to study #shaolin #kungfu and Mandarin Chinese? Tuition 14k :: three months pic.twitter.com/x7xbVzq6Gk
Wed Jun 17 20:28:06 PDT 2015 --  You just had to be there in real life ok pic.twitter.com/8iAxPdwXD3
Wed Jun 17 20:19:07 PDT 2015 --  Apartment Therapy #sofaporn @AptTherapy this color palette gets me every time... pic.twitter.com/P0Sv3QHjG9
Fri Jun 12 17:40:32 PDT 2015 --  pic.twitter.com/k0emqv1GEn
Fri Jun 12 14:56:42 PDT 2015 --  I know what I want but I don't know how to get there
Fri Jun 12 14:00:10 PDT 2015 --  I just added this to my closet on Poshmark: Alice and Olivia "Gale" Leather Booties. http://bit.ly/1KiPEE7  via @poshmarkapp #shopmycloset
Fri Jun 12 09:13:56 PDT 2015 --  "It's not me - it's you"
Tue May 26 11:42:33 PDT 2015 --  Moon Eye and a diamond #drawing pic.twitter.com/k7T7MIMDhz
Fri Jun 12 06:30:16 PDT 2015 --  the most beautiful sunset I've ever seen pic.twitter.com/AGiL6EJ3Rx
Wed Jun 10 14:31:17 PDT 2015 --  Gullfoss, Iceland pic.twitter.com/9P6706kLJ5
Thu Jun 11 20:03:04 PDT 2015 --  I just killed a small black spider that was crawling on my arm and I feel so guilty I even apologized - idk what's going on with me
Thu Jun 11 11:57:21 PDT 2015 --  pic.twitter.com/dYz5dQPyVj
