Fri Aug 28 08:00:18 PDT 2015 --  pic.twitter.com/HxBJSgxHCK
Sat Aug 08 10:23:09 PDT 2015 --  This is what it feels like when u burn the candle at both ends
Fri Aug 07 09:54:11 PDT 2015 --  Shes my woman crush all day everyday https://twitter.com/thinkgeek/status/629686803746922496 …
Fri Aug 07 07:20:29 PDT 2015 --  Can we get the fast talking guy for the commercials? https://twitter.com/io9/status/629655560879767552 …
Thu Aug 06 20:30:04 PDT 2015 --  Raise your hand (or RT) if you can't sleep because you're too excited for fantasy football! http://at.nfl.com/EONzaiq  pic.twitter.com/IWVqrP4Rlx
Thu Aug 06 11:54:18 PDT 2015 --  Nothing says study time music like this right here #XGonnaGiveIt2Ya! pic.twitter.com/5wc9BwkdRJ
Wed Aug 05 16:16:09 PDT 2015 --  . @CamFAwesome is AWESOME! He broke down his infamous interview on SN #NotNotTheTaylorSwiftOfBoxing http://es.pn/1M5SDPQ 
Tue Aug 04 22:48:34 PDT 2015 --  2016 is gonna be such a great year for comicbook movies https://twitter.com/superherohype/status/628798294030823424 …
Mon Aug 03 18:46:52 PDT 2015 --  Long day. Had a meeting then class. Feeling kinda burned out. This jibarito and maduros is either a great idea or gonna kill me
Mon Aug 03 17:06:02 PDT 2015 --  We pay tribute to @WWE Hall of Famer "Rowdy" Roddy Piper. #ThankYouRoddy #RAW #HotRod http://snpy.tv/1OM2E3T 
Sat Aug 01 23:18:59 PDT 2015 --  Thanks twitter for showing me the whole fight in one tweet https://twitter.com/bubbaprog/status/627715517890097152 …
Sat Aug 01 23:15:31 PDT 2015 --  Congratulations to @UFC Bantamweight Champ @RondaRousey on her successful title defense. #UFC190 #RIPRoddyPiper http://snpy.tv/1KJdI11 
Sat Aug 01 16:29:20 PDT 2015 --  Every time I hear this song... I think of @ChrisMunn23 pic.twitter.com/6zbNa6MMiG
Fri Jul 31 16:11:16 PDT 2015 --  RIP rowdy roddy piper https://twitter.com/bluemeaniebwo/status/627247029148852225 …
Tue Jul 28 16:07:12 PDT 2015 --  Red Sox retire Pedro Martinez's number 45. The Hall of Famer won a World Series & 2 Cy Young awards with Boston. pic.twitter.com/SrN4EXGgfr
Mon Jul 27 09:18:46 PDT 2015 --  The Best On Earth. The Best On Mars. #MJMondays pic.twitter.com/MFH8JkwFvn
Sun Jul 26 21:15:27 PDT 2015 --  Got that first invite for fantasy football this year you know i was all like pic.twitter.com/0kdrkxB7fB
Sat Jul 25 10:38:14 PDT 2015 --  Im so ready for #FantasyFootball to start already! Even baby ethan has his game face on!! pic.twitter.com/dFm0pBnVHe
Fri Jul 24 11:15:08 PDT 2015 --  pic.twitter.com/dPUUNJd8MI
Fri Jul 24 06:21:58 PDT 2015 --  Its time to bust that snow cone machine out!!! Cutting edge 80s technology https://twitter.com/yarrhanna/status/624567413082730496 …
Fri Jul 24 04:25:04 PDT 2015 --  BREAKFAST. pic.twitter.com/9C0VzVzV7N
Fri Jul 24 03:41:34 PDT 2015 --  Taking my mom to the airport, i woke up like this FLAWLESS!!! pic.twitter.com/3GggNBDdnE
Thu Jul 23 19:20:19 PDT 2015 --  Wait did someone hear me complain about how my converse all stars hurt my feet? Im all in on these!!! https://twitter.com/converse/status/624302656190689280 …
Thu Jul 23 11:58:47 PDT 2015 --  RT & follow @OriginalFunko for a chance to win a @BellaTwins Pop! 2-pack! We'll pick TWO winners! pic.twitter.com/Y5oaLySkT1
Thu Jul 23 07:04:26 PDT 2015 --  Happy birthday to the friend I've probably had the longest - @ChrisMunn23! pic.twitter.com/5xbF1UdT4B
Tue Jul 21 18:46:22 PDT 2015 --  #Bulls ill take the 72-10 team vs kareem, worthy, magic, kobe and elgin baylor which i think is the greatest laker team position by position
Tue Jul 21 18:42:56 PDT 2015 --  I think this #Bulls vs Lakers thing is silly for one big reason, when the hell is shaq a power forward? He wouldnt be in his own starting 5
Sun Jul 19 19:46:28 PDT 2015 --  So are we getting the corporate ministry back together? https://twitter.com/elliottserrano/status/622960315513352192 …
Sun Jul 19 09:31:25 PDT 2015 --  If only we could celebrate #NationalIceCreamDay with a @WWE Ice Cream Bar... pic.twitter.com/5gmQyzHkO9
Sat Jul 18 12:45:50 PDT 2015 --  HAPPY BIRTHDAY, @Iam1Cent We take a look back at some of the greatest Nike Foamposites: http://trib.al/XIu5C1s  pic.twitter.com/EkbIkI8kt6
Wed Jul 15 12:38:37 PDT 2015 --  If anyone in my twitter world wants a cat my sis is giving hers away. Please let me know if u are looking for a pet by days end
Wed Jul 15 12:18:12 PDT 2015 --  Thank god! https://twitter.com/sportscenter/status/621396775409221632 …
Mon Jul 13 17:29:59 PDT 2015 --  Is @yarrhanna my english teacher, cause i have to do a report on dave grohl pic.twitter.com/TTr7wnjc0H
Sun Jul 12 17:38:24 PDT 2015 --  pic.twitter.com/rcdr9KBKVx
Sun Jul 12 17:40:08 PDT 2015 --  #RIPSatoruIwata nintendo just wont be the same without you pic.twitter.com/F7Y9KvOPXh
Sat Jul 11 20:36:01 PDT 2015 --  Hes gonna watch Les Miserable and fap for days https://twitter.com/thelostlevel/status/620071684511404032 …
Sat Jul 11 14:18:19 PDT 2015 --  nerd dreams do come true! https://twitter.com/dccomics/status/619968856983928832 …
Fri Jul 10 16:54:39 PDT 2015 --  Retweet if you remember popping quarters into this animal. pic.twitter.com/1Y2Gz1YTZh
Sun Jul 05 17:52:32 PDT 2015 --  pic.twitter.com/OeO0idnF2V
Sat Jul 04 11:02:57 PDT 2015 --  I like your ali top. Ive been wanting to get the hoodies that company makes but i want the tyson one https://twitter.com/supachicm2b/status/617390722686283776 …
Sat Jul 04 10:47:19 PDT 2015 --  Happy 4th of july everyone! Be safe and have lots of fun. #TruthJusticeAndTheAmericanWay pic.twitter.com/msxFJrzwRv
Fri Jul 03 21:29:07 PDT 2015 --  Watch out!!! Every filipino persons tito boy is right over your left shoulder!!! https://twitter.com/tubby_mastriani/status/617185439489769472 …
Wed Jul 01 20:29:50 PDT 2015 --  I looked at this with my side eye and thought luke ridnour got traded again https://twitter.com/nbacom/status/616444897718050817 …
Wed Jul 01 12:15:40 PDT 2015 --  Gotta go do some stuff for school then go see the lil squirts then back to batman. Time for some hustla music pic.twitter.com/GY3nFIW6KM
Wed Jul 01 10:43:39 PDT 2015 --  Check out the 11 Greatest Canadian Superheroes! #CanadaDay #CaptainCanuck http://goo.gl/u1SrS1  via @denofgeek pic.twitter.com/t6uQADoJsN
Tue Jun 30 09:32:31 PDT 2015 --  I guess today is sailor moons bday https://twitter.com/isailormoon_/status/615777000775483394 …
Tue Jun 30 08:19:07 PDT 2015 --  Excited to see the new @ufc gear. Hoping my fav guy @Alistairovereem get some stuff soon til then its all @CMPunk pic.twitter.com/hTlqIG5rj2
Mon Jun 29 09:31:01 PDT 2015 --  Atleast you wont yell about porzingus getting drafted by the knicks, unless hes at giants training camp today https://twitter.com/stephenasmith/status/615557081693843457 …
Mon Jun 29 09:26:35 PDT 2015 --  When your girl was having a secret meeting and you werent invited am I right kevin love https://twitter.com/hisandhers/status/615551448084975616 …
Sat Jun 27 17:27:25 PDT 2015 --  #Nightwing its not an option but its the obvious answer https://twitter.com/comicconbox/status/614932632946675712 …
Fri Jun 26 10:13:27 PDT 2015 --  marriage equality is here and people who love each other can get married #LoveWins pic.twitter.com/Psrrpx6ebd
Thu Jun 25 19:06:26 PDT 2015 --  I like it! You cant teach size homie #BullsNation https://twitter.com/chicagobulls/status/614252976224477184 …
Tue Jun 23 10:18:34 PDT 2015 --  RT @redeyechicago: Thank you, @MayaRudolph for the #RachelDolezal impression we all deserve. http://trib.in/1HbDKvu  pic.twitter.com/7JBsHtpICt
Mon Jun 22 12:49:50 PDT 2015 --  A ON THAT FIRST FINAL SON!!!!! pic.twitter.com/qfrc0ZDJJN
Sun Jun 21 12:03:15 PDT 2015 --  #HappyFathersDay pic.twitter.com/g7G3ZC86A5
Sun Jun 21 10:02:36 PDT 2015 --  Happy fathers day to all the proud dads out there pic.twitter.com/gi4s7Sxj2y
Sat Jun 20 23:19:20 PDT 2015 --  God i want to see mad max again #マッドマックスヤバい
Wed Jun 17 20:27:18 PDT 2015 --  Lolllll RT @TeamThirstTrap: #BlackTwitter when only baseball is on sports-wise pic.twitter.com/zDxSkuxQbu
Tue Jun 16 21:48:51 PDT 2015 --  @GailSimone That's the damn truth. pic.twitter.com/sy3a0Gih0R
Tue Jun 16 21:39:49 PDT 2015 --  Congrats on the win! @warriors pic.twitter.com/DDVrBHYAg3
Tue Jun 16 21:06:53 PDT 2015 --  STILL A CHAMP. #NBAFinals pic.twitter.com/uh5I7bT3K1
Tue Jun 16 20:43:52 PDT 2015 --  #GSW about the win the title, isnt it obvious that curry is the finals mvp, riley curry that is pic.twitter.com/h76lUeJSJy
Mon Jun 15 23:11:39 PDT 2015 --  Wrigleyville. Wow. (Via WGN) pic.twitter.com/gxAHAUkQsq
Mon Jun 15 20:02:11 PDT 2015 --  Kongrats to the Hawks man!!!! Crawford a monster
Mon Jun 15 20:02:19 PDT 2015 --  Blackhawks fans right now pic.twitter.com/RifjFEiVdn
Mon Jun 15 20:00:56 PDT 2015 --  Thanks for representing the fighting spirit of chicago #Blackhawks everyone celebrate without destroying chicago please
Mon Jun 15 19:43:42 PDT 2015 --  KANER!!! pic.twitter.com/DbqDUq7VQ9
Mon Jun 15 09:50:20 PDT 2015 --  Hell yeah perfect dark zero!!! - said no one jk its still cool that u can play ur old games https://twitter.com/xbox/status/610489269275090944 …
Mon Jun 15 09:45:58 PDT 2015 --  "Games coming out this year!" - Coming Spring 2016 #E32015
Sun Jun 14 21:40:02 PDT 2015 --  The Lannisters always pay there debts even if it means amount of shits thrown #GameofThrones
Sun Jun 14 11:28:23 PDT 2015 --  Whoa. This exists?! #Aaliyah doug_coombe's photo https://instagram.com/p/3608J0nNYf/ 
Sun Jun 14 10:30:03 PDT 2015 --  Jeez elaine if u want us to look at your twitter post u dont gotta flash us the legs https://twitter.com/bubbleteatrips/status/610125328460214273 …
Sat Jun 13 14:15:26 PDT 2015 --  Transformers game made by platinum games? Take my money!!!! https://twitter.com/wario64/status/609831203785560064 …
Sat Jun 13 10:20:32 PDT 2015 --  He wants R Kelly to make a song about him being able to fly and is hoping the finals victory will make that happen https://twitter.com/sarahspain/status/609763917498335233 …
Fri Jun 12 10:47:33 PDT 2015 --  This is just awesome! RIP Dusty Rhodes #WWE pic.twitter.com/6OIPy52Ha9
Fri Jun 12 18:41:06 PDT 2015 --  Wait a minute. There is a porn convention in chicago this weekend?
Fri Jun 12 09:34:51 PDT 2015 --  I think i found my reason to call off https://twitter.com/simpsonsqotd/status/609374904744587264 …
Thu Jun 11 17:54:20 PDT 2015 --  U have to prepay for it in advance and only those and 10000 more are manufactured. If u dont get it then its ur bad https://twitter.com/kicksdeals/status/609156945359044608 …
Thu Jun 11 11:00:26 PDT 2015 --  Man first christopher lee and now dusty? RIP #AmericanDream https://twitter.com/wwe/status/609057037167783937 …
Thu Jun 11 10:59:15 PDT 2015 --  RIP #ChristopherLee
Wed Jun 10 21:55:47 PDT 2015 --  gotta bring back Sylar & peter pitrelli or im out! https://twitter.com/screencrushnews/status/608853674253639682 …
Wed Jun 10 12:58:45 PDT 2015 --  How did this sneak into my outkast playlist? pic.twitter.com/NBFF6YoGdc
Wed Jun 10 10:47:43 PDT 2015 --  OREO MUST BE STOPPED! pic.twitter.com/p6gF33X2ML
Wed Jun 10 09:43:21 PDT 2015 --  I feel like my bed wont stop cuddling me. Sorry bae but i have class
Tue Jun 09 20:56:02 PDT 2015 --  I have been a lebron hater for years mostly cause be beats up on my bulls every year but dude mad respect for elevating this team
Mon Jun 08 21:58:42 PDT 2015 --  Freaking #GameofThrones why do u do this to me!?!? Only one episode left til i gotta wait a whole year for more!!!
Sun Jun 07 20:39:06 PDT 2015 --  What a long and eventful day. Lil baby ethan got baptised woohoo!!! pic.twitter.com/eay0EDZxGE
Sun Jun 07 19:50:33 PDT 2015 --  pic.twitter.com/7rpQ0K6YQi
Fri Jun 05 17:11:18 PDT 2015 --  Yo! @levarburton and @BoJackson at the @whitesox game! pic.twitter.com/H63lnwUBkM
Fri Jun 05 10:20:27 PDT 2015 --  I say all the older games should go in before doom or world of warcraft. Wheres donkey kong or contra or something https://twitter.com/hisandhers/status/606872665207525377 …
Fri Jun 05 09:10:05 PDT 2015 --  RT & follow for a chance to win 1 of 2 Ant-Man prototype Pop! figures from @CollectorCorps! Two winners this time! pic.twitter.com/xRWtJ8P5e4
Thu Jun 04 22:05:59 PDT 2015 --  "Im just her cause I know your fine" https://twitter.com/kicksdeals/status/606684710513745920 …
Thu Jun 04 20:12:09 PDT 2015 --  Space Jam aliens tried to get Shump talent but he shook it off https://vine.co/v/eMb6B1Z5mh7 
Thu Jun 04 20:43:35 PDT 2015 --  Harrison Barnes #Splash! The @Warriors take a 105-98 lead with 2:02 left in OT on ABC. #NBAFinals
Thu Jun 04 20:34:21 PDT 2015 --  CHEF CURRY NOOOOOOOO!!!! #GSW https://twitter.com/sportscenter/status/606665141443272704 …
Thu Jun 04 19:22:56 PDT 2015 --  Bay Area!! @e40 on the mic at the half! #NBAFinals pic.twitter.com/duQ07GaJBh
Thu Jun 04 19:15:48 PDT 2015 --  #GSW https://twitter.com/nbatv/status/606645053981921280 …
Thu Jun 04 12:57:45 PDT 2015 --  You don't always need a ring to inspire Fear... RT for Doom Fav for Sinestro pic.twitter.com/KlD0RWaNQC
Wed Jun 03 15:45:34 PDT 2015 --  Anybody out there wanna see #HellboyIII as much as I do? Let's get this muthafucka trending, y'all! Let's end the trilogy; we earned it!
Thu Jun 04 12:15:25 PDT 2015 --  Really tempted to buy something i really dont need just cause i can today
Thu Jun 04 10:56:51 PDT 2015 --  @SarahSpain pic.twitter.com/u7pVKkU8ZU
Wed Jun 03 22:16:26 PDT 2015 --  Alright guys, its that time… round 3 of 12!! MJ vs LJ! RT for Jordan 3s -or- Fav for LeBron 3s pic.twitter.com/OXRGv8iMXF
Wed Jun 03 18:18:58 PDT 2015 --  #Fallout4 i hope there is a side story where manny ramirez was peeing in the scoreboard during the bomb and is alive in the new world
Wed Jun 03 12:05:12 PDT 2015 --  Music to graph stuff too pic.twitter.com/9Dm7j2pwpW
Wed Jun 03 08:12:42 PDT 2015 --  Do i get to play as the dog the whole time? Also where is tom brady in the #Fallout4 world? Answers!! Give me!! https://twitter.com/thelostlevel/status/606104907939213312 …
Tue Jun 02 22:58:09 PDT 2015 --  School, party, work, school and now i can finally sleep. No rest for the wicked
Tue Jun 02 22:56:09 PDT 2015 --  All the same things but no homo, ok kinda homo https://twitter.com/bubbleteatrips/status/605962871177158657 …
Tue Jun 02 21:23:26 PDT 2015 --  Alright, its that time. Who is gonna win Round 2 of 12? MJ vs. LJ…. RT for Jordan 2s -or- Fav for LeBron 2s pic.twitter.com/8UaaaF1NOb
Tue Jun 02 11:17:22 PDT 2015 --  Remember #E3 2002? Follow & RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://amzn.to/Rules  pic.twitter.com/607EE0pPIJ
Tue Jun 02 06:04:20 PDT 2015 --  Went drinkin last night, surprisingly awake and feeling good also #flawless pic.twitter.com/3YCr7VW5TX
Mon Jun 01 15:02:14 PDT 2015 --  This is how i get down while working on my programming homework pic.twitter.com/yDC4gqobtE
Sun May 31 21:50:21 PDT 2015 --  Damn #GoT they lul u to sleep make u think everyone is all good then boom madness then BOOOOM U GOT 2 episodes left! https://twitter.com/gametrailersvo/status/605233752399159296 …
Fri May 29 17:02:58 PDT 2015 --  Air show. Iconic images of MJ by Walter Iooss Jr. are on display now through 9/7, outside @fieldmuseum in Chicago. pic.twitter.com/JhJJB3nImM
Sun May 31 20:34:21 PDT 2015 --  Just when u think ah #GameofThrones has been pretty tame the last few weeks all of a sudden everything just hits the fan
Sun May 31 19:56:24 PDT 2015 --  Did the wwe just give everyone what they want? Whats next? Stone cold and the rock return to fight hogan and savage? https://twitter.com/the_ironsheik/status/605205346525814784 …
Sun May 31 19:36:30 PDT 2015 --  THAT FACE YOU MAKE WHEN YOU PIN CENA CLEAN ON YOUR DEBUT. NO ONE HAS EVER MADE IT BEFORE IT'S A BRAND NEW EXPRESSION pic.twitter.com/7mFWpQ1QFj
Sun May 31 12:23:14 PDT 2015 --  No lie i will wear them even though green isnt my color if u send them to me https://twitter.com/ronfunches/status/605091027523796992 …
Sun May 31 11:26:28 PDT 2015 --  I wish he was still one the whitesox, also run fatboy run!!!! #BigBoysRepresent https://twitter.com/deadspin/status/605077490399375360 …
Sun May 31 11:00:04 PDT 2015 --  On this date in 1998, the @chicagobulls defeated the Pacers to make their third straight #NBAFinals appearance pic.twitter.com/CpgwRv8wNY
Sat May 30 19:55:14 PDT 2015 --  (Ducks fly together) pic.twitter.com/Cpaj0TQ2tH
Sat May 30 15:00:10 PDT 2015 --  RT & follow @OriginalFunko for a chance to win Deadpool's Chimichanga Pop! Ride! pic.twitter.com/IOTPLSIyIV
Fri May 29 10:46:41 PDT 2015 --  Looks like american football wins over OG futbol today am I right @nfl https://twitter.com/sportscenter/status/604339806529802240 …
Fri May 29 10:42:35 PDT 2015 --  And so the Blatter Control problem continues... RT @AJEnglish: Sepp Blatter wins fifth term as FIFA president http://aje.io/hacj 
Thu May 28 20:56:23 PDT 2015 --  My lil nephews have got a tight ass shoe game pic.twitter.com/VtrQwuz0Mk
Wed May 27 21:30:42 PDT 2015 --  Goooooo Warriors!!! https://twitter.com/warriors/status/603771768797581312 …
Wed May 27 17:57:26 PDT 2015 --  Love them so much https://twitter.com/kicksonfire/status/603715664247922691 …
Wed May 27 16:56:26 PDT 2015 --  Allergies are the WORST part of Spring/Summer!!! pic.twitter.com/urXfyADODj
Tue May 26 11:46:59 PDT 2015 --  RT & follow @TheVinylSugar for a chance to win a Batman and Robin Dorbz set! pic.twitter.com/WSUCYg7T7O
Mon May 25 23:45:01 PDT 2015 --  Why must it be so cool and expensive!?!? #NerdProblems https://twitter.com/lootcrate/status/603078351528558592 …
Mon May 25 20:39:24 PDT 2015 --  pic.twitter.com/h9NlWPOp6q
Mon May 25 12:00:05 PDT 2015 --  Based on your votes, we're giving away 4 Pop! protos to 4 winners! Ends tomorrow! RT & follow to enter! pic.twitter.com/X5SfASGb5K
Mon May 25 07:24:58 PDT 2015 --  Hoping everyone can celebrate Memorial Day in a manner fitting for you, as we remember those who sacrificed for all of us today.
Sat May 23 12:34:52 PDT 2015 --  RT & follow @OriginalFunko for a chance to win a Storm Glitter Hulk Hikari Sofubi figure! pic.twitter.com/ThJ5b4PoKZ
Sat May 23 12:00:08 PDT 2015 --  We heard you loud & clear! Based on your votes, we're giving away 4 Pop! protos to 4 winners! RT & follow to enter! pic.twitter.com/ObemUS5p7N
Sat May 23 11:45:19 PDT 2015 --  Can YOU remember these 50 faces that were all over #WCW television in the '90s? PHOTOS: http://wwe.me/NkL16  pic.twitter.com/hDLv1ejMLW
Sat May 23 10:10:43 PDT 2015 --  Derrick Rose & Son! #Bulls pic.twitter.com/OURR4nvNvo
Sat May 23 07:29:24 PDT 2015 --  True or False?? #BatmanvSuperman #Batman #Superman #Disney #DC #ComicConBox pic.twitter.com/JYnjXMtbKX
Thu May 21 12:21:08 PDT 2015 --  taint nothing but a G thang baby #taintsongs
Thu May 21 07:56:15 PDT 2015 --  B.I.G. t-shirt moment… Happy Birthday Biggie pic.twitter.com/twCuz8inc3
Wed May 20 15:11:31 PDT 2015 --  Want a piece of this? RT and you could win the whole thing. RULES: http://xbx.lv/1AmtehX  #WitcherXboxOne pic.twitter.com/4dnrQcigMW
Wed May 20 20:35:08 PDT 2015 --  NEVER FORGET. #ThanksDave pic.twitter.com/urxkbClti4
Wed May 20 19:09:47 PDT 2015 --  How is @WWENXT so much cooler than than raw and smackdown?!?! https://twitter.com/wweuniverse/status/601207094453252096 …
Wed May 20 17:04:34 PDT 2015 --  I cant wait til sony hires Kevin Kratos and microsoft hires John MasterChief #IsThisRealLife https://twitter.com/nintendoamerica/status/601168035257397249 …
Tue May 19 17:31:02 PDT 2015 --  I hope in shocking fashion that the thunder get the first pick https://twitter.com/nbatv/status/600818240835588098 …
Tue May 19 17:12:22 PDT 2015 --  Which #Jordan Lifestyle shoe would you rock for Summer? RT for Eclipse FAV for 1 Flight 3 #SummerLaunch pic.twitter.com/1pxXrqSMqD
Mon May 18 21:23:19 PDT 2015 --  its like the wwe actually listened to there fans https://twitter.com/wwe/status/600514798707712000 …
Mon May 18 16:41:07 PDT 2015 --  If ur reading this is pretty much too late https://twitter.com/solecollector/status/600437425673007104 …
Fri May 15 12:40:00 PDT 2015 --  How Bulls fans woke up this morning: pic.twitter.com/ardeyATbOt
Thu May 14 23:26:22 PDT 2015 --  🏿RIP to The Legend that will always #BE. Mr. B.B. #KING .. His Thrill Lives ON !!!! And We Thank #GOD for Him. 🏿 pic.twitter.com/fpy1DH0MrU
Thu May 14 17:39:45 PDT 2015 --  It doesnt say one on one in basketball. I think MJ can beat lebron in mortal kombat X right now no question! https://twitter.com/sportsnation/status/598999941592326144 …
Thu May 14 16:34:57 PDT 2015 --  More likely to force a Game 7? RT - Bulls Fav - Rockets pic.twitter.com/EWvj7Ctd1r
Mon May 11 14:38:46 PDT 2015 --  Tom Brady's response to his 4-game suspension. pic.twitter.com/UZPJVZVeLe
Sun May 10 14:59:59 PDT 2015 --  Mother of fucks...this Cavs/Bulls game!!!
Sun May 10 11:40:00 PDT 2015 --  @ChrisMunn23 DAMN, SON! She worth it! Look at our referee! pic.twitter.com/nUbPBNjQdX
Sun May 10 09:22:20 PDT 2015 --  @ChrisMunn23 Happy Mother's Day, Tita Len! #millionDollarMom #TinaTurner pic.twitter.com/s3z3LWxoAv
Fri May 08 18:13:57 PDT 2015 --  Montel Jordan has played TWO halftime shows these NBA playoffs. Guess it is Friday night... pic.twitter.com/cebHpmM5AB
Fri May 08 16:35:38 PDT 2015 --  Change the future and make 2015 the sox year https://twitter.com/cut4/status/596810301351198721 …
Fri May 08 11:25:57 PDT 2015 --  God i loved these guys #MastersOfTheUniverse http://io9.com/every-masters-of-the-universe-action-figure-ranked-1703132270/+tinaamini …
Fri May 08 01:41:17 PDT 2015 --  Allen Iverson Problems. #Practice pic.twitter.com/tNM3gBbU4x
Thu May 07 12:45:24 PDT 2015 --  #TRUSTME pic.twitter.com/xdL6fuP6ik
Thu May 07 11:42:52 PDT 2015 --  20 years ago today, Reggie Miller was like: pic.twitter.com/Q6lN3TSJ8u
Thu May 07 11:45:27 PDT 2015 --  This news is better than the whole age of ultron movie https://twitter.com/io9/status/596383552805167105 …
Tue May 05 06:45:26 PDT 2015 --  #RevengeOfTheFifth Life after #Maythe4th means more of the @disney SW engine Marketing #socialmedia plays it part pic.twitter.com/HtFi3dt6SJ
Mon May 04 18:41:49 PDT 2015 --  He's an Ohio native and a former Cav but @HARPER04_5 won his first three championships in Chicago... pic.twitter.com/PIjA6SsGwZ
Mon May 04 18:26:52 PDT 2015 --  Bulls lead wire to wire and take Game 1! #SeeRed #CAVSvBULLS pic.twitter.com/jJVCfSGJhM
Mon May 04 17:37:49 PDT 2015 --  PAU! pic.twitter.com/PxwULAthrz
Mon May 04 08:59:43 PDT 2015 --  May the forth Beyoncé. pic.twitter.com/ju13G154dK
Mon May 04 09:42:41 PDT 2015 --  Boom: May The Fourth Be With You...! pic.twitter.com/GwIMFORT4R
Mon May 04 09:50:16 PDT 2015 --  First day back to school, gonna be awesome. Also #MayThe4thBeWithYou pic.twitter.com/U2RG2G9nx6
Sat May 02 10:00:10 PDT 2015 --  RT & follow for a chance to win a coveted @MannyPacquiao Pop! We're giving away 12 through Twitter! pic.twitter.com/LqNXVzzqBI
Sun May 03 08:28:48 PDT 2015 --  Today would've been Stu's 100th birthday. The Patriarch pic.twitter.com/TSNeitmCmh
Sat May 02 22:11:13 PDT 2015 --  Glad my Boi won but DAMN I wanted to see a KNOCKOUT tonight!! Boxing starting to get real boring. Missing the Tyson Days.
Sat May 02 22:07:41 PDT 2015 --  Well we got it out of the way so unless Mike Tyson comes out of retirement i will never watch boxing again
Sat May 02 22:00:19 PDT 2015 --  Pussy ass win. If they had life bars like mortal kombat #Pacman won in round 6 by fatality!!
Sat May 02 21:53:58 PDT 2015 --  Fuck boxing, scoring is dumb. MMA IS OBVIOUSLY BETTER!
Sat May 02 20:44:18 PDT 2015 --  Loud chants of "Manny! Manny! Manny!" ringing out at the MGM Grand. #MayPac
Sat May 02 20:39:40 PDT 2015 --  adidas Denzeezy Boost coming soon pic.twitter.com/IMxrF05eq0
Sat May 02 20:24:24 PDT 2015 --  We love you MANNY!!! #pacman #oneforpacman #MayPac https://instagram.com/p/2NF8jkCokU/ 
Sat May 02 20:23:01 PDT 2015 --  Kobe/Pacquaio fans be like... #MayPac pic.twitter.com/mSuBpwMndv
Sat May 02 20:03:16 PDT 2015 --  STILL THE G.O.A.T. pic.twitter.com/0TqZ25Cj1a
