Sat Aug 29 12:41:44 PDT 2015 --  Day 4 conquered!!! http://www.mapmyrun.com/workout/1143988099 …
Wed Aug 12 14:21:35 PDT 2015 --  I was a camp counselor for second and third graders last summer and got tackled and kicked in the balls by a nine year old. #BUMMERCAMP
Wed Aug 12 00:35:35 PDT 2015 --  So I'm kinda living in nowhere, Oregon, so if I don't find a girl in this town my best bet is either to marry or be killed by a female deer
Wed Aug 12 00:31:08 PDT 2015 --  I've given this tweet a lot thought cause its very important for me to explain my current situation and my current situation is nothing.
Mon Aug 10 00:00:00 PDT 2015 --  That moment when you're Oregon-bound. #oregon #newhome
Sat Jul 25 23:38:14 PDT 2015 --  Shouldn't iphone be called iphone air cause let's be honest we would all be dead without it. #ineedit #iphone #air
Wed Jul 22 13:25:53 PDT 2015 --  If I lost my iphone I'd probably have a panic attack, go insane and be dropped off at a clinic. #THEREISAIDIT
Sun Jul 19 09:59:07 PDT 2015 --  Charles Barkley: “LeBron should call it Trainwreck 2, because the finals was Trainwreck 1." http://tw.nbcsports.com/vZ8  pic.twitter.com/QvI4LdU98d
Sat Jul 18 13:38:04 PDT 2015 --  Warm reception from the great Tahoe crowd @ACChampionship #Accgolf pic.twitter.com/ySUYhH3J8G
Fri Jul 10 12:07:45 PDT 2015 --  If this tweet gets 5,000 RTs by 1pm PT, one of our followers will win a signed Clayton Kershaw jersey. #MVPtoASG pic.twitter.com/suu0wcUQet
Fri Jun 26 14:37:18 PDT 2015 --  Could the @NBA get any better. Phil jackson sucks at his job, Lebron is losing rings, and the @Lakers are getting good!!! #sorrynotsorry
Wed Jun 10 18:53:48 PDT 2015 --  I'm in love with the dino. I'm in love with the dino. I got a ticket for the show, show. I'm in love with the dino. @FallonTonight #DINORAPS
Wed Mar 25 12:57:33 PDT 2015 --  I had a summer job doing yard work in 100-degree heat. Boss told me to go buy mulch. I never came back. #HowIQuit
Tue Nov 11 00:11:26 PST 2014 --  If a butterfly killed a human, would it be called the human effect?
Tue Nov 11 00:03:42 PST 2014 --  Pluto is a living proof that a long distance relationship is a struggle.
Mon Nov 10 23:58:04 PST 2014 --  A kid asked his dad, what makes up the elements? the dad answers, I don't know, I didn't go to elementary school.
Wed Aug 20 15:30:37 PDT 2014 --  #MYROOMMATEISWEIRD because he would bring his acoustic guitar in the bathroom and start jamming away for a solid hour.
Mon Aug 18 21:47:37 PDT 2014 --  New horror story: Last man on earth gets called out to do the ice bucket challenge.
Mon Aug 18 18:21:55 PDT 2014 --  I wonder if God called out Jesus for the Ice Bucket Challenge? pic.twitter.com/wbbFHOD4He
Mon Aug 18 18:06:36 PDT 2014 --  UHHH, if the dodgers would play today, that would be great!!! #bored
Mon Aug 18 17:37:23 PDT 2014 --  Fun fact ALS stands for Amyotrophic lateral sclerosis, you're welcome. #ALS
Thu Aug 14 19:58:47 PDT 2014 --  First day ever in Las Vegas my sister and I walked 5 miles around downtown to get some ben and jerry's, but they were closed. #VACATIONFAIL
Wed Aug 13 00:20:07 PDT 2014 --  That mind blowing moment when even D-Rose came back before D-Rose came back to the NBA!!!
Wed Aug 13 00:14:38 PDT 2014 --  We should reintroduce video games to telegenic games.
Mon Aug 04 13:56:48 PDT 2014 --  Fuck Cody
Wed Aug 13 00:08:00 PDT 2014 --  Fun fact you can only fit 74 number on 150 characters. @Codyman24
Wed Aug 13 00:07:22 PDT 2014 --  1234567891011121314151617181920212223242526272829303132333435363738394041424344454647484950515253545556575859606162636465666768697071727374
Tue Aug 12 23:59:19 PDT 2014 --  What did the legal weed states say to the illegal ones? Are you jail less yet?
Tue Aug 12 23:52:04 PDT 2014 --  I wonder if one day someone knew the formula to cure cancer and tweeted about it but no one cared about the person and scrolled passed them.
Tue Aug 12 23:40:37 PDT 2014 --  Maybe Robin William's death is a sequel to World's Greatest Dad, he just went out the same way his son did and now his movies are famous.
Wed Aug 06 23:49:00 PDT 2014 --  Whenever I get super bored I play an imaginary game of either basketball or baseball because in that world I'm actually good. #MYWEIRDSECRET
Sun Jul 27 23:40:07 PDT 2014 --  So fun fact, my birthday is the day the annual purge starts in the movie, March 21,
Thu Jul 24 16:53:33 PDT 2014 --  On #MYWORSTBIRTHDAY I puddled some spit on the birthday cake while blowing out the candles but luckily no one saw it so I said nothing.
Tue Jun 03 18:19:41 PDT 2014 --  Checked in @ Dodger Stadium for the White Sox vs. Dodgers game w/ http://MLB.com  #whitesox #dodgers
Sat May 31 00:07:50 PDT 2014 --  #MAKESMEMAD when spiders decide to plan out a yearly schedule into my bedroom and bathroom!!! #hatespiders
Fri May 30 23:48:35 PDT 2014 --  #MAKESMEMAD when I put on my headphones and people think It's cool to talk to me all of sudden.
Thu May 15 15:01:53 PDT 2014 --  Growing up my family was the weird neighbors, throwing outrageous parties, screaming fits, and a giant squid on our lawn!!! #MYWEIRDNEIGHBOR
Tue May 13 18:18:23 PDT 2014 --  Checked in @ Dodger Stadium for the Marlins vs. Dodgers game w/ http://MLB.com  #marlins #dodgers
Thu May 08 15:59:53 PDT 2014 --  My mom is slowly turning Canadian for pronouncing wash to wursh, room to rum, and about to abou-ute. #MOMQUOTES
Fri May 02 00:33:53 PDT 2014 --  You know who should be the rapper representing the hashtag challenge??? Nae Nae!!! #KENTUCKYDERBYRAP
Fri May 02 00:26:26 PDT 2014 --  Horses up all night for the run, gamblers up all night to win some,jockey's up for shot gun,"I'm up all night" gets lucky. #KENTUCKYDERBYRAP
Wed Apr 16 21:59:14 PDT 2014 --  Fun fact for you: brandon league's middle name is minor!!!
Thu Apr 10 19:14:09 PDT 2014 --  My mom is slowly turning Canadian for pronouncing wash to wursh, room to rum, and about to abou-ute. #MYWEIRDFAMILY
Thu Apr 10 19:08:37 PDT 2014 --  The four of us siblings had an intervention for my mom because of her annoying smoking and screaming habits!!! #MYWEIRDFAMILY
Mon Mar 24 22:15:41 PDT 2014 --  Cont. and keep heads high because love is a perfect beauty created by our perfect creator, God Almighty!!! PS SUIT UP!!!
Mon Mar 24 22:14:59 PDT 2014 --  Cont. the search for true happiness isn't given to those who do not seek love, share, rejoice, be legend wait-for-it DAIRY,
Mon Mar 24 22:14:01 PDT 2014 --  Cont. who's truly their to carry you to the finish line, to do things spontaneously out of true love,
Mon Mar 24 22:11:32 PDT 2014 --  The best thing about how i met your mother is knowing who's their for you when your needed the most.
Wed Mar 19 17:07:22 PDT 2014 --  #MAKESMEMAD when i'm comfortably sleeping and an earthquake wakes me up and start panicking to only go back to sleep paranoid.
Thu Mar 13 23:49:34 PDT 2014 --  Camping at a river I showered in a bathroom with thousands of spiders, got wet sand poured on my head and got pink eye. #BADSPRINGBREAK
Sat Mar 01 16:34:08 PST 2014 --  The month of march 2014: Sad: One year of my Dad's passing, last month of the era of how i met your mother Happy: My birthday, golf season!
Tue Feb 18 21:16:49 PST 2014 --  Who's glad Juan Uribe re-signed with the Dodgers over the winter?
Mon Feb 10 23:25:25 PST 2014 --  what's bigger than a nigger who's got the trigger at the gold-digger?
Mon Feb 10 22:58:06 PST 2014 --  You try not killing yourself while 100,000's of people yell at you 24/7!!! pic.twitter.com/SBC5PEum1b
Mon Feb 10 22:49:46 PST 2014 --  pic.twitter.com/tukxhMImX2
Mon Feb 10 22:48:32 PST 2014 --  Meme Maker - Plays Flappy Bird bird escapes through the pipes http://shar.es/QzKys  via @sharethis
Mon Feb 10 22:44:26 PST 2014 --  Chuck norris doesn't get angry at flappy bird, flappy bird gets angry at himself for letting chuck norris down
Mon Feb 10 22:41:03 PST 2014 --  fi enoyna dluoc dear siht i epoh i detsaw ruoy elbaulav tghin ylerecnis namedoc
Mon Feb 10 22:26:18 PST 2014 --  compose new tweet... BITCH don't tell me what to compose!!!!
Mon Jan 06 23:52:51 PST 2014 --  At least we can compare Pau Gasol and Andre Ethier more...
Tue Dec 24 01:58:51 PST 2013 --  Basket #AppTrailers - 9 likes: https://m.appredeem.com/vid/vid.php?id=828617 …
Thu Dec 19 13:32:50 PST 2013 --  China's Improvements http://www.quickmeme.com/p/3vqng9  via @quickmeme
Thu Dec 19 13:16:35 PST 2013 --  Anti-Clippers Fan http://www.quickmeme.com/p/3vqnf0  via @quickmeme
Thu Dec 19 13:12:54 PST 2013 --  Bad Luck Kobe http://www.quickmeme.com/p/3vqneo  via @quickmeme
Sun Dec 15 16:16:58 PST 2013 --  Watching the elf movie, forgot how awesome this movie is!!!!!!
Mon Dec 09 17:24:38 PST 2013 --  #HIMYM is just a classic! Can be watched over and over again and is still hillarious!
Wed Oct 16 18:00:14 PDT 2013 --  I'm so happy eastbound is back on. I missed Kenny fucking p
Sun Oct 13 10:36:14 PDT 2013 --  When I don't have a condom I use a Subway foot long bag.
Mon Oct 07 22:30:15 PDT 2013 --  To all you baseball haters who think this game is too slow, you go talk to Mr. Uribe and the boys in blue!!! #weownthewest
Mon Oct 07 22:26:23 PDT 2013 --  #uribelievable
Sun Oct 06 20:24:17 PDT 2013 --  Crawford's gotta be player of the game, BEAST MODE!!! #Dodgers
Fri Jul 19 12:20:19 PDT 2013 --  If you can say these four words fast without getting tongue tied you're a genius: 1: Eye, 2: Yam, 3: Stew, 4: Peed.
Tue Jul 16 10:00:07 PDT 2013 --  Going to #ASG?Get to Citi Field by 5pm for #ITatASG w/ @KMillar15 & @ChrisRose andRT for the chance to get a @IntentionalTalk bobblehead!
Tue Jul 02 18:47:45 PDT 2013 --  Sorry NL West but Hollywood had VIP to the postseason club
Tue Jun 25 22:20:27 PDT 2013 --  Welcome back @TheRealMattKemp
Tue Jun 18 08:50:08 PDT 2013 --  Summer break and I'm sick #storyofmylife
Fri Jun 07 20:40:14 PDT 2013 --  Puig fuego #Puigfever
Thu Jun 06 21:36:14 PDT 2013 --  VIVA PUIG VIVA GRANDY #Puigfever
Tue May 28 20:56:08 PDT 2013 --  Ryudiculous #Asianfever
Tue May 14 21:32:34 PDT 2013 --  Clayton Kershaw's stellar start puts him on top of one of the most remarkable lists in MLB history » pic.twitter.com/AsDc65P1Eo
Tue May 14 21:32:26 PDT 2013 --  AND #whiff goes the dynamite
Tue May 14 21:29:06 PDT 2013 --  Not disappointed after watching #Kershaw paint a beautiful picture
Tue May 14 21:13:40 PDT 2013 --  #kershaw for cy young again?!?!?!?!?!?!
Tue May 14 20:52:32 PDT 2013 --  Talk about a pitching duel at its finest #GoDodgers
Mon May 13 22:24:15 PDT 2013 --  Dodgers+loss=sad me
Mon May 13 21:22:30 PDT 2013 --  Dodgers+Bat=Loss
Mon May 13 20:57:23 PDT 2013 --  #HIMYM fans, a secret 8 years in the making! RT now if you were surprised! #WEMETTHEMOTHER! http://bit.ly/10K4e18  pic.twitter.com/jIt6fsuD4m
Mon May 13 20:11:32 PDT 2013 --  #HIMYM has officially BLOWN MY MIND!!!!!!!!
Sat May 11 23:28:13 PDT 2013 --  SNL TIME!!!!!!
Wed May 08 23:23:48 PDT 2013 --  #lifehastaughtme that school hasn't really taught me anything
Wed May 08 23:22:06 PDT 2013 --  #highschoolhastaughtme that zombies exist!!!
Wed May 08 21:52:30 PDT 2013 --  No Hanley Ramirez, No Mark Ellis, partially No Adrian Gonzalez, fuckin' big problem
Wed May 08 21:47:30 PDT 2013 --  thanks dodgers for wasting 3 hours a day for watching the grass grow
Wed May 08 21:46:24 PDT 2013 --  dodgers lose, yeah
Wed May 08 21:37:52 PDT 2013 --  gots to score on that double
Wed May 08 21:27:36 PDT 2013 --  I don't think the dodgers have been introduced to winning, probably too out of there league!!!!
Tue May 07 22:39:07 PDT 2013 --  Dodgers Lose, SURPRISE SURPRISE SURPRISE
Tue May 07 22:36:01 PDT 2013 --  My love for dodgers has weakened
Tue May 07 22:21:53 PDT 2013 --  Can I wave the white flag on the Dodgers season yet
Tue May 07 22:06:31 PDT 2013 --  Watching the Dodgers at there best, did I mention they fuckin' suck big hairy monkey balls
Mon May 06 22:07:02 PDT 2013 --  Have I mention yet that ummmmmmmmmmmmmmmmmmmmmm THE DODGERS FUCKIN' SUCK JUICY FUCKIN' ASSHOLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Mon May 06 22:05:20 PDT 2013 --  You're welcome san antonio
Mon May 06 22:00:57 PDT 2013 --  I see a triple OT in thy future
Mon May 06 22:00:15 PDT 2013 --  what did I tell you I watch Spurs win it's science
Mon May 06 21:59:45 PDT 2013 --  GGGGGGGGGGGinobli
Mon May 06 21:55:57 PDT 2013 --  Nail-Biter
Mon May 06 21:54:06 PDT 2013 --  Talk about Green Money
Mon May 06 21:51:30 PDT 2013 --  This Spurs Warriors game is deja vu to the bulls and nets game
Mon May 06 21:42:10 PDT 2013 --  Double Fuckin' OT
Mon May 06 21:36:53 PDT 2013 --  Double Ot I see in thy future
Mon May 06 21:25:06 PDT 2013 --  10 bucks spurs lose because I'm not going to watch the rest of the game sorry San Antonio
Mon May 06 21:19:53 PDT 2013 --  Remember when the Spurs win it's because I was watching Your welcome San Antonio
Mon May 06 21:11:31 PDT 2013 --  I don't watch spurs= sucks Watch Spurs= freaken all stars
Mon May 06 20:46:27 PDT 2013 --  It's official I hate the Dodgers, do they even lift?
Sun May 05 01:24:04 PDT 2013 --  Uh Oh downloading sims 3 I smell an addiction in thy near future
Sat May 04 22:23:26 PDT 2013 --  Giants are equivalent to the heat, just can't beat them no matter what #me #angry
Sat May 04 22:20:32 PDT 2013 --  We should get an award for fuckin' things up every game #ihatethegiants
Sat May 04 22:01:42 PDT 2013 --  HOLY SHIT I'M FUCKIN' PUMPED UP GO #dodgers
Sat May 04 21:47:02 PDT 2013 --  Calling Dodgers win in 14 innings
Sat May 04 21:16:31 PDT 2013 --  This is a game for the ages #beatsf
Sat May 04 21:01:22 PDT 2013 --  DEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE Gordon BITCHES!!!!!!
Sat May 04 20:45:28 PDT 2013 --  triple play time #beatsf
Sat May 04 20:22:50 PDT 2013 --  The Panda almost took my breathe away #howthehelldidthatnotgoout
Sat May 04 20:05:42 PDT 2013 --  I'll be right back check with me if this is still a dream after I go jump off a cliff Dodgers 8 Giants 6
Sat May 04 20:03:28 PDT 2013 --  Jumpin' Jack Fuckin' Flash WE ARE UP!!!!!!!!!!!!!!!!
Sat May 04 20:00:25 PDT 2013 --  I look up and the dodgers are FUCKIN' DOIN' IT, it's a Giants and Dodgers game now
Fri May 03 22:40:26 PDT 2013 --  FUCKIN' BUSTER, THIS REALLY BUSTED MY NIGHT UP!!!!!!!!!!!!
Fri May 03 22:32:38 PDT 2013 --  Can we score a run before D-Rose returns?
Fri May 03 22:31:34 PDT 2013 --  justin time to sell you out
Fri May 03 22:27:56 PDT 2013 --  FUCK YEAH, bring him home dodgers
Fri May 03 22:27:09 PDT 2013 --  MATTTTTT KEMP COME ONNN
Fri May 03 22:24:15 PDT 2013 --  come on matty!!!
Fri May 03 22:08:42 PDT 2013 --  Give me my money BITCH, where's my money?
Fri May 03 22:00:53 PDT 2013 --  $10 man on second isn't going to score
Fri May 03 21:57:28 PDT 2013 --  I smell minor leagues for luis cruz's way
Fri May 03 21:44:27 PDT 2013 --  So it looks like the Lakers won't be the only Los Angeles team watching the 2nd round from home... haha
Fri May 03 21:41:32 PDT 2013 --  F U C K D O D G E R S H I T T I N G
Thu May 02 22:44:17 PDT 2013 --  Welcome to LA 90 degrees on thursday, 63 and rainy on monday
Tue Apr 30 21:16:49 PDT 2013 --  #Whiff a dozen
Tue Apr 30 21:05:16 PDT 2013 --  Can I extra #whiff dressing with that double #whiff burger
Tue Apr 30 20:57:49 PDT 2013 --  RYU #whiff #whiff there a #whiff #whiff everywhere a #whiff #whiff ol' mcryu had a Farm #whiff #whiff #whiff and #whiff
Tue Apr 30 20:53:29 PDT 2013 --  RYYYYYYYYYYU!!!
Tue Apr 30 20:32:07 PDT 2013 --  RYYYYYYYYU!!!
Tue Apr 30 20:29:21 PDT 2013 --  And boom goes the batamite
Tue Apr 30 20:20:14 PDT 2013 --  Eat Shit Rockies
Tue Apr 30 20:02:05 PDT 2013 --  If this tweet gets 5,000 retweets by 9pm, one of our followers will win a meet in greet at Dodger Stadium with @HanleyRamirez! #whiff
Tue Apr 30 11:13:40 PDT 2013 --  Not sure if sick or homesick
Mon Apr 29 22:31:51 PDT 2013 --  That awkward moment when a professional reliever *cough* John Wall *cough* gives up 5 earned runs and a position player skip schumaker 0!!!
Mon Apr 29 22:13:32 PDT 2013 --  Nothings worst then missing two days of school NOTHING Sick sick go away kill yourself including May
Mon Apr 29 22:11:03 PDT 2013 --  Holy Shit Hanley Ramirez, forget 2018 bullshit this is the year baby
Mon Apr 29 22:08:13 PDT 2013 --  Don't worry dodgers fans including me, we'll bring a championship in the year 2018
Sun Apr 28 22:23:47 PDT 2013 --  http://qkme.me/3u5ey2  via @quickmeme
Fri Apr 26 22:29:12 PDT 2013 --  Doyers Win!!!!!
Fri Apr 26 22:09:18 PDT 2013 --  I just realized i don't give a fuck about the lakers without kobe playing Dear Kobe, NEVER RETIRE!!!!!!!!!!!!!!!!!!!!!!!
Fri Apr 26 21:23:32 PDT 2013 --  Lakers gave it a good run HAHAHAHAHAHA you thought that I was serious
Fri Apr 26 21:08:53 PDT 2013 --  FTS- Fuck The Spurs
Fri Apr 26 20:49:42 PDT 2013 --  Fuck i think i'm starting a asthma-like cough I hate going to the hospital!!!
Fri Apr 26 20:47:13 PDT 2013 --  Dodgers Where injuries happen
Fri Apr 26 20:37:44 PDT 2013 --  I'd rather watch two old ladies having a knitting contest than the lakers
Fri Apr 26 16:30:00 PDT 2013 --  When quiet people talk and you realize they are absolutely hilarious.
Thu Apr 25 18:55:36 PDT 2013 --  I'm having a czar salad LOL
Thu Apr 25 18:43:59 PDT 2013 --  they should rename twitter the bitch fit!!!!
Wed Apr 24 23:12:45 PDT 2013 --  Mother buys you the wrong body wash Better then the other one Winning!!!!
Wed Apr 24 21:59:32 PDT 2013 --  Why the hell do they call it adoration because I sure don't adore it
Wed Apr 24 21:51:10 PDT 2013 --  Just realized being on twitter is being 100's of people's heads at one time i must be fucking superman!!!
Wed Apr 24 21:23:10 PDT 2013 --  I've never seen a worst LA day lakes lose dodgers lose and Angels are getting crushed someone stop this madness
Mon Apr 22 23:15:32 PDT 2013 --  Is it sad that my first love is a macbook pro
Mon Apr 22 21:55:50 PDT 2013 --  pic.twitter.com/bdPgVTYpTb
Mon Apr 15 22:42:24 PDT 2013 --  Dear Dodgers, I'm disgusted
Mon Apr 15 22:34:41 PDT 2013 --  I'm glad that I don't have Vin Scully's job I would be fired for cussing wayyyyy tooooo much!!!!!!!!!!
Sun Apr 07 22:56:47 PDT 2013 --  Would a flat frat get fat if a fat frat became phat?!?!
Fri Apr 05 18:18:04 PDT 2013 --  MacBook- Where's the cheese? And why the hell do I have to read it?
Fri Apr 05 14:07:36 PDT 2013 --  New account new start, don't be afraid to follow me @codyman24
