Fri Aug 28 05:50:00 PDT 2015 --  “where did all your money go?“ i’m either wearing it, or i ate it.
Sat Jul 04 17:35:29 PDT 2015 --  ★★★★★▄▄▄▄▄▄▄ ★★★★★▄▄▄▄▄▄▄ ★★★★★▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄▄▄▄ Happy 4th of July!
Thu Jul 02 21:00:54 PDT 2015 --  Crying may make u feel better but it won't change anything, so stop the tears and start making improvements
Thu Jul 02 21:01:42 PDT 2015 --  this gets me every year pic.twitter.com/HBeAkr1gcI
Thu Jul 02 21:15:30 PDT 2015 --  Don't talk, act. Don't say, show. Don't promise, prove.
Thu Jul 02 21:30:10 PDT 2015 --  She'll cry, and get over it, She'll hate you, and then love you again, But one day she'll leave.. and she won't come back.
Thu Jul 02 09:52:43 PDT 2015 --  Sarcasm falls out of my mouth Kinda like stupidity falls out of yours
Sun Jun 28 10:15:00 PDT 2015 --  Big or small, lies are lies.
Sun Jun 28 10:57:40 PDT 2015 --  God is always with you: pic.twitter.com/4rtMVJYibY
Sat Jun 27 08:53:38 PDT 2015 --  pic.twitter.com/QzOxLBbk5O
Fri Jun 26 19:03:47 PDT 2015 --  Dear Apple, "Yall" is a word so please stop changing it to tall, hall, and fall. Thank you. Sincerely, The South
Mon Jun 22 13:09:15 PDT 2015 --  "You used to be nicer" Uhmm more like I used to let you walk all over me and now I know better you're mad that I won't take your bs anymore
Mon Jun 22 13:28:04 PDT 2015 --  “Never let the things you want make you forget the things you have.”
Wed Jun 10 20:15:03 PDT 2015 --  People come and go in your life, but the right ones will always stay.
Wed Jun 10 20:15:07 PDT 2015 --  me (surprised): omg me (amused): omg me (angry): omg me (sad): omg me (nostalgic): omg me (annoyed): omg me (scared): omg
Mon Jun 08 18:30:22 PDT 2015 --  Never say goodbye when you still want to try. Never give up when you can still take it. Never say you don't love them when you can't let go
Thu Jun 04 09:24:31 PDT 2015 --  girls language pic.twitter.com/J0f1rwO1CW
Sun May 31 15:11:19 PDT 2015 --  What most girls worry about: - weight - hair - boobs - looks - makeup - him - clothes - why he didn't text back - food
Sun May 31 15:12:14 PDT 2015 --  People change, feelings fade, and hearts move on.
Sun May 31 15:15:01 PDT 2015 --  Be with someone who won’t stay mad at you, who can’t stand not talking to you, and who’s afraid of losing you.
Mon May 25 20:30:21 PDT 2015 --  Parents, problems, friends, fakes, love, crush, dating, responsibility, drama, heartache, failures, stress, happiness, IT’S LIFE.
Wed May 20 07:53:19 PDT 2015 --  rapists view on rape. very important, please read http://twitter.com/dvncxn/status/600266246475673601/photo/1pic.twitter.com/oiC1eR5FaO 
Mon May 18 06:25:09 PDT 2015 --  If she only wants you, don't worry about who wants her.
Sun May 17 19:00:58 PDT 2015 --  Do I care about what you think of me? N 　 O 　　　 O 　　　　 o 　　　　　o 　　　　　 o 　　　　　o 　　　　 。 　　　 。 　　　. 　　　. 　　　 . 　　　　.
Sat May 16 08:30:09 PDT 2015 --  I WANT SUMMER I WANT TO WEAR SHORTS NO SCHOOL SWIMMING SUNNY DAYS BLASTING MUSIC LESS PEOPLE POPSICLES
Thu May 14 17:31:53 PDT 2015 --  A real boyfriend: - calls you for nothing - texts you all the time - wants to see you - gets jealous - is overprotective - loves you
Thu May 14 17:40:03 PDT 2015 --  "Pass your quiz back to the person behind you to grade" pic.twitter.com/SSWgZWVMaW
Thu May 14 17:45:04 PDT 2015 --  This is deep pic.twitter.com/4ni39wHRsh
Thu May 14 17:46:31 PDT 2015 --  why did I laugh so much pic.twitter.com/XvOmzgCzJ6
Thu May 14 17:45:30 PDT 2015 --  Be with someone who brings out the best in you, not the stress in you..
Tue May 05 17:55:27 PDT 2015 --  #VoiceSaveIndia
Sun Aug 24 12:39:05 PDT 2014 --  What if 11:11 actually works but there's one person in this world that's wishing for everyone's wishes to not come true!
