Wed Aug 26 19:13:30 PDT 2015 --  Don't forget, tomorrow is National National Day Day
Sun Jun 14 18:39:08 PDT 2015 --  Good night. Sleep tight. Don’t let the bed bugs bite. Don’t let the bed birds peck your eyes. Don’t let the bed worms get into your mouth.
Sun Jun 14 16:05:41 PDT 2015 --  Witness The Exact Moment A Rock Star Is Born. pic.twitter.com/zbJKIcfEc4
Sat Jun 06 21:46:52 PDT 2015 --  Today in first world news, a horse ran around an oval faster than other horses for the third time, and people gave a crap.
Thu Jun 04 13:32:17 PDT 2015 --  After three weeks on my summer diet. pic.twitter.com/wnYPoVqvYo
Mon Jun 01 07:56:03 PDT 2015 --  Man, Dress Like The Prisoners in Shawshank Day came around and nobody told me? pic.twitter.com/ypTg1neB9l
Sun May 31 09:21:40 PDT 2015 --  Today's forecast is sunny with a chance of the false vacuum of the universe collapsing, instantly destroying everything that is.
Sat May 30 18:31:16 PDT 2015 --  Lights under the sewer grate. Mildly creepy. pic.twitter.com/5FeLHXBwVz
Fri May 29 22:58:11 PDT 2015 --  Try this again. https://crowsburgersandbrews.wordpress.com 
Tue May 26 07:48:21 PDT 2015 --  I can only assume Texas won't be taking any of that dirty federal disaster money.
Mon May 25 07:09:34 PDT 2015 --  Best chrome extension ever - changes "Millennials" to "snake people" https://chrome.google.com/webstore/detail/millennials-to-snake-peop/jhkibealmjkbkafogihpeidfcgnigmlf … pic.twitter.com/KZRH1ASWW7
Mon May 25 16:42:51 PDT 2015 --  San Andreas - the tale of how the heroic San Andreas fault line flushed California into the Pacific Ocean.
Sun May 24 03:32:49 PDT 2015 --  Hardest part of reading Game of Thrones - not using the phrase "mummer's farce" in casual conversation.
Thu May 21 01:26:40 PDT 2015 --  Little girl wants to join the dark side. pic.twitter.com/EIqNDPD4A2
Wed May 20 14:24:01 PDT 2015 --  I like pineapple on my pizza, but this is beautiful. https://twitter.com/_youhadonejob/status/601099580780982272 …
Wed May 20 14:17:29 PDT 2015 --  It really belies the "Best of the Best" elementary school talent show title when you let three different acts sing "Let It Go."
Fri May 15 17:36:31 PDT 2015 --  I've started a new blog for one of my passions - great hamburgers. Check it out. https://crowsburgersandbrews.wordpress.com/2015/05/16/the-standard-burger-publicity-bellevue-tn/ …
Wed May 13 10:57:06 PDT 2015 --  Build a man a fire and he will be warm for a day. Set a man on fire, and he'll be warm for the rest of his life. pic.twitter.com/ybRHOvBOUn
Tue May 12 04:37:49 PDT 2015 --  True confession: when a phone call wakes me from a deep sleep, my brain has trouble believing that "hello" is the proper greeting.
Sat May 09 09:25:05 PDT 2015 --  The Daily Word Counts of 39 Famous Authors http://fb.me/1RWkaBjyo 
Fri May 08 09:12:53 PDT 2015 --  I'm cool with hunting exotic animals like lions and elephants. But only with knives. Otherwise you're just a wimp.
Wed May 06 20:04:31 PDT 2015 --  Right about now I'd love an 8-bit NES, a 13-inch TV, and a nice game of Tetris. And a beer, because I am a grownup, dammit.
Fri May 01 14:28:42 PDT 2015 --  Years of game play has taught me there's something behind this wall. pic.twitter.com/zbiHnN5RsD
Thu Apr 30 20:27:18 PDT 2015 --  I've got the eye of the tiger. If that tiger with the eyepatch asks, you haven't seen me around.
Sun Apr 26 14:35:21 PDT 2015 --  Is it me or does this mannequin look like it's had its head blown off? pic.twitter.com/17n0daf3C8
Sun Apr 26 13:54:50 PDT 2015 --  Best film Synopsis ever. pic.twitter.com/A0fK1KPvFF
Thu Apr 23 17:27:48 PDT 2015 --  That's about what I figured. pic.twitter.com/6rtonWQR6p
Mon Apr 20 21:13:00 PDT 2015 --  Now available for your Nook. Because people have those. http://m.barnesandnoble.com/w/books/1121772517?ean=2940152144321 …
Mon Apr 20 16:38:24 PDT 2015 --  Asshole defined. pic.twitter.com/EX8LDUflM5
Sun Apr 19 22:38:20 PDT 2015 --  Science! A Super Srsly Accurate Diagram of Earth: Accurate Edition http://chzb.gr/13FPoF9  pic.twitter.com/AM2TgvXCKy
Sat Apr 18 09:17:19 PDT 2015 --  "Braking Bad" Sorry. Couldn't help myself. https://gma.yahoo.com/grandfather-cancer-takes-uber-driving-pay-off-home-163141780--abc-news-parenting.html …
Thu Apr 16 13:44:18 PDT 2015 --  Don't everybody rush to Walmart at once. They have plenty copies. pic.twitter.com/XHObBaHu4N
Wed Apr 15 02:22:56 PDT 2015 --  Good morning! Bears http://chzb.gr/Q32JCc  pic.twitter.com/0aUBzAAxE9
Tue Apr 14 07:18:13 PDT 2015 --  No, iPad. I'm not trying to type "ducked." You seem somehow unfamiliar with my writing.
Mon Apr 13 20:59:42 PDT 2015 --  Please shut up: Why self-promotion as an author doesn't work. — whimsydark http://bit.ly/1FIya2k 
Sat Apr 11 03:19:52 PDT 2015 --  Words of Encouragement From Timberland http://chzb.gr/1aJTEfR  pic.twitter.com/R5x9ffjT5C
Thu Apr 09 20:05:54 PDT 2015 --  Why you should wear a seatbelt... pic.twitter.com/AhiCUKKKQe
Wed Apr 01 04:51:45 PDT 2015 --  Good day to be a bear. Good day to also be a thing that might not be a bear but is still a particular thing. I am a bear. And a thing.
Mon Mar 30 05:51:18 PDT 2015 --  Can't decide if the locker room at work smells like somebody vomited poop or pooped vomit.
Sat Mar 28 13:50:20 PDT 2015 --  Whatever you're into, man. Think I'll pass. http://meetu.ps/2HdGZs 
Wed Mar 25 10:54:17 PDT 2015 --  Think I'll one-up @todd_keisling and call my short story collection Fugly Little Things #ULT
Fri Mar 20 15:21:32 PDT 2015 --  When you see it. pic.twitter.com/mLKP1jyYuW
Thu Mar 19 19:45:07 PDT 2015 --  Calamari po-boy...there's a culture gap that needs bridging.
Tue Mar 17 17:11:23 PDT 2015 --  Whoa! Tio Salamanca was Ace Ventura's landlord!
Thu Mar 12 03:05:29 PDT 2015 --  The things you find on eBay. pic.twitter.com/Nm9s8Z3NmW
Wed Mar 11 05:49:06 PDT 2015 --  Nice and foggy and creepy in the parking garage this morning. pic.twitter.com/knKrcgnEyC
Sat Mar 07 22:52:59 PST 2015 --  If you're not following @A_single_bear you're missing the best Twitter has to offer.
Thu Mar 05 13:39:31 PST 2015 --  If I were a lizard, I would certainly and frequently eat my own tail. I am a bear.
Mon Mar 02 16:49:07 PST 2015 --  On sale through the full moon! #horror #werewolves http://www.amazon.com/dp/B00OIA1NMM 
Sun Mar 01 19:24:14 PST 2015 --  Full moon sale! Through Thursday only! http://www.amazon.com/dp/B00OIA1NMM 
Sat Feb 28 07:46:08 PST 2015 --  What color is that dress? Who is color blind? By distracting ourselves from the thought of death, do we make life any easier?
Thu Feb 26 12:34:26 PST 2015 --  Everybody loves Dr. Seuss, but is there a better name for a Nazi war criminal than Theodor Geisel?
Mon Feb 23 20:28:00 PST 2015 --  A peanut is a gourmet feast to the starving man. This Spring will be the most beautiful many of us have ever seen.
Mon Feb 23 00:16:15 PST 2015 --  A Dark, Terrifying Pixar Theory From the Bowels of Tumblr http://chzb.gr/16PH526  pic.twitter.com/rMage61G9d
Sun Feb 22 16:48:01 PST 2015 --  The best description of a film ever. pic.twitter.com/XMGnfHJZRF
Sat Feb 21 10:22:29 PST 2015 --  Seriously doubt that enough people ran cross-country in high school for that new Kevin Costner movie to make money.
Fri Feb 20 04:17:50 PST 2015 --  In defense of Fahrenheit pic.twitter.com/qwDcBm0XVr
Wed Feb 18 02:17:20 PST 2015 --  I'm sure every Linkin Park song would be more meaningful if I was a depressed 15-yr-old goth girl.
Sat Feb 14 14:04:45 PST 2015 --  Just entered the horror story contest over @inkitt. Head on over and vote for me at http://www.inkitt.com/stories/7648 .
Sat Feb 14 09:28:26 PST 2015 --  "Inkitt added you to list Writers to Watch Out For" Not sure if means writing or don't run into me in dark alley. Either way, thanks @Inkitt
Thu Feb 12 11:09:12 PST 2015 --  Just heard a trumpet playing "When the Saints Go Marching In" on Broadway. Got me excited. NOLA bound in just 29 days!
Thu Feb 12 10:13:47 PST 2015 --  Thought I'd have more to do today, so didn't bring my iPad. Now have to read @todd_keisling on my iPhone. Worse ways to go blind, I guess.
Mon Feb 09 18:51:58 PST 2015 --  Consider for a moment the world which lies before you in all its variegated multiplicity. Are you watching with me? It’s on right now!
Sat Feb 07 11:55:40 PST 2015 --  Politicians are not paid for legislating. They are paid for the time That they must eventually serve In hell.
Mon Feb 02 14:11:20 PST 2015 --  Murica pic.twitter.com/YxHoBjqBJR
Mon Feb 02 16:08:37 PST 2015 --  DISCLAIMER http://wp.me/p4EIDV-15  via @wordpressdotcom
Mon Feb 02 06:50:24 PST 2015 --  Punxsutawney Phil says well played Netflix. #HappyGroundhogDay pic.twitter.com/gEmaeo5AIr
Sun Feb 01 19:06:01 PST 2015 --  The tsunami scene in The Impossible (2012, Naomi Watts, Ewan McGregor) is the most intense action sequence I've seen in a long time.
Fri Jan 30 17:29:34 PST 2015 --  Damn straight pic.twitter.com/1dSzU0UkZi
Fri Jan 30 13:40:03 PST 2015 --  U seem confused as to why people don't buy Surface. B/c u suck. “ @Office: Get more done with the all new @Outlook app for iPhone and iPad."
Fri Jan 30 10:46:34 PST 2015 --  "Seeking mystery, thriller, horror...and books geared toward young male readers. What I'm not looking for: Romance..." Found my dream agent.
Sat Jan 24 09:07:26 PST 2015 --  That's just rude. pic.twitter.com/ayWIiMhWtE
Thu Jan 22 14:22:30 PST 2015 --  Unfortunate hashtag Gillette used in Tom Brady's press conference. pic.twitter.com/gj7yw0Tara
Sun Jan 18 07:02:21 PST 2015 --  Can you imagine? pic.twitter.com/HPaWLcv69o
Thu Jan 15 10:21:13 PST 2015 --  http://www.pilcrowdagger.com/issues/  via @pilcrowdagger "Literary" and me don't often go in the same sentence, but I have a story in here anyway. Free!
Wed Jan 14 04:48:08 PST 2015 --  "Legolas is the Benjamin Button of elves." QOTD from @AirCrow
Tue Jan 13 11:59:12 PST 2015 --  People ask me what my favorite Kanye song is. It will be the one in which he is not anxiously tortured by preoccupation with himself.
Mon Jan 12 12:38:10 PST 2015 --  If you're chic and you know it, then of all deceivers, fear most yourself.
Sun Jan 11 18:00:50 PST 2015 --  Everyone looked so great on the red carpet, like captive beasts walking round in their cages, or measuring the lengths of their chains.
Sat Jan 10 09:37:10 PST 2015 --  #theforceawakens pic.twitter.com/GP0PvVY2hZ
Wed Jan 07 17:50:03 PST 2015 --  Pretty sure I just saw this guy riding down my street. #winteriscoming pic.twitter.com/bMDkKANYNS
Fri Jan 02 08:07:26 PST 2015 --  Your horoscope for 2015. pic.twitter.com/oHsxxjq4WW
Wed Dec 31 18:35:30 PST 2014 --  “ @_youhadonejob: She had the easiest job of 2014 and still messed it up. #2014Review pic.twitter.com/LNjjayiuQE” I know that feeling.
Wed Dec 31 09:13:39 PST 2014 --  The first mistake we're all going to make in 2015. pic.twitter.com/EAxLPjlg3w
Mon Dec 15 15:46:37 PST 2014 --  I have a story in a literary magazine. They promise to spell Crow right. I promise the least "literary" thing inside. http://youtu.be/ZgmQi_PDWLw 
Sat Dec 13 17:57:27 PST 2014 --  I hear it is a slippery place. pic.twitter.com/i3Bz8UYhN3
Fri Dec 12 17:31:27 PST 2014 --  Our planet will explode in 15 minutes. Let's put our worst criminal on a spaceship off the planet. Krypton logic.
Thu Dec 11 04:52:23 PST 2014 --  Aaand...I'm on vacation.
Mon Dec 08 04:27:17 PST 2014 --  Last day to get it for 99 cents. For my birthday! http://www.amazon.com/dp/B00OIA1NMM 
Sun Dec 07 23:51:35 PST 2014 --  I think I'll do a coffee table book of crummy apartments with incredible views. pic.twitter.com/7CKxtq8dP2
Sun Dec 07 20:20:50 PST 2014 --  Almost forgot - Happy Larry Bird's Birthday!
Fri Dec 05 07:36:05 PST 2014 --  Your weekend entertainment: cheaper than that new bug zapper you had your eye on. http://www.amazon.com/dp/B00OIA1NMM 
Fri Dec 05 06:36:47 PST 2014 --  Did ancient Egyptians really wear that much eyeliner, or were they just not that great at drawing eyes? #ExodusMovie
Wed Dec 03 14:14:17 PST 2014 --  I turn 40 Monday, but I have a present for YOU. $.99 through December 8! http://www.amazon.com/Trail-Beast-Robert-Crow-ebook/dp/B00OIA1NMM/ref=asap_B00KD48HRG_1_1?s=books&ie=UTF8&qid=1417644700&sr=1-1 …
Tue Dec 02 06:16:58 PST 2014 --  That moment when you wake from a zombie apocalypse dream to find yourself in the oil change waiting room and wish you could trade realities.
Sun Nov 30 04:41:44 PST 2014 --  What not to say at a job interview. pic.twitter.com/6PsCGqCnfc
Fri Nov 28 16:45:06 PST 2014 --  My iPad just made the greatest invention of the human history. It corrected "bed & breakfast" to "bed & brewpub." Someone make this happen.
Thu Nov 27 13:03:09 PST 2014 --  Least they tried. pic.twitter.com/0iZynYbYoc
Mon Nov 17 23:13:21 PST 2014 --  In 20 days I will be 40 years old. I still get the giggles when UPS advertises that they're hiring "package handlers."
Sat Nov 15 15:10:24 PST 2014 --  Never looked at it like that. pic.twitter.com/yHEdIVwkid
Fri Nov 14 08:25:27 PST 2014 --  Also on Goodreads! https://www.goodreads.com/book/show/23396849-the-trail-of-the-beast?ac=1 …
Fri Nov 14 07:37:00 PST 2014 --  If you read it and liked it, a review would be helpful. If you didn't like it, find me and I will give you a hug. http://www.amazon.com/dp/B00OIA1NMM 
Tue Nov 11 12:45:08 PST 2014 --  Animals' thought processes and social dynamics are probably just like cuter versions of ours.
Tue Nov 11 09:14:17 PST 2014 --  This completely sober dude just asked directions to the White Castle. At 11AM. Why would you do that to yourself?
Fri Nov 07 07:03:06 PST 2014 --  Thanks for the recommendation, Amazon. I like me, but I'd rather you recommend it to other people. pic.twitter.com/JRGWVKI1tm
Thu Nov 06 09:13:06 PST 2014 --  Facebook nailed it. pic.twitter.com/FWi613zIKJ
Mon Nov 03 19:29:45 PST 2014 --  Passed a billboard for "Robotic Hair Transplants." Now I want to go bald so I can get some of that newfangled robotic hair.
Thu Oct 30 13:09:26 PDT 2014 --  Making a difference in Tennessee! (I voted yes to wine in grocery stores) pic.twitter.com/qJdmvduxbo
Tue Oct 28 09:25:42 PDT 2014 --  Prefer something heartwarming and uplifting this Halloween? This ain't it. http://www.amazon.com/dp/B00OIA1NMM 
Thu Oct 23 12:59:18 PDT 2014 --  I'm sure I haven't had enough sleep, but it aggravates me when people bag their bananas at the grocery store.
Thu Oct 23 07:46:18 PDT 2014 --  I'm not sure that's right. pic.twitter.com/vm9vtIxxRG
Wed Oct 22 03:38:22 PDT 2014 --  They say don't judge a book by its cover. I say go ahead, because Kevin Vaughan's cover is frickin' awesome! http://www.amazon.com/gp/aw/d/B00OIA1NMM/ref=mp_s_a_1_1?qid=1413974150&sr=8-1&pi=SY200_QL40 …
Mon Oct 20 18:03:52 PDT 2014 --  Let that sink in for a minute. pic.twitter.com/laHdSRmwEm
Sun Oct 19 14:02:12 PDT 2014 --  Disney hasn't grasped the concept of pirates. pic.twitter.com/pAMQkOpRsM
Sat Oct 18 23:50:57 PDT 2014 --  New blog post. http://crowsbs.wordpress.com/2014/10/17/so-i-published-this-thing/ …
Fri Oct 17 08:18:01 PDT 2014 --  #96 in this oddly specific category - weird, Amazon. Very weird. http://www.amazon.com/gp/bestsellers/digital-text/8624250011/ref=pd_zg_hrsr_kstore_1_4_last#5 …
Thu Oct 16 05:43:44 PDT 2014 --  I think it's a silly metric, but kind of neat to see my Amazon Author Rating shoot up 400,000 points overnight.
Tue Oct 14 22:04:01 PDT 2014 --  Just in time for Halloween http://www.amazon.com/gp/aw/d/B00OIA1NMM/ref=mp_s_a_1_2?qid=1413349357&sr=8-2&pi=SY200_QL40 …
Sun Oct 12 07:15:08 PDT 2014 --  Working Titans vs. Jaguars. What say we save everybody a lot of time, money and heartache and just flip for it?
Wed Oct 08 10:51:39 PDT 2014 --  Can't believe we are at season 10 of Keeping Up with the Kardashians!!! No one can any longer help us.
Wed Oct 08 04:25:43 PDT 2014 --  Very funny Netflix. pic.twitter.com/STkGN7AW9y
Tue Oct 07 15:45:17 PDT 2014 --  Drop by our booth at the Smart Tan Nashville tradeshow and check out how easy it is to live in despair.
Fri Oct 03 11:00:11 PDT 2014 --  Seafood Enchilada may be the best dish anywhere. I would totally lick this bowl if I wasn't in public. @CCGHattiesburg
Fri Oct 03 10:30:06 PDT 2014 --  I know what YOU think it says, but I also know what everybody else thinks it says. pic.twitter.com/vQw59aiQvY
Thu Oct 02 10:18:06 PDT 2014 --  Working on a commercial country song with a lot of potential called "Hey Texas and Florida (Nobody Likes You)"
Thu Oct 02 06:10:24 PDT 2014 --  Not that much by the looks of things. pic.twitter.com/5lqfFLLICb
Tue Sep 30 16:24:08 PDT 2014 --  I have found a truth that is true for me, an idea for which I can live and die. Quesadillas.
Tue Sep 23 05:53:02 PDT 2014 --  I take it he wasn't very good. pic.twitter.com/BoHtNo5SPQ
Tue Sep 23 04:40:23 PDT 2014 --  When I pull up to a 4-way stop and the little sign says "all way" I get paranoid and start looking for some hidden way that I missed.
Fri Sep 19 06:56:13 PDT 2014 --  Cheese? pic.twitter.com/k7cX3VE8vk
Tue Sep 16 03:31:08 PDT 2014 --  I believe that if Papa John's leaves their neon "OPEN" sign on, they should damn well have to make me a pizza, no matter if it's 5AM.
Thu Sep 11 21:26:11 PDT 2014 --  It's official! My story Retirement Plan will appear in the upcoming anthology from Parthenon Press, Nashville Gothic. Soon.
Wed Sep 10 19:08:11 PDT 2014 --  I stood there alone and forsaken. I took some selfies, too.
Mon Sep 08 12:18:30 PDT 2014 --  Because of its tremendous solemnity, death is the light in which great passions become transparent. No photoshop necessary.
Sun Sep 07 07:21:27 PDT 2014 --  "So you're an aspiring writer?" "Not really." "Oh. I thought..." "What's the opposite of aspiring?"
Thu Sep 04 10:46:27 PDT 2014 --  It's time to ask questions about the militarization of out energy drinks. pic.twitter.com/5frzwhKtMR
Thu Sep 04 08:06:56 PDT 2014 --  Can't believe my GQ cover is out!! While you indolently & effeminately admire me, struggle also to contemplate my ethical significance.
Mon Sep 01 06:57:27 PDT 2014 --  If I get behind a jackass in a luxury car going 10 below the speed limit on Hwy 100, they invariably go to Loveless Cafe.
Thu Aug 28 15:58:10 PDT 2014 --  Maybe the best burger I've had in Nashville @hossburgers
Wed Aug 27 09:23:52 PDT 2014 --  I love duck lips for selfies! For like us, ducks have wings with which to soar, and yet insist on waddling.
Sun Aug 24 12:54:17 PDT 2014 --  Gus's Fried Chicken at OHB and Edmonson = pure awesomeness. I never knew.
Fri Aug 22 08:11:01 PDT 2014 --  Forget the ice bucket. To raise awareness for burn prevention, I'm challenging all of you to the Boiling Water Bucket Challenge. Who's 1st?
Thu Aug 21 16:21:43 PDT 2014 --  Spicy jerk chicken taco and mango lemonade = best food truck taco ever @datriddimnspice pic.twitter.com/oDK74KdJpm
Tue Aug 19 18:56:31 PDT 2014 --  Mary Rajotte and her lies: “ @MaryRajotte: FYI there is such a thing as too much cheese popcorn #blech”
Mon Aug 18 11:09:05 PDT 2014 --  Main thought while finally watching Episode 1 of The Strain: Is that Sean Astin? I think that's Sean Astin. (SPOILER ALERT: it's Sean Astin)
Mon Aug 11 09:02:19 PDT 2014 --  Just as the spirit is invisible, so also is its language a secret, & sometimes you can't tell when it's being sarcastic.
Wed Aug 06 15:08:09 PDT 2014 --  We traveled the world together, laughed & lived it up, and never noticed that our immortal souls had blown away like so much dust.
Sat Aug 02 20:55:12 PDT 2014 --  Is there nothing a night without kids and a pitcher of margaritas can't fix?
Fri Aug 01 06:18:22 PDT 2014 --  Cover concept art for my novella, On the Trail of the Beast. Coming soon. Soonish. pic.twitter.com/hJOz5H3VfL
Sun Jul 27 09:35:22 PDT 2014 --  This cheese is hilarious. pic.twitter.com/7Y8JlOyR9U
Sat Jul 19 18:08:20 PDT 2014 --  Thanks, @NewDayCraft - lone bright spot in the flat hellscape that is Indiana. Dear God, build these people a hill already.
Fri Jul 18 12:13:22 PDT 2014 --  Broverlap n. - when frat boys show up to your otherwise cultured event
Fri Jul 18 07:13:06 PDT 2014 --  The key to getting along with people is lowering your expectations and learning to drink.
Thu Jul 17 20:05:18 PDT 2014 --  With all the stars making appearances in 12 Years a Slave, I was shocked Colin Farrell didn't wedge himself in somewhere.
Tue Jul 15 15:40:15 PDT 2014 --  Witch? Not original. Demon? Not original. Ghosts? Not original. Witch, demon, AND ghosts? Original! And then they green lit The Conjuring.
Sun Jul 13 18:44:54 PDT 2014 --  Fingers crossed they get Christopher Walken to do one of the apes' voices in the third Planet of the Apes.
Wed Jul 09 15:36:01 PDT 2014 --  Let me know if you're following @MillerLite so I can unfollow you. #neverMillertime https://twitter.com/millerlite/status/484359214429511680 …
Tue Jul 01 07:16:58 PDT 2014 --  Just quit reading an ebook after the first paragraph when I found out the protagonist drives a PT Cruiser. No way to root for that guy.
Mon Jun 30 13:22:03 PDT 2014 --  Another Totally Real Conversation I Had – Retro Version http://crowsbs.wordpress.com/2014/06/30/another-totally-real-conversation-i-had-retro-version/ …
Thu Jun 26 20:30:34 PDT 2014 --  The US advances in the World Cup with a record of 1-1-1. World Cup - Celebrate Mediocrity.
Sun Jun 22 19:03:25 PDT 2014 --  Fallout Boy's new album is titled "Save Rock & Roll." You can help save rock & roll by NOT buying Fallout Boy's new album.
Sun Jun 22 05:02:03 PDT 2014 --  I'm not OCD, but the top half of the bagel damn well goes in the toaster slot closest to the wall.
Tue Jun 17 15:23:22 PDT 2014 --  I love your Tumblr's infinite scroll-down feature & the unfathomable, insatiable emptiness behind it.
Mon Jun 16 11:30:01 PDT 2014 --  Those who speak to the crowd, coveting its approval, must be regarded as being worse than prostitutes. Oh, hey 100,000 people!
Sat Jun 14 11:54:29 PDT 2014 --  Look what I found in my luggage!!! All my worldly troubles and sorrows.
Sat Jun 14 08:30:12 PDT 2014 --  My look is never complete without indescribable suffering.
Fri Jun 13 07:34:47 PDT 2014 --  One must work some time in darkness before the light bursts through & the sun shines forth in all its glory. Tan time! So excited.
Wed Jun 11 21:42:00 PDT 2014 --  New blog post. I asked for it, I guess. http://crowsbs.wordpress.com 
Mon Jun 09 22:07:31 PDT 2014 --  We love selfies! The despairing self, by taking notice of itself, tries to make itself more than it already is.
Mon Jun 09 10:42:31 PDT 2014 --  New Blog Post - Writing Process Blog Tour http://wp.me/p4EIDV-5  Or, Pissing Off The Yanks @theQueryFaerie @KimWJustice #SorryKim
Wed Jun 04 18:15:12 PDT 2014 --  New blog post http://crowsbs.wordpress.com  or, The One Where I Lose Friends
Mon Jun 02 19:18:33 PDT 2014 --  I don't care how happy you are, when Tuesday's Gone comes on the radio you damn well sing along.
Mon Jun 02 12:44:53 PDT 2014 --  Should I use my sins to terrify the public?Or should I keep this terror hidden in my innermost being? Trying on a few looks 2 see what works
Sun Jun 01 18:45:06 PDT 2014 --  Just found out they're taking the ligament from a cadaver to repair my neighbor's ACL. Thus the zombie apocalypse begins!
Sun Jun 01 12:26:18 PDT 2014 --  Balmain made this crazy tapestry dress of all stones, to give my contemporaries a hint of the heavy burdens I bear within myself.
Thu May 29 14:31:18 PDT 2014 --  The task is not to find the lovable object. It is rather to find the object lovable, just by adding a fun lip color.
Fri May 23 10:35:37 PDT 2014 --  For events, I like to pair bold lashes with a gnawing sense of futility.
Wed May 21 23:42:14 PDT 2014 --  Well, now I have a blog. I'm as excited as you are. My first post is up... http://crowsbs.wordpress.com 
Thu May 08 15:23:56 PDT 2014 --  I tried on this amazing Wes Gordon chain mail dress and oh, how alike are melancholy & frivolity!
Tue May 06 21:39:41 PDT 2014 --  This allergy season has made me change my stance on green space. Burn it. Burn it all.
Mon May 05 17:54:41 PDT 2014 --  Hegelian philosophy posits the thesis that the outer is the inner & the inner is the outer, but I think it's elegant to twist it into a bun.
Mon May 05 09:54:48 PDT 2014 --  Kierkegaard's birthday today. Some day, he said, communication would become instantaneous but people would have nothing to say. Silly guy.
Fri May 02 08:37:18 PDT 2014 --  The difference between "a high potential customer" & "a high-potential customer" is small but hilarious.
Tue Apr 29 19:19:20 PDT 2014 --  Snark all you want, but I am unashamed of the childlike excitement I feel for the new Godzilla movie.
Sun Apr 13 13:39:10 PDT 2014 --  Obama Acts Unilaterally to Further Feminize America http://wp.me/p4v7P6-k 
Tue Apr 22 06:45:03 PDT 2014 --  Happy frackin' Earth Day.
Thu Apr 10 20:22:28 PDT 2014 --  Something to love about my new iPhone: Jeff Buckley's version of "Hallelujah" is now my alarm.
Fri Apr 04 05:10:15 PDT 2014 --  226 words in I realize I've written the last 800 words in past tense after doing the first 7000 in present tense. Session compromised.
Thu Apr 03 20:23:25 PDT 2014 --  This guy... RT @Mustache4Pres: What? Two blog posts in one day? It's like a freedom menage a trois. http://wp.me/p4v7P6-9 
