Wed Aug 26 19:08:07 PDT 2015 --  Men say feminists are oversensitive and then feel threatened by women gaining rights
Sat Jul 04 16:13:10 PDT 2015 --  "Are you kidding me?" M'am do I look like I'm enjoying this any more than you are?
Sat Jul 04 16:03:18 PDT 2015 --  I deserve better than disfunctional leadership and irate locals
Sat Jul 04 15:42:55 PDT 2015 --  I'm sorry I can't let you into your own neighborhood it's not up to me this isn't even what I was hired to do I'm a fucking camp counselor
Sat Jul 04 13:15:33 PDT 2015 --  Who the fuck decided that camp staff has to work the fireworks show
Sat Jul 04 10:25:36 PDT 2015 --  I'm that person who waits 3 months to deposit checks
Fri Jul 03 10:27:07 PDT 2015 --  If Mary gave birth to Jesus, and Jesus is the Lamb of God, does that mean that Mary had a little lamb?
Thu Jul 02 12:35:36 PDT 2015 --  *matches my bra to my underwear in a futile attempt to regain some semblance of control in my life*
Thu Jul 02 05:49:06 PDT 2015 --  Tbh I low-key ship spencer with one of his co-LITs
Mon Jun 29 18:45:36 PDT 2015 --  It wouldn't be summer camp without a camper hitting on me, would it?
Thu Jun 25 16:14:09 PDT 2015 --  Having purple hair is nice especially Bc random people compliment me on it
Mon Jun 22 13:18:35 PDT 2015 --  Today is a victory. Celebrate it. The Confederate Flag will come down in South Carolina, as it should. pic.twitter.com/kwzqXnVz9d
Sun Jun 21 14:33:13 PDT 2015 --  Ok but consider this: a soap opera sin-off called "Baes of our Lives"
Sun Jun 21 08:58:33 PDT 2015 --  Family drama before we could even get to the gifts, and for once I had nothing to do with it. Happy Father's Day!
Sat Jun 20 08:57:08 PDT 2015 --  #lt maybe after Charelston some will wake up and realize that casual racism is evidence of (who woulda guessed) racist beliefs but maybe not
Sat Jun 20 08:54:48 PDT 2015 --  The confederate flag has always made me hella uncomfortable & I'm scared that, going to college in Virginia, I'll be around ppl who enjoy it
Fri Jun 19 12:50:27 PDT 2015 --  Feminist articles in teen fashion magazines give me life
Tue Jun 16 21:09:02 PDT 2015 --  Camp starts tomorrow which means I need to make all my social media accounts private tonight
Mon Jun 15 12:50:22 PDT 2015 --  Naturally, the rockville library has on its shelves every Nicholas Sparks novel ever written, but not a single Vonnegut
Sat Jun 13 01:10:12 PDT 2015 --  I'm done. Saving the estranged family members' cards for tomorrow.
Sat Jun 13 01:00:44 PDT 2015 --  The later (earlier?) it gets, the more my card-signature begins to resemble my actual signature
Sat Jun 13 00:52:21 PDT 2015 --  Anytime I'm writing my last name in legible cursive, you should assume something is wrong
Sat Jun 13 00:48:23 PDT 2015 --  PSA: if anyone recieves a completely nonsensical thank you note from me within the next week, it's because I'm delirious rn
Sat Jun 13 00:37:24 PDT 2015 --  *writes thank-you cards at 3:30 AM because I can't sleep*
Fri Jun 12 16:47:09 PDT 2015 --  they're the Hannahs, doing Hannah things, watching wood catch fire as they sing #justhannahthings
Thu Jun 11 19:25:38 PDT 2015 --  One of the guys in The Shins looks soooo much like Jimmy Fallon
Thu Jun 11 12:07:19 PDT 2015 --  If anyone, male or female, ever says "I don't need feminism because ___," I assume they don't know what feminism is.
Wed Jun 10 10:36:23 PDT 2015 --  My sleep schedule is officially fucked beyond belief
Sun Jun 07 10:43:14 PDT 2015 --  A bug just flew in my eye, and for a terrifying moment I thought my mascara was toxic, causing my eyelashes to clump together & fall out
Sun Jun 07 08:16:30 PDT 2015 --  Spencer mowed my initials into the lawn sos
Sat Jun 06 19:09:31 PDT 2015 --  "Anarchy in the UK" has been playing on repeat in my head all day bc in my head I'm rebellious & edgy instead of just bored & kinda tired
Thu Jun 04 08:20:28 PDT 2015 --  My cousin is graduating highschool and it never ceases to amaze me how much cooler she is than me:) #hannahgraduates https://twitter.com/woehrlwind/status/606440611089121280 …
Thu Jun 04 08:48:26 PDT 2015 --  EXCUSE ME WTF HOW DO YOU RUN OUT OF DIPLOMAS AT A GRADUATION IM SO MAD
Thu Jun 04 05:41:23 PDT 2015 --  Happy graduation kids pic.twitter.com/F4Rjad7DNX
Thu Jun 04 04:45:02 PDT 2015 --  I'm wearing a polyester robe made by the same company as my yearbook. This truly is a magical event.
Tue Jun 02 08:18:16 PDT 2015 --  Why is monteleone freestyling at us?????????,,
Tue Jun 02 06:57:07 PDT 2015 --  I don't know what Garrick's definition of "high school senior" is but it sure as hell doesn't line up with reality
Tue Jun 02 06:00:58 PDT 2015 --  Tbh we are the senior prank because our class is a fuckinng joke
Tue Jun 02 05:21:47 PDT 2015 --  I resent the fact that Garrick thinks I will be "lead", or do anything other than exactly what I want
Tue Jun 02 02:36:54 PDT 2015 --  An alternative graduation gift to the Hercules soundtrack would be someone to rub my back & tell me I'm pretty
Mon Jun 01 16:28:54 PDT 2015 --  My hair came out much more purple this time & I kind of love it pic.twitter.com/VpAehljGaA
Mon Jun 01 10:25:37 PDT 2015 --  Me: "gets to class first" Mr. Agnew: " The Woehrle Bird gets the worm!" Me: "face palm" #badjokesbyagnew
Sat May 30 18:52:28 PDT 2015 --  Convos with @Swirli8 : "PUT SOME PANTS ON" "You put some pants on" "IM WEARING PANTS"
Fri May 29 12:31:20 PDT 2015 --  That awkward moment when your dad starts talking about the Vietnam war in an empty Pho restaurant
Thu May 28 18:41:02 PDT 2015 --  Idk if the I'm physically capable of living with 3 other people. Why did they put introverts in a quad??
Tue May 26 19:11:34 PDT 2015 --  Today my mother chastised me for never coming home drunk from a party
Mon May 25 13:28:12 PDT 2015 --  *seriously considers getting Nicki Minaj lyrics tattooed on my body*
Sun May 24 15:55:29 PDT 2015 --  S/o to the one-year anniversary of my Instagram account
Fri May 22 09:11:44 PDT 2015 --  GET YOUR EYES OFF MY ASS AND BACK ON THE ROAD
Fri May 22 09:02:04 PDT 2015 --  I don't care how young your sports car makes you feel Mr. graying-old-man, it's not fucking ok for you to be conspicuously ogling me
Thu May 21 15:38:34 PDT 2015 --  I know it's not socially acceptable to wear sunglasses inside but it's hella bright in this 5 Below
Wed May 20 11:22:01 PDT 2015 --  I AM CURRENTLY BOTH MY DAD AND MY COUSIN'S PROFILE PICS. Happy #woehrlewendsday folks #woehrlefam https://instagram.com/p/26eL1DRp9w/ 
Wed May 20 10:36:02 PDT 2015 --  I just finished high school, I feel like I should be running through a field or something
Wed May 20 09:59:34 PDT 2015 --  Ugghh my roots are already starting to show
Tue May 19 10:26:55 PDT 2015 --  “ @TheOnion: Your Horoscopes — Week Of May 19, 2015 http://www.theonion.com/r/50464tsd  pic.twitter.com/ksK6Ri6PuX”@BrOlivia_ READ URS PLS ITS RLLY IMPORTANT
Mon May 18 12:34:08 PDT 2015 --  Actually, the only thing that could've made the #BadBloodMusicVideo better is if @AnnaKendrick47 was in it
Fri May 15 10:25:45 PDT 2015 --  In Focus: Are Tests Biased Against Students Who Don't Give A Shit? http://www.theonion.com/r/17966tsd  pic.twitter.com/pGYgnY3tyo
Fri May 15 11:55:59 PDT 2015 --  My brother is an actual pyromaniac
Wed May 13 17:21:40 PDT 2015 --  #lt I can't find anything online about it but I wanna be sure
Wed May 13 17:20:47 PDT 2015 --  I kinda wanna wear a head chain to prom, but idk is there cultural history attached that idk about that makes it cultural appropriation-y?
Wed May 13 16:34:45 PDT 2015 --  "Did you know that, according to To Kill A Mockingbird, it's a sin to kill a mockingbird?" - @Swirli8
Wed May 13 05:36:53 PDT 2015 --  psa to those taking the ap stat test pic.twitter.com/kAjSRxJsGj
Tue May 12 19:18:21 PDT 2015 --  They're having late-night band rehearsal here the night before my stat exam because of course they are
Tue May 12 16:00:54 PDT 2015 --  Tbh the best graduation present you could get me would be the Hercules soundtrack
Mon May 11 18:07:58 PDT 2015 --  Shoutout to everyone who liked the selfie I posted on fb AND my mom's repost of it
Mon May 11 15:44:55 PDT 2015 --  you stereotype teenagers as gossipy and lazy, and yet they're out there living their lives and you're here talking shit about them for it
Mon May 11 11:51:41 PDT 2015 --  No it's not a wig https://instagram.com/p/2jWbNqxpxt/ 
Fri May 08 07:40:02 PDT 2015 --  i feel like the unfinished testudo on the class of 2014 college banner
Fri May 08 06:25:50 PDT 2015 --  Is it weird that I consistently forget about my freckles?
Thu May 07 07:47:38 PDT 2015 --  JUST THE WAY I LIKE IT pic.twitter.com/4AtVt4pLkV
Thu May 07 04:55:38 PDT 2015 --  I don't function well under pressure. Or without pressure. I can, however, complain under any circumstance.
Wed May 06 09:28:59 PDT 2015 --  Seriously considering ordering a pizza to congratulate myself on finishing the ap lit exam. Question is: do I have enough cash?
Tue May 05 17:44:49 PDT 2015 --  Can I just graduate already? #SeniorYearIn5Words
Tue May 05 13:15:20 PDT 2015 --  If anyone w an iPhone has been trying to text me lately: i'm not getting iMessages??If anyone w/o one has been trying: obviously I hate you
Tue May 05 06:53:15 PDT 2015 --  I don’t need femimss #HowToSpotAFeminist ? You cannot. You will never even know she is there. Until it is too late.
Mon May 04 13:05:47 PDT 2015 --  Here’s a breakdown of what the average teen spends on prom: http://www.theonion.com/r/35896tsd  pic.twitter.com/WvX3gVm9RC
Mon May 04 03:15:29 PDT 2015 --  In one month I'm officially done with you all
Sat May 02 13:58:50 PDT 2015 --  In related news, if you're not doing anything, feel free to come see my dads band be musically talented and irritate restaurant patrons
Sat May 02 13:57:01 PDT 2015 --  Steve Woehrle : from playing at #SXSW to playing on a literal street corner pic.twitter.com/JEfY34mSJe
Sat May 02 11:34:16 PDT 2015 --  me after eating a salad: Living healthy.... Love urself.... exercise is life
Thu Apr 30 18:02:32 PDT 2015 --  I stg I'm sober I just thought the synthesizer was a pinch pot
Thu Apr 30 12:05:59 PDT 2015 --  What the fuck did I do to piss off Zeus this time?????
Wed Apr 29 13:07:07 PDT 2015 --  Here are some pros and cons of having Greek systems at colleges: http://onion.com/1HS2AhK  pic.twitter.com/IjeGFeliwC
Wed Apr 29 07:36:05 PDT 2015 --  I had a donut for breakfast so today's gonna be a good day, that's the way it works sorry I don't make the rules
Wed Apr 29 00:32:06 PDT 2015 --  today marks 7 years since bruno mars was surprised to see pete wentz pic.twitter.com/5vo7ASSXLb
Tue Apr 28 17:53:15 PDT 2015 --  Oh noooo @krispykreme was out of glazed donuts
Tue Apr 28 14:36:24 PDT 2015 --  “ @TheOnion: Your Horoscopes — Week Of April 28, 2015 http://onion.com/1GBR2Oc  pic.twitter.com/xPAcEih8LX”@BrOlivia_ onion horoscopes are out
Sun Apr 26 14:40:50 PDT 2015 --  Lol at #FeministsAreUgly . Equal rights & I are hot as hell pic.twitter.com/HZntQUfxzq
Sat Apr 25 16:01:28 PDT 2015 --  Fyi if you see my crying it's because I'm pms-Ing not because I actually care about or will miss any of you
Fri Apr 24 15:28:18 PDT 2015 --  Your fearless leader @RMHS_Principal is coming to see #ATTWN tonight & so can you!
Fri Apr 24 12:16:10 PDT 2015 --  SOS pic.twitter.com/AgY8xqJWUK
Thu Apr 23 07:58:38 PDT 2015 --  Sometimes you just gotta step back and remind yourself : it's just a buzzfeed quiz
Wed Apr 22 09:50:24 PDT 2015 --  The good news is that I found a tattoo studio in Fredericksburg that specializes in watercolors
Tue Apr 21 17:14:38 PDT 2015 --  WHOOPS THOSE ARENT ALLERGIES IM ACTUALLY HELLA SICK
Tue Apr 21 11:34:03 PDT 2015 --  I said I was in "allergy hell" and Yennifer heard "hourly ho" and tbh that'd be preferable
Mon Apr 20 17:27:52 PDT 2015 --  There are extreme pollen levels in hell. I'm sure of it.
Mon Apr 20 08:48:17 PDT 2015 --  "Ugh, now Hozier wants me to pick him up from church." — University College London
Mon Apr 20 08:43:05 PDT 2015 --  Pretty girl (me) looking for a pretty boy to take prom pics with
Mon Apr 20 03:45:38 PDT 2015 --  Why do people like Spring so much?? The weather is rainy & inconsistent , my allergies are in overdrive, and I have to take a bunch of tests
Fri Apr 17 16:06:44 PDT 2015 --  Are YOU here for #ATTWN opening night? #OpeningNight pic.twitter.com/6IauJIvJed
Fri Apr 17 14:22:35 PDT 2015 --  Nothing hotter than a good nip-lobe @BrOlivia_
Thu Apr 16 18:27:32 PDT 2015 --  If a goddamn radio commercial can pass the Bechdel test, your movie sure as hell should be able to as well
Thu Apr 16 12:41:26 PDT 2015 --  John Waters on rebels pic.twitter.com/mcOWCdxvyJ
Thu Apr 16 08:04:28 PDT 2015 --  Is this a senior prank because what
Wed Apr 15 17:29:33 PDT 2015 --  "You know we always gotta drop the weasels, but now we're gonna drop the beat!" - Clay Smiles
Wed Apr 15 11:47:46 PDT 2015 --  How do I share with my friends how cute my underwear is without sending them nudes??????
Wed Apr 15 07:43:33 PDT 2015 --  i don’t need fimeme some femistis don’t consider intersectionality an important part of their femisits beliefs oops valid complaint
Tue Apr 14 15:11:24 PDT 2015 --  @JoeBiden If you take my sister @cherubykaren to prom I will name my future children Joe and Biden
Mon Apr 13 19:35:46 PDT 2015 --  Tbh the best way to save money is to continually forget your wallet
Sun Apr 12 15:11:03 PDT 2015 --  The main problem with the "recommended for you" section on Netflix is I've already watched most of the recommendations
Sun Apr 12 06:08:38 PDT 2015 --  @ everyone: sorry for the hack, @anafenza @PioneerNate : thanks for letting me know lol
Fri Apr 10 13:03:23 PDT 2015 --  where tf is my brother? He's not answering his phone? @Swirli8 come home
Fri Apr 10 10:55:49 PDT 2015 --  People who respond to my narcissism with genuine compliments leave me feeling flustered and confused
Thu Apr 09 07:03:02 PDT 2015 --  Friendship breakups are fucking rough, and not just because I'm too emotionally unavailable to get that invested in a romantic relationship
Sun Apr 05 10:01:21 PDT 2015 --  I want the wings of my eyeliner to be so sharp that I can cut a man on them
Thu Apr 02 06:46:04 PDT 2015 --  2 years ago I'd die before going to school without makeup on and now I just make sure not to leave without coffee and my phone
Wed Apr 01 18:02:36 PDT 2015 --  GOODBYE PLATO I WON'T MISS YOU
Tue Mar 31 04:56:07 PDT 2015 --  When you complain about little kids, why do people always respond "you used to be one"? Like yeah I was, your welcome for growing tf up
Sun Mar 29 19:21:37 PDT 2015 --  #lrt if Perez Hilton is calling you out on your problematic behavior you KNOW that you crossed a huge line
Sun Mar 29 17:12:32 PDT 2015 --  Boo! Shame on you #iHeartAwards for allowing @iamjamiefoxx to be transphobic on national television! Those #BruceJenner jokes were wrong!!!
Sat Mar 28 09:30:20 PDT 2015 --  This Week Last Year: How The College Admissions Process Works http://onion.com/1G0lcLv  pic.twitter.com/65BEAwLhyP
Thu Mar 26 12:26:43 PDT 2015 --  Having an ice cream shop that's a five minute walk from my house is both the best and worst thing about my life
Thu Mar 26 09:26:20 PDT 2015 --  MY FRONT FACING CAMERA IS BUSTED. SEND HELP THIS IS UNACCEPTABLE
Tue Mar 24 17:58:47 PDT 2015 --  I'm a gift just fyi pic.twitter.com/OSarzV9rvM
Tue Mar 24 08:01:50 PDT 2015 --  Can we just skip April it's totally irrelevant
Sat Mar 21 09:21:46 PDT 2015 --  We couldn't find an aux cord so we brought a bunch of CDs on our road trip and I think that was a solid move
Fri Mar 20 09:29:37 PDT 2015 --  "You kinda look like you belong in Seattle in the early 90s" "I kinda feel like I belong in Seattle in the early 90s" #thatsmyaestheticdad
Wed Mar 18 19:15:39 PDT 2015 --  *defends feminist ideals rather than doing homework*
Wed Mar 18 16:46:07 PDT 2015 --  CALVIN FROM GREEK WENT TO MC this has been a psa pic.twitter.com/8i9C6eMuLl
Tue Mar 17 10:23:56 PDT 2015 --  I've got 99 problems and assumptions are at least half of them #apstats
Tue Mar 17 07:15:43 PDT 2015 --  When I was little I loved St Patrick's Day but now it just makes me want to yell at people. tbh that's probably more Irish of me anyways
Tue Mar 17 05:23:50 PDT 2015 --  I'm feeling vauguely homcidal but at least I look cute
Mon Mar 16 06:20:29 PDT 2015 --  I don't know why, but I expected financial aid packages to resemble literal packages more
Sat Mar 14 16:50:50 PDT 2015 --  "Is this possible?" "Who cares, as long as it's working!" Is the best summation of Disney movie logic I've ever heard from a Disney movie.
Fri Mar 13 14:24:38 PDT 2015 --  Plot twist: I'm Mr. RM pic.twitter.com/8RtZ0Y81fS
Fri Mar 13 09:22:40 PDT 2015 --  When you can play "how not to have a conversation about race" bingo during class, you know there's a problem
Fri Mar 13 08:45:05 PDT 2015 --  @BrOlivia_ @woehrlwind #justHannahthings
Fri Mar 13 05:14:52 PDT 2015 --  I hope y'all are emotionally prepared for how great I'm gonna look tonight
Thu Mar 12 08:33:59 PDT 2015 --  This 5 day week is hitting me like a truck
Wed Mar 11 05:12:29 PDT 2015 --  Two casts are better than one! Because #ATTWN is double cast, you can come twice to see two unique shows!
Wed Mar 11 05:01:17 PDT 2015 --  I haven't shaved my legs in ages but you can bet I'm wearing a skirt
Tue Mar 10 06:15:04 PDT 2015 --  If I failed my existentialism test it doesn't matter because life is meaningless
Mon Mar 09 05:12:05 PDT 2015 --  Who needs clean hair when you have cute beanies
Sun Mar 08 14:32:26 PDT 2015 --  I don't need fiemems but when is International Whinging ManBaby Day???? oh I just looked at a calendar it is today as well and every day
Thu Mar 05 15:38:48 PST 2015 --  I AM the walrus ((literally)) pic.twitter.com/YepwKddhSO
Thu Mar 05 15:24:39 PST 2015 --  If you genuinely consider Monopoly to be a game, you're not playing properly
Thu Mar 05 08:09:34 PST 2015 --  My bed is so comfortable it's unreal
Wed Mar 04 12:48:14 PST 2015 --  If @jemieserables and I aren't your choice for cutest couple, you need to reevaluate
Tue Mar 03 11:39:34 PST 2015 --  It's not a phase mom it's WHO I AM pic.twitter.com/TaTybIHBfx
Tue Mar 03 09:03:12 PST 2015 --  “@BrOlivia_: Someone needs to skip 7th and 8th to get pancakes with me” seriously someone go with her or I think she'll lose it
Tue Mar 03 06:52:55 PST 2015 --  Mr Thomas was shocked and impressed that I was legitimately awake during class today. I'm not sure how to feel about that.
Mon Mar 02 16:54:51 PST 2015 --  Eating dinner in bed because I think I deserve that much
Mon Mar 02 07:40:56 PST 2015 --  Give us all the snow days and extend the year as far as you want; seniors won't have to come in anyway
Sun Mar 01 11:44:23 PST 2015 --  When my interviewer asked about study abroad, I said I wanted to go to the UK because Punk Rock (classic too, but mostly punk)
Sat Feb 28 21:33:42 PST 2015 --  College interviews: what's the polite way of saying "I'm cute and charming, give me money"?
Fri Feb 27 04:54:40 PST 2015 --  A+ haircut, D- attitude pic.twitter.com/cEUJmwBiCY
Wed Feb 25 06:37:49 PST 2015 --  VOTE #hmizzle FOR CUTEST COUPLE 2k15!! pic.twitter.com/rmdS4Rdiwt
Tue Feb 24 15:46:59 PST 2015 --  I need a really gorgeous man to give me a really deep tissue massage
Tue Feb 24 08:18:01 PST 2015 --  If I sleep for the next 3 months I might be well-rested for graduation
Mon Feb 23 17:11:54 PST 2015 --  I don't wanna go to college I wanna go to sleep
Mon Feb 23 09:48:48 PST 2015 --  "And Then There Were None" tickets are cheaper than "They Might be Giants" tickets so your decision is kinda already made for you
Fri Feb 20 08:22:35 PST 2015 --  Dying because senior D's and E's doubled from 1st quarter to 3rd quarter. Go us! @ can i just graduate… http://instagram.com/p/zVFxJpRp_E/ 
Fri Feb 20 05:43:15 PST 2015 --  Giving up so early I'm not even bringing my glasses to school
Tue Feb 17 12:51:17 PST 2015 --  But we miss giving away tickets...RT for a chance to win. #Firefly2015 #FireflyLineup pic.twitter.com/uCwxeBZk3a
Fri Feb 13 07:10:47 PST 2015 --  "Whatever, I'll just do it during journalism" - #seniorquote
Thu Feb 12 17:08:55 PST 2015 --  “ @antijokeapple: the white boy valentines card pic.twitter.com/yLcYFrEAkf”@BrOlivia_ found it
Wed Feb 11 16:16:10 PST 2015 --  "College is great and all, but there's always money in the banana stand." - #seniorquote @jeffreytambor
Wed Feb 11 16:10:55 PST 2015 --  "I fell in love the way you fall asleep: I didn't, because FRIENDS IS ON NETFLIX" - #seniorquote
Wed Feb 11 16:09:02 PST 2015 --  "In my defense, I haven't finished my coffee yet" - #seniorquote
Tue Feb 10 18:14:07 PST 2015 --  Laughing at underclassmen freaking out about school start time change because it literally does not effect me any more
Tue Feb 10 12:34:48 PST 2015 --  college email: this is the last time we're going to extend your deadline for-- me: BLESS
Sun Feb 08 13:32:26 PST 2015 --  Shoutout to @Beatlesbaby8 and @aida_bagheri for aging today and making me fear the passage of time
Sat Feb 07 18:02:53 PST 2015 --  If you think about it, the term 'self-centered' is very petty insult. Like, who else are you supposed to be centered on?
Fri Feb 06 02:27:31 PST 2015 --  I kept expecting an apology, even a facetious one, but the only vibe I was getting was one of resentment.
Fri Feb 06 02:24:53 PST 2015 --  What gets me about the spirit day situation (aside from the actual concept) was how clear it was that they didn't want to change it
Tue Feb 03 15:23:52 PST 2015 --  All I've had to eat today is black coffee and Oreos and I'm feeling kinda nauseous
