Sat Aug 22 04:34:23 PDT 2015 --  【どう？】こちらがＫカップの爆○を持つセクシー女優です！！ http://meme-mag.net/post-81907/  pic.twitter.com/EO6rwKHTGG
Tue Jul 21 23:31:21 PDT 2015 --  有吉がグラビアアイドルにマヂキチ柔道技をかましたwwwwww pic.twitter.com/HndcA7XsK4
Mon Jul 20 05:36:01 PDT 2015 --  【速報】ないものねだり 非リア充ver がヤバい 【速報】ないものねだり 非リア充ver がヤバい 【速報】ないものねだり 非リア充ver がヤバい 【速報】ないものねだり 非リア充ver がヤバい pic.twitter.com/IDxfAvGfbm
Sun Jul 19 23:00:38 PDT 2015 --  ← 大阪桐蔭 PL学園 → PL学園OBマヂキチな怖さwww http://twitter.com/winning_horse/status/622704252314456064/photo/1pic.twitter.com/DNdHCwXI2N 
Sun Jul 19 06:14:15 PDT 2015 --  中村俊輔のフリーキック やばめやばめ ギュンギュンやん 壁もキーパーもなんも出来ん 上手すぎや例えようがない上手さ まだまだやれる pic.twitter.com/buoaJXLPCp
Sun Jul 19 06:20:28 PDT 2015 --  リクエスト来たらします
Sun Jul 19 06:14:23 PDT 2015 --  さっきのやつまた気がむいたらします
Sun Jul 20 21:51:55 PDT 2014 --  三田学園 104人の部員数で応援も ものすごいものだ。 総体では4位と大健闘果たした。 優秀選手に輝いた飯尾恭平選手と 中村圭一選手に選手権では期待したい。 #知ってる人RT
Sat Jul 18 06:30:06 PDT 2015 --  又吉直樹 「愛唄」 聴いてください。どうぞ。 pic.twitter.com/SVVVII8VWw
Fri Jul 17 06:58:11 PDT 2015 --  @K_miu0223 ありがとう！どっちやった？笑まぁどっちでも呼んで！ それはどっちでも良いと思う笑 またあつまろな！
Fri Jul 17 02:34:14 PDT 2015 --  なにしてんの？笑 pic.twitter.com/dxZiOE7Vgj
Sat Jun 06 23:05:07 PDT 2015 --  滝二優勝おめでとう*\(^o^)/* pic.twitter.com/TkZ5m6QhaO
Tue Apr 21 05:05:03 PDT 2015 --  日本をどう思うか、という質問に対して番組の都合で和訳を絶対変えてるやつ#remake https://vine.co/v/eaeaevg7O5h 
Mon Jul 13 23:39:05 PDT 2015 --  育英高校 校歌 pic.twitter.com/tnDOppzu2G
Wed Apr 15 04:26:58 PDT 2015 --  ディズニー映画の冒頭懐かしいけどなんか違う。 https://vine.co/v/euEz3h5YvDX 
Fri May 08 04:58:41 PDT 2015 --  仕事よりナンパを優先するニュースキャスター https://vine.co/v/emWKxpIZv1p 
Tue Jul 07 05:03:50 PDT 2015 --  夏の男あるある https://vine.co/v/envwqFzBl3I 
Wed Jul 08 04:51:58 PDT 2015 --  吹いたｗｗｗ ドラえもん pic.twitter.com/0xy06tYZef
Wed Jul 08 03:39:22 PDT 2015 --  Q.日本一高い山は？ A.富士山 Q.2番目に高い山は？ わからないだろ？ だから1番にならないと いけないんだよ。 山下智茂(元星稜高校監督) #なんて良い言葉なんだ
Tue Jul 07 05:43:21 PDT 2015 --  本当これww pic.twitter.com/bwHeVREkmZ
Tue Jul 07 04:41:19 PDT 2015 --  @xx6094243ほんまにきもい
Mon Jul 06 06:34:29 PDT 2015 --  くまモンに笑いが止まらんwww pic.twitter.com/GVQWBuHIcj
Mon Jul 06 05:23:44 PDT 2015 --  誰か俺の定期拾った人 教えてください 名谷駅付近で落としてるよーな気がするので 見つけたら 駅員さんに渡すか 俺にDMください お願いします ※拡散希望
Mon Jul 06 04:57:57 PDT 2015 --  この子面白すぎる ツボ. pic.twitter.com/KjLq1S1QqG
Sat Jul 04 23:40:24 PDT 2015 --  ((((；ﾟДﾟ)))) pic.twitter.com/bSP3yNH2w9
Sun Jul 05 23:07:03 PDT 2015 --  今はやりの、可愛くなったりイケメンになったりする奴。 こいつ……… pic.twitter.com/wR309NM6Zw
Sat Jul 04 20:44:09 PDT 2015 --  なんだこいつ 意味がわからない 世界は広いなぁ pic.twitter.com/uWuSJTdPsX
Sat Feb 07 07:07:48 PST 2015 --  https://vine.co/v/OUWvL752Hjj 
Fri Jul 03 09:00:42 PDT 2015 --  武藤嘉紀 イケメン 慶応育ち→慶応卒 親が医者 従姉妹がアメリカでモデル Ｊ新人最多得点記録 現日本代表/元Jリーガー チェルシーから正式オファー マインツ移籍 美人CAと結婚←NEW! 武藤よ、君は何処までいくんだ？
Sat Jul 04 06:40:38 PDT 2015 --  【速報】ポテトソンガー現る 【速報】ポテトソンガー現る 【速報】ポテトソンガー現る 【速報】ポテトソンガー現る 【速報】ポテトソンガー現る 【速報】ポテトソンガー現る pic.twitter.com/Wf4W6CuddA
Sat Jul 04 06:15:32 PDT 2015 --  これ見たあと、周りの物が違う色に見える. http://vine.co/v/ODYq3aidI5e 
Tue Jun 09 04:47:24 PDT 2015 --  これTwitterでやっててRTしたら 金入って来るっていってて、どーせ嘘だろ って思いながらもちょっと やりたかったからやったらほんとに 金入ってびっくりしてる笑 1万3000円入ってきた笑 騙されたと思ってやってみて！ pic.twitter.com/IRhSViIZgd
Sat Jul 04 03:03:31 PDT 2015 --  わろたwwwww pic.twitter.com/BwoE5VgjJm
Fri Jul 03 23:26:44 PDT 2015 --  初クリア pic.twitter.com/4SEQvlEuyS
Fri Jul 03 04:09:24 PDT 2015 --  頭を抱えるほどの股抜き！！ pic.twitter.com/nbSgNd94UP
Fri Jul 03 02:41:28 PDT 2015 --  イッテQのこれｗｗ 大ちゃんマヂキチ。 何回見ても笑ってしまうｗｗｗｗｗ pic.twitter.com/XPt88sYBYC
Thu Jul 02 05:47:08 PDT 2015 --  サスケでプロポーズからのクリアは最高やな！ かっこよすぎw pic.twitter.com/tcTTzrEAwq
Tue Jun 23 04:04:09 PDT 2015 --  武藤のカメラサインからのウィンクが憎たらしいほどカッコいい。 https://vine.co/v/ehBhwHV3mAE 
Wed Jul 01 05:51:44 PDT 2015 --  @wTUWMomB4AnILuj @ee3b3lKt6DhoEsb な、、
Wed Jul 01 05:29:45 PDT 2015 --  小田原駅で救急搬送されたのは新幹線の運転士だったそうです。 ヤケドを負いながらガソリン炎上を鎮火させた後、安全を確認して運転再開。 他国なら、英雄として讃えられているはず。 #凄いと思った人RT pic.twitter.com/9J7oBKxSn3
Tue Jun 30 00:49:04 PDT 2015 --  フッキ今度はボールが..... pic.twitter.com/1dtUsXPbin
Fri Jun 26 19:29:53 PDT 2015 --  じゃあそもそも2ケツすんなや pic.twitter.com/gtfDiBLAdN
Wed Jul 01 01:45:48 PDT 2015 --  今からadidas渋谷店に行くから… 皆集まれ〜‼︎盛り上げるぞ〜‼︎ pic.twitter.com/ummd7l7Kel
Wed Jul 01 01:47:17 PDT 2015 --  今から香川と槙野は渋谷店。めっちゃ行きたい　RT
Thu Jun 18 04:06:11 PDT 2015 --  もし本当にメッシやネイマールとマッチアップすることになったら？の問に真顔で、 ｢削ります｣ pic.twitter.com/nfqyw4xdMZ
Sat Jun 27 07:04:22 PDT 2015 --  Ape With AK-47 pic.twitter.com/JkQMzVazY6
Sat Jun 27 04:30:53 PDT 2015 --  パトリック。。まじか。。。。。。 pic.twitter.com/Z9GtMUit9A
Mon Apr 27 06:13:15 PDT 2015 --  10秒で飯を食う時代 https://vine.co/v/eWIutT9pqt7 
Fri Jun 26 04:51:15 PDT 2015 --  【速報】フッキの破壊的なキック力がヤバイ 【速報】フッキの破壊的なキック力がヤバイ 【速報】フッキの破壊的なキック力がヤバイ 【速報】フッキの破壊的なキック力がヤバイ 【速報】フッキの破壊的なキック力がヤバイ https://vine.co/v/e5LHtvbOm79 
Wed Jun 17 16:15:25 PDT 2015 --  『浮気しやすい男子の名前』 1 剛-つよし 2 智也-ともや 3 純-じゅん 4 翔-しょう 5 司-つかさ 6 和也-かずや 7 健太郎-けんたろう 8 大輔-だいすけ 9 哲也-てつや 10 正樹-まさき 自分or友達にいたらRT
Thu Jun 25 05:28:57 PDT 2015 --  こいつマヂキチすぎるwww pic.twitter.com/0rE3PrZJbe
Tue Jun 23 06:19:22 PDT 2015 --  俺より「はーなんしー」バカにできるやついんの？ pic.twitter.com/9VXip8ywWt
Wed Jun 24 06:46:18 PDT 2015 --  こいつやべえwww 一人で爆笑したwww #爆睡警備員 pic.twitter.com/9dgHDucuQD
Sun Jun 21 02:29:23 PDT 2015 --  今月もやります。 1RT ¥100 貧困って生活に困ってるだけの事じゃない 大切なもの ”愛情”や”思いやり” が欠けていること。お金だけじゃ足りない 愛情や思いやりを届けよう。 6/30〆 pic.twitter.com/Rzw8DihUIr
Tue Jun 23 06:15:04 PDT 2015 --  息子は娘になると言うし娘は息子になると言うし、もうなんでなのよぉ！？と嘆く父のエリック pic.twitter.com/VYlG6g94GI
Tue Jun 23 06:10:01 PDT 2015 --  【速報】本田翼のことめちゃくちゃ嫌いな奴現る 【速報】本田翼のことめちゃくちゃ嫌いな女現る 【速報】本田翼のことめちゃくちゃ嫌いな女現る 【速報】本田翼のことめちゃくちゃ嫌いな女現る 【速報】本田翼のことめちゃくちゃ嫌いな女現る pic.twitter.com/QOrpE9SmEN
Sat Jun 20 20:29:08 PDT 2015 --  こんなん笑うわ pic.twitter.com/SpTmfG5xZk
Tue Jun 23 05:00:54 PDT 2015 --  まさに、予測不能 凄いおじちゃん現る！ pic.twitter.com/rE0VBupMOQ
Tue Jun 23 04:12:15 PDT 2015 --  槙野、アリーよりもサッカーを愛しすぎていた www 最高 #urawareds #槙野 #水沢アリー pic.twitter.com/Nj2kU4LVZ4
Tue Jun 23 02:42:58 PDT 2015 --  サッカー部あるある くっそwwww これは負けたwwww https://vine.co/v/eex1uJiArOA 
Mon Jun 22 04:25:19 PDT 2015 --  フェデラーvsグアルディオラ pic.twitter.com/cg9IGB3i4x
Sun Jun 21 04:35:58 PDT 2015 --  毎日毎日こっちを見つめる子供の霊をツイッターユーザーが激写 ！こりゃリアル呪怨の俊雄くんだ(((((((( ；ﾟДﾟ))))))) - NAVER まとめ http://matome.naver.jp/odai/2143488529629497301 … pic.twitter.com/DV0pkVE8yC
Sat Jun 20 19:51:32 PDT 2015 --  やめろやめてくれ笑い死ぬ。 pic.twitter.com/bZYRqbNMJG
Sat Jun 20 04:26:15 PDT 2015 --  かみきれてうれしー みおみお今日はありがとね〜 塩パンまじでおいしかった clefyぜったいウソやわ マジメに買い物今度しよ またたっつんぼーに会ったぜ pic.twitter.com/o18EBxYN6J
Sat Jun 20 03:44:17 PDT 2015 --  角度を変えると〜 思わず笑ったらRT！ pic.twitter.com/pHmpf0qI23
Fri Jun 19 17:45:52 PDT 2015 --  パイ/で pic.twitter.com/1HhdeDJSTx
Fri Jun 19 09:33:20 PDT 2015 --  これはたまらんw やっばwwまさに外道w pic.twitter.com/TVC7EkLxyV
Fri Jun 19 02:51:11 PDT 2015 --  ハメスが、怒りを露わにするネイマールをなだめた。 http://sport-japanese.com/barcelona/news/2015/6/19/%E3%83%8F%E3%83%A1%E3%82%B9%E3%81%8C%E3%83%8D%E3%82%A4%E3%83%9E%E3%83%BC%E3%83%AB%E3%81%AA%E3%81%A0%E3%82%81%E3%82%8B … 試合終了後に怒りを露わにしたネイマールに対して、ハメスが「落ち着け、神様にもらった才能を大事にしろ。」となだめる一幕があった。 pic.twitter.com/hhZrawG1Rv
Fri Jun 19 03:49:16 PDT 2015 --  田中マルクス闘莉王こわ.. まじか pic.twitter.com/DKxGicMhUd
Thu Jun 18 21:39:24 PDT 2015 --  こんだけ休みなく日本全国　世界各国駆け回ってる総理って居たか？ あちこちで話を聞き　いろんな物を食べ　話してきた サヨクやマスコミにこんなに批判される総理が居たか？ だったら俺らが応援しようじゃないか！ #安倍総理応援団 pic.twitter.com/paWCD4ENAP
Tue Jun 16 15:28:44 PDT 2015 --  (皆さんへ誤解を撤去してもらいたいです) うちが獄中で自殺したなんて嘘が出回ってるんや。まず未成年でたばこ吸うだけで獄中にははいらんわ、補導で終わるんやで？んでもってうちは自殺なんてしておらんし生きとるわ。 #拡散希望
Tue Jun 16 05:26:09 PDT 2015 --  【シンガポール戦まとめ】 ・ドイツ代表ギュンドアン参戦 ・相手キーパーの上手さ ・内容にハリル監督激おこ ・太田宏介が輝き放つ ・埼スタに有名人多数 ・日本代表なかなかゴールに恵まれず ・相手の痙攣の半端なさ ・解説と実況荒れる ・結果スコアレス、連勝ならず
Thu Jun 11 05:41:15 PDT 2015 --  Genki Haraguchi scores for Japan 4-0 win friendly vs. Iraq. His first goal for Japan national team! #hahohe https://vine.co/v/eOIWW0IwYEI 
Wed Jun 17 03:09:43 PDT 2015 --  昨日、僕は筋肉の張りがあり、試合に出られず残念でした。 心配を掛けてすいません。休養を取って、クラブと日本の為に闘える身体で戻ってきます！ 早速、甥っ子に癒されてます！ pic.twitter.com/O4lKO2bTNB
Wed Jun 17 03:08:41 PDT 2015 --  昨日は応援ありがとうございました。 昨日の試合はサッカーの難しさ、奥深さを改めて感じました。 この悔しさを糧に長い予選をチーム一丸となって戦えるように努力していきます。
Tue Jun 16 05:55:59 PDT 2015 --  勝手に死んだとか捕まったとかデマながさんといて拡散希望で
Sun Jun 14 17:39:05 PDT 2015 --  車上荒らしが失敗した時の対処法 マヂキチすぎんだろ。 https://vine.co/v/Ml1Eee0Uvix 
Mon Jun 15 01:32:54 PDT 2015 --  ぶりっこ「かまって！」 マヂキチすぎんだろがwww https://vine.co/v/e7iuelL13Id 
Tue Jun 16 03:20:47 PDT 2015 --  6万人満員の埼スタに駆けつけたシンガポールサポーター、9人 pic.twitter.com/BXRGzAMoFy
Mon Jun 15 05:35:29 PDT 2015 --  キックフェイントwwww https://vine.co/v/eeKJnEI27qa 
Mon Jun 15 03:30:03 PDT 2015 --  ソナーポケット俺上手いわー^ ^ pic.twitter.com/UwQPcuiwvr
Mon Jun 15 04:49:02 PDT 2015 --  待って。ばけもんかわいいやばい モノマネより顔一生見てまう pic.twitter.com/CcpfkgaPu1
Mon Jun 15 04:23:42 PDT 2015 --  ロナウジーニョwwww pic.twitter.com/zuHRyigfoO
Sat Jun 13 23:07:21 PDT 2015 --  @komaki1229 pic.twitter.com/mPx42WTU9Q
Sun Jun 14 18:36:59 PDT 2015 --  【注意！犯人逃走中／西宮市で殺人未遂事件】 http://bit.ly/1C7zGVp  兵庫県西宮市上ヶ原の路上で15日未明、男性が何者かに刃物で腹などを刺される殺人未遂事件が発生。無差別に人を狙った通り魔による犯行の可能性も。 pic.twitter.com/1YXmyLtqYf
Wed Jun 10 08:03:07 PDT 2015 --  エレベーターに閉じ込められた pic.twitter.com/ukYkWFpkJN
Sun Jun 14 04:49:59 PDT 2015 --  これやばすぎるでしょ （；＿；） pic.twitter.com/1UYThVsRDW
Fri Jun 12 05:50:05 PDT 2015 --  春日部共栄 狙い打ち かっこいいとおもったらRT！ pic.twitter.com/7R0F1Kfnm4
Wed May 06 06:48:29 PDT 2015 --  最近は女の子の間で太眉が流行ってるんだって。 https://vine.co/v/OAZBZ7gblz1 
Sat Jun 13 05:59:40 PDT 2015 --  神戸ルミナリエは２０１５年から大きさが２０％カットされます。 去年の募金額はひとりあたり「１４円」しか集まりませんでした。 マスコミも含めて毎年１２月にならないと話題にならないので、 今のうちに打てる手段を考えたいです。 pic.twitter.com/POHWzWL7qR
Sat Jun 13 05:30:12 PDT 2015 --  「CHE.R.RY」をプロ野球選手名で歌ってみました pic.twitter.com/jodxOHGSHk
Sat Jun 13 05:15:52 PDT 2015 --  ライブ中にちょくちょくトイレの場所聞かれる pic.twitter.com/bB91YcZ29y
Sat Jun 13 05:04:20 PDT 2015 --  明日から県リーグ後期が始まります。 前期は無敗で走り抜けることができました。 この勢いを止めることなく 関西リーグ昇格へ向け もう一度気を引き締めて戦っていきます。 応援よろしくお願いします。 pic.twitter.com/y8YPkuznoK
Sat Jun 13 04:06:17 PDT 2015 --  【代表情報】 29歳の誕生日を迎えた本田、ケーキを贈られ照れ笑い「嬉しいです」 http://www.soccer-king.jp/news/japan/national/20150613/322131.html … 6月13日、本田が29歳の誕生日を迎えました。 #daihyo pic.twitter.com/gemSTqAP1F
Fri May 15 09:09:19 PDT 2015 --  これ結構がちかもやで 家族でユニバいってて、妹おらんなってて、あたり見渡したら知らん大人と手繋いで歩いていっとってん。で、おとんが妹の名前叫んで走っていったら、その男も走っていって急に消えてん これほんまやで pic.twitter.com/T0WRL4efxb
Fri Jun 12 04:45:10 PDT 2015 --  カノ嘘『ちっぽけな愛の歌』 上手いと思ったらRT pic.twitter.com/PEwqNUxtfT
Thu Jun 11 04:45:52 PDT 2015 --  ｢今回のお話はいかがでしたか？｣｢不思議なポッケで願いを叶える謎の狸…奴が次に現れるのは…そう、貴方の町かもしれません｣ pic.twitter.com/6ZdeMSyzTq
Thu Jun 11 04:18:45 PDT 2015 --  アメリカの少年の喧嘩がやばいwwwww http://vine.co/v/MLVuKu3M5bm 
Thu Jun 11 01:39:39 PDT 2015 --  【先発メンバー】 キリンチャレンジカップ2015　イラク代表戦先発メンバー GK 川島永嗣 DF 酒井宏樹 吉田麻也 槙野智章 長友佑都 MF 長谷部誠 柴崎岳 香川真司 FW 本田圭佑 宇佐美貴史 岡崎慎司 http://www.soccer-king.jp/news/national 
Thu Jun 11 01:15:52 PDT 2015 --  マイケルへ。　工口画像は、全てジャンルごとにファイルを作って整理しておきました。マイケルは触手系が好きなのね。母より。 pic.twitter.com/WJw0bIjnG1
Wed Jun 10 04:52:25 PDT 2015 --  ぶっころしてえwwwこんな女嫌だわwww pic.twitter.com/fNR6cby9ly
Wed Jun 10 04:00:07 PDT 2015 --  ツイッター始めます。 いよいよ明日イラク戦です。 僕にとってはハリルJAPAN初戦でもあり楽しみです。 皆さんに良い試合を見せられるように頑張ります！ 応援よろしくお願いします！ #はじめてのツイート pic.twitter.com/dzI0gZ9WOt
Mon Apr 20 06:34:41 PDT 2015 --  この子パンツ見えてる笑 pic.twitter.com/SYlUWBbwbA
Wed Jun 10 03:33:02 PDT 2015 --  6/20から滋賀で行われる 近畿サッカー選手権大会の 組み合わせが発表されました！ 1回戦から強豪。 自分達がどこまで出来るか。 大阪1位の大阪桐蔭と激突します。 厳しい試合になるとは思いますが 応援の方よろしくお願い致します！ pic.twitter.com/F0o8Nkgjei
Tue Jun 09 01:50:50 PDT 2015 --  【怖】女子校生が竹島で記念写真！霊が映い込み → 数日後、霊に右足の火傷を負わされるという呪いのコンボを決める - NAVER まとめ http://matome.naver.jp/odai/2143383852078498901 … pic.twitter.com/0IlqE5MRml
Tue Jun 09 01:21:52 PDT 2015 --  【話題の画像】絶対見えてる。 pic.twitter.com/b4OI9m788Z
Mon Jun 08 07:10:02 PDT 2015 --  ※拡散希望※ 『三田』のとあるマネージャーが 近畿、全国へ向け動画を作ってくれました。 三田学園の名を全国に知ら示す絶好の機会。 轟かせろ。三田学園の名を。 近畿、全国。 これからの大会で暴れてやりましょう。 https://flipagram.com/f/WuPj5izL9R 
Mon Jun 08 05:15:49 PDT 2015 --  【シャビ】 バルセロナストーリーは素晴らしいエンディングでした！！ pic.twitter.com/TLuUxn6a2J
Sun Jun 07 05:35:40 PDT 2015 --  兵庫県総体決勝 VS滝二 2-3 三田らしさの出たゲーム。 3点のビハインドから 途中出場の菅村、山田の2年生エース二人の 2ゴールで反撃したが一歩及ばず 3大会連続で準優勝に終わった。 あと、2ヵ月弱。 切り替えて全国大会へ。 pic.twitter.com/j1hshqjZ2W
Sun Jun 07 00:48:50 PDT 2015 --  今日はめっちゃいい試合でした！最後は応援しててワクワクしました！！残念ながら負けてしまいましたが… これをバネにして応援もプレーもパワーアップさせて全国行きましょう！！！！ pic.twitter.com/3kFvOtSyka
Sat Jun 06 22:20:29 PDT 2015 --  3-1 あと6ふん！ pic.twitter.com/SqJVPtBgpV
Sat Jun 06 22:23:28 PDT 2015 --  3-2 逃げ切れ pic.twitter.com/jXWO1ZANkd
Sat Jun 06 22:45:14 PDT 2015 --  おめでとう pic.twitter.com/7lceg1B4Wn
Sat Jun 06 14:00:02 PDT 2015 --  Champioooooons pic.twitter.com/EMNsWcUekA
Fri Jun 05 04:33:57 PDT 2015 --  彼女の手作り弁当とまさかのプレゼント♡ pic.twitter.com/1DeXZ4FI1h
Sat Jun 06 04:03:08 PDT 2015 --  明日、3年全員で戦う県総体としては 最後の試合。 応援は選手の後押し。 準備万端。 後は大きな声で叫ぶだけ。 滝二潰す。 ユニバー記念陸上競技場 13時キックオフ 三田に初タイトルを持ち帰れ。 絶対勝利。 必勝。そして必笑。 pic.twitter.com/1fHk4YqsvS
Fri Jun 05 15:45:11 PDT 2015 --  避妊器具の由来 コンドーム こんどうむ 今度産む #知らなかった人RT
Thu Apr 30 03:53:24 PDT 2015 --  シャープペンで有村架純ちゃん描きました pic.twitter.com/3DzjbvHyJF
Fri Jun 05 00:01:31 PDT 2015 --  キャプテン。お疲れ様。 全国大会ありがとう。 あとは三田学園に初タイトルを。 滝二に選手権の借りを返しましょうや。 応援は団長に任せといてください。 @Eisuke91675755 pic.twitter.com/UCPtkoJJZA
Thu Jun 04 22:36:15 PDT 2015 --  高校総体サッカー 兵庫県 準決勝 6/5 滝川第二4-1 神戸弘陵 三田学園1-0神戸 地元開催のインターハイ出場決定
Wed Jun 03 20:06:58 PDT 2015 --  Kkkk pic.twitter.com/wrToBTSNBV
Thu Jun 04 05:15:10 PDT 2015 --  「俺は何やっても中途半端な男だ!」と超高層ビルの二階から飛び降りようとする男を「そういう所だよ」と思いながら眺める野次馬 pic.twitter.com/4tDhpaYUXF
Wed Jun 03 05:32:56 PDT 2015 --  【迷探偵コナン映画の冒頭】もしも工藤新一が経験人数0だったら。 pic.twitter.com/3NvJkvUAba
Mon Jun 01 21:00:26 PDT 2015 --  ひじでリツイートできたら 右脳が平均より発達してるらしい pic.twitter.com/GVdXB5ZDWP
Mon Jun 01 18:04:15 PDT 2015 --  チャーリーをあばいた豚。 #拡散希望 pic.twitter.com/Q9uWqQVnvL
Tue Jun 02 02:42:57 PDT 2015 --  やばい笑 https://twitter.com/cocoa_1112/status/605638974699282432 …
Mon Jun 01 07:27:54 PDT 2015 --  久しぶりに大原サッカー部でサッカーしたいな みんなどんなけうまなってるんやろ、去年にもどりたいな。 pic.twitter.com/CSnFkFOvIU
Mon May 25 07:24:28 PDT 2015 --  【速報】セブンイレブンの求人内容がマジでヤバい 【速報】セブンイレブンの求人内容がマジでヤバい 【速報】セブンイレブンの求人内容がマジでヤバい 【速報】セブンイレブンの求人内容がマジでヤバい pic.twitter.com/5BBHVIBa5P
Mon Jun 01 04:22:49 PDT 2015 --  【速報】クレーンで首吊り本当だった 【速報】クレーンで首吊り本当だった 【速報】クレーンで首吊り本当だった 【速報】クレーンで首吊り本当だった 【速報】クレーンで首吊り本当だった 【速報】クレーンで首吊り本当だった pic.twitter.com/7j77iyTs2E
Sun May 31 22:34:39 PDT 2015 --  http://twitter.com/JapaneseFMLs/status/601728441256284160/photo/1pic.twitter.com/XvNZWehW1o  男が喜びそうな自販機
Mon May 25 07:27:34 PDT 2015 --  なんか悪い？いきんなや pic.twitter.com/PDWmJPMA8M
Sat May 30 04:30:56 PDT 2015 --  異　　次　　元　　筑　　後 pic.twitter.com/kgkr6mViQI
Fri May 29 19:34:07 PDT 2015 --  【話題の画像】草生えるわwww pic.twitter.com/af19jH8MFr
Fri May 22 06:10:13 PDT 2015 --  災害救助犬 東日本大震災、広島土砂災害でそれぞれ約100匹が活躍 ミャンマーの被災地でも日本から派遣されてた 野良犬を殺処分にするくらいなら、日本に4つある支援団体に募金して救助犬を増やしたほうがいいと思う 彼らに光を当てたい pic.twitter.com/vzihI6HkaZ
Fri May 29 02:22:15 PDT 2015 --  来週、カノ嘘楽しみやなぁ ゆーかちゃん、うまいパート2 pic.twitter.com/r5aKHEsFax
Thu May 28 03:05:35 PDT 2015 --  今回はゆーかちゃんの許可取りました めっちゃじょーずっ♡ pic.twitter.com/LxvaSTj1XC
Wed May 27 05:52:42 PDT 2015 --  毎日朝読の時間寝とったら副担の先生に「これ読みな」って言われて読んだら朝からめっちゃジーンときた。。（；＿；）周りにいる人大事にしよう〜 訳はあたしが簡単に省略しました とってもいい話です。 pic.twitter.com/OqEqm8ooHS
Wed May 27 02:33:32 PDT 2015 --  今日のボールパーソンは育英高校サッカー部と近畿医療専門学校の皆さんです！よろしくお願いします！ #vissel #神戸vs清水 pic.twitter.com/gAUxRUJJ41
Tue May 26 22:44:52 PDT 2015 --  あかん。尿検査するん忘れとった。 お酢でええかな？
Tue May 26 06:53:55 PDT 2015 --  @wTUWMomB4AnILuj ついにリツイートまで
Tue May 26 06:48:28 PDT 2015 --  @wTUWMomB4AnILuj 毎回するからゆーただけよ
Tue May 26 06:47:21 PDT 2015 --  @wTUWMomB4AnILuj お気に入り
