Thu Oct 02 11:30:01 PDT 2014 --  Abrazar a alguien especial puede reducir el estrés al instante.
Sun Sep 28 16:17:08 PDT 2014 --  Gastronomía mexicana. pic.twitter.com/K8DMQgT3Se
Thu Nov 20 21:49:28 PST 2014 --  @AdrianGz04 @PhotosDeNovios Y así será mi vida, ya verás
Thu Nov 20 12:34:43 PST 2014 --  "@PhotosDeNovios: -¿Hasta el final? -Hasta el final. pic.twitter.com/OMNQvjEqj1" @khaniag_ algo asiii u.u
Tue Nov 18 23:03:22 PST 2014 --  @AdrianGz04 te amooooooooooooooooooooooo
Tue Nov 18 22:32:42 PST 2014 --  Todo es perfecto cuando te siento tan cerca, aunque estés tan lejos... @AdrianGz04
Tue Nov 18 23:05:47 PST 2014 --  Ver una foto de mi novio y decir con un tono muy extraño: "mío " jaja.
Fri Nov 14 18:43:57 PST 2014 --  "Ya quiero ir a un Supermercado y me pregunten si encontré todo lo que buscaba y responder: Si, hace mucho tiempo somos felices y abrazarte"
Fri Nov 14 18:45:11 PST 2014 --  No entraste amor de mi vida, pero es para ti @AdrianGz04
Fri Nov 14 16:54:28 PST 2014 --  "@NoviosDicenQue: Necesito uno de estos, ahora. http://twitter.com/NoviosDicenQue/status/532970892532670464/photo/1pic.twitter.com/xzzO5HdmCB " @khaniag_ :(((
Sun Oct 12 03:12:16 PDT 2014 --  Así bebe un perro agua. http://twitter.com/Learn_Things/status/520729558065360896/photo/1pic.twitter.com/K29eADHlZ8 
Wed Oct 29 22:10:11 PDT 2014 --  Yo vivi nueve meses en la barriga del amor más importante de mi vida,mi mama #love
Wed Nov 12 19:46:26 PST 2014 --  Amo a mi novia
Mon Oct 27 03:56:23 PDT 2014 --  Así funciona el corazón. pic.twitter.com/c6WFi1mE5r
Fri Oct 31 13:17:18 PDT 2014 --  " @NoviosBipoIares: Tu mano ha sido la mejor decisión que he podido tomar." @khaniag_
Tue Oct 07 15:02:30 PDT 2014 --  Mío mío mío @AdrianGz04
Sat Oct 04 17:39:56 PDT 2014 --  @AdrianGz04 Jaja "neta". Dije casémonos y no me hiciste caso u.u te amo más mi vida :(
Sat Sep 13 21:54:19 PDT 2014 --  @AdrianGz04 jajaja cuanto amor :(
Sat Sep 13 20:33:21 PDT 2014 --  Hey! I'm on #Kik - my username is 'AdrianGz04' http://kik.me/AdrianGz04 
Sat Sep 13 17:57:29 PDT 2014 --  AMO A MI VIEJA ahah
Fri Sep 12 16:13:58 PDT 2014 --  AMO A MI NOVIO
Fri Sep 12 16:42:20 PDT 2014 --  Hace un mes exactamente :((
Fri Sep 12 16:48:47 PDT 2014 --  Esa mala costumbre de buscar el mapa del continente americano y ver cuánta distancia es...
Fri Sep 12 18:46:40 PDT 2014 --  LOS VÍDEOS DE FACEBOOK ME HACEN LLORAR. :(((
Fri Sep 12 18:50:19 PDT 2014 --  Me gusta ver mi avatar
Fri Sep 12 19:04:40 PDT 2014 --  'Cause all of me, loves all of you.
Wed Sep 03 17:36:15 PDT 2014 --  ¿Sabias que esto ocurre en los hombres? pic.twitter.com/tNsIfgnRrQ
Fri Sep 12 14:10:07 PDT 2014 --  " @DiceJohnGreen: "El amor verdadero nace de los tiempos difíciles." pic.twitter.com/gPyzENYaBK" @khaniag_
Thu Sep 11 18:39:48 PDT 2014 --  " @LetrasIntensas: Es asombros cuando alguien llega a tu vida... pic.twitter.com/3lcLG9PkpZ" @khaniag_
Mon Sep 08 16:21:55 PDT 2014 --  Mi novio me encantaaaaaaa.
Mon Sep 08 16:21:36 PDT 2014 --  Me gusta ver las fotos en las que salgo con mi gordito
Sun Aug 31 13:48:02 PDT 2014 --  Michael Jackson y Michael Jordan bailando juntos. ¡Qué grandes! pic.twitter.com/m16paY8QXe
Wed Sep 03 16:02:40 PDT 2014 --  "Yo a tu edad limpiaba, cocinaba, era astronauta, mataba dragones, cuidaba leones y estudiaba". —Mi mamá
Mon Aug 18 06:14:17 PDT 2014 --  Misma escena, mismos protagonistas, y veinte años de diferencia. pic.twitter.com/esXz2omUpL
Sun Mar 18 15:33:40 PDT 2012 --  Nunca dejé de quererte, solo dejé de decírtelo.
Tue Sep 02 18:24:49 PDT 2014 --  la jungla cubrirá tu ser  solo amor podría entrar  se vive bien se vive en paz.
Thu Aug 21 18:37:26 PDT 2014 --  En mis tiempos las películas se bajaban de Ares y terminabas viendo una película pornográfica por error la mayoría de las veces.
Tue Aug 12 19:12:31 PDT 2014 --  El tiempo pasa volando... https://vine.co/v/MYeY52xeAwg 
Wed Aug 27 18:31:18 PDT 2014 --  Ni un tweet para la novia.
Wed Aug 27 20:27:31 PDT 2014 --  Aún en la distancia soy demasiado feliz .
Wed Aug 27 20:27:43 PDT 2014 --  Eso es amor
Wed Aug 27 21:00:33 PDT 2014 --  I have died everyday waiting for you.
Wed Aug 27 17:48:52 PDT 2014 --  " @EnigmaEnFotos: Tal vez en un futuro cercano… pic.twitter.com/GZNZMSu59a"
Wed Aug 27 12:40:14 PDT 2014 --  "Ignora y se feliz."
Wed Aug 27 17:44:52 PDT 2014 --  "@EsRecordGuiness: Récord Guinness, a Carles Puyol el capitán que más 'Champions League' ha levantado. pic.twitter.com/vKinEBDaZR"
Wed Aug 27 13:55:46 PDT 2014 --  Trabaja duro Come Entrena Duerme Repite
Sun Aug 24 11:37:43 PDT 2014 --  Heart beats fast
Sun Aug 24 11:37:57 PDT 2014 --  Colors and promises...
Sun Aug 24 11:38:39 PDT 2014 --  How to be brave? How can I love when I'm afraid to fall?
Sun Aug 24 11:40:33 PDT 2014 --  But watching you stand alone, all of my doubt suddenly goes away somehow
Sun Aug 24 11:41:01 PDT 2014 --  I have died everyday waiting for you.
Tue Aug 26 19:43:38 PDT 2014 --  Con tu física y tu química también tu anatomía.
Sat Aug 23 11:53:40 PDT 2014 --  Emmanuel de 13 años habla inglés, español, francés y latín, toca el violín y tiene Síndrome de Down. Gran ejemplo. pic.twitter.com/XcME9gOt5c
Tue Aug 26 14:03:30 PDT 2014 --  Como diría el "Bambino" Veira: "Di María va a tener más trabajo que el plomero del Titanic!!!!!"
Tue Aug 26 13:58:44 PDT 2014 --  @AdrianGz04 @RomanticsGifs besitooooos ..
Sun Oct 27 16:21:04 PDT 2013 --  —Amor,¿que me pongo hoy? —La misma sonrisa de la que me enamore.
Tue Aug 26 13:31:42 PDT 2014 --  " @QuePinche0GT: Fui al doctor y me pregunto que qué me dolía, entonces le enseñé un mapa y le mostré todos los kilómetros que nos separan."
Tue Aug 19 23:01:43 PDT 2014 --  Me encantan tus gestos. @AdrianGz04
Tue Aug 19 18:15:00 PDT 2014 --  “@JoanMaximus: Quiero poner mi cepillo de dientes al lado del tuyo.”
Tue Aug 19 18:16:36 PDT 2014 --  De mí, tú te adueñas
Tue Aug 19 18:17:26 PDT 2014 --  Con tus besos me haz hecho feliz.
Tue Aug 19 18:18:07 PDT 2014 --  Si no estas siento que algo me falta, me atormento y no quiero salir. :(((
Tue Aug 19 15:40:29 PDT 2014 --  Tantas maneras de ser feliz, y sólo soy feliz si hablo contigo. Mmm.
Mon Aug 18 20:55:21 PDT 2014 --  Me gusta mi novio
Mon Aug 18 20:55:40 PDT 2014 --  Mi de míooooooooo zorras
Mon Aug 18 22:14:46 PDT 2014 --  Amor amor amor
Mon Aug 18 20:56:22 PDT 2014 --  “ @SoyToxica_: El verdadero príncipe pic.twitter.com/cOsANmApZb” príncipe @AdrianGz04
Mon Aug 18 19:30:15 PDT 2014 --  “@CelosaJulieta: Lo mejor de la vida, es amarte.” @AdrianGz04
Mon Aug 18 19:28:53 PDT 2014 --  @AdrianGz04 te adoro mi vida
Mon Aug 18 18:54:38 PDT 2014 --  Platicar con ella por lo menos un par de horas al día es lo mejor :)
Tue Jun 24 15:27:53 PDT 2014 --  ¿Sabias que la avispa de mar, es el animal más mortífero del planeta, si te pica tienes 45 segundos de vida? pic.twitter.com/lUwVRfzbk1
Tue Jul 01 06:58:19 PDT 2014 --  Nadie es más inteligente que Einstein... Excepto Barbie, ella es doctora, dentista, veterinaria, maestra y astronauta.
Sun Aug 17 22:48:18 PDT 2014 --  CUANDO USAS UN NUEVO CHAMPU. pic.twitter.com/lrTijCtBkP
Mon Aug 18 13:03:27 PDT 2014 --  —En su currículum veo que es dependiente de su madre —No es cierto. —Pero ahí dice. —Debe ser un error. —Señora, cállese y déjelo responder.
Mon Aug 18 03:16:11 PDT 2014 --  @AdrianGz04 ya te fuiste a texas? :/
Sun Aug 17 22:45:46 PDT 2014 --  @AdrianGz04 no te despediste de mi :( me caes mal
Sun Aug 17 22:44:37 PDT 2014 --  Indispensable como el aire eres tú. @AdrianGz04
Sun Aug 17 14:25:16 PDT 2014 --  “ @Versatico_: Si no es mucho pedir, quédate conmigo siempre.” @AdrianGz04
Sun Aug 17 09:35:19 PDT 2014 --  "Miles de personas en Times Square celebrando el fin de la Segunda Guerra Mundial. 07 de mayo de 1945. pic.twitter.com/1sNeIpbrX2"
Sun Aug 17 09:33:56 PDT 2014 --  " @VineEstudiantes: Ir a la cama sobrio VS. Ir a la cama borracho... https://vine.co/v/hIMWiiiFdDx " jajaja
Sun Aug 17 09:10:52 PDT 2014 --  JAJAJAJAJA Demichelis eliminado del Royal Rumble. pic.twitter.com/biI9Dtw9ma
Sun Aug 17 09:05:40 PDT 2014 --  —Hija, con esos leggings se te ve un panochón. —¡PAPÁ YAAAAAA! —¿Papaya? ¡PAPAYOTA!
Sun Aug 17 08:36:24 PDT 2014 --  Planes para el domingo Hombres —Acompañar a su mamá a misa. Mujeres —Aprovechar que su novio fue a misa para ir a coger con su "amiguito".
Sun Aug 17 08:38:38 PDT 2014 --  —Hijo, deberías volver a la casa. —No mamá, ya soy autosuficiente. Mejor dime cuántas tazas de Pinol debo ponerle al espagueti.
Wed Aug 13 18:51:30 PDT 2014 --  ¡ VETE ! - No , Por Favor puedo Cambiar pic.twitter.com/ag0aSJEFeI
Sun Aug 17 01:34:40 PDT 2014 --  Me muero de sueño, pero aquí estoy. Jaja. Es amorrrrrrrr
Sun Aug 17 01:34:16 PDT 2014 --  No sé si estoy soñando de más, pero me gustaría que así fuera.
Sun Aug 17 01:08:34 PDT 2014 --  Jaja. Soy demasiado feliz
Sun Aug 17 01:20:30 PDT 2014 --  Un beso tuyo es mi medicina
Sun Aug 17 01:20:46 PDT 2014 --  Mi corazón por ti se debilita
Thu Aug 14 23:14:34 PDT 2014 --  Mi amorrrrrrrrrr
Fri Aug 15 00:04:52 PDT 2014 --  Todo lo puedo en Cristo que me fortalece.
Fri Aug 15 16:09:00 PDT 2014 --  Porque este amor ya no entiende de consejos ni razones
Fri Aug 15 16:09:42 PDT 2014 --  Pienso en ti día y noche, y no sé cómo olvidarte
Fri Aug 15 16:53:17 PDT 2014 --  Don't forget me, I beg.
Fri Aug 15 17:11:10 PDT 2014 --  Ahora un segundo es igual a la medida de extrañarte tanto.
Fri Aug 15 18:39:42 PDT 2014 --  Extraño que seas el más fácil conmigo :(
Fri Aug 15 18:42:14 PDT 2014 --  “ @Karmatologico: Contigo descubro el amor todos los días.”
Fri Aug 15 18:42:26 PDT 2014 --  “@MostBiatch: No te pediré que no te vayas, haré que quieras quedarte.”
Fri Aug 15 18:42:54 PDT 2014 --  " @Paoangulob: La distancia solo aumenta el deseo de reencontrarse."
Thu Aug 14 01:20:18 PDT 2014 --  "Soldados ingleses y alemanes olvidan la guerra y disfrutan jugando fútbol durante Navidad de 1914, I Guerra Mundial pic.twitter.com/VfkaB2V6iE"
Thu Aug 14 00:09:57 PDT 2014 --  Me hacías falta
Wed Aug 13 20:37:38 PDT 2014 --  “ @AlgoPoeta: Me mata las ganas de tenerte conmigo.”
Wed Aug 13 20:36:59 PDT 2014 --  “ @iNiSoyGuapo: Quiencreesqueteextraña”
Wed Aug 13 20:36:49 PDT 2014 --  “ @LaTrollerst: Ojalá sintieras lo mismo que siento yo cuando hablo contigo.”
Wed Aug 13 20:36:40 PDT 2014 --  “ @HechosConAmor: Lo difícil es olvidar a alguien con quien olvidabas todo.”
Wed Aug 13 19:28:38 PDT 2014 --  Bonitos fondos de pantalla
Wed Aug 13 19:12:03 PDT 2014 --  Lo peor no es eso, sino que apenas acaba de irse
Wed Aug 13 19:11:44 PDT 2014 --  Qué horrible es extrañar
Wed Aug 13 18:17:54 PDT 2014 --  "La belleza de una mujer debe ser vista en sus ojos, porque esa es la puerta de su alma, el lugar donde el amor reside".
Wed Aug 13 18:14:59 PDT 2014 --  “ @EsFraseAmorosa: “Un abrazo que valga todos estos días sin verte, no pido más.””
Wed Aug 13 18:14:05 PDT 2014 --  “ @50SombrasDeTi: Estar en tus brazos es estar en casa.”
Wed Aug 13 18:13:35 PDT 2014 --  Te extraño mucho. No importa cuando leas esto. :(((((
Wed Aug 13 18:13:08 PDT 2014 --  Oye, me haces mucha falta
Wed Aug 13 18:10:55 PDT 2014 --  “ @0bsesionado: Te quiero aquí conmigo, sólo eso.”
Wed Aug 13 19:12:25 PDT 2014 --  “ @RudoPoeta: Tal y como eres te quiero para pasar lo que me resta de vida a tu lado.” @AdrianGz04
Wed Aug 13 15:32:34 PDT 2014 --  @AdrianGz04 por siempre
Wed Aug 13 08:43:52 PDT 2014 --  Mía. @khaniag_
Wed Aug 13 08:26:51 PDT 2014 --  El Colegio y toda su comunidad lamenta el sensible fallecimiento de la Sra. Carmen Gil de Gordoa. pic.twitter.com/qSuKgc5Aha
Tue Aug 12 23:13:13 PDT 2014 --  “ @latiadeustedes: Me encantas y ya no sé qué hacer para que se me baje este pedo ok, veñ.” @AdrianGz04
Tue Aug 12 21:28:59 PDT 2014 --  “ @Text0s: ¿Qué si recuerdo nuestro primer beso? sí, fue cuando supe que ibas a ser mi perdición.”
Tue Aug 12 20:05:09 PDT 2014 --  “ @TWICHISTE: Molestar a alguien sólo porque te gusta ver como se enfada.” @AdrianGz04
Tue Aug 12 15:36:18 PDT 2014 --  No puedo decir que soy muy feliz, porque no es así, pero sí casi feliz por haberlo visto #Inlove
Tue Aug 12 11:35:41 PDT 2014 --  :(
Tue Aug 12 11:32:46 PDT 2014 --  “ @PoetaImpostor: Quería detener el tiempo cada vez que estaba con ella, por miedo a que se marchara.”
Tue Aug 12 04:31:21 PDT 2014 --  No es que vaya feliz a la escuela, pero si nunca voy con ganas, hoy menos :(((((
Mon Aug 11 22:16:41 PDT 2014 --  JAJAJA SU MEJOR AMIGO ES GAY pic.twitter.com/67h9M8OYLe
Mon Aug 11 23:11:19 PDT 2014 --  " @IvanZavaIa: Intenta olvidarme con quien quieras, tu y yo sabemos que te la vives pensando en mi. "
Mon Aug 11 21:56:58 PDT 2014 --  Desearía poder traer de regreso a alguien del cielo y pasar un día con esa persona, solamente una vez, una última vez.
Mon Aug 11 21:50:32 PDT 2014 --  Dios me libre de esas mujeres que coquetean con todos, se hacen las serias y le aceptan las salidas a cualquiera.
Mon Aug 11 23:08:42 PDT 2014 --  " @IvanZavaIa: Tu y yo deberíamos de estar así http://twitter.com/PoetaCursi/status/494620673663193089/photo/1pic.twitter.com/msyAahrSFw "
Mon Aug 11 23:08:31 PDT 2014 --  "Me gustas tanto que veo mi celular cada 2 segundos para ver si hay un mensaje es tuyo, yo que tu, me casaría conmigo eh."
Mon Aug 11 21:41:37 PDT 2014 --  "Los finales felices no existen, por que las buenas historias no tienen final."
Mon Aug 11 18:26:48 PDT 2014 --  ¿Por qué? ¿Por qué tuvieron que existir las matemáticas?
Mon Aug 11 21:09:36 PDT 2014 --  " @PlanetAnimalES: El verdadero amor http://twitter.com/BabyAnimalPics/status/498926837549248513/photo/1pic.twitter.com/vz9oNXqy8z "
Mon Aug 11 19:22:55 PDT 2014 --  No quiero que te vayas :(
Mon Aug 11 19:16:08 PDT 2014 --  Por qué tiene que ser así :/
Mon Aug 11 19:01:44 PDT 2014 --  Quiero que el tiempo pase rápido y los sentimientos ahí sigan, intactos, esperando
Mon Aug 11 18:54:23 PDT 2014 --  Me voy a morir de amor
Mon Aug 11 18:18:35 PDT 2014 --  " @SomosAmorosas: ¿Y si vienes, me abrazas y dormimos juntos? pic.twitter.com/H4lzPUrNrL" @khaniag_ :3
Mon Aug 11 18:13:01 PDT 2014 --  Descanse en Paz Robin Williams, un Gran actor, Un gran ser humano. Por siempre el mejor... #RIPRobinWilliams pic.twitter.com/F58SMI28Ok
Wed Jun 11 13:41:54 PDT 2014 --  Tranquilo estómago, mi corazón también esta vacío y no se queja tanto.
Sun Aug 10 23:12:05 PDT 2014 --  A veces soñamos de más...
Sun Aug 10 23:09:03 PDT 2014 --  
Sun Aug 10 23:08:50 PDT 2014 --  Que cagado :(
