Fri Aug 28 12:07:06 PDT 2015 --  Amar Baby ta amr motoi Stupid !! r ettogula...hmm i trust..karon eita ami !!!
Mon Apr 27 08:56:48 PDT 2015 --  Wt da fuckin wrong w7 new voters.কাল নির্বাচন। পেরা শুরু হয়ে গেছে গতকাল থেকেই। নতুনদের ভোটার স্লিপেই আসেনাই।... http://fb.me/1HOa3zFI2 
Tue Apr 21 11:02:16 PDT 2015 --  I posted a new photo to Facebook http://fb.me/6A5QT4Lo6 
Mon Apr 20 05:16:04 PDT 2015 --  কি আর কইতাম দুঃসময়ে সবাই মজা লুটে। আমার ফ্রেন্ডদের গার্লফ্রেন্ড গুলা আমার মাঝে পাইলটা কি? আজকে 3-4 জন একসাথে... http://fb.me/7kfg4yFfF 
Fri Apr 17 02:35:37 PDT 2015 --  All of these urs favourite part of joy even me coz ur's as mine. Before you say yes, u used to get me angry. See... http://fb.me/2aClP3xMv 
Thu Apr 16 03:54:41 PDT 2015 --  I admit dat some people dont like me for who i am, for my attitude, my expressions, my status, my style. I am who... http://fb.me/4Xz99YQds 
Sun Apr 12 03:20:51 PDT 2015 --  Oh yeah u r a #nerd fucking ladies. Married ladies or married gents. Women seem to violence & most gent r losers.... http://fb.me/1RDjPtMrp 
Sat Apr 11 05:03:24 PDT 2015 --  I think a lot of people don’t understand what real romance is. This is not about Fu-uh-uck, it’s a rather big... http://fb.me/7fxZ55HtI 
Fri Apr 10 10:08:43 PDT 2015 --  #How #to #please #aa #girl: Love her Die for her Miss everything wt u like most for her Buy her jewelry Take her... http://fb.me/3F60qPlIC 
Thu Apr 09 15:23:17 PDT 2015 --  কেমন যেন হয়ে আছে আকাশটা অনেক স্মৃতি ছিল রং রঙ্গা হঠাৎ প্রশ্নরা সব পথ হারিয়ে খুজছে তোমার ঠিকানা। কোথায় লুকিয়ে... http://fb.me/70WSlDTH7 
Wed Apr 08 04:14:03 PDT 2015 --  কতদিন কেটে গেল তোমায় না দেখে মাঝে মাঝে মনে হয় যদি দেখাতে পারতাম কত ভালোবাসি তোমাকে যেদিকে তাকাই সেদিকে দেখি... http://fb.me/41PvoN5uc 
Wed Apr 08 04:11:16 PDT 2015 --  কতদিন কেটে গেল তোমায় না দেখে মাঝে মাঝে মনে হয় যদি দেখাতে পারতাম কত ভালোবাসি তোমাকে যেদিকে তাকাই সেদিকে দেখি... http://fb.me/7lQUYkK6g 
Tue Apr 07 21:43:02 PDT 2015 --  Ua goz.........Plz don't make up. For godz sake i hate it!!! yAak dont need make up. to cover up but if u like... http://fb.me/3JrINw1QL 
Mon Apr 06 04:52:29 PDT 2015 --  আমার এলাকার কারো টেলিটক বর্ণমালা সিম লাগলে আমাকে ইনবক্স করতে পার। অনলাইন রেজিঃ কোন কাপজাব নাই। আমার কাছে ১০... http://fb.me/79OcgkRhr 
Fri Apr 03 12:06:02 PDT 2015 --  খোলা জানালা দখিনের বাতাসে ঢেকে যায় পর্দার আড়ালে কখন তুমি এসে হেসে বলে দাও, আছি তোমার পাশে। বহুদূর পথ ভীষণ... http://fb.me/1SmOCMraF 
Thu Apr 02 07:15:02 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7fpOkPUof 
Wed Apr 01 07:30:55 PDT 2015 --  পুলিশ VS সুজন ওদের রসায়নটা চুম্বকের মত আকর্ষন করে। এত দিন ধরে রেলগেট পুলিশের সামনে আড্ডা দেই কোনদিন আমাদের দিকে... http://fb.me/450NEIMTR 
Tue Mar 31 10:05:09 PDT 2015 --  সকাল থেকে রাত্রি সময় কাটে না যে নানান বাজে চিন্তা আমায় ঘিরে রাখে অন্তরের ভেতর শুধু কষ্টের হাহাকার বিষন্নতার আভা... http://fb.me/2swMOPfQX 
Tue Mar 31 00:52:13 PDT 2015 --  Yup Dis Iz #Teasing Boys – We r boys. We r always smart. Don't look untidy. Girls - "Look pretty enough to #show... http://fb.me/6yxwTH9n2 
Mon Mar 30 01:05:25 PDT 2015 --  শালার এই পৃথিবীতে যদি মেয়ে জাতির কোন অস্তিত্বই না থাকত!! পৃথিবীটা আমার স্লো হয়ে যেত। পৃথিবীতে এত ব্যস্ততা আর... http://fb.me/3SO5p5f0J 
Sun Mar 29 06:05:08 PDT 2015 --  I fell in love with you, I dont know how, i dont know why, i just did. You need to know that moment when you... http://fb.me/4DyzX9IY2 
Sat Mar 28 01:00:43 PDT 2015 --  looking for an angel at Shoronika Club Love Lane, Chittagong http://fb.me/1W6XvfYey 
Fri Mar 27 10:03:46 PDT 2015 --  আমার একমাত্র ভাবির ভাইয়ের বিয়েতে আমার সাথে Cousins বাবা, ফুফি, এবং ভাবি — feeling motivated at Shoronika Club http://fb.me/2XSyqHuGp 
Thu Mar 26 02:51:05 PDT 2015 --  Oh yeah .. India iz getting hardcore fucked up. Raina seduced by two bowlers Stark and Fulkner. Raina iz... http://fb.me/1Wb69Rqae 
Tue Mar 24 04:23:57 PDT 2015 --  You cursed South Africa. What you missed. You fall 2 catches 2 easy run out. Damn never find what i expect. My... http://fb.me/4iyJIUiFW 
Sun Mar 22 07:06:55 PDT 2015 --  ওরা মহা চিন্তাবীদ হয়. . ধর্ষিত পরুষ(শুধু নারী দ্বারা);-) . এবং অসতী স্ত্রীর স্বামীরা . আবার অভিমানী পুরুষরা... http://fb.me/6vCT57cS3 
Sat Mar 14 06:39:47 PDT 2015 --  I don't care girl.I don't care GF.I have had enough.Girls you are big boom.I quite রমণী তুমি এক জিনিস। তোমার... http://fb.me/7rGkrRb6B 
Fri Mar 13 05:05:35 PDT 2015 --  You know what ?? You are insane. May be i don't cry, but it hurts. May be i don't say, but i feel. May be i... http://fb.me/1ATDJGU3M 
Thu Mar 12 12:12:55 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7d87G7ml0 
Wed Mar 11 05:02:16 PDT 2015 --  সতী নারীরা কখনো একা থাকতে পারেনা। . . . কিন্তু অসতী নারীরা সবসময় সিঙ্গেল থাকে।
Tue Mar 10 05:19:32 PDT 2015 --  অভিমানী পুরুষ আর . . . অসতী নারী। এদের মধ্যে কোন পার্থক্য নেই! ;-)
Sat Mar 07 10:02:03 PST 2015 --  Throw dirt on me and grow a wild flower but its fuck da world. Been to hell and back im rollin, in smokin sour.... http://fb.me/4rrbePx7K 
Wed Mar 04 06:18:07 PST 2015 --  hay, angels pls come help me. Will you teach me da fucking definition of love? Do you show me any sign of love?... http://fb.me/76DxqaYMO 
Tue Mar 03 09:28:33 PST 2015 --  পুরুষরা রাগে বাদশা . আর নারীরা রাগে হয় বেশ্যা
Sun Mar 01 09:14:00 PST 2015 --  কি আর কমু। পুলিশের জ্বালা আর ভাল লাগে না। আজ সন্ধায় লাকী হোটেল থেকে ফ্রেন্ড ২ টা রে পাহারতলী থানায় নিয়ে আসছে।... http://fb.me/7hXhZvmlW 
Sat Feb 28 04:09:12 PST 2015 --  What da fuck is going on? You cant cure lesbian or gayness .. Are you fucking seriously dumb? If someone is... http://fb.me/75CjVntIt 
Thu Feb 26 12:20:40 PST 2015 --  মধু হই হই বিষ খাওয়াইলা। . হোন কারণে ভালবাসার দাম ন দিলা। . হোন দোষতফাই ভালবাসার নাম ন দিলা। . আশাই আসিন তোয়ারে... http://fb.me/2EBUpzJM4 
Wed Feb 18 06:55:06 PST 2015 --  সুন্দরী ধর্ষিত পুরুষ আর সতী নারীদের কোন বিশ্বাস নাই। . . . . আর সবচেয়ে পরিতাপের বিষয় বিয়ের বাজারে অরা কখনো... http://fb.me/4e49jIP3g 
Fri Feb 13 08:49:26 PST 2015 --  নারী তোমার এক একটা অতীত Violence. প্রতিতা ভোর একটা Gift. তবুও তুমি তোমার Future কে কেন কোয়াশাছন্ন করে রাখ?
Tue Feb 10 02:58:39 PST 2015 --  সতী নারী আর ধর্ষিত পুরুষরা ... . . . . . অভিমান একটু বেশিই করে। — feeling scared
Sun Feb 08 10:06:33 PST 2015 --  Hmm Propose Day!!??..... mAyB i gonna lost u!! yEaH now im freaking out. im not damn hero. mY every loves... http://fb.me/6sXNXVBr9 
Tue Feb 03 04:11:20 PST 2015 --  If she's amazing, she wont be easy. If she's easy she wont be amazing. If she's worth it, you wont give up.... http://fb.me/3fFkM71w3 
Sat Jan 31 10:21:58 PST 2015 --  কলেজে উঠলে তোমাদের দৃষ্টিভঙ্গীতে collapse নামে। পরকিয়া করতে পার real love করতে পারনা। immaturity উর্দ্ধে তখন আর... http://fb.me/1COOUyfST 
Thu Jan 29 07:13:46 PST 2015 --  সামনে Valentine Day কত ১৪ ফেব্রুয়ারী পার করলাম গার্ল ফ্রেন্ড ছাড়া। এই বার ভাবতেসি এলেক্সিস টেক্সাসকে নিয়েই... http://fb.me/27xaXRSkE 
Tue Jan 27 05:07:09 PST 2015 --  প্রত্যেক মেয়েদেরকেই বিয়ের পূর্ব পর্যন্ত . . . তাদের বয়ফ্রেন্ডদেরকে চালানো উচিত ;-)
Sun Jan 25 01:56:42 PST 2015 --  Only Chittagong City.................. http://fb.me/74FyomOVG 
Sat Jan 24 06:59:23 PST 2015 --  বসন্ত তুমি আজ নিগৃহীত| আমি ক্লান্ত পাপি, পাপির চেয়েও | হয়ত আমার পূর্ণতাগুলো আজ অপরাধী|আমার প্রত্যাশাগুলো আজ... http://fb.me/3h2pFguid 
Fri Jan 23 10:56:35 PST 2015 --  Just For Chittagong City.............. http://fb.me/2Xo0GECyt 
Thu Jan 22 07:30:48 PST 2015 --  সতী নারী আর ধর্ষিত পূরুষ - . . . . . . কখনও সুইসাইড করে না ।
Thu Jan 15 03:21:54 PST 2015 --  feeling chill at Kendua, Netrakona, Bangladesh. http://fb.me/1TUePHBxK 
Wed Jan 14 22:37:30 PST 2015 --  http://fb.me/6WmjitzXS 
Wed Jan 14 21:54:10 PST 2015 --  Find who has CRUSH on you http://fb.me/6TkTqs88r 
Wed Jan 14 21:44:30 PST 2015 --  http://fb.me/3RRja5e3c 
Tue Jan 13 02:13:06 PST 2015 --  LaSt nIgHt i sAw Sunny Leon iN mY dReAm. Its feel like kick d loves. Fuck d fucking girls. They r born to be... http://fb.me/4cXd3QCVX 
Sun Jan 04 02:10:25 PST 2015 --  feeling free at Kendua, Netrakona, Bangladesh. http://fb.me/71ECUrmcd 
Sun Jan 04 01:58:58 PST 2015 --  feeling cool at Kendua, Netrakona, Bangladesh. http://fb.me/3dOBD6cSl 
Mon Dec 29 23:14:40 PST 2014 --  feeling content at জাফলং জিরোপয়েন্ট , সিলেট http://fb.me/2WaYoRcFr 
Sat Dec 27 07:42:25 PST 2014 --  feeling excited আমারে কেউ মাইরালা...............।। at Highway Inn Limited, Shylet http://fb.me/7dTB3p84P 
Sat Dec 27 07:05:57 PST 2014 --  I posted 5 photos on Facebook in the album "Friends" http://fb.me/3wAN878N1 
Fri Dec 26 22:54:20 PST 2014 --  traveling to Sylhet
Wed Dec 24 10:55:13 PST 2014 --  ভালোবাসার মত ভালোবাসার কিছু নেই! চারদিকে আবর্তিত অসুস্থ সত্ত্বায় বিগলিত ভালোবাসা। তোমার বিচক্ষণতায়, বিবেচনায়... http://fb.me/3sdB4rjvp 
Sun Dec 21 07:55:41 PST 2014 --  আজ কাল মধ্য যূগের বেশ্যাদের আবির্ভাব। নাকি শালীনতার বাধ ভেঙে অশালীণ কার্যকলাপ। তুমি লিজেন্ড অব দা ফলের অস্তির... http://fb.me/74ItRsQFI 
Wed Dec 17 05:18:37 PST 2014 --  তোমার দৃষ্টিতে যন্ত্রণার চাহনি। তোমার অঙ্কিত বাসনায় লোহিত পদধ্বনি। তুমি অস্থির সমুদ্রের তীর। আমার আলোয় আলোকিত... http://fb.me/732z98jdl 
Tue Dec 16 10:37:34 PST 2014 --  বন্ধু এতদিন আমি অনেক অনর্থক বাক্য সঞ্চালন করলাম। আজ ভাবছি তোমায় দিয়ে নতুন সম্প্রসারণ করব। বন্ধু তুমি আমার একটাই... http://fb.me/70WgHJpd1 
Tue Dec 16 00:47:20 PST 2014 --  at Shilpokola Academy — looking for a girlfriend
Mon Dec 08 09:10:34 PST 2014 --  Nowadays people know the price (দাম) of everything and the value (মূল্য) of nothing. So in a world where... http://fb.me/3jZHl6ugg 
Fri Dec 05 18:17:09 PST 2014 --  I posted 10 photos on Facebook in the album "Friends" http://fb.me/31ryg64E1 
Thu Dec 04 00:48:17 PST 2014 --  traveling to Khoiyachora, Borotakia, Mirsarai, Chittagong from Khoiyachora, Borotakia, Mirsarai, Chittagong. http://fb.me/7ga0tZFg2 
Sun Nov 30 09:19:27 PST 2014 --  নারী তুমি, তীক্ষ্ণ স্পর্শে আকস্মিক অনিষ্টের বার্তা। তুমি বুলেট, লঞ্চার। তুমি রুষ্ট, সিক্ত, উত্তাল মায়া। তুমি... http://fb.me/1vifZLFKy 
Sun Nov 30 02:14:48 PST 2014 --  I posted a new photo to Facebook http://fb.me/37jBTPyxX 
Wed Nov 26 00:17:15 PST 2014 --  ও মেয়ে মুছে দিওনা তোমার শৈল্পিক আলতা রাঙা পা। লুকিয়ে আছে সেথায় কত প্রত্যাশিত ভীরু, লাজুক অনুভূতির করুণা। তুমি... http://fb.me/7cvBE00zq 
Thu Nov 20 10:29:39 PST 2014 --  আমার লেঙটা কালের ফ্রেন্ডদের আজ ২ টা আবদার ছিল......। প্রথম টা নারী স্ট্যাটাস আবার শুরু করার জন্য >> সো চলবে... http://fb.me/1HqhOsPan 
Sat Nov 15 13:09:51 PST 2014 --  আমার প্রিন্সেস......... তকে আমি ভাঙ্গি......আবার নিজ হাতেই গড়ি ...I love you princess http://fb.me/3q9j8OjlL 
Fri Nov 14 04:58:44 PST 2014 --  তুমি জলোচ্ছ্বাস, রিক্ত, রণক্ষেত্র। তুমি নও কোন প্রভাত, তুমি বিষাদময় অন্তহীন রাত। তুমি অদ্ভুত ছেলের আঁখরে ধরা... http://fb.me/3R3k4QtG1 
Mon Nov 10 02:16:38 PST 2014 --  ধূসর, বিবর্ণ, ক্ষিপ্ত এই জগত। যদি অগ্নেয়গিরীর লাভা খেতে পারতাম..তবে ত্‌প্তি পেতাম.. আমি আজ খুব ত্‌ষ্ণার্ত..এই... http://fb.me/6TQ3uP1cy 
Wed Nov 05 10:33:41 PST 2014 --  স্মৃতি তুমি স্মৃতি তুমি মনের জগতে এক বিস্মৃতি। ছবি তুমি ছবি বানিয়েছ তুমি আমায় অস্থির কবি।ছায়া তুমি ছায়া তুমি... http://fb.me/3GVdNmuGg 
Wed Nov 05 01:29:54 PST 2014 --  JSC পরীক্ষার নতুন রোটিন 7-11-14 বাংলা ১ম শুক্রবার সকাল ৯টা 9-11-14 গনিত রোববার সকাল ১০টা 10-11-14 ইসলাম... http://fb.me/6V3vlOj4e 
Mon Nov 03 01:43:34 PST 2014 --  I posted a new photo to Facebook http://fb.me/1GzKBWfqa 
Fri Oct 31 07:25:30 PDT 2014 --  নারী তোমার ভঙ্গী দেখলে মনে হয় কোন একটা রিয়েলিটি শো। তোমার দেহের ভাজে এতো ধস কেন। চোখের লজ্জা তোমার কাছে এখন... http://fb.me/7RucSUgPi 
Wed Oct 29 11:50:55 PDT 2014 --  ললনা তুমি বীভৎস, আপেক্ষিক, চৌচির, নষ্ট রক্তে পরিপূর্ণ। শুরুটা তোমার গেমস, মাঝে রহস্যময়ই অন্ধকার আর শেষেরটা তোমার... http://fb.me/1AAONMu5K 
Fri Oct 24 23:30:50 PDT 2014 --  আমি কি মানসিক ভাবে সুস্থ, নাকি অসুস্থ? এত স্পর্শকাতর কেন আমি? অবশ্যই আমি সুস্থ। কেন পাগল হইলাম না? পাগলের কোন... http://fb.me/1MEGnK4GL 
Fri Oct 24 23:29:46 PDT 2014 --  আমি কি মানসিক ভাবে সুস্থ, নাকি অসুস্থ। এত স্পর্শকাতর কেন আমি? অবশ্যই আমি সুস্থ। কেন পাগল হইলাম না? পাগলের কোন... http://fb.me/1KAGgAfYR 
Thu Oct 23 13:36:32 PDT 2014 --  অস্থির পৃথিবী, অস্থির সব তুমি, অস্থির তোমার হৃদয় , অদ্ভুদ এই আমি।
Wed Oct 22 20:39:35 PDT 2014 --  নারী তুমি নির্লিপ্ত, ধূসর, বিক্ষিপ্ত। তোমার বিকিরণে তরুণ সমাজে আজ লাল বাতি জ্বলে। নারী অর্ধ যুগের ভালবাসা তোমার... http://fb.me/7Up0Qc7xz 
Thu Oct 16 12:45:37 PDT 2014 --  নারী আজকাল তোমার চোখের ভাষা ইন্ডিয়ান সিরিয়ালের মত। কিন্তু সেই ভাষায় লুকিয়ে আছে শত তরুণের কল্পনার শক্ত খুঁটি।... http://fb.me/6S1YKUaDw 
Mon Oct 13 04:30:52 PDT 2014 --  Loves not about you gain from it, its just that you want it and that's it. Its non-negotiable, its an obsession.... http://fb.me/6QuB89grm 
Sat Oct 11 04:27:32 PDT 2014 --  অজব এক ধরণী তুমি। প্রতি মধ্য রাতে একা একা বসে ভাবি। তোমার প্রস্রয়ের ছায়ায় কত মিথ্যা আজ ইতিহাস, কত সত্য আজ... http://fb.me/7bb6QCT9E 
Mon Oct 06 12:16:57 PDT 2014 --  নারী তুমি নষ্ট। তুমি এখন নগ্ন প্রণয়। তোমার অসুস্হ ভালবাসায় এখন রোমিওরা কবি, দার্শনিক। আর তুমি বেস্সাই থেকে... http://fb.me/3QlEgTbSF 
Thu Oct 02 12:20:57 PDT 2014 --  এ যুগের আয়না বাবারা শুধু আয়না পড়া দেয় না। তারা আয়নাতে নিজের চেহারা দেখে আর একটা সুন্দর গার্লফ্রেন্ডের স্বপ্ন... http://fb.me/27I52EXgo 
Thu Oct 02 02:38:23 PDT 2014 --  তরুণী তুমি সীমাবদ্ধ পাখি। আসো আর যাও। তোমার সেই মিষ্টি লাজুক ভীত মায়ার বেড়াজালে ডুবে থাকতে ইচ্ছা করে। নারী তুমি... http://fb.me/7I4k3B5vP 
Tue Sep 30 14:27:48 PDT 2014 --  তুমি হচ্ছ একটি ক্ষত । যেখানে নির্গত হয় অগ্নি। গভীর রাতে তৃষ্ণা মিটাই সেই আগুনে। যাকে হৃদয়ে পুষে দহন করি। পূর্ণতা... http://fb.me/6JHBC288f 
Mon Sep 29 05:41:43 PDT 2014 --  সুবলং ... যাওয়ার আগে প্রস্ততি
Sun Sep 28 20:23:15 PDT 2014 --  http://fb.me/3GenVRUti 
Sat Sep 27 03:56:02 PDT 2014 --  রাঙামাটি তে ঝর্ণার উদ্দেশ্য ......
Tue Sep 23 11:02:48 PDT 2014 --  ব্রেইন টা পোরাই গরম… নারী তুমি এখন আধুনিক বৈষম্যর শিকার। উপলব্ধি করার মত তোমার ইন্দ্রিয় নেই। তুমি মূর্খ... http://fb.me/6M79Cpgsk 
Sat Sep 20 01:22:58 PDT 2014 --  তুমি এখন নারী। কল্পনার সাত রঙে তুমি জ্বালাময়ী বিক্রিয়া। চলার পথে তুমি অস্থির এক উদ্দীপক। তুমি এখন পূর্ণ। তুমি... http://fb.me/4qe9y1WNK 
Wed Sep 10 10:05:56 PDT 2014 --  তুমি এত আবেগি কেন? তরুণী তুমি না! তোমার ব্রেইনটা তো ফেইক! তোমার চোখ খুলবে তোমার Graduation এর টাইটলে। কি নামে যে... http://fb.me/3JOPOwcUe 
Mon Sep 08 02:47:45 PDT 2014 --  Journey by chander gari at North Raojan...
Fri Sep 05 10:24:07 PDT 2014 --  My favorite word is confusion. My favorite reply is silent. My favorite sorrow is smile. My happy is to get hurt... http://fb.me/2nlvXJUtN 
Sun Aug 24 10:49:52 PDT 2014 --  Romoni tmi ek jinis! Aei dhoronir mohan monishider kacheo tmi rohossomoyi nari. Tmr monta tmr napkiner motoi... http://fb.me/49dvP9dzD 
Tue Aug 19 19:14:48 PDT 2014 --  Feeling awesome f irst Nuakhaki jachi.. Khub sundhor abhaoay 1st highway te nije drive korteci... Wish me... http://fb.me/1h8OwfHoP 
Mon Aug 18 13:35:16 PDT 2014 --  Nari tmr choukh ..mone hoy Ek ekta moha grontho! Porte gele sudhu obak hoi! ekhon r porar dusshahos hoy na! Se... http://fb.me/6NajugfRU 
Sun Aug 17 14:23:50 PDT 2014 --  What the hell am i? My attitude is madness, crazy, immature & wonderfull. Am i suppose to be that? No i am not a... http://fb.me/1AM6J3UD8 
Wed Aug 13 11:50:05 PDT 2014 --  No Girls ; its not like that! I dont mind telling to girls I know a thing or 2 about love the girls make it: Too... http://fb.me/2hcdLIjMj 
Sat Aug 09 12:39:05 PDT 2014 --  Ami ke? Ami ki kono nosto shopno! Naki kono shopnobilasir kholnayok. Naki poth brosto ek onagoto jugoler eti.... http://fb.me/6HoYffUHN 
Fri Aug 08 15:22:22 PDT 2014 --  Hay romoni tmr joubon koto? Jodi tmi okarone kumari hou.. Tobe 20.. Eri maje tmi nari, tumi ma, tumi grand ma ..... http://fb.me/2ZbNGo3ai 
Wed Jul 09 01:13:54 PDT 2014 --  Miss you all Legends .... http://fb.me/32hpDhHwq 
Tue Jul 08 11:48:42 PDT 2014 --  Natural Beauty of Bangladesh ( Kendua, Netrakona ) http://fb.me/6VsDe16yO 
Tue Jul 08 11:39:38 PDT 2014 --  নেত্রকোনার ...কেন্দুয়া ও মদনের সংযোগ ব্রিজ
Tue Jul 08 11:33:41 PDT 2014 --  দুর্লব করা জাল ...& নেত্রকোনার ...কেন্দুয়া ও মদনের সংযোগ ব্রিজ
Tue Jul 08 11:21:59 PDT 2014 --  Kendua Netrakona
Tue Jul 08 11:02:24 PDT 2014 --  My Home .Kendua Netrakona
Tue Jul 08 10:56:24 PDT 2014 --  I posted a new photo to Facebook http://fb.me/193Dl5m94 
Tue Jul 08 10:53:39 PDT 2014 --  My Home .Kendua Netrakona ..Photo Credit Rony Nayem http://fb.me/3jJGe6N5G 
Tue Jul 08 10:45:55 PDT 2014 --  My Home Kendua, Netrakona... My Loving Brothers .... Rony Nayem, Ahsan Nahin ,Shuhag & my training master... http://fb.me/3908NegSQ 
Mon Jun 23 14:41:52 PDT 2014 --  This is Brazilll..............
Mon Jun 23 09:01:22 PDT 2014 --  The Five special Underdog....The last one (johir Bhai) porai osthir... http://fb.me/3n3GHUeyc 
Sat Jun 21 04:52:21 PDT 2014 --  My Friends & Me (Capturing)
Fri Jun 20 17:44:01 PDT 2014 --  Prince Ershad , Prince Shaharia & Prince Robin And me with Camera http://fb.me/6CKkNc39l 
Fri Jun 20 17:36:49 PDT 2014 --  সবার ছবিই তুললাম ----আমার একটাও ছবি তুলতে পারলাম না http://fb.me/218hmC43u 
Fri Jun 20 17:13:09 PDT 2014 --  Amader Forhad Apur Biyete...My Friends and without me.. http://fb.me/1hnZEKyiK 
Sat Jun 14 12:47:21 PDT 2014 --  My Swift Art Work http://fb.me/43ZAigLRN 
Sat Mar 08 19:52:39 PST 2014 --  Just having fun! Changed my folder colors with Folder Colorizer by @Softorino! Great tiny app!!! http://softorino.com/ 
Wed Nov 20 07:54:13 PST 2013 --  Free YouTube Converter - YouTube to MP3, YouTube Video Converter http://www.cucusoft.com 
Wed Sep 11 23:28:08 PDT 2013 --  Just having fun! Changed my folder colors with Folder Colorizer by @Softorino! Great tiny app!!! http://softorino.com/ 
Tue Aug 27 11:22:02 PDT 2013 --  Free YouTube Converter - YouTube to MP3, YouTube Video Converter http://www.cucusoft.com 
Tue Aug 27 11:19:19 PDT 2013 --  http://www.cucusoft.com 
Wed May 29 05:56:49 PDT 2013 --  good to see me
