Sat Nov 15 16:05:28 PST 2014 --  BUY '1989' NOW iTunes: http://smarturl.it/TS1989  Target: http://tgt.biz/rmjn  Store: http://smarturl.it/TS1989Store  Amazon: http://amzn.to/1tCvWWf 
Wed Aug 26 10:43:48 PDT 2015 --  Just the premiere tonight then ha ! Got my days mixed up !
Wed Aug 26 08:19:19 PDT 2015 --  Yep @jiffpom knows. What Do You Mean? #2Days pic.twitter.com/jbGid1nI4j
Wed Aug 26 08:19:47 PDT 2015 --  Lol. Love you bro. @officialjaden What Do You Mean? #batman #2Days pic.twitter.com/krJUNGzXJu
Wed Aug 26 08:36:43 PDT 2015 --  LEGEND! @IamStevenT #2Days #WhatDoYouMean 48 hours to go! pic.twitter.com/M10FLKucrF
Wed Aug 26 09:13:27 PDT 2015 --  This is creative. Thanks @toddyrockstar. #2days What Do You Mean? pic.twitter.com/e3rf54PsQx
Wed Aug 26 09:14:15 PDT 2015 --  Love my brother for life @KevinHart4real . What Do You Mean man!!!??? :) #2days to go. #whatdoyoumean pic.twitter.com/T5silxid73
Wed Aug 26 06:08:47 PDT 2015 --  Hey @justinbieber! We're ready for #WhatDoYouMean 2 days! pic.twitter.com/uz5tSt9aOy
Wed Aug 26 13:02:55 PDT 2015 --  @Kaneshow thanks guys #2days
Fri Aug 21 09:52:12 PDT 2015 --  Can Bieber just release that damn song? He's wasting so much paper.
Wed Aug 26 13:04:28 PDT 2015 --  @Christian_Zamo lol
Wed Aug 26 14:02:51 PDT 2015 --  HEY BELIEBERS! Vote now for @justinbieber on the MTV VMA's using the hastag #WhereAreUNowVMA, LEST´s GO
Wed Aug 26 13:49:15 PDT 2015 --  FOTO: Justin Bieber faz manobras de skate durante filmagem em Los Angeles: http://www.biebermania.com.br/justinbieberbrasil/204-justinbieber2015-justinbieber2014-biebernewalbum2014-justinbiebercharts-billboard-justinbieberfans/22782-foto-justin-bieber-faz-manobras-de-skate-durante-filmagem-em-los-angeles.html … via @BiebersManiaBR
Wed Aug 26 13:40:56 PDT 2015 --  I voted #WhereAreUNowVMA for the 2015 MTV #VMA Song Of Summer! See who's in the lead and vote: http://on.mtv.com/1PqjNB4  #GalaxyLife
Wed Aug 26 13:40:38 PDT 2015 --  A tag certa é ESSA #WhereAreUNowVMA. TODOS OS DETALHES DE COMO A VOTAÇÃO FUNCIONA NO SITE DO @biebersmaniabr http://www.biebermania.com.br/justinbieberbrasil/204-justinbieber2015-justinbieber2014-biebernewalbum2014-justinbiebercharts-billboard-justinbieberfans/22754-2015-08-18-20-06-01.html …
Wed Aug 26 13:39:36 PDT 2015 --  São 12V p/dia, a votação encerra dia 30, RT conta, depois de votar 12x pode continuar com a tag, + os votos não serão mais contabilizados.
Wed Aug 26 13:31:59 PDT 2015 --  O Justin está atualmente em #3 na votação, quem ainda não votou, vota, essa é a tag certa #WhereAreUNowVMA.
Wed Aug 26 13:31:16 PDT 2015 --  Faltam 2 dias para o primeiro single oficial do Justin em anos, ou seja, entrevistas, revistas, performances, turnê... BIEBER IS BACK!
Wed Aug 26 13:22:28 PDT 2015 --  De Batman a Sandman. Abocanhe nossas ofertas em HQs: http://bit.ly/1JwoGU3  pic.twitter.com/5UezSgUKoC
Wed Aug 26 13:29:37 PDT 2015 --  VOTE: Justin Bieber ao 'Song of Summer - VMA 2015' com WAÜN: http://www.biebermania.com.br/justinbieberbrasil/204-justinbieber2015-justinbieber2014-biebernewalbum2014-justinbiebercharts-billboard-justinbieberfans/22754-2015-08-18-20-06-01.html … via @BiebersManiaBR
Wed Aug 26 13:26:31 PDT 2015 --  Justin já está na grade dos participantes do programa da Ellen em Setembro, no site do talk show! #WhatDoYouMean pic.twitter.com/0kmq8IqCLe
Wed Aug 26 13:28:17 PDT 2015 --  Pra quem já votou as 12x, usa #WhatDoYouMean para divulgar o single e para aumentar a contagem no site do Justin http://www.justinbiebermusic.com 
Wed Aug 26 13:27:32 PDT 2015 --  Essas DM's são tudo bugada
Wed Aug 26 13:27:08 PDT 2015 --  TODO MUNDO, espalhem esse banner, quem ainda não votou, VOTA E REPASSA para quem AINDA NÃO VOTOU! #WhatDoYouMean https://twitter.com/biebersmaniabr/status/636626061141364736 …
Wed Aug 26 13:24:56 PDT 2015 --  VOTE: Justin Bieber ao 'Song of Summer - VMA 2015' com WAÜN: http://www.biebermania.com.br/justinbieberbrasil/204-justinbieber2015-justinbieber2014-biebernewalbum2014-justinbiebercharts-billboard-justinbieberfans/22754-2015-08-18-20-06-01.html … #WhatDoYouMean
Wed Aug 26 09:48:03 PDT 2015 --  Justin via IG: "Isso é criativo. Obrigado @toddyrockstar. Muito legal, isso é algum esforço. Lol. #2dias..." pic.twitter.com/uwxJSgQNdE
Wed Aug 26 09:51:22 PDT 2015 --  Tem Beliebers votando com a tag errada! Pessoal a tag CORRETA é #WhereAreUNowVMA e não essa #WhereAreUNowMVA. Prestem atenção!
Wed Aug 26 09:55:00 PDT 2015 --  Foto 1 #WhereAreUNowVMA pic.twitter.com/gp1uesQkZB
Wed Aug 26 09:55:35 PDT 2015 --  Não usem nenhuma outra tag a não ser a correta, que é #WhereAreUNowVMA
Wed Aug 26 09:56:11 PDT 2015 --  Foto 2 #WhereAreUNowVMA pic.twitter.com/weKf02MSHz
Wed Aug 26 09:56:28 PDT 2015 --  Foto 3 #WhereAreUNowVMA pic.twitter.com/kmJAWOnWQ1
Wed Aug 26 09:56:43 PDT 2015 --  Foto 4 #WhereAreUNowVMA pic.twitter.com/5hJJSYpgIV
Wed Aug 26 09:57:09 PDT 2015 --  Foto 5 #WhereAreUNowVMA pic.twitter.com/mVdPqlAKSP
Wed Aug 26 09:57:27 PDT 2015 --  Foto 6 #WhereAreUNowVMA pic.twitter.com/MAXkHARIqf
Wed Aug 26 09:57:55 PDT 2015 --  Foto 7 #WhereAreUNowVMA pic.twitter.com/llzjPR3vbg
Wed Aug 26 09:58:10 PDT 2015 --  Foto 8 #WhereAreUNowVMA pic.twitter.com/NS2Id3qdgW
Wed Aug 26 09:58:25 PDT 2015 --  Foto 9 #WhereAreUNowVMA pic.twitter.com/BTmfUjWmyu
Wed Aug 26 09:58:53 PDT 2015 --  Foto 10 #WhereAreUNowVMA pic.twitter.com/btzbq4Y9p7
Wed Aug 26 09:55:44 PDT 2015 --  Cenas fortes: atirador mata câmera e repórter de TV em transmissão ao vivo http://www.tecmundo.com.br/televisao/85370-cenas-fortes-atirador-mata-camera-reporter-tv-transmissao-vivo.htm … via @Tec_Mundo
Wed Aug 26 09:54:52 PDT 2015 --  I voted #BadBloodVMA for the 2015 MTV #VMA Song Of Summer! See who's in the lead and vote: http://on.mtv.com/1PqjNB4  #GalaxyLife
Wed Aug 26 07:36:27 PDT 2015 --  Also! Listen to " stan " by him. If you haven't already of course. Gives me goosebumps every time
Wed Aug 26 07:24:13 PDT 2015 --  When I'm gone by Eminem is honestly one of my favourite songs lyrically
Wed Aug 26 05:33:28 PDT 2015 --  AND IM GUNNA SPEAK SPANISH
Wed Aug 26 01:23:43 PDT 2015 --  MADRID I'm performin at Teatro Monumental 12th Sept ! Tix onsale Friday 11am local time #ShawnInMadrid pic.twitter.com/mtOZjx19EY
Wed Aug 26 01:09:21 PDT 2015 --  You guys did so awesome with #GetShawnToYourCountry & I'm announcing the first addition today
Tue Aug 25 19:30:06 PDT 2015 --  @annaclendening beautiful
Tue Aug 25 19:14:22 PDT 2015 --  @ShawnMendes >>>> pic.twitter.com/JlM5IKs4Pl
Tue Aug 25 19:25:22 PDT 2015 --  Spanish is actually such a beautiful language
Tue Aug 25 15:08:09 PDT 2015 --  SAN DIEGO! Listen all week 2 win your way into our exclusive @shawnmendes show + go backstage to meet @taylorswift13! http://channel933.com/listen 
Tue Aug 25 14:40:26 PDT 2015 --  Just posted a video https://instagram.com/p/60l_Wkrt9V/ 
Tue Aug 25 14:14:59 PDT 2015 --  Who's coming to #IslandLifeNYC Sept 8th ?! tix http://smarturl.it/IslandLifeNYC 
Tue Aug 25 13:45:51 PDT 2015 --  @IamLeroySanchez dude. You killed it! Great job !
Mon Aug 24 17:21:28 PDT 2015 --  It's MONDAY!! You know what it means! NEW VIDEO IS UP! @ShawnMendes #Stitches http://youtu.be/XR1fjeF9Mw4?a 
Mon Aug 24 20:18:41 PDT 2015 --  #ShawnIsALatinoAtHeart @ShawnMendes
Mon Aug 24 20:07:26 PDT 2015 --  Day 3. I still cant speak Spanish. Im determined tho!!
Mon Aug 24 20:04:30 PDT 2015 --  Me gusta tu !
Mon Aug 24 20:03:42 PDT 2015 --  Migusta gato y perro
Mon Aug 24 20:02:06 PDT 2015 --  La tortuga beben agua!
