Mon Dec 24 23:39:22 PST 2012 --  check out http://goo.gl/1uf8Z 
Fri Nov 23 10:31:00 PST 2012 --  Aweesomeee! I got $102.53 this week just taking some surveys. http://www.facebook.com/381302811955209 
Wed Nov 21 11:03:48 PST 2012 --  This rocks! I made $195.92 so far just filling out a couple of surveys. http://www.facebook.com/486130791426606 
Tue Nov 20 09:54:32 PST 2012 --  I love this! I earned $107.51 this week so far taking surveys. http://www.facebook.com/130940693725910 
Mon Nov 19 20:41:05 PST 2012 --  The New Breed Supplement called Raspberry Ketones Weight Loss http://www.callprogressive.com/batterydisapproval/33timothycooper/ …
Mon Nov 19 13:50:23 PST 2012 --  Awesome! I made $179.43 this week so far doing a couple of surveys. http://www.facebook.com/473610926016546 
Sun Nov 18 10:41:40 PST 2012 --  This rocks! I made $102.45 this week so far just taking surveys. http://www.facebook.com/489048444468748 
Sat Nov 17 10:36:55 PST 2012 --  Awesome! I got $161.10 this week so far just filling out a couple of surveys. http://www.facebook.com/510846452273339 
Fri Nov 16 11:01:03 PST 2012 --  Sweeeet! I earned $194.27 this week doing some surveys. http://www.facebook.com/327099734064203 
Fri Oct 12 14:06:35 PDT 2012 --  Best week! I made $201.79 just doing surveys in past week =) LOOK >> http://facebook.com/367485469999350 
Thu Oct 11 12:21:16 PDT 2012 --  Best week ever! I earned $366.70 doing surveys this week so far :)) LOOK >> http://facebook.com/442150315831721 
Wed Oct 10 14:22:56 PDT 2012 --  My favorite week! Made $282.63 just doing surveys in past week =)) LOOK >> http://facebook.com/371039666304169 
Tue Oct 09 15:09:33 PDT 2012 --  Best week ever! Earned $394.27 taking surveys this week :))) LOOK >> http://facebook.com/523976190949570 
Mon Oct 08 10:11:52 PDT 2012 --  My best week! Made $213.03 just taking surveys this week so far =)) LOOK >> http://facebook.com/463210380386221 
Sun Oct 07 14:46:15 PDT 2012 --  Awesomest week ever! Made $209.22 doing surveys in past week =)) LOOK >> http://facebook.com/539166102777135 
Sat Oct 06 12:49:32 PDT 2012 --  Sickass week! I made $318.17 taking surveys in the past week :) LOOK >> http://facebook.com/335913139838524 
Fri Oct 05 17:24:16 PDT 2012 --  Favorite week ever! I earned $377.28 just doing surveys this week so far :) LOOK >> http://facebook.com/456877874355464 
Mon May 02 16:42:39 PDT 2011 --  RETWEET if you know someone who needs some LOVE! Then click here to find it fast on @SpeedDate http://spdt.me/FRRRcC #SpeedDate
Fri Apr 15 19:16:02 PDT 2011 --  I'm setting up friends with matches on SpeedDate. View your matches: http://spdt.me/jWDaQd #SpeedDate
