Fri Aug 28 13:52:33 PDT 2015 --  pic.twitter.com/6HYF5QtU2y
Fri Aug 21 15:44:34 PDT 2015 --  I'm giving out 50 64GB @OnePlus 2 invites to people who retweet this tweet over the next 24 hours. Good luck! pic.twitter.com/y2nE7X9f2c
Fri Aug 21 09:38:43 PDT 2015 --  I say this every year, but a Google Play Edition Galaxy Note 5 has SO much potential. Best camera AND display in any smartphone right now.
Fri Aug 21 08:08:12 PDT 2015 --  Guess I’ll finally set up my PS4.. BLACK OPS 3 LETS GO
Mon Jul 27 14:39:05 PDT 2015 --  She said no because her parents don’t let her date yet
Wed Jul 29 11:45:14 PDT 2015 --  I’ll text you off my iPod touch when I get wifi
Wed Aug 12 09:35:54 PDT 2015 --  Your relationship doesn't work because you're taking advice from memes on Twitter/Instagram/Tumblr/Facebook.
Fri Aug 21 01:17:48 PDT 2015 --  https://instagram.com/p/6oXKqvvPw4/ 
Fri Jul 17 23:52:20 PDT 2015 --  Shoutout to the niggas that stay texting a hoe, then jerk off, bust a nut, and then all of a sudden don't feel like texting anymore
Sat Aug 08 17:11:04 PDT 2015 --  When you know your body would be A1 if you just worked out but you're a lazy fuck pic.twitter.com/hlkQaWfsd7
Wed Aug 19 16:24:28 PDT 2015 --  So yall just gonna act like you wasn't rocking Timbs every day just in case someone wanted to battle and you could hit the ill toe point? Ok
Wed Aug 19 16:18:21 PDT 2015 --  Remember when everyone was krumpin? Why'd that ever stop? Also the Harlem Shake....yeah these things need to come back
Wed Aug 19 16:15:41 PDT 2015 --  You ever have those friends that you don't even remember how you became friends you just suddenly were friends one day lol
Mon Aug 17 22:39:04 PDT 2015 --  Me AF pic.twitter.com/ccuoCtLKTv
Mon Aug 17 10:27:15 PDT 2015 --  Introducing #AndroidMarshmallow. Learn more about our latest sweet http://goo.gl/pynCIo  pic.twitter.com/ytRwKLuCKT
Mon Aug 17 01:17:00 PDT 2015 --  With the way my luck is set up, I can't take any chances https://twitter.com/heiiofalife/status/628456617349021700 …
Sun Aug 16 22:40:40 PDT 2015 --  All these pretty girls on twitter that I'll never talk to because I'm a socially awkward snail
Fri Aug 14 14:03:22 PDT 2015 --  This is pretty sad. #CancelWendyWilliamsShow pic.twitter.com/Q0k7TZUcg9
Sat Aug 15 15:55:28 PDT 2015 --  Oh hey @GoogleMaps this left turn is completely illegal pic.twitter.com/y70p4KyqnD
Sat Aug 15 05:09:53 PDT 2015 --  I remember when I used to sleep/wake up at normal times. Ah yes those were the days...
Sat Aug 15 03:30:53 PDT 2015 --  Sunrise NYC pic.twitter.com/By82enj3nD
Sat Aug 15 04:33:12 PDT 2015 --  Well I got 0 sleep last night.
Sat Aug 15 01:06:54 PDT 2015 --  Either go to sleep now and wake up at 2 pm or tough it out and stay up throughout the day...
Fri Aug 14 21:05:07 PDT 2015 --  Literal lightning cable pic.twitter.com/hKAEw3HcX1
Fri Aug 14 20:58:34 PDT 2015 --  GOAT Note 5 Wallpaper ft. @austinnotduncan pic.twitter.com/vCAN6aAWrq
Fri Aug 14 20:13:09 PDT 2015 --  I hate being alone in this house
Thu Aug 06 13:51:25 PDT 2015 --  poutin pic.twitter.com/nmBbMKY3oo
Fri Aug 14 15:54:08 PDT 2015 --  Tell me this isn't gorgeous #earthporn pic.twitter.com/FcZRlr7e6E
Fri Aug 14 15:31:36 PDT 2015 --  Someone must've gotten into my account retweeting these kitten pics. I'll leave them up tho so we can, um..track them or something. Sickos.
Fri Aug 14 14:05:50 PDT 2015 --  Chrome Notification: "yoU'VE GONE FULL SCREEN. IS EVERYTHING OKAY!??" You: "Calm down, Google. I'm watching a video. We've been over this."
Fri Aug 14 13:26:27 PDT 2015 --  RT if you wish your grandma was this cool pic.twitter.com/VPKS0MxgVh
Thu Aug 13 15:36:32 PDT 2015 --  I wish certain things still excited me like they used to
Thu Aug 13 21:26:14 PDT 2015 --  Coleman. Stop playing https://twitter.com/carterjagz/status/631947189258842116 …
Thu Aug 13 06:32:23 PDT 2015 --  Target just simply does not give a single fuck LMAOOOOO pic.twitter.com/0iUCOcHU5Q
Thu Aug 13 13:25:17 PDT 2015 --  In case you've ever wondered how to beat Snake pic.twitter.com/RBZJ51EhLs
Thu Aug 13 12:34:31 PDT 2015 --  @tldtoday @unboxtherapy Thanks for the shout!
Thu Aug 13 12:31:50 PDT 2015 --  I couldn’t make it out to NYC this time, so stay peeled to @MKBHD and @UnboxTherapy for Note 5/Edge+ coverage this week!
Thu Aug 13 10:55:34 PDT 2015 --  ...... https://twitter.com/mattbennett/status/631885056496156673 …
Thu Aug 13 09:44:17 PDT 2015 --  MISS IMPORTFEST•TORONTO•AUG 22/15 If this image were animated, in addition to my pout I would be… https://instagram.com/p/6VKkWIBcIV/ 
Wed Aug 12 21:45:43 PDT 2015 --  Tomorrow can't come fast enough
Wed Aug 12 20:52:58 PDT 2015 --  I put my phone on AIRPLANE MODE and threw it in the air. Worst transformer ever.
Wed Aug 12 19:51:54 PDT 2015 --  Pretty solid medium/heavy day on the OnePlus 2, including watching @austinnotduncan Periscope. 11% left. Not bad. pic.twitter.com/opNds2dSn4
Wed Aug 12 13:51:55 PDT 2015 --  i've wasted so much of this summer doing absolutely nothing i feel like shit
Wed Aug 12 13:00:26 PDT 2015 --  Also if you're a company that gets hit up by a Marques Brownlee with Yahoo email address that lives in Maine... please double check.
Wed Aug 12 13:00:08 PDT 2015 --  Got some exclusive access for tomorrow's @SamsungMobile #Unpacked event! pic.twitter.com/qccYJxpDug
Wed Aug 12 11:41:56 PDT 2015 --  OnePlus 2 = Selfie https://instagram.com/p/6SzPCkQsTj/ 
Wed Aug 12 10:10:56 PDT 2015 --  Direct Messages now go beyond 140 characters. Go long, express yourself, wax poetic: https://blog.twitter.com/2015/removing-the-140-character-limit-from-direct-messages … pic.twitter.com/o4eSv6Wv5u
Wed Aug 12 08:45:03 PDT 2015 --  Favorite comment on the new video from last night haha pic.twitter.com/sbBNf2J70H
Wed Aug 12 07:32:42 PDT 2015 --  @dylansprouse @colesprouse pic.twitter.com/vkgnrJ75Gz
Tue Aug 11 19:53:46 PDT 2015 --  Worst part about realizing someone's full of shit is they've been full of shit the whole time and you just now noticed
Tue Aug 11 23:28:16 PDT 2015 --  Mr. Robinson airs Wednesday at 9 & 9:30pm 8 & 8:30pm central on NBC.
Wed Aug 12 07:13:27 PDT 2015 --  I am so tired right now I can't keep my eyes open
Tue Aug 11 21:18:49 PDT 2015 --  Is there an official name for this genre? #famousoldmanactors #oldmancomradery pic.twitter.com/QpVNunnLEu
Wed Aug 12 04:52:16 PDT 2015 --  Used a hair dryer on my beard this morning... It was glorious.
Tue Aug 11 11:00:34 PDT 2015 --  The teleporting package has arrived https://instagram.com/p/6QJtQXNd6l/ 
Tue Aug 11 09:00:18 PDT 2015 --  This seems a little fishy. A little... #Catfish-y. pic.twitter.com/TKhA3MtMUn
Tue Aug 11 06:54:55 PDT 2015 --  @MKBHD #conspiracy pic.twitter.com/tNRb4l0pvm
Tue Aug 11 06:34:30 PDT 2015 --  DHL tracking # says my retail OnePlus 2 went from China -> US -> China in 2 hours pic.twitter.com/s6X9G12iOv
Tue Aug 11 00:04:41 PDT 2015 --  Straight Outta Compton afta pahtay menu...Chicken, waffles and CATFISH!!! pic.twitter.com/Jb18ischd4
Mon Aug 10 12:36:47 PDT 2015 --  This girl having a straight up selfie fest in her car right now
Mon Aug 10 11:10:50 PDT 2015 --  New office complete with badass spider pic.twitter.com/HtaK5aypTS
Mon Aug 10 10:13:22 PDT 2015 --  LEAKED: Video claims to show Apple's next iPhone next to the current one http://read.bi/1IEUCGk  via @sai
Mon Aug 10 10:01:15 PDT 2015 --  Just got a paper piece of mail thanking me for enrolling in paperless billing. pic.twitter.com/1qJp1uvan5
Mon Aug 10 08:52:05 PDT 2015 --  It's pronounced Neeev!
Mon Aug 10 08:49:45 PDT 2015 --  NEW VIDEO - iPhone 6s - No More Bend? https://youtu.be/bSMUGGu7l-4  - Shoutout to @SonnyDickson for the hookup! pic.twitter.com/uI2y21tSmG
Mon Aug 10 01:30:09 PDT 2015 --  RT if you agree! pic.twitter.com/3fEFn7N6Ux
Mon Aug 10 07:22:08 PDT 2015 --  New @Ford seats that adjust to your butt... Gotta treat the booty right. pic.twitter.com/G1uZRjef3V
Mon Aug 10 02:51:42 PDT 2015 --  When you meet Jack from @UnboxTherapy as a giant butterfly in your dreams, that's when you know that you need a different Therapist.
Sun Aug 09 12:42:48 PDT 2015 --  @maxjoseph is it so much to ask for you to say at the beginning of a show, just one time, "Looks like you've got a NEVmail"
Sun Aug 09 18:01:43 PDT 2015 --  I JUST LAUGHED SO HARD OH MY GOD https://vine.co/v/eMDOQ7bBUKv 
Sun Aug 09 15:03:31 PDT 2015 --  Getting real sick of this drama in this house
Sun Aug 09 11:01:31 PDT 2015 --  Squad pic.twitter.com/0SYTMUIVuw
Fri Aug 07 14:33:25 PDT 2015 --  Guys, big news. It’s finally official. I'm joining the @Twitter Android core UI team!
Thu Aug 06 19:42:26 PDT 2015 --  Apple gets the award for ugliest wallpaper ever made in the new iOS 9 beta. pic.twitter.com/bT850UNc8s
Fri Aug 07 06:34:41 PDT 2015 --  Bed late, up early. RT if you know the feeling...
Thu Aug 06 00:24:08 PDT 2015 --  Watching #xfiles on Netflix cuz it's another sleepless night for my ass
Wed Aug 05 20:15:41 PDT 2015 --  cotton candy skies pic.twitter.com/CjWFBTHHPB
Wed Aug 05 13:16:43 PDT 2015 --  See ya later @Dropbox. Hello @GoogleDrive. pic.twitter.com/pK8guD1cXZ
Wed Aug 05 21:53:31 PDT 2015 --  I wish life was like a superhero movie. Just reboot certain days and act like everything's cool.
Wed Aug 05 16:15:24 PDT 2015 --  You guys da best <3 pic.twitter.com/4mZyl2O1m6
Wed Aug 05 15:03:21 PDT 2015 --  a gif of me n my new hair pic.twitter.com/JFfmc887L3
Wed Aug 05 12:11:01 PDT 2015 --  @VinnyLassiter is the illest #Dope
Wed Aug 05 11:50:31 PDT 2015 --  One #CertifiedCrispy video heading to your @YouTube boxes shortly!
Wed Aug 05 11:02:17 PDT 2015 --  New dis: YO VIDEOS ARE SO OLD, THEY STILL GET STUCK AT 301+ #RIP301
Wed Aug 05 10:57:12 PDT 2015 --  Remember when every new YouTube redesign sent everyone into uproar? Now they're on a roll: Transparent player, no more G+ and no more 301+
Wed Aug 05 09:42:58 PDT 2015 --  I'm excited to finish this video I'm working on just to see it in the new YouTube player haha
Tue Aug 04 06:00:03 PDT 2015 --  Fight or flight. Marvin's finally found @blakegriffin32 and his #SuperFly4. https://amp.twimg.com/v/31c5c589-7375-406c-afcd-114219c5b781 …
Tue Aug 04 21:48:19 PDT 2015 --  When someone asks you a dumb question......... pic.twitter.com/baYycHRXQc
Mon Aug 03 14:56:53 PDT 2015 --  LMFAOOOOOO https://vine.co/v/eg3jPwPhZjx 
Tue Aug 04 06:24:12 PDT 2015 --  @Support How about helping us not struggle to reload our wallpaper every ten minutes by leaving it alone ? #IWantMyWallpaperBack
Tue Aug 04 06:08:26 PDT 2015 --  @Support So let me get this straight. The answer is to dumb down tweets with shorter, less expressive words?
Tue Aug 04 00:57:10 PDT 2015 --  I kinda love thunderstorms
Mon Aug 03 19:35:02 PDT 2015 --  Auto 4K? I love this new YouTube player haha pic.twitter.com/ERPzZugVCv
Mon Aug 03 18:18:10 PDT 2015 --  This song has one of the most epic intros I've ever heard. pic.twitter.com/dDxw66zjsI
Mon Aug 03 17:36:10 PDT 2015 --  It's so hot my sweat is sweating.
Mon Aug 03 09:49:26 PDT 2015 --  I geek when u tell a girl u like her and shes like aw why me tho? Bitch cuz u the chosen one tf
Mon Aug 03 02:57:29 PDT 2015 --  As soon as I hop in the bed my body becomes instantly un-tired
Sun Aug 02 15:24:16 PDT 2015 --  Yo! Need your attention! Join me in helping @RELkay win this battle. She supports our community, let's support her: http://dt.gofund.me/relstrong 
Sun Aug 02 03:12:29 PDT 2015 --  #windows10 gets a B from me
Sun Aug 02 02:25:34 PDT 2015 --  Just sit back and relax while we install your #Windows10 upgrade. pic.twitter.com/0jqcILQ5fo
Sun Aug 02 02:31:06 PDT 2015 --  That moment when #windows10 is actually pretty legit
Sat Aug 01 16:18:11 PDT 2015 --  Farmers only dot com might have the worst jingle of all time lol. pic.twitter.com/Qr6xymZfPA
Sat Aug 01 22:12:42 PDT 2015 --  #AngryBirds2 is interesting, a little bit more complicated though but it's a good step forward for the franchise imo
Sat Aug 01 19:54:30 PDT 2015 --  Sooooooo yeah Moto G is absolutely the best phone you can buy under $200. Video in the works! pic.twitter.com/2OwFJknntY
Sat Aug 01 18:54:59 PDT 2015 --  #TeamCrispy pic.twitter.com/bBsUB0AwuH
Sat Aug 01 16:31:15 PDT 2015 --  Today is #NationalGirlfriendDay Totally would celebrate. pic.twitter.com/EX8fpjvGCk
Fri Jul 31 15:33:26 PDT 2015 --  Damn it @macmixing lol pic.twitter.com/tAgfUhokrP
Fri Jul 31 13:06:48 PDT 2015 --  I know some people who meek pic.twitter.com/dKijFvqo4I
Fri Jul 31 14:52:00 PDT 2015 --  well pic.twitter.com/RztTCyPNQG
Fri Jul 31 01:52:37 PDT 2015 --  When you wake up and realize that your phone wasnt charging the whole time pic.twitter.com/4yn1ER0vhG
Fri Jul 31 01:56:28 PDT 2015 --  *sighs* #NoSleep #TeamNightOwl pic.twitter.com/kjgkXvPLne
Thu Jul 30 22:59:33 PDT 2015 --  Power is back! pic.twitter.com/0Cqol1mial
Thu Jul 30 13:26:53 PDT 2015 --  10k views in 10 minutes. pic.twitter.com/k8yXZM7SI1
Thu Jul 30 16:06:57 PDT 2015 --  Saying "iPhone 6s" out loud sounds exactly like "iPhone success." Try it. There's your keynote opening line, @tim_cook. You're welcome.
Thu Jul 30 15:41:42 PDT 2015 --  It's been a little bit since I Periscoped…
Thu Jul 30 13:48:26 PDT 2015 --  i faved your sexual tweet to let you know im down
Thu Jul 30 06:11:20 PDT 2015 --  Yo frfr when u wake up earlier you get so much shit done..
Wed Jul 29 18:45:03 PDT 2015 --  Feelin' shady? Then you'll need a pair of @MakeupbyMandy24's fierce sunglasses. http://ahwd.tv/I5Fhf3  pic.twitter.com/Es4CQeagVX
Wed Jul 29 18:04:55 PDT 2015 --  New video - My Ultimate Setup Tour 2015! Be sure to share and RT! - https://youtu.be/tAlcZfF3YrU  pic.twitter.com/NluStgcvs7
Mon Jul 27 18:28:23 PDT 2015 --  last night! happy birthday @MakeupbyMandy24 https://instagram.com/p/5qUznpi3By/  pic.twitter.com/uREMrvZVzn
Wed Jul 29 14:25:37 PDT 2015 --  Introducing profile previews on web! Hover over an account's avatar to follow, unfollow or read their bio. pic.twitter.com/1r8W4hkf7o
Mon Jul 27 20:53:38 PDT 2015 --  OnePlus 2 Unboxing & Mini Review! https://youtu.be/6xmt2g2MDuA  pic.twitter.com/rnKWhHQUJ4
Wed Jul 29 13:38:08 PDT 2015 --  Yo @YouTube, what the hell is this layout? pic.twitter.com/ee053h7gMj
Wed Jul 29 09:28:31 PDT 2015 --  Windows PC & tablet users now have a Twitter experience optimized exclusively for #Windows10: https://blog.twitter.com/2015/a-whole-new-twitter-for-windows … pic.twitter.com/gKEz6T8wmG
Tue Jul 28 18:24:01 PDT 2015 --  When you hit the game winner and get so happy that you forget you don't have a dad pic.twitter.com/sUTUsqIw7j
Wed Jul 29 09:30:58 PDT 2015 --  Installing Windows 10 on Maingear Shift…
Wed Jul 29 08:31:10 PDT 2015 --  I could tell you, but then I’d have to... https://twitter.com/Jerrygali/status/626414360613621760 …
Wed Jul 29 08:24:48 PDT 2015 --  Revealed by the new @superscientific video haha - My entire Moto X video was shot on a Sony RX100 MKIV pic.twitter.com/OXlPPb8BQG
Wed Jul 29 00:52:44 PDT 2015 --  Honestly thought this WiFi extender would be a lot easier to set up...
Tue Jul 28 23:15:03 PDT 2015 --  should I do it?? pic.twitter.com/A1Sls7veHa
