Sat Aug 29 13:05:32 PDT 2015 --  Now That's How To Take a Corner https://vine.co/v/egrDnZLYXHh 
Fri Aug 28 04:15:19 PDT 2015 --  Great Week 4 Sunderland Defoe hits a midweek hattrick, captain O'Shea returns and Adam Johnsons girlfriend did really well in her GCSE's
Fri Aug 28 04:13:54 PDT 2015 --  #Arsenal will face Bayern Munich in the #UCL for the third time in four seasons...http://bit.ly/1zaHskM  #AFC pic.twitter.com/lIH4Qm7T2D
Fri Aug 28 04:12:57 PDT 2015 --  Watching the #NRLManlyRoosters & the commentators say the #Roosters as a package would cost about $20 million(AUD)..... Football take note
Fri Aug 28 03:02:03 PDT 2015 --  We've got eight days to put things in place - @TimGrant464 http://bit.ly/1NXV1HC  #GoRabbitohs pic.twitter.com/hjWsP68CQJ
Fri Aug 28 03:00:34 PDT 2015 --  "There's a big bunch of injuries sitting on the bench tonight for the @SydneyRoosters." - Rabs. #NRLManlyRoosters pic.twitter.com/YuQnHCqvKW
Fri Aug 28 00:01:36 PDT 2015 --  Handanovic Busquets Alacantara Özil Ibrahimovic https://twitter.com/MessiMinutes/status/637055189434912769 …
Thu Aug 27 23:55:24 PDT 2015 --  Exactly 4 years ago we were thrashed 8-2 by United at OT. Now we are having Alexis, Ozil and couple of FA Cups, CS. Times change.
Thu Aug 27 23:27:15 PDT 2015 --  Once again a twat of a draw for Arsenal and City whilst Chelsea and United get pampered with caviar and chocolates.
Tue Aug 25 11:09:21 PDT 2015 --  if you ever feel stupid just remember that Jack Wilshere thought the plural of moose was meese. https://vine.co/v/ej1QjwOzuUX 
Thu Aug 27 15:08:56 PDT 2015 --  Ronda Rousey GIVES it to Mayweather on actual earnings. pic.twitter.com/fErmD961r0
Thu Aug 27 15:12:46 PDT 2015 --  The boss says Coquelin is “doing a great job” as @Arsenal’s first-choice defensive midfielder http://arsn.al/RXi7CK  pic.twitter.com/91vNH7gOtQ
Thu Aug 27 15:09:50 PDT 2015 --  Stuart Lancaster plays the Sam Burgess card in England’s greatest gamble | Robert Kitson http://gu.com/p/4bqdm/stw 
Thu Aug 27 15:09:33 PDT 2015 --  Makes you scared about committing THAT much money to one player (see Pogba) - no refunds.
Thu Aug 27 15:08:23 PDT 2015 --  It's actually unreal how bad a signing Torres was. Nearly £80M for 20 Premier League goals across 3 1/2 years. Austin scored 18 last ssn.
Thu Aug 27 15:09:14 PDT 2015 --  England’s Rugby World Cup squad: Burgess and Slade in, Cipriani out – video http://gu.com/p/4bq7m/stw 
Thu Aug 27 15:09:04 PDT 2015 --  Wenger - Coquelin is doing a great job: 'You watch football like I watch football... he has… http://dlvr.it/BzlLLn  pic.twitter.com/wRf4Hkx8xF
Thu Aug 27 14:56:05 PDT 2015 --  'The Sky Sports duo don’t talk about the games & instead speak about themselves too much.' Wenger dont take shit from anyone lmao
Thu Aug 27 14:44:43 PDT 2015 --  Beckham : pic.twitter.com/ffFjkt1iHD
Thu Aug 27 14:41:32 PDT 2015 --  Wenger: "Coquelin has the best defensive statistics & numbers in Europe. Defensively, Coquelin is doing a great job" #ArsenaI
Thu Aug 27 13:26:28 PDT 2015 --  https://twitter.com/TheFunnyVine/status/636997957288484864 …
Thu Aug 27 12:45:59 PDT 2015 --  #Arsenal https://twitter.com/bet365/status/636942339655778304 …
Thu Aug 27 12:43:24 PDT 2015 --  All the people tweeting the no more signings, Wenger out, mediocrity crap could look very stupid in a few days. Childish stuff
Thu Aug 27 12:35:43 PDT 2015 --  I would say this is great balance fair play to him https://twitter.com/GymWankers_/status/636983710018076673 …
Thu Aug 27 10:09:44 PDT 2015 --  We've met some of these teams before...! Nevertheless, always exciting when the @ChampionsLeague groups get drawn
Thu Aug 27 10:07:35 PDT 2015 --  . @ChampionsLeague here we come. @Arsenal again @mertesacker @MesutOzil1088 #Piräus #Zagreb Looking forward! https://twitter.com/fcbayern/status/636943954760609792 …
Thu Aug 27 09:56:58 PDT 2015 --  We have Petr Cech against Munich now instead of a clown. Should make a big difference
Thu Aug 27 09:56:23 PDT 2015 --  #TBT This guy takes some stopping! Congratulations on making the #RWC2015 squad @SamBurgess8 pic.twitter.com/qTFX1T9JeJ
Thu Aug 27 09:56:11 PDT 2015 --  UP THE FUCKING ARSENAL....... WHO GIVES A FUCK ABOUT WHO WE PLAY..... SUPPORT THE FUCKING BOYS....
Thu Aug 27 09:55:53 PDT 2015 --  UEFA hate Man City and Arsenal
Thu Aug 27 09:54:42 PDT 2015 --  Old joke but a good 'un... Q : Who's the least popular person at a Borussia Mönchengladbach game? A : The one who shouts 'Give us a B!'
Thu Aug 27 09:52:37 PDT 2015 --  #Arsenal are not getting out that group...... Europa league it is lads #UCLdraw #GoonerFamily
Thu Aug 27 08:24:15 PDT 2015 --  Kaka https://twitter.com/AssistantOzil/status/636921589863419904 …
Thu Aug 27 07:45:35 PDT 2015 --  . @russellcrowe it's great to have your support Maximus #carrythemhome pic.twitter.com/AVH2fUZ6eQ
Thu Aug 27 07:46:35 PDT 2015 --  If your girlfriend complains on twitter about you you deserve better. https://twitter.com/africanhateyou/status/601504993028505601 …
Wed Aug 26 15:04:31 PDT 2015 --  Fuck sake. Media already trying to blame Özil pic.twitter.com/9bNQaJgIPg
Thu Aug 27 02:45:45 PDT 2015 --  Was a great night at the Heineken RWC 2015 launch last night. Some genuine legends there too!! pic.twitter.com/0NN9Rq9FcF
Thu Aug 27 02:51:58 PDT 2015 --  Looking fresh @Thomas_Burgess! #GoRabbitohs #NRLSouthsBroncos pic.twitter.com/OWc1mjmGjf
Thu Aug 27 01:13:07 PDT 2015 --  Arsenal will never spend £250m in one window because that's not how our club is run, get over it.
Thu Aug 27 01:11:10 PDT 2015 --  MORE: "Welbeck is progressing well and should be back after the international break." #NUFCvAFC pic.twitter.com/7nBZugcOx3
Thu Aug 27 01:10:10 PDT 2015 --  Game Day @SSFCRABBITOHS #GoRabbitohs
Wed Aug 26 16:22:21 PDT 2015 --  Wait, has it gotten to the stage where Arsenal Twitter are actually taking the Charlie Austin rumours seriously? Fuck sake.
Wed Aug 26 16:20:31 PDT 2015 --  Making this promise now; If we sign Charlie Austin and then win the league, I'll do a face reveal and then deactivate.
Wed Aug 26 16:20:13 PDT 2015 --  @AFCfreddie8 exactly, if some put as much effort in to supporting the team rather than telling players how shit they are we might do better!
Wed Aug 26 16:15:40 PDT 2015 --  Michael is one big 'howler' RT " @SundayChants: Michael Owen at his finest. pic.twitter.com/xyOY7lVCw7”
Wed Aug 26 15:01:02 PDT 2015 --  We've all been there. pic.twitter.com/BlHPcgvpkE
Wed Aug 26 15:42:47 PDT 2015 --  If #AFC DON'T sign anyone before the deadline I won't be annoyed or upset or angry. There, I said it... Hate away! That's my thoughts :)
Mon Aug 24 09:26:13 PDT 2015 --  “ @BreatheSport: Arsenal fans after Benzema says Real Madrid is his home... https://vine.co/v/MDivZg7Bi0n ” me right now
Wed Aug 26 15:56:08 PDT 2015 --  I hope none of my pals look at my texts cause I'm texting my pal referring her cat to a pussy and it just looks totally so wrong
Wed Aug 26 14:42:28 PDT 2015 --  United fans be like... pic.twitter.com/eY69eNzHT2
Wed Aug 26 15:53:46 PDT 2015 --  Hearing Jimmy Greaves is on the mend but needs 30k help for rehab. Wtf are @SpursOfficial and @ChelseaFC are they helping a club legend?
Wed Aug 26 15:41:20 PDT 2015 --  Manc saying Rooney is twice the player Bergkamp was... I think this outfit might just be less embarrassing.. pic.twitter.com/5KJ11zBqbg
Wed Aug 26 07:09:29 PDT 2015 --  If I had listened to the idiots on Arsenal Twitter, we'd have Samba and Williams at the back, Parker and Barton in midfield & Michu up front
Wed Aug 26 10:25:05 PDT 2015 --  A Tottenham fan on their rivalry with Arsenal and Chelsea: pic.twitter.com/k8SVtJuOIF
Mon Aug 24 06:26:36 PDT 2015 --  Zlatan reads his favourite #ZlatanFacts: pic.twitter.com/qlV2G3HfRh
Wed Aug 26 14:29:14 PDT 2015 --  By our luck we'll draw : 70s Brazil Galacticos Bayern Munich Finish top of the group Lose against Astana in the round of 16 on away goals.
Mon Mar 09 14:40:24 PDT 2015 --  FT: United 1 Arsenal 2. Disappointment for the Reds as this year's FA Cup run comes to an end. #mufclive pic.twitter.com/h9Jv3WzlEa
Sun Mar 01 19:57:08 PST 2015 --  For every RT this gets @pedigreeUS donates a bowl of food to starving dogs! RT it takes 2 secs #tweetforbowls pic.twitter.com/zeYdAvEUCj
