Sun Aug 23 04:02:03 PDT 2015 --  Our hashtag for tomorrow, Monday is #OTWOLAchieve Pls RT
Thu Aug 20 23:15:30 PDT 2015 --  Get well soon loves! #GetWellSoonNaddie pic.twitter.com/POcmlsZsGc
Thu Aug 20 23:17:03 PDT 2015 --  Naku pano nalang pag dumalaw si James. Haha! #GetWellSoonNaddie
Thu Aug 20 23:15:00 PDT 2015 --  #GetWellSoonNaddie still pretty tho pic.twitter.com/2vwG679hbI
Thu Aug 20 23:18:31 PDT 2015 --  “ @nadineftjadine: Reading James and Nadine's captions on Instagram will be like trying to solve a mysterious riddle. #OTWOLMrAndMrs”
Thu Aug 20 22:55:39 PDT 2015 --  Oh, kiss daw wifey sabi ni Clark. Abangan sa #OTWOLMrAndMrs mamaya pagkatapos ng #PangakoSaYo.… https://instagram.com/p/6omshSHEHX/ 
Thu Aug 20 22:55:41 PDT 2015 --  Oh, kiss daw wifey sabi ni Clark. Abangan sa #OTWOLMrAndMrs mamaya pagkatapos ng #PangakoSaYo. #OnTheWingsOfLove... http://fb.me/3otWpGpsk 
Thu Aug 20 22:48:21 PDT 2015 --  NADZ, PAGALING KA NA. KAILANGAN MO PANG I-KISS ANG CHEEKS NI JAMES :) #GetWellSoonNaddie -AA pic.twitter.com/zEoMNbYSIi
Thu Aug 20 22:55:46 PDT 2015 --  Get well soon Naddie. #OTWOLMrAndMrs pic.twitter.com/wotX9XadTX
Fri Aug 14 05:40:54 PDT 2015 --  #OTWOLTheMeetUp
Thu Aug 20 22:54:21 PDT 2015 --  Love you bangsie! #GetWellSoonNaddie pic.twitter.com/Rno21jRcIL
Mon Aug 17 21:38:19 PDT 2015 --  Kung may chance kang halikan si James, among part? At bakit? #OTWOLDontFallInLove
Mon Aug 17 17:56:09 PDT 2015 --  Dont fall in Love with me, business lng to walang personalan- Clark Leah be like : weeh? D nga? #OTWOLDontFallInLove pic.twitter.com/PI71tKfJgB
Mon Aug 17 21:45:58 PDT 2015 --  Alas dose naaaa! OTWOL replay time naaaa!! Episode 6 is up sa iwantv.. Binuhay mo ang katawang lupa ko #OTWOLDontFallInLove
Mon Aug 17 06:40:55 PDT 2015 --  Sabe ko na nga ba mamamatay agad lol :D Si Clark talaga ang nakadestiny sa kanya :) #OTWOLMarryMe pic.twitter.com/zaLPxUxDFu
Mon Aug 17 08:32:27 PDT 2015 --  #OTWOLMarryMe is now trending WorldWide, ranking #10 [17:32] pic.twitter.com/j4muotc3Hu
Mon Aug 17 08:34:36 PDT 2015 --  Seryoso na 'to, magaayos na si admin for the day, hahaha! #OTWOLMarryMe
Mon Aug 17 08:34:43 PDT 2015 --  WIFEY DUTIES THO!!! Bakod na bakod naddie ah xD #OTWOLMarryMe pic.twitter.com/FGtwxG9Bys
Mon Aug 17 07:09:10 PDT 2015 --  MAY MUTA DAW! Paraan pa more! Sumasapi tlga c hayme eh noh! #OTWOLMarryMe pic.twitter.com/7XoGKJmMni
Mon Aug 17 07:08:30 PDT 2015 --  RT if bagay si CLark at Leah <3 #OTWOLMarryMe pic.twitter.com/HgLlf1f9bk
Mon Aug 17 07:07:22 PDT 2015 --  Ito yung kaabang abang na scene eh :) RT sa kinilig :D #OTWOLMarryMe pic.twitter.com/gfcJk0kiYF
Mon Aug 17 07:06:37 PDT 2015 --  Pilit pilit haha :D #OTWOLMarryMe pic.twitter.com/RneN9m8ZCK
Mon Aug 17 07:04:41 PDT 2015 --  May muta ka Leah haha :D RT sa kinilig at natawa :D #OTWOLMarryMe pic.twitter.com/8i77O87fy5
Mon Aug 17 07:03:54 PDT 2015 --  Grabe makatitig si Clark <3 #OTWOLMarryMe pic.twitter.com/STTbTnwuyw
Mon Aug 17 07:03:04 PDT 2015 --  Patay ka kay Jigs pag nakita nya yan Leah. JIGSMODE nanaman. #OTWOLMarryMe
Mon Aug 17 07:03:00 PDT 2015 --  Hala inlove na agad si Clark! :D #OTWOLMarryMe pic.twitter.com/DU3hH5Qmx8
Mon Aug 17 07:02:59 PDT 2015 --  Puro hampas na ako sa katabi Ko sa OJD overload #OTWOLMarryMe
Mon Aug 17 07:02:11 PDT 2015 --  Haha ayaw machansingan si Leah :D #OTWOLMarryMe pic.twitter.com/0UHmqbYN8J
Mon Aug 17 07:01:41 PDT 2015 --  Nakakatawa ka talaga, Tita Jackie @Yescppicache #OTWOLMarryMe
Mon Aug 17 07:01:26 PDT 2015 --  Parang najejebs lang yung mga smile nila sa beach hahaha! #OTWOLMarryMe
Mon Aug 17 08:34:50 PDT 2015 --  Taob lahat sa Kilig na dala ng team Jebs at team Muta ahaha ha #OTWOLMarryMe
Mon Aug 17 06:59:30 PDT 2015 --  After maging Best in Math and History, Best in History naman sila. Achievers! #OTWOLMarryMe
Mon Aug 17 06:59:28 PDT 2015 --  Ay may pa-abs nga talaga si Mayor #OTWOLMarryMe
Mon Aug 17 06:59:15 PDT 2015 --  Gagawa sila ng history hehe :) #OTWOLMarryMe pic.twitter.com/ib1wUP7skV
Mon Aug 17 06:58:15 PDT 2015 --  Seven Thousand USD with free breakfast Ikaw Clark ha #OWTOLMarryMe
Mon Aug 17 06:57:00 PDT 2015 --  Tita Jack, hulog ka nang langit para sa dalawang 'to #OTWOLMarryMe
Mon Aug 17 06:56:16 PDT 2015 --  TOP trending now! #OTWOLMarryMe pic.twitter.com/9TSErMKzWD
Mon Aug 17 06:54:33 PDT 2015 --  Yung facial expression ni Clark nung lumuhod si Leah! Ay!! Grabehan!! #OTWOLMarryMe
Mon Aug 17 06:53:23 PDT 2015 --  I didn't see that coming! Saan humugot si Leah? #OTWOLMarryMe
Mon Aug 17 06:51:45 PDT 2015 --  Awww OJD #OTWOLMarryMe
Mon Aug 17 06:51:42 PDT 2015 --  Adik hahhaa #OTWOLMarryMe pic.twitter.com/XswTHzI2jG
Mon Aug 17 06:51:27 PDT 2015 --  70% tweeting 30% watching #OTWOLMarryMe
Mon Aug 17 08:31:46 PDT 2015 --  #OTWOLMarryMe https://twitter.com/kiraycelis/status/633274780779606016 …
Mon Aug 17 06:50:14 PDT 2015 --  Ganern? Kailangan sa leps talaga ang tingin, Clark? Haha! #OTWOLMarryMe
Mon Aug 17 06:50:13 PDT 2015 --  Hindi sincere haha :D #OTWOLMarryMe pic.twitter.com/PG7OEd2f6f
Mon Aug 17 06:49:17 PDT 2015 --  Leah, wag kang choosy. Yang mapapakasalan mo, hottie 󾍔 #OTWOLMarryMe
Mon Aug 17 06:48:27 PDT 2015 --  Four against one? Sus, Walang binatbat yan sa TOP mode ni Clark! #OTWOLMarryMe
Mon Aug 17 06:46:50 PDT 2015 --  Matakot kayo sa abs ni Clark #OTWOLMarryMe
Mon Aug 17 06:47:25 PDT 2015 --  No choice ka na Leah kay Clark ka na! :D #OTWOLMarryMe pic.twitter.com/vFNWp5rEpH
Mon Aug 17 08:32:53 PDT 2015 --  Abang-abang sa iwantv because TRUE LOVE WAITS! Mwah! #OTWOLMarryMe
Sun Aug 16 01:00:03 PDT 2015 --  Our titamommy @RinaLeeCasino with JADINE. Nako, close talaga sila. Nakakatuwa omg! #JaQuenLizDineOnASAP pic.twitter.com/3H5LOiCwqz
Sun Aug 16 00:33:48 PDT 2015 --  Hi mom and dad. So shmexy Nadz! Si Hayme pabebe ang ngiti ! #JaQuenLizDineOnASAP pic.twitter.com/kG4cb39WFi
Sat Aug 15 23:11:18 PDT 2015 --  LizDine! Thankyou sir @dearscarjames #JaDineOnASAPGameOn pic.twitter.com/UrsU3HU3jP
Sat Aug 15 22:22:37 PDT 2015 --  LET'S APPRECIATE JAQUEN FOR BEING TOO HYPE. PERO LIZDINE PARIN! #JaDineOnASAPGameOn pic.twitter.com/HYsTTVSSAU
Sun Aug 16 00:46:12 PDT 2015 --  " @yhaniks: This is too cute. Panaenae wins over Pabebe. #JaDineOnASAPGameOn pic.twitter.com/VbgjW0OSBP" I love you hayme
Sat Aug 15 22:08:24 PDT 2015 --  Finally! LizDine!!! OMG! #JaDineOnASAPGameOn pic.twitter.com/p9D6e8KOYw
Sun Aug 16 00:45:20 PDT 2015 --  JaDine is life. JaDine is love. #JaQuenLizDineOnASAP pic.twitter.com/k47uWnPaLs
Sat Aug 15 21:54:39 PDT 2015 --  Leah x Clark #JaDineOnASAPGameOn pic.twitter.com/7wCId7krS9
Sat Aug 15 21:53:11 PDT 2015 --  James × Nadine (: #JaDineOnASAPGameOn -R pic.twitter.com/9WBzfy2zI8
Sat Aug 15 21:52:38 PDT 2015 --  Fluffy!! #JaDineOnASAPGameOn pic.twitter.com/0uYFYH6MDO
Sun Aug 16 00:49:52 PDT 2015 --  Mr and Mrs Reid the hot couples! #JaDine #JamesReid #NadineLustre #SHADOWS © @naughtynate29 https://instagram.com/p/6b7yoVRHOU/ 
Sun Aug 16 00:50:21 PDT 2015 --  OUR CUTEST OTPS EVERYONE ;D #JaQuenLizDineOnASAP pic.twitter.com/b5oA6L1orH
Sun Aug 16 00:49:54 PDT 2015 --  These two are everything goals . pic.twitter.com/OGrsCUfX5f
Sun Aug 16 00:53:29 PDT 2015 --  My LizDine heart! Feels~ #JaQuenLizDineOnASAP pic.twitter.com/ErKcmMIx9l
Sun Aug 16 00:54:27 PDT 2015 --  YELLOW TEAM FOREVER #JaQuenLizDineOnASAP pic.twitter.com/89nDosM4vM
Sun Aug 16 00:54:53 PDT 2015 --  "@B00BIANAGRANDE_: LizDine @ Candy Magazine JDLQ ASAPGameOn #JaDineOnASAPGameOn pic.twitter.com/4BGa35agQj" same pose pa rin?
Sun Aug 16 00:40:58 PDT 2015 --  New wall paper para silang mag ate dito pic.twitter.com/lkLdWRbBKf
Sun Aug 16 00:54:30 PDT 2015 --  Mema hahaha #JaQuenLizDineOnASAP https://twitter.com/JadinePoet/status/632821620722167808 …
Sun Aug 16 00:52:29 PDT 2015 --  i forgot but can we actually thank asap and idk whoever people who made lizquen and jadine prod possible im so cri today
Sun Aug 16 01:00:06 PDT 2015 --  VIDEO: There's no competition here. #LizQuen at #JaDine nagsanib-pwersa on #ASAP20 for a back-to-back kilig... http://fb.me/3mMd2LaSd 
Sat Aug 15 09:41:43 PDT 2015 --  PAG WALANG PICTURE ANG JADINE AT LIZQUEN TOM! Sinasabi ko sa inyo! Matitikman nyo ang BATAS NG ISANG API xD joke 🏼️ JDLQ ASAPGameOn
Sat Aug 15 09:47:12 PDT 2015 --  King of the Gil - Quen Queen of the Gil - Liza King of the JEBS - Hayme Queen of the JEBS - Nadya HAHAHAHA PERF COMBI! JDLQ ASAPGameOn
Sat Aug 15 09:47:23 PDT 2015 --  JDLQ ASAPGameOn pic.twitter.com/CkND8M5glV
Sat Aug 15 09:49:24 PDT 2015 --  sa JDLQ natagpuan ang di mo akalaing IPAGLALABAN MO oh oh YEAH!!!! JDLQ ASAPGameOn
Sat Aug 15 09:48:53 PDT 2015 --  JDLQ ASAPGameOn Hoy pag may pic kayong apat together bukas. Promise wala nakong pakialam sa haters nyo. HAHAHA pic.twitter.com/6Fkf5nROJF
Sat Aug 15 09:49:47 PDT 2015 --  Cosmo 2011 and cosmo 2014 Oh boy @itsenriquegil @jamesxreid JDLQ ASAPGameOn pic.twitter.com/PP3JugV4C0
Thu Aug 13 21:56:29 PDT 2015 --  @akosijiggs @JoeyBalon3y oo na . Binabawi ko na. Minsan lang ako magsosorry sayo. Namnamin mo. SARREH!!!! Chirp chirp #OTWOLTheMeetUp
Thu Aug 13 21:32:49 PDT 2015 --  @AkoSiPampu ABS NYA APAT LANG AKIN WALO! EH IKAW WALA KANG ABS, KALAPATI BREAST MERON! Mmm white meat! #OTWOLTheMeetUp
Thu Aug 13 23:21:08 PDT 2015 --  @AkoSiPampu @hellobangsie LEAH KAHIT SOLAR SYSTEM IBIBIGAY KO SA YO MAGING AKIN KA LANG! #OTWOLTheMeetUp pic.twitter.com/BzCHhJ8T77
Thu Aug 13 23:55:50 PDT 2015 --  @AkoSiPampu ANAK KA NG PAMPU ANG GALENG NG SAGOT! LOLAAAA!!! MAMA!!!! SI PAMPU O!!! #OTWOLTheMeetUp
Thu Aug 13 23:47:34 PDT 2015 --  @akosijiggs be like pic.twitter.com/S3yV19Qz1P
Fri Aug 14 00:49:47 PDT 2015 --  @AkoSiPampu DI KO NATIIS I BROKE THE FOURTH WALL :-( AYOKO NA NG LECHON, ALIMASAG NA LANG KAKAININ KO! #OTWOLTheMeetUp
Fri Aug 14 01:41:45 PDT 2015 --  @imShaadaAbas PEKE LANG YUN! PARA LANG MAGKA-VISA SYA! TAPOS DIVORCE TAPOS PAGUWI NYA KAMI NA ULET! #OTWOLTheMeetUp
Fri Aug 14 05:20:01 PDT 2015 --  Di ako naka sagot aga kay lalabs a. Uy @akosijiggs nag jojoke o di mulang talag na gets? #OTWOLTheMeetUp pic.twitter.com/PdH7NNsqJp
Fri Aug 14 07:45:07 PDT 2015 --  Anyhoo, kotse mo ba to @akosijiggs ? Ayos ba? sana may marathon sa weekend. Tas iedit out na si Jigs:) Nyt errbody! pic.twitter.com/STzAlHdhYH
Wed Aug 12 18:52:19 PDT 2015 --  @AkoSiPampu HOY!BAKIT PAKANTAKANTA PA KAYO HA! CLARK PAPA-DEPORT NA KITA! #OTWOLPusongOFW @hellobangsie @jamesxreid pic.twitter.com/53aWtI40F4
Fri Aug 14 10:18:31 PDT 2015 --  17 months slaying our hearts #FlyingHighWithJaDineAt17
Fri Aug 14 10:34:02 PDT 2015 --  Math palang natapos kong reviewer. Kaloka! Self study ang peg sa last lessons. #FlyingHighWithJaDineAt17
Fri Aug 14 14:14:32 PDT 2015 --  It's a roller-coaster ride indeed. But I'm grateful with the things you two are achieving. #FlyingHighWithJaDineAt17 pic.twitter.com/7XZrHK59py
Thu Aug 13 22:55:21 PDT 2015 --  HOW MANY RTs FOR FETUS JAMES AND NADINE? #OTWOLTheMeetUp pic.twitter.com/qmcBfyf5ZE
Thu Aug 13 22:55:57 PDT 2015 --  "Love should be effortless.." -Nadine Lustre #OTWOLTheMeetUp pic.twitter.com/eluYVrcnlp
Thu Aug 13 22:59:30 PDT 2015 --  “Simplicity is the keynote of all true elegance.” ― Coco Chanel #OTWOLTheMeetUp pic.twitter.com/j8X9NMbQjg
Thu Aug 13 23:02:46 PDT 2015 --  “Style is knowing who you are, what you want to say, and not giving a damn” ― Orson Welles #OTWOLTheMeetUp pic.twitter.com/4cXtUScGOf
Thu Aug 13 23:15:35 PDT 2015 --  #OTWOLTheMeetUp Congrats again JaDines pic.twitter.com/MyEFYWyeyt
Thu Aug 13 23:46:18 PDT 2015 --  Excited for this scene ^_^ next week na ba itech? :) #OTWOLTheMeetUp pic.twitter.com/IpQMrlaCht
Fri Aug 14 01:10:23 PDT 2015 --  The layout though. Thank you po! #OTWOLTheMeetUp pic.twitter.com/8JoKJwt6js
Fri Aug 14 01:12:22 PDT 2015 --  JADINE FOR MEGA IN GREECE #OTWOLTheMeetUp pic.twitter.com/hXjYIrNfMb
Fri Aug 14 01:39:37 PDT 2015 --  James' right! :) #OTWOLTheMeetUp pic.twitter.com/rKUTsB9t7D
Fri Aug 14 01:49:28 PDT 2015 --  You go girl! #OTWOLTheMeetUp pic.twitter.com/5mpTRQ9XJZ
Fri Aug 14 01:57:04 PDT 2015 --  Jollibee Cheesy Bacon Mushroom Yum or James Reid? #OTWOLTheMeetUp pic.twitter.com/2Kjp5HoSGl
Fri Aug 14 02:21:59 PDT 2015 --  When Nadine got noticed by famous international artists. #OTWOLTheMeetUp pic.twitter.com/YtzUwxfG32
Fri Aug 14 02:35:43 PDT 2015 --  "You?!" "Ikaw?!" RT if you're excited for this scene. #OTWOLTheMeetUp pic.twitter.com/5FQnNy73Tw
Fri Aug 14 02:43:38 PDT 2015 --  How many RT for MRS. REID? :"> #OTWOLTheMeetUp pic.twitter.com/V6cPb18tJg
Fri Aug 14 02:48:10 PDT 2015 --  RT if he's your happiness #OTWOLTheMeetUp pic.twitter.com/aa5muNGlGT
Thu Aug 13 23:20:42 PDT 2015 --  Nadine as the New Brand Ambassador of Creamsilk ;D Drop dead gorg, as always! #OTWOLTheMeetUp pic.twitter.com/E1wGOJuO6q
Fri Aug 14 02:42:25 PDT 2015 --  Si James Reid kahit laging tulog nasalo lahat ng kagwapuhan ah <3 Sooo Jebs! #OTWOLTheMeetUp pic.twitter.com/mFzp9JmQoW
Fri Aug 14 02:43:04 PDT 2015 --  This is so soo cute!!! @jamesxreid @hellobangsie #OTWOLTheMeetUp https://twitter.com/jeanbie09/status/632123148125663232 …
Fri Aug 14 02:41:18 PDT 2015 --  NATATANDAAN nyo ba ito? Top and Samantha moment. #OTWOLTheMeetUp pic.twitter.com/itEsXbaSvh
Fri Aug 14 02:46:05 PDT 2015 --  Eto yun eh.. Pak na pak! Achieve na achieve! JaDine na JaDine! #OTWOLTheMeetUp https://twitter.com/angstupidyante/status/632121403093856256 …
Fri Aug 14 02:44:31 PDT 2015 --  “It’s so sweet when we’re together.” #OTWOLTheMeetUp pic.twitter.com/hFDkWyuxVG
Fri Aug 14 02:35:52 PDT 2015 --  Our OTP are pour of blessings! As fans,we always need to he thankful. Always stay humble loves. #OTWOLTheMeetUp
Fri Aug 14 02:36:11 PDT 2015 --  NO ERASE #OTWOLTheMeetUp
Fri Aug 14 02:36:55 PDT 2015 --  RT for these two cuties! #OTWOLTheMeetUp -A pic.twitter.com/M3lrSt4qSq
Fri Aug 14 02:36:32 PDT 2015 --  this picture is so beautiful ugh #OTWOLTheMeetUp pic.twitter.com/67fZLQUrEi
Fri Aug 14 02:37:51 PDT 2015 --  PARTNERS IN CRIME #OTWOLTheMeetUp
Fri Aug 14 02:39:55 PDT 2015 --  Flying high up on the wings of love #OTWOLTheMeetUp
Fri Aug 14 02:37:35 PDT 2015 --  from the meet up to the wedding, real quick! the most awaited kissing scene, hold back jds *hearts* #OTWOLTheMeetUp pic.twitter.com/N7DJ6bqE3T
Fri Aug 14 02:40:35 PDT 2015 --  "I never knew that i could love someone the way that i love you" White Dress - Ben Rector #OTWOLTheMeetUp pic.twitter.com/l0FMJAUSQH
Fri Aug 14 02:34:37 PDT 2015 --  #OTWOLTheMeetUp © pic.twitter.com/FASqkbyEC8
Fri Aug 14 02:39:50 PDT 2015 --  304k tweets na! Kaya natin ito guys. JaDines pa ba? Hahaha. #OTWOLTheMeetUp pic.twitter.com/BefGxwVel5
Fri Aug 14 02:37:38 PDT 2015 --  "But I check their legs first." -James (ctto) Where ya lookin at, baby boy? xD #OTWOLTheMeetUp pic.twitter.com/K6X8E8GlvT
Fri Aug 14 02:40:09 PDT 2015 --  Sana po our being fans will be more than just the numbers. #OTWOLTheMeetUp
Fri Aug 14 02:39:22 PDT 2015 --  Sa simula pa lang,iba na ang JaDineLand.no competition,just there for nadz&james.kaya ienjoy natin ang moment. #OTWOLTheMeetUp
Fri Aug 14 02:36:50 PDT 2015 --  JaDineLand,wag natin gawing end-all be-all ang ratings at trendspots. Happy tayo at fan nila kahit ano pa. #OTWOLTheMeetUp
Fri Aug 14 02:34:07 PDT 2015 --  Break muna. Baka ma tweet limit. #OTWOLTheMeetUp
Fri Aug 14 02:34:15 PDT 2015 --  LASHENG yata dito si Clark!! Hahaha LASING SA PAGMAMAHAL KAY LEAH!! Ctto #OTWOLTheMeetUp pic.twitter.com/MPgxuviaQf
Fri Aug 14 02:34:52 PDT 2015 --  I'm sure that you're an angel in disguise #OTWOLTheMeetUp
Fri Aug 14 02:34:57 PDT 2015 --  Sana di na gawing uso yang 1M tweets na yan. Mas gusto ko ng positive and intelligent feedback sa #OTWOLTheMeetUp we're the GameChangers,ayt
Fri Aug 14 02:31:59 PDT 2015 --  Two hundred ninty two thousand tweets as of five thirty pm! Kaya pa yan, JaDines! #OTWOLTheMeetUp
Fri Aug 14 02:32:09 PDT 2015 --  Just smile for me #OTWOLTheMeetUp
Fri Aug 14 02:27:59 PDT 2015 --  Dapat beastmode din tayo gaya ni Jigs! Magkikita na si Lea & Clark eh :( #OTWOLTheMeetUp
Fri Aug 14 02:23:27 PDT 2015 --  Never be afraid to dream. With hard work and dedication, you can make those dreams come true. @REIDersOfficial #OTWOLTheMeetUp
Fri Aug 14 02:28:37 PDT 2015 --  USO PA ANG LOOM BANDS DATI HAHA -R #OTWOLTheMeetUp pic.twitter.com/xIuDCTh5t4
Fri Aug 14 02:24:20 PDT 2015 --  Good things do not come to those who wait.They come to those who go out, work hard, and chase their dreams @REIDersOfficial #OTWOLTheMeetUp
Fri Aug 14 02:25:34 PDT 2015 --  I prefer blessed than lucky! @REIDersOfficial #OTWOLTheMeetUp
Fri Aug 14 02:26:38 PDT 2015 --  Never doubt on yourself. You're always the best. Just continue to be like that. @REIDersOfficial #OTWOLTheMeetUp
Fri Aug 14 02:30:30 PDT 2015 --  Quality over quantity. Mahal ko kayo, JaDineLand. #OTWOLTheMeetUp
