Mon Aug 17 12:31:39 PDT 2015 --  Coutinho could find Memphis Depays dad.
Thu Feb 19 10:44:14 PST 2015 --  BREAKING: Dot Cotton into 150/1 for the Lucy Beale murder after a two figure bet was taken in the East End of London.
Sun Feb 15 03:12:07 PST 2015 --  Russell Hoult - Was once suspended for wearing a West Brom top during an orgy. He is now a postman. pic.twitter.com/aeMCleJUxh
Sat Feb 14 13:53:55 PST 2015 --  tonight is perfect for @alanob1993 to use his famous pick up line "Will you be my Alantine and ill give you the V later"
Wed Feb 11 12:27:41 PST 2015 --  If Chelsea don't win this, I'll upload a Vine of me buttering my own toe.
Sat Feb 07 07:50:02 PST 2015 --  The best ever? pic.twitter.com/pcoMdynshe
Sun Feb 01 07:44:30 PST 2015 --  pic.twitter.com/sQOQSNsjzB
Sun Feb 01 06:13:58 PST 2015 --  Leigh Griffiths looks a bit like an ultrasound
Sat Jan 31 08:26:15 PST 2015 --  BREAKING: Daniel Sturridge returns! https://vine.co/v/OtXZW1H23V3 
Thu Jan 29 09:34:10 PST 2015 --  "What are you doing for Valentines Day?" pic.twitter.com/WXaIUJLV1W
Thu Jan 29 09:10:26 PST 2015 --  I scored 91% on "The Balls.ie Premier League Stickers Quiz" on Qzzr! Can you match that? https://www.qzzr.com/quiz/the-balls-ie-premier-league-stickers-quiz/fi9xdWl6emVzLzM1OTc0 … #quizzes via @Qzzr_
Tue Jan 27 14:31:20 PST 2015 --  Snapchat is ruined FOREVER
Sun Jan 25 13:56:29 PST 2015 --  Role Models pic.twitter.com/qwGqk4W6HC
Sat Jan 24 16:14:03 PST 2015 --  Napoleon Dynamite pic.twitter.com/QjwRUpdT5Z
Sat Jan 17 05:27:32 PST 2015 --  Happy Gilmore pic.twitter.com/3oyONXgCgs
Mon Jan 19 13:12:40 PST 2015 --  21 Jump Street pic.twitter.com/uIz4OQwpGw
Fri Jan 23 06:49:54 PST 2015 --  21 Jump Street pic.twitter.com/5ynwdIUl3r
Fri Jan 23 15:42:16 PST 2015 --  Sherlock Holmes pic.twitter.com/uAlSnWjfEf
Fri Jan 23 16:45:16 PST 2015 --  Family Guy pic.twitter.com/aAetnljSYE
Fri Jan 23 14:09:11 PST 2015 --  Things that aren't cheeky: 1) Nandos 2) A night out 3) Your new haircut 4) A gym session 5) A McDonald's 6) A pint 7) Your nap 8) Nandos
Sat Jan 17 10:38:20 PST 2015 --  Borini celebrating scoring his first league goal of the season for Liverpool tonight: https://vine.co/v/OdP93dL0BHE 
Sat Jan 17 08:55:37 PST 2015 --  Alan Pardew. pic.twitter.com/qogmGW8qjY
Fri Jan 16 06:37:54 PST 2015 --  No ragrets
Thu Jan 15 03:33:09 PST 2015 --  Crazy to think that Coutinho is the same age as Messi was at 22.
Thu Jan 08 06:53:37 PST 2015 --  "Love is stupid. Lucky I'm not capable of it" wise words of @dkelleher93
Thu Jan 01 15:01:15 PST 2015 --  Welcome to MLS, Stevie Gee. pic.twitter.com/V42TFkwfry
Thu Jan 01 13:21:12 PST 2015 --  If i get mumps i will kill alan
Thu Jan 01 12:36:20 PST 2015 --  pic.twitter.com/BxlU1DnmXU
Thu Jan 01 12:05:35 PST 2015 --  “Are you sexually active?” [Flashback to that one time I sat in a chair a girl was just sitting in and it still felt warm.] “Yes.”
Thu Dec 25 11:09:05 PST 2014 --  She wanted "Frozen stuff" for Christmas pic.twitter.com/IEZNznWQUj
Mon Dec 15 10:06:18 PST 2014 --  The Rock ft. Jeff. #mynameisjeff https://vine.co/v/OvtXWpV05TE 
Sun Dec 14 10:00:07 PST 2014 --  Hey, brother.
Mon Dec 01 12:08:35 PST 2014 --  Can't a guy call his mother pretty without it seeming strange?
Thu Nov 27 12:42:53 PST 2014 --  “@ChampionsQuoted: Freddy Adu, speaking in 1981. http://twitter.com/ChampionsQuoted/status/538057433403621376/photo/1pic.twitter.com/bsnCXFaDFT ” @Djorgan I thought you'd enjoy this for some reason
Wed Nov 26 07:03:48 PST 2014 --  Dammit, Kelly! pic.twitter.com/fI7HRbj1I9
Tue Nov 25 13:41:32 PST 2014 --  You know what they say, never ever bet on shakhtar Donetsk :/
Tue Nov 25 13:29:22 PST 2014 --  Alonso did that on purpose, because he's just such a sound guy. pic.twitter.com/rEH8orq74e
Wed Nov 19 13:46:12 PST 2014 --  Finally gave into the college authority and paid my cap fee after they robbed me of my blackboard privileges pic.twitter.com/BPybKqhdBe
Sat Nov 15 13:40:02 PST 2014 --  " @BBCSporf: QUALITY: Former Germany goalkeeper Tim Wiese has officially made his WWE debut! pic.twitter.com/7O7xr0Rjz5" @Chogwiin
Fri Nov 14 04:20:39 PST 2014 --  #paramedics
Thu Nov 13 08:09:18 PST 2014 --  BREAKING: Abou Diaby out for 3 months with a hamstring injury. In other news grass is green and water is wet.
Mon Nov 10 18:11:10 PST 2014 --  #Filmswithonelettermissing Winnie The Poo - in this version winnie is an actual piece of shit
Mon Nov 10 17:03:25 PST 2014 --  #Filmswithonelettermissing Mr. Doubtfire Robin Williams doesn't give a fuck and just changes his name instead
Mon Nov 10 16:54:05 PST 2014 --  #Filmswithonelettermissing Ridesmaids - Chris o dowd goes on the prowl but only has sex with maids
Mon Nov 10 16:02:27 PST 2014 --  #FilmsWithOneLetterMissing Tar Wars - traveller families compete to tar driveways at the cheapest price
Mon Nov 10 11:46:04 PST 2014 --  Never did I think I'd see the day when @kevfulignati93 gives me homework
Sun Nov 09 14:39:51 PST 2014 --  Tommy is defo the real winner anyway #VeggieDelight
Sun Nov 09 14:37:05 PST 2014 --  Can't believe Darren is dead #LoveHate
Sat Nov 08 14:20:58 PST 2014 --  Format is a 5 group round robin and first game is the wank vs fulignati
Sat Nov 08 14:20:23 PST 2014 --  The FIFA Suicide Cup begins in Villa Wanko
Fri Nov 07 17:51:50 PST 2014 --  Did I actually just watch every single bit of Wild Child?
Thu Nov 06 08:19:45 PST 2014 --  When you have no idea what to do on a test pic.twitter.com/YJ42TpXULl
Tue Nov 04 03:33:55 PST 2014 --  Didn't work out as planned pic.twitter.com/BjjhCEC6CH
Tue Nov 04 02:42:24 PST 2014 --  I sneak back to Madrid with Liverpool players. I hope no one notice! pic.twitter.com/hXu36XNdda
Wed Oct 29 14:22:42 PDT 2014 --  "Never in f*cking doubt, pal. Never in f*cking doubt." pic.twitter.com/OXp1htERil
Sat Oct 25 10:57:05 PDT 2014 --  Dercs wondering if they still have dial up Internet in kerry?
Sat Oct 25 08:31:19 PDT 2014 --  Kilorglin for the night with the boy, the derc and the wank
Wed Oct 22 12:34:06 PDT 2014 --  Smell of Istanbul off this no?
Wed Oct 22 10:12:14 PDT 2014 --  Going all out classic Liverpool fan tonight, gonna wear the kit and everything
Wed Oct 22 06:10:01 PDT 2014 --  Quality story from Jamie Carragher.... pic.twitter.com/DbwKWD4H1Z
Sat Feb 22 09:42:36 PST 2014 --  hope the queen has a heart-attack after the match, that'll ruin their celebrations!
Sat Mar 01 12:01:57 PST 2014 --  Hooley is staying in a B&B in Mayo aka just a randomers house, pulling the chicken off himself in their spare bedroom while they watch tv
Tue Mar 18 15:07:39 PDT 2014 --  @kevfulignati93 ring up again tomorrow, different person different quote! then ring up with a different voice! why? different quote!
Wed Apr 30 13:39:05 PDT 2014 --  Nothing looks more retarded than some fool taking a photo at a match with an iPad. Taking a photo with an iPad anywhere really.
Tue Sep 09 06:56:07 PDT 2014 --  currently doing whats knows as a chris mintern and listening to music out loud off my laptop, at least nobodys in bed or watching tv though
Sat Sep 06 11:47:56 PDT 2014 --  Iain Dowie looking like he's about to drop the sickest beat of 2014... pic.twitter.com/DkrgAhpPJO
Fri Sep 05 14:02:21 PDT 2014 --  just helped ronan put on his bed covers in Germany, my help and advice knows no bounds
Thu Sep 04 11:33:59 PDT 2014 --  Image of the day: Horse rears up at picturesque Laytown http://indo.ie/B6g7b  pic.twitter.com/ydjlsMrlNs
Wed Sep 03 13:53:11 PDT 2014 --  "Massive session at the gym!" https://vine.co/v/MY36etVVnzz 
Wed Sep 03 14:01:18 PDT 2014 --  More entertaining than England.Paddy gets carried away in a charity game at The Aviva against @Irishampfootbal. https://amp.twimg.com/v/d5b90112-52c9-4b46-ac96-a0c8c5777092 …
Tue Sep 02 14:37:31 PDT 2014 --  BRILLIANT: Alberto Moreno's goal feat. Vince McMahon. pic.twitter.com/PdiNwqpxcM
Tue Sep 02 08:57:52 PDT 2014 --  Jim White's back on air the day after the transfer deadline, has the face of someone who's just found a pube in his soup
Sun Aug 31 06:18:05 PDT 2014 --  I don't know how it's possible but Liverpool look better going forward and worse defending this season
Wed Aug 27 09:44:57 PDT 2014 --  #WhopperInParis pic.twitter.com/sZzhQ9NrNl
Tue Aug 26 21:41:32 PDT 2014 --  Can't believe I sunk to @Ronan_Scully levels and sold my clean bed sheets for a fiver
Tue Aug 26 21:25:26 PDT 2014 --  " @Dazzgill: First 7 games of season all winnable #MUFC" lol
Mon Aug 25 17:32:05 PDT 2014 --  Mr Wank is the champ #VPabortioncup through the most bizarre circumstances #ChampWank
Mon Aug 25 17:07:08 PDT 2014 --  Final match up is the chog vs the wank #VPabortioncup #AbortionWeek
Mon Aug 25 16:44:19 PDT 2014 --  Semi finals jack vs chog and Roy vs wank #VPabortioncup
Mon Aug 25 14:59:47 PDT 2014 --  Group B sees the bone and the wank leading with 3 points each with jack and kev without a point #VPabortionCup
Mon Aug 25 14:58:35 PDT 2014 --  Group A standings Roy leads on 3 points while Eddie and myself trail on a point apiece whopper is up for the wooden spoon #VPabortionCup
Mon Aug 25 14:46:18 PDT 2014 --  Alwank beats jack in the group b opener. Also we've received our first noise complaint from the neighbours #VPabortionCup #AbortionWeek
Mon Aug 25 14:36:29 PDT 2014 --  How I'll feel leaving the villa https://vine.co/v/MlAVOug0uJb  #AbortionWeek
Mon Aug 25 14:31:28 PDT 2014 --  It's gonna be a long night folks. Stay tuned for live updates #VPabortionCup
Mon Aug 25 14:29:40 PDT 2014 --  Roy whacks shit hooley in the other game in group a #VPabortionCup #AbortionWeek #ShitHooley
Mon Aug 25 14:17:29 PDT 2014 --  First game a tight 1-1 draw between damo and chog in the #VPabortionCup #AbortionWeek
Sat Aug 23 11:02:54 PDT 2014 --  Hi all, @aoife_o_c here. Roy had a great match today, his team won 3-nil. I'm very proud of him. He's going to have a great season
Fri Aug 22 10:50:02 PDT 2014 --  We may not be perfect, but I just think that we're perfect for each other. @alanob1993 @Carolann_Hunter @cahill_kev pic.twitter.com/UpvytJQ9Vy
Tue Aug 19 23:27:27 PDT 2014 --  Johnny cash says to me "son gods gonna cut you down" "Mr. Cash I'm already cut" says I
Mon Aug 18 05:06:49 PDT 2014 --  Ronans eating Special K with water instead of milk the poverty stricken bastard
Sun Aug 17 14:23:47 PDT 2014 --  I'd love an ice cream to go with this banter pic.twitter.com/5ICKoQyPuA
Sun Aug 17 14:09:40 PDT 2014 --  No we're having great banter pic.twitter.com/eqR4oaWfQR
Sat Aug 16 14:35:15 PDT 2014 --  It's time! pic.twitter.com/JLSOmQguRl
Wed Aug 13 09:29:39 PDT 2014 --  Ribery announces his international retirement, here he is on PES 2005. pic.twitter.com/XtgzIs3vVT
Tue Aug 12 19:30:08 PDT 2014 --  But I loved it #harris
Tue Aug 12 19:03:19 PDT 2014 --  Some fella called Harris made me take snuff and he really fucked me up
Mon Aug 04 10:57:00 PDT 2014 --  Lord Bendtner... pic.twitter.com/J8jxDrcXrQ
Tue Jul 22 12:58:25 PDT 2014 --  Can't believe I've to pay for the fat ugly contact @Ronan_Scully to get into Havanas just cause he cheated at FIFA #gay #suicide #ronan
Fri Jul 18 06:00:04 PDT 2014 --  damo drank soggy lumpy milk this morning #Delighted
Tue Jul 01 16:04:45 PDT 2014 --  Me and Hooley are in reardons. ........Alone
Tue Jul 01 06:34:49 PDT 2014 --  WINNER: Worst World Cup newspaper headline. pic.twitter.com/qUusIeT9aC
Sun Jun 29 07:43:42 PDT 2014 --  when does lent start? my little todge is gonna be worn off...
Fri Jun 27 11:07:08 PDT 2014 --  Final warning in the villa from mr landlord #whatevenisnoise
Fri Jun 27 02:50:00 PDT 2014 --  Why the fuck are my hamstrings tight
Thu Jun 26 09:06:47 PDT 2014 --  @Ronan_Scully happy after catching his dinner for the night #rathunting pic.twitter.com/fXBzrgOR3i
Thu Jun 26 09:40:08 PDT 2014 --  Can't wait to whisper sweet nothing's to @Doolchair and @emilybeechinor tonight at derulo #EverybodysLookingForLoveUhOhhh #ThatsMySong
Tue Jun 24 12:45:52 PDT 2014 --  Damo watered down our washing up liquid to save money, what a cheap prick. Nobody knows how much to use now things are crazy
Sat Jun 21 13:22:35 PDT 2014 --  Ghana are so fun and friendly
Wed Jun 18 03:57:25 PDT 2014 --  New shift started for the Noise Police pic.twitter.com/7Dd2HsISdC
Wed Jun 18 03:57:01 PDT 2014 --  Noise Police off duty pic.twitter.com/xT8QhWaVNR
Mon Jun 16 08:09:31 PDT 2014 --  lol jk, got a 2.1 cos im not a retard
Mon Jun 16 08:06:40 PDT 2014 --  shit failed 2nd year, back in august #sadface
Thu Jun 05 06:20:17 PDT 2014 --  There's wifi in the villa!!!!
Wed May 28 13:18:11 PDT 2014 --  Chesney is definitely gunna have a quick go off Tina's rotting corpse the dirty fox
Sat May 24 12:08:21 PDT 2014 --  REVEALED: The person who sold the horse placenta to Atletico Madrid. pic.twitter.com/81nHsM0VUI
Wed May 21 15:18:58 PDT 2014 --  Everyone who sees me tomorrow will all ask the same question, and the answer to that question is "Yes, yes I did get a lovely haircut"
Wed May 21 14:54:19 PDT 2014 --  think @ChrisMor16 has commented on every single post on bis fb page that there has ever been ever #EVER
Sun May 18 17:07:32 PDT 2014 --  Went drinking, didn't end up soaking wet in Wilton #success
Sat May 17 14:51:36 PDT 2014 --  "Dude, we're going straight to Pound Town. Population 3. chief import, beer. chief export, swaaaaag" -Ders
Sat May 17 11:33:25 PDT 2014 --  ARSENAL ARE THE FA CUP CHAMPIONS OF THE WORLD!
Wed May 14 11:57:37 PDT 2014 --  Rakitić' feels incredible to say. Rakitić. "Who's your friend, love?" "Rakitić, Mum. Rakitić. "Is he staying for dinner?" "Rakitić."
Mon May 12 06:02:34 PDT 2014 --  Tom Cleverley isn't going to the World Cup.... pic.twitter.com/So8KIDXecm
Mon May 12 02:33:53 PDT 2014 --  Strangest Premier League season ever...? pic.twitter.com/9yNrTtFX4s
Sat May 10 05:47:29 PDT 2014 --  Look at this lad on Channel 4 Racing, looking ready to slit the throat of presenter Tanya! pic.twitter.com/lJRJhn9qTQ
Wed May 07 12:39:06 PDT 2014 --  I'd give hooleys left arm for a villa win here
Tue May 06 12:04:53 PDT 2014 --  RIP Damo's ginger tash.... Loved by many and will be missed by all #sadface
Tue May 06 11:40:46 PDT 2014 --  He's nailed it! pic.twitter.com/bgdP6knYMK
Mon May 05 17:33:04 PDT 2014 --  I won't sleep until I find out who create the @VillaPaolo_ account
Mon May 05 15:08:56 PDT 2014 --  avoiding match of the day like the plague
Mon May 05 14:41:07 PDT 2014 --  All this Liverpool abuse is making me very emotional so could ye all stop please
Mon May 05 14:31:04 PDT 2014 --  Do ye seriously think I'm gonna study after that sporting tragedy?
Thu May 01 17:00:39 PDT 2014 --  think im gonna go for a 14 hour sleep now
Thu May 01 04:16:19 PDT 2014 --  Out tonight whaaaaaaaaat #HeReturns
Wed Apr 30 14:13:46 PDT 2014 --  First Sunderland & now Atlético. Mourinho has been beaten more times at home than an Everton fans wife.
Wed Apr 30 12:33:07 PDT 2014 --  There's not a man woman nor child who didn't want to see that goal
Tue Apr 29 15:39:45 PDT 2014 --  i'm blue da ba dee da ba Damo pic.twitter.com/99ch4pu6zr
Sun Apr 27 14:14:58 PDT 2014 --  Avoiding Match of the Day like Giggs avoids listening to his conscience.
Thu Apr 24 15:13:38 PDT 2014 --  He say: I hv dem feels. Bro say:Nooooo He say:I dnt care.I act on feels nyway. Bro say:h8 u He say:Idk. Feels. LIK DIS IF U CRY EVERTIM.
Thu Apr 24 11:45:38 PDT 2014 --  FACT: Guillem Balagué and Clarke Carlisle invented football in 1992, the games has been enjoyed by millions around the world ever since.
Tue Apr 22 14:50:51 PDT 2014 --  He will serve a short ban for bad behaviour, but we all await for the return of the king. pic.twitter.com/Uj373kh04p
Tue Apr 22 13:23:52 PDT 2014 --  Gabi booked and will miss the next leg. pic.twitter.com/uexPthkzCO
Tue Apr 22 12:33:35 PDT 2014 --  The combined ages of Frank Lampard and Mark Schwarzer is a whopping 161.
Mon Apr 21 07:07:01 PDT 2014 --  Moyes facing the sack pic.twitter.com/pVmCj0RSVE
Sat Apr 19 09:52:36 PDT 2014 --  Conor wickham must be a Liverpool fan
Wed Apr 16 16:10:12 PDT 2014 --  A&E is underrated
Wed Apr 16 15:35:58 PDT 2014 --  At least one of the lads has joined me on the aul alcohol related trips to CUH leaderboard,still leading the way with 2 visits though. #Damo
Wed Apr 16 13:54:37 PDT 2014 --  Bale puts the ball in the net but the referee remembers how shit his goal celebration is so rules it out. Harsh but fair.
Wed Apr 16 12:03:20 PDT 2014 --  The damo lives on
Tue Apr 15 10:42:19 PDT 2014 --  I have to go out tonight since Jesus went and cancelled Thursday on me #allhisfault
Tue Apr 15 09:29:49 PDT 2014 --  It is hard to breathe in such funny situations! pic.twitter.com/FzwscKOxp3
Sun Apr 13 15:03:55 PDT 2014 --  Miguel, you're powering up the leaderboard! "Am I?" pic.twitter.com/astue3rZsl
Sat Apr 12 13:10:02 PDT 2014 --  Just beat my 6 year old sister in soccer and the bitch starts crying claiming " her leg was sore" #SoreLoser #DamoWinsEverytime
Fri Apr 11 10:58:13 PDT 2014 --  If my face wasn't all scrapes and bruises my life would be so much better
Thu Apr 10 14:46:34 PDT 2014 --  Hooleys changed #beachnerd
Thu Apr 10 14:36:42 PDT 2014 --  Hooley is a woman pic.twitter.com/BiukMmvTY5
Wed Apr 09 16:27:03 PDT 2014 --  My reaction when i heard aoife brought carolann out for dinner for all of her LIFTS TO COLLEGE pic.twitter.com/44ssuAfGnc
Wed Apr 09 14:13:00 PDT 2014 --  Moyes took over the champions AND spent £70m. If that was Brendan, he'd have won the Prem, World Cup, The Voice & headlined Glastonbury.
Sun Apr 06 18:24:19 PDT 2014 --  I dunno about about you but the streaks goin to 22
Sat Apr 05 03:20:56 PDT 2014 --  The Gorgeous Giroud, looking confident. #PaddyNational pic.twitter.com/sBO5gfk9j1
Fri Apr 04 10:14:42 PDT 2014 --  Ladies Day today at Aintree pic.twitter.com/0in7GfwbKK
Wed Apr 02 16:42:58 PDT 2014 --  Just matched a dog on tinder #conference
Wed Apr 02 04:21:16 PDT 2014 --  @chelsfergo @VincentHooley let us know if you need any assistance Vince
Wed Apr 02 04:15:48 PDT 2014 --  “ @VincentHooley: @chelsfergo your not an idiot ur a skank” thanks Vince, your raggy tash goes lush with your wonky teeth x
Mon Mar 31 07:00:55 PDT 2014 --  Anyone watch Match of the Day 2 last night? Lawro was on some form. Sublime shirt AND full of the bantz. https://vine.co/v/MeMjJhO2K0F 
Sat Mar 29 09:57:54 PDT 2014 --  WE ARE GONNA WIN THE LEAGUE https://vine.co/v/MqwUK5Xi7AH 
Wed Mar 26 14:18:12 PDT 2014 --  Adam Johnson on for Sunderland... pic.twitter.com/eF3MD9a7li
Wed Mar 26 13:48:50 PDT 2014 --  Look what my newsfeed has come to after yesterday's frape #Alwank pic.twitter.com/xDgMWczrVW
Tue Mar 25 13:44:31 PDT 2014 --  LOL! pic.twitter.com/GKVIKjRsZZ
Mon Mar 24 13:40:01 PDT 2014 --  So good we're tweeting it twice! The headline of the weekend: pic.twitter.com/7OuLnqC7oX
Sun Mar 23 17:13:09 PDT 2014 --  What are the odds @Doolchair will be late for our 9 o clock lecture in the morning #LazyChair #DoolWhat #Doolchair
Sun Mar 23 13:08:35 PDT 2014 --  i just scored a beauty there in el classico
Sun Mar 23 07:03:22 PDT 2014 --  North London really is the AIDS victim of football.
Sat Mar 22 13:11:15 PDT 2014 --  Weird Saturday night group with @Ronan_Scully @CrimsonMintern @Chogwiin @BetterOffMalone and enda, better not be awksers #fingerscrossed
Sat Mar 22 12:43:54 PDT 2014 --  Does anyone know how to get off cloud 9? I've been up here since Brendan took over.
Sat Mar 22 09:32:45 PDT 2014 --  Solskjaer: "I'd take Rooney and RVP over Suarez and Sturridge any day." pic.twitter.com/xd5h2XUlzy
Sat Mar 22 06:16:49 PDT 2014 --  Kieran Gibbs right now... pic.twitter.com/koEapjsnTq
Fri Mar 21 09:55:48 PDT 2014 --  I feel like I should shower but I'm not going to, that ok?
Thu Mar 20 14:57:41 PDT 2014 --  It's mothefuckin shirt night, the t-shirts and the girlfriends are at home!!! #shirtnight #TheBoyssssssss pic.twitter.com/SaXLOUXfIu
Thu Mar 20 13:01:18 PDT 2014 --  @Ronan_Scully @Djorgan @royfitz5 @Doolchair @dkelleher93 @alanob1993 @Chogwiin @kevfulignati93 @Lucas_Hickey SHIRT NIGHT FOR THE BOYS!!!!!!!
Wed Mar 19 13:34:34 PDT 2014 --  David Moyes is a football genius
Tue Mar 18 16:07:01 PDT 2014 --  What an unexpected twist #mentalist
Tue Mar 18 15:38:37 PDT 2014 --  The mentalist is the only good thing about being in on Tuesday, as in the only good thing and nothing else
Sat Mar 15 17:18:00 PDT 2014 --  Going through my old favourites there has made me realise what kind of a fucked up weirdo @royfitz5 really is
Sat Mar 15 09:57:23 PDT 2014 --  Getting closer pic.twitter.com/qTGuX8tiWg
Wed Mar 12 02:09:49 PDT 2014 --  Can't believe Jack and Carolann met last night hahaha #werefriendsforsolong #willbeawkwardnow
Tue Mar 04 05:13:05 PST 2014 --  RT #SupportOurJockeys for the chance to get your @ handle on a saddle cloth in the Racing Post Arkle #CheltFest - pic.twitter.com/TaQk9vXxB3
Sat Mar 01 11:39:09 PST 2014 --  LOL pic.twitter.com/UrAjL6qDBL
Wed Feb 19 13:48:15 PST 2014 --  That is all pic.twitter.com/NkeHW5G83F
Wed Feb 19 13:42:44 PST 2014 --  Love when bill call giles the "senior analyst"
Mon Feb 17 10:06:15 PST 2014 --  So funny that Christine met out Jave tutor hahahah :L
Sun Feb 16 13:20:39 PST 2014 --  Last time I was sick was rag week last year and guess what I'm fucking sick again
Sat Feb 15 13:30:13 PST 2014 --  Did You Know That??? pic.twitter.com/G4tsCiR798
Fri Feb 14 02:09:16 PST 2014 --  Why is jacks brother called sylveste though #abigchest #aladysleg
Wed Feb 12 09:45:08 PST 2014 --  Gonna have to cancel the festival we had planned pic.twitter.com/Gpt9d1GksE
Wed Feb 12 06:54:05 PST 2014 --  Cristiano Ronaldo has now scored in every single minute of a football game! pic.twitter.com/hM5LE5M71G
Tue Feb 11 08:28:42 PST 2014 --  One of the toughest decisions of my childhood... pic.twitter.com/vNPRZh79MR
Mon Feb 10 12:59:50 PST 2014 --  David Hooley needs me way more than I need him
Sun Feb 09 09:28:56 PST 2014 --  Fucking incredible execution, 10/10. pic.twitter.com/8KknabU7c0
Sun Feb 09 09:53:33 PST 2014 --  Uh oh
Fri Feb 07 16:25:01 PST 2014 --  Not one bit happy that @Carolann_Hunter now knows where I live #creep
Sun Feb 02 13:26:17 PST 2014 --  So what's all this talk about some big bowl on tonight?
Fri Jan 31 15:23:17 PST 2014 --  Would be Liverpool to be shit at deadline day
Fri Jan 31 11:24:03 PST 2014 --  Bakary sagna puts himself in his own one to eleven #cheekybakary
Thu Jan 30 20:28:45 PST 2014 --  The yom goin to work, me Roy and derk gointo bed #classicfitzgibbonfun
Thu Jan 30 20:05:51 PST 2014 --  WE just wanted to see pic.twitter.com/vZx64MbYkE
Thu Jan 30 20:05:05 PST 2014 --  They just wanted to see pic.twitter.com/4JW8GPl6j2
Thu Jan 30 20:03:19 PST 2014 --  Just wanted to see if it was comfortable pic.twitter.com/zjn1jSZHHW
