Sat Aug 29 09:37:57 PDT 2015 --  *̜ الجميلين أربعه , انت و عطرك وشفتك و نظرتك (=| pic.twitter.com/A0TWZ4cshd
Fri Aug 21 19:44:14 PDT 2015 --  هي كل الحكاية... pic.twitter.com/JN3jgKC2yk
Mon Aug 17 15:08:42 PDT 2015 --  جحيم الكامب نو بانتظاركم يا بلباو و اسألوا الارسنال و الميلان وعاهرات مدريد والله ماشفنا غير ادوريز وهوا يشقكم pic.twitter.com/9QlMpYrMIf
Mon Aug 17 15:06:27 PDT 2015 --  الآن يحتاجونك ي ميسي الآن هل تُلبي النداء يا ليو ؟ على ذكرى ميلان والارسنال؟ حتماً ستبكين يا بيلباو .. تبغوها بضحكه ولا بدون ؟
Sat Aug 15 19:32:42 PDT 2015 --  مع الفجر مع النوري .. وحين يقوم عصفوري .. صباح الخيري ....
Sat Aug 15 16:36:04 PDT 2015 --  افجر نفسي يعني وين اروح .. pic.twitter.com/QttY3Fpd4I
Sat Aug 15 16:29:56 PDT 2015 --  كل الحكاية اشتقت لك .... pic.twitter.com/ZHhnNZog4e
Sat Aug 15 09:41:06 PDT 2015 --  كوفاسيتش ..... ممكن خلف المهاجمين .. ممكن ????
Sat Aug 15 07:07:00 PDT 2015 --  هنيئا لأنثى يحبها رجل غيووور pic.twitter.com/b828nUkLS9
Sat Aug 15 06:50:55 PDT 2015 --  pic.twitter.com/oAdEfW9uxF
Fri Aug 14 19:31:17 PDT 2015 --  pic.twitter.com/HeoZ4gtQDj
Fri Aug 14 03:45:19 PDT 2015 --  pic.twitter.com/scMjwq2Wt7
Thu Aug 13 07:28:19 PDT 2015 --  pic.twitter.com/Zyu7PnUAjk
Thu Aug 13 07:12:09 PDT 2015 --  pic.twitter.com/5BHAn9Oxlj
Thu Aug 13 06:04:45 PDT 2015 --  «كن دائما انت ولا تحاول ان تكون أحداً آخراً! فجميع مقاعد الحياة قد امتلأت ولديك مقعد واحد فقط شاغر، هو لذاتك!» #تطوير_الذات
Wed Aug 12 15:14:00 PDT 2015 --  اعتقد ان شهر شوال شهرين مو شهر...
Tue Aug 11 05:57:16 PDT 2015 --  مُعظم الأوجاع التي نتجرعُها اليوم هي بسبب : الثقة العمياء التي منحناها بالأمس ..
Tue Aug 11 05:46:44 PDT 2015 --  pic.twitter.com/jobjr3cJDm
Mon Aug 10 17:54:47 PDT 2015 --  لما أشرح سالفه طويله لأحد واخر شيء يقول ما فهمت pic.twitter.com/cF8DVKEksP"
Mon Aug 10 17:53:05 PDT 2015 --  الشركات الصينيه معروفه بتقليد الماركات المشهورةهذي بعض النماذج للتقليد مع بعض الاختلافات البسيطه بالاحرف او الشعار pic.twitter.com/zXsR6TwZFq"
Mon Aug 10 13:55:39 PDT 2015 --  الاولى انك تنشر هذا المبدا في بلدك بدل ان تحاول نشره في بلدان هي نظيفة اصلا #خليجيون_ينظفون_شوارع_النمسا
Mon Aug 10 07:40:19 PDT 2015 --  pic.twitter.com/hZRMOmrD1x
Sat Aug 08 13:57:42 PDT 2015 --  كورة القدم بلا ميلان ليست ممتعه ليست مشوقه ليس فيها مايجذب الانتباه ليست كرة قدم حقيقة #weareacmilan pic.twitter.com/A6TeEU1WEc
Mon Aug 10 02:52:10 PDT 2015 --  هل لي بـ فتاة ذات جسم رشيق وصدر ممتلئ ومؤخرة بارزة تأتي للمطبخ لا داعي للقلق أناا لا أتحرش أناا جائع فقط
Sun Aug 09 20:26:00 PDT 2015 --  على الله تكون احسن من زاباتا والفرقة اللي معاه pic.twitter.com/Zzkganc86E
Sun Aug 09 20:04:59 PDT 2015 --  صباح الخير للجميع ...
Sun Aug 09 20:03:35 PDT 2015 --  pic.twitter.com/egiV822xL9
Sat Aug 08 11:19:25 PDT 2015 --  يشوف مغرد معين وش يقول وعليهـا يبني قناعـاته وآراءه . . مُسيـرين !!
Sun Aug 02 07:30:10 PDT 2015 --  طالما أدركت أنك صيادة ماهرة .. وأنا كالعادة سمكتك الثملة ~ فطعم عينيك ناجح بالفعل ..وصنارتك لا تخطا .>>
Fri Jul 31 09:40:20 PDT 2015 --  تيقن ان لكل إنسان طريق للنجاح يختلف عن الاخرين وليس شرطا ان الجميع يوصلون لها بنفس الطريقة كما بصمة اليد تماما .. لذا عليك ان تجد طريقك
Wed Jul 22 10:15:04 PDT 2015 --  Don't let media define the way you see things. pic.twitter.com/bFin7oaL1y
Thu Jul 23 08:29:14 PDT 2015 --  dيبقى زيدان الاغلى @Gazzetta_AR
Sat Jul 18 06:52:40 PDT 2015 --  كل يوم أزداد قناعة بأنه لا حرية لمن لا يعترف بالحرية..ولا حقوق إنسان لمن لا يعترف بالإنسان من الأساس..
Wed Jul 01 12:23:27 PDT 2015 --  ما حقيقة تفاوض اليوفي مع تياغو سيلفا .. @HYbeIN
Mon Jun 29 12:16:33 PDT 2015 --  يورنتي 4 مليون !!!!!!!!!!! @Gazzetta_AR
Mon Jun 29 12:14:25 PDT 2015 --  good luck@Glazzetta_AR
Wed Jun 24 14:10:51 PDT 2015 --  لو ابرا و كافاني ... @Gazzetta_AR
Fri Jun 19 13:31:49 PDT 2015 --  رائع التعليق pic.twitter.com/fncblAGShZ
Thu Aug 07 05:42:05 PDT 2014 --  pic.twitter.com/uP1oMkbIX0
Thu May 28 20:08:39 PDT 2015 --  هذا الحب الصح http://twitter.com/Mayaadaaa/status/497013019080015872/photo/1pic.twitter.com/1tWlwxI55e 
Tue Apr 14 16:45:55 PDT 2015 --  في آخر 25 سنة ومدة ربع قرن كاملة لاأحد حقق 5 أبطال و 8 نهائيات مثل ميلان . افخر ياميلاني بفريقك pic.twitter.com/jxDjigBcGr
Wed Apr 01 11:41:53 PDT 2015 --  #ساعة_مع_طارق_الحبيب الذي يشمت فيك وقت ألمك ويذكرك فى عيوبك عند أخفاقك ، لا يستحق ان تمنحه أسرارك او ثقتك .
Tue Mar 31 05:25:21 PDT 2015 --  اهم مباريات اليوم : #ايطاليا_انجلترا #اسبانيا_هولندا pic.twitter.com/SFEKwPc3Z5
Sun Mar 29 09:08:07 PDT 2015 --  كل نصيحة تبذلها لأحد بأسلوب حسن فيقبلها منك ويعمل بها إلا وضعت في ميزانك حسنات لم تتعب بجمعها “له مثل أجور من تبعه” pic.twitter.com/nF61HLVVwS
Mon Mar 03 02:54:14 PST 2014 --  لَا يُوجِدُ رَجُلُ يَهْدِي السعاده بَلَّا مُقَابَلَ سِوَى الأب ... pic.twitter.com/fgvPnB1oXf"
Tue Mar 24 07:41:59 PDT 2015 --  « لا تجعل فهمك للرزق يتوقف عند حدود المادة فإن أجمل الأرزاق هي سكينة الروح ونور العقل وصحة الجسد »
Tue Mar 17 06:38:40 PDT 2015 --  ليس الأهم أن تكون الأول .. بل الأهم أن تكون الأفضل
Tue Mar 10 06:50:38 PDT 2015 --  ما دمت فى صلاة فأنت تقرع باب الملك، الغني الكريم ومن يقرع باب الملك يُفتح له، فلا تستعظم حاجة، ولا تستبعد إجابة .. pic.twitter.com/fEtPMh8G85
Mon Aug 04 02:51:09 PDT 2014 --  pic.twitter.com/JYKyEBxbIP
Thu Jul 03 14:22:52 PDT 2014 --  صورة لجندي يفتح السلك الشائك في جدار برلين لطفل ليلحق بأهله الجندي اعتُقل واعدم! "احيانا تكون جريمتك انك انسان" pic.twitter.com/hhUfwg3B7B
