Fri May 01 19:30:25 PDT 2015 --  電波悪
Wed Jan 26 16:20:49 PST 2011 --  @ichiroaisawa 岡山市の山田です。 先生毎日がんばられてますね。 応援してます。
Wed Jan 26 15:28:58 PST 2011 --  おはようございます。ボツワナの国民議会議長と朝食懇談。ボツワナは世界有数のレアメタル産出国。関係強化に努めます。
Mon Jan 24 15:26:11 PST 2011 --  ストラップ: こんばんは！ コーチの中野（ぎんじねこ）です。 多くの方が家で練習する場合、座って練習するかと思います。 部屋の環境にも寄りますが、あぐらで練習する方、椅子に座って練習する方。 座ると... http://bit.ly/gS59uy #CytaEGuitar
Fri Dec 24 05:28:05 PST 2010 --  すばらしいプレゼントをいただきました。原田真二さんが、ディナーショーで忘れていったギターのピック二枚。 昔から大ファンなんです。
Sat Dec 18 20:02:20 PST 2010 --  @atmosphere_so83 いい情報ありがとうございました。すぐフォローしました。
Wed Dec 15 05:54:35 PST 2010 --  https://twitter.com/ohmaebot/status/14999791410876416 多分、国債は踏み倒されると 思います。返せないでしょう。
Wed Dec 15 03:06:43 PST 2010 --  日本人が「通貨と言えば円」と無意識のうちに思ってしまうのは、政府や銀行が自分たちを裏切ることなど絶対にないと信じ切ってしまっているからといえる。そこで僕は読者のみなさんに問いたい。日本というのは本当に、将来にわたって国民が、大切な金融資産を預けても大丈夫な国なのだろうか？
Tue Dec 14 18:05:09 PST 2010 --  @karahashi_yumi おはようございます。がんばりましょう。
Tue Dec 14 13:25:27 PST 2010 --  おはようございます！
Mon Dec 13 23:49:42 PST 2010 --  ああ、配達が終わらん
Wed Dec 08 17:25:11 PST 2010 --  昨日ホリエモンの拝金、買いに本屋に行ったが結局、楽天の三木谷さんの本を買っちゃいました。
Wed Dec 08 16:30:08 PST 2010 --  @karahashi_yumi おはようございます。今日もいい天気
Mon Dec 06 23:51:11 PST 2010 --  飲食店の動き悪すぎ。 今１２月よ。忘年会が平日にないんだなあ。景気の悪さを感じるわ。
Sun Dec 05 12:07:32 PST 2010 --  おはようございます！今朝も東京タワーきれいだなぁ。骨組みがガシガシがんばってる感じが好き。
Sun Dec 05 06:41:16 PST 2010 --  @masason もう少し詳しく教えてください。
Sun Dec 05 06:32:20 PST 2010 --  成功する者と失敗する者の異いは、頭の差より性格の差の方が大きい。
Sun Dec 05 04:02:31 PST 2010 --  今日、４日後ジオジオーノで 原田真二のディナーショーがあるのを 知る。すごく行きたいなあ。
Sat Dec 04 15:14:21 PST 2010 --  おはようございます。日曜日の朝は 最高です。家族はまだ寝てます。 一人の時間を楽しんでます。
Thu Dec 02 22:21:04 PST 2010 --  @karahashi_yumi いつもみてます。 メガネよくお似合いです。 あっぱれ。
Thu Dec 02 17:20:56 PST 2010 --  @karahashi_yumi 岡山市晴れでしたが 大雨に変わりました。
Thu Dec 02 16:37:58 PST 2010 --  @karahashi_yumi おはようございます。岡山市は今日晴れです。
Wed Dec 01 17:13:14 PST 2010 --  @karahashi_yumi おはようございます。今日も元気もらいました。
Sun Nov 28 02:25:05 PST 2010 --  このtwitterの販売力はすごい。 毎日ホリエモンの本の感想で すごくよかったとか書いてあるから ついに俺も、君がオヤジになる前に の本を買っちゃった。
Fri Nov 26 02:46:06 PST 2010 --  @kohmi リクエストします。 八神純子さんの、みずいろの雨です。 このあとは、ビール飲みながら こおみさんの作曲講座聞いて ギターで曲作ります。うるたら
Wed Nov 24 04:05:43 PST 2010 --  @shirasu001 いい情報ありがとうございました。本を買っちゃいました。
Tue Nov 23 17:07:01 PST 2010 --  @kazuyo_k 勝間さん 岡山いらっしゃい。楽しんでいって下さいね。
Tue Nov 23 03:31:32 PST 2010 --  11年目の洗濯機が壊れたので、サンヨーのドラムの洗濯機を注文してきました。型落ちで6万9000円でした。いい買い物ができました。
Sat Nov 20 21:24:27 PST 2010 --  これからギターの練習です。押尾コータロウさんの黄昏あたりからいろいろやろう。楽しいんだこれが
Tue Nov 16 17:53:38 PST 2010 --  本日夜中12時ボジョレーヌーボー解禁で忙しくなりそうです。
Tue Nov 16 05:02:25 PST 2010 --  @kohmi いつもトラックで聴いてます。八神純子さんのみずいろの雨をリクエストします。香美さんの透き通る声で聞かせてな。
Mon Nov 15 19:50:11 PST 2010 --  セブンイレブンのおにぎりで、きのこと豚肉のおこわ かなり美味い。
Mon Nov 15 16:33:01 PST 2010 --  毎日放送の浜村淳のラジオはイイなあ
Sun Nov 14 04:49:04 PST 2010 --  夜ごはんはしお鍋でした。 レタス入れると美味しいんですよ。
Sun Nov 14 00:41:20 PST 2010 --  今 岡山高島屋の裏にいますが、わりに人まばらです。
Sat Nov 13 16:48:20 PST 2010 --  ３時半からギターレッスンだ。がんばろう。
Sat Nov 13 03:08:23 PST 2010 --  セブンイレブンのからあげおにぎり 中華味になって美味しくなくなったよ。
Sun Feb 28 18:23:04 PST 2010 --  昨日行った山陽放送近くのピッツエリアシエナのピザうまかったわ。
Thu Feb 25 05:00:10 PST 2010 --  そういえば最近k1とか格闘技、テレビでしてないな
Tue Feb 23 05:54:11 PST 2010 --  うわ！もう１１時じゃ。寝よう
Fri Feb 12 06:38:37 PST 2010 --  i phoneにＥｃｈｏｆｏｎいれてみたけどさっきやっと使い方わかった。
Fri Feb 05 06:28:48 PST 2010 --  寒いときは、あったかいお酒もいいです。お勧めはラムでロンサカパ　センテナリオ これをお湯で割るんです。あと、カルーアコーヒーリキュールを熱いミルクで割るのも おすすめです。それを飲んでます。
Wed Feb 03 05:22:40 PST 2010 --  これから飲食店（居酒屋とか）で韓国のお酒マッコリが流行りそうな予感
Tue Feb 02 06:25:41 PST 2010 --  黒霧島の霧島酒造が新発売した吉助は人気がいまひとつのようだ。
Mon Feb 01 07:10:45 PST 2010 --  昨日も１日充実していて最高だった。今日もいい日にしよう。おやすみなさい
Sun Jan 31 01:15:24 PST 2010 --  今、週刊ダイヤモンドのツィッター特集を見ながらやっと登録を完了したところです。 楽しくなるといいな。
Sat Jan 30 19:19:47 PST 2010 --  i phoneを手に入れたので、うれしくていじくりたおしています。
