Mon Aug 24 10:27:45 PDT 2015 --  Be your worst critic.
Tue Jun 02 15:31:40 PDT 2015 --  . @CameronNewton: "My main focus is to bring the Lombardi Trophy to Charlotte."
Tue Jun 02 14:56:40 PDT 2015 --  Dear younger Pat.. Stop kicking things.. Throw footballs till you're good and also figure out how to be 6'5" Signed, Non 100 mill. punter
Tue Jun 02 08:18:49 PDT 2015 --  100 days until the 2015-16 @nfl season! pic.twitter.com/Kh1LEgfFYS
Sat May 30 18:40:40 PDT 2015 --  Go back to Ottawa you fuckin piece of shit!
Thu May 28 18:47:27 PDT 2015 --  Pat McAfee: Uncaged Standup Comedy special @CarmelPalladium 18+ 1200 tickets on sale tomorrow~>10am Portion of proceeds 2 @thepmacfound
Mon May 25 21:14:12 PDT 2015 --  I think I woke the neighbours with my celly!
Mon May 25 21:06:45 PDT 2015 --  Wooooooo!!!!! @Matt_Beleskey #LickNutzToews
Mon May 25 21:03:13 PDT 2015 --  This is like a bad dream
Sun May 24 18:28:59 PDT 2015 --  My weapons of choice for this evenings game! raginacrushers #IR https://instagram.com/p/3FiOi8KR1r/ 
Sun May 24 11:24:12 PDT 2015 --  I am still stunned the ducks lost last night!
Sat May 23 19:06:07 PDT 2015 --  Sick catch https://vine.co/v/eqOtVZjlUti 
Sat May 23 09:58:59 PDT 2015 --  Come down and see us at @bennett_dunlop & Crestview to grab a hot dog in support of @KidSport #HotDogsAndHotRides #CompanyThatCares
Fri May 22 12:38:38 PDT 2015 --  Just for fun, the @Seahawks should go for 2 after their first touchdown of the season. And then throw it.
Thu May 21 15:37:08 PDT 2015 --  Phil Kessel; dad bod enthusiast, cheeseburger aficionado, cheat day professional pic.twitter.com/IfbkjPMqyc
Thu May 21 21:14:07 PDT 2015 --  ya'll need to chill pic.twitter.com/kEb5wwCUz9
Tue May 19 19:38:25 PDT 2015 --  Steph Curry... So good at Beer Pong I bet
Tue May 19 18:30:10 PDT 2015 --  GTR vs POLICE pic.twitter.com/gRu3DUSkpN
Mon May 18 10:02:47 PDT 2015 --  The only Wilson I have ever deflated. pic.twitter.com/zuDCyvkQIF
Sun May 17 15:14:16 PDT 2015 --  Ankle is looking good today! #PrettyColours #SwollyMammoth https://instagram.com/p/2zKYNFqR1a/ 
Sun May 17 12:14:04 PDT 2015 --  This series will decide who holds up the cup! #ANAvsCHI #StanleyCupPlayoffs
Wed May 13 17:32:06 PDT 2015 --  You can keep scrolling through your newsfeed... Nothing to see here but Trout in his natural habitat. pic.twitter.com/gUqhTfGsjW
Wed May 13 12:30:00 PDT 2015 --  If everyday is a gift then today is socks
Sun May 10 01:59:30 PDT 2015 --  Views.
Wed May 06 20:14:07 PDT 2015 --  RKO OUTTA NOWHERE @NBAonTNT pic.twitter.com/nWuy8sU3oq
Wed May 06 19:28:35 PDT 2015 --  Get your suitcase packed & ready to take Monday off Retweet 2 win a chance to watch a hockey game in Anaheim Sunday pic.twitter.com/8zYRu7La7d
Tue May 05 20:21:19 PDT 2015 --  Retweet if @OBJ_3 gets your vote for the new #MaddenCover. pic.twitter.com/VGKFc0lDM2
Sat May 02 21:52:37 PDT 2015 --  You gotta beat the best to be the best! #MoneyMayweather #MoneyTeam
Fri May 01 14:38:05 PDT 2015 --  I'm sure I'm gonna like Shaq Thompson as a Panther I'm still stunned the Panthers didn't go OL last night though! #NFLDraft
Thu Apr 30 19:53:11 PDT 2015 --  A fucking linebacker?!?!?!
Thu Apr 30 18:47:07 PDT 2015 --  I heard Alex Flannigan is in San Diego! #NFLDraft
Thu Apr 30 18:30:07 PDT 2015 --  For Sale pic.twitter.com/CoLM2iYTvQ
Wed Apr 29 11:03:02 PDT 2015 --  50 has problems too... pic.twitter.com/nMTTBzQpkd
Wed Apr 29 07:46:30 PDT 2015 --  Whoever get the UFC Light Heavyweight Championship is just going to be keeping the belt warm until @JonnyBones comes back! #GOAT
Tue Apr 28 20:33:39 PDT 2015 --  The thing that I don't like is that the UFC light heavyweight championship no longer signifies the best light heavyweight on the planet now.
Mon Nov 25 08:26:49 PST 2013 --  You should always choose B) on multiple choice tests because it looks like a cool sunglasses face. That guy knows what he's talking about.
Mon Apr 27 06:10:17 PDT 2015 --  The current @RYFFL season has begun! Go Panthers! pic.twitter.com/B3YnWRBSvV
Sun Apr 26 18:09:06 PDT 2015 --  91% of potential fistfights between Canadiens and Senators fans are defused by somebody saying "Leafs suck"
Sun Apr 26 00:45:22 PDT 2015 --  It's always one step forward, two steps back
Wed Apr 22 17:29:00 PDT 2015 --  Marshawn Lynch is too real pic.twitter.com/5GMI3jv3S3
Wed Apr 22 17:18:22 PDT 2015 --  Live look in at Greg Hardy’s contract with the Cowboys. pic.twitter.com/kkr6wmVLcd
Mon Apr 20 19:24:07 PDT 2015 --  Byfuglian is fucking gutless! You lost your guy and he scored! Suck it up pal! You only have 1 game left!
Sat Apr 18 17:17:08 PDT 2015 --  Connor have you ever played goalie before? - oilers management
Sun Apr 19 12:45:06 PDT 2015 --  Ultimate Legend Ray Lewis giveaway! RT for a chance to WIN #MUTSeason pic.twitter.com/Lae7etcyjS
Wed Apr 15 20:36:45 PDT 2015 --  THIS IS REAL: Boss just told us, if this tweet gets 50 thousand retweets, @JayOnrait and I are allowed to grow beards for the playoffs.
Thu Apr 16 22:22:31 PDT 2015 --  Wheeler is a fuckin coward!
Thu Apr 16 21:59:38 PDT 2015 --  Fuck yeah Perry! #NeverQuit
Wed Apr 15 10:47:01 PDT 2015 --  I predict @AnaheimDucks will win the @NHL #StanleyCup. Join the #NHLBracketChallenge http://bracketchallenge.nhl.com/api/game_bracket/nhlbcg/og/entry/778622/winner/25 …
Tue Apr 14 07:27:11 PDT 2015 --  Please help me support this event. Visit my page on the event website and register or donate today. http://rpx.me/1/6xj8l 
Mon Apr 13 09:59:15 PDT 2015 --  Happy birthday to this majestic human being that I have come to terms with calling my best friend!… https://instagram.com/p/1bDTJ7qR9K/ 
Sat Apr 11 15:45:59 PDT 2015 --  Thanks for the love @Beyonce. #SorryJay pic.twitter.com/To7ttoqWZP
Tue Jul 08 08:39:38 PDT 2014 --  For some reason, my son has always lacked self confidence. No, not Tim. The annoying one with the stupid face who throws like a girl.
Sat Apr 11 09:00:16 PDT 2015 --  In 2 days, watch the #Avengers #AgeOfUltron L.A. premiere red carpet live: http://Marvel.com/AvengersPremiere … #AvengersPremiere pic.twitter.com/fIBTrdQNLA
Sat Apr 11 05:00:08 PDT 2015 --  LMFAO https://vine.co/v/OOzT6vY5YZn 
Fri Apr 10 11:16:45 PDT 2015 --  . @nfl Total BFFs pic.twitter.com/VSRFVtzbx6
Fri Apr 10 10:28:46 PDT 2015 --  When you hand @jaramieherback the aux cord... #brrrrr pic.twitter.com/idAMd1fBn2
Wed Jul 11 13:33:32 PDT 2012 --  I own two jean jackets. One for doing BMX. One for getting my fuck on.
Wed Apr 08 19:47:38 PDT 2015 --  To the guy bumping house music from his car driving behind my house... I like your style! Keep it up!
Tue Apr 07 09:19:28 PDT 2015 --  Hey Mother Nature, April Fools was last week! #DriveSafe #CompanyThatCares
Sat Apr 04 20:50:26 PDT 2015 --  That awful moment when you get to the atm at the bar and... pic.twitter.com/rRFJKngbSS
Sun Apr 20 09:03:16 PDT 2014 --  [Jesus goes over the bill at the last supper] "Why would-[closes eyes & rubs bridge of nose]-Why would anyone order wine?"
Fri Apr 03 00:25:39 PDT 2015 --  The owl was a wild last resort tonight! #SoMuchFun #EasterBreak!
Thu Apr 02 17:29:01 PDT 2015 --  It's not that I think I'm better than you, I know I am.
Thu Apr 02 21:23:31 PDT 2015 --  "Fine I'll be sober for your great grandmas birthday, I mean Easter!"- @chris_anctil
Thu Apr 02 04:00:21 PDT 2015 --  Waiting for summer like pic.twitter.com/JmwyiTEDt9
Tue Mar 31 21:15:20 PDT 2015 --  Absolutely gutless from Byfuglien https://vine.co/v/OLPirE2zx5Y 
Wed Apr 01 07:17:21 PDT 2015 --  40 pairs of white sunglasses all over my desk! Thanks jgkelley https://instagram.com/p/073O3bKR0b/ 
Mon Mar 30 18:09:13 PDT 2015 --  When the ref tells you, "No dunking in warmups". http://vine.co/v/O3jUIjXhzIb 
Sun Mar 29 07:15:03 PDT 2015 --  CP3 = GOAT pic.twitter.com/uCsvpn09B1
Sun Mar 29 05:00:05 PDT 2015 --  24 more Sundays until #Panthers football. 4,037 hours. 242,220 minutes. 14,533,200 seconds. Yeah, we're counting. pic.twitter.com/2PtmA7al42
Sat Mar 28 18:51:47 PDT 2015 --  This guy handled losing at human bowling like a boss. #gamechangers @WHLpats @SCBroncos #WHLPlayoffs pic.twitter.com/p2BuEhMfAq
Sat Mar 28 18:11:24 PDT 2015 --  Yeah, I am so close to demanding a trade back to Wisconsin, college hockey is so titties
Sat Mar 28 15:51:22 PDT 2015 --  Next time you're feeling down about something, just think about the kid who got benched so Air Bud could play.
Sat Mar 28 14:03:56 PDT 2015 --  @nfl pic.twitter.com/iK3Q4igVz4
Fri Mar 27 13:59:20 PDT 2015 --  #Panthers sign WR Jarrett Boykin, claim OT Jonathan Martin off waivers: http://pnth.rs/1BzSbRT  pic.twitter.com/6JM7NS1n5O
Thu Mar 26 00:00:15 PDT 2015 --  Katy Perry pic.twitter.com/5axmfur4K4
Mon Mar 23 18:28:54 PDT 2015 --  “Unfortunately for Cowboys fans, Dez Bryant still did not catch the ball in playoffs." http://at.nfl.com/P0MfvKH  pic.twitter.com/EWh4WaskJs
Sat Mar 21 19:23:41 PDT 2015 --  It's Saturday night and I'm turning up at the Norwood Community Club!
Thu Mar 19 07:46:30 PDT 2015 --  #Z99PotashCorpCares
Thu Mar 19 07:58:02 PDT 2015 --  #Z99PotashCorpCares
Thu Mar 19 07:53:27 PDT 2015 --  #Z99PotashCorpCares
Thu Mar 19 07:10:36 PDT 2015 --  @JonRyan9 Help save babies’ lives! Each tweet & RT of #Z99PotashCorpCares gets $10 for Z99 Radiothon to NICU http://ow.ly/KvBfN  #yqr
Tue Mar 17 10:31:03 PDT 2015 --  A lot of you will be hungover tomorrow, wondering what happened after St. Patricks Day. But hey, at least you didn't sign Trent Richardson
Tue Mar 17 10:09:57 PDT 2015 --  The Raiders, not content with letting Chip Kelly take the title of most-curious offseason, have raised the pot with Trent Richardson.
Mon Mar 16 16:19:54 PDT 2015 --  "The rest of the pack has never been closer" to the @Patriots: http://at.nfl.com/qBYeWjd  #NFLFreeAgency pic.twitter.com/nTN57KzAEu
Mon Mar 16 09:10:11 PDT 2015 --  Led the @KCChiefs in INTs in 2014. Now he's headed to the @Panthers: http://at.nfl.com/VTWPple  #NFLFreeAgency pic.twitter.com/ZYMNvuS7S3
Sun Mar 15 08:36:48 PDT 2015 --  #DubNation meets #PantherNation! @riverboatronHC gave @warriors @StephenCurry30 a #Panthers jersey for his birthday. pic.twitter.com/zvK0fa5Cx7
Fri Mar 13 15:44:12 PDT 2015 --  Thing about eatin' right and layin' off the hard booze is; you might FEEL healthy, but you also want to kill yourself, you guys.
Fri Mar 13 10:38:08 PDT 2015 --  Is it me, or has this been the most exciting NFL offseason ever? #FreeAgencyFrenzy
Fri Mar 13 08:00:07 PDT 2015 --  I joked yesterday Dallas should show DeMarco how replaceable he is by going after Trent Richardson. Signing Darren McFadden is next level.
Wed Mar 11 10:01:10 PDT 2015 --  Doing cardio like pic.twitter.com/b05XETWEly
Wed Mar 11 13:52:32 PDT 2015 --  Great Scott! The Colts got Andre Johnson? pic.twitter.com/6oMk7rb4lX
Wed Mar 11 08:37:21 PDT 2015 --  Ryan Matthews is trending. The problem is, the RB's name is spelled "Mathews".
Wed Mar 11 05:47:05 PDT 2015 --  if bill cosby wants to rap then let that man rap! pic.twitter.com/d01PLQobWC
Tue Mar 10 23:45:58 PDT 2015 --  Work until you no longer have to introduce yourself
Tue Mar 10 20:12:17 PDT 2015 --  Safe to say the DBs salaries went up....on a Tuesday!
Tue Mar 10 14:31:00 PDT 2015 --  I'm omniscient but even I don't know what the Philadelphia Eagles are doing.
Tue Mar 10 15:27:18 PDT 2015 --  Thinking Mark Ingram is a late first round pick, early 2nd in Fantasy with the Graham trade...
Tue Mar 10 14:29:30 PDT 2015 --  Jimmy Graham traded... Starting QBs traded.. Shady traded... HOFers getting cut.. It doesn't matter who you are pic.twitter.com/RwRFazJLRZ
Sun Mar 08 17:43:21 PDT 2015 --  Best FA WRs still available: •Percy Harvin •Michael Crabtree •Cecil Shorts •Kenny Britt •Eddie Royal •Hakeem Nicks •Harry Douglas
Tue Mar 10 08:28:14 PDT 2015 --  Scooping Percy wouldn't be a horrible idea either @Panthers just don't pay to much as he's not worth big dollars!
Tue Mar 10 07:40:47 PDT 2015 --  If ring road is in your route to work you should start leaving earlier as construction started today heading South #CompanyThatCares
Tue Mar 10 06:52:05 PDT 2015 --  Percy Harvin being released before he has one screaming match with Brandon Marshall is a huge letdown.
Thu Mar 05 06:01:05 PST 2015 --  The best transportation in all of Skyrim pic.twitter.com/IVZy3xOG49
Wed Mar 04 11:50:09 PST 2015 --  "SHIT TON" is my favorite unit of measurement.
Tue Mar 03 10:09:29 PST 2015 --  There's baseball on tv, I'm so happy. Also grateful that I can lay in bed on a Tuesday morning watching this cause I don't have a real job
Mon Mar 02 12:06:21 PST 2015 --  Tinder update: for only $12 girls from all over the world can swipe left on me! #MightyTempting
Sat Feb 28 06:26:04 PST 2015 --  Some on Twitter take exception to some of the graphics I tweet. Here’s one that should bring all of us together. pic.twitter.com/AXNnRAC12B
Sat Feb 28 07:07:54 PST 2015 --  “ @CauseWereGuys: Squad goals pic.twitter.com/Iyiq6vCcky” @CameronSisson
Fri Feb 27 09:47:44 PST 2015 --  Forget the dress guys..... What color am I?
Fri Feb 27 06:24:04 PST 2015 --  Something to think about! #HappyFriday http://ow.ly/i/8OeLA 
Thu Feb 26 20:53:53 PST 2015 --  Oh come on pic.twitter.com/d7v5vbqMo1
Thu Feb 26 10:34:25 PST 2015 --  Make a fist & try to stick it up your own ass. It hurts. It doesn't make sense. Now get up & go after your dreams.. it's a lot easier.
Thu Feb 26 19:18:29 PST 2015 --  Yeah is the new Browns logo orange, or really fuckin orange? pic.twitter.com/EbtqpviG6e
Tue Feb 24 13:30:11 PST 2015 --  Badass of the day goes to.. pic.twitter.com/2OiYCvr9zC
Tue Feb 24 13:18:02 PST 2015 --  Guess who's got a pristine asshole? pic.twitter.com/pycCF7pI8I
Tue Feb 24 00:55:04 PST 2015 --  I wish fantasy football lasted all year..
Mon Feb 23 22:28:53 PST 2015 --  I'm done | https://vine.co/v/OQ6dh1bWeJ0 
Sun Feb 22 02:10:31 PST 2015 --  So run ins with the cops are our thing! @DylanKozak @chris_anctil @jaramieherback
Thu Feb 19 19:01:03 PST 2015 --  To all my student athletes out there pic.twitter.com/oaBr55syJg
Sun Dec 21 19:44:25 PST 2014 --  I still don't get why people hate Nickelback.. Don't act like you don't still sing Photograph in the shower
Thu Feb 19 16:07:33 PST 2015 --  If you’re reading this it’s too late… you’ve been traded. #NBATradeDeadline pic.twitter.com/QXjgv03nhV
Thu Feb 19 16:09:00 PST 2015 --  When she sends u nudes for the first time https://vine.co/v/hLDA5V9XMeu 
Thu Feb 19 14:49:00 PST 2015 --  i might still be ugly but i used to be uglier
Thu Aug 26 11:56:05 PDT 2010 --  I can't belive my grand mothers making me take Out the garbage I'm rich fuck this I'm going home I don't need this shit
Mon Feb 16 08:44:36 PST 2015 --  Happy Family Day! #CompanyThatCares
Sun Feb 15 21:45:04 PST 2015 --  I wouldn't wanna square up with this dude he just won a fight with a car http://vine.co/v/ME9qU0tX7YE 
Sun Feb 15 17:17:33 PST 2015 --  “ @GoodHangovers: When you tell your friend to pick up a 12-pack and they show up with Budweiser.. | pic.twitter.com/DOZKw3JyDp” @DylanKozak
Sun Feb 15 13:20:12 PST 2015 --  The everyday struggle... pic.twitter.com/nUXkVICMFW
Sat Feb 14 10:05:30 PST 2015 --  You can't grate cheese on my abs but you can mash cheddar on my shitty body!
Fri Feb 13 06:37:18 PST 2015 --  Help your Friday get a little more productive with some of these helpful hints! http://ow.ly/J0mvJ 
Thu Feb 12 08:34:03 PST 2015 --  Blacked out like a white girl on the weekend. pic.twitter.com/Nv3RCHb9rh
Wed Feb 11 18:03:29 PST 2015 --  Straight disrespect pic.twitter.com/2U3ZZUdXXA
Wed Feb 11 17:49:34 PST 2015 --  Who needs a beer? | pic.twitter.com/4CLRCjqwt1
Wed Feb 11 07:22:55 PST 2015 --  Chandler Jones Challenges His MMA-Fighting Brother to a Fight (via http://ble.ac/teamstream ) http://bleacherreport.com/tb/dfZMA?utm_campaign=tsiphone&utm_medium=referral&utm_source=twitter.com …
Tue Feb 10 13:12:12 PST 2015 --  Spider-Man is coming to the MCU!!! I just webbed in my shorts! #Amazing #Spectacular #CivilWar #2016
Tue Feb 10 09:27:05 PST 2015 --  RT if you're ready pic.twitter.com/W4HoRgaYpB
Tue Feb 10 08:24:04 PST 2015 --  Cardale Jones is Savage pic.twitter.com/Dp6FqOWZS3
Sun Feb 08 16:38:03 PST 2015 --  Yeah, if my mixtape doesn't win a Grammy tonight then me and my squad are rushing the stage and brawling pic.twitter.com/IJg525c5uE
Sun Feb 08 10:42:16 PST 2015 --  If you ever feel like you can't do something, watch this and reevaluate http://es.pn/1DtsoyY 
Sun Feb 08 08:55:52 PST 2015 --  America’s reaction after turning on TV out of habit, then remembering there’s no more football for half a year. https://vine.co/v/OFeuulpvBJH 
Sun Feb 08 02:11:18 PST 2015 --  Dark Sky Paradise 2.24.15
Sat Feb 07 10:04:26 PST 2015 --  Iverson https://vine.co/v/M0xvpiJhF02 
Fri Feb 06 10:01:12 PST 2015 --  All black Aston Martin pic.twitter.com/ich0GZPAgu
Tue Feb 03 16:14:26 PST 2015 --  This is the best DunkCam of all-time http://vine.co/v/OTYeg1PVnEb 
Fri Feb 06 15:20:02 PST 2015 --  Well shit https://vine.co/v/Oj9pvYni3gL 
Fri Feb 06 12:16:14 PST 2015 --  Girl: why are you texting me at 3 AM? Me: pic.twitter.com/ZEe7ozAnDk
Fri Feb 06 09:30:05 PST 2015 --  Me on Valentine's Day pic.twitter.com/UCIZbnhc31
Fri Feb 06 12:05:24 PST 2015 --  KD Responds to Critics of His All-Star Selection (via http://ble.ac/teamstream ) http://bleacherreport.com/tb/dfYaC?utm_campaign=tsiphone&utm_medium=referral&utm_source=twitter.com …
Thu Feb 05 14:50:08 PST 2015 --  Are people still checking snowflakes to make sure there's no duplicates?
Wed Feb 04 11:21:53 PST 2015 --  Sask, need some retweets - 10,000 in fact! Each gives $1 to @ChildHospitalSK. Let's get it done. #AllianceEnergy4Kids pic.twitter.com/CmwodX7Ufa
Wed Feb 04 14:00:38 PST 2015 --  Girl with zero chill posts after-sex selfie on Tinder with Julian Edelman: https://cards.twitter.com/cards/18ce53vysyu/bu8o …
Wed Feb 04 13:33:39 PST 2015 --  Hey everyone my company is donating $1 for every tweet or RT using #AllianceEnergy4Kids to the children's hospital SK foundation
Wed Feb 04 11:15:40 PST 2015 --  Even Superman needs life insurance! Do you? http://ow.ly/Iv7Zf 
Tue Feb 03 13:20:04 PST 2015 --  Searching for bae like pic.twitter.com/7PU4g1YNGn
Tue Feb 03 12:59:42 PST 2015 --  Gronk https://vine.co/v/OFhgqFZ0nuH 
Tue Feb 03 06:57:56 PST 2015 --  taylor swift: oh my god look at that face you look like my next mistake me [with mouth full of like way too many Doritos]: what
Mon Feb 02 13:26:02 PST 2015 --  When you see a girl curve your homie extra hard... https://vine.co/v/OtE6P3h29t9 
Sun Feb 01 20:27:33 PST 2015 --  Ask Madden would've been like.. pic.twitter.com/BRbvJMOhf6
Sun Feb 01 19:20:00 PST 2015 --  Even one of those goddam dancing sharks could have scored from the one-yard line with three chances.
Sun Feb 01 19:05:51 PST 2015 --  That was the worst play call in the history of the Superbowl!!! Worst QB decision Ever!!!!! Ever Ever! Naw I mean Ever!
Sun Feb 01 19:39:59 PST 2015 --  I think that was the greatest #SuperBowl of all time. PERIOD! #SB#49
Sun Feb 01 19:34:43 PST 2015 --  Where do I get this shit? http://youtu.be/mjwUVZHBcoY 
Sun Feb 01 19:10:23 PST 2015 --  I don't know how to feel! What happened? #SB49
Sun Feb 01 18:58:03 PST 2015 --  Holy Fuck!
Sun Feb 01 17:27:11 PST 2015 --  I'm happy my body doesn't bleed for a week... Or pop a human out of it... I'm not strong enough.. I'm not... #LikeAGirl #SuperBowl49
Sun Feb 01 17:24:30 PST 2015 --  I assume this is Russell Brand right now. #SB49 #SBXLIX pic.twitter.com/wG0hYNbDvY
Sun Feb 01 17:27:01 PST 2015 --  After seeing @katyperry and her knockers at the half time I'm gonna go deflate my balls in the bathroom #SB49
Sun Feb 01 16:38:56 PST 2015 --  *prays Katy Perry pulls a Janet Jackson during the halftime show*
Sun Feb 01 13:16:00 PST 2015 --  The new toy! #2014 #F150XLT #Ecoboost Thanks @dzat41 http://instagram.com/p/yksPhnKR5D/ 
Sat Jun 08 09:50:06 PDT 2013 --  Jennifer Aniston is always cast in the same role because she's a victim of Rachel profiling.
Sat Jan 31 21:50:49 PST 2015 --  Best case scenario: GSP comes back and fights Silva, and then both retire in the cage after the fight. No better end than that. #UFC183
Sat Dec 27 21:12:12 PST 2014 --  barn owls must have been stoked when the barn was invented
Sat Jan 31 10:29:04 PST 2015 --  Time out. How the fuck did Teddy win Rookie of the year.
Sat Jan 31 06:04:57 PST 2015 --  “ @GuysPictures: Every college student.. http://vine.co/v/Oj3Hve1TXtK ” @DylanKozak @chris_anctil that's how last night started... #Turnt
Sat Jan 31 05:15:14 PST 2015 --  Basically pic.twitter.com/nkfrIPcH3o
Fri Jan 30 20:20:53 PST 2015 --  Sam Hunt - Make You Miss Me http://youtu.be/DjzTRmKafGc 
Wed Jan 28 17:28:00 PST 2015 --  Pro Tip: There’s always room. pic.twitter.com/3shcWZklDw
Wed Jan 28 14:16:10 PST 2015 --  #BeIILetsTalk
Wed Jan 28 13:34:08 PST 2015 --  Just got the tickets to see my 3rd @Avalanche game of the year! #goavsgo #BellLetsTalk
Wed Jan 28 05:41:24 PST 2015 --  #BellLetsTaIk
Wed Jan 28 06:25:19 PST 2015 --  #BellLetsTalk #BellLetsTalk #BellLetsTalk #BellLetsTalk #BellLetsTalk #BellLetsTalk #BellLetsTalk #BellLetsTalk #CompanyThatCares
Tue Jan 27 13:45:19 PST 2015 --  Garion & Kayla just got back from Nicaragua where they were building homes for the less fortunate! #CompanyThatCares http://ow.ly/i/8pK9h 
Sun Jan 25 17:27:44 PST 2015 --  @TheRealSteveS7 Hi Steven, please give us more details so we may follow up on this and make it right: http://tacojohns.com/company/contact-us …
Sun Jan 25 16:21:24 PST 2015 --  I got disrespected in a @tacojohns last night!
