Sat Aug 29 01:48:16 PDT 2015 --  I'm at Sushi King in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/8clmerJVpow 
Mon Jul 27 01:48:03 PDT 2015 --  Girls, get a degree, start earning, buy a house and a car, give back to your parents then get married. Don't put your 100% on a man.
Fri Aug 21 16:44:08 PDT 2015 --  Hahaha beriadah dlm kelas pon boleh la pic.twitter.com/2oxF4ObBeq
Thu Aug 20 07:14:20 PDT 2015 --  Kau sibuk macam mana sekalipun, bagi badan kau, fikiran kau, jiwa kau, and semua lah untuk berehat and Zikrullah. pic.twitter.com/y8kaPPtAHe
Wed Aug 19 09:51:14 PDT 2015 --  Perkara penting before tidur: 1. Set Alarm 2. Set dlm kepala esok pagi bangun sedekah AlFatihah utk ibubapa supaya murah rezeki, InShaaAllah
Thu Aug 20 01:00:30 PDT 2015 --  I wanna go to Bora Bora pic.twitter.com/QrJTdZ0izD
Thu Aug 20 03:07:26 PDT 2015 --  Ini pesan yang pernah aku baca, dan selalu aku sampaikan. Berlapang dada. pic.twitter.com/bUxfrwVXKf
Thu Aug 20 00:20:45 PDT 2015 --  Dah lama tak buat essay bi hahahahahahahahhahahahahahhahaha sekali madan bgi time tu jugak hantar
Wed Aug 19 23:37:12 PDT 2015 --  I'm at Killiney Kopitiam Hub, Setiawangsa https://www.swarmapp.com/c/5BAB6dKAGzk 
Wed Aug 19 22:16:24 PDT 2015 --  Practice choral speaking pic.twitter.com/RFwDJVMzPh
Thu Aug 13 23:36:51 PDT 2015 --  Buat gadis yang bertudung, aku yang tak pakai tudung pun rasa deep. Salam Jumaat. #justsharing pic.twitter.com/rStgnCPygf
Mon Aug 17 21:36:44 PDT 2015 --  Well its better not to talk. About anything, to anyone. Sometimes.
Mon Aug 17 04:48:04 PDT 2015 --  Tak nak datang kelas esok bole tak demam tak larat.
Mon Aug 17 02:32:15 PDT 2015 --  moral " dont be more confident with our ability and dont think you re too perfect in one organisation "
Fri Aug 14 06:39:41 PDT 2015 --  haha peniaga online mesti banyak kali rasa benda ni pic.twitter.com/ZJScN35yjT
Fri Aug 14 04:30:26 PDT 2015 --  Wahhh ramainya mat perang kat sini
Fri Aug 14 04:20:19 PDT 2015 --  I'm at Sup Meletup 24 Jam in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/lGyDx4VsDiC 
Fri Aug 14 03:15:25 PDT 2015 --  Just posted a photo https://instagram.com/p/6XC3EYwWpHZ-YlDMB4LkB19V5ssMSq0Vus0xU0/ …
Thu Aug 13 21:34:35 PDT 2015 --  Oh. https://instagram.com/p/6Wb2siwWs76IqogYadAsnwZ8hiY2_NZd7o9KU0/ …
Thu Aug 13 17:07:18 PDT 2015 --  Every girl. pic.twitter.com/wN3kml8xh0
Thu Aug 13 08:42:33 PDT 2015 --  Hati. pic.twitter.com/3UtjrFkqL9
Thu Aug 13 03:49:56 PDT 2015 --  Wahhhh https://twitter.com/athyqaasari/status/631760518101905409 …
Tue Aug 11 07:36:57 PDT 2015 --  You replied "oh" when your heart actually just got ripped into a million pieces but you won't tell because they wouldn't care how you feel.
Wed Aug 12 02:56:06 PDT 2015 --  I'm at Sushi King in Setiawangsa, Kuala Lumpur https://www.swarmapp.com/c/2hQaFM2WLVL  pic.twitter.com/jihMCR1iYs
Tue Aug 11 03:14:18 PDT 2015 --  #TipsMasukU appreciate what you still have, dont let it become memory
Fri Jul 31 08:20:58 PDT 2015 --  Having that special gold necklace/bracelet/earrings/anklet since we were little #GrowingUpMalay girls
Mon Aug 10 19:08:15 PDT 2015 --  I'm at Politeknik Metro Kuala Lumpur w/ @far3zzz @aamiryusuf @aishahrzm @fiqakilis @frhno0o @dayaaaaaaazaini https://www.swarmapp.com/c/1UtwzidGtiI 
Mon Aug 10 17:08:20 PDT 2015 --  Commersial class (@ Politeknik Metro Kuala Lumpur) https://www.swarmapp.com/c/8a2iunNCiTH  pic.twitter.com/ETFSqCMWGA
Thu Jul 02 09:08:08 PDT 2015 --  Sebelum nak jaga anak orang pic.twitter.com/pIe2tx8wJ4
Mon Aug 10 03:40:15 PDT 2015 --  Hubungan kita makin lama, makin hambar. Kadang, aku rasa malas nak ambil tahu dah pasal kau.
Thu Jul 10 11:21:29 PDT 2014 --  Only in Kelate. i loves my states. this is Kota Bharu. Pisssyooo pic.twitter.com/JYC47teB2p
Sun Aug 09 21:19:27 PDT 2015 --  Short vacation johor beb. @ Jeti tanjung emas Muar, Johor https://instagram.com/p/6MG8SiQWhvdj_tLmQvuiE85BNag9wYVEXRKPI0/ …
Sun Aug 09 05:37:02 PDT 2015 --  Some of the receipts in my purse has been there for so long even the ink has totally rubbed off
Wed Aug 05 18:58:32 PDT 2015 --  The moment when -"Papa jgn Berani pandang perempuan lain selain mama ye" pic.twitter.com/xzNdGe6q69
Wed Aug 05 18:05:25 PDT 2015 --  Nak sushi lagi https://instagram.com/p/6BdjpdQWmC5N2snqChimwueE5pv1M5nkmJ-rQ0/ …
Sun Jul 19 08:07:36 PDT 2015 --  kalau sayang buat cara sayang . kalau tak pergi mampus
Sun Jul 19 05:02:34 PDT 2015 --  Perasaan tawar hati ni susah. Either you feel heartless or you deeply hurt inside but you just keep it to yourself. It's more than worst.
Tue Aug 04 03:36:53 PDT 2015 --  First time tangan aku luka kt kitchen selama 3 sem kat kitchen tak pernah luka. Tak perasan lak tu tgan luka
Mon Aug 03 09:45:45 PDT 2015 --  Cantiknyaaa pic.twitter.com/oqSNPs6SJl
Mon Aug 03 08:34:19 PDT 2015 --  Yang kau tidak tahu, manusia yang kau lukakan hatinya, akan dia kenang sehingga mati. Walau dia kata, tiada apa. Itu kisah lama.
Mon Aug 03 08:38:30 PDT 2015 --  Suatu hari nanti kau pasti terpisah. Dengan manusia yang kau sayang dan kehidupan yang kau cinta. Apabila detik itu tiba, adakah kau sedia?
Mon Aug 03 07:16:15 PDT 2015 --  Hi jodoh. Mana awak? Lama dah saya tunggu awak. Tapi tak muncul lagi, awak sesat ke jodoh harap awak jumpe jalan yeeeee
Mon Aug 03 07:13:27 PDT 2015 --  Be careful. Not everyone deserves access to your heart. One wrong visitor can destroy the place.
Mon Aug 03 06:58:53 PDT 2015 --  You change for two reasons: Either you learn enough that you want to or you've been hurt enough that you have to.
Mon Aug 03 07:00:35 PDT 2015 --  DEKAT INSTAGRAM TAKDA UPLOAD GMBR AKU PERGI UPLOAD GMBR BETINA LAIN?! #koghasee https://twitter.com/twt_cinta/status/628189182444220416 …
Mon Aug 03 07:02:44 PDT 2015 --  When you worrying about your studies, then you care about your education.
Mon Aug 03 02:36:52 PDT 2015 --  Sye xbole nk hadam cost control miss
Mon Aug 03 01:15:23 PDT 2015 --  I'm at Politeknik Metro Kuala Lumpur https://www.swarmapp.com/c/gAZn6JAUA7M 
Sun Aug 02 22:33:01 PDT 2015 --  I'm at Restaurant Al-Bidayah in Ampang https://www.swarmapp.com/c/i46Htxwdame 
Sat Aug 01 21:55:04 PDT 2015 --  Kari ayam, telur mata sos and kicap, nasi putih. Sedapnyaa, ni la mknan dak dorm pic.twitter.com/YhSUzr1Fg9
Sat Aug 01 20:05:12 PDT 2015 --  bila dah mula heboh di kalangan junior. hahaha ini kelaka. bikin gempak je korang tau.
Sat Aug 01 07:09:39 PDT 2015 --  Warna warni beb macam hidup manusia macam macam ragam. https://instagram.com/p/51_VMoQWoxlIxWslhavJk126da9C2ztUew2hg0/ …
Sat Aug 01 01:47:51 PDT 2015 --  I'm at Taman Sri Sentosa in Kuala Lumpur, Wilayah Persekutuan w/ @aishahrzm https://www.swarmapp.com/c/7n06FngOKyW 
Sat Aug 01 04:49:37 PDT 2015 --  I'm at Baskin Robbins in Kuala Lumpur https://www.swarmapp.com/c/hj1kZ37Vvq9  pic.twitter.com/p7f0TJy31A
Sat Aug 01 04:42:42 PDT 2015 --  Ju on 4 (@ Golden Screen Cinemas (GSC) - @gscinemas in Kuala Lumpur, WP Kuala Lumpur) https://www.swarmapp.com/c/gLxzObXFqEk  pic.twitter.com/nurrjtNBMP
Sat Aug 01 04:39:45 PDT 2015 --  I'm at Berjaya @TimesSquareKl in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/bsiN9eRO0lq 
Sat Aug 01 01:58:41 PDT 2015 --  Coffee dulu (@ The Coffee Bean & Tea Leaf in Kuala Lumpur) https://www.swarmapp.com/c/6rb7s9IcZ8m  pic.twitter.com/yS5aIAXHeR
Sat Aug 01 01:57:32 PDT 2015 --  I'm at KL Sentral in Kuala Lumpur https://www.swarmapp.com/c/hCwscJdprCj 
Sat Aug 01 00:15:49 PDT 2015 --  I'm at Taman Sri Sentosa in Kuala Lumpur, Wilayah Persekutuan https://www.swarmapp.com/c/5fkHhsYlhYd 
Thu Jul 30 07:09:25 PDT 2015 --  Bila tokki penat wawan riba, bila wawan penat tokki riba i want this long-last relationship too pic.twitter.com/lprRqDwuBt
Thu Jul 30 03:39:15 PDT 2015 --  Sampai satu tahap dalam hidup, kau dah rasa penat nak puaskan hati semua orang. Kau hanya mampu kata, kalau tak suka aku, sudah. Aku penat.
Fri Jul 31 06:53:38 PDT 2015 --  Semakin lama kita semakin jauh, kita semakin hilang dan bila kita bertemu semula, masing masing rasa seperti orang asing dan tamat.
Fri Jul 31 08:25:30 PDT 2015 --  Tetibe badan terasa panas. Jgn nak demam sudah
Mon Jul 20 20:10:54 PDT 2015 --  I can't wait for this pic.twitter.com/5iOvbLgiQi
Fri Jul 31 04:34:53 PDT 2015 --  Hidup org single #GirlsDayOut pic.twitter.com/i8xnQPhHNL
Fri Jul 31 03:57:08 PDT 2015 --  I'm at @TGVCinemas in Wangsa Maju, Kuala Lumpur https://www.swarmapp.com/c/1btsIQ7c7A2  pic.twitter.com/GS5wKwNMw9
Fri Jul 31 01:39:10 PDT 2015 --  I'm at Song Box Karaoke in Wangsa Maju, Kuala Lumpur https://www.swarmapp.com/c/lj5Jh4CDC8a 
Fri Jul 31 01:30:40 PDT 2015 --  I'm at OldTown White Coffee in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/0RzBliKyRFd 
Fri Jul 31 01:30:08 PDT 2015 --  I'm at Wangsa Walk Mall in Wangsa Maju, Kuala Lumpur https://www.swarmapp.com/c/gC8zpeVfeZh 
Thu Jul 30 23:11:22 PDT 2015 --  Makan lagi hahahaha @ Boat Noodle Berjaya Times Square https://instagram.com/p/5yjzXiwWhdaW1IIWdc_1t9W9yTOzU7BNSP5p00/ …
Thu Jul 30 22:04:22 PDT 2015 --  I'm at Boat Noodle https://www.swarmapp.com/c/ex3vfIXEfAJ 
Thu Jul 30 22:04:13 PDT 2015 --  I'm at Berjaya @TimesSquareKl in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/clpFMDe62bJ 
Thu Jul 30 21:32:06 PDT 2015 --  I'm at KL Sentral in Kuala Lumpur https://www.swarmapp.com/c/2M6blxU1bNu 
Thu Jul 30 08:07:55 PDT 2015 --  put earphone on and ignore the problem.
Thu Jul 30 05:08:53 PDT 2015 --  Dapppnyaaa (@ Permai Western Food & Tomyam in TAMAN KERAMAT PERMAI, KUALA LUMPUR) https://www.swarmapp.com/c/bakL4bLq4mf  pic.twitter.com/NM4tlSjBby
Thu Jul 30 01:00:33 PDT 2015 --  I'm at Politeknik Metro Kuala Lumpur https://www.swarmapp.com/c/3HFgQmd2q4Y  pic.twitter.com/UcTRUIRuhx
Wed Jul 29 22:58:18 PDT 2015 --  I'm at KFC - @kfcmalaysia in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/0xI23DaqurP 
Sun Jul 26 00:13:22 PDT 2015 --  kau dah buat yang terbaik. kalau dia tak nampak jugak effort kau tu, hm gibab jela dgn dia.
Sun Sep 14 06:44:36 PDT 2014 --  Aku tak selamanya berharap. Ada suatu masa nanti aku akan lupakan kau jugak
Tue Jan 06 07:30:03 PST 2015 --  Orang yang susah nak move on ni memang susah nak giveup. tapi sekali dia giveup , there's no second chance for you
Wed Jul 29 05:38:53 PDT 2015 --  suka pendam tak suka cerita tak orang. pendam dn terus pendam.
Sat Mar 28 07:20:30 PDT 2015 --  Ada masanya kita terpaksa berundur "Walau betapa sygnya dan betapa susahnya kita usaha nak dptkn die" seandainya itu yg terbaik Mengalah"
Sat Mar 07 03:50:06 PST 2015 --  Aku diam, banyak benda dalam hati.
Wed Jul 29 07:06:49 PDT 2015 --  control yourself. don't let anyone control you. you know who & what you want. you know who & what you need. you know what makes you happy.
Wed Jul 29 04:08:05 PDT 2015 --  I'm not forcing nor begging nobody to stay in my life, I feel if you meant to be here you will be & if not that means you not !
Wed Jul 29 00:20:07 PDT 2015 --  I'm at TGV AEON AU2 SETIAWANGSA https://www.swarmapp.com/c/gScb7oGmmyf  pic.twitter.com/VDdlYF3efs
Tue Jul 28 23:59:05 PDT 2015 --  Hanya sushi yg dpt mngubati duka dn lara ku uhuks uhuks pic.twitter.com/1oX5OP3jPJ
Tue Jul 28 23:34:42 PDT 2015 --  I'm at Sushi King in Setiawangsa, Kuala Lumpur https://www.swarmapp.com/c/8bCIHDOgsYL  pic.twitter.com/KPryqZlj3m
Tue Jul 28 23:06:24 PDT 2015 --  I'm at AEON AU2 (Setiawangsa) Shopping Centre in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/2tnMdEAwVA6 
Tue Jul 28 22:40:20 PDT 2015 --  I'm at Maxis Centre - @maxiscomms in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/gQWtl3pbHKj  pic.twitter.com/Ub0PufogFP
Tue Jul 28 21:31:18 PDT 2015 --  I'm at Suria KLCC in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/8JG88ujBhtL 
Tue Jun 17 03:25:22 PDT 2014 --  Kalau aku mampu , aku dah buang perasaan ni. Tapi aku manusia biasa . Cuma mampu berdoa . Semoga ianya berakhir
