Fri Aug 28 21:05:20 PDT 2015 --  It's about that time pic.twitter.com/IE5UYiJreP
Sat Aug 22 07:33:24 PDT 2015 --  J. Cole could run into a burning orphanage, save 26 kids, and die in the process and people would be like "He only did it for his image."
Tue Aug 25 10:11:21 PDT 2015 --  No type of weather shall postpone the litness that will happen tonight
Tue Aug 25 10:40:45 PDT 2015 --  I swear God is good all the time!!..
Tue Aug 25 08:13:20 PDT 2015 --  Keep in mind it's only Tuesday. Gig Em week just mf started
Tue Aug 25 08:12:23 PDT 2015 --  Damn I be missing the ones that don't get shut down https://twitter.com/effaye_wuz_here/status/636080150015184897 …
Fri Aug 21 11:23:09 PDT 2015 --  #TodaysKidsWillNeverKnow pic.twitter.com/lkcOvzLtDk
Tue Aug 25 00:31:11 PDT 2015 --  pic.twitter.com/8nhboGHkGM
Mon Aug 24 14:56:22 PDT 2015 --  Mbdtf https://twitter.com/alannaroneice_/status/635931684983058434 …
Mon Aug 24 13:31:22 PDT 2015 --  You can't look at all the great work Kanye has put out and say say he's not one of her best to ever do his art.
Mon Aug 24 07:40:13 PDT 2015 --  200miles on dash pic.twitter.com/NYKMm37y1u
Mon Aug 24 07:14:30 PDT 2015 --  "Dirty muddy in a cup, 45 by my gut" pic.twitter.com/oXOue6Ncvn
Mon Aug 24 07:54:06 PDT 2015 --  When you wake up and realize you go to A&M so school doesn't start for another week. pic.twitter.com/JbFTRerBuo
Sun Aug 23 14:11:04 PDT 2015 --  RODEO pic.twitter.com/vqM96I29T8
Mon Aug 24 00:45:30 PDT 2015 --  During the course of the rest of Gig Em Week may no further L’s find us
Sun Aug 23 18:57:38 PDT 2015 --  This the most head ass thing I've ever seen pic.twitter.com/dHXBCfwIxo
Sun Aug 23 13:18:48 PDT 2015 --  I'm goin to hell for making this https://vine.co/v/eDLlWFeizJE 
Sun Aug 23 18:06:46 PDT 2015 --  Half my friends stay in CV and I'm still bored oss
Sat Aug 22 19:36:46 PDT 2015 --  When you wake up 2 hours after getting a "You up" and you pray to God they still up pic.twitter.com/6nTySdwRhy
Fri Aug 22 13:10:45 PDT 2014 --  This little kid came up to me and said "you look like my uncle" lmao pic.twitter.com/Ha0VMy7F6G
Sun Aug 02 14:14:02 PDT 2015 --  Dawg....... This nigga Eazy-E got a hat inside his sombrero....... pic.twitter.com/cMwqwDD6pm
Thu Aug 20 13:42:56 PDT 2015 --  When they yell "Uno!" But you got a "Draw 4" waiting on that ass pic.twitter.com/dVRT6KVVEE
Fri Aug 21 14:41:23 PDT 2015 --  Even after we graduated Mrs. Mack still lying about her age @Kyraaa_Leeee @KC7759
Thu Aug 20 22:50:52 PDT 2015 --  When you see a girl who curved at the grocery store pic.twitter.com/xL0YZHCVtJ
Wed Aug 19 18:16:55 PDT 2015 --  WOW pic.twitter.com/AbKdbpK7GE
Thu Aug 20 17:23:45 PDT 2015 --  Chance The Rapper be like.. (Just be rapping about random stuff) Song: Juice pic.twitter.com/1lhdwR6P45
Thu Aug 20 22:10:11 PDT 2015 --  Here is the cover art for @trvisXX's 'Rodeo' album: http://trib.al/d2dVr7a  pic.twitter.com/Jt6d9lmENL
Wed Aug 19 10:34:01 PDT 2015 --  Watch Travi$ Scott Create A New Track, “Never Catch Me” http://blntq.co/1NFcTXm  pic.twitter.com/vhp2nQ1GIW
Thu Aug 20 12:36:22 PDT 2015 --  The chalk lines are down #GigEm #TAMU pic.twitter.com/R56i2aUfnu
Wed Aug 19 06:34:43 PDT 2015 --  Family: Imani Richard returning from Surfside when car broke down & got hit from behind, 17 y/o killed #khou11 pic.twitter.com/V66preh5dS
Wed Aug 19 06:50:59 PDT 2015 --  Manvel PD says 17-year-old killed, 3 others injured in 288 crash last night http://on.khou.com/1NDWvq4  #HouNews pic.twitter.com/MivMhYT1qS
Wed Aug 19 07:54:50 PDT 2015 --  This year, 7 kids that attended Marshall passed. That's crazy. #RIP
Tue Aug 18 21:38:37 PDT 2015 --  Real recognize real pic.twitter.com/KciQhgHRx5
Mon Aug 17 19:34:22 PDT 2015 --  J Cole thoughts on Obama pic.twitter.com/s5KQD3flEr
Tue Aug 18 21:01:23 PDT 2015 --  I just surrounded myself with friends that I now consider my family.. https://twitter.com/exceltamu/status/633834996600430592 …
Tue Aug 18 20:49:03 PDT 2015 --  One of the strongest on campus https://twitter.com/exceltamu/status/633832247158665216 …
Tue Aug 18 20:48:08 PDT 2015 --  Not hard at all.. https://twitter.com/exceltamu/status/633844341262290944 …
Tue Aug 18 20:41:59 PDT 2015 --  I was shy too but just be open-minded and don't be afraid to converse with people. I promise you'll be comfortable https://twitter.com/exceltamu/status/633840201064824832 …
Tue Aug 18 19:31:11 PDT 2015 --  Send us your questions for #ExCELCollegeQuestions starting now
Tue Aug 18 19:08:25 PDT 2015 --  We want to hear your questions starting at 9:30 for #ExCELCollegeQuestions pic.twitter.com/UEFlmJGgOX
Tue Aug 18 13:58:53 PDT 2015 --  Aggie Attack is back! Make sure to follow #AggieFBLife on Periscope to watch LIVE at 6:25! pic.twitter.com/Yv0Y0MTpjj
Sun Aug 16 13:34:23 PDT 2015 --  Yeah this pic live pic.twitter.com/zZr3PCOxhr
Mon Aug 17 23:14:15 PDT 2015 --  MARSHALL HIGHSCHOOL https://twitter.com/woridstarhiph0p/status/633486154793287680 …
Mon Aug 17 13:53:31 PDT 2015 --  what if feels like when you have the 6 or plus and you hold the 5 pic.twitter.com/hGxpAvAzKl
Mon Aug 17 14:16:25 PDT 2015 --  Cowboys La'el Collins was our highest graded offensive rookie after the first week of the preseason. https://vine.co/v/ed29ud9evT7 
Mon Aug 17 11:54:41 PDT 2015 --  When someone says that A&M isn't gonna be any good this year... pic.twitter.com/toCMSxbjIB
Sat Aug 15 16:26:46 PDT 2015 --  my homie gave me 2 polo towels and told me to go crazy. pic.twitter.com/Fu2TDXIa9t
Mon Aug 17 01:00:52 PDT 2015 --  When you mad at work, but then realize you could be broke and unemployed pic.twitter.com/dRgNqzwQmI
Sun Aug 09 14:57:08 PDT 2015 --  Who is ready for tailgating and Aggie football?! #GigEm pic.twitter.com/UrH5DZBF74
Sun Aug 16 19:01:12 PDT 2015 --  This lowkey funniest moment of the movie omg pic.twitter.com/lzn2CShcE6
Sun Aug 16 06:30:44 PDT 2015 --  RIP TO BABYJOKER MAN HE WAS NATURALLY MY LIL PLAYA POTNA WHO DIDNT GAF ABOUT WAT NOBODY SAID HELL KISS YA GAL WITH THE QUICKNESS THEN LAUGH
Sun Aug 16 05:07:50 PDT 2015 --  Damn RIP To My Lil Mexican Dawg Baby Joker pic.twitter.com/HkIdZIROSQ
Sun Aug 16 16:01:09 PDT 2015 --  RIP darinel bro... That was the funniest Mexican I knew
Sun Aug 16 07:08:09 PDT 2015 --  Darinel was 1 of The BIGGEST flirt w/ black girls at Marshall
Thu Jul 30 06:04:00 PDT 2015 --  Congratulations to Jeremy Smith for being named to the 2015 Touchdown Club All-Greater Houston Preseason Team! pic.twitter.com/vjxKviLMLP
Sun Aug 16 01:24:37 PDT 2015 --  Damn bro #RIP
Sat Aug 15 08:36:55 PDT 2015 --  100-10.3 200-20.5 400-47.2 https://twitter.com/ajrollin/status/631934869946408961 …
Wed Jul 15 22:24:01 PDT 2015 --  Just so yall can understand why I made that comment about my grandma being weird pic.twitter.com/xitVIWKsYv
Fri Aug 14 04:29:54 PDT 2015 --  Theres no eye in that triangle so he cant be illuminati https://twitter.com/Elevated_T/status/632146192491802624 …
Sat May 23 13:38:13 PDT 2015 --  Just us pic.twitter.com/RGgtwtwvaP
Mon Aug 10 18:27:37 PDT 2015 --  J Cole's freestyle on Obama pic.twitter.com/cyy0PYiEtW
Mon Aug 10 14:32:08 PDT 2015 --  Client Candids: Sauce Twinz & Sosamann on set w/ Migos for the "On Top" music video. #SauceTheftAuto out now. pic.twitter.com/suaVns8xY5
Tue Aug 11 21:37:30 PDT 2015 --  Yall Be On Sum Other Shit https://vine.co/v/edKOuhF2bxr 
Thu Aug 13 17:06:09 PDT 2015 --  Fancy footwork. Cuts on dime. And can pick up 46 yards in a blink. Football fans.. meet Ameer Abdullah. #NYJvsDET http://snpy.tv/1TxUeUD 
Fri Aug 07 21:10:54 PDT 2015 --  Scientists have called this the perfect road trip. Just start in your state and follow the map. So, who's in? pic.twitter.com/ZQAy4wiRfA
Tue Aug 11 13:20:59 PDT 2015 --  ‘Rizzoo Rizzoo x Sauce Twinz "Super Sayian" Prod. By GnB’ on #SoundCloud #np https://soundcloud.com/tsfsauce/rizzoo-rizzoo-x-sauce-twinz-super-sayian-prod-by-gnb?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
Tue Aug 11 12:58:53 PDT 2015 --  Update: Now...it's 104° in #Houston. #TXwx pic.twitter.com/ifa9Kz1fyl
Tue Aug 11 13:00:59 PDT 2015 --  104 in Houston, but the FEELS LIKE temp reads 112... and that's in the shade! #Dangerousheat Some relief on the way pic.twitter.com/iwFZxZIkH4
Mon Aug 10 18:44:23 PDT 2015 --  Boys Begging for dope?? https://twitter.com/deemoetrill/status/630913827614257152 …
Sun Aug 09 10:09:06 PDT 2015 --  What school do you go to? Texas A&M Commerce? *sighs*
Sun Aug 09 21:38:19 PDT 2015 --  Ready to get back to college station and try to get good grades
Sat Aug 08 08:24:26 PDT 2015 --  Straight up nasty! #HTTR #GigEm @twll3 pic.twitter.com/YMmwbG2YZt
Sun Aug 09 09:57:56 PDT 2015 --  @trvisXX pic.twitter.com/4w9b0gf4fX
Sat Aug 08 13:08:57 PDT 2015 --  When you send that "you up?" text... And the typing dots pop up..... http://vine.co/v/OUIJQMhTzra 
Sun Jul 19 11:13:52 PDT 2015 --  Mentality this season pic.twitter.com/EHKeZkLwDF
Fri Aug 07 15:15:37 PDT 2015 --  So nice you have to see it twice. Dropping Halloween 2015. The all new #AggieNights uniform. #12thMan #teamadidas pic.twitter.com/pF942Tj2cV
Fri Aug 07 12:46:51 PDT 2015 --  ASAP rocky & Tyler the creator will be in Houston on a Friday..... I'm really tryna go
Thu Aug 06 08:27:52 PDT 2015 --  New Video: @JColeNC - "Off The Grid" (Short Documentary) http://www.rapdirect.net/2015/08/video-j-cole-off-the-grid-short-documentary/ … pic.twitter.com/ukxYbaV6JD
Sun Aug 02 20:46:10 PDT 2015 --  Meanwhile at Cards camp http://vine.co/v/eHe0r7M6mb3 
Wed Aug 05 08:00:39 PDT 2015 --  If #AllLivesMatter ALL PEOPLE must RAGE at ALL INJUSTICE. Don't let victims and families DOWN! #ZacharyHammond pic.twitter.com/WW9TF7RGxV
Tue Aug 04 19:43:16 PDT 2015 --  Retweet if you love your mom pic.twitter.com/nvTPKECYs4
Tue Aug 04 17:49:23 PDT 2015 --  She’s 37. Black don’t crack pic.twitter.com/lCDdWmynd9
Wed Aug 05 16:46:13 PDT 2015 --  @DezBryant vs. Brandon Carr. Great catch!! pic.twitter.com/llxvGJOvaY
Wed Aug 05 20:07:05 PDT 2015 --  First Look At The ‘NBA 2K16’ Graphics! See The New Toronto Raptors Jersey In Game Here! http://dlvr.it/BlxNx1 
Wed Aug 05 19:30:59 PDT 2015 --  Ye played the album in Toronto on repeat its HI Key over for everybody . Everybody. Also Rodeo hi key about to change lives of the youth
Wed Aug 05 16:55:47 PDT 2015 --  One year from today, the 2016 Summer Olympics will kick off in Rio de Janeiro, Brazil #TeamUSA #Rio2016 #Olympics pic.twitter.com/C1y3m1lZpL
Wed Aug 05 17:57:45 PDT 2015 --  #tamu19 excel 2015 will be lit. You'll make a lot of friends and have fun.
Tue Aug 04 21:26:29 PDT 2015 --  I tweeted this last November, but felt like I should share it with #tamu19 Get ready for the best time of your life🏼 pic.twitter.com/va2d5H1gBL
Tue Aug 04 16:46:24 PDT 2015 --  Byron Jones wins vs. Dez pic.twitter.com/lspklQe5Ri
Tue Aug 04 18:13:32 PDT 2015 --  Greg Hardy tries to use his dance moves to distract Dez Bryant during interviews. @BlueStarBlog #CowboysCamp pic.twitter.com/lSZUNpDWHy
Tue Aug 04 16:41:48 PDT 2015 --  Dez doing Dez things pic.twitter.com/y9Q0kpLsXC
Tue Aug 04 18:44:34 PDT 2015 --  Cowboy hater or not. If you cant see that the Cowboys are probably one of the best teams in the NFL right now, it may be a personal problem
Tue Aug 04 11:52:36 PDT 2015 --  Lloyd Banks & Renee Gerbich named the @USTFCCCA Texas T&F Coaches of the year! ==>http://bit.ly/BanksGerbich  pic.twitter.com/4q41CRJKN5
Fri May 30 18:48:30 PDT 2014 --  Just in case.. pic.twitter.com/ottRRWzH1R
Tue Aug 04 10:17:39 PDT 2015 --  Another beautiful day in Aggieland. pic.twitter.com/Ax75kNXt6E
Tue Aug 04 10:16:06 PDT 2015 --  https://twitter.com/bellajoleee_/status/628561455726505984 …
Mon Aug 03 21:44:34 PDT 2015 --  Its not even fair bro https://twitter.com/jonmachota/status/628423665533612032 …
Mon Aug 03 21:34:12 PDT 2015 --  Cowboys will be in nickel majority of the time this year. That's a lot of what could end up being their best lineup: pic.twitter.com/UK3T5tIkby
Mon Aug 03 21:03:49 PDT 2015 --  Bruh I swear oml @KC7759 be making this face dawg https://twitter.com/creative94era/status/628408548230213632 …
Mon Aug 03 22:43:47 PDT 2015 --  Kanye brought out Travis at #OVOFest ITS LIT pic.twitter.com/iU9KVHSq8d
Mon Aug 03 23:16:24 PDT 2015 --  The infamous 2015 Rolls Royce Wraith that Drake keeps bumping AR-AB in. MSRP: starting at $294,025 pic.twitter.com/y6HPFsf8LW
Mon Aug 03 22:46:52 PDT 2015 --  CV? https://twitter.com/angellyxo/status/628423600744214529 …
Mon Aug 03 19:17:57 PDT 2015 --  Define "fight" https://twitter.com/hotnewhiphop/status/628292686538260481 …
Mon Aug 03 13:14:07 PDT 2015 --  When coaches say "we gonna put u through a light workout," its never "light"
Sun Aug 02 20:22:00 PDT 2015 --  Video: Dez Bryant and Tyler Patmon full practice scuffle pic.twitter.com/5C24OYJvsP
Sat Aug 01 18:50:18 PDT 2015 --  #FreeLaFlame pic.twitter.com/J5zYVSiwEt
Sat Aug 01 18:49:45 PDT 2015 --  Travis Scott really got arrested for the livest reason
Sat Aug 01 16:20:19 PDT 2015 --  Finally.. https://twitter.com/rapdirect/status/627575547963387904 …
Sat Aug 01 13:03:15 PDT 2015 --  Oh wow... https://twitter.com/anti_intellect/status/627532963413147648 …
Wed Jul 02 19:38:26 PDT 2014 --  Who is Michelangelo RT“@GwapereIIa: When u hear a notification sound on bae’s phone pic.twitter.com/LCBEHodsBW”
Sun Jul 19 14:29:27 PDT 2015 --  #GrowingUpInTexas this almost every day pic.twitter.com/qL1V7MVGFe
Thu Jul 30 17:26:28 PDT 2015 --  pic.twitter.com/CJjWjkN3M7
Tue Jul 29 19:50:26 PDT 2014 --  “If your 15/16 ACT like your those ages not like your 20. Its not cute.” That awk moment when I thought this tweet was about act scores
Fri Jul 31 17:22:25 PDT 2015 --  The 2015 Cowboys are not playing games. Practice soundtrack just went from Dirty Sprite 2 to "Backseat Freestyle."
Fri Jul 31 05:36:44 PDT 2015 --  Direct Deposit hit 🏽🏽🏽
Thu Jul 30 22:08:56 PDT 2015 --  Mac Miller's thoughts on his new album. pic.twitter.com/wcTWUkReE7
Fri Jun 26 00:08:03 PDT 2015 --  There will never be another dance group like the JabbaWockeez pic.twitter.com/UKpdWNsTSs
Thu Jul 30 17:11:07 PDT 2015 --  " should I feel a ounce of guilt that I outdid all my peers or should write my name in the sky and show them niggas I'm here"
Wed Jul 29 21:20:12 PDT 2015 --  When you got the aux and somebody say "aye what song is this?" pic.twitter.com/tNjGyRrX03
Wed Jul 29 16:15:00 PDT 2015 --  Accurate representation of what the Drake/Meek beef looking like right now pic.twitter.com/C9GRJJJ526
Wed Jul 29 16:29:34 PDT 2015 --  Really hope it isn't real https://twitter.com/uniovabie/status/626237534260056065 …
Wed Jul 29 09:28:08 PDT 2015 --  @complex_uk A crowd of students chanted Kendrick Lamar’s “Alright” in protest against police http://bit.ly/1MtKkOf  pic.twitter.com/IGr6V3Ku6H
Wed Jul 29 11:45:46 PDT 2015 --  Here's the body cam vid of the cop killing #SamDubose. Pulled over for no front license plate. This isn't okay pic.twitter.com/zkcnSBxPYR
Tue Jul 28 11:17:48 PDT 2015 --  LMAOOO NOOOO pic.twitter.com/KEzicvaARA
Wed Jul 22 15:13:35 PDT 2015 --  VYPE Football: Class 5A No. 10 @MarshallBuffs to Reload http://vype.com/houston/2015/07/18/the-marshall-buffs-to-reload-in-2015/ … #txhsfb @TXHSFB @fb_playbook pic.twitter.com/Bh8YLCdAJX
Tue Jul 28 11:10:30 PDT 2015 --  Why going to a J. Cole concert is a must pic.twitter.com/HHzjooOkJL
Tue Jul 28 11:36:15 PDT 2015 --  KOTY @PotentPiO pic.twitter.com/Uz1Ce6bcFf
Mon Jul 27 09:31:16 PDT 2015 --  when you're having a smoke session with that one friend that always turns into a motivational speaker when their high pic.twitter.com/PU8dxvJMc4
Sat Jun 13 17:18:27 PDT 2015 --  Me when there's a monkey on my car.. http://vine.co/v/eO9LgjTqxTi 
Mon Jul 27 20:52:13 PDT 2015 --  Every Retweet = 1 Signature to Bring back NCAA Football games https://www.change.org/p/ncaa-bring-back-ncaa?recruiter=329812420&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive&rp_sharecordion_checklist=control … … EA SPORTS pic.twitter.com/urXu5Oz0zS
Sun Apr 20 09:27:59 PDT 2014 --  How many retweets can this get? pic.twitter.com/MHQsMSALe6
Tue Jul 28 10:06:26 PDT 2015 --  BRAAAHHHH http://vine.co/v/erLabAbrExU 
Sun Jul 05 11:54:24 PDT 2015 --  Need to find this full video... pic.twitter.com/4zpxEEPjra
Sat Jul 04 20:07:19 PDT 2015 --  https://twitter.com/bellajoleee_/status/617525313522675713 …
Wed Jul 01 12:14:49 PDT 2015 --  Brandon Knight just got a 5/70 million dollar deal...Never Forget pic.twitter.com/iylTp0hjVL
Sat Jul 04 12:51:09 PDT 2015 --  When you get your roast sense too late 🏽 pic.twitter.com/e87pa7driz
Sun Jan 11 11:42:59 PST 2015 --  Chris Brown thought he saw a Krump battle, then realize shit got realhttps://vine.co/v/ODuLhUeDmlB 
Fri Jul 03 23:20:37 PDT 2015 --  I WAITED A YEAR TO POST THIS AGAIN https://vine.co/v/MUpYJDgHrj3 
Fri Jul 03 19:30:48 PDT 2015 --  pic.twitter.com/j2Y868iZGP
Fri Jul 03 19:22:02 PDT 2015 --  Heading to Bryan, Tx.
Sun May 24 15:07:20 PDT 2015 --  when people waiting on your downfall but you’re a goat pic.twitter.com/BfPPeXriVZ
Thu Jun 25 00:58:43 PDT 2015 --  LMFAOOOO "where my belt at?" pic.twitter.com/bb9GlE1W0R
Thu Jul 02 20:29:44 PDT 2015 --  Burglary suspect breaks down in tears when he realizes judge at hearing is former classmate http://abc13.com/825392/  pic.twitter.com/Cio40DlyPu
Thu Jul 02 19:55:18 PDT 2015 --  WHAT ARE THOOOOSE pic.twitter.com/pJDIHVRvUg
Thu Jul 02 18:30:48 PDT 2015 --  hbcu advocates be reaching... https://twitter.com/anti_intellect/status/616620182946095104 …
Tue Apr 21 07:57:48 PDT 2015 --  This nigga Lynch been gangsta since forever pic.twitter.com/sg1qGVGdew
Thu Jul 02 06:57:06 PDT 2015 --  G.O.A.T http://twitter.com/tribecalledgod/status/614309083139690496/video/1 …
Sat Jun 27 12:37:15 PDT 2015 --  That's deep http://twitter.com/AnnaMarieSarai/status/614855452833116160/photo/1pic.twitter.com/bMCtU7cOT8 
Wed Jul 01 14:01:05 PDT 2015 --  I think I just found the original "what are those????" pic.twitter.com/LyE8B496LU
Wed Jul 01 12:28:49 PDT 2015 --  Cowboys & whoever sucks the least . https://twitter.com/rtsportquestion/status/616313730444492800 …
Wed Jul 01 04:09:19 PDT 2015 --  We're gonna be #Alright now @kendricklamar's new video has dropped: http://asos.do/iJFUvE  pic.twitter.com/tj4wDD2zfq
Tue Jun 30 20:42:44 PDT 2015 --  #TAMU19 quit playing and sign up for the excel conference
Tue Jun 30 19:53:11 PDT 2015 --  Can you tap "777" https://vine.co/v/eqLeq5IgBdH 
Sun Jun 28 15:04:54 PDT 2015 --  This gave me chills. I gotta see J.Cole Live pic.twitter.com/ILaF9LvWjG
Tue Jun 30 11:52:27 PDT 2015 --  Shamon is going to PR at the #worldyouthtrials #BMF 🏾🏽
Mon Jun 29 21:54:26 PDT 2015 --  If you ask Siri "What's 0 divided by 0" she will just end yor life
Mon Jun 29 19:22:54 PDT 2015 --  J cole or Kanye probably.. https://twitter.com/_misstink/status/615706271191187456 …
Sat Mar 28 10:16:40 PDT 2015 --  "Dez Bryant didn't cat.." pic.twitter.com/C3EXBUtr30
Mon Jun 29 18:45:20 PDT 2015 --  'No you can't cook" http://twitter.com/FreddyAmazin/status/615593958849187840/video/1 …
Mon Jun 29 19:18:03 PDT 2015 --  In his prime tho?? https://twitter.com/_misstink/status/615704920860135424 …
Mon Jun 29 19:03:26 PDT 2015 --  #WHATARETHOSE !?!? pic.twitter.com/6m3AAftxnP
Mon Jun 29 09:37:13 PDT 2015 --  You can't out gig a Dallas nigga they gone work Til they can't feel pic.twitter.com/tnccIV8PpM
Mon Jun 29 10:23:39 PDT 2015 --  I'm tapping in my star like I'm favoriting tweets... Yuuuhhhh!!!
Sat Jun 27 16:58:55 PDT 2015 --  Sensitive Twitter just always be complaining. They don't even do research first. pic.twitter.com/wI7RbxuQov
Sun Jun 28 16:46:54 PDT 2015 --  not even people in church are safe http://vine.co/v/eJX7HXWmWOT 
Thu Jun 25 21:53:12 PDT 2015 --  the best feeling in the world. FOR THE FULL VERSION FOLLOW MY INSTAGRAM. Fatandp... (Vine by @fatandpaid) https://vine.co/v/Ovr2nuH1U0i 
Tue Jun 09 08:44:06 PDT 2015 --  Bisexual people really confuse me pic.twitter.com/UOTbZMt93y
Sun Jun 28 23:50:25 PDT 2015 --  she said she already hurt her own feelings
Sun Jun 28 21:02:37 PDT 2015 --  J.Cole slept on.. People these days don't really fuck with music with actual meaning. Legit music.
Sun Jun 28 18:05:14 PDT 2015 --  When you trying not to get caught cheating on a test pic.twitter.com/XozgvnqCuA
Sun Jun 28 20:47:08 PDT 2015 --  Who should win the Arthur Ashe Courage Award? RT Eric Berry (Pro Bowl Safety & Cancer Survivor) FAV Caitlyn Jenner pic.twitter.com/x9nG6oGHnQ
Sun Jun 28 18:38:20 PDT 2015 --  WHO DID THIS!? pic.twitter.com/wrX0Zce16N
Sun Jun 28 17:34:55 PDT 2015 --  Time for the camera men to be petty and keep the cameras on Kartwheel and Blacc Chyna
Sun May 17 15:07:55 PDT 2015 --  I just fell in love pic.twitter.com/KHuze1Dwrm
Sun Jun 28 17:33:44 PDT 2015 --  Swear J Cole is so underrated
Sun Jun 28 17:17:48 PDT 2015 --  "magic feet she sliding like a motha fucka" pic.twitter.com/eSBmZE1jCn
Sun Jun 28 17:29:14 PDT 2015 --  This nigga https://twitter.com/nicknpattiwhack/status/615315348733034498 …
Sun Jun 28 16:35:04 PDT 2015 --  Explain this real quick @ILLY_IL_ #BETAwards2015 #BlackTwitterFamilyReunion pic.twitter.com/DkBQNCbzay
Sun Jun 28 15:54:48 PDT 2015 --  OG Maco's shirt 🏾 pic.twitter.com/es6qc8Aky7
Tue Jun 23 15:04:12 PDT 2015 --  If this doesn't give you the chills idk what will. Ready for some Tailgating and Aggie football. 🏼 pic.twitter.com/RtFXI6Kpe2
Sun Jun 28 17:08:07 PDT 2015 --  The sauce twins would have the BET awards on fire
Sun Jun 28 16:30:49 PDT 2015 --  this doesn't add up lmao pic.twitter.com/lerd2GgLJq
Sun Jun 28 16:23:50 PDT 2015 --  Swear to god I thought it was a joke
Sun Jun 28 16:23:22 PDT 2015 --  She really performing lol
Sun Jun 28 16:09:18 PDT 2015 --  When you gotta quit the GTA heist because some nigga decided to quit https://twitter.com/leanandcuisine/status/615258649615859712 …
Sun Jun 28 15:17:08 PDT 2015 --  When they said lil mama performing "sausage" pic.twitter.com/c3fyKbSFsF
Sun Jun 28 15:05:51 PDT 2015 --  Lmao! pic.twitter.com/H9nkw9qOSK
Wed Jun 24 22:34:47 PDT 2015 --  LMAAOOO pic.twitter.com/qdbQPSxq5Q
Sat Jun 20 08:25:00 PDT 2015 --  They think that I'm Tom Cruise!!! pic.twitter.com/Awzeng7MRs
Sat Feb 07 22:23:09 PST 2015 --  Tip #2 - If you download a "PDF" file and you see it ends in ".exe" delete it. Its a virus
Sun Feb 08 00:00:23 PST 2015 --  Purchasing plane tickets while your browser is in Incognito mode will lower the prices
