Mon Aug 17 17:12:44 PDT 2015 --  if we’re friends, there’s a 106% chance that I’m always petrified that you secretly hate me.
Sun Aug 09 17:24:26 PDT 2015 --  There's people who Catfish, there's people who get Catfished, and there's people who are too old/tech stupid to even know what Catfishing is
Sun Aug 09 17:16:17 PDT 2015 --  The Maze Runner is still a good series, just overrated. That is all.
Sun Aug 09 17:15:57 PDT 2015 --  The first book was compared to the Hunger Games when it shouldn't have been. Just saying
Sun Aug 09 17:15:32 PDT 2015 --  I haven't seen neither of the movies so I'm just speaking for the books. The books weren't that good
Sun Aug 09 17:14:35 PDT 2015 --  A good series, but people make it out to be a better series than it actually is because the actors who play the characters are hot
Sun Aug 09 17:13:39 PDT 2015 --  I think the Maze Runner Series is overrated.
Sun Aug 09 17:09:30 PDT 2015 --  Omg this is my 420th tweet #420 #ImmatureJokes
Sun Aug 09 16:00:38 PDT 2015 --  serving size: 4 yah all 4 me
Sun Aug 09 16:49:06 PDT 2015 --  *In Elvis Presley voice* Like a good neighbor, State Farm is there!
Sun Aug 09 16:30:17 PDT 2015 --  
Sun Aug 09 16:29:50 PDT 2015 --  But I am for sure gonna reread HP
Sun Aug 09 16:29:35 PDT 2015 --  Oh geez now I'm feeling a little bit nostalgic for the Hunger Games series. Nostalgia please leave me alone!!!
Sun Aug 09 14:40:05 PDT 2015 --  does anyone have like ten thousand dollars they dont want
Sun Aug 09 14:46:26 PDT 2015 --  using such dynamic hook nouns isolates a song so it's instantly more memorable than most others, even if they're conceptually similar
Sun Aug 09 14:47:27 PDT 2015 --  There's a me in lame for a reason
Sun Aug 09 09:14:34 PDT 2015 --  off-brand cereal
Sun Aug 02 16:55:29 PDT 2015 --  Chimpugzee pic.twitter.com/0Qa1vegPAb
Sun Aug 09 14:19:47 PDT 2015 --  Be good to your body. Be kind to your heart. Eat pizza, too... sometimes.
Sun Aug 09 14:21:35 PDT 2015 --  lol
Sun Aug 09 14:00:06 PDT 2015 --  real friends don't judge each other they judge other people together
Sun Aug 09 13:58:20 PDT 2015 --  God, my family's so cheap
Sun Aug 09 13:11:18 PDT 2015 --  Bitch, Peas
Sun Aug 09 12:56:09 PDT 2015 --  Oh. My. God. We're on buzzfeed. pic.twitter.com/RBWxj7o4Sy
Sun Aug 09 13:02:10 PDT 2015 --  400 tweets I guess
Sun Aug 09 13:01:42 PDT 2015 --  Honestly, probably 163526% of my blood is pizza
Sun Aug 09 13:01:37 PDT 2015 --  Pizza sounds really good right now
Sun Aug 09 13:01:16 PDT 2015 --  Modern day Brady Bunch family having iPhones and going to Starbucks everyday. And Marcia wears "basic-white girl" outfit
Sun Aug 09 12:59:19 PDT 2015 --  Sunday afternoon lunch with my extended family is always awkward because I'm the exact opposite of them
Sun Aug 09 12:57:10 PDT 2015 --  Honestly I just want $500 just to spend on books. Not even $500 just $200 maybe
Sun Aug 09 12:52:41 PDT 2015 --  And it's someone's wedding today also. So I'll just eat an entire wedding cake by myself also
Sun Aug 09 12:51:18 PDT 2015 --  It's someone's birthday today so... HAPPY BIRTHDAY. I'll eat an entire cake by myself to celebrate your birthday unknown stranger!
Tue Jul 21 21:44:26 PDT 2015 --  Words to live by pic.twitter.com/pkeCy1F6w9
Sun Aug 09 12:49:46 PDT 2015 --  And as always, let's all hope I get to sit by someone attractive on this flight!
Sun Aug 09 12:48:41 PDT 2015 --  I'm feeling really nostalgic for Harry Potter now.... Time to re read the series for maybe the second dozenth time... Not even joking
Sun Aug 09 12:23:47 PDT 2015 --  there are actually taylor swift lyrics for whatever it is that life throws at you
Sun Aug 09 12:39:24 PDT 2015 --  Is butter a carb?
Sun Aug 09 12:35:20 PDT 2015 --  And of course this
Sun Aug 09 12:35:10 PDT 2015 --  Oh and these
Sun Aug 09 12:34:57 PDT 2015 --  Especially this one
Sun Aug 09 12:34:22 PDT 2015 --  Idk why but I'm really loving these emojis right now
Sun Aug 09 10:54:49 PDT 2015 --  LIKE BLAH BLAH BLAH
Sun Aug 09 06:44:38 PDT 2015 --  The Walking Dead before church is always a good thing
Sun Aug 09 06:43:11 PDT 2015 --  As I was scrolling through the channels I read "The Walking Dead" as "The Walking Bread". Shows you how hungry I am this morning
Sat Aug 08 19:11:46 PDT 2015 --  Shout out to my 10K followers. Yall are the best.
Sat Aug 08 18:02:28 PDT 2015 --  When you're so hungry you could eat 4 Chipotle burritos but you only eat 3 cuz you don't wanna be judged...
Sat Aug 08 09:14:05 PDT 2015 --  88 days until my bday ( yes I'm going to be that person)
Sat Aug 08 06:07:10 PDT 2015 --  The police in the US have killed 700 people this year alone, while police in UK have killed 55 in the past 24 years. #ChristianTaylor
Sat Aug 08 09:08:03 PDT 2015 --  I LOVE THAT FEELING WHEN YOU LISTEN TO AN OLD SONG AND YOU DON'T EVEN HAVE TO THINK ABOUT THE LYRICS THEY JUST KINDA COME OUT
Fri Aug 07 07:43:42 PDT 2015 --  Things Keeping Trump Too Busy To Be Politically Correct -Calling women disgusting -Staring in the mirror -Finding people to sue -Squinting
Sat Aug 08 09:07:41 PDT 2015 --  I just realized that I'm stuck with me the rest of my life
Sun Jul 26 17:19:18 PDT 2015 --  #SingleBecause pic.twitter.com/i1XxUKBGkD
Sat Aug 08 08:58:11 PDT 2015 --  Okay this may be why I want a selfie stick https://twitter.com/TheMiIitary/status/629163800684576768 …
Sat Aug 08 08:57:34 PDT 2015 --  Is it still socially acceptable to tweet about what you're eating at the very moment?
Sat Aug 08 08:57:03 PDT 2015 --  Okay I seriously want a selfie stick. I don't even know why tbh
Sat Aug 08 08:56:07 PDT 2015 --  Whenever I make an important decision, I think to myself "Would Bill Nye approve of my actions?" Most of the time I find that he would.
Sat Aug 08 08:53:00 PDT 2015 --  "Pssh. I haven't used MySpace since, like, 2008" -My mom
Sat Aug 08 08:50:18 PDT 2015 --  I tried making a MySpace account this morning and I had no idea what was happening so I shut my computer down and used Facebook instead.
Sat Aug 08 00:30:30 PDT 2015 --  Accurate (via @cjzero) pic.twitter.com/SLqgorw1ue
Sat Aug 08 03:20:29 PDT 2015 --  I'M AWAKE AT 3AM BUT ONLY FOR ABOUT 4 MORE SECONDS
Sat Aug 08 08:39:14 PDT 2015 --  BTW I'm a middle child also so Happy National Middle Child Day to me
Sat Aug 08 08:38:52 PDT 2015 --  It's national Middle Child Day? Omg Jan Brady it's literally a day just for you
Sat Aug 08 00:27:18 PDT 2015 --  I just learned that a small population of modern people believe in Ancient Greek gods and.. I'm a Greek god nerd but not that hard core nerd
Sat Aug 08 00:18:50 PDT 2015 --  Is this the devil trying to speak to me pic.twitter.com/drb71V4N4I
Sat Aug 08 00:08:10 PDT 2015 --  Actually, Android sucks, period. Hopefully I'll be getting an iPhone for my bday
Sat Aug 08 00:07:36 PDT 2015 --  Omg I'm sorry. I just realized that iPhones always have the taco emoji... Sorry Android user here. Android totally suck in the emoji world
Sat Aug 08 00:02:12 PDT 2015 --  Sorry for the emoji tweet rant. I just do twitter rants way too often. I'm mostly done, I think.
Sat Aug 08 00:00:49 PDT 2015 --  I mean, If I had to choose between the pizza emoji and tack emoji, sorry @tacobell but @pizzahut wins this fight
Fri Aug 07 23:57:49 PDT 2015 --  Like. We're wasting time on these emojis when really we need a taco emoji. Seriously emoji making people
Fri Aug 07 23:57:01 PDT 2015 --  Or these???
Fri Aug 07 23:53:28 PDT 2015 --  So does anybody actually use this emoji? Like???
Fri Aug 07 23:51:28 PDT 2015 --  Omg @MichelleKhare you have the same birthday as @KylieJenner not the same year but still omg
Fri Aug 07 23:48:04 PDT 2015 --  I might've already said this but I have the same birthday as @KendallJenner .... I'm way too proud of this fact
Fri Aug 07 23:46:18 PDT 2015 --  Sorry for the Snapchat tweet rampage. I have those sometimes
Fri Aug 07 23:43:22 PDT 2015 --  Why do people post selfies at 11 pm on Snapchat with the caption "Goodnight Snapchat"? Like? Who exactly is "Snapchat"?
Fri Aug 07 23:37:46 PDT 2015 --  Should I go to sleep, or watch two more hours of Family Guy/American Dad? Decisions, decisions
Fri Aug 07 21:45:01 PDT 2015 --  rt if taco bell has positively impacted your life in more ways than any boy ever has
Fri Aug 07 18:40:19 PDT 2015 --  BILL pic.twitter.com/lz1MddNqOo
Fri Aug 07 22:42:20 PDT 2015 --  SICK!!! 🏻 https://twitter.com/cdonnolo1991/status/629888411214737408 …
Fri Aug 07 23:07:21 PDT 2015 --  🏼 pic.twitter.com/t6ng4SsLtA
Fri Aug 07 17:44:03 PDT 2015 --  What Should You Disclose Before Sex? http://www.buzzfeed.com/kennymoffitt/what-should-you-disclose-before-sex?utm_term=.gbZVlKV3B0 … via @kmof @buzzfeed
Fri Aug 07 19:40:12 PDT 2015 --  I've only watched the Brady Bunch Movie three times in a row...
Fri Aug 07 17:32:34 PDT 2015 --  Omg same https://twitter.com/Allison620/status/629812032443789313 …
Fri Aug 07 11:50:43 PDT 2015 --  Omg. @khloekardashian Is explaing what "on fleek" means... Dream come true
Fri Aug 07 11:47:29 PDT 2015 --  And no I'm not going "Trick Or Treating" I just really love Halloween, obviously
Fri Aug 07 11:47:07 PDT 2015 --  I'm feeling really nostalgic/excited for Halloween
Mon Aug 03 20:00:07 PDT 2015 --  wants: pizza needs: pizza
Fri Aug 07 10:09:14 PDT 2015 --  OK we're taking off, should this be my last tweet. Please tell Oprah, Taylor, and Beyoncé that I loved them.
Fri Aug 07 09:53:03 PDT 2015 --  OH MY LORD Taco Bell just tweeted pictures I took
Fri Aug 07 09:45:31 PDT 2015 --  Senior picture goals. https://twitter.com/mogirlprobs/status/629475561979559936 …
Fri Aug 07 09:48:33 PDT 2015 --  Just because you did something in the past doesn't mean you'll do it in the future. Like getting your work done and being productive.
Fri Aug 07 09:01:18 PDT 2015 --  http://WWW.POPPYDEYES.COM 
Fri Aug 07 09:06:01 PDT 2015 --  I'm pretty sure love is when someone other than an uber driver drops you off at the airport.
Fri Aug 07 07:37:57 PDT 2015 --  17 things you learn from growing up in a mixed-race household http://bzfd.it/1SZFsFY  pic.twitter.com/NjkulgfyaA
Thu Aug 06 22:49:50 PDT 2015 --  Woooaaaaahh. My video is on the BuzzFeed snapchat discovery. Cool.
Fri Aug 07 07:45:04 PDT 2015 --  
Fri Aug 07 07:53:10 PDT 2015 --  Trump is like if your drunk, racist uncle was running for president. The problem is that now your uncle has someone to vote for.
Fri Aug 07 00:09:01 PDT 2015 --  This dad got a tattoo of a cochlear implant to match his daughter’s and it’s the sweetest http://bzfd.it/1DthpZc  pic.twitter.com/52ruTBfPOL
Thu Aug 06 23:54:12 PDT 2015 --  Who the hell invented comforter slips and why the heck did you not include a contraption to keep the comforter from getting tangled inside
Thu Jul 30 12:29:15 PDT 2015 --  I have the curse of blinking in every picture I take and getting stuck behind someone who has never been to Chipotle before.
Thu Aug 06 21:28:14 PDT 2015 --  Marcia, Marcia, Marcia
Thu Aug 06 21:24:33 PDT 2015 --  Sorry for the Brady Bunch tweet rampage, guys It's over for now guys... I think
Thu Aug 06 20:45:31 PDT 2015 --  #TodaysKidsWillNeverKnow The Amanda Show pic.twitter.com/MvKkz6WZaF
Thu Aug 06 20:59:36 PDT 2015 --  Omg @GordonRamsay come help me! pic.twitter.com/2601vsN75W
Thu Aug 06 19:14:03 PDT 2015 --  remember when I told you guys I was gonna get my senior pictures at taco bell and you thought I was joking pic.twitter.com/GiJK5mNZRf
Thu Aug 06 20:45:51 PDT 2015 --  Don't be surprised if I go back to school wearing an outfit from the sixties and a blonde wig whilst muttering "Marcia, Marcia, Marcia"
Thu Aug 06 20:44:14 PDT 2015 --  The Brady Bunch is turning into a new obsession for me and honestly I feel so worried for my mental health right now
Thu Aug 06 20:25:51 PDT 2015 --  Oh I couldn't possibly eat all this thai food! -eats all the thai food, eats dessert, eats a suburban county-
Thu Aug 06 20:34:23 PDT 2015 --  I've got a lint roller, of course... but... this lint stuff. Who likes it? Not me.
Thu Aug 06 20:38:50 PDT 2015 --  Jan Brady is my spirit animal.... After Taylor Swift of course
Thu Aug 06 19:42:58 PDT 2015 --  btw my mom went to school with the kid actors who played the Brady Bunch kids and she was in the same class as the girl who played Marsha
Thu Aug 06 19:40:46 PDT 2015 --  The Brady Bunch are such a basic white family that I should worship them as gods... Basically.
Thu Aug 06 19:18:32 PDT 2015 --  today was one of those days where i thought to myself, "thank god i had the impulse to get my eyebrows waxed yesterday"
Thu Aug 06 18:24:52 PDT 2015 --  We buried a potato because why not
Thu Aug 06 17:51:55 PDT 2015 --  WAKE UP PEOPLE!! https://www.youtube.com/watch?v=TikVEC2_OKI&feature=youtu.be&t=5m41s … - BUZZFEED EXPOSED!!! DESTROYING THE AMERICAN MALE - GAY PROGRAMMING AGENDA!
Tue Aug 04 00:37:56 PDT 2015 --  Birth control? BAN IT! Abortion? BAN IT! Gay marriage? BAN IT! Guns? Look, banning things never works. People will find ways to get them.
