Fri Aug 28 07:20:24 PDT 2015 --  ビール→カクテル→日本酒という黄金の系統で見事にグロッキー。
Wed Aug 05 06:51:56 PDT 2015 --  車はヒップラインも大切だと思う。
Wed Aug 05 06:36:11 PDT 2015 --  ロータスかと思ったけど違ったみたい。俺も気になる。どなたかわかる方いませんか? https://twitter.com/4mo8s/status/628851654436130816 …
Wed Aug 05 01:34:54 PDT 2015 --  早番終わって癒しの郷に来た。桑折ラーメン専門店夢元なり。今日も麺ダブルで。節骨みそチャーシュー麺いただきます。ってマスターと話してたら写真忘れたけど、話があってさらにひと玉サービスしてもらいました。3玉目。 pic.twitter.com/EUixnuf6zg
Tue Aug 04 06:56:29 PDT 2015 --  次の @YouTube 動画を高く評価しました: http://youtu.be/D5nxH_tEFr0?a 
Tue Aug 04 06:45:06 PDT 2015 --  みなさん、この前日本で2番目の暑さをたたき出した観測所はこいつです。梁川のの粟野にあります。つかべから北に入ってしばらく行くと右側に見えてきます。 pic.twitter.com/GftorQV3g2
Mon Aug 03 06:52:35 PDT 2015 --  大規模災害時相互応援協定を福島市と山口市が結んでいるのには驚いた。会津若松市と萩市ならもっと驚くけどね。
Mon Aug 03 05:07:43 PDT 2015 --  姉妹都市ってメリット少ない気がします。それだったら 大規模災害時相互応援協定のが意味があると思う。ちなみに、わが福島県伊達市は全国8つの市町村と協定を結んでるみたい。北海道松前町、山形県米沢市、新潟県三条市と見附市、千葉県白井市、長野県南牧村、滋賀県草津市に島根県出雲市です。
Mon Aug 03 04:46:16 PDT 2015 --  郡山市と鳥取市が姉妹都市とは知らなんだ。なんでも、安積疎水開拓時代に鳥取藩の士族が手伝ってくれたんだとか。
Mon Aug 03 03:55:17 PDT 2015 --  これ、きっと雲の中に航空母艦がいるよ。 https://twitter.com/okasanman/status/628012613503291392 …
Mon Aug 03 03:47:33 PDT 2015 --  保原の１８時になった花火はなんの合図だったのだろう?お祭りやってんのかな、どっかで?
Sun Aug 02 20:00:18 PDT 2015 --  【定期おしらせ】 みづの農園ではトマトの通販を行っております。 ご注文・お問合せはmizunoman1214＠gmail.comまでどうぞ！ ご注文お待ちしております（*´ω｀） pic.twitter.com/8V312cE2lt
Sun Aug 02 08:37:40 PDT 2015 --  夜勤中です。腹減ったので 、施設で育ててばーちゃんたちが収穫したきゅうりを味噌つけて丸ごとかじる。これがうめーんだな。
Sun Aug 02 05:16:54 PDT 2015 --  高橋、センター前の当たりを放つも二走佐々木、本塁アウト。試合終了。 福島5-5福井 pic.twitter.com/UbJGijus19
Sun Aug 02 02:17:41 PDT 2015 --  http://www.ustream.tv/channel/5132737  日本３大花火大会の一つ、長岡の花火大会ライブです。
Sat Aug 01 17:01:27 PDT 2015 --  ＡＷＡ(定額音楽配信サービス)はいいですね。ただ今、３ヵ月無登録で無料で聞き放題です。ヾ(・ω・`；))ﾉぁゎゎ。
Sat Aug 01 16:57:46 PDT 2015 --  夜勤明けで、朝からキム牛食って元気ハツラツ!今日も夜勤がんばる。
Fri Jul 31 20:37:58 PDT 2015 --  https://play.google.com/store/apps/details?id=fm.awa.liverpool … これすごい。今なら３ヵ月無料で無登録で聞き放題!!!無料期間はラインミュージックより圧倒的に長いよ。
Fri Jul 31 07:26:09 PDT 2015 --  今日一日、朝仕事に行き夕方帰ってきて、男性と話したのがたった一言「お疲れ様でした。」あとは女性ばっかの世界。家に帰ってきても奥さんと奥さんの母親。ああ、少し孤独感を感じる今日この頃。
Fri Jul 31 07:05:12 PDT 2015 --  英語では、MOTORは動力装置の意味で、内燃機関も電気モーターもみんなモーターだったわけです。おあとがよろしいようで。
Fri Jul 31 07:02:55 PDT 2015 --  今日素朴な疑問がわきまして、私、マニュアルシフトの車とモータースポーツ観戦が好きでして、「なんで大半がエンジンなのにモータースポーツ？」と思い、調べてみたんです。答えは簡単でした。日本語では、内燃機関はエンジン、電気モーターはモーターっていいますよね？でも、英語では。。。続く。
Thu Jul 30 05:37:42 PDT 2015 --  もし経営統合した場合、保原にある道路を挟んで向かい合ってある出光と昭和シェルの店はどうなるか注目です 。 https://twitter.com/nhk_NEWSWEB/status/626730377764171776 …
Thu Jul 30 02:54:40 PDT 2015 --  ネットで調べたところ、シロオニタケと判明。もち毒キノコです。俺は、オニゴルフボールオンザティーでもいいと思っている。 https://twitter.com/niwashinokane34/status/626558903807946753 …
Wed Jul 29 06:16:21 PDT 2015 --  愛姫花嫁道中の再現だったら梁川町（伊達市）でもできるね #独眼竜花嫁道中
Wed Jul 29 06:13:17 PDT 2015 --  なんかTwitterがいつの間にかマイチェンしとるし。
Mon Jul 27 17:07:27 PDT 2015 --  「ちょっと一息雑学ネタ」！！　ねこが触ると喜ぶ場所まとめ！ pic.twitter.com/TEbFvWcCl5
Tue Jul 28 06:18:35 PDT 2015 --  夕方に蝉が鳴くのを聞いていたら一句できました。 蝉の声 蝉は鳴いてない 鳴らしてる (字余り) <解説 > セミは声をだして鳴いているわけではなく、羽をすり合わせて鳴らしているんだよという意味です。
Tue Jul 28 06:09:15 PDT 2015 --  東京で８年、福島で３年タクシードライバーを経験した私から言わせていただくと 、タクシーの居眠りは流しが基本の東京が多いと思います。福島は待機と無線が大半なので、それほどは疲れません。ま、東京でもつけが多かったですけど、私は。 https://twitter.com/Health_Press_JP/status/625948652549357568 …
Tue Jul 28 05:24:30 PDT 2015 --  最終運転って今年のってことですかね?それともほんとにこれが臨時も最後ってこと? https://twitter.com/tokyoshashinbu/status/626001945237417984 …
Sun Jul 26 06:15:00 PDT 2015 --  今日早番終わってから、月館の新しくできたバイパス走ってきました。いや、走りやすいです。今まで５分はかかっていた距離がすいていればものの１分で通過できます。これで伊達市からつきだて花工房や川俣の道の駅が行きやすくなりました。スピードだしすぎには注意を。
Sun Jul 26 06:05:04 PDT 2015 --  高校野球大阪大会の大阪桐蔭vsＰＬ学園が決勝戦で実現したら全国中継してほしい気がする。
Sun Jul 26 05:49:20 PDT 2015 --  もう１つスポーツネタを。本日のＪ３の結果。福島ユナイテッドＶＳカターレ富山は０対３でカターレ富山の勝ち。ＢＣリーグ福島ホープスＶＳ富山ＧＲＮサンダーバーズは５対３で福島ホープスが勝ちました。この結果、今日の福島ＶＳ富山は引き分けです。
Sun Jul 26 05:11:58 PDT 2015 --  伊達市の学校なのにレギュラーに伊達市出身が１人しかいない。いや、全国レベルの野球部に１人いるだけでもすごいと考えるべきか。梁川中出身の３番ライト浅見くんを応援しよう。
Sun Jul 26 03:03:06 PDT 2015 --  桑折町では諏訪神社のお祭り。巫女さんたちが素敵です(☆▽☆)♪ pic.twitter.com/ehbFBhXJVw
Sat Jul 25 20:54:09 PDT 2015 --  ケーシー転倒のGIFが早くも上がっていました。非常に危険な転倒でした… #8tai #鈴鹿8耐 pic.twitter.com/9BnvPrShG8
Sat Jul 25 02:14:19 PDT 2015 --  霊山に登ってきた〜(^o^)霊山は859年に慈覚大師が開山。盛時には3600坊が山谷に満ちていたんだって。南北朝の争いで焼けてしまって、今は跡地が残るのみ。現代にまで霊山寺が残っていたらなぁ〜。ロマンを感じる場所でした♪ pic.twitter.com/a1e9A5F0OS
Sat Jul 25 00:24:36 PDT 2015 --  アンナガーデンをセピアカラーで撮ると、外国みたいだった。 pic.twitter.com/w9pVCFvNsv
Fri Jul 24 21:49:41 PDT 2015 --  福商対日大東北は、福島市対郡山市の対決な雰囲気になってます。聖光対福工の時は、同じ県北同士ということでスタンドは控えめでしたが、今は９割強が福商ファンです。
Fri Jul 24 19:12:49 PDT 2015 --  あずま球場着いた。駐車場確保に四季の里近くまで行かなきゃなかったです。 pic.twitter.com/cH2R8w8xdV
Fri Jul 24 17:02:05 PDT 2015 --  今日こそ高校野球やるよね?ってもう準備してるけけど。
Fri Jul 24 07:11:15 PDT 2015 --  ホンダカーズ伊達中央には、Ｓ８００がＳ６６０と並んでおいてありますよ。２台が入口で出迎えてくれるなんてなんて粋なはからいでしょう。国道４号線の上り線から見えます。 pic.twitter.com/Im7Gy1VTYJ
Fri Jul 24 06:53:09 PDT 2015 --  簡単にお金を増やす方法は、簡単にお金を減らす方法でもあります。相応の技術かよほど運が良くない限り、合法的にお金を簡単に増やす方法はありません。 https://twitter.com/nandemoomakase/status/624568946771955713 …
Fri Jul 24 02:37:23 PDT 2015 --  これは美味しい。やはり日本酒(特に純米酒)はなんでも料理に合いますが、特にうなぎなどの魚関係は最高に合いますな。いや贅沢じゃ。 pic.twitter.com/V0mhAwCUmO
Thu Jul 23 21:21:44 PDT 2015 --  よし、今日は吉野家で家族３人分のうな重買って家で食おう。
Thu Jul 23 06:45:35 PDT 2015 --  明後日、順当にいけば聖光学院が決勝に出るはずだが（福工関係の方すいません）、明日試合やってくんなきゃまた順延じゃん。天気だいじょうぶだろうなー？優勝して歴史的瞬間生で見たーい。
Thu Jul 23 06:38:03 PDT 2015 --  実は、県道１号は尾瀬にありました。御池ロッジから沼山峠まで。でももっと驚いたのが２号線。なんと、裏磐梯から白布峠経由の米沢まで行く道でした。昔は、上杉や伊達氏もここを通ったんですかね?やっぱ重要な道みたいです。
Thu Jul 23 06:34:09 PDT 2015 --  今日から今年初の３連休が始まりました。いやいいっすね。さて、私、地図見るのが好きでしてずっと眺めていたら、保原街道が県道４号線で飯坂街道が３号線、フルーツラインが５号線だったんで、１と２はどこにあるかと調べたらこれがびっくり。郡山か若松かと思いきや意外なところに。（続く）
Tue Jul 21 07:39:02 PDT 2015 --  なんであんなに新国立競技場の話題で盛り上がってるのかわからん。全く興味無い。埼玉にいた時はなら関心あったと思う。福島にいるとよその国のことのようだ。
Tue Jul 21 07:28:20 PDT 2015 --  あさってから三連休なんだけど(夜勤明け含む)、知らされたのが昨日なんでなんにも予定決まってない。なじょすっぺ。
Mon Jul 20 09:08:00 PDT 2015 --  次の @YouTube 動画を高く評価しました: http://youtu.be/Sd4V4zC-6Ik?a  TECHNO-DRUMS LIVE 2015.7.11ミュージック昭和
Mon Jul 20 02:32:23 PDT 2015 --  暑い時はやっぱこれでしょ;!!ａｔ 桑折 夢元 pic.twitter.com/VWdLcLrzP9
Sun Jul 19 04:53:22 PDT 2015 --  昨日今日と高速道路結構走ったけれど、こういう案内があるのだね〜 pic.twitter.com/IpCGFr7jVw
Sun Jul 19 04:27:04 PDT 2015 --  夏休み期間の東京スカイツリーは特別ライティングが日替わり点灯。本日は20時まで通常の「粋」を点灯したあと、20時からは30分おきに特別ライティングの「光の３原色」と「粋」が交互に点灯。ということで、久しぶりの「光の３原色」です。 pic.twitter.com/RTlZNTVK4b
Fri Jul 17 20:55:05 PDT 2015 --  今日、ほばら大泉球場に福島ﾎｰﾌﾟｽの試合見に行こうと思ったが、雨降りそうだからどうしようか迷ってる 。
Fri Jul 17 04:32:25 PDT 2015 --  とても楽しい場所です！MAX3階 pic.twitter.com/2BneUtOdVv
Thu Jul 16 20:46:28 PDT 2015 --  夢元さんで節骨ラーメンいただいた。やっぱり美味いねぇ～。
Thu Jul 16 07:13:55 PDT 2015 --  最近マーベルの映画にはまり出した。もともと好きだったスパイダーマンから始まり、エックスメン、そしてアベンジャーズとどっぷりハマっとります。この前もアベンジャーズ２をフォーラムで見てきました。
Wed Jul 15 07:10:20 PDT 2015 --  ペヤングいっぱい陳列してたけど超大盛りがないのはなぜなんだろう?買おうと思ったけど超大盛り以外は買わない俺は却下。でも今思えば二つ買えば一緒なのに気付いた。ちょっとだけ高いけどね。
Tue Jul 14 07:00:34 PDT 2015 --  今日は福島県伊達市が全国ネットに２つのネタで登場。ひとつはあさイチという朝の番組で桃畑から生放送してた。そして今日全国２位(?)の気温。ここまで来たら日本記録目指しましょう、伊達市。
Tue Jul 14 06:50:00 PDT 2015 --  俺も明日買おっと。 https://twitter.com/kaneeitankin/status/620949103770382336 …
Sat Jul 11 04:38:03 PDT 2015 --  浦和レッズの試合をBSで見てます。最近プロ野球(福島ﾎｰﾌﾟｽは別です)よりサッカーの方が面白い４０後半のオヤジでした。
Sat Jul 11 04:30:44 PDT 2015 --  明日はアベンジャーズ２と母心のライブ見に行くど。
Sat Jul 11 04:28:06 PDT 2015 --  熱くなってきて嬉しい。調子が上がってきた。でも３５℃までにしてほしい。
Sat Jul 11 01:55:57 PDT 2015 --  今日のヒーロー、福島ホープス#25 長嶺拓未選手 pic.twitter.com/X0HlibOKPz
Sat Jul 11 01:52:06 PDT 2015 --  試合終了。福島12x-11信濃 ホープス、長嶺のサヨナラタイムリーで乱戦を制す！ pic.twitter.com/gme0xaDGzv
Sat Jul 11 01:14:26 PDT 2015 --  8回終了、福島11-9信濃。 pic.twitter.com/zZ7gYZJMtS
Fri Jul 10 07:13:28 PDT 2015 --  俺はもういいやって時はアンコールの拍手しないよ。めったにないけどね。 https://twitter.com/ichimiyar/status/619461199554449409 …
Fri Jul 10 05:06:41 PDT 2015 --  オリンピックなどで東京やその周辺地域ばかりが反映するのと、アベノミクスで富俗層ばかりが豊かになるにはよく似ていると思う。
Wed Jul 08 20:24:47 PDT 2015 --  福島市政に似てるわ。駅西口に建設計画のある大型コンベンションホールに２２０億円！小林市長は「郡山ビックパレットに負けない施設を」と表明…。老朽で０歳児が入所できない市立保育所１３所中６所。保育所１所増設には約３億円よ。 #福島市議選 https://twitter.com/mihyonsong/status/618779766204710912 …
Tue Jul 07 07:17:29 PDT 2015 --  次の @YouTube 動画を高く評価しました: http://youtu.be/I4tDrr7NZak?a  TECHNO-DRUMS LIVE 2015.6.20ミュージック昭和
Mon Jul 06 07:25:46 PDT 2015 --  福島県いわき市にある『中華のんき』の“のっけ丼ミニスペシャル” おそらくこのお店の店主は“ミニ”の定義を大幅に履き違えていると思われる。 いい感じのハミ出しっぷりだ。 pic.twitter.com/jXvopKyTkh
Mon Jul 06 07:32:39 PDT 2015 --  やっぱ日曜休むと（しかも夜勤明けでなく丸１日休みだと）１週間が調子いいな。ってまだ始まったばっかだけど。なんせ、３か月半近く日曜の丸１日休みなかったからな。しかも今週から３週連続丸日曜休み。介護職で人のため社会のためと思ってるからやってけるけど、でなきゃやってられんわい。
Mon Jul 06 06:59:20 PDT 2015 --  遅番終わって今帰宅してコンビニ焼き鳥晩酌。コンビニと出会って３６年、コンビニはすさまじいといってもいいほどの進化を遂げたと思う。弁当といい、惣菜といい２４時間なのにスーパーのそれとそん色ない味が味わえる。でも、焼き鳥はうまくないな、まだ。コンビニとしては頑張ってるとは思うが。
Sun Jul 05 02:37:47 PDT 2015 --  本人が危ないって思うこと、避難することも誰であれ批判できないけど、じゃあ公が経済的援助をずっとし続けるってのは違うかなと。僕が東京から鳥取に帰ったのは放射能が怖いから自主避難だっていっても誰も信じてくれないわけで。でも東京はやばいってんで離れた人たちも実際いるわけですからね。
Sun Jul 05 06:26:47 PDT 2015 --  女社会(介護業界)に負けないぞ。
Sun Jul 05 05:53:53 PDT 2015 --  10）採取した海底土も簡易測定したのですが、陸地とは比べものにならないくらい数値が低く、海の希釈能力の高さに改めて気づかされました。これをもって単純に「安全」というつもりはないけれど、今も相変わらず「汚染水」のセンセーショナルな見出しがメディアに踊ることに対しては疑問に思います。
Sun Jul 05 03:47:31 PDT 2015 --  今日、所用で二本松市東和文化センターに行ったの。 そしたら、面白いフリーペーバーが置いてあったぞい！ 田舎に住む若い女性が、ポジティブに田舎の魅力を表現してて凄く面白かった、是非是非見てくんち♪ 飯野町にもこういうの欲しい（切望） pic.twitter.com/ACxesvD1xK
Sat Jul 04 16:42:14 PDT 2015 --  5分ぐらい見ている pic.twitter.com/tDCI0wtwls
Thu Jul 02 06:30:49 PDT 2015 --  今年の夏は、アンダー３５℃でお願いします。
Thu Jul 02 06:20:48 PDT 2015 --  盆地の夏がやってきた。でも、４月後半からずっと暑いから夏って感じがあまりしないんですけど。蝉が鳴きだし高校野球が始まれば夏っぽくなるかな。
Wed Jul 01 07:26:59 PDT 2015 --  ＲＴ福島市議大内議員＞我々は歴史の中に生きている。自分たちの世代さえよければいいなんてことはないというのは歴史を学べば痛感させられることである。次の世代のために何ができるのか。その一つが、自分の所属している自治体に興味を持ち選挙にいったり議会を傍聴したりすることだと思っている。
Wed Jul 01 07:10:45 PDT 2015 --  @BIRUMACHIOSAKA また仙台行きたい(^ω^) #何と無く気に入ってる画像を貼るRTされたら続行 pic.twitter.com/uZAhr2omKd
Wed Jul 01 07:03:12 PDT 2015 --  『H27 今年36台目 YAMAHA SDR250』若旦那のツーリングレポート｜http://horieyabaike.seesaa.net/article/421630733.html …
Wed Jul 01 06:57:38 PDT 2015 --  絶えない不祥事　地方議員が“劣化”する2つの要因 福島市議会も例に漏れることなく該当してます。 確実に変革が必要であり、市民の厳しい視線が必要です。... http://fb.me/1ptKtiGM2 
