Thu Apr 30 12:25:41 PDT 2015 --  pic.twitter.com/O1Z4RjOedZ
Tue Jul 03 07:47:31 PDT 2012 --  Just posted a photo http://instagr.am/p/Mn2I7KHfIF/ 
Tue Jul 03 07:43:25 PDT 2012 --  Brooklyn http://instagr.am/p/Mn1o4nnfH7/ 
Fri Jun 29 20:25:59 PDT 2012 --  How do you 'feel' people looking at you? #mythbusters
Thu Jun 28 07:21:17 PDT 2012 --  Correction: The Supreme Court backs all parts of President Obama’s health care law. http://on.cnn.com/LvVRcK 
Thu Jun 28 11:37:11 PDT 2012 --  “ @cnnbrk: Supreme Court strikes down individual mandate portion of health care law. http://on.cnn.com/LvVRcK ” #CNNFail
Wed Jun 27 17:43:51 PDT 2012 --  “ @cnnbrk: Florida man who chewed face off of another was not on "bath salts," tests show http://on.cnn.com/LDw8pa ” #bathSaltZombie
Tue Jun 26 17:39:37 PDT 2012 --  “ @cnnbrk: South Carolina #gas falls below $3 a gallon. http://on.cnn.com/Ms8tVz ” and Virginia.
Mon Jun 25 09:59:40 PDT 2012 --  @blunce #bathSaltZombies!!!
Sun Jun 24 23:55:53 PDT 2012 --  Saudi Arabia to let its female athletes compete in the Olympics for the first time http://on.cnn.com/LuCw1Q 
Mon Jun 25 09:37:10 PDT 2012 --  That. Is. Hilarious. RT: @cnnbrk: Romney: Obama has failed to show leadership on immigration. http://on.cnn.com/LuD3Px 
Sun Jun 24 19:39:01 PDT 2012 --  #bathSaltZombie They'll eat your face off and stuff! @kathygriffin @HowardStern @chelseahandler
Sun Jun 24 19:36:37 PDT 2012 --  Throw out your #bathSalts before you become a #bathSaltZombie! @chelseahandler @kathygriffin
Sun Jun 24 19:32:30 PDT 2012 --  More bath salt zombie stories! #bravoKathy @kathygriffin
Wed Jun 06 13:08:08 PDT 2012 --  Driver found guilty of homicide in texting-while-driving case http://on.cnn.com/MlvGFT 
Sat May 19 22:24:28 PDT 2012 --  Jamie just said scrotes. :( @LindsayRaeHorne
Sat May 19 22:03:33 PDT 2012 --  Wow, good bye Kristen Wiig! #snl
Mon May 14 07:53:53 PDT 2012 --  Happy #AGTDAY! RT if you’ll be watching the premiere of Season 7 tonight!
Mon May 07 12:15:29 PDT 2012 --  North Carolina- Vote AGAINST amendment one tomorrow. Just like camel toe it's not good for anybody.
Thu May 03 13:17:26 PDT 2012 --  Don't forget to watch @kathygriffin tonight at 10 on bravo. Then watch jennifer love hewitt in her bra on chelsea lately at 11
Wed May 02 14:28:42 PDT 2012 --  #mythoughtsatschool when people decide to stop and talk in the middle of the hallway http://twitpic.com/9gi82h 
Mon Apr 30 18:10:47 PDT 2012 --  The "where are they now" episodes for all the Toddlers in Tiaras, would probably just be montages of how they treat their type 2 diabetes.
Thu Apr 12 05:35:10 PDT 2012 --  “ @musegarden: Anyone else think the "Heigh Ho" song from Snow White works exceptionally well as a Minecraft theme song?” Yes!
Sun Apr 08 12:24:15 PDT 2012 --  Going to see Titanic 3D with @MarisaNoonan!
Tue Apr 03 21:36:12 PDT 2012 --  Next to murder, the worst thing a human being can do is wave their arms slowly back and forth over their heads at a concert.
Sat Apr 07 10:26:37 PDT 2012 --  "No way I'm going in to work today, I'm a mess." - Jesus' gay friend
Thu Mar 22 05:31:32 PDT 2012 --  Number of people filing for first-time unemployment benefits falls to a 4-year low of 348,000, government says. http://cnnmon.ie/bkgnews 
Mon Mar 19 13:02:35 PDT 2012 --  5 of 5 stars to Storm Front by Jim Butcher http://bit.ly/FPSpLt 
Sat Mar 17 06:29:39 PDT 2012 --  Just found the #penguincam on Discovery #frozenplanet! I really like the purple one!
Thu Mar 01 09:00:15 PST 2012 --  SWEEPS: Want to #watchtvgetrewards? DL @viggle now! http://bit.ly/w3NDp7  | RT for a chance to win a $100 @BestBuy GC! http://bit.ly/wDnazC 
Mon Feb 27 14:56:28 PST 2012 --  I think that all creative people are a little bit nuts.
Mon Feb 27 04:50:34 PST 2012 --  Poll: Obama holds double digit leads over Romney and Santorum http://bit.ly/xC6MVl 
Sat Feb 25 03:27:08 PST 2012 --  RIP Facebook pic.twitter.com/EuMtapgQ
Wed Feb 22 17:04:28 PST 2012 --  @LindsayRaeHorne I'm there, yesterday.
Tue Feb 21 10:57:26 PST 2012 --  @musegarden haha I always liked when he would argue with students.
Tue Feb 21 08:26:30 PST 2012 --  Dow crosses 13,000 for the first time since May 2008, after eurozone finance ministers approve Greek bailout. http://cnnmon.ie/bkgnews 
Mon Feb 20 17:15:13 PST 2012 --  Fox Ordered To Cancel Upcoming When Presidents Are Assassinated Live Special http://onion.com/atbjau  #PresidentsDay
Fri Feb 17 18:36:16 PST 2012 --  @LindsayRaeHorne I'd like to motor boat those twins of yours.
Fri Feb 17 18:32:15 PST 2012 --  @LindsayRaeHorne aww thanks! Here's what I got you ->
Fri Feb 17 09:16:34 PST 2012 --  IHOP is called that ‘cause 40% of their customers end up losing a foot to diabetes.
Tue Feb 14 09:26:34 PST 2012 --  @LindsayRaeHorne Happy Valentines day!! I you! #loversandfriends xoxo
Tue Feb 07 11:35:48 PST 2012 --  Prop 8 has been ruled unconstitutional! In other news, the Pacific Ocean was discovered to be wet.
Tue Feb 07 07:56:29 PST 2012 --  Susan G. Komen executive resigns amid Planned Parenthood controversy. http://on.cnn.com/weP6o2 
Mon Feb 06 04:18:16 PST 2012 --  Rush Limbaugh picking his nose at the Super Bowl story/pic: http://deadsp.in/zb2CR0 
Sat Feb 04 17:51:25 PST 2012 --  @LindsayRaeHorne Is it ever not time for an avocado sandy?
Fri Feb 03 15:07:37 PST 2012 --  @LindsayRaeHorne I bet we could even get a job with Santa! I hope there's not a height requirement.
Fri Feb 03 15:01:35 PST 2012 --  @LindsayRaeHorne We should probably just go ahead and move to somewhere it snows all the time. How about the North Pole?
Fri Feb 03 14:48:53 PST 2012 --  @LindsayRaeHorne okay I'll throw the door open as I go by so you can just hop right in!
Fri Feb 03 12:29:29 PST 2012 --  @LindsayRaeHorne ok, I'll drive. Be ready in 15. #denverbound
Fri Feb 03 09:42:27 PST 2012 --  “ @cnnbrk: Major snow storm slams Denver area. http://on.cnn.com/yTi9GU ” @LindsayRaeHorne why are we not there??
Fri Feb 03 06:18:25 PST 2012 --  Starbucks is opening up a wine/beer bar in Atlanta. Awesome just got more awesome.
Thu Feb 02 19:31:17 PST 2012 --  Sometimes I randomly remember that the Olympics are this year and I get excited! #london2012
Thu Feb 02 14:08:35 PST 2012 --  Just in case you missed the commercial, Dr. Pepper 10 is "not for women."
Wed Feb 01 15:08:34 PST 2012 --  Pfizer recalling birth control pills due to packaging error that could lead to pregnancies http://on.cnn.com/zAPSQf 
Mon Jan 30 08:01:00 PST 2012 --  I feel like West Virginia should be name Northwest Virginia. That would probably confuse the #wildandwonderfulwhites though.
Sun Jan 29 07:44:23 PST 2012 --  U.S. Defense Department can't account for billions for Iraq, audit finds. http://on.cnn.com/zzu1ad 
Wed Jan 25 19:11:00 PST 2012 --  What kind of sicko only has one therapist? #whitegirlproblems
Fri Jan 27 02:18:47 PST 2012 --  #Concordia cruise passengers to get $14,400 compensation. http://on.cnn.com/wew2bi 
Thu Jan 26 10:35:11 PST 2012 --  @LindsayRaeHorne Just checked and it turns out it is new!! Yay! #jersday
Thu Jan 26 10:30:25 PST 2012 --  @LindsayRaeHorne Is Jersey Shore new tonight? #jersday
Thu Jan 26 09:35:09 PST 2012 --  Pat Sajak & Vanna White -- Drunk on 'Wheel of Fortune' http://bit.ly/wlc4UY 
Tue Jan 24 09:05:04 PST 2012 --  NEWSWIRE: Man Breaks Neck, Both Arms In Attempt To Take Off Jacket In Car http://onion.com/yHP9rH 
Mon Jan 23 18:09:11 PST 2012 --  @LindsayRaeHorne duh. #youknowyoureoldwhen the time between when you get off work and when you go to bed is less than an hour.
Mon Jan 23 14:11:50 PST 2012 --  @musegarden yay! I can't wait for the movie!
Mon Jan 23 14:06:34 PST 2012 --  The Hunger Games. #getitreadit
Sun Jan 22 18:27:08 PST 2012 --  "beat your head against the wall over a problem 100 times. On the 101st time, you'll either die from head trauma or figure it out." -khj
Sun Jan 22 17:29:50 PST 2012 --  Those Ford ambush interview commercials are really starting to #chapmyass.
Sat Jan 21 01:05:03 PST 2012 --  The Ultimate Collection of Emacs Resources http://j.mp/tZ3Qo7 
Fri Jan 20 09:29:28 PST 2012 --  @mygeektime Are you guys going to talk about #SOPA and #PIPA
Fri Jan 20 06:11:49 PST 2012 --  Tell Congress: Don’t censor the web! http://www.google.com/takeaction/ 
Thu Jan 19 16:35:46 PST 2012 --  @LindsayRaeHorne what if it wa-a-as a #veganklondikebar ?
Thu Jan 19 13:49:46 PST 2012 --  I wonder what @LindsayRaeHorne would do #foraklondikebar ?
Thu Jan 19 13:48:23 PST 2012 --  @LindsayRaeHorne definitely!
Tue Jan 17 05:19:15 PST 2012 --  @LindsayRaeHorne #iloveeggplantandbasketball
Mon Jan 16 08:40:03 PST 2012 --  Arby's New Grab-N-Go: "It's that same Arby's taste you love, but piled high in your own two hands." http://onion.com/w6R0Vw 
Mon Jan 16 07:21:16 PST 2012 --  Arby's Now Charging $2.99 To Let Customers Go Behind Counter, Grab Handfuls Of Roast Beef http://onion.com/w6R0Vw 
Mon Jan 16 03:32:52 PST 2012 --  Cruise ship rescue suspended because vessel is moving, local mayor says. http://on.cnn.com/w0KM0R 
Sun Jan 15 18:36:32 PST 2012 --  Senior official with Jon Huntsman's campaign says Huntsman will drop out of GOP race Monday and endorse Mitt Romney http://on.cnn.com/AEG6Lp 
Sun Jan 15 08:50:03 PST 2012 --  Parents Drop Fake Treating-You-Like-An-Adult Act Half-Hour Into Visit http://onion.com/xNTghP 
Thu Jan 12 16:45:10 PST 2012 --  @TheOnion Snow in the northeast, biggest story of all time!
Sat Jan 07 11:58:03 PST 2012 --  http://www.youtube.com/watch?v=YH7vHn0UgCw&feature=youtube_gdata_player …
Fri Jan 06 13:16:56 PST 2012 --  11 killed in hot air balloon crash near Carterton, New Zealand, Radio New Zealand reports http://on.cnn.com/zle0GB 
Wed Jan 04 18:07:52 PST 2012 --  I really like that club DJ. He presses play on his iTunes way better than that other club DJ presses play on his iTunes.
Wed Jan 04 11:00:13 PST 2012 --  Area Man's Quirky Hobby Kills 27 http://onion.com/beigHa  #OnionOffbeat
Wed Jan 04 09:00:42 PST 2012 --  Teacher's Sense Of Humor Comes Through In Multiple-Choice Tests http://onion.com/dfOHe0  #OnionOffbeat
Sat Dec 31 09:21:48 PST 2011 --  Getting ready to welcome in the final year that the earth will exist! #paranoia
Fri Dec 30 13:34:49 PST 2011 --  Ok, turns out almost all the warnings are for "magic numbers". I'm not going to do for (int i=ZERO; i<TWO_TO_THE_FOURTH_POWER; i++).
Wed Dec 28 06:43:10 PST 2011 --  Getting sorted into Hufflepuff #ThatsATurnOff
Tue Dec 27 23:07:40 PST 2011 --  @SethMacFarlane deal. Then you should make episode about that. I'm thinking Peter deserves an Oscar.
Tue Dec 27 22:33:44 PST 2011 --  @NayaRivera Will you please tell HEMO that I loved her in the Britney S. Pierce episode? Kthanks!
Thu Dec 22 18:24:47 PST 2011 --  http://www.youtube.com/watch?v=xAF6QJxWLjE&feature=youtube_gdata_player …
Wed Dec 21 14:20:25 PST 2011 --  Ü
Sun Dec 18 19:13:53 PST 2011 --  Kim Jong Il Khaddafi Osama Bin Laden Saddam Hussein ☐ Internet Explorer
Sun Dec 18 18:04:54 PST 2011 --  Yay, I finished my #ld48 game! It's Minicraft, and you can play it here: https://s3.amazonaws.com/ld48/ld22/index.html …
Sat Dec 17 05:50:22 PST 2011 --  @carlmanneh 1992! #Cobalt
Fri Dec 16 19:12:34 PST 2011 --  Will Farrell in Elf is on right now. Wouldn't yellow tights be cold in the north pole?
Fri Dec 16 08:33:02 PST 2011 --  @KellyTHunter yay!
Thu Dec 15 19:52:54 PST 2011 --  Limbo for $2.50 on Steam?! #shutupandtakemymoney
Thu Dec 15 15:30:15 PST 2011 --  Last American Who Knew What The Fuck He Was Doing Dies http://onion.com/pQtc5S  #OurAnnualYear #SciTech
Thu Dec 15 09:25:29 PST 2011 --  @musegarden omg that would be amazing!
Wed Dec 14 20:03:59 PST 2011 --  @MarisaNoonan ahhnn maybe, if you weren't yelling at me I could of done a hundred easy!
Wed Dec 14 20:00:46 PST 2011 --  @MarisaNoonan 60 on the drag strip! Yeeeaaah!
Wed Dec 14 10:00:34 PST 2011 --  Jim Morrison Foundation Awards $50,000 Grant To Little Shit Who Thinks He's A Poet http://onion.com/hU1g6f  #OurAnnualYear #entertainment
Mon Dec 12 12:08:46 PST 2011 --  Please, write your representatives and tell them you've forgotten about the Gulf of Mexico. http://bit.ly/n2rzw7 
Thu Dec 08 18:32:48 PST 2011 --  @musegarden yes compliment. Also Joey is still using his school email if you want to send him some questions.
Wed Dec 07 17:59:00 PST 2011 --  @JennaUshkowitz And national lampoons Christmas vacation up next! +1 abcfamily
