Fri Aug 28 23:32:39 PDT 2015 --  Let's runaway together and yes, my dog is coming.
Wed Aug 26 12:39:07 PDT 2015 --  Hey #ChiveNation!!..well this happened..! #humpday!! Sit on a phone long enough you can do it too! No shame! KCCO pic.twitter.com/aP3IGfBZKU
Wed Aug 26 11:44:57 PDT 2015 --  Im ready for
Wed Aug 26 11:45:19 PDT 2015 --  Don't feel sad over someone who gave up on you, feel sorry for them because they gave up on someone who would have never given up on them.
Wed Aug 26 11:53:50 PDT 2015 --  The Golden Rule is still very real.. Let's keep it alive!
Wed Aug 26 11:49:03 PDT 2015 --  pic.twitter.com/10YkcFEhOW
Wed Aug 26 11:02:14 PDT 2015 --  #Foodgasm https://twitter.com/foodpornphotos/status/636015000193232896 …
Wed Aug 26 06:31:18 PDT 2015 --  We didn't share this publicly, but @AParkerWDBJ7 and I were very much in love. We just moved in together. I am numb. pic.twitter.com/tUrHVwAXcN
Wed Aug 26 09:12:18 PDT 2015 --  Did you "astke" me a question? Or "ask" me? I'm sorry, your accent is adorable. How do you say color? Water? We've all been there before
Wed Aug 26 09:02:01 PDT 2015 --  If you're going to subtweet about me, just grow a pair and tag me.. #socialmediaproblems
Wed Aug 26 08:36:44 PDT 2015 --  Letting go may be the best option. There are plenty of fish in the sea.. Or my dog haha my dog is always here
Tue Aug 25 20:26:30 PDT 2015 --  spikeinkmaster a crazy experience... I would much rather go home on a good tattoo like I did. A… https://instagram.com/p/61NmnmQKs0/ 
Tue Aug 25 23:06:58 PDT 2015 --  Can't express it enough, @ChrisBlinston you killed tonight's tattoo!!!! Awesome work!
Tue Aug 25 22:52:00 PDT 2015 --  Never give up. Great things take time
Tue Aug 25 15:17:26 PDT 2015 --  Congrats!!! You're an inspiration! https://twitter.com/keb21673/status/636294568623894529 …
Tue Aug 25 13:57:21 PDT 2015 --  Banana topped with crunchy peanut butter and chocolate #shakeology powder and a serving of tuna.... Yessss please #minimeal #glutenfree
Tue Aug 25 06:10:24 PDT 2015 --  Good mornin' America. What are we goin' to be offended by today? Merica.
Tue Aug 25 06:15:03 PDT 2015 --  keeping to myself staying blessed not giving a fuck Ignoring negativity living my life
Tue Aug 25 01:15:53 PDT 2015 --  Yes, yes, yesss https://twitter.com/lifecheating/status/636089443905110016 …
Tue Aug 25 01:14:13 PDT 2015 --  Fuck you thunder, you can suck my dick.
Fri Jun 26 11:25:22 PDT 2015 --  If there is no screaming involved your not doing it right pic.twitter.com/kht5F7lIrr
Mon Aug 24 22:53:56 PDT 2015 --  Just had an LONG (pun intended) conversation with Rams DE Chris Long @JOEL9ONE about @WaterboysORG. Can't wait to get involved #Drink4Water
Mon Aug 24 22:52:06 PDT 2015 --  RELATIONSHIP GOALS: Met. Date. Yes. Anniversaries. Proposal. Wedding. Honeymoon. First baby. Parenting. Grow old with you.
Mon Aug 24 23:36:14 PDT 2015 --  ..were you ever really a good friend? After all these years, I'm glad I am finally able to see your true colors. #thankful #goodluck #seeya
Mon Aug 24 18:14:27 PDT 2015 --  #INDYCAR driver Justin Wilson has passed away from his injuries. #BadassWilson http://www.indycar.com/News/2015/08/8-24-Driver-Justin-Wilson-dies … pic.twitter.com/hMzwsnFswO
Mon Aug 24 22:27:07 PDT 2015 --  You make all my screws come loose. I like the way you make me loose my mind.
Mon Aug 24 16:49:32 PDT 2015 --  It's starts with "hello"..
Mon Aug 24 16:00:46 PDT 2015 --  . @JohnCena is our hero #rolemodel #KCCO pic.twitter.com/vWBFxLBBQG
Mon Aug 24 16:11:51 PDT 2015 --  I have the brains of Burnett, fun like a blonde, and no soul like a ginger. God must of had a lot of fun when he created me! #RealLife
Sun Aug 23 19:42:59 PDT 2015 --  Boys who say "be careful" or "text me when you get there" are my favorite kind
Mon Aug 24 11:35:22 PDT 2015 --  If they can't contribute to your life, help mold you to be better, or care about your future..... Bye!
Mon Aug 24 04:24:25 PDT 2015 --  Good morning errrrry body. Mind those gaps, Carpe the diem or whatever. Just have a great day.
Sun Aug 23 23:45:01 PDT 2015 --  A strong relationship starts with two brave people who are ready to sacrifice anything for one another.
Mon Aug 24 00:13:33 PDT 2015 --  Why is all the rum gone?
Sun Aug 23 23:23:36 PDT 2015 --  Who wants to cuddle??
Sun Aug 23 22:16:12 PDT 2015 --  @KCCOchivette all guys are like that...except men those are the rare ones. You find one snag it quick and hold on to it tight
Sun Aug 23 21:26:38 PDT 2015 --  #LongIslandicetea alllllll night baby... #KCCO
Sun Aug 23 21:20:10 PDT 2015 --  Fill my head with lovely nothing's... Then date someone else. Classy. Very classy. #singleforlife #ilovemydog
Fri Aug 21 19:00:57 PDT 2015 --  pic.twitter.com/ybdPzTvHqI
Sat Aug 08 17:56:16 PDT 2015 --  one of the best pickup lines i've ever seen anybody do pic.twitter.com/qWXaHgZJyD
Sat Aug 22 19:57:46 PDT 2015 --  pic.twitter.com/pR31gRGVBR
Sun Aug 23 18:30:39 PDT 2015 --  #WeCantDateIf I can't be myself around you. I'm not changing my goofy weird self for anybody
Sun Aug 23 18:32:51 PDT 2015 --  pic.twitter.com/VjslebmcKM
Sun Aug 23 17:21:27 PDT 2015 --  You miss 100% of the chances you never take.. #truth #risk #happiness
Sun Aug 23 15:46:43 PDT 2015 --  Meeting new people
Sun Aug 23 09:10:59 PDT 2015 --  The best foods are shaped like dicks #HangoverHavoc #MidwestMadness @TheBerryIowa @ChiveOnIowa pic.twitter.com/raCat1Swsd
Sun Aug 23 08:17:48 PDT 2015 --  The cross has made you flawless #faith #Heisgood
Sat Aug 22 18:58:15 PDT 2015 --  "One time my friend got too drunk and confided in me. Too shut her up, I kissed her. We fucked that night. I am a girl - EN"
Sat Aug 22 19:34:07 PDT 2015 --  Gave head for the first time today and all I have to say is my new favorite flavor of Popsicle is dick -TN
Sun Aug 23 07:47:08 PDT 2015 --  Wild flowers, dinner and a walk in the park would be perfect.. Oh, and ice cream. Definitely ice cream.
Sat Aug 22 23:50:33 PDT 2015 --  If you're this asshole, I'm looking for you! https://twitter.com/causewereguys/status/635323155582709760 …
Sat Aug 22 07:28:23 PDT 2015 --  just be you. and the rest will fall into place.
Sat Aug 22 22:46:38 PDT 2015 --  Him: Then I'd hand cuff your hands above your head and tease you mercilessly.. Me: panties fall off by themselves @CraziestSex @GirIfession
Sat Aug 22 19:01:59 PDT 2015 --  Haha I'll try! https://twitter.com/andykauffman/status/635242674426134528 …
Sat Aug 22 18:40:56 PDT 2015 --  Lap 357 of 500 at @BMSupdates - @AxaltaRacing #Rainbow24 @TeamChevy is now P6 as the #18 & #19 forced to pit early. #NASCAR #Team24
Sat Aug 22 15:50:43 PDT 2015 --  If only dreams like that come true.. Lmao https://twitter.com/andykauffman/status/635216429650866176 …
Sat Aug 22 13:58:43 PDT 2015 --  Just had small talk with a young, Phoenix firefighter. Sir, not only were you handsome, you were kind and a delight to talk to. Thank you!
Sat Aug 22 11:32:21 PDT 2015 --  @KCCOchivette Wait, people have to *TRAIN* a dog? They don't inherently know how to behave?
Sat Aug 22 11:16:22 PDT 2015 --  It's only "old fashioned dating habits" because we changed it up a bit. Lets bring some of these back pic.twitter.com/puyXXB8863
Sat Aug 22 11:08:34 PDT 2015 --  Someone tried telling me their puppy chews on everything.... No shit. It's s puppy.. Train it.
Sat Aug 22 10:49:23 PDT 2015 --  Lazy coworkers.... Beer me please. Actually, I'll take a shot of whiskey.
Sat Aug 22 00:44:59 PDT 2015 --  La, la, laaaa.... My head is so spacious.. So much room for activities!
Sat Aug 22 00:18:02 PDT 2015 --  1 RT might save a life pic.twitter.com/Pyjz8ttLFg
Sat Aug 22 00:11:11 PDT 2015 --  I'm over summer, bring on the bonfires and fall weather #FavoriteSeason
Sat Aug 22 00:09:45 PDT 2015 --  I love wranglers but they rip so easy #ThisIsAwkward
Wed Aug 19 18:51:09 PDT 2015 --  Retweet this if you've seen at least 1 of your followers naked
Fri Aug 21 23:13:41 PDT 2015 --  I fucking love when someone figures out the small things that you like by paying such close attention to u instead of u having to tell them.
Fri Aug 21 22:52:10 PDT 2015 --  Not out of fuel, just a pick up issue cuz of banking. Really bummed but we had them covered until then! #NASCAR #ItsBristolBaby #RoushRacing
Fri Aug 21 22:29:15 PDT 2015 --  Tonight is bottoms up!!!!! #tailgatedown #countrymix #stars #love
Fri Aug 21 22:22:39 PDT 2015 --  @KCCOchivette I'm still drinking babe! pic.twitter.com/LWBRmbqMJ3
Fri Aug 21 22:21:42 PDT 2015 --  Dream come true?! https://twitter.com/jjflores2510/status/634937910412865536 …
Fri Aug 21 20:23:30 PDT 2015 --  It's beer time!
Fri Aug 21 19:54:26 PDT 2015 --  Silence. It's peaceful.
Fri Aug 21 19:43:01 PDT 2015 --  I HAVE NEVER READ SOMETHING SO ACCURATE http://twitter.com/SexualGif/status/566444761427742721/photo/1pic.twitter.com/x0gkGjcDFE 
Fri Aug 21 15:42:55 PDT 2015 --  My 3 Fs: faith, family, firefighting. What do you live by/for?
Fri Aug 21 13:23:42 PDT 2015 --  Challenge the status quo.. Make a statement. Be different. Live.
Fri Aug 21 12:55:06 PDT 2015 --  "She needs wide open spaces, room to make her big mistakes." @dixiechicks
Fri Aug 21 05:40:29 PDT 2015 --  Which way are you going this weekend? (Comic copyright: @theawkwardyeti) pic.twitter.com/2NFrbMk5Kq
Fri Aug 21 12:45:17 PDT 2015 --  pic.twitter.com/SpH4vHKAqx
Fri Aug 21 12:00:05 PDT 2015 --  I'm glad I met you, I hope you know that.
Fri Aug 21 12:10:04 PDT 2015 --  First female soldiers graduate elite Army Ranger School http://peoplem.ag/TTv3XpY  pic.twitter.com/As2l6VMTNG
Fri Aug 21 12:18:08 PDT 2015 --  Talk to the beer. @gearfromlast is giving away a koozie with every order today! Get yours now: http://gfln.co/1JacJ9D  pic.twitter.com/DflGFFI0Dg
Fri Aug 21 10:24:31 PDT 2015 --  If I have friend zoned you, text/call/carrier pigeon me. I'm reevaluating a few things this weekend. #newbeginnings #ithinkimseriousthistime
Fri Aug 21 09:11:03 PDT 2015 --  :'( (Credit: @EndangeredComic, via @AsapSCIENCE) pic.twitter.com/eh6jVlgv1E
Fri Aug 21 01:59:06 PDT 2015 --  To enjoy morning coffee with you would be perfect!
Thu Mar 19 04:04:34 PDT 2015 --  Me: What's the first step of fire safety? 4-year-old: Stay away from dragons. Me: 4: Me: Well, obviously.
Fri Aug 21 00:54:21 PDT 2015 --  Take note! So incredibly true. https://twitter.com/marilynmonroedc/status/634598407206604801 …
Thu Aug 20 23:11:42 PDT 2015 --  COMPLIMENTS MAKE ME UNCOMFORTABLE BECAUSE ITS HARD TO BELIEVE PEOPLE ACTUALLY LIKE MY FACE/BODY/ANYTHING ARE YOU SURE UR LOOKING AT THE ME
Thu Aug 20 23:12:05 PDT 2015 --  does anybody else have that friend that you’re pretty sure is your soulmate but in a friend way
Wed Mar 04 22:00:07 PST 2015 --  My new motto for life........ pic.twitter.com/a8l6nF6jtT
Thu Aug 20 23:45:00 PDT 2015 --  No regrets, just lessons learned.
Fri Aug 21 00:21:46 PDT 2015 --  When you care too much.. About the little nothing's! #needabeer #lotsofbeer
Fri Aug 21 00:00:05 PDT 2015 --  Someone who truly loves you, sees what a mess you can be, how moody you can get, and how hard you can be to handle, but still wants you.
Thu Aug 20 21:08:06 PDT 2015 --  Be the change you want to see
Thu Aug 20 20:08:40 PDT 2015 --  This guy..... This guy! https://twitter.com/ndrake120/status/634562348368330752 …
Thu Aug 20 20:00:25 PDT 2015 --  I need new beer buddies!!! #doubleIPA #bartime #relaxation #uptonogood
Thu Aug 20 19:59:21 PDT 2015 --  It's practically Friday..... Fuck yeah!
Thu Aug 20 18:20:27 PDT 2015 --  https://twitter.com/ioveisfunny/status/634531570033029121 …
Wed Aug 19 12:50:02 PDT 2015 --  We call it a “fence” pic.twitter.com/nSs6ika207
Thu Aug 20 13:54:22 PDT 2015 --  Whether we are part of a fire department of 10, 100, or 10,000... Our words, actions, and attitude are equally contagious.
Thu Aug 20 13:23:45 PDT 2015 --  #FF #Leadership Do we ever retire? Take the time to listen to anybody willing to share their knowledge. pic.twitter.com/Pm0Bkr8s5r
Tue Aug 18 19:15:04 PDT 2015 --  Green Beret Nate Boyer shares heartfelt message with fans after being cut by Seahawks. "This is not a bad feeling." http://snpy.tv/1MBXg6a 
Thu Aug 20 14:15:05 PDT 2015 --  Parents, problems, friends, boys, love, crush, dating, responsibility, drama, heartache, failures, stress, happiness, its called life.
Thu Aug 20 14:17:15 PDT 2015 --  (718): in retrospect i think my mom tried to raise me gay
Thu Aug 20 08:15:03 PDT 2015 --  Six letters, two words, easy to say, hard to explain, harder to do: Move On.
Thu Aug 20 08:39:00 PDT 2015 --  YESSSS!!!! If you understand this, I'll propose. https://twitter.com/scienceporn/status/634383921313116160 …
Thu Aug 20 08:19:04 PDT 2015 --  I wish I could unfuck some people
Thu Aug 20 08:26:18 PDT 2015 --  Probably the most beautiful hat on the Planet. pic.twitter.com/7qbxEhYf4N
Thu Aug 20 07:50:11 PDT 2015 --  Your girl should make your dick hard, not your life.
Thu Aug 20 06:47:54 PDT 2015 --  Boss: You'll probably be in the kitchen cutting fruit today. Me: Okay sweet! I'll see you when I have 9 fingers. Boss: *mind changed*
Thu Aug 20 00:54:19 PDT 2015 --  Everything is going to be alright, maybe not today, but eventually.
Wed Aug 19 22:54:51 PDT 2015 --  Give yourself the respect to let go of someone who doesn't see your worth.
