Sat Aug 29 00:56:32 PDT 2015 --  Hydro Pa More! :P
Fri Aug 28 10:29:14 PDT 2015 --  Never take someone for granted.
Fri Aug 28 10:28:02 PDT 2015 --  In the same way, faith by itself, if it is not accompanied by action, is dead. -James 2:17
Fri Aug 28 10:23:06 PDT 2015 --  Yes I Am A Christian and No I Am not Perfect. HIS Strength is Made Perfect in our Weakness and that is why I HAVE JESUS.
Fri Aug 28 10:25:26 PDT 2015 --  You are my everything, Jesus Christ you are my one desire Too know you all my life I'm wide awake
Fri Aug 28 10:02:51 PDT 2015 --  The GOSPEL is an annoucement not an argument. You share it, not shove it.
Fri Aug 28 10:17:46 PDT 2015 --  It's time to stop running away from things that are uncomfortable and hard. It's time to confront issues in your life.
Fri Aug 28 10:20:13 PDT 2015 --  My soul finds rest in God alone; my salvation comes from him. -Psalm 62:1
Fri Aug 28 08:35:55 PDT 2015 --  Sometimes we know what we have to do, but we lack the courage to do it.
Fri Aug 28 09:53:42 PDT 2015 --  Cast but a glance at riches, & they are gone, for they will surely sprout wings & fly off to the sky like an eagle. -Proverbs 23:5
Fri Aug 28 09:54:35 PDT 2015 --  #NowPlaying "Show Me Your Glory - Live" by Jesus Culture from Come Away (Live) http://open.spotify.com/track/5UqzhLWkKShXDbHNEQ1Mba …
Fri Aug 28 09:10:02 PDT 2015 --  Love and value yourself. You are God's creation and He paid a dear price for you to be alive today.
Fri Aug 28 09:50:24 PDT 2015 --  Whenever you feel weak, God is reminding you to depend on him. Our weaknesses also prevent arrogance. #WhatOnEarthAmIHereFor
Fri Aug 28 07:10:00 PDT 2015 --  Ako to. Hahahaha pic.twitter.com/vLMHq3IUW7
Fri Aug 28 09:28:14 PDT 2015 --  And teaching them to obey everything I have commanded you. & surely I am with you always, to the very end of the age. -Matt 28:20
Fri Aug 28 09:40:02 PDT 2015 --  But God demonstrates His own love toward us, in that while we were yet sinners, Christ died for us. -Romans 5:8
Fri Aug 28 09:41:45 PDT 2015 --  When you try to figure out everything, you're exalting your reasoning above God's thoughts and plans for your life.
Fri Aug 28 09:44:26 PDT 2015 --  God's plan for your life > Your plan for your life.
Fri Aug 28 09:21:26 PDT 2015 --  Christians, when you publicly shame the failures of others in order to advance your own personal agenda, that's not Christianity.
Fri Aug 28 09:44:15 PDT 2015 --  Take delight in the LORD and he will give you the desires of your heart. -Psalms 37:4
Fri Aug 28 00:43:36 PDT 2015 --  Don't lose your faith. Happiness is a choice and you can always choose to be happy. Smile! #ALDUBGettingCLOSER https://twitter.com/its_me_arabella/status/637167865821425664 …
Thu Aug 27 22:16:20 PDT 2015 --  "Wag isalalay ang kaligayahan sa isang tao lamang" - Lola Nidora #ALDUBGettingCLOSER
Thu Aug 27 09:23:32 PDT 2015 --  Nothing can stop God's Love
Thu Aug 27 09:19:56 PDT 2015 --  Times get overwhelming when you begin to try to control the uncontrollable... Let go and let God!
Thu Aug 27 09:14:34 PDT 2015 --  A good name is to be chosen rather than great riches, Loving favor rather than silver & gold. -Proverbs 22:1
Thu Aug 27 09:09:01 PDT 2015 --  Be anxious for nothing, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. -Phil 4:6
Thu Aug 27 09:09:02 PDT 2015 --  When you walk in love, you give up your right to be right.
Mon Aug 10 03:08:34 PDT 2015 --  "What is for you will not pass you by."
Mon Aug 10 19:30:28 PDT 2015 --  Happy is the person who learns to wait as he prays and never loses his patience, for God's time is the perfect time. 🏻 #ctto
Wed Aug 12 14:54:28 PDT 2015 --  It's great to be happy, but it's even better to bring happiness to others.
Thu Aug 27 08:48:44 PDT 2015 --  God knows what will happen before it happens, he knows what's best for you trust him to make decisions for you.
Thu Aug 27 08:47:38 PDT 2015 --  My longest relationship is with God, he's been by my side through thick and thin.
Thu Aug 27 08:45:02 PDT 2015 --  It's not all about love it's about caring, compassion, forgiveness etc... Which makes it all about love.
Thu Aug 27 08:34:19 PDT 2015 --  If anyone is in Christ, he is a new creation: the old has passed away, behold, the new has come. -2Corinthians 5:17
Thu Aug 27 08:31:08 PDT 2015 --  Let your light shine before men in such a way that they may see your good works, and glorify your Father who is in heaven. -Matthew 5:16
Thu Aug 27 08:32:22 PDT 2015 --  That's why i hate cats https://twitter.com/jfarmer04/status/334819161731645441 …
Tue Jan 17 15:55:27 PST 2012 --  how much do you have to hate somebody to believe that everlasting life is possible and not tell them that? #wearecalledtosharethegospel
Thu Aug 27 08:29:35 PDT 2015 --  Galatians 6:2 "Bear one another’s burdens, and so fulfill the law of Christ.” #WeAreCalledToShareTheGospel
Thu Aug 27 08:27:07 PDT 2015 --  God gives different people different talents. Wherever He has you, He has you there for a purpose.
Thu Aug 27 08:25:18 PDT 2015 --  Thank you Lord pic.twitter.com/TIpehPG7bF
Thu Aug 27 08:24:06 PDT 2015 --  He guards the paths of the just and protects those who are faithful to him. Proverbs 2:8
Thu Aug 27 08:26:40 PDT 2015 --  Ephesians 4:2 "With all humility and gentleness, with patience, bearing with one another in… https://instagram.com/p/65E0MTOtTq/ 
Thu Aug 27 08:22:24 PDT 2015 --  The Moon doesn't sleep. pic.twitter.com/G5hFyUddpe
Thu Aug 27 08:18:44 PDT 2015 --  God let me accept the things I cant change, courage to change things I can & the wisdom to know the difference.
Thu Aug 27 08:20:41 PDT 2015 --  I'm gonna make the REST of my LIFE, the BEST of my LIFE.
Thu Aug 27 08:20:45 PDT 2015 --  As one whom his mother comforts, so will I will comfort you. -Isa 66:13
Thu Aug 27 08:11:10 PDT 2015 --  Until you're comfortable being alone, you'll never know if you're choosing someone out of love or loneliness.
Thu Aug 27 08:06:40 PDT 2015 --  Tinotoo na haha https://twitter.com/eatbulaga/status/636917118202609664 …
Thu Aug 27 08:03:27 PDT 2015 --  For we are God's workmanship, created in Christ Jesus to do good works, which God prepared in advance for us to do. -Eph 2:10
Thu Aug 27 07:45:20 PDT 2015 --  The testing of your faith produces perseverance - James 1:3
Thu Aug 27 07:41:58 PDT 2015 --  [God,] give us a helper against the oppressor, for human help is worthless Psalm 60:11
Thu Aug 27 07:39:53 PDT 2015 --  Take my yoke upon you & learn from me, for I am gentle & humble in heart, & you will find rest for your souls. -Matt 11:29
Thu Aug 27 00:35:00 PDT 2015 --  “Everyone you meet has something to teach you.” #LawOfAttraction
Thu Aug 27 07:19:27 PDT 2015 --  I can do all things in him who strengthens me. -Phil 4:13
Thu Aug 27 07:28:57 PDT 2015 --  Being a Christian isn't just about following commandments: it's about letting Christ take possession of our lives -Pope Francis
Thu Aug 27 07:28:57 PDT 2015 --  Love always protects, always trusts, always hopes, always perseveres. -1Cor 13:7
Thu Aug 27 07:24:16 PDT 2015 --  Carried the cross for my sin "The Stand" by Kristian Stanfill from Passion: Awakening http://open.spotify.com/track/57uVEAkBfidAvupugoVuHZ …
Thu Aug 27 07:10:26 PDT 2015 --  Your ears shall hear a word behind you, saying, “This is the way, walk in it,” Whenever you turn to the right hand or left. Isaiah 30:21a
Thu Aug 27 06:55:23 PDT 2015 --  Love and value yourself. You are God's creation and He paid a dear price for you to be alive today.
Thu Aug 27 06:58:14 PDT 2015 --  Ok na sana ung last part lang hindi ehh haha https://twitter.com/poemsporn/status/636703254194229248 …
Thu Aug 27 06:01:25 PDT 2015 --  Trust in the LORD with all your heart & lean not on your own understanding. -Proverbs 3:5
Thu Aug 27 05:50:35 PDT 2015 --  The fear of the LORD is the beginning of wisdom, & knowledge of the Holy One is understanding. -Proverbs 9:10
Wed Aug 26 16:05:03 PDT 2015 --  Take heart! So thankful He has overcome the world. #MidweekInspiration pic.twitter.com/XnFeI40Lra
Thu Aug 27 05:00:45 PDT 2015 --  Worry changes nothing. Give your fears to the Lord. pic.twitter.com/uVCTLiWj47
Thu Aug 27 04:59:39 PDT 2015 --  He will die for lack of discipline, led astray by his own great folly. -Proverbs 5:23
Thu Aug 27 05:07:48 PDT 2015 --  The world is Hate. But God is Love https://instagram.com/p/64uDihutYq/ 
Thu Aug 27 04:58:56 PDT 2015 --  But the Lord is faithful, who shall stablish you, and keep you from evil. -2 Thessalonians 3:3
Thu Aug 27 04:54:24 PDT 2015 --  Seryoso ka ba talaga kay maine? *Hides from the pillow #HappyALDUBWeeksary
Thu Aug 27 04:27:06 PDT 2015 --  #SaTamangPanahon https://twitter.com/mainedcm/status/636832652859867138 …
Thu Aug 27 04:15:21 PDT 2015 --  For God so loved the world that he gave his one & only Son, that whoever believes in him shall not perish but have eternal life. -John 3:16
Thu Aug 27 03:46:11 PDT 2015 --  So if the son sets you free, you will be free indeed. -John 8:36
Thu Aug 27 04:08:57 PDT 2015 --  Guard your heart above all else, for it is the source of life. -Proverbs 4:23
Wed Aug 26 22:43:49 PDT 2015 --  "I LOVE YOU" could not be said a better way. pic.twitter.com/qY3zAE44Kt
Wed Aug 26 23:04:22 PDT 2015 --  Delight yourself in the LORD and he'll give you the desires of your heart. -Psalm 37:4
Thu Aug 27 03:45:19 PDT 2015 --  Keep calm and believe in the plans of the Lord. 🏻
Wed Aug 26 14:44:07 PDT 2015 --  Alone in silence = Calm mind.
Thu Aug 27 03:32:18 PDT 2015 --  We take advantage from people above and below us.
Wed Aug 26 20:54:50 PDT 2015 --  Take control of your emotions before emotions take control of you.
Wed Aug 26 20:25:14 PDT 2015 --  pic.twitter.com/HT9hDH1ztw
Wed Aug 26 20:05:58 PDT 2015 --  We know that in all things God works for the good of those who love him, who have been called according to his purpose. -Romans 8:28
Wed Aug 26 20:05:54 PDT 2015 --  Do what is right, not what is easy.
Wed Aug 26 20:04:49 PDT 2015 --  I didn't give up, I let Go and Let God.
Wed Aug 26 19:16:41 PDT 2015 --  Everyone you meet has something to teach you.
Wed Aug 26 19:17:23 PDT 2015 --  Christian? YES. Perfect? NO. Forgiven? YES. Worthy? NO. Accepted? YES. Deserving? NO. Loved? YES.
Wed Aug 26 19:21:42 PDT 2015 --  Devote yourselves to prayer with an alert mind and a thankful heart. - Colossians 4:2
Wed Aug 26 19:16:44 PDT 2015 --  Happiness is not based on your circumstances, but on a decision you make.
Wed Aug 26 19:01:22 PDT 2015 --  Perfect? Nope.
Wed Aug 26 08:40:30 PDT 2015 --  Ang buhay ko ay para sa Iyo, Panginoon. pic.twitter.com/lsyxFVhEnI
Wed Aug 26 09:05:34 PDT 2015 --  Good has prepared something so precious for those who love Him. pic.twitter.com/IsvWXAa0xn
Wed Aug 26 10:25:33 PDT 2015 --  For the word of God is living and powerful, and sharper than any two-edged sword. Hebrews 4:12a pic.twitter.com/goeLIwuNbw
Wed Aug 26 18:03:51 PDT 2015 --  When u base ur worth & identity on ur relationship 2 Christ, u r freed from expectations of others, & that allows u 2 really serve them best
Wed Aug 26 11:28:19 PDT 2015 --  Because they remember they are loved and accepted by grace, servants don’t have to prove their worth. #ThePurposeDrivenLife
Wed Aug 26 11:27:59 PDT 2015 --  Your service for Christ is never wasted regardless of what others say. Servants base their identity in Christ. #ThePurposeDrivenLife
Wed Aug 26 11:29:23 PDT 2015 --  Be humble - 1 Peter 5:5
Wed Aug 26 10:25:34 PDT 2015 --  Alive Blessed Grateful
Wed Aug 26 10:26:43 PDT 2015 --  Pray that we may be given a hunger & burning desire to fellowship more closely with Jesus
Wed Aug 26 10:25:07 PDT 2015 --  If you had faith even as small as a mustard seed, you could say to this mountain, "Move from here to there," & it would move. -Matthew 17:20
Wed Aug 26 10:01:47 PDT 2015 --  Do not judge so that you will not be judged. -Matthew 7:1
Wed Aug 26 10:01:24 PDT 2015 --  Gods plan is the best plan pic.twitter.com/qB3TzWqwtt
Wed Aug 26 10:02:06 PDT 2015 --  God First: pic.twitter.com/kGt9U0nsvJ
Wed Aug 26 10:03:38 PDT 2015 --  All the time.
Wed Aug 26 10:17:48 PDT 2015 --  Through the good and the bad, I know God is always with me.
Wed Aug 26 09:55:25 PDT 2015 --  I sought the Lord, & He answered me, & delivered me from all my fears. Look to Him & be radiant. -Psalm 34:4-5
Wed Aug 26 09:52:21 PDT 2015 --  pic.twitter.com/92nyFfJKFa
Wed Aug 26 09:52:14 PDT 2015 --  Be on your guard; stand firm in the faith; be men of courage; be strong. -1Cor 16:13
Wed Aug 26 09:51:01 PDT 2015 --  How I stopped being afraid of life: http://bit.ly/1DOqZog 
Wed Aug 26 09:50:34 PDT 2015 --  Consider it pure joy, whenever u face trials of many kinds, because u know that the testing of your faith develops perseverance. -Jame 1:2
Wed Aug 26 09:41:22 PDT 2015 --  Now faith is being sure of what we hope for & certain of what we do not see. -Heb 11:1
Wed Aug 26 09:37:17 PDT 2015 --  pic.twitter.com/qNowjU3T9q
Wed Aug 26 09:34:40 PDT 2015 --  One of the secrets of life is that all that is really worth the doing is what we do for others. -Levi Strauss
Wed Aug 26 09:33:50 PDT 2015 --  And thou shalt love the Lord thy God with all thine heart, & with all thy soul, & with all thy might. -Deut 6:5
Wed Aug 26 09:38:31 PDT 2015 --  What can i say? What can i do? But offer this heart O God completely to you
Wed Aug 26 09:28:07 PDT 2015 --  The path of lazy people is overgrown with briers; the diligent walk down a smooth road. -Proverbs 15:19
Wed Aug 26 09:28:46 PDT 2015 --  With men it is impossible; but to God all things are possible. -Matthew 19:26
Wed Aug 26 09:26:35 PDT 2015 --  I will teach you wisdom's ways & lead you in straight paths. -Proverbs 4:11
Wed Aug 26 09:13:27 PDT 2015 --  Be strong & courageous. Do not be terrified or discouraged, for the LORD your God will be with you wherever you go. -Josh 1:9
Wed Aug 26 09:15:26 PDT 2015 --  Only Jesus can set us free
Wed Aug 26 09:14:15 PDT 2015 --  "To Be Like You" by Hillsong Worship from Glorious Ruins http://open.spotify.com/track/3CpubZtllvIUBQ6CejTQJP …
Wed Aug 26 09:01:29 PDT 2015 --  I PUT MY TRUST IN GOD. pic.twitter.com/41qRWKKJeA
Wed Aug 26 09:00:48 PDT 2015 --  All glory to GOD. pic.twitter.com/iEkuNLcYRy
Wed Aug 26 09:03:56 PDT 2015 --  Love does not brag
Wed Aug 26 09:01:45 PDT 2015 --  Two are better than one, Because they have a good reward for their labor. For if they fall, one will lift up his companion. Eccl 4:9-10a
Wed Aug 26 08:40:15 PDT 2015 --  You must not let your minds be troubled and must not be a coward - John 14:27
Wed Aug 26 08:39:47 PDT 2015 --  Do not merely listen to the word, and so deceive yourselves. Do what it says. -James 1:22
Wed Aug 26 08:39:40 PDT 2015 --  There's no fear in love. Instead complete love drives out fear - 1John 4:18
Wed Aug 26 08:37:10 PDT 2015 --  I fall asleep in peace the moment I lie down because you alone, O LORD, enable me to live securely. -Psalm 4.8
Wed Aug 26 08:35:43 PDT 2015 --  Give instruction to a wise man, & he will be still wiser; Teach a just man, & he will increase in learning. -Proverbs 9:9
Wed Aug 26 08:36:00 PDT 2015 --  It's easy to move on if you know where you're going.
Wed Aug 26 08:31:36 PDT 2015 --  I might not be perfect but Jesus thinks I'm to die for!
Wed Aug 26 08:29:09 PDT 2015 --  Her lavish service was called “a waste” by the disciples, but Jesus called it “significant,” - Matthew 26:10 and that’s all that mattered.
Wed Aug 26 08:28:49 PDT 2015 --  Mary took the most valuable thing she owned, expensive perfume, and poured it over Jesus. #ThePurposeDrivenLife
Wed Aug 26 08:28:20 PDT 2015 --  The world, and even much of the church, does not understand what God values. #ThePurposeDrivenLife
Wed Aug 26 08:27:50 PDT 2015 --  JESUS CHRIST CHANGED MY LIFE (Retweet if HE Changed Your Life)
Wed Aug 26 08:25:19 PDT 2015 --  One of my favorite verses pic.twitter.com/Xh1fmHFhf0
Wed Aug 26 08:24:06 PDT 2015 --  Don't make the choice to go back to where you came from. God has bigger plans for you.
Wed Aug 26 08:03:48 PDT 2015 --  Love is not arrogant
Wed Aug 26 08:04:28 PDT 2015 --  Colossians 3:13 Forgiving each other; as the Lord has forgiven you, so you also must forgive. #Forgiveness
Wed Aug 26 08:01:26 PDT 2015 --  Thank you Lord for your peace. pic.twitter.com/xxVQuQ9l1a
Wed Aug 26 07:53:00 PDT 2015 --  A thousand disappointments in the past cannot equal the power of one positive action right now. Go ahead & go for it.
Wed Aug 26 07:56:40 PDT 2015 --  pic.twitter.com/lAG4QThn9i
Wed Aug 26 07:50:48 PDT 2015 --  If you can't control what you think, you will not be able to control what you do.
Wed Aug 26 07:44:50 PDT 2015 --  SA PANAHON NGAYON PAG MABAGAL KA MAIIWANAN KA NANG MAG ISA, MATUTO KANG MAG MOVE ON, MAY DARATING PANG IBA, YUNG THE RIGHT ONE
Tue Aug 25 16:33:46 PDT 2015 --  Live a life of love, just as Christ loved us and gave himself up for us as a fragrant offering & sacrifice to God. -Eph 5:2
Wed Aug 26 07:41:29 PDT 2015 --  Don't forget where you came from.
Wed Aug 26 07:38:40 PDT 2015 --  O LORD, be gracious to us; we long for you. Be our strength every morning, our salvation in time of distress. -Is 33:2
Wed Aug 26 07:37:20 PDT 2015 --  Making Your Faith Public http://bible.com/r/721 
Wed Aug 26 07:34:24 PDT 2015 --  Prayer is the most important conversation of the day.
Wed Aug 26 07:34:16 PDT 2015 --  pic.twitter.com/SmjIYk5VFr
Wed Aug 26 07:33:41 PDT 2015 --  VERSE OF THE DAY pic.twitter.com/9U71YZbqgH
Wed Aug 26 07:31:16 PDT 2015 --  Ask God to remove anything in your life that is taking the place that belongs to Him.
Wed Aug 26 07:24:10 PDT 2015 --  I can do all this through him who gives me strength. - Philippians 4:13
Wed Aug 26 07:18:50 PDT 2015 --  His LOVE is forever. pic.twitter.com/5dPTdhzVSB
Wed Aug 26 07:18:26 PDT 2015 --  Remaining calm in adversity is a sign of great spiritual strength. No matter what's going on in your life right now, "Hold your peace!"
Wed Aug 26 07:17:28 PDT 2015 --  True pic.twitter.com/qxQLZv5771
Wed Aug 26 07:16:46 PDT 2015 --  Amen pic.twitter.com/stUC5PR6s7
Wed Aug 26 07:13:47 PDT 2015 --  pic.twitter.com/zkjeCHCA0C
Wed Aug 26 07:10:27 PDT 2015 --  the Lord is faithful, who will establish you and guard you from the evil one. 2 Thessalonians 3:3 pic.twitter.com/ljLPys4GxE
Wed Aug 26 07:09:59 PDT 2015 --  It is finished
Wed Aug 26 07:05:52 PDT 2015 --  Colossians 1:16 For in him all things were created all things have been created through him and for him. God can use you If you let him
Wed Aug 26 07:04:39 PDT 2015 --  Jesus said to them, I am the bread of life; he who comes to Me will not hunger, and he who believes in Me will never thirst." -John 6:3"
Wed Aug 26 07:04:39 PDT 2015 --  God is Good Every time!
Wed Aug 26 06:11:24 PDT 2015 --  I love you, O LORD, my strength. -Psalm 18:1
Wed Aug 26 05:58:01 PDT 2015 --  God never leads us where He cannot keep us. His grace is always sufficient for us in any and every circumstance of life.
Wed Aug 26 05:56:55 PDT 2015 --  Above all, love each other deeply, because love covers over a multitude of sins. -1Peter 4:8
Wed Aug 26 05:53:11 PDT 2015 --  Ung naka move on ka na tapos ung gusto mo dati nag ka gusto sa iyo ehh may iba ka ng gusto.
Wed Aug 26 05:41:49 PDT 2015 --  Be Strong https://instagram.com/p/62NJ2WutZgAFBBBiwZrhLIpZj7aG3mEUejl0E0/ …
Wed Aug 26 05:38:22 PDT 2015 --  Lilipas din yan haha
Wed Aug 26 05:11:35 PDT 2015 --  When pride comes, then comes shame; But with the humble is wisdom. -Proverbs 11:2
Wed Aug 26 05:07:56 PDT 2015 --  You may have weaknesses, but God has strength. You may have sin, but God has grace. You may fail, but God remains faithful!
Wed Aug 26 05:05:13 PDT 2015 --  do you ever get a weird crush on someone that’s not even attractive but you’re just attracted to them and you don’t know why
Wed Aug 26 05:04:41 PDT 2015 --  I have faith that God is living out a divine plan through me. Have faith in God. -Mark 11:22
Wed Aug 26 05:01:50 PDT 2015 --  “I will take care of you because I love you.” -God
Wed Aug 26 04:59:03 PDT 2015 --  For God did not send his Son into the world to condemn the world, but to save the world through him. -John 3:17
Wed Aug 26 04:58:25 PDT 2015 --  Love each other as I have loved you. Greater love has no one than this, that he lay down his life for his friends. -John 15:12
Wed Aug 26 05:10:04 PDT 2015 --  "With Everything - Live" by Hillsong United http://open.spotify.com/track/7dcX4P7koRDPZjnfhBIuIe …
Wed Aug 26 04:56:55 PDT 2015 --  First love never dies. Pagkat ayoko ng mag laro "Handa Nang Magmahal" by REY VALERA http://open.spotify.com/track/6laYSq2en3NDpnKtfPzi2O …
Wed Aug 26 04:27:17 PDT 2015 --  There is no fear in love; but perfect love casteth out fear. -1John 4:18
Wed Aug 26 01:01:03 PDT 2015 --  "God knows everything because God is everything."
Wed Aug 26 04:13:16 PDT 2015 --  I don't know where to start.
Wed Aug 26 04:05:02 PDT 2015 --  Nakakainis yung mga taong may sasabihin daw, tapos biglang, "Ay wag na lang"
Wed Aug 26 04:04:58 PDT 2015 --  All Scripture is God-breathed & is useful for teaching, rebuking, correcting and training in righteousness. -2Tim 3:16
Wed Aug 26 03:57:34 PDT 2015 --  Pride goes before destruction, a haughty spirit before a fall. -Proverbs 16:18
Wed Aug 26 03:31:06 PDT 2015 --  Ung mga taong ikamatay na ang lahat para sa gusto nila
Wed Aug 26 02:46:30 PDT 2015 --  Hate is not the first enemy of love. Fear is. It destroys your ability to trust.
Wed Aug 26 02:38:36 PDT 2015 --  Whoever finds me finds life & receives favor from the LORD. But whoever fails to find me harms himself; -Proverbs 8:35
Wed Aug 26 02:10:34 PDT 2015 --  Soon. To God be the Glory. 🏻 https://instagram.com/p/610-pOy0nO/ 
Wed Aug 26 02:07:45 PDT 2015 --  You are wonderful, LORD, & you deserve all praise, because you are much greater than anyone can understand. -Psalm 145:3
Wed Aug 26 02:07:42 PDT 2015 --  Trials without God will break you. Trials with God will make you.
Wed Aug 26 02:06:22 PDT 2015 --  God has not given us the spirit of fear; but of power, and of love, and of sound mind. -2Tim 1:7
Wed Aug 26 02:04:52 PDT 2015 --  I am the LORD; that is my name! I will not give my glory to another or my praise to idols. -Isaiah 42:8
Wed Aug 26 02:01:28 PDT 2015 --  My salvation and my honor depend on God; he is my mighty rock, my refuge. -Psalm 62:7
Wed Aug 26 01:56:22 PDT 2015 --  “...those who plan what is good find love and faithfulness.” (Proverbs 14:22, NIV)
Wed Aug 26 01:47:45 PDT 2015 --  Even a fool who keeps silent is considered wise; when he closes his lips, he is deemed intelligent. -Proverbs 17:28
Wed Aug 26 01:40:01 PDT 2015 --  My pride is stronger than my feelings. Don't try to play me. I could think of you 24/7 and you still wouldn't hear from me.
Wed Aug 26 01:38:54 PDT 2015 --  That feeling you can't explain. Creepy
Wed Aug 26 01:31:08 PDT 2015 --  Commit to the LORD whatever you do, & your plans will succeed. -Prov 16:3
Wed Aug 26 01:33:07 PDT 2015 --  Your word is a lamp to my feet and a light to my path. -Psalm 119:105
Wed Aug 26 01:34:12 PDT 2015 --  God-loyal people, living honest lives, make it much easier for their children. -Proverbs 20:7
Wed Aug 26 01:23:54 PDT 2015 --  Dear God, I'm not really a good human but thanks for staying with me through everything. #ALDUBAngLihimNiLOLA pic.twitter.com/iMUgebFDKv
Tue Aug 25 05:36:59 PDT 2015 --  #NaisKo mawala lahat ng paasa sa mundo.
Tue Aug 25 06:13:48 PDT 2015 --  #NaisKo maging priority hindi option lang.
Wed Aug 26 01:28:53 PDT 2015 --  There's no fear in love. Instead complete love drives out fear - 1John 4:18
Wed Aug 26 01:20:32 PDT 2015 --  [God's Laws are] more desirable than gold, yes, more than much refined gold -Psalm 19:10
Wed Aug 26 01:18:45 PDT 2015 --  Make every effort to live in peace with everyone and to be holy; without holiness no one will see the Lord. -Hebrews 12:14
Wed Aug 26 00:57:47 PDT 2015 --  God's Great Dance floor!
Wed Aug 26 00:54:19 PDT 2015 --  God is working on me, I have no doubt that he has my back .
Wed Aug 26 00:49:53 PDT 2015 --  #NowPlaying "Come Away - Live" by Jesus Culture from Come Away (Live) http://open.spotify.com/track/3icd9S1wEIx9FuQlt9SR5O …
Wed Aug 26 00:47:16 PDT 2015 --  Spirit lead me when my trust is without borders.
Wed Aug 26 00:43:15 PDT 2015 --  You don't need to know what tomorrow holds; all you need to know is the One who holds tomorrow.
Wed Aug 26 00:43:15 PDT 2015 --  For everything there is a season, a time for every activity under heaven. -Ecclesiastes 3:1
Wed Aug 26 00:41:24 PDT 2015 --  I want to go to ibiza someday!
Wed Aug 26 00:35:52 PDT 2015 --  Sometimes people don't know what they're worth and end up worthless.
Wed Aug 26 00:17:33 PDT 2015 --  Those who are wise will shine like the brightness of the heavens, & those who lead many to righteousness, like the stars for ever Dan 12:3
Wed Aug 26 00:21:30 PDT 2015 --  1 Corinthians 13:10 pic.twitter.com/p9GDssnLLK
Tue Aug 25 12:47:26 PDT 2015 --  God has a perfect timing for everything. Learn to wait on Him. This brings Him honor, and it brings you peace. (see Psalm 27:14)
Tue Aug 25 12:46:03 PDT 2015 --  J E S U S I S M Y S A V I O U R🏼
Wed Aug 26 00:13:37 PDT 2015 --  In God we will be strong - Psalm 60:12
Wed Aug 26 00:13:41 PDT 2015 --  Looking back, makes you smart. Looking forward, makes you mature. Looking down, makes you wise. Looking UP, makes you strong.
Tue Aug 25 12:49:19 PDT 2015 --  It was for freedom that Christ set us free; therefore keep standing firm and do not be subject again to a yoke of slavery. -Galatians 5:1
Tue Aug 25 12:52:38 PDT 2015 --  Don't fall in love with someone until you fall in love with Jesus.
Tue Aug 25 12:37:51 PDT 2015 --  Babala pic.twitter.com/1uPnjse67f
Tue Aug 25 12:15:45 PDT 2015 --  The fear of the Lord is the beginning of wisdom, And the knowledge of the Holy One is understanding. Proverbs 9:10 pic.twitter.com/mV74g7XqA0
Tue Aug 25 12:15:15 PDT 2015 --  Jesus is all I need.
Tue Aug 25 12:14:55 PDT 2015 --  The God who made the world & everything in it is the Lord of heaven & earth & does not live in temples built by hands. -Acts 17:24
Mon Aug 24 15:20:11 PDT 2015 --  Never give up on something you really want. It's difficult to wait but worse to regret.
Tue Aug 25 12:01:32 PDT 2015 --  pic.twitter.com/yqOq7QagcW
