Sat Aug 29 09:05:23 PDT 2015 --  Is "potential possibilities" redundant?
Sun Aug 23 13:57:02 PDT 2015 --  right eyebrow: beautiful, vegan, exfoliates, gives to charity left: eyebrow
Tue Aug 25 15:43:30 PDT 2015 --  Why do we PARK on DRIVEways but seek empty VALIDATION from STRANGERS
Tue Aug 25 13:34:25 PDT 2015 --  Don't worry, I published.
Tue Aug 25 09:58:45 PDT 2015 --  I'm in Rend where's E Cig
Tue Aug 25 09:58:31 PDT 2015 --  3-11 every day until I'm 94 https://twitter.com/callmeecig/status/636218098845024256 …
Tue Aug 25 08:53:31 PDT 2015 --  I think I had a speech round with this kid one time at Eagle. I remember it because he's annoying me now like he annoyed me then.
Tue Aug 25 08:47:07 PDT 2015 --  Wore bad shoes yesterday. Wore worse shoes today. #hello
Mon Aug 24 23:20:05 PDT 2015 --  Tired but artistic
Mon Aug 24 22:47:11 PDT 2015 --  Cotton dress shrank now it's too short
Mon Aug 24 19:07:59 PDT 2015 --  Growing out my fingernails AND my pixie cut. We respectfully request privacy during this sensitive time.
Mon Aug 24 15:53:43 PDT 2015 --  How does @mclachlansierra feel about the upcoming 1D hiatus?
Mon Aug 24 15:31:07 PDT 2015 --  Update: I acquired school supplies (5 notebooks and some mascara)
Mon Aug 24 13:28:27 PDT 2015 --  A brilliant emoji lineup describing my mwf class schedule
Mon Aug 24 12:59:41 PDT 2015 --  Whenever @damronkatie says "Keep the tweets coming, E-Cig" you better get life jackets because there's a flood on the way
Mon Aug 24 12:50:15 PDT 2015 --  WHY DIDNT I SEE E CIG ON CAMPUS TODAYYY
Mon Aug 24 12:49:53 PDT 2015 --  E Cig, keep the tweets coming.
Mon Aug 24 07:43:13 PDT 2015 --  I might look like I can make success appear out of thin air, but no
Sun Aug 16 13:07:33 PDT 2015 --  By lol I meant lamenting out loud
Mon Aug 24 08:54:21 PDT 2015 --  Im just going to start spraypainting black vnecks with statements "TEXT ME *insert number*" "STUDY BUDDY NEEDED" "LOOKING FOR KATIE DAMRON"
Mon Aug 24 11:14:47 PDT 2015 --  Why hasn't anyone come up to me to ask for my number? College is the hugest let-down
Mon Aug 24 12:07:14 PDT 2015 --  "No, I don't feel bad. I feel like hell." --My 101 year old great grandmother
Mon Aug 24 08:55:36 PDT 2015 --  I already want to change my shoes and I need a ponytail. Katie, IRL.
Mon Aug 24 07:16:10 PDT 2015 --  My hair is at that stage where if I could just sleep on it for another hour, it would be perfect.
Mon Aug 24 06:11:37 PDT 2015 --  Rae Sremmurd is the playlist secret ingredient these days
Mon Aug 24 00:09:54 PDT 2015 --  January 1, 2014
Sun Aug 23 23:15:13 PDT 2015 --  I have to be up early. I don't have school supplies yet. I don't know what I'm going to wear tomorrow. College is off to a great start.
Sun Aug 23 22:50:56 PDT 2015 --  No, my "goalz" don't include joining a sorority at some tiny no-name college in southern cali....sorry.
Sun Aug 23 22:49:03 PDT 2015 --  Accidentally faved my own tweet. Deactivating.
Sun Aug 23 21:37:16 PDT 2015 --  If you want something, ask for it. ASK FOR IT. a s k f o r i t
Sun Aug 23 20:55:55 PDT 2015 --  College (help) starts (me) tomorrow
Sun Aug 23 20:01:41 PDT 2015 --  I have a collection of meaningful texts Aleigh has sent me over the years saved on my phone.
Sun Aug 23 18:19:28 PDT 2015 --  @damronkatie I now understand why you don't like tweeting typos
Sun Aug 23 16:37:26 PDT 2015 --  @espn I'm 99.99999% positive this young man's favorite singer (Band) is "One Direction" SMH pic.twitter.com/OEkhEWbVUW
Sun Aug 23 17:04:28 PDT 2015 --  One Direction may come and go, but Claude Giroux is here to stay #GBG
Wed Aug 19 19:18:53 PDT 2015 --  This all ends with Donald Trump selling us a monorail and skipping town.
Wed Aug 19 17:08:36 PDT 2015 --  Shocked & offended that All The Bright Places is on the bottom shelf at Barnes & Noble.
Wed Aug 19 16:55:22 PDT 2015 --  Did you really need to bring your 6 kids into VS? They're getting in the way of my 5 for $27.
Wed Aug 19 16:21:27 PDT 2015 --  If you're still wearing jeans with thick stitching, I will bet my life you're from Bonneville or Madison county.
Wed Aug 19 16:01:06 PDT 2015 --  It's fine honestly. A solid piece. But bummed explanation was comp to JG rather than saying my books are intl bestsellers/ taught in schools
Wed Aug 19 14:49:25 PDT 2015 --  Robyn Schneider is one of my favorite writers, or artists in general, & it really burns me that her books weren't mentioned in that article.
Wed Aug 19 14:14:13 PDT 2015 --  That time I was profiled in the NYT and they mentioned @johngreen's The Fault In Our Stars, but not any of my books: http://www.nytimes.com/interactive/2015/08/18/magazine/23mag-culturesidebar.html?_r=0 …
Wed Aug 19 12:32:53 PDT 2015 --  So many of my cousins have pretty blue eyes
Wed Aug 19 11:45:40 PDT 2015 --  The Lena & Eva Chen photo on Lenny Letter's Insta has me feeling all types of excited
Wed Aug 19 10:55:48 PDT 2015 --  Remember when you didn't know?
Wed Aug 19 00:13:21 PDT 2015 --  I don't really like the noise, but sleeping with the air conditioner off is not an option.
Tue Aug 18 22:42:35 PDT 2015 --  When you wake up in the middle of the night because your cat is hella stoked about Christmas pic.twitter.com/KNNaiUQZd7
Tue Aug 18 22:13:42 PDT 2015 --  Tall Nike Elite socks and long basketball shorts every day https://twitter.com/callmeecig/status/633841113279823872 …
Tue Aug 18 17:22:28 PDT 2015 --  *Panics during a speech at my mother's funeral* Somebody once told me the world is gonna roll me... I ain't the sharpest tool in the shed?
Tue Aug 18 17:01:00 PDT 2015 --  I took my cousin Whitney shopping today & the lady at the jewelry store went on and on AND ON about how beautiful Whit is She's 12. TWELVE.
Tue Aug 18 12:39:12 PDT 2015 --  I add "feat. Pitbull" to my signature on all legal documents so he's at least partly to blame for all of my business activity
Tue Aug 18 10:22:05 PDT 2015 --  "That video makes sororities look elitist and separatist!" ...well, yeah. I mean...
Tue Aug 18 00:24:33 PDT 2015 --  Back to watching the Lena episode of Scandal. In case this was never clear before, I love Lena and I love Scandal...especially together.
Mon Aug 17 23:23:31 PDT 2015 --  Lt. General Mark Hertling's response to Donald Trump's proposed military action in the Middle East is simple, but effective..brilliant, even
Mon Aug 17 21:43:01 PDT 2015 --  The older I get, the more I love cookies. What a problem.
Mon Aug 17 21:17:00 PDT 2015 --  For all things political, I check The Skimm first.
Mon Aug 17 20:02:02 PDT 2015 --  Snizzle https://twitter.com/callmeecig/status/633472947458445316 …
Mon Aug 17 17:44:19 PDT 2015 --  Person: Be the change you want to see in the world. Hillary Clinton said that. Me: ...or Mahatma Gandhi Person: Muhammad Ali, love him.
Sun Sep 21 18:46:34 PDT 2014 --  *holds up 2 ties* which one, I have a big meeting today "both are nice" [wife calls later] "how'd it go" well, wearing 2 ties was a disaster
Mon Aug 17 16:37:19 PDT 2015 --  Zayn
Mon Aug 17 15:34:26 PDT 2015 --  @Al_Pal_Alllred @damronkatie I feel like you two are on the same page. Always.
Mon Aug 17 13:29:37 PDT 2015 --  Too bad I have work. I'll have to watch later.
Mon Aug 17 13:27:35 PDT 2015 --  JUST CAME ACROSS THE EPISODE OF SCANDAL FEATURING LENA. LENA.
Mon Aug 17 12:08:52 PDT 2015 --  That was my way of telling you I'm eating Asian food and watching Scandal.
Mon Aug 17 12:01:08 PDT 2015 --  My love for egg rolls is as big as Olivia Pope's Prada collection #HUGE
Mon Aug 17 11:41:29 PDT 2015 --  I live for Zayn's rt/fav Twitter shade
Mon Aug 17 09:56:33 PDT 2015 --  Bye, Danny B #48
Sun Aug 16 23:10:36 PDT 2015 --  Times when I'm the most afraid: 1. When there's a moth near me 2. When my headphones stop working
Sun Aug 16 21:17:09 PDT 2015 --  I'm realizing the M in MTV stands for mother as I watch Kingin With Tyga with my mother.
Sun Aug 16 19:21:46 PDT 2015 --  I feel like half the show is about Cait's stylists and it minimizes the important conversations with the insightful trans people featured.
Sun Aug 16 19:16:36 PDT 2015 --  I can appreciate the honesty/rawness, but I don't like the stylist angle of I Am Cait. Ditch the stylists.
Sun Aug 16 18:51:28 PDT 2015 --  Who do I need to call to be invited to join Taylor Swift on stage at one of her concerts?
Sun Aug 16 02:14:50 PDT 2015 --  maybe if i learned to skateboard
Sun Aug 16 00:31:14 PDT 2015 --  Okay but here's the latest: my younger cousin cleaned my room for me while I was at work. THE WHOLE THING.
Sat Aug 15 18:52:02 PDT 2015 --  Jeannie and I attract the creeps at work yaknow
Sat Aug 15 17:22:40 PDT 2015 --  Baby names: (girl) 1. Taupanga 2. Nee-San Sentra 3. Garyetta 4. Stemselle 5. Kevine 6. Wrongda 7. SarahcuseOrangemen 8. Cathyter 9. FoxNews
Sat Aug 15 13:16:20 PDT 2015 --  Spotted: Abby Wood at Cafe Rio. Been a long time, Abs.
Sat Aug 15 13:02:27 PDT 2015 --  Karlie Kloss for Kate Spade. This is what dreams are made of.
Sat Aug 15 10:31:55 PDT 2015 --  I have enough money for this semester of school orrrrrrr I have enough money for a really really good concert ticket.
Sat Aug 15 02:02:28 PDT 2015 --  Top fears (in order): 1. Moths 2. Outer space 3. Never achieving dreams/goals
Sat Aug 15 02:00:56 PDT 2015 --  NO ONE ASKED YOU https://twitter.com/biggs_zap/status/632476745782837248 …
Sat Aug 15 01:58:52 PDT 2015 --  Lost the moth. Looks like I'm sleeping in the bathroom tonight.
Sat Aug 15 01:57:37 PDT 2015 --  I've gotta rescue her (my dog, not the moth)
Sat Aug 15 01:57:20 PDT 2015 --  I left my dog alone with the moth.
Sat Aug 15 01:57:09 PDT 2015 --  Level 10 moth situation
Sat Aug 15 01:52:39 PDT 2015 --  3 AM inspo
Fri Aug 14 23:56:36 PDT 2015 --  *my mom and I in the middle of a deep conversation about trans culture in the US* "Wait! Look at that cute puppy!" Jan says, pointing at TV
Fri Aug 14 23:30:45 PDT 2015 --  I hate my bottom retainer, but only when I notice it.
Fri Aug 14 21:51:13 PDT 2015 --  I'm watching Anthony Bourdon Parts Unknown and they're in Sicily and talked about the Godfather. I know Katie would approve.
Fri Aug 14 21:27:34 PDT 2015 --  Unlike Kendrick Lamar, I'm mad AND stressin
Fri Aug 14 18:44:16 PDT 2015 --  Actually terrified of chicken salad with grapes in it
Fri Aug 14 17:08:44 PDT 2015 --  Style Accessories I Have Become Dependant On: Bracelets
Fri Aug 14 14:33:26 PDT 2015 --  I like online shopping because it combines my love of clothes with my dislike of talking to other people.
Thu Aug 13 23:30:08 PDT 2015 --  "Kate, carry Daisy downstairs and let her out. Then carry her back." Because my dog has twice the legs I do, but needs twice the help.
Thu Aug 13 21:28:13 PDT 2015 --  E Cig don't RT my tweets with typos. You're just encouraging my failures.
Thu Aug 13 20:30:13 PDT 2015 --  @mclachlansierra you're like pure gold and roses
Thu Aug 13 21:21:16 PDT 2015 --  When Tim Gunn had to correct that designer who referred to muslin as "Muslim"
Thu Aug 13 21:16:26 PDT 2015 --  "My customer is an on-the-go woman who goes again the grain. She's smart, sexy, and independent." --every undiscovered fashion designer ever
Thu Aug 13 19:56:53 PDT 2015 --  The one time I don't txt back within 10 minutes and Ethan has some kind of breakdown.
Thu Aug 13 19:53:17 PDT 2015 --  I TEXTED BACK https://twitter.com/callmeecig/status/632003208118820864 …
Thu Aug 13 14:54:32 PDT 2015 --  Waving at someone who wasn't waving at you is a quick fix just walk into the ocean and start your new life
Thu Aug 13 13:36:17 PDT 2015 --  I look like a European tourist today in khaki and black with Birkenstocks while carrying an oversized handbag.
Thu Aug 13 11:35:54 PDT 2015 --  I just read Hillary Clinton referred to as Hillz. I love that almost as much as I love Zayn being used as a verb now.
Thu Aug 13 11:26:26 PDT 2015 --  I think A Milli is Lil Wayne at his prime. Take that how you will.
Thu Aug 13 01:02:05 PDT 2015 --  Miguel knows how to make a 3 minute song seem like it's 3 hours long.
Thu Aug 13 00:55:02 PDT 2015 --  As you can see, I'm not used to sharing my bed with an 8 pound dog that thinks she's entitled to HALF MY BED
Thu Aug 13 00:50:04 PDT 2015 --  I put the fun in insufficient funds. (I've probably tweeted this before, but it's always relevant)
Thu Aug 13 00:42:32 PDT 2015 --  When you're 9, you want your dog to sleep with you. When you're 19, you want your dog to sleep elsewhere because there's no room in your bed
Wed Aug 12 21:14:53 PDT 2015 --  I'm just really uninterested in males' opinions on the perfect height for a female.
Wed Aug 12 21:00:32 PDT 2015 --  Ok but the reality here is that I'm v good at making cookies
Wed Aug 12 15:27:14 PDT 2015 --  "Usually I'm telling people I don't care what they think while I'm internally agonizing over what they think."
Wed Aug 12 12:29:48 PDT 2015 --  Should feature Kimmo imo butttttttttttt whatev
Wed Aug 12 11:30:48 PDT 2015 --  Official statement regarding Patrick Kane. pic.twitter.com/MVurUYOHT8
Wed Aug 12 11:22:03 PDT 2015 --  Idk I just don't think anyone should attach themselves to anything so publicly if they're unwilling to commit
Wed Aug 12 10:41:44 PDT 2015 --  E CIG GET BACK ON TWITTER WE'RE MAKING PLANS
Wed Aug 12 10:39:31 PDT 2015 --  I look cute today and Kathryn does this to me?
Wed Aug 12 10:07:44 PDT 2015 --  COME TO ME https://twitter.com/mclachlansierra/status/631509439669886976 …
Wed Aug 12 01:02:28 PDT 2015 --  Things I want: 1. More sleep 2. Someone else to pay for college
Wed Aug 12 00:17:04 PDT 2015 --  Decision making at its finest
Tue Aug 11 20:57:46 PDT 2015 --  There is butter all over my phone. Work is going well.
Tue Aug 11 18:05:46 PDT 2015 --  My revenge list could pave the Great Wall of China tonight.
Tue Aug 11 12:53:15 PDT 2015 --  Expert taste Expertise
Tue Aug 11 11:14:44 PDT 2015 --  Drama's nervous laugh on Rob & Big is symbolic of my life
Tue Aug 11 10:10:09 PDT 2015 --  Being a fan of something is one giant inconvenient excuse to let something that really has nothing to do with you affect your life majorly.
Tue Aug 11 01:06:22 PDT 2015 --  W h y i s t h e r e n o f l a m i n g o e m o j i
Tue Aug 11 00:34:06 PDT 2015 --  I'll know it when I see it
Sun Aug 09 10:08:53 PDT 2015 --  HI @zaynmalik I HAVE BEAUTIFUL INSTRUMENTALS AND YOU HAVE A VOICE LETS FIGURE THIS OUT MY GUY . EPIC ALBUM CUTS THO NO RADIO SINGLES
Mon Aug 10 22:28:33 PDT 2015 --  So thankful for Lena's close documentation of her trip to Tokyo bc I love Lena.
Mon Aug 10 20:17:03 PDT 2015 --  Tyga got Kylie a $240,000 Ferrari for her 18th birthday. Unrelated: Remember when Tyga performed at Kendall's 16th birthday party?
Mon Aug 10 20:03:50 PDT 2015 --  Just been busy. I'll step up my game. https://twitter.com/jsporter43/status/630934902721003520 …
Mon Aug 10 18:11:27 PDT 2015 --  It's true. 9 AM comes and she's an entirely different person. https://twitter.com/damronkatie/status/630736346160607233 …
Mon Aug 10 13:05:33 PDT 2015 --  Foodies can't drink Kool Aid
Mon Aug 10 12:54:37 PDT 2015 --  New social media mantra: "my page my rules, kids"
Mon Aug 10 11:38:23 PDT 2015 --  If a genie appeared to me, I would use all three wishes to make international shipping not a thing anymore.
Mon Aug 10 06:43:58 PDT 2015 --  I'm actually incapable of a good mood before 9 AM.
Sun Aug 09 22:53:07 PDT 2015 --  I think I'm having an allergic reaction to one of the 390 things I've eaten today.
Sun Aug 09 22:20:31 PDT 2015 --  At what age do you start worrying about wall sconces and planting gardens?
Sun Aug 09 20:37:45 PDT 2015 --  Dad, there are worse things than dropping out of college. Like trying to launch my rap career while still being *in* college.
Sun Aug 09 18:51:43 PDT 2015 --  Katie Damron: grill master extraordinaire
Sun Aug 09 11:00:06 PDT 2015 --  Hey teens, being true to yourself has Tons of fleek
Sun Aug 09 11:49:08 PDT 2015 --  General panic attackiness
Sun Aug 09 06:43:22 PDT 2015 --  Yes, being sick sucks. But also my voice is at the perfect level of gritty so my shower Adele impression is particularly moving.
Sun Aug 09 00:12:22 PDT 2015 --  The important thing here is that my hair is growing out at an acceptable speed.
Sat Aug 08 21:55:16 PDT 2015 --  Nothing about my look is working right now except my eyebrows. God save the queen.
Sat Aug 08 13:37:36 PDT 2015 --  I went to the Sho-Ban Festival and it was amazing.
Sat Aug 08 13:27:40 PDT 2015 --  Hi Jefffffff https://twitter.com/jsporter43/status/630105419499704320 …
Sat Aug 08 11:45:44 PDT 2015 --  Post-makeup eye itch is REAL
Sat Aug 08 01:09:16 PDT 2015 --  The Godfather's semi-retirement hair is my new aesthetic
Sat Aug 08 01:08:14 PDT 2015 --  The scene when Michael comes back to Kate after being in Italy gives me g o o s e b u m p s
Sat Aug 08 00:23:26 PDT 2015 --  My favorite minor character in The Godfather is the waiter who stands there awkwardly when Michael kills Sollozzo and the police captain.
Fri Aug 07 23:09:19 PDT 2015 --  My cousin texted me to hang out specifically to watch The Godfather. This is what dreams are made of.
Fri Aug 07 23:06:51 PDT 2015 --  THIS IS MY FAVORITE MOVIE
Fri Aug 07 23:06:38 PDT 2015 --  Watching The Godfather...yet again
Fri Aug 07 22:05:45 PDT 2015 --  Tonight wasn't going so well until a British man called me "an absolute star! A proper hero!"
Fri Aug 07 18:21:58 PDT 2015 --  RT the h8
Fri Aug 07 17:35:33 PDT 2015 --  Holy shit, throw yourself into an oven please. https://twitter.com/damronkatie/status/629701768729853952 …
Tue Apr 28 11:36:41 PDT 2015 --  date: So what do you do? me: *pulls out stuffed fox* I'm a taxidermist date: Oh wow fox: and a ventriloquist
Fri Aug 07 12:51:32 PDT 2015 --  @damronkatie It's actually a cultural marxist meme, cupcake
Fri Aug 07 12:50:46 PDT 2015 --  Feminism is such a delusion, isn't it? https://twitter.com/chief_commander/status/629738762164174848 …
Fri Aug 07 10:38:41 PDT 2015 --  I just got a 1988 Timex watch
Fri Aug 07 10:12:55 PDT 2015 --  This is actually so painful to read. Patterns of behavior against even *one* woman suggest a lack of respect for all https://twitter.com/theivorypoacher/status/629604008634679296 …
Fri Aug 07 02:40:17 PDT 2015 --  Actually, I can't sleep bc my sleep schedule is wonky. BUT TRUMP'S INHERENT SEXISM ISNT HELPING.
Fri Aug 07 02:39:13 PDT 2015 --  Can't sleep bc Donald Trump is leading polls even after calling women dogs, slobs, and worse.
Thu Aug 06 18:28:44 PDT 2015 --  try explaining that 2 ur kids
Thu Aug 06 23:30:29 PDT 2015 --  The Kimye & Hillary selfie is so precious I'm printing it out and mailing it to everyone I know.
Thu Aug 06 23:24:49 PDT 2015 --  Family that are friends @purplebanana05
Thu Aug 06 22:25:29 PDT 2015 --  Sneaking into my grandparents' house bc I want snacks and to see my cousin.
Thu Aug 06 08:17:33 PDT 2015 --  I'm sure Trump being the GOP front runner isnt a clear as day sign of the coming apocalypse
Thu Aug 06 19:02:24 PDT 2015 --  @damronkatie your tweets are giving me life
Thu Aug 06 18:35:13 PDT 2015 --  From cringing over middle-aged white men talking about women's issues & Planned Parenthood to watching Paper Towns with Jan
Thu Aug 06 18:20:49 PDT 2015 --  Going to the movies w Jan bc this debate is useless
Thu Aug 06 18:13:31 PDT 2015 --  Okay, Trump, but political correctness and respect are sort of (extremely) necessary when running for President...and, yaknow, real life.
Thu Aug 06 18:12:04 PDT 2015 --  Donald Sexist Trump
Thu Aug 06 18:11:42 PDT 2015 --  Mr. Grump--Trump! I meant Trump!
Thu Aug 06 18:10:56 PDT 2015 --  Did Jeb! just make a Godfather reference?
Thu Aug 06 18:10:21 PDT 2015 --  In case you have ever questioned my patriotism or love of debate, please know that I'm missing the Project Runway season premier for this.
Thu Aug 06 18:05:30 PDT 2015 --  I literally just said this https://twitter.com/biggs_zap/status/629457907940089856 …
Thu Aug 06 18:02:17 PDT 2015 --  Trump is so squinty
Thu Aug 06 17:59:52 PDT 2015 --  How many off?
Thu Aug 06 17:59:44 PDT 2015 --  How many sheets am I going to need?
Thu Aug 06 17:58:42 PDT 2015 --  Watching the debate
Thu Aug 06 11:59:13 PDT 2015 --  The War Room is great because George Stephanopoulos is really young and its about Bill Clinton's election in 1992.
Thu Aug 06 12:25:30 PDT 2015 --  My 101 y/o great grandmother is throwing down major age shade at other people rn
Thu Aug 06 10:43:44 PDT 2015 --  There is no clever way to tweet about the fact that an NHL player is being investigated for sexual assault.
Thu Aug 06 01:34:49 PDT 2015 --  I guess I didn't know Paris Hilton made an album
Wed Aug 05 23:57:35 PDT 2015 --  Algebraic expression Emotional oppression
Sun Aug 02 18:16:11 PDT 2015 --  #FrankOcean be like pic.twitter.com/Y6fJLNXv1h
Wed Aug 05 19:04:27 PDT 2015 --  You're nice, but you aren't so nice that I don't fantasize about harming you when you call me "Hun"
Wed Aug 05 17:56:12 PDT 2015 --  @damronkatie more please
Wed Aug 05 17:55:30 PDT 2015 --  Are you mad I had to take a copy of your license, or are you really mad that you look like a poor man's version of Bruce Springsteen?
Wed Aug 05 11:10:59 PDT 2015 --  "I only use that word when you order a tea cleanse and when Apple drops 10 points in two weeks."
Wed Aug 05 10:07:27 PDT 2015 --  Me reading Cosmo: Is this satire?
Tue Aug 04 21:35:01 PDT 2015 --  i wish i had some ice cream to eat in bed while i watch godfather 2
Tue Aug 04 18:59:36 PDT 2015 --  A RESURRECTION https://twitter.com/callmeecig/status/628744037260988416 …
Tue Aug 04 13:12:03 PDT 2015 --  Celeb problems: leaked photos Katie problems: leaked Gatorade in my car
Tue Aug 04 11:41:26 PDT 2015 --  Me: I'm fine Me internally: Why do my neighbors have to drive down my street 90 mph? Why can't they slow down? Why are they in such a hurry?
Tue Aug 04 09:35:33 PDT 2015 --  When's hockey season? I miss tweeting about Claude Giroux 24/7
Tue Aug 04 05:34:45 PDT 2015 --  The GMA guy said "Louis, from one father to another..." and then everybody revolted the stage is in ruins none of us are safe
Tue Aug 04 01:41:55 PDT 2015 --  Katie Insomnia Damron at your service
Tue Aug 04 01:16:18 PDT 2015 --  Nothing burns me quite like when I roll over in bed and accidentally pull my headphone cord out
Mon Aug 03 23:31:31 PDT 2015 --  My love for The Godfather is probably unnatural.
Mon Aug 03 23:18:45 PDT 2015 --  I haven't been able to stop thinking about arctic circle milkshakes for like a week I wish my mom would've sent me to fat camp this summer
Mon Aug 03 22:47:27 PDT 2015 --  all caps convo w sierra is my flavor
Mon Aug 03 22:33:10 PDT 2015 --  THE GODFATHER IS ON
Mon Aug 03 21:40:12 PDT 2015 --  I'm not crying, okay? I'm allergic to losers.
Mon Aug 03 19:31:48 PDT 2015 --  Don't worry, everyone. I have already tried the west coast truffle fries flavored chips and they are 11/10.
Mon Aug 03 15:35:48 PDT 2015 --  Crazy coincidence, my rabbi's name is Fetty Wap
Mon Aug 03 16:18:54 PDT 2015 --  Why Don't You Love Chad #WDYLM pic.twitter.com/nfqePeYt1a
Mon Aug 03 11:28:20 PDT 2015 --  Personally, not a fan bc I'm a big daydreamer so I need to actually see words to focus. Plus I like to highlight. https://twitter.com/callmeecig/status/628267960373637120 …
Mon Aug 03 05:50:47 PDT 2015 --  @damronkatie being a queen 100% of the time...
Mon Aug 03 01:20:10 PDT 2015 --  Me at least 30% of the time: Katie, what are you even doing?
Mon Aug 03 00:49:48 PDT 2015 --  Am I missing out bc I'm not about the kpop life?
Sun Aug 02 23:55:22 PDT 2015 --  My phone just went from 8% to 1% holla
Sun Aug 02 20:42:49 PDT 2015 --  (And I know it's not called head butting in soccer, but...)
Sun Aug 02 20:28:14 PDT 2015 --  Like, I don't want to compare myself to Lionel Messi, but I'm like Lionel Messi.
Sun Aug 02 20:27:05 PDT 2015 --  Intense soccer game with my cousins tonight. Head butting skill are prime.
Sun Aug 02 18:50:34 PDT 2015 --  Braden can't tell the difference between Sofia Vergara and Jennifer Lopez...
Sun Aug 02 09:12:27 PDT 2015 --  The drowsiness from the allergy pill I took 12 hours ago has not worn off yet.
Sat Aug 01 20:37:17 PDT 2015 --  Person: Breaking my personal rule by tweeting twice in one day! Me: Tell me about the view from the top of the mountain, oh great one.
Sat Aug 01 17:10:40 PDT 2015 --  The human race can be broken down into people who end phone calls with "buh-bye" and people who don't
Sat Aug 01 14:01:48 PDT 2015 --  Drew is stressin bc my jeans have holes
Sat Aug 01 01:47:04 PDT 2015 --  Panic! At the Disco has it tonight
Fri Jul 31 22:58:55 PDT 2015 --  Picture this: me driving my coworker to Sonic while he is calling his girlfriend to say goodnight
Fri Jul 31 21:51:45 PDT 2015 --  (Does anyone know if @kltjh is working rn)
Fri Jul 31 21:32:03 PDT 2015 --  Brits. Brits everywhere.
Fri Jul 31 20:39:40 PDT 2015 --  Whenever I end up in a group text, my first reaction is to wonder whether or not I was included by accident
Fri Jul 31 20:30:35 PDT 2015 --  The main ingredient in success is yogurt
Fri Jul 31 18:42:29 PDT 2015 --  I'm in an industry where I apologize approx 9.7 billion times a day. Tyrannical lady crutch for sure.
Fri Jul 31 18:14:45 PDT 2015 --  @damronkatie his name is Valerie isnt it? (Famous Russian astronaut) I'd be mad too.
Fri Jul 31 18:11:29 PDT 2015 --  Are you really mad you had to sign the receipt or are you actually mad your parents named you after a famous astronaut and you're not him?
Fri Jul 31 13:48:40 PDT 2015 --  iPhone just autocorrected "amazing" to "feminism" #TooOnBrand
Fri Jul 31 11:21:51 PDT 2015 --  Me: I have walk of shame hair, Jan. Jan: So what if you look a little more David Lee Roth today? I don't care. You look good.
