Tue Aug 18 18:20:03 PDT 2015 --  - ¿De qué signo es tu mujer? - Debe ser de exclamación, porque se pasa el día gritándome...
Sun Aug 16 15:18:03 PDT 2015 --  - Mi novia me dejó - ¿Por qué? - Se ve que por no prestarle atención, o algo así me dijo, ya no me acuerdo. #DomingoDeGanarSeguidores
Sun Aug 16 15:07:29 PDT 2015 --  El novio al padre de la novia. ¡Vengo a pedir mano de su hija! ¿Ya a visto mi mujer? ¡Si, pero prefiero a su hija #DomingoDeGanarSeguidores
Sun Aug 16 14:53:49 PDT 2015 --  - Mamá, mamá en el colegio me llaman culona. - ¡Bah no hagas caso!. Anda, ayúdame a doblar tus bragas. #DomingoDeGanarSeguidores
Sun Aug 16 14:49:10 PDT 2015 --  -Oye hijo ¿Praticas surf? -No -¿Y esa tabla? - ¡Papa! Deja ya a mi NOVIA en paz #DomingoDeGanarSeguidores
Sun Aug 16 14:39:24 PDT 2015 --  -Conseguí que mi novio hable de matrimonio ya 6 años con él. -¿Y que te ha dicho? -Que tiene esposa y tres hijos #DomingoDeGanarSeguidores
Sun Aug 16 14:30:58 PDT 2015 --  2 ! en un baile.Una muy fea Un chico dice a la menos fea ¿Bailas? No ¿Y eso? Eso es mi hermana y tampoco baila #DomingoDeGanarSeguidores
Sun Aug 16 14:12:16 PDT 2015 --  -¿Usted $ consultas rápidas? -900$ por tres preguntas -Vaya,es un poco caro¿no? -Sí.y dígame¿Su tercera pregunta? #DomingoDeGanarSeguidores
Sun Aug 16 14:02:13 PDT 2015 --  Señora en el ginecólogo: -¡Está embarazada! -¿Otra vez? -¿Su marido toma precauciones? -El sí, pero los otros no. #DomingoDeGanarSeguidores
Sun Aug 16 13:53:18 PDT 2015 --  "Quisiera ganar seguidores con la facilidad" ¡Que crecen tus enfermedades venereas! (Destinatario) La que () #DomingoDeGanarSeguidores
Sun Aug 16 13:44:30 PDT 2015 --  -Oye, ¿No te cae mal tu suegra? -Si -Y entonces, ¿Por qué llevas su foto en la cigarrera? -Intento dejar de fumar #DomingoDeGanarSeguidores
Sun Aug 16 13:31:11 PDT 2015 --  Mujeres buscando hombre detallista, sensible,atento,delicado..sabrán que ese TIPO de hombre TAMBIÉN busca hombres #DomingoDeGanarSeguidores
Sun Aug 16 13:17:38 PDT 2015 --  -¡Güey!, he soñado que ganaba 300 millones como mi padre. - ¿Tu padre gana 300 millones? - No, también lo sueña. #DomingoDeGanarSeguidores
Sun Aug 16 13:07:27 PDT 2015 --  Vivo con miedo que alguien robe a mi suegra que vive sola con sus joyas en calle jazmínes nº 9 Edificio B piso 2º #DomingoDeGanarSeguidores
Sun Aug 16 12:53:25 PDT 2015 --  -Le escribiré a este pendejo me responde y dejare en visto. -Lógica femenina*por eso quedan solas y solteronas* #DomingoDeGanarSeguidores
Sun Aug 16 12:10:16 PDT 2015 --  Amor, dime algo dulce -Caramelos -No, algo lindo -Cachorritos –NO, dime algo sexy -La vecina... #FelizDomingo
Sun Aug 16 08:22:59 PDT 2015 --  - A mí antes me perseguían las mujeres. - ¿Y por qué ya no? - Es que ya no robo bolsos. #FelizDomingo
Sun Aug 16 08:06:32 PDT 2015 --  #FelizDomingo "Solo Porque es Domingo" pic.twitter.com/LQuRrXKUw9
Sat Aug 15 22:34:03 PDT 2015 --  #TeJuroQueMeCuesta "Ser Bello" -Buenas Noches Príncipes- pic.twitter.com/e29N2zgS5f
Sat Aug 15 22:21:08 PDT 2015 --  #TeJuroQueMeCuesta "Que Me Gusta El Reggaeton" pic.twitter.com/sDuEIinpHG
Sat Aug 15 20:14:03 PDT 2015 --  #ParaElDomingoQuier "Descansar" pic.twitter.com/uRNXP84kIR
Sat Aug 15 19:36:24 PDT 2015 --  -Mi mujer escapo con mi mejor amigo -¿mejor amigo? ¿Quién es? -No sé, pero quienquiera que sea, es mi mejor amigo. #SabadoDeGanarSeguidores
Sat Aug 15 19:28:54 PDT 2015 --  - Mamá, mamá... Este pan está blando. - Pues dile que se calle al condenado #SabadoDeGanarSeguidores
Sat Aug 15 19:23:08 PDT 2015 --  #SabadoDeGanarSeguidores "Quiero Aferrarme A La Vida" pic.twitter.com/C7namcNKuR
Sat Aug 15 18:37:29 PDT 2015 --  #ParaElDomingoQuiero ¡Marcador Fina! pic.twitter.com/NgeOOxKFeY
Sat Aug 15 18:33:01 PDT 2015 --  - Tío, me han diagnosticado alopecia. - Joder, qué calvario. - No TIENE gracia. - Ya, ni un pelo. #SabadoDeGanarSeguidores
Sat Aug 15 17:47:55 PDT 2015 --  - Mamá, mamá... Que ya no quiero la piscina. - Cállate y sigue escarbando. #SabadoDeGanarSeguidores
Sat Aug 15 15:27:20 PDT 2015 --  - ¿Qué hora tienes? - ¡Las diez menos diez! - Entonces no tienes #SabadoDeGanarSeguidores
Sat Aug 15 15:16:20 PDT 2015 --  - Mamá, mamá... Dejé la droga. - ¡Gracias a Dios! - Sí... pero ahora no me acuerdo donde la puse. #SabadoDeGanarSeguidores
Sat Aug 15 15:06:12 PDT 2015 --  - ¡Oiga, su hijo le ha sacado la lengua al mío! - Bueno Eso es cosa de niños. - ¡Sí, pero no para la hemorragia! #SabadoDeGanarSeguidores
Sat Aug 15 14:55:54 PDT 2015 --  -Mama! Mama! .. - ¿Cómo se escribe? ¿Durmiendo o dormiendo? - Pos ninguna de las dos: se escribe despierto. #SabadoDeGanarSeguidores
Sat Aug 15 14:45:25 PDT 2015 --  -Una mama abre el referí y encuentra a su hijo - Hijo ¿que haces ahí? - Es que papá me ha dicho que soy la leche! #SabadoDeGanarSeguidores
Sat Aug 15 14:25:23 PDT 2015 --  - Mamá, mamá... ¿Puedo ir a una fiesta de 15 años? - No, hijo, es demasiado larga. #SabadoDeGanarSeguidores
Sat Aug 15 12:59:18 PDT 2015 --  Entra borracho en la Policía. -¿Puedo ver el que robó mi casa? -¿Y para qué lo quiere ver? - Para saber cómo entró sin despertar a mi mujer.
Sat Aug 15 11:25:28 PDT 2015 --  #NecesitoYa "O no ¿? pic.twitter.com/AGn9Qe4pLJ
Sat Aug 15 11:22:33 PDT 2015 --  #NecesitoYa "Estar En La Playa" pic.twitter.com/HPFvMebTIU
Sat Aug 15 10:35:51 PDT 2015 --  - Papá! Vendí mi iPhone para comprar marihuana. - ¡Felicidades hijo! Por fin me has hecho caso y has dejado ese terrible vicio. #NecesitoYa
Sat Aug 15 08:42:34 PDT 2015 --  #CaiEnTentacion pic.twitter.com/Zm3gO1VPbM
Sat Aug 15 08:14:25 PDT 2015 --  #NecesitoYa pic.twitter.com/zMvxBiVpjZ
Sat Aug 15 08:04:41 PDT 2015 --  #NecesitoYa "Algo Así Para Descansar" pic.twitter.com/02W8XYhNZF
Sat Aug 15 07:59:38 PDT 2015 --  #NecesitoYa pic.twitter.com/NIeD36TfdG
Sat Aug 15 07:42:57 PDT 2015 --  #NecesitoYa "Unas Quesadillas, No Mamadas" pic.twitter.com/18EgxjzVfd
Sat Aug 15 07:31:23 PDT 2015 --  #NecesitoYa "Amor A La Mexicana" ! pic.twitter.com/hjUUKvuUFv
Sat Aug 15 07:21:19 PDT 2015 --  #NecesitoYa "Algo Así" pic.twitter.com/OK2yAVSQVc
Sat Aug 15 07:09:53 PDT 2015 --  #NecesitoYa "Un Buen Café" pic.twitter.com/R2sIrSDUie
Sat Aug 15 06:51:49 PDT 2015 --  #NecesitoYa pic.twitter.com/zne0AIA2FY
Sat Aug 15 06:38:31 PDT 2015 --  #NecesitoYa "Pero Ya" pic.twitter.com/3l1lHuYNIJ
Sat Aug 15 06:20:47 PDT 2015 --  #LolitaAyala "Y Fue Así " pic.twitter.com/HO9wGEJxXR
Fri Aug 14 21:35:52 PDT 2015 --  #TodoTranquiHastaQue pic.twitter.com/dSStuIvDh8
Fri Aug 14 20:17:28 PDT 2015 --  #TodoTranquiHastaQue Batman Vs Superman pic.twitter.com/cEv3DGMlp6
Fri Aug 14 19:44:06 PDT 2015 --  #ApodoDeMaestros pic.twitter.com/L40HLn5iOy
Fri Aug 14 19:31:24 PDT 2015 --  #TodoTranquiHastaQue pic.twitter.com/zWQ0CLe6xf
Fri Aug 14 19:26:29 PDT 2015 --  #TodoTranquiHastaQue pic.twitter.com/B6DO3RKlGQ
Fri Aug 14 19:20:48 PDT 2015 --  #TodoTranquiHastaQue pic.twitter.com/IGuZNUh2go
Fri Aug 14 19:06:34 PDT 2015 --  #ApodoDeMaestros "Chorizo" pic.twitter.com/9v3eoB7R8O
Fri Aug 14 18:54:25 PDT 2015 --  #ApodoDeMaestros "La Profesora Enmascarada" @LaProfeEn pic.twitter.com/I11UMLRlvd
Fri Aug 14 18:46:00 PDT 2015 --  #ApodoDeMaestros "Los Inolvidables" pic.twitter.com/tPsYc9wIN6
Fri Aug 14 18:35:08 PDT 2015 --  #ApodoDeMaestros La "Aceituna" pic.twitter.com/boSvxuA7mi
Fri Aug 14 18:18:05 PDT 2015 --  #ApodoDeMaestros Miss "Lupita" pic.twitter.com/Q0T3UuWzYB
Fri Aug 14 18:05:01 PDT 2015 --  #ApodoDeMaestros La "Aceituna" La Dejaron Sin Hueso, La Metieron Al Bote Y Es Botana Para Todos pic.twitter.com/d8wAXFmzYH
Fri Aug 14 14:13:10 PDT 2015 --  #ChilangoQueSeRespeta Es Humilde pic.twitter.com/DOmmEr6JA9
Fri Aug 14 14:06:34 PDT 2015 --  #ChilangoQueSeRespeta O Chilanga Que Se Respeta pic.twitter.com/Xfc3xVHWcy
Fri Aug 14 13:58:54 PDT 2015 --  -A Punto De Madurar #ToyStory4 #Cars3 #FindingDory #LosIncreibles2 pic.twitter.com/Nn813JsCQx
Fri Aug 14 13:40:12 PDT 2015 --  #ChilangoQueSeRespeta Traer Buenas Rolas En El Metro pic.twitter.com/mpuFJN7YSR
Fri Aug 14 13:22:51 PDT 2015 --  #ChilangoQueSeRespeta Sabe A ¿Quién? ¡Seguir! pic.twitter.com/4vucJqY9uk
Fri Aug 14 13:10:33 PDT 2015 --  #ChilangoQueSeRespeta Echar Un "Coyotito" En El Metro pic.twitter.com/dAHrHwOgcy
Fri Aug 14 12:46:31 PDT 2015 --  #ChilangoQueSeRespeta Siempre A La Moda pic.twitter.com/dblbij1tG0
Thu Aug 13 12:41:19 PDT 2015 --  #NoMeAguantoLasGanas De unas de Doña Mary pic.twitter.com/NNJSTrbohC
Thu Aug 13 12:31:00 PDT 2015 --  #NoMeAguantoLasGanas De un cigarrito pic.twitter.com/oDae0OjSSJ
Thu Aug 13 12:12:57 PDT 2015 --  #NoMeAguantoLasGanas pic.twitter.com/pVYemvVPXh
Wed Aug 12 19:34:58 PDT 2015 --  -Viendo las estrellas- -Me acorde ti . pic.twitter.com/nR6cWgvNWg
Wed Aug 12 14:51:15 PDT 2015 --  #DeChiquitoCreia 1+1=2 -Ahora: 1+1=69
Wed Aug 12 12:34:31 PDT 2015 --  -Si, se cazan🏻, cánsense con alguien que sepa cocinar- -La belleza se acaba - -El hambre no -
Wed Aug 12 12:20:40 PDT 2015 --  -Cuando tu crush la caga . pic.twitter.com/QxH4AA2oaO
Tue Aug 11 19:30:32 PDT 2015 --  -Cuando se te escapa un o FAV STALKEANDO! pic.twitter.com/x0K1R4UWsY
Tue Aug 11 16:22:08 PDT 2015 --  -Mi vida amorosa, descripción gráfica. pic.twitter.com/c1es4G2f0Y
