Tue Aug 25 19:31:00 PDT 2015 --  Uninstalling @SwiftKey. No reason the emoji's should lag so much on a brand new #Note5.
Sat Apr 04 09:35:35 PDT 2015 --  Columbus is so clean. Damn.
Thu Apr 02 16:49:59 PDT 2015 --  #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7 #Furious7
Tue Mar 24 11:47:06 PDT 2015 --  Not Tyler. Tyler! https://instagram.com/p/0nvvs4y2lJ/ 
Mon Mar 23 16:08:37 PDT 2015 --  The #Pittsburgh skyline glows above Schenley Park this morning. Love how you can see light trails around the city too pic.twitter.com/iBo2bd3olr
Sat Mar 21 18:48:37 PDT 2015 --  Ben Lovejoy's comments are spot on.
Thu Mar 12 17:00:41 PDT 2015 --  The house that Mario built. #LGP https://instagram.com/p/0JaF61S2ga/ 
Mon Mar 09 22:01:13 PDT 2015 --  Pouliout, Hornqvist, Comeau, Spaling, Cole.. Nope. Steve Downie.
Mon Mar 09 06:04:43 PDT 2015 --  And then I dove into the ocean. And I swam with the dolphins. I was 2 animals joined as 1. Which meant, good things are coming. Good things.
Tue Feb 24 15:33:49 PST 2015 --  #NowPlaying "Turn The Lights On" by Zeal
Tue Feb 17 11:13:26 PST 2015 --  Song after song of good http://bit.ly/SubscribeSwagy  #SwagyTracks
Thu Feb 12 10:03:39 PST 2015 --  Fun Fact: In the 1950s, they had whiskey dispensers in various businesses and offices. Who screwed that one up for the rest of us?
Thu Feb 12 09:46:14 PST 2015 --  “@ExtremeBreakUps: "My girlfriend tried to hit my mom so i slapped her and kicked her out of my house. Never touch my mom. #bitch"” @Logiee_
Fri Feb 06 20:53:53 PST 2015 --  I just got some free 7UP & McDonald's from @PensPoints! http://www.pittsburghpenguins.com/penspoints 
Fri Feb 06 15:07:54 PST 2015 --  #NowPlaying Alabama Shakes
Wed Jan 28 19:44:11 PST 2015 --  The Penguins are now 1-5-3 in road games against Metro Division opponents. They've been outscored 35-16 in those games.
Wed Jan 28 19:10:50 PST 2015 --  Tonight on SportsCenter: Kyrie put up 55, but how many would LeBron have had if he played? 60? 70? 80? 100? 200? Our experts will tell you.
Tue Jan 27 16:49:02 PST 2015 --  Let's Go #Pens! http://instagram.com/p/yYMpfSS2oN/ 
Thu Jan 22 13:26:00 PST 2015 --  Lebron gets faked out by Pau Gasol https://vine.co/v/OjLbVqzKDaK 
Sun Jan 18 12:00:08 PST 2015 --  Riding with bae. pic.twitter.com/3sGCDDbTPa
Sun Jan 18 09:51:27 PST 2015 --  #Penguins better learn how to beat teams in their own division.
Tue Jan 13 16:04:06 PST 2015 --  Do it. Go #Pens. http://instagram.com/p/x0EYM7y2sS/ 
Sun Jan 11 13:03:18 PST 2015 --  Sorry @dallascowboys. We know the feeling: http://bit.ly/1yVP8qr . #CompletingTheProcess pic.twitter.com/7xuEA9FH49
Fri Jan 02 06:18:43 PST 2015 --  Check out my resolution for 2014. What's yours? @redbull http://www.redbull.com/nothingbutwings/en-us/share/res/axG0FlzdDKN … #nothingbutwiiings
Wed Dec 31 16:07:08 PST 2014 --  #NYE #LGP http://instagram.com/p/xSmY-jS2mO/ 
Thu Dec 18 15:44:39 PST 2014 --  #5TruthorDare ... Taylor Swift pic.twitter.com/bpzfhlGlhW
Thu Dec 18 14:40:26 PST 2014 --  Just in time to tag one of Santa's reindeer.. #TenPoint #TitanXtreme #Crossbow http://instagram.com/p/ww-IlXy2iz/ 
Mon Dec 08 21:35:00 PST 2014 --  Holy shit Carrie Underwood can sing
Sat Dec 06 16:10:01 PST 2014 --  Didn't get that 20th anniversary @PlayStation
Fri Dec 05 20:38:04 PST 2014 --  We can make it.. http://instagram.com/p/wQIuqUy2p-/ 
Tue Dec 02 17:59:53 PST 2014 --  Free #PensPoints pic.twitter.com/kDU3yOOxpi
Mon Dec 01 21:29:21 PST 2014 --  Gabrielle Union.. wow
Mon Nov 24 20:10:06 PST 2014 --  It's pretty cool to watch a QB read the defense and orchestrate a perfect counter play.
Thu Nov 20 20:35:06 PST 2014 --  The tiger is the faster, smarter, and more ferocious than a lion.
Thu Nov 20 20:23:02 PST 2014 --  Props to all the #Raiders fans still at the game.
Mon Nov 17 09:31:59 PST 2014 --  Have fun in Toronto ya greedy punk.
Fri Nov 14 11:19:24 PST 2014 --  #IWantTix so I can go to the show.
Fri Nov 14 10:38:07 PST 2014 --  Let's flashback to #1989! Tweet #IWantTix for a chance to win a $250 cert to help you get Taylor Swift tix! pic.twitter.com/4TR032KsXX
Thu Nov 13 20:50:57 PST 2014 --  Game 1 of the 92 Finals is on NBA TV. Jordan is nasty.
Wed Nov 12 11:46:58 PST 2014 --  Hate to break it to you, @KimKardashian. #BreakTheInternet (cc: @papermagazine) pic.twitter.com/WOWFy5p6FB
Tue Nov 11 16:40:58 PST 2014 --  Rangers out-everythinging the Penguins tonight.
Tue Nov 11 16:30:11 PST 2014 --  Fleury being hung out to dry.
Tue Nov 11 10:52:10 PST 2014 --  “ @SteveStfler: When she favorites your tweet pic.twitter.com/CPkZAuurRS” Why'd I immediately think of @Logiee_
Tue Nov 11 07:00:27 PST 2014 --  "It's a magical world..." pic.twitter.com/iR3IfIgiwY
