Thu Aug 27 23:09:32 PDT 2015 --  
Thu Aug 27 15:59:18 PDT 2015 --  #S4L
Fri Aug 07 06:54:24 PDT 2015 --  He forever has my heart don't know anyone stronger or w a bigger heart than you! @ChiefBiasS4L #chiefdaddy pic.twitter.com/SRhWfybVNq
Thu Aug 06 22:20:22 PDT 2015 --  #TheChiefBiasCheckInn #HolUP happy G Day lil nigga I love u to death… https://instagram.com/p/6EfhYMwHjYqQqqDjZSCVNk0MMorOrzK3Ycwq80/ …
Thu Aug 06 17:16:43 PDT 2015 --  @ChiefBiasS4L my nigga TD finna blow you already know he gon' do it for the go!
Thu Aug 06 16:12:32 PDT 2015 --  Go Follow My lil bro right now straight from #Newark stupid I'm good everywhere #Follow @_HaddiMvcc now
Thu Aug 06 16:10:30 PDT 2015 --  #REALMUSIC "WHOLE LIFE" by @ActLikeItEnt's @GlobalGangsters Jojo Capone @ChiefBiasS4L @CNoteGlobal ft @IamBenzino https://www.youtube.com/watch?v=9HwlE31uB1k&list=UUTVJxXECwx-xBEb2pu9b0SA&index=1 …
Thu Aug 06 16:09:23 PDT 2015 --  Go Follow My Big Bro @ChiefBiasS4L From Chicago #PowerMoves
Thu Aug 06 16:10:05 PDT 2015 --  I pull up n e were to aid n assist my niggas real talk #S4L wit them sticks
Thu Aug 06 16:08:58 PDT 2015 --  I'm really ChiRaq stupid
Thu Aug 06 16:05:54 PDT 2015 --  I love to c my niggas doing good
Thu Aug 06 16:04:38 PDT 2015 --  Niggas say they Gonna shoot New Jersey up that's Ah lie I really know killas from New Jersey bruh #Newark
Thu Aug 06 15:48:12 PDT 2015 --  Niggas not at all
Thu Aug 06 16:02:03 PDT 2015 --  4 Shows In Atlanta #Blessed
Thu Aug 06 14:18:10 PDT 2015 --  Niggas go from Twitter beef to never posting nun again
Thu Aug 06 14:12:41 PDT 2015 --  #Chiraq every where I'm the same nigga
Thu Aug 06 14:12:19 PDT 2015 --  Gotta get this tape in the right hands
Thu Aug 06 13:29:20 PDT 2015 --  Hungry
Thu Aug 06 12:49:37 PDT 2015 --  CHIEF BIAS - FRONTIN PRODUCED BY RICORICH #FINDMENSIGNME nigggas stay Frontin http://youtu.be/A65OJfJ7hY0 
Thu Aug 06 12:49:05 PDT 2015 --  Chief Bias - Dont Call Me |Shot By @YnaSouthFilms1 Prod. By Rico Rich how I be feeling frfr http://youtu.be/Z2AkZMzr28w 
Thu Aug 06 10:15:53 PDT 2015 --  Some people are in your life for a reason others are there for a season. Follow my team pic.twitter.com/Q2praxpNyW
Thu Aug 06 12:45:16 PDT 2015 --  #S4L pic.twitter.com/W1OGuwiL8o
Wed Aug 05 18:52:52 PDT 2015 --  Wen everybody around u changing up
Wed Aug 05 13:30:41 PDT 2015 --  #HolUP #MrHolUP https://instagram.com/p/6A-HdZyorX_xgqnAKY1g44DBs_LIvahI9riX80/ …
Wed Aug 05 13:25:28 PDT 2015 --  #HolUP My Ppl I'm not sayin put the guns down but get some act right… https://instagram.com/p/6A9hWxwHteaxzFJaX9_JnUuNKp418iTtSBE7g0/ …
Tue Aug 04 22:59:32 PDT 2015 --  
Tue Aug 04 22:59:13 PDT 2015 --  Wen I'm dead n gone...........
Tue Aug 04 22:58:04 PDT 2015 --  Rip all mines that's gone see yall wen I get there
Tue Aug 04 22:56:40 PDT 2015 --  Everything must go bitch I'm broke at the end of the day I'm always forced to go back to wat I do best shit been real this ain't new
Tue Aug 04 22:51:05 PDT 2015 --  On my drake right now I'm selling chains n everything else that ain't important maybe even u
Tue Aug 04 22:47:25 PDT 2015 --  It's a lot to do right now n I'm not doin shit on Twitter tweeting n shit shit fucked up I wanna jus spyes right now I put that shit on Cord
Tue Aug 04 22:44:49 PDT 2015 --  I say no I say nooooooo
Tue Aug 04 22:44:23 PDT 2015 --  I also hate wen bitches front they move to doe bitch stop lying wtf u lying if this wat u get paid to do den dis wat u get paid to do
Tue Aug 04 22:26:53 PDT 2015 --  But by the way I'm exposing shit #MrHolUP #OTW #ChiefBias
Tue Aug 04 22:25:47 PDT 2015 --  Niggas be fronting they move nigga u up we ain't u eating good we ain't u got the real sack we don't jus to stunt for the world fuck nigga
Tue Aug 04 22:11:12 PDT 2015 --  Stay down till u come up
Tue Aug 04 12:55:37 PDT 2015 --  Rihanna track not safe finna go inn I'm feeling myself
Tue Aug 04 10:40:16 PDT 2015 --  U don't live foreva
Tue Aug 04 10:38:26 PDT 2015 --  I'm tired of this imma good person y do so much bad shit happens on my behalf damn
Tue Aug 04 10:36:44 PDT 2015 --  @ChiefBiasS4L Daaaaaaadddyyyyyyyyyy (in my Kevin hart voice lol)
Tue Aug 04 10:37:04 PDT 2015 --  I need the booth damn somebody give me Ah chance real talk
Tue Aug 04 10:36:26 PDT 2015 --  Bad news after bad news damn man I need good news asap dAmn I gotta get rich rip unc
Tue Aug 04 10:31:10 PDT 2015 --  Anotha dead body damn
Mon Aug 03 14:49:58 PDT 2015 --  I'm tired of seeing people die and it takes weeks to bury them
Mon Aug 03 14:48:25 PDT 2015 --  Every body needs life insurance especially street niggas stop making it hard 4 yur love ones 2 bury u and that way u can leave some $ behind
Sun Aug 02 19:59:57 PDT 2015 --  #MrHolUP #OTW everything hAppens for a reason don't dwell on it jus be… https://instagram.com/p/558Rx6SovasOJPSCHLguaWlS3EByc15kqOim40/ …
Sun Aug 02 06:57:43 PDT 2015 --  #MrHolUP #OTW everything hAppens for a reason don't dwell on it jus be… https://instagram.com/p/54iwlpSoqEu2YPnGAIPfoqygnHIDzwurzMxZ80/ …
Fri Jul 31 12:51:25 PDT 2015 --  I'm finna jump back down don't trip
Fri Jul 31 08:55:16 PDT 2015 --  #MrHolUP
Fri Jul 31 08:49:53 PDT 2015 --  I'm either cooking Dope or Selling Dope
Fri Jul 31 02:41:04 PDT 2015 --  Dick head fuck him https://twitter.com/rody420/status/627051003557212160 …
Fri Jul 31 02:38:07 PDT 2015 --  When yo phone on 1% n die when all u had to left to do is push send
Fri Jul 31 02:21:04 PDT 2015 --  Meek got me wanting know the truth I WANNA KNOW straight like that @meekmill
Thu Jul 30 21:04:08 PDT 2015 --  Can't wait to Drop I'm exposing mfs
Thu Jul 30 21:03:15 PDT 2015 --  I Need MONEY N HEAD Rite Now Rite Now
Thu Jul 30 21:02:04 PDT 2015 --  I always kelp I never ask for shit but Ah chance I don't understand
Thu Jul 30 18:31:49 PDT 2015 --  Damn its fucked up Out Here at the End of the day fuck it u not 1 of Them it was expected
Thu Jul 30 12:43:48 PDT 2015 --  #HolUP #MrHolUP #OTW I DONT DRIVE NO MO I GET DROVEN U KNOW WAT IT IS WEN… https://instagram.com/p/5xb-y_QHjvHGrKonpyygC5zr3IcSAFROj1boE0/ …
Thu Jul 30 11:28:27 PDT 2015 --  Watch me do it
Tue Jul 28 09:34:49 PDT 2015 --  #HolUP #MrHolUP #OTW imma Dog Nigga #S4L #FreeAce #Tryme by… https://instagram.com/p/5r8xC2Sojpaifgin9vzvv_005mfuTTjfY4Mmc0/ …
Mon Jul 27 23:42:41 PDT 2015 --  JO JO CAPONE Ft. Chief Bias - "No Way" Dir: @1TakeDON & JOJO CAPONE I still say nooooo http://youtu.be/SAmqsttBxOw 
Mon Jul 27 23:39:50 PDT 2015 --  Don't need for u to do this forever jus until u stack enough cheddar things Ah get better
Mon Jul 27 23:15:37 PDT 2015 --  Big Homie bitch Imma LON imma lil O Nigga
Mon Jul 27 23:11:45 PDT 2015 --  I'm still were I came from still tryna make it out
Mon Jul 27 23:10:46 PDT 2015 --  Every time it never fells
Mon Jul 27 23:06:23 PDT 2015 --  I lost everything I worked hard for I be damn if I don't get it back #ChiefBias
Mon Jul 27 23:05:08 PDT 2015 --  Aug 18th the real deal #MrHolUP on the way
Mon Jul 27 23:02:59 PDT 2015 --  Thuggin
Mon Jul 27 22:59:48 PDT 2015 --  Chicago been fucked up this not jus happening fym the T Up Is real
Mon Jul 27 21:50:33 PDT 2015 --  @ChiefBiasS4L #chiefbiascups pic.twitter.com/71tnadnmjy
Mon Jul 27 08:27:28 PDT 2015 --  YALL lives are that boring, that diss tracks really turn you on huh? Damn, I guess it's entertaining but some of YALL really need a hobby
Mon Jul 27 08:16:59 PDT 2015 --  If WORDS ever KILLED anybody, we'd all be dead.....
Mon Jul 27 19:14:04 PDT 2015 --  #HolUP #MrHolUP #OTW nun more to say https://instagram.com/p/5qaQqxSoqDVcu18vkHAhFx51rjCj1vJHIeAww0/ …
Sun Jul 26 03:05:00 PDT 2015 --  Chiefbias my snapchat
Sun Jul 26 02:42:06 PDT 2015 --  #MrHolUP #Aug18th
Sun Jul 26 02:41:34 PDT 2015 --  Damn damn damn
