Wed Aug 26 22:44:47 PDT 2015 --  pic.twitter.com/JIzJbGiE8c
Wed May 20 07:59:10 PDT 2015 --  Just remember that whoever is trying to bring you down is already below you.
Sun Apr 19 22:14:06 PDT 2015 --  A moment you'll never remember And a night you'll never forget...
Mon Apr 27 05:38:21 PDT 2015 --  #HappyBirthdayPatrickStump pic.twitter.com/7McVUYRsVr
Mon Apr 27 06:35:12 PDT 2015 --  Happy anniversary to @brendonurie and @hellosarahurie you guys are the cutest couple! pic.twitter.com/5d9oPpUYzZ
Mon Apr 27 06:23:25 PDT 2015 --  Happy birthday @PatrickStump we love you! pic.twitter.com/Z4FLTk92gn
Sun Apr 12 08:20:13 PDT 2015 --  Happy birthday @brendonurie
Sat Apr 11 22:58:33 PDT 2015 --  Happy birthday @brendonurie you old bastard. https://vine.co/v/euhKDa3vKwv 
Wed Mar 25 16:47:55 PDT 2015 --  "CIS" @brendonurie @DallonWeekes @kennethaharris @efnepheu #SpencerJones pic.twitter.com/RF6c80wbzN
Wed Mar 25 14:58:27 PDT 2015 --  Dollar general @brendonurie https://vine.co/v/O31KuP5MEFK 
Fri Mar 06 09:20:39 PST 2015 --  Please vote for my friends entry at https://promotions.exxon.com/vote.html?entry=EVBo&myentry=true …. Thank you!
Sat Jan 17 15:14:09 PST 2015 --  this actually fucked me up pic.twitter.com/kBJIRiblFe
Tue Jan 13 13:01:40 PST 2015 --  @tyleroakley WHO ELSE WANTS A DM? Keep RTing! I'm sending as many as I can all day long, and right now especially while I eat lunch :]
Tue Jan 13 11:59:51 PST 2015 --  NEW VIDEO: "How To Catch The Gays": http://bit.ly/1AMI8um  (Retweet if you want to catch a DM from me in your inbox! Go watch & push LIKE!)
Mon Jan 12 13:33:41 PST 2015 --  Fighting is never the answer but if it involves the protection of Wolf...you better watch out. http://youtu.be/_jNNn9oaTD0 
Sat Jan 10 16:47:45 PST 2015 --  I love brendon urie so much I want to cry
Sat Jan 10 17:35:45 PST 2015 --  When you're looking for your phone and realize you're holding it.
Wed Jan 07 21:16:43 PST 2015 --  You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now I'm scared!
Sun Jan 04 21:41:15 PST 2015 --  When I said that I cleaned my room I meant I made a path from the doorway to my bed.
Tue Nov 11 11:34:01 PST 2014 --  Trying to make it through this semester has me like pic.twitter.com/A0beTbpoWj
