Fri Aug 28 12:02:13 PDT 2015 --  7 tips for building muscle and burning fat. http://ow.ly/RtArT  pic.twitter.com/GFd77marug
Tue Aug 25 06:05:49 PDT 2015 --  رسام يدعى " Alex alemany " رسم نفسه في رسم وهو يرسم نفسه في رسم آخر بينما كان رسمه ينظر إلى نفسه وهو يرسم نفسه بنفسه pic.twitter.com/e80OvJlPfA
Fri Aug 28 00:41:01 PDT 2015 --  اعتصام للعمال المياومين في طرابلس امام مبنى البلدية للمطالبة بتثبيتهم pic.twitter.com/B1yrtmdICa
Thu Aug 27 22:37:59 PDT 2015 --  على سبيل الفقر ! انا لما فوت على الفرن اوام بيعملي منقوشة زعتر من غير ما احكي ولا اي حرف
Thu Aug 27 22:36:55 PDT 2015 --  سؤال محيرني ! المياه العذبة ليش ما تجوزت لهلئ ؟ #عطوني_رقمها_عطوني
Thu Aug 27 22:39:23 PDT 2015 --  لما كنت احضر #ما_الك_الا_هيفا ولا مرة ركزت على حركات الرياضية وفهمكم كفاية #صراحة_وهيك
Thu Aug 27 22:47:29 PDT 2015 --  سألو محشش شو اغرب شي بالخليج ؟ قلن اسماء الانبياء عندن نبي نضحك نبي ناكل نبي نضهر نبي نشرب نبي نلعب نبي نروح المدرسة نبي كنطاكي
Thu Aug 27 22:01:16 PDT 2015 --  دخل الكنيسة قبل الجامع #امام_الوطن
Thu Aug 27 22:07:39 PDT 2015 --  موسى الصدر تاريخنا ل مات يوم وما رحل
Thu Aug 27 22:30:44 PDT 2015 --  حرامي قرر يتوب ! سرق CD قرأن
Thu Aug 27 22:32:06 PDT 2015 --  ايمتا بتفقد نص هيبتك ؟ لما تكون زيارة عند حدا ويدوي عليك الذبان #والله_بريء
Thu Aug 27 22:35:19 PDT 2015 --  يلي اسمها فاتن بس يصير عمرها ١١ سنة شو منعيطلها ! #فااليڤين وهيك حسب العمر ! #باي
Thu Aug 27 22:34:08 PDT 2015 --  جبال الالب عملو تمييل او قلب مفتوح ؟. #سلامتن
Thu Aug 27 11:57:26 PDT 2015 --  اللهم أسالك في ليله #الجمعة : ان تشفي كل مريض وترحم كل ميت وتشرح صدورنا وتيسر أمورنا و تجعل هذي الليله فرج لكل صابر وأستجابه لكل دعاء..
Thu Aug 27 12:47:11 PDT 2015 --  رح تشتاقولي وستندمون و huh
Thu Aug 27 12:37:51 PDT 2015 --  Explains it all. pic.twitter.com/3ZqA2bOy8d
Thu Aug 27 08:47:02 PDT 2015 --  الله ريته يتسمم الي بشرب مي من مصاري الناس ، ريته يتسمم و يفطس الي بنهب بهالعالم ، كل واحد حرامي و نصاب منكم لله يالي فش فقلوبكم رحمة
Thu Aug 27 10:34:12 PDT 2015 --  كل التغريدات الزفرة نزلتن انا وغفلان وهيك ف عنجد كتير سوغي
Thu Aug 27 00:38:10 PDT 2015 --  القواعد العربية باطون او حديد ! #تشاو
Thu Aug 27 00:39:20 PDT 2015 --  كان عنا ناظر ايام المدرسة مهلوس لدرجة انو كان يفوت على الصف ويقلنا الغايب يرفع ايدو
Thu Aug 27 00:40:11 PDT 2015 --  المعنى الحقيقي لجملة #همي_لفوق_راسي pic.twitter.com/syQ5GZvZr2
Thu Aug 27 03:59:56 PDT 2015 --  لو الوتساب لبناني !كان هيك At مكب حول الاشتراك ارفع ديجانتير نزلت بجورة عليي دين عاطل عن العمل نقلة ماي in سجن لانه القرض ما دفعت
Thu Aug 27 03:56:00 PDT 2015 --  هلئ الوتسأب بدها تنزل ڤيرجين جديد وبس للبنان هيدا يعني اذا ما كنت لبناني ما تحلم تستخدمه وهو انو رح يكون شكلو متل الحاوية وفي ستايتس At مكب
Thu Aug 27 03:50:29 PDT 2015 --  التويتر هالايام برعاية حملة ليك حملة عليك مش كل حملة معاك
Thu Aug 27 02:37:40 PDT 2015 --  اكبر دليل انو المعلمة شريرة هو انو انكليزيا اسمها #تيتشر لوما هيك كانو سموها #تيتخير #هيك_ولا_مش_هيك
Thu Aug 27 01:49:41 PDT 2015 --  يا زبالتي من كم شهر لليوم انا شو فطست يا زبالتي يلي حد بيتي اتجمعت يا زبالتي يلي منك تعبت وبسببك انا شو تعئوصت من ورا البرغش ل بسبك
Thu Aug 27 08:56:18 PDT 2015 --  وصلنا للقرن المليون و لسا عنا نسبة فقر اكبر من نسبة المصاري الي بتنسرق .
Thu Aug 27 08:44:58 PDT 2015 --  اعتصام لحملة "طفح الكيل" في #طرابلس http://www.aljadeed.tv/arabic/news/local/2708201570 … pic.twitter.com/jKHTPptgaJ
Thu Aug 27 08:45:21 PDT 2015 --  اخ يا الله ، والله لو الحكومات بصحلها تسرق مصاري هالعالم المسكينة اقسم بالله ما بتقصر !!!
Thu Aug 27 08:44:31 PDT 2015 --  عشان اجيب دفاتر و قلام للمدرسة :') !!!!!!
Thu Aug 27 08:43:05 PDT 2015 --  اليوم ولد صغير لحقني بترجاني بس بده مي !!!!!!!!!!! الله اكبر !!!!!!!!!! مي مش ملاقيين !!!!!!! قشعر بدني اقسم بالله!
Thu Aug 27 06:03:31 PDT 2015 --  كل وحدة ما بتعملي رتويت تعمل رتويت لهيدي ل تويت كرمال اعملها بلوك وازعبها على اهلها بيت
Wed Aug 26 13:55:56 PDT 2015 --  #مندس_غميق وحركة امل رب على الارض
Wed Aug 26 12:04:55 PDT 2015 --  امام الوطن هو الامام الذي دخل الكنيسة قبل الجامع ! #موسى_الصدر_عايش_فينا
Wed Aug 26 11:38:32 PDT 2015 --  تلفزيون الجديد : احمد حمود ما غرد من ٦ ساعات بسبب القوى الامنية لانها كانت حاجزة تليفونه وهيك #الفتنة_TV
Tue Aug 25 14:39:46 PDT 2015 --  فتحت البراد قامت الجديد اتهمت القوى الامنية #فتن_فتونة_تفتن_فتنتها_المفاتين_في_فتنها_افتتنت_مفاتينه #بحر_التحريض
Tue Aug 25 15:55:04 PDT 2015 --  بس يا هبل
Tue Aug 25 15:41:24 PDT 2015 --  منخارك @elissakh هو المعنى الحقيقي للتاء المفتوحة #nighty مش #nity اختصار بايخ pic.twitter.com/2NhDPwucOE
Tue Aug 25 16:47:47 PDT 2015 --  اخر واحد بيضهر من تويتر يعمل معروف يسكر الباب منيح وراه
Tue Aug 25 16:40:36 PDT 2015 --  شكلي بس تصير البطارية ١٪ pic.twitter.com/j4mZC0Ae2A
Wed Aug 26 00:24:33 PDT 2015 --  اصلن في غلط بالموضوع لانه ابتسامة لازم يكون اسمها ابتعسل لانه اذا سامة شو بدنا فيها للهضحكة يا مسمومين #هيدي_هي
Wed Aug 26 00:25:31 PDT 2015 --  مرة داعشي فات ب أجرو مسمار قام طعجه #اه_يا_هتيكة
Wed Aug 26 00:46:33 PDT 2015 --  من سلبيات تكون مرطك اسمها ايمان انو تتصل فيها رفيقتها وترد انت على التليفون وتقلك بدي حنان وتفهمها غلط يا كبير وتبلش تسالها شو لابسي وهيك
Wed Aug 26 00:47:43 PDT 2015 --  بكتب هالتغريدة وبقوم بتروق ! الجملة يلي ضعفتني ٣٦ كيلو بجمعة #عن_اي_ريجيم_تتكلمون
Wed Aug 26 01:44:27 PDT 2015 --  بدكن تسقطو الحكومة انا جبت الحل وجيت ما الكن غير الداية ام زكي #طفل_انبوب_يا_حبوب
Wed Aug 26 03:20:05 PDT 2015 --  تلفزيون لبنان : وصول جثمان ادولف هتلر الى مثواه الاخير في بلدته برلين حيث سيدفن وهيك
Wed Aug 26 03:29:11 PDT 2015 --  مشكلة اذا وحدة من الكسليك وبتقطق بالحكي ! تقوم تسالها من وين حضرتك وتبلش هي تقلك #جربوها_كيف #باي
Wed Aug 26 00:41:49 PDT 2015 --  وين القوس https://twitter.com/bilal_trad/status/636442840663326720 …
Wed Aug 26 01:10:39 PDT 2015 --  بعض الاعلاميين واصلي فيهن السخافة لدرجة اذا وحدة فيهن ضيعت شارج التليفون تبعها بتتهم القوى الامنية انها حاجزته ! #فيقوا_يا_هبل
Wed Aug 26 01:40:25 PDT 2015 --  The day you start lifting is the day you become small forever. pic.twitter.com/IPripm1Wr5
Wed Aug 26 00:36:53 PDT 2015 --  فقط في الامتحان بصير الحيط منظر طبيعي وخلاب وهيك
Wed Aug 26 00:39:32 PDT 2015 --  اثبتت الدراسات انو ٤٤٪ من البنات عذراء والباقيين . . . . . . . . . . . . . . . . . . . حوت وثور دلو وميزان وسرطان وعقرب والخ لخ لخ
Wed Aug 26 00:40:52 PDT 2015 --  ايمتا بكون تركيزك ١٠٠٪ لما تكون بالحمام والباب ما بقفل هون بتكون مستعد ل اي هجمة مرتدة بتصير عليك #نعيمآ_سلف
Wed Aug 26 00:42:26 PDT 2015 --  قالتله مش غريب برجك الاسد وانت حمار ! قلها : مش غريب انو برجك الحمل وانت بقرة ووزنك ١٨٨كيلو يعني رغم حمرنته الى انه نكح جبهتها فلكيآ
Wed Aug 26 00:44:47 PDT 2015 --  انا من النوع يلي بس بدي عيط لواحد اسمه سعيد بعيطلو هيك سعيد سعيد سعيد سعيد سعيد سعيد يعني بحترم اسمه وبضل عيد ما هو س عيد وهيك
Tue Aug 25 11:12:27 PDT 2015 --  شعب بيعمل بولاد بلدو وقواه الأمنية والجيش هيك مش لازم يعمل مظاهرة لازم يندعس بالبوط العسكري #متضامن_مع_قوى_الامن pic.twitter.com/mY1jERO6qP
Tue Aug 25 07:55:58 PDT 2015 --  بكِ ومعكِ،أدركتُ أنكِ لذة الحياة !!
Tue Aug 25 05:51:24 PDT 2015 --  اتفاق الطايف ليش ما حدا فضاه لهلئ
Sun Aug 23 17:30:15 PDT 2015 --  ليست كل القلوب .. التي ترحل ناكرة للحب .. فبعض القلوب ترحل .. لأنها تحب..!!¡¡
Tue Aug 25 00:32:58 PDT 2015 --  هلئ البنت يلي اسمها تانيا اذا تفوقت بالجامعة شو بصير اسمها الاولى او كيف
Tue Aug 25 00:32:06 PDT 2015 --  انا ولا مرة بحياتي وبتاريخي الماضي والحاضر مضيع مصاري والسبب واضح وبسيط #لانه_مصاري_امعيش #بلا_نق
Tue Aug 25 00:31:06 PDT 2015 --  المظاهرة صارت سبت واحد لدرجة صرت حسها دوري انكليزي #بس_يا_هبل
Thu Aug 20 11:20:28 PDT 2015 --  #اقترح_قانون الاول او الثاني ؟. اه هيداك كانون بعتذر باي
Thu Aug 20 11:22:15 PDT 2015 --  #اقترح_قانون بلبنان اكتر قانون بيمشي هو انو نعمل قانون لمنع تطبيق القوانين !
Thu Aug 20 14:54:03 PDT 2015 --  بس يا سحاقيات
Thu Aug 20 15:29:41 PDT 2015 --  يلعن رب الانترنت
Fri Aug 21 03:24:49 PDT 2015 --  قالت له اغمرني بشدة ! فرد قائلآ ما بيمشي الحال اغمرك بتعجب !! المهم انا متعجب من البلوك يلي طعمتني ياه من ورا خفة دمي وهيك
Wed Aug 19 11:34:30 PDT 2015 --  أربعة لا تستغل ضعفهم أنثى و طفل وخادم ومخطئ أتاك معتذراً ..
Wed Aug 19 10:46:59 PDT 2015 --  #الاتصالات_بلبنان متل ريحة اجرين ستي
Wed Aug 19 10:48:09 PDT 2015 --  #الاتصالات_بلبنان متل الاصلع يلي ربح مستحضرات للشعر من عند عزت الداعوق واولاده اهم شي اولاده
Wed Aug 19 10:48:48 PDT 2015 --  #الاتصالات_بلبنان متل هيدا يلي بصلي اسكع واركع وهيك
Wed Aug 19 10:49:44 PDT 2015 --  #الاتصالات_بلبنان لا ولوه يا الله هيك سميتولي بدني pic.twitter.com/AnYk2xFbl7
Wed Aug 19 10:53:53 PDT 2015 --  #الاتصالات_بلبنان متل اغنية هالسيارة مش عم تمشي بدا حدا يدفشها دفشي وهيك
Wed Aug 19 23:25:06 PDT 2015 --  انا طموحي روح عالنار مش عالجنة ! لانه المثل بقول قد بساطك مد اجريك ! #قناعات_وحياة_ستي
Wed Aug 19 23:48:56 PDT 2015 --  كهربا ك : كي تبقوا مشوبين ه : هيك حرين بدنا نقطعها ر : روحو بلطو البحر اذا مش عاجبكم ب : بلا هبل ا : اذا بتفكرو نجيبها بتكونو مهابيل
Wed Aug 19 23:52:15 PDT 2015 --  حاسس بفرح لدرجة انو عم فكر اكسر تليفوني وقول #فدا_صباطك_ابو_حميد
Wed Aug 19 23:54:54 PDT 2015 --  المعنى الحقيقي لجملة #عصفورين_بحجر_واحد pic.twitter.com/sXHocSDI4J
Wed Aug 19 23:53:04 PDT 2015 --  وشكيت همي لمايا دياب قصرت وراحو السحبات
Thu Aug 20 00:03:18 PDT 2015 --  هلئ عم يفكرو يستبدلو كلمة مصيبة ب لبنان ! يعني مثلا بلا ما يرنلك رفيقك ويقلك احمد وقعنا بمصيبة ! برنلك وبقول احمد بسرعة تعا عنا لبنان كبير
Thu Aug 20 00:29:18 PDT 2015 --  زمان كنا نقول في بيني وبينك خبز وملح ! هلئ صارت ولو بيناتنا رتويت وڤاڤوريت وبتزعل مني يا ضيعان الفولو باك والله ما كنت عارفك هيك
Thu Aug 20 00:29:45 PDT 2015 --  وليد المعلم ! معلم شو يعني
Thu Aug 20 01:53:47 PDT 2015 --  لو المكيف لبناني ايه بشرب عصير فجل اذا بيطلع مكيف ! لبنان افششششش شي بيبسط يا خيي
Thu Aug 20 02:16:33 PDT 2015 --  لو الله لبناني كان انتحر
Thu Aug 20 03:25:06 PDT 2015 --  حكمة اليوم ! بزك ما رح يكتب عزك ! #بلا_نفخ_يا_هبيلة
Thu Aug 20 03:58:49 PDT 2015 --  @carolinadolivra انشالله تصيري تشبهي مريم نور
Thu Aug 20 05:29:06 PDT 2015 --  تويتر حاليآ برعاية #ابيخ_منكم_ما_لقيت
Thu Aug 20 09:46:46 PDT 2015 --  #الشب_اللبناني_هو يلي بحب ١٢٤٠ وحدة من النظرة الاولى وبنفس الوقت عملو معروف كل واحد يحكي عن حالو
Wed Aug 19 23:22:40 PDT 2015 --  شكلي بس بنت تتغزل فيي وهيك pic.twitter.com/EWnSuhYhBM
Tue Aug 18 00:46:54 PDT 2015 --  اليوم ما في ولا تغريدة سخنوا تبعول مبارح او طلبو دليڤري
Tue Aug 18 10:17:08 PDT 2015 --  عم فكر افتح محل تليفونات وسميه #احمد_مغص ! كيف ما كان بضل اهون من ال #cell #bye
Tue Aug 18 10:31:28 PDT 2015 --  #بدنا_نخبر_ولادنا انو ما تجوزنا وما جبناكم لانو امكانيات افيش ! اشحر حالي
Tue Aug 18 10:31:48 PDT 2015 --  #بدنا_نخبر_ولادنا انو نحنا زبالة المجتمع ومفكرين حالنا منفهم
Tue Aug 18 10:40:56 PDT 2015 --  #بدنا_نخبر_ولادنا انو اليسا تفركشت بفستانها @elissakh
Tue Aug 18 10:45:16 PDT 2015 --  #بدنا_نخبر_ولادنا لحامل الكيس هو الشعب لبناني حامل همومه ويلي جارر العرابيي هو الزعيم المرتاح ومتل اجرو الشعب #بكيتم pic.twitter.com/WnjT11RO4U
Tue Aug 18 10:59:47 PDT 2015 --  #بدنا_نخبر_ولادنا انو السيد موسى الصدر هو اساس المقاومة
Tue Aug 18 11:14:02 PDT 2015 --  #سؤال_مافيك_تسألو_لمسؤول اصلا ليكون في مسؤول منبقى نفكر بسؤال ما فينا نسألو لمسؤول
Wed Aug 19 00:04:46 PDT 2015 --  نعيم حلاوي بالجبن او بالمرطبان عادي مع فستق حلبي #كركعات
Wed Aug 19 00:03:39 PDT 2015 --  سيمون الاسمر برونزاج او سيلاريوم #دندنات
Wed Aug 19 00:06:46 PDT 2015 --  بسام كوسا استوى او بعد ؟ اطفي تحته اذا اوك #محاشيات
Wed Aug 19 00:08:22 PDT 2015 --  الخط الساخن بشرفكم حدا يخده عند الدكتور ! من زمان وبسمع عنه انو ساخن وهيك #سعافيات
Tue Aug 18 11:02:40 PDT 2015 --  #بدنا_نخبر_ولادنا كيف لما نجحنا فرقعنا الدنيا وبلاخر الشهادة استفدنا منها بشغلة وحدة الا وهي خبينا الفخت يلي بحيط غرفتنا وهيك
Mon Aug 17 04:38:46 PDT 2015 --  المعنى الحقيقي لعبارة الرجل الصح في المكان الغلط ! #الله_يسامحك_يا_جورج pic.twitter.com/Q0fvrJsfJh
Mon Aug 17 04:35:20 PDT 2015 --  لو بفتح القهوة قد ما بفتح تويتر كنت هلئ عم اصرف على نوال الزغبي مكياج ومنكير وبديكير وهيك
Mon Aug 17 04:38:39 PDT 2015 --  pic.twitter.com/88g47frLjn
Sun Aug 16 14:44:36 PDT 2015 --  وانتي لو تنحرقي ماحدا رح يحكيلك هيك pic.twitter.com/Fp29WwKNvj
Sun Aug 16 15:30:50 PDT 2015 --  والله لو مغني وله حد من هالمشاهير بترتوتون وبتنشرون الخبر -الله يرحمه- pic.twitter.com/HQRJWOgupg
Sun Aug 02 19:36:48 PDT 2015 --  TOP 5 HOTTEST CHEERLEADERS http://goo.gl/ddtl4v  pic.twitter.com/KU5RBT1s6K
Sun Aug 02 14:00:10 PDT 2015 --  As the sun winds down, rev up the engine of your Mercedes-Benz. Share your sunset spin with the hashtag #MBSummer. pic.twitter.com/ZSq7KjbcNL
Thu Jul 30 15:42:07 PDT 2015 --  الاشتياق وجع لايشعر به الا من أحب بصدق !
Thu Jul 30 15:43:19 PDT 2015 --  لا شيء بالحياه آجمل من قلبٍ يكتفي بك وتكون انت النّبضَ له !
Sat Aug 01 13:24:09 PDT 2015 --  Ferrari 458 | http://globalautosports.com  pic.twitter.com/9O9k7Z6P3z
Fri Jul 31 21:59:33 PDT 2015 --  نبتسم لالتقاط صورة .. ثم نبكي لرؤيتها بعد سنين
Fri Jul 31 23:35:04 PDT 2015 --  جيشنا..عزّنا عيدكم يوم..وعيدنا بكم على مدار كل الايّام
Fri Jul 31 12:33:50 PDT 2015 --  @ALJADEEDNEWS بس يا هبل الامام موسى الصدر اشرف من الله تبعكم انت ويلي داعمكم يا جوعانين يا خاينين يا سقايط #اه_يا_هتيكة
Fri Jul 31 10:53:19 PDT 2015 --  كل ما اسأل وحدة شو اسمك وتقلي مي بصير ببكي وبتذكر انو مي افيشششش في لبنان ! #كلينكسيات
Wed Jul 22 11:21:29 PDT 2015 --  نعيش في عالم يمشي الفقير فيه أميالا ليحصل على الطعام بينما يمشي الغني أميالا ليهضم الطعام اللهم لا تستدرجنا بالنعم ولاتفاجئنا بالنقم
Fri Jul 31 01:16:47 PDT 2015 --  لازم يعملو وزارة جديدة ويسموها #وزارة_ما_في_شي_بيبسط_يا_خيي
Fri Jul 31 01:15:49 PDT 2015 --  سؤال محيرني وزير الكهرباء بس تنقطع عند و الكهربا لمين بسب ؟؟ #اه_مزبوط_ما_بتنقطع_عندو #اوك_تشاو
Wed Jul 29 09:52:34 PDT 2015 --  - هُنَّاك أرواح قُربهم سَعاده !
Thu Jul 30 13:33:42 PDT 2015 --  المعنى الحقيقي لجملة : #متل_الاطرش_بالزفة ! #حبيبة_قلبي_يا_حجة pic.twitter.com/b04PQG4Kn3
Thu Jul 30 15:10:02 PDT 2015 --  @nadinewnjeim انشالله اذا ما عملتي فولو باك تصيري تشبهي احلام الشماسي
Thu Jul 30 15:18:10 PDT 2015 --  انا وعم اغفل طلعت معي هالتغريدة فجيت ركض كرمال نزلها وارجع نام ! كرمال تستفيدو من افكاري #وهيك
Thu Jul 30 15:21:15 PDT 2015 --  خشب متخشب يتخشب الخشاشيب تخشبت لخشباته المتخشبة الخشاشيب ...... #سليمانيات
Thu Jul 30 15:25:11 PDT 2015 --  اجمل شي هيدا يلي عندو كتير ثقة بحاله بكون لدرجة انو بقلك انا مايا دياب بزبطها بساعة ! ولا حبيبي ليش مايا دياب شو بدا تزبيط مش ناقصة شي
Wed Jul 29 06:43:20 PDT 2015 --  #ايفون6 #جديد #بالذهب #هدية_زواج #مناسبة تصاميم حسب الطلب يوجد توصيل K تواصل وتس اب 0556693125 pic.twitter.com/Jy2vDUB9z0
Thu Jul 30 14:12:47 PDT 2015 --  #اضرب_شي_بالحب بس تقلك ايمتا بدك تجيب اهلك وتطلبوني ! #بس_يا_هتيكة
Thu Jul 30 14:09:50 PDT 2015 --  انو بشرفي يلي بشوف هيك حدا بقول انو عنجد لبنان بالف خير ! يلا مش هلئ اذا راسك وجعك تقولي صبتك بالعين @nadinewnjeim pic.twitter.com/FmTg9pOrEI
Thu Jul 30 05:16:47 PDT 2015 --  سأله: يا رسول الله من أحق الناس بحسن صِحابتي؟ قال: أمك ثم أمك ثم أمك“ يُمّه يا قلبي، سامحي تقصيري يا روح ولدك.. آسف pic.twitter.com/JSY1GKhvFC
Thu Jul 30 12:54:47 PDT 2015 --  @salemzahran05 كلمتين وباختصار #صاحب_الحق_سلطان_ومن_يوم_يومك_كبير_يا_سالم_زهران_وابو_علي_ما_بينحني_الا_للرب_العلي كلمتين وطبشة
Wed Jul 29 13:14:40 PDT 2015 --  تأكد ان الفهم يختلف عن المعرفة ، قد تعرفني جيداً ولكن لاتفهمني أحياناً
Thu Jul 30 12:23:45 PDT 2015 --  #لايمتى_رح_نضل الرتويت بالرتويت والفايفرت بالفايفرت والبادي اظلم؟
Thu Jul 30 12:48:10 PDT 2015 --  #لايمتى_رح_تضلو تكتبو جمعة مباركة وتفكرو حالكم مؤمنين طاهرين تقيين ؟ #بس_يا_هبل
Thu Jul 30 11:30:01 PDT 2015 --  Nothing but proud power in a #Challenger. pic.twitter.com/527lwyUNFe
Thu Jul 30 11:30:03 PDT 2015 --  Vote now for your favorite vehicles, and the drivers will get to Rock Woodward with Dodge: http://spr.ly/6017BEID9  pic.twitter.com/F0zZOkoqJW
Thu Jul 30 12:35:39 PDT 2015 --  #لايمتى_رح_نضل اجت ٦ قطعت ١٢ راحت ٦ ورجعت ١٠ وتنتين قطعت وما اجت ولك لماذا هذا
Thu Jul 30 12:33:58 PDT 2015 --  #لايمتى_رح_نضل نجئجئ حكي ومشكلة صغيرة ما منحل
Thu Jul 30 12:31:18 PDT 2015 --  #لايمتى_رح_نضل كلمات متقاطعة نحل ؟ هيدي التغريدة كتبتا خالتي
Thu Jul 30 11:00:07 PDT 2015 --  NEW Dodge Viper ACR | http://goo.gl/WlUtNs  pic.twitter.com/9XoLQYYvYj
Thu Jul 30 12:05:13 PDT 2015 --  خلص عمري انا وقلها #حبي_الله_وتطيري لا وما طارت كمان عم تتدلع عليي يمكن !! بس رح يجي يوم وتطير صح ! شو ؟
Sun May 10 14:03:39 PDT 2015 --  #تتميز_البنت_القصيرة ولا بشي لو القصر حلو ما كانو اخترعو كعب عالي
Wed Jul 29 14:55:06 PDT 2015 --  اجريكي مفسخين وعم تسبي لسوكلين !! ايه والله لازم تشكريهن لانه بعدن مش ضابينك بالغلط ! #اه_يا_هتيكة
Wed Jul 29 14:56:05 PDT 2015 --  ميا خليفة تابت !! ايه بدي اكل يخنة صراصير اذا الخبر مزبوط
Wed Jul 29 15:52:33 PDT 2015 --  ستك وستي اديش بصيرو ؟ تنتين خرفانين
Wed Jul 29 23:45:13 PDT 2015 --  فتت على غوغل وكتبت علي الديك وحسن وحسين وعمار وخالد وابن بعجور وكل العيلة الديكية ! بتعرفو شو عطاني هالغوغل #بزق_بوجي_وقال_فن_مبتذل
Wed Jul 29 23:40:28 PDT 2015 --  اذا بتشوفو مخدتي ! ما بتلوموني ليش ما بقول صباح الخير !
Thu Jul 30 02:53:50 PDT 2015 --  انا المايكروويڤ بس عايرو ٣٠ ثانية بفتحو بعد ثانيتين ! بدك ياني انطرك لتحكيني !! #اه_يا_هتيكة
Thu Jul 30 01:04:49 PDT 2015 --  أما الآن، فلا يقبل عقلٌ بشريٌّ طمرَ النفايات على ارتفاع فوق الألف متر لأنها تلوث مياهنا الجوفية وتقضي على صحة اللبنانيين.
Wed Jul 29 23:49:09 PDT 2015 --  لبنان سويسرا الشرق ! هيدي الجملة هي المعنى الحقيقي لجملة #كذب_الكذبة_وصدقها ! لتعمل سويسرا بدك سويسريين مش لبنانيين ! #انسى_يا_حلو
Thu Jul 30 00:02:30 PDT 2015 --  #جيري_ماهر بس يضهر العصر بالحارة ! #اه_يا_هتيكة pic.twitter.com/GjQtzRpcs2
Wed Jul 29 23:58:21 PDT 2015 --  طبيب جراح اسنان البشر داويها وياما اسنان بالازميل اساويها !شافوني قالو متكسر من كتر الخبط مش قادر pic.twitter.com/PoYgTL5wVy
Thu Jul 30 00:00:29 PDT 2015 --  كن كشارج التليفون !! ما حدا بيضهر بلاك او في يوم رح ينساك ! #حكمة_الكترونية
Wed Jul 29 15:13:24 PDT 2015 --  شو القاسم المشترك بين @jerrymahers وصباط البالية ؟ الاثنين مستعملين ومنلبسن باجرنا ! برافوووو احمد بيطلعلك جيري ماهر لون ازرق اه يا هتيكة
Wed Jul 29 15:17:05 PDT 2015 --  هلئ لما خلقت وزعو بقلاوة ؟ او زبل غنم يا ابو زبلة @jerrymahers #هبيلة_يا_اه
Wed Jul 29 15:21:46 PDT 2015 --  @DRSAMIRGEAGEA اذا بعدك ناطر يسقط بشار انا رايي روح ازرع شعر واعملن سشوار #اريحلك #انسى_سمير
Wed Jul 29 15:34:31 PDT 2015 --  بكرا وقت الحساب بدي اسأله ل الله اذا بدين ! #انو_عادي_وهيك
Wed Jul 29 15:38:15 PDT 2015 --  خنجر ولادو يعني ؟؟ جرن يعني صغار بعدن !! ما هيك ؟
Wed Jul 29 15:55:56 PDT 2015 --  Lady gaga كيف بتنكتب بالعربي ؟ هيك يعني #سيدة_جاجا
Wed Jul 29 15:51:17 PDT 2015 --  ما عشت طفولتك صح اذا امك ما كانت تنقبلك القمل والسيبان من راسك وتمشطك بالمشط الابيض يلي كلكن عرفته وبلا #فلسفة
Wed Jul 29 15:57:01 PDT 2015 --  نحنا النيو تي ڤي عنا على الرقم ٩٢ وانتو على اي رقم ؟ @ALJADEEDNEWS
