Wed Oct 08 22:08:10 PDT 2014 --  pic.twitter.com/tRMPUmHInV
Thu Feb 28 04:37:27 PST 2013 --  SIGNS IN THE HEAVENS PROPHETIC EVENTS FEBUARY 2013: http://youtu.be/DmW3WLfbYNM  via @youtube
Tue Feb 26 10:52:24 PST 2013 --  Watch this and you'll know we're in END TIMES, RAPTURE IS IMMINENT: http://youtu.be/tiIlX7dzKWQ  via @youtube
Mon Feb 25 17:48:33 PST 2013 --  Prophetic signs of the end of the world: January 2013: http://youtu.be/A0OP6M8NUWM  via @youtube
Tue Jan 08 05:30:47 PST 2013 --  RFID CHIP IMPLANTATION 2013: http://youtu.be/X27qivcoQUw  via @youtube
Mon Dec 17 10:56:12 PST 2012 --  Israel will attack Iran by end of 2012 - Bio-microchip ready in March 20...: http://youtu.be/IbUp5y9yniU  via @youtube
Mon Dec 17 06:20:30 PST 2012 --  Watch this and you will know we're in END TIMES!: http://youtu.be/t6WVZJ_CFHQ  via @youtube
Mon Dec 17 06:00:07 PST 2012 --  2012 Something Is Going On!.mp4: http://youtu.be/5L4KGU37Aik  via @youtube
Fri Dec 14 00:16:26 PST 2012 --  NWO: Secret Societies and Biblical Prophecy Vol. 1: http://youtu.be/IFfdOkwyuL0  via @youtube
Thu Dec 13 18:09:55 PST 2012 --  BIBLICAL PREDICTIONS- All Nations Will Rise Against Israel: http://youtu.be/dRswfYhPeGI  via @youtube
Thu Dec 13 05:22:42 PST 2012 --  ILLUMINATI GOES PUBLIC WITH NWO!! MUST SEE!! PT.1/9: http://youtu.be/42N6LrEpPyI  via @youtube
Sun Dec 09 06:31:55 PST 2012 --  EXPOSED: Satanism in the Industry (Music, Hollywood, Illuminati, NWO): http://youtu.be/idAz7mFKPrc  via @youtube
Fri Oct 26 04:23:30 PDT 2012 --  TD Jakes - Favour Ain't Fair: http://youtu.be/M52RGbzqlLo  via @youtube
