Tue Aug 18 08:01:03 PDT 2015 --  Alpacamon, you're welcome. pic.twitter.com/jZM8pIzKc9
Sun Aug 09 01:15:57 PDT 2015 --  Du bist erst ein richtiges Löwenkind, wenn du drei meiner Panzer kaufst.
Tue Aug 04 01:02:47 PDT 2015 --  . @julienco_ Kann man dich eigentlich auf der Gamescom treffen? .. Mit Eiern.. oder Schuhen?
Sun Aug 02 04:00:09 PDT 2015 --  #AssassinsCreed pic.twitter.com/D6jL7MbahH
Sun Aug 02 02:52:45 PDT 2015 --  Die @dagibee hat mit ihren Drecksbienchen grad 'ne Morgenoffensive geflogen, @KutcherLoL wurde am Bein getroffen.
Sat Aug 01 16:27:11 PDT 2015 --  "Google? Such nach Nutten in der Umgebung." - @KutcherLoL 2015 xDDD
Sat Aug 01 06:02:38 PDT 2015 --  ICH BIN EIN LÖWENKIND! EIN LÖWENKIND! EIN LÖWENLÖWENLÖWENKIND!
Fri Jul 31 15:02:39 PDT 2015 --  tinNendo feat. Splatterman - "BFFs 4 EVER (Official Music Video): http://youtu.be/Du7RQyKnVMQ?a  über @YouTube
Fri Jul 31 04:58:39 PDT 2015 --  Das 24. Lebensjahr kann kommen, mir juckt schon die Leber.
Wed Jul 29 05:43:49 PDT 2015 --  Ist mein Löwenkind Pulli schon da? @HandIOfIBlood
Sun Jul 26 08:15:30 PDT 2015 --  Star Wars für die PS 2 beste.
Wed Jul 22 10:52:54 PDT 2015 --  Wer hat sich den Hashtag #JustinBeiberHomemSexual ausgedacht? :D Hamma geil. Look at that Rechtschreibung, war sicher auch so'n Justin.
Tue Jul 21 06:22:05 PDT 2015 --  The god damn motherlode cheat pic.twitter.com/oc9gKcep4l
Mon Jul 20 17:47:24 PDT 2015 --  Deine Rippen gehn' zu Bruch bei den Crackstreet Boys... Nanananana lalalalalalalalalala
Sat Mar 07 20:19:31 PST 2015 --  #SystemOfADown will be performing in Bogota, Colombia at Parque Deportivo on 10/3. Tix on sale 3/13 at 9am here: http://bit.ly/SOADBogota 
Thu Mar 05 22:11:39 PST 2015 --  Freitag, Bruder! Komm in meine Arme. Ich lasse dich nie wieder gehen! Versprochen!
Sun Feb 15 16:57:20 PST 2015 --  Ich fand den Spruch einfach grandios. "Kinder sind wie Fotzen. Sie kratzen und machen schöne Sachen kaputt." via. @DeChangeman
Thu Feb 12 06:26:04 PST 2015 --  Ardy hat löcher in der Hose und Taddl muss Kleidung tragen die ihm viel zu groß ist! Sie müssen echt kein Geld haben! #BrudiVideo
Mon Jan 12 09:34:55 PST 2015 --  Hey, that's weird, suddenly my real name got accepted. What a most peculiar coincidence.
Mon Jan 12 09:26:18 PST 2015 --  Now they want a copy of my ID to be able to chat with my friends. Facebook still creeps me the fuck out.
Mon Jan 12 09:17:33 PST 2015 --  Uhhh.. Facebook just forced me to change my name to my real name. I was using my real name. So I put it in again, and now I'm locked out.
Fri Jan 02 16:40:47 PST 2015 --  UNGE ZEIGT FANS MITTELFINGER! WaZzup! #ungestreamt #rewistreamt pic.twitter.com/6YFzEwGz5z
Fri Jan 02 16:13:09 PST 2015 --  @deChangeman water Touch pic.twitter.com/jO4kLtX5cc
Tue Dec 30 04:12:09 PST 2014 --  Laute Klopf und Hammergeräusche aus der Küche. "Ey, @Paluten was zum Teufel tust du da?" "Ich koche." Stille.
Fri Dec 19 09:55:32 PST 2014 --  Tickets for #wakeupthesouls at @theforum are now on sale. Click here for info and to purchase http://bit.ly/1zd33IE  pic.twitter.com/GX6ypKWOsU
Mon Dec 22 13:20:57 PST 2014 --  Der hässliche Klaas und der dumme Jörg. Hätten wir das also auch geklärt. #HalliGalli
Mon Dec 22 13:19:52 PST 2014 --  Ja ähhhhhh ..... #HalliGalli pic.twitter.com/3oYJFGzqp4
Sat Dec 20 14:26:52 PST 2014 --  Also, Fakt ist: @unge hat @mediakraft gefickt und ich lache richtig hart, aber ich weine auch, weil's mir da bisher gut ging :'D
Sat Dec 20 15:36:22 PST 2014 --  Mediakraft deaktiviert die Kommentare, jetzt also auch noch den Mund verbieten...
Sun Dec 21 08:31:57 PST 2014 --  Netzwerke werden sich in Zukunft überlegen müssen, was sie so ganz großen Kanälen überhaupt noch bieten können für das, was sie verlangen.
Sun Dec 21 10:07:31 PST 2014 --  Die #raupenarmy kämpft für @unge Und gefällt diese Form der Solidarität. Respekt.
Sat Dec 06 00:49:09 PST 2014 --  wenn ich kurz eure aufmerksamkeit haben duerfte: heute abend. weltpremiere. #MeinBesterFeind 20.15h auf @ProSieben RT erwuenscht
Tue Dec 02 22:08:29 PST 2014 --  Mal sehen welchen Menschen ich heute Morgen als erstes hasse
Mon Nov 24 13:53:52 PST 2014 --  Okay, schon mal vormerken: Nächste Woche einfach Klaas auf die Fresse hauen. #Countdown #HalliGalli
Mon Nov 24 13:38:59 PST 2014 --  @halligalli @damitdasklaas @officiallyjoko #LäuftBeiBaxxter #HalliGalli pic.twitter.com/iZSvxGjtAV
Mon Nov 24 13:32:17 PST 2014 --  "Bist du vom Baum der Dummheit gefallen?" #HalliGalli #Weltmeisterstyle
Sat Nov 22 14:33:59 PST 2014 --  weltmeister, bitches!!! @nico_rosberg i told you. now its your turn... #NicoGoFast #DuellUmDieWelt
Sat Oct 25 14:43:19 PDT 2014 --  weltmeister!
Fri Oct 24 13:48:48 PDT 2014 --  weitersagen bidde. morgen abend 20.15h auf @ProSieben. knoten ins taschentuch. #allesaufsieg #jokogegenklaas #duellumdiewelt
Thu Oct 23 13:22:19 PDT 2014 --  Wenn ich einen Mann mit einer jüngeren sehen wird mir schlecht. Oder ne Frau mit nem jüngeren. Oder generell Pärchen.. Oder einfach Menschen
Wed Oct 22 22:14:35 PDT 2014 --  Wieso kann Donnerstag nicht Samstag sein und Samstag 4 Wochen dauern?
Wed Oct 08 11:16:59 PDT 2014 --  Panophobie / Pantophobie ist die Angst vor Allem. Mehr Opfer geht nicht :(
Wed Oct 08 09:51:01 PDT 2014 --  Wrecking Ball ist eines der Lieder bei denen man mich fast immer den Raum verlassen sieht. Echt jetzt. Noch... http://fb.me/3cVBwy90p 
Sun Oct 05 13:33:29 PDT 2014 --  Ich penn jetzt.... Morgen kein bock auf Schule !
Thu Oct 02 11:02:28 PDT 2014 --  Wir sind einfach mal schon 1000km aufm Longboard gefahren! Respekt an meine Kugellager die ich noch nicht gewechselt hab #longboardtour
Tue Sep 30 22:06:57 PDT 2014 --  Achtung : Mittwochmorgen kann Spuren von Müdigkeit und schlechter Laune enthalten.
Thu Sep 25 06:12:09 PDT 2014 --  super tolle fahrradwege hier, gehen macht soo spaß!! #longboardtour pic.twitter.com/OUleQOguD0
Wed Sep 24 01:52:38 PDT 2014 --  Ich vermisse die Schule... ...irgendwann musste ich ja auch mal schlafen.
Mon Sep 22 13:28:53 PDT 2014 --  Wir sind stolz Busfahrer zu sein! #HalliGalli
Thu Sep 18 08:13:06 PDT 2014 --  Das kleine dicke Kind im Wartezimmer schreit die ganze Zeit den Wartenden tausende Namen von Pokémon an den Kopf. Ich will sterben.
Tue Sep 16 17:19:00 PDT 2014 --  krass, @cheng_loew und ich sind heute 68km auf dem longboard gefahren, davon 40km nach 21 uhr in der dunkelheit! :O #longboardtour
Mon Sep 15 06:53:30 PDT 2014 --  Microsoft kauf #Minecraft für 2.500.000.000$? Krass, ich hab das damals noch für 10$ bekommen...
Sun Sep 14 23:35:01 PDT 2014 --  Ich spreche zwischendurch in der Behinderten Stimme mit mir selber und muss manchmal lachen. Arzt besuchen? Ich denke schon.
Sun Sep 14 20:48:24 PDT 2014 --  Ich hatte echt schon mal nen gesünderen Schlafrhythmus.
Sun Sep 14 16:38:49 PDT 2014 --  Ich bin ein kranker Ninja! :D Und hier geht's zum Video: http://bit.ly/ZlLmHs 
Sun Sep 14 17:16:27 PDT 2014 --  nach diesem tag waren wir alle richtig feucht.. oder so ähnlich! :DD #longboardtour https://www.youtube.com/watch?v=F340PPcy1dY …
Sun Sep 14 10:36:24 PDT 2014 --  Ich bin heute als Ninja unterwegs ... #longboardtour pic.twitter.com/whi53xtdSP
Sun Sep 14 06:02:45 PDT 2014 --  ich beginne jetzt jeden schritt aus meinem Leben zu posten. Nicht. Ich ess jetzt kuchen. YAY
Tue Sep 02 16:18:47 PDT 2014 --  Strand, Sonne, gute Freunde und Abends n krassen Sternenhimmel! Hammer Tag mit @Cheng_Loew & @DnerTV & @unge
Tue Sep 02 00:59:58 PDT 2014 --  Altaaaa! Seit Monaten nicht mehr so gut geschlafen. Aber heute verlassen wir Sylt! Und die Tour geht los!
Sun Aug 17 09:25:05 PDT 2014 --  RETWEET ORGIE: http://www.GLP.TV/SHOP  Gewinnspiel 7: Retweete und gewinne ein gratis SHIRT! #Koll
Sat Aug 16 09:35:03 PDT 2014 --  RETWEET ORGIE: http://www.GLP.TV/SHOP  Gewinnspiel 6: Retweete und gewinne ein gratis SHIRT! #Koll
Fri Aug 15 09:20:10 PDT 2014 --  RETWEET ORGIE: http://www.GLP.TV/SHOP  Gewinnspiel 5: Retweete und gewinne ein gratis SHIRT! #Koll
Fri Aug 15 07:04:45 PDT 2014 --  Wird jeden Moment aufgelöst, noch könnt ihr teilnehmen: https://twitter.com/GermanLetsPlay/status/499953655060000768 …
Thu Aug 14 09:20:14 PDT 2014 --  RETWEET ORGIE: http://www.GLP.TV/SHOP  Gewinnspiel 4: Retweete und gewinne ein gratis SHIRT! #Koll
Sun Aug 10 05:11:18 PDT 2014 --  "Kondome nich' kaufen, die Pille nich' nehmen und einfach nur in den Arsch ficken." - @Taddl über Verhütung. | 2014
Sat Aug 09 21:55:47 PDT 2014 --  Der frühe Vogel... fickt meinen Kopf
Sat Aug 09 10:29:41 PDT 2014 --  Danke an die geilsten Menschen! Danke dafür, dass ich genau das tun kann was ich möchte und mich für niemanden auf YouTube verstellen muss!
Wed Aug 06 01:37:44 PDT 2014 --  Nächste Woche, neben Gamescom, VideoDay etc. mache ich Liebe. Liebe mit @Julien_Bam. Und @Cheng_Loew nimmt es auf in Slowmo. #KopfKino
Wed Aug 06 01:33:41 PDT 2014 --  Ich glaube fast : #allesistbesseralsrewizusein
Wed Aug 06 00:47:16 PDT 2014 --  Die sollen jetzt mal endlich ihre ganzen Spiele patchen, ich will die testen! #DK2 #VR
Sun Aug 03 18:41:47 PDT 2014 --  schneide grad ungefilmt ^^ bin irgendwie schon total müde :O schon um 3:40 Uhr!!!11 was ist da los mit meinem Schlafrythmus?
Thu Jul 31 09:30:57 PDT 2014 --  Leute, die neue #MINECRAFTAURA Folge ist da! Jeder RT bedeutet ein Krebskrankes Kind weniger! http://youtu.be/SO4Br5Npvkw 
Tue Jul 01 08:38:59 PDT 2014 --  RETWEET ORGIE! Gewinnspiel: Gewinne eine "DIVINITY ORIGINAL SIN COLLECTOR'S EDITION" indem du Retweetest. pic.twitter.com/6lu2g8i7X8
Wed Mar 19 10:45:03 PDT 2014 --  #inFAMOUS Gewinnspiel: Jeder Retweeter hat die Chance auf eine streng limitierte inFAMOUS: Second Sun version. + http://puu.sh/7BoHS.jpg 
