Thu Sep 04 19:02:32 PDT 2014 --  i am so much smarter than this baby
Sun Jun 07 20:04:36 PDT 2015 --  it's like if i stop listening to this jason derulo song i'll die what have i become!??!!!?!?!?!!?!?!?!?!?!
Sun Jun 07 19:40:25 PDT 2015 --  don't worry y'all i may have two finals left to start before they are due tomorrow ( h a ha haahahh ) but i just ordered overalls so we good
Fri Jun 05 08:58:44 PDT 2015 --  Reporters ask ders/Blake/Adam, rob/Charlie/Glenn, Louie If they get overwhelmed by acting & writing & if they ever doubt themselves, right?
Tue Jun 02 22:45:28 PDT 2015 --  changing my major to eating chunks of cheese and watching veronica mars!!!!! thank u for all ur support, world!!!!!'
Tue Jun 02 17:01:01 PDT 2015 --  olivia wore a kappa tank top to barre class. i wore a notorious rbg t-shirt. we do not come from the same planet.
Mon Jun 01 16:18:04 PDT 2015 --  OH MY GOD SEND HELP SEND CEREAL THIS IS THE GREATEST DAY OF MY LIFE https://twitter.com/amazonhelp/status/605513468003921920 …
Mon Jun 01 15:56:32 PDT 2015 --  can i order cereal on amazon
Sun May 31 21:39:48 PDT 2015 --  WHAT HAPPENED to miss independent?????? so worried about her
Sun May 31 08:35:32 PDT 2015 --  allele cool j
Fri May 29 11:49:41 PDT 2015 --  how do all the ppl in this discussion know each other and i know none of them how am i the oldest person in my discussion section help!!!
Thu May 28 08:38:13 PDT 2015 --  just signed my lease in my pajamas with no bra on so the bar is already pretty high today
Wed May 27 22:11:47 PDT 2015 --  what does it say about my personality that i can't stop taking personality tests is there a test for that
Wed May 27 21:39:49 PDT 2015 --  "from some angles you can't even tell my computer screen is cracked" said the girl, weeping quietly
Mon May 25 12:07:56 PDT 2015 --  if you can watch national treasure without looking for clues afterwards then you have a remarkable grip on reality that i do not share
Sun May 24 18:22:33 PDT 2015 --  showed my aunt a picture of a cute baby and she said, "oh, i need to show you a really ugly one." this is where i come from.
Sun May 24 08:49:25 PDT 2015 --  confession: i don't understand your smoothie bowl and i think it looks gross
Fri May 22 12:27:58 PDT 2015 --  this girl is me today pic.twitter.com/XIwIWhN7vj
Fri May 22 08:00:02 PDT 2015 --  should i be flattered that this kid in my discussion section thinks i should be lawyer "and can't believe i'm a theatre major" or ???
Mon May 18 22:18:26 PDT 2015 --  when ur waiter likes u because he thinks ur twins with @mrsburtmacklin
Sun May 17 20:40:00 PDT 2015 --  looking for investors in my newest invention, pajama pantsuits, or pajantsuits @HillaryClinton ?
Sat May 16 20:28:05 PDT 2015 --  "You should smile more!" -stranger who just blew my mind & changed my life!!! Am so ashamed of my smile-free past but learning 2 let it go..
Sat May 16 09:54:16 PDT 2015 --  if i get this callback it will truly be because the director liked my blue hair
Fri May 15 09:18:38 PDT 2015 --  everyone in this coffee shop definitely wants to be listening to "kiss from a rose" super loud!!! excellent ambiance!!!!
Thu May 14 22:50:14 PDT 2015 --  i think my upstairs neighbor rly has a song in his heart which is why he is always dancing at midnight
Sun May 10 10:09:52 PDT 2015 --  My 11yr old son just gave me a Mother's Day card with 8 dollars inside. pic.twitter.com/fTlqKzVkgB
Sat May 09 21:30:52 PDT 2015 --  the work that these frat bros are doing to justify their presence at an a capella show is very impressive ***P E R F O R M A T I V I T Y***
Sat May 09 20:39:26 PDT 2015 --  my mom just hashtagged "fly shit" on an instagram please call me an ambulance
Thu May 07 13:16:47 PDT 2015 --  like aggressively forcing their hot dogs on us !!!???
Thu May 07 13:15:54 PDT 2015 --  right?
Thu May 07 13:15:48 PDT 2015 --  we are supposed to be aware of the symbolism of a frat selling hot dogs
Mon May 04 13:44:28 PDT 2015 --  i have seen 15 high schoolers holding hands on this walk alone and man am i against it
Sat May 02 21:15:33 PDT 2015 --  legally blonde is on netflix, people. why are you paying money to watch short men punch each other when you could watch LEGALLY BLONDE
Thu Apr 30 19:21:18 PDT 2015 --  and by that i mean i will probably see it 950 times k
Thu Apr 30 19:20:54 PDT 2015 --  who forgot to tell me that @official_tWitch and @donaldglover are BOTH IN MAGIC MIKE 2 !?????? this is a travesty.
Thu Apr 30 13:24:39 PDT 2015 --  i just got punched in the head by a janitor mopping which feels like a metaphor
Sun Apr 26 19:19:42 PDT 2015 --  i just don't understand why cute people date guys who wear jeans with gym sneakers? this is 2015 okay
Sun Apr 26 18:10:14 PDT 2015 --  sure was a good idea to start orphan black right around midterms !
Fri Apr 24 11:53:07 PDT 2015 --  when u thought u liked ur TA but then he hates on keats <<<<<<<<
Tue Apr 21 13:55:02 PDT 2015 --  "why are all these trees trying to kill me" or, allergy season with emily
Sat Apr 18 13:02:15 PDT 2015 --  i think my biggest success today was not letting the kids i babysit watch "white chicks" so the bar is fairly high over here
Sat Apr 11 00:34:21 PDT 2015 --  bridget and i went to WOB, accidentally ordered drinks with highest alc content & smallest glass size. made eggs. all in all, unsurprising?
Mon Apr 06 19:17:16 PDT 2015 --  that moment when ur blush looks amazing but it's actually just ur fever shining thru #beautytips
Sun Apr 05 07:23:20 PDT 2015 --  ha ha HahahahHhahanhaha okay pic.twitter.com/WoFvG28viR
Sat Apr 04 22:00:14 PDT 2015 --  i've seen @WALKTHEMOONband tipsy, sunburnt, concussed, and now with a fever & pharyngitis. so next time they play i'll... be dead? can do.
Wed Apr 01 09:18:48 PDT 2015 --  the one loud law student on the intercampus is my nightmare hellscape
Tue Mar 31 10:41:31 PDT 2015 --  My anxiety is a powerful witch w a lot to prove
Sat Mar 28 09:58:38 PDT 2015 --  just had a hearty breakfast with my parents while we talked about my credit score because youth is dead and time is fleeting
Wed Mar 25 20:00:11 PDT 2015 --  MY GRANDMA IS TRYING TO SELL HER HOUSE IN FLORIDA AND THESE ARE THE PICS I AM LAUGHING SO HARD pic.twitter.com/rONaIUyevS
Mon Mar 23 18:12:46 PDT 2015 --  Ted Cruz is definitely my favorite presidential candidate made entirely out of playdough.
Mon Mar 23 15:17:27 PDT 2015 --  mall-park gosselaar
Mon Mar 23 13:15:52 PDT 2015 --  ted cruz for president 2016 oh i'm sorry did i say president i meant RESIDENT of any other country but this one
Thu Mar 19 20:39:08 PDT 2015 --  just saw my physical therapist at a bar so
Thu Mar 19 12:59:20 PDT 2015 --  "i figured out my eyebrows. they're sisters, not twins. they need to be treated as such."
Wed Mar 18 22:56:53 PDT 2015 --  why isn't mamma mia required watching for all adult humans
Sun Mar 15 20:47:48 PDT 2015 --  "i fuckin miss ashanti" - @jtreese01
Sat Mar 14 14:33:37 PDT 2015 --  faded jeans? loafers? a motorcycle? yes sir you have done it you are a true ladies' man
Thu Mar 12 19:54:27 PDT 2015 --  Where am I
Thu Mar 12 20:42:00 PDT 2015 --  list of things i am crushing: very little except this bottle of wine
Wed Mar 11 09:49:47 PDT 2015 --  "you're a terrible trash witch" - my sister to me
Tue Mar 10 21:45:26 PDT 2015 --  when you find out that your mom's super white private school did "in the heights" last year are you supposed to react by laugh-screaming
Mon Mar 09 23:46:10 PDT 2015 --  now i would like some greek fries in return for sharing my unsolicited opinion plz & thank you
Mon Mar 09 23:44:36 PDT 2015 --  be chill about greek salad maybe but probably not greek life. maybe time to reexamine that institution (among others - like universities!)
Mon Mar 09 23:43:06 PDT 2015 --  ppl all seem really chill about greek life despite the 9billion events of the last year alone that remind us of its classism/racism/misogyny
Fri Mar 06 18:13:05 PST 2015 --  Beast: "YOU MUST NOT GO IN THE WEST WING" Belle: "What's in the West Wing?" Beast:(turns to audience) "NOT MUCH AFTER SEASON 5, AM I RIGHT?"
Tue Feb 10 04:41:12 PST 2015 --  anxiety is the best alarm clock
Tue Mar 03 19:22:33 PST 2015 --  even the best mom on facebook is still a mom on facebook
Tue Mar 03 00:53:01 PST 2015 --  note to self; you CAN make yourself cry by thinking about julie andrews' life. keep for acting purposes. also, rewatch princess diaries 2.
Fri Feb 27 13:04:47 PST 2015 --  when is a lymph node *too* swollen
Wed Feb 25 22:30:21 PST 2015 --  "all my roommates and their boyfriends" a sitcom
Wed Feb 25 19:49:07 PST 2015 --  they call her lil' salty @bridgetbardont pic.twitter.com/IIvnovbymM
Sun Feb 22 20:11:21 PST 2015 --  STOP JOHN TRAVOLTA pic.twitter.com/xe8gOKOjc3
Sun Feb 22 20:06:16 PST 2015 --  if you could have one person dry your tears would it not be oprah WOULD IT NOT
Sun Feb 22 19:22:17 PST 2015 --  #freeoctavia
Sun Feb 22 18:57:10 PST 2015 --  I love how Meryl jumped up. She is ride or die.
Tue Oct 28 22:17:32 PDT 2014 --  Ugh
Thu Feb 19 00:26:36 PST 2015 --  at this point when i haven't filled in my eyebrows i don't recognize my own face
Mon Feb 09 10:55:57 PST 2015 --  if you've ever felt *too* attracted to me, just watch me eat while walking - should knock that right out
Sun Feb 08 13:11:11 PST 2015 --  "BITCHES AIN'T GOT PUNCHLINES OR FLOW I HAVE BOTH AND AN EMPIRE ALSO" -WALTER WHITMAN, LEAVES OF GRASS
Tue Feb 03 22:53:17 PST 2015 --  "i went to Searle and all i got was weird free paper shorts, a bill for an $113 x-ray, and no solution to my problems"
Mon Feb 02 12:25:20 PST 2015 --  it's called a DIY snow day when one class gets cancelled and you straight up sleep through the other even though it starts at 1
Sun Feb 01 22:33:39 PST 2015 --  i just looked up at aurora, started to cry, and said, "i think i have to buy the taylor swift album" and she understood me
Sun Feb 01 17:54:11 PST 2015 --  NORTHWESTERN UNIVERSITY: continuously reminding students that it doesn't give a shit about how bad the weather is outside.
Fri Jan 30 20:59:23 PST 2015 --  Do you think they'll be paid 13% less for every ghost they bust
Wed Jan 28 12:36:56 PST 2015 --  I like my men like I like my coffee. Silent.
Tue Jan 27 21:07:26 PST 2015 --  W O W to this episode of SVU with both patti lupone and jeremy jordan!!!!!!!
Tue Jan 20 18:30:56 PST 2015 --  RT if you agree: It's time for equal pay for women. http://wh.gov/SOTU  #SOTU #EqualPay pic.twitter.com/VUO8RjgRiZ
Tue Jan 20 18:30:08 PST 2015 --  No joke, he said women deserve equal pay and half the audience stayed seated. Astonishing.
Tue Jan 20 11:16:18 PST 2015 --  the udon noodle lady just slapped the sushi man's butt because this is HER AMERICA
Sat Jan 17 18:41:09 PST 2015 --  chili's is terrifying
Tue Jan 13 20:21:23 PST 2015 --  when mom uses your headshot in the christmas card, you have ascended
Tue Jan 13 18:57:34 PST 2015 --  good to remember that Lerner & Lowe is not Leopold & Loeb
Tue Jan 13 18:51:56 PST 2015 --  and the weeping sorority girls ran back to their caves never to be seen again
Mon Jan 12 22:31:59 PST 2015 --  i think the person above me is an elephant that tap dances nothing else makes sense
Wed Jan 07 10:25:48 PST 2015 --  feels like -20?? that is BALMY i tell you
Mon Jan 05 16:50:42 PST 2015 --  there's nothing like the possibility of a handsome professor
Sun Jan 04 21:36:02 PST 2015 --  prepping for classes the only way i know how: drinking and weeping
