Sat Aug 29 01:14:36 PDT 2015 --  Hoy 18:15 juega el más grande, hoy Sabado juega #BocaJuniors señoras y señores
Tue Aug 25 22:51:08 PDT 2015 --  La forra de mi hermana le puso contraseña a la compu y se me bloquio y me quedo todo abierto -.- FORRA
Tue Aug 25 21:29:49 PDT 2015 --  Y Dios dijo: Hágase lo más hermoso del universo y nació la hermosura que esta leyendo esto
Tue Aug 25 20:12:22 PDT 2015 --  Odio los anuncios en YouTube.
Sat Aug 08 11:57:08 PDT 2015 --  JAJAJAJA pic.twitter.com/zn5uaKlwrl
Tue Aug 25 19:23:35 PDT 2015 --  Como mierda pueden sacar "Casados con hijos" para poner "Avenida Brasil" y "Dulce amor"? Osea #QueVuelvanLosArgentoChavon
Tue Aug 25 17:57:50 PDT 2015 --  La puta madre, me agarro frio.
Tue Aug 25 17:22:17 PDT 2015 --  Como me gustaría poder frenar el tiempo en el preciso instante que sos feliz
Tue Aug 25 17:19:04 PDT 2015 --  Mejor me vine a escuchar mi música a la pieza
Tue Aug 25 17:14:45 PDT 2015 --  La música que escucha mi hermana me la re baja
Tue Aug 25 17:05:36 PDT 2015 --  Música de mierda que escucha mi hermana -.- re viejas las mierdas
Tue Aug 25 15:54:32 PDT 2015 --  Mi hermana nunca va a venir sola no? Siempre trae a una amiga -.- osea loca quiero estar solo
Tue Aug 25 05:27:29 PDT 2015 --  Siguen los amigos que quiero tener, no me puedo quejar.
Tue Aug 25 01:41:50 PDT 2015 --  Después me levanto y veo que hago
Tue Aug 25 01:41:25 PDT 2015 --  Bueno me voy a dormir un rato
Mon Aug 24 23:19:59 PDT 2015 --  Tremenda viciada me pegue en ese juego
Mon Aug 24 23:19:19 PDT 2015 --  Nivel 800 en el Candy Crush Saga en Facebook
Mon Aug 24 22:54:55 PDT 2015 --  Nos aferramos a los recuerdos, porque los recuerdos son los únicos que no cambian cuando todo cambia.
