Sun Aug 02 11:18:07 PDT 2015 --  I can honestly say that you're what's been on my mind all day.
Tue Jul 21 17:07:06 PDT 2015 --  It hurts because it mattered.
Tue Jul 21 05:20:04 PDT 2015 --  #MSGDeAddict The Greatest Mistake in LIFE is to get Addicted to DRUGS...!!!
Tue Jul 21 05:19:57 PDT 2015 --  #MSGDeAddict DRUGS destroy your MEMORY and Your Self- respect and everything that goes along with with your SELF ESTEEM....!!!!
Tue Jul 21 05:19:51 PDT 2015 --  #MSGDeAddict Drug addiction reduces a MAN to a Mindless and Ridiculous THING and creates CRIMINALS...!!!!
Tue Jul 21 05:19:46 PDT 2015 --  #MSGDeAddict The DRUG Addict is his own ENEMY – Slowly Killing himself using DRUGS as a WEAPON....!!!!
Tue Jul 21 01:06:30 PDT 2015 --  #MSGDe-Addict Drugs are Stigma on the society, everyone should come ahead to end-up this Menace pic.twitter.com/tpUv86vMkM
Tue Jul 21 00:57:41 PDT 2015 --  #MSGDe-Addict It is very difficult to Quit DRUGS... But if you do MEDITATION, than it will be easy for you.. Just try it...!!
Tue Jul 21 00:48:25 PDT 2015 --  Drug abuse can result in serious behavioral and emotional changes that ultimately destroy a person's life. #MSGDe-Addict
Tue Jul 21 02:23:23 PDT 2015 --  लिखी कुछ शायरी ऐसी तेरे नाम से कि जिसने तुम्हे देखा भी नही उसने भी तेरी तारीफ कर दी #MSGDeAddict pic.twitter.com/pkWVGQCRni”
Tue Jul 21 02:23:43 PDT 2015 --  @Gurmeetramrahim #MSGDeAddict एक व्यक्ति जो दिन में कई नशे के टीके एक साथ लगता था उसके गुरू जी से नाम लिया व मात्र 7 दिन में अपना नशा छोडा
Tue Jul 21 02:23:59 PDT 2015 --  साराYouth उठाओ कदम, करदो नशा Drug खत्म,खत्म करदो नशे को वरना वो आपको खत्म कर डालेगा #MSGDeAddict pic.twitter.com/kKDTNobqGD
Tue Jul 21 02:23:31 PDT 2015 --  #MSGDeAddict The youth joined with DSS is itself De-Addicted and also draws the society out from pool of drugs.”
Tue Jul 21 02:24:48 PDT 2015 --  MSG Promoting character buildup free frm fatal diseases like AIDS without any medication through Satsang,Yoga&Meditation #MSGDeAddict
Tue Jul 21 02:25:02 PDT 2015 --  बिना किसी दवाई के सिर्फ Meditation के जरिये गुरु @Gurmeetramrahim जी ने100 injection pr day ड्रग्स लेने वालो का ड्रग्सछुड़वाया #MSGDeAddict
Tue Jul 21 02:28:50 PDT 2015 --  हम सिर्फ अपने और अपने परिवार के भले के लिए सोचते है पर ST. @Gurmeetramrahim जी सभी के भले के लिए सोचते है! #MSGDeAddict
Tue Jul 21 02:29:23 PDT 2015 --  #MSGDeAddict तेरे आने से रोशन हुई,दुनिया तेरे दीवानो की तू है तो सब है, तू नही तो कुछ नही। दर्शन करके खिल उठी,रूह तेरे दीवानो की।
Tue Jul 21 03:33:10 PDT 2015 --  → #MSGDeAddict @derasachasauda दुनिया का एकमात्र सर्वधर्म संस्थान है जहाँ राम नाम से जोड़ने के साथ-साथ नशा व बुराईयाँ छुड़वाई जाती हैं।"”
Tue Jul 21 03:34:18 PDT 2015 --  #MSGDeAddict that's how we can change our bad things.. perfect and real example... salute to you pita g
Tue Jul 21 02:29:33 PDT 2015 --  #MSGDeAddict "बडी मुश्किल है मौला, मेरी हल कर दे...... या तो ख्वाब ना दिखा या मुकम्मल कर दे......l pic.twitter.com/fs92PRRUzJ”
Tue Jul 21 03:33:22 PDT 2015 --  @Gurmeetramrahim ji alwz preaches that if u want2 live a Happy-go-lucky life than say good bye to drugs & Save blissfulness #MSGDeAddict
Tue Jul 21 03:33:35 PDT 2015 --  #MSGDeAddict ppl who was abusing 80injections of Norfine in a day have given up drugs by pious guidance of Guruji pic.twitter.com/USx6xhNQPS
Wed Jul 15 05:56:42 PDT 2015 --  With a focused aim, values & meditation U can master any skill U wish to. Have a happy & blessed World Youth Skills Day #OurYouthOurStrength
Wed Jul 15 18:16:39 PDT 2015 --  Exemplary efforts of Green S volunteers by constructing dam while flood @ Moonak, Punjab. #OurYouthOurStrength pic.twitter.com/uEpsGc4XpI
Wed Jul 15 22:12:06 PDT 2015 --  #OurYouthOurStrength is bcoz of u GURU JI as u r our Youth Icon @Gurmeetramrahim
Wed Jul 15 02:08:20 PDT 2015 --  #MSGTreePlantationDrive trees are playing vry important role in our life... pic.twitter.com/TOkh2wrRTE
Wed Jul 15 00:59:17 PDT 2015 --  Trees absorb odors and pollutant gases (nitrogen oxides, ammonia nd ozone) and filter particulates out of air #MSGTreePlantationDrive
Wed Jul 15 00:35:25 PDT 2015 --  Give a gift to Mother nature ... Plant now With #MSGTreePlantationDrive n stay healthy n happy :)
Tue Jul 14 11:24:55 PDT 2015 --  #MSGTreePlantationDrive GD Night All F U pic.twitter.com/TKccu7Uly3
Mon Jul 13 02:32:40 PDT 2015 --  Kudos & Blessings to New Zealand's Green S volunteers for #MSGTreePlantationDrive at North Shore, Auckland. pic.twitter.com/ux1js98v3g
Sat Jul 11 05:34:59 PDT 2015 --  @Gurmeetramrahim Before this people used to say 'हम दो हमारे दो' .U r the First one to say #We1ours1 .... Hats off to u thinking..
Sat Jul 11 05:34:32 PDT 2015 --  @Gurmeetramrahim deduu i want 2 live my whol life undr ur guidnce. Plz keep on guiding n ur blesings.Hlp me 2 folow ur ol guidnce #We1ours1
Sat Jul 11 05:57:38 PDT 2015 --  @Gurmeetramrahim Yaaaa Pitaji Surely We'll Pledge to hv Small&happy family. Thanx for Ur Blessings.. #We1ours1
Sat Jul 11 08:11:10 PDT 2015 --  Depression will be lesser due to fights&Tensions..Fewer chances for disturbance #We1ours1 pic.twitter.com/8YQm5QzFbk
Sat Jul 11 08:12:58 PDT 2015 --  Everybody will be free in his choice. Privacy of family will be more #We1ours1 pic.twitter.com/l3FODacq1z
Sat Jul 11 08:14:23 PDT 2015 --  @Gurmeetramrahim EveryOne will have more Value &Importance #We1ours1
Sat Jul 11 08:19:44 PDT 2015 --  @Gurmeetramrahim Having A Small Family is Step Towards Sustainability #We1ours1
Sat Jul 11 10:14:49 PDT 2015 --  The only way to control population = #We1ours1 = Small family =Happy Family pic.twitter.com/SNXPauHnka
Sat Jul 11 10:30:25 PDT 2015 --  An only child gets his/her parents Undivided Attention #We1ours1 pic.twitter.com/CBruot9hZa
Sat Jul 11 10:32:32 PDT 2015 --  An only child is more Independent. Active in Every Field. Thnx @Gurmeetramrahim ji for inspiring All for Small Family #We1ours1
Sat Jul 11 05:12:12 PDT 2015 --  On this World Population Day hope all to pledge for small & happy family. Blessings to all who follows #We1ours1 pic.twitter.com/6Hgzx63Q9U
Sat Jul 11 05:14:12 PDT 2015 --  @Gurmeetramrahim #We1Ours1 population control is today's big need and Guru Ji do are doing great work by inspiring millions
Fri Jul 10 01:24:13 PDT 2015 --  There is nothing more depressing than having it all and still feeling sad.
Tue Jul 07 03:02:02 PDT 2015 --  #MultiTalentedIconMSG made @MSGTheFilm which aims at putting across a strong message against drug abuse and intoxication of any kind.
Mon Jul 06 01:22:11 PDT 2015 --  #MultiTalentedIconMSG On Guruji’s single call, 1500 young men have volunteered to accept prostitutes as their wives.
Mon Jul 06 01:24:29 PDT 2015 --  #MultiTalentedIconMSG pleads with people 2 stop sex selective abortions and offers 2 adopt the unwanted grlz as HIS own spiritual children
Mon Jul 06 01:28:26 PDT 2015 --  #MultiTalentedIconMSG has been honored by the medical fraternity for the whole body donation initiative as well.
Mon Jul 06 01:32:39 PDT 2015 --  #MultiTalentedIconMSG has designed a mobile hospitl Farishta which has entered the Limca Book f world records 4 its multifarious facilities
Mon Jul 06 01:39:01 PDT 2015 --  #MultiTalentedIconMSG teaches and pursues Rights Action and Right Knowledge ,both are the supplyment to each other
Mon Jul 06 01:39:59 PDT 2015 --  #MultiTalentedIconMSG has taken very innovative steps by establishing Schools, Colleges, and Higher Institutes of Technology
Mon Jul 06 03:09:56 PDT 2015 --  #MultiTalentedIconMSG has taken the responsibility of reforming tribals, to integrate them with the main stream society.
Mon Jul 06 03:11:30 PDT 2015 --  #MultiTalentedIconMSG Under HIS leadership, there are 111 ongoing humanitarian programs to help humanity.
Mon Jul 06 03:14:28 PDT 2015 --  #MultiTalentedIconMSG is a remarkable cook who has created a delectable range of recipes.
Mon Jul 06 03:18:00 PDT 2015 --  #MultiTalentedIconMSG is an excellent plant breeder and has been developing new varieties regularly.
Mon Jul 06 03:21:04 PDT 2015 --  #MultiTalentedIconMSG teaches if we raise our inner consciousness through true meditation then excellence is just a small step away.
Mon Jul 06 06:37:46 PDT 2015 --  #MultitalentedIconMSG dresses designed by Him are a blend of tradition & modern aspects,every dress has uniqueness in itself
Mon Jul 06 06:38:00 PDT 2015 --  #MultiTalentedIconMSG has formd a special welfare tm ‘Shah Satnam Ji Green ‘S’ Welfare Force Wing’Over 70,000 followers are already members
Mon Jul 06 06:38:12 PDT 2015 --  #MultiTalentedIconMSG teaches the method of meditation to disciples from all parts of the world n motivates them to serve humanity
Mon Jul 06 06:38:30 PDT 2015 --  #MultiTalentedIconMSG being the Savior f Humanity, initiated 111 activities of social welfare 4 the well-being f nature as well as mankind.
Mon Jul 06 06:38:52 PDT 2015 --  #MultiTalentedIconMSG Service to mankind is service to God’ ,Love is God and God is Love' - His life proves these proverbs to be true.
Mon Jul 06 06:39:18 PDT 2015 --  #MultiTalentedIconMSG provides free medical treatment to the needy,and constructs houses for the poor
Mon Jul 06 06:39:43 PDT 2015 --  #MultiTalentedIconMSG formd Shah Satnam Ji Green ‘S’ Welfare Force wch is an active orgniztn n ceaselessly tries 2 hlp humanity 4 d better.
Sun Jul 05 02:12:36 PDT 2015 --  #MultiTalentedIconMSG DSS No.1 Organisation in Planting TREES..Every Year Crores of TREES being Planted under guidance of #TheSuperHuman
Sun Jul 05 02:14:42 PDT 2015 --  #MultiTalentedIconMSG work for human welfare faying day n night without being exhausted. That's the reason why He is idol of millions.
Sun Jul 05 00:50:29 PDT 2015 --  @MSGTheFilm is d live example of multi talented @Gurmeetramrahim g as most of d work r done by him only #multitalentedIconMSG
Sun Jul 05 02:13:32 PDT 2015 --  #MultiTalentedIconMSG it is d 'Food Bank Prog" in m$g where people keep a fast for 1day in d week 2 provide for the ration of those in need.
Sun Jul 05 00:46:18 PDT 2015 --  #MultiTalentedIconMSG Providing treatment of incurable diseases like AIDS with the help of Yoga,Meditation nd Ayurveda with positive living.
Sun Jul 05 02:21:32 PDT 2015 --  #MultitalentedIconMSG He has a remarkable knowledge of photography n videography there is no comparison with him in these fields
Sun Jul 05 02:21:44 PDT 2015 --  #MultiTalentedIconMSG guru Ji u r amazing singer, actor, director. ....we can't find anyone like u in this world...loveu
Sun Jul 05 02:23:30 PDT 2015 --  #MultiTalentedIconMSG He is a style icon For youth.. guruji claim to be a culture & style icon, which youth love. pic.twitter.com/x3QH5CEqsl
Sun Jul 05 00:39:39 PDT 2015 --  Guru ji first movie @MSGTheFilm makes many record and running theaters many people leave drugs after see movie #MultiTalentedIconMSG
Sun Jul 05 00:37:18 PDT 2015 --  #MultiTalentedIconMSG He teaches is an extremely powerful tool to achieve self cconfidence. pic.twitter.com/8yznA6X3kj
Sun Jul 05 00:04:09 PDT 2015 --  #MultiTalentedIconMSG #TheSuperHuman if we start counting of the qualities MSG hv it would nevr ends.
Sun Jul 05 02:21:44 PDT 2015 --  @gurmeetramrahim got number of genius world record in many field #MultiTalentedIconMSG
Sun Jul 05 02:12:00 PDT 2015 --  #MultiTalentedIconMSG.This icon has many followers&faith is unfathomable.He is spiritual leader who claims 2hv talent pic.twitter.com/hYCMF1aIYk
Sun Jul 05 00:46:15 PDT 2015 --  No doubt if we say Guruji St @Gurmeetramrahim ji is multi talented youth icon,so unique/dashing #MultiTalentedIconMSG pic.twitter.com/kQeTRFOwGk
Sat Jul 04 21:28:02 PDT 2015 --  Dera Sacha Sauda volunteers regularly conducting massive tree plantation drives all over the world #TheSuperHuman #MSGTreePlantationDrive
Sat Jul 04 21:28:17 PDT 2015 --  Without oxygen we cannot live even a second. So @Gurmeetramrahim & volunteers make tree plntng in all countries. #MSGTreePlantationDrive ..
Sun Jul 05 00:26:11 PDT 2015 --  MSG is not only a selfless spiritual master BUT also a musician,a writer,a scientist a Doctor,an innovator. #MultiTalentedIconMSG
Sun Jul 05 00:45:18 PDT 2015 --  All d multi 111 welfare works intiated by @derasachasauda are d original idea of MSG's creative mind only. #multitalentedIconMSG
Sun Jul 05 01:00:02 PDT 2015 --  MSG is a Best script writer, Best actor, Best singer, Best director without any Professional Training. #MultiTalentedIconMSG
Sun Jul 05 01:54:15 PDT 2015 --  1stly @Gurmeetramrahim ji is a SPIRITUAL SAINT/philanthropist/ versatile singer/ allrounder sportsmen(Plays 32 games) #MultiTalentedIconMSG
